
[00:00:00.000 --> 00:00:06.780]   [AUDIO OUT]
[00:03:02.300 --> 00:03:04.900]   the number of model parameters, or the size of the language
[00:03:04.900 --> 00:03:07.340]   model, and also the size of the training data set
[00:03:07.340 --> 00:03:09.940]   that the model is trained on.
[00:03:09.940 --> 00:03:13.340]   And a lot of the plots here will use either training flops
[00:03:13.340 --> 00:03:15.620]   or the number of model parameters.
[00:03:15.620 --> 00:03:17.980]   The reason is that the training data set size is usually
[00:03:17.980 --> 00:03:20.780]   fixed for different size models.
[00:03:20.780 --> 00:03:23.260]   And because training flops is just the data set size
[00:03:23.260 --> 00:03:27.300]   times model parameters, you can get a similar plot
[00:03:27.300 --> 00:03:29.980]   from either training flops or number of model parameters
[00:03:29.980 --> 00:03:31.420]   for most language models.
[00:03:31.420 --> 00:03:35.180]   Great.
[00:03:35.180 --> 00:03:38.140]   And so the first type of emergence--
[00:03:38.140 --> 00:03:40.940]   yeah, sorry, go ahead.
[00:03:40.940 --> 00:03:41.700]   Yeah.
[00:03:41.700 --> 00:03:44.660]   For me, it seems like it would be relatively easier
[00:03:44.660 --> 00:03:47.580]   to measure the size versus what qualifies
[00:03:47.580 --> 00:03:48.560]   as an ability.
[00:03:48.560 --> 00:03:54.140]   How do you define what counts as an actual ability versus not?
[00:03:54.140 --> 00:03:54.640]   Yeah, sure.
[00:03:54.640 --> 00:03:57.140]   [INAUDIBLE]
[00:03:57.140 --> 00:04:01.460]   So yeah, for example, I'll just give an example here,
[00:04:01.460 --> 00:04:03.500]   which is actually next slide.
[00:04:03.500 --> 00:04:06.220]   So basically, we have this way of interacting
[00:04:06.220 --> 00:04:08.900]   with language models called few-shot prompting.
[00:04:08.900 --> 00:04:11.380]   And the way it works is the language model
[00:04:11.380 --> 00:04:14.540]   is a really good next-word predictor.
[00:04:14.540 --> 00:04:17.980]   And when you give the model an example,
[00:04:17.980 --> 00:04:22.780]   and then you ask it for an unseen movie review,
[00:04:22.780 --> 00:04:25.340]   for example, and then you say, what's the output?
[00:04:25.340 --> 00:04:26.740]   And then here, the language model
[00:04:26.740 --> 00:04:28.460]   can say positive because it understands
[00:04:28.460 --> 00:04:34.140]   to use the context from the review to give the next token.
[00:04:34.140 --> 00:04:38.900]   And the definition that we use for having ability or not
[00:04:38.900 --> 00:04:42.900]   is that basically, a few-shot prompted task, for example,
[00:04:42.900 --> 00:04:45.420]   sentiment analysis, is emergent if it
[00:04:45.420 --> 00:04:47.980]   has random accuracy for small models
[00:04:47.980 --> 00:04:50.700]   but above random accuracy for large models.
[00:04:50.700 --> 00:04:51.580]   Does that make sense?
[00:04:51.580 --> 00:04:54.660]   So basically, if the model isn't doing any better than random,
[00:04:54.660 --> 00:04:56.200]   then when you say it doesn't have the ability
[00:04:56.200 --> 00:04:57.500]   to do this particular task.
[00:04:57.500 --> 00:05:05.740]   And I'll give a few examples here.
[00:05:05.740 --> 00:05:08.300]   So here's the canonical way that we
[00:05:08.300 --> 00:05:09.700]   look at plots for emergence.
[00:05:09.700 --> 00:05:14.620]   So basically, what we have, each of these different plots
[00:05:14.620 --> 00:05:15.900]   is a different task.
[00:05:15.900 --> 00:05:18.100]   And I'll go over some examples soon.
[00:05:18.100 --> 00:05:20.700]   But the way you read the plot is the x-axis
[00:05:20.700 --> 00:05:24.620]   is the number of training flops or the model scale.
[00:05:24.620 --> 00:05:26.820]   And then the y-axis is the accuracy
[00:05:26.820 --> 00:05:30.340]   or how good the model is doing the task.
[00:05:30.340 --> 00:05:33.220]   And then we have different language models
[00:05:33.220 --> 00:05:36.340]   from OpenAI, from Google, and from DeepMind.
[00:05:36.340 --> 00:05:39.340]   And then each of the points is a different language model.
[00:05:39.340 --> 00:05:42.260]   It's not a language model over the course of training.
[00:05:42.260 --> 00:05:45.060]   Each point is a different language model.
[00:05:45.060 --> 00:05:49.420]   And what you see is that for the very small language models,
[00:05:49.420 --> 00:05:52.740]   you basically get performance that's close to random
[00:05:52.740 --> 00:05:55.980]   or not being any better than random.
[00:05:55.980 --> 00:05:59.540]   And then once you pass a certain threshold,
[00:05:59.540 --> 00:06:01.740]   you can see that the performance suddenly
[00:06:01.740 --> 00:06:05.580]   gets substantially above random.
[00:06:05.580 --> 00:06:07.040]   And this is what we call emergence.
[00:06:07.040 --> 00:06:11.300]   So basically, if you were to extrapolate the lines
[00:06:11.300 --> 00:06:13.140]   from the small language models, you
[00:06:13.140 --> 00:06:16.040]   might predict that it would never do better than random
[00:06:16.040 --> 00:06:17.760]   because it's just a flat line.
[00:06:17.760 --> 00:06:19.180]   But the interesting phenomenon is
[00:06:19.180 --> 00:06:21.620]   that when you scale up past a certain threshold,
[00:06:21.620 --> 00:06:23.740]   you actually do see this emergent phenomenon where
[00:06:23.740 --> 00:06:25.420]   the model does a lot better than random.
[00:06:25.420 --> 00:06:32.420]   So let me go over some concrete examples.
[00:06:32.420 --> 00:06:34.380]   So here's one task.
[00:06:34.380 --> 00:06:40.180]   It's basically a benchmark called multitask NLU or MMLU.
[00:06:40.180 --> 00:06:45.100]   And basically, what it is, it's a bunch of test questions
[00:06:45.100 --> 00:06:47.580]   ranging from high school all the way to professional level
[00:06:47.580 --> 00:06:49.820]   exams.
[00:06:49.820 --> 00:06:53.660]   And how it works is the language model is given--
[00:06:53.660 --> 00:06:57.260]   for example, here is a high school math example.
[00:06:57.260 --> 00:06:59.840]   And the language model is given a few examples.
[00:06:59.840 --> 00:07:04.100]   And then for an unseen question, it has to give the answer.
[00:07:04.100 --> 00:07:06.620]   And then you can see in the plot on the right--
[00:07:06.620 --> 00:07:08.860]   so for the model scale, if you go up
[00:07:08.860 --> 00:07:12.300]   to sort of 10 to the power of 22 training flops,
[00:07:12.300 --> 00:07:14.580]   you don't actually get any better than random accuracy
[00:07:14.580 --> 00:07:15.700]   on this task.
[00:07:15.700 --> 00:07:19.220]   But if you scale up to 10 to the 24 training flops,
[00:07:19.220 --> 00:07:22.100]   then you see that all the three models there
[00:07:22.100 --> 00:07:24.220]   do much better than random accuracy.
[00:07:24.220 --> 00:07:28.260]   Yeah, go ahead.
[00:07:28.260 --> 00:07:30.700]   The scale of the data used to train this,
[00:07:30.700 --> 00:07:31.980]   is it roughly similar?
[00:07:31.980 --> 00:07:33.980]   Or because these are different models trained
[00:07:33.980 --> 00:07:36.140]   by different boards?
[00:07:36.140 --> 00:07:39.580]   Yeah, the scale is, I think, within an order of magnitude
[00:07:39.580 --> 00:07:42.460]   for these models here, yeah.
[00:07:42.460 --> 00:07:45.740]   But every single dot on each individual tracks
[00:07:45.740 --> 00:07:47.700]   is the same data?
[00:07:47.700 --> 00:07:50.820]   Yes, the data is fixed except for Chinchilla.
[00:07:50.820 --> 00:07:53.020]   Chinchilla uses more data for larger models.
[00:07:53.020 --> 00:07:55.740]   But I believe for all the other models
[00:07:55.740 --> 00:07:57.580]   here, the amount of data is the same.
[00:08:01.220 --> 00:08:02.660]   Yeah, here's just another example
[00:08:02.660 --> 00:08:05.900]   to show it more concretely.
[00:08:05.900 --> 00:08:10.620]   So this is a task from the Big Bench Benchmark.
[00:08:10.620 --> 00:08:12.300]   Just as an aside, the Big Bench Benchmark
[00:08:12.300 --> 00:08:15.340]   is like 200 benchmarks.
[00:08:15.340 --> 00:08:17.300]   And basically, it's like a crowdsource set
[00:08:17.300 --> 00:08:19.260]   of benchmarks I'd recommend looking at if you're
[00:08:19.260 --> 00:08:21.300]   doing that kind of work.
[00:08:21.300 --> 00:08:23.900]   And basically, the task is the language model
[00:08:23.900 --> 00:08:26.960]   has to take an English sentence and then
[00:08:26.960 --> 00:08:30.580]   give the international phonetic alphabet transliteration,
[00:08:30.580 --> 00:08:33.020]   the IPA transliteration, which is basically
[00:08:33.020 --> 00:08:35.420]   how to pronounce it.
[00:08:35.420 --> 00:08:38.860]   And for this task, the evaluation metric
[00:08:38.860 --> 00:08:43.180]   is actually blue, or like an n-gram overlap metric.
[00:08:43.180 --> 00:08:46.020]   And you get a similar phenomenon,
[00:08:46.020 --> 00:08:49.940]   where as you increase the size of the language model,
[00:08:49.940 --> 00:08:51.820]   it's flat for a while.
[00:08:51.820 --> 00:08:54.420]   And then suddenly, the improvement is above random.
[00:08:54.420 --> 00:08:59.420]   Great.
[00:08:59.420 --> 00:09:03.140]   So I'll talk about another interesting result
[00:09:03.140 --> 00:09:04.540]   here that's why it's emergent.
[00:09:04.540 --> 00:09:07.420]   So this was a technical report that we put out
[00:09:07.420 --> 00:09:09.180]   a couple of months ago.
[00:09:09.180 --> 00:09:13.100]   And basically, there's this really interesting prize in--
[00:09:13.100 --> 00:09:17.740]   or it's like a one-time prize in language models,
[00:09:17.740 --> 00:09:21.420]   where Anthropics, which is like a startup,
[00:09:21.420 --> 00:09:23.700]   basically had this prize where if people could come up
[00:09:23.700 --> 00:09:27.460]   with a task where the performance on the task
[00:09:27.460 --> 00:09:31.020]   would actually decrease as you increase
[00:09:31.020 --> 00:09:33.580]   the size of the language model, then you
[00:09:33.580 --> 00:09:35.460]   would get a bunch of money.
[00:09:35.460 --> 00:09:37.620]   So basically, there are a lot of submissions to this.
[00:09:37.620 --> 00:09:40.100]   And here's one example of a task where
[00:09:40.100 --> 00:09:42.140]   they found that the performance would actually
[00:09:42.140 --> 00:09:45.260]   decrease if you increase the size of the language model.
[00:09:45.260 --> 00:09:46.420]   So the task is--
[00:09:46.420 --> 00:09:47.340]   I'll just read it here.
[00:09:47.340 --> 00:09:49.380]   It's like, repeat my sentences back to me.
[00:09:49.380 --> 00:09:53.060]   And then the input is like, all that glisters is not glib.
[00:09:53.060 --> 00:09:55.620]   And then the output is--
[00:09:55.620 --> 00:10:01.340]   the model has to accurately say glib.
[00:10:01.340 --> 00:10:06.100]   And so what happened is for the small language model,
[00:10:06.100 --> 00:10:09.420]   it doesn't know the phrase, all that glisters is not gold.
[00:10:09.420 --> 00:10:11.260]   So it just copies the input and actually
[00:10:11.260 --> 00:10:14.860]   does get-- it's like 100% on that.
[00:10:14.860 --> 00:10:17.820]   But then for the medium-sized language model,
[00:10:17.820 --> 00:10:20.100]   what you would see is that the performance actually
[00:10:20.100 --> 00:10:22.220]   decreased because the medium-sized language
[00:10:22.220 --> 00:10:24.860]   model knows the phrase, all that glisters is not gold.
[00:10:24.860 --> 00:10:26.700]   And then it says gold, which actually is not
[00:10:26.700 --> 00:10:28.980]   what the task asks it to do.
[00:10:28.980 --> 00:10:29.660]   Yeah, go ahead.
[00:10:29.660 --> 00:10:32.060]   Someone on Zoom asked, can you give a physical estimate
[00:10:32.060 --> 00:10:35.100]   of 10 to the 24 flops, possibly in terms of training
[00:10:35.100 --> 00:10:38.500]   time or number of GPUs?
[00:10:38.500 --> 00:10:45.900]   Yeah, so I think 10 to the 24 flops is around--
[00:10:45.900 --> 00:10:48.260]   so at Google, we use TPUs.
[00:10:48.260 --> 00:10:55.780]   And one pod of TPUs, I believe, is equal to like 4,000 A100s.
[00:10:55.780 --> 00:11:00.580]   And 10 to the 24 flops is like two pods for around six weeks
[00:11:00.580 --> 00:11:02.420]   or something like that.
[00:11:02.420 --> 00:11:04.740]   So it's a lot of compute to do the pre-training.
[00:11:04.740 --> 00:11:08.180]   I don't know.
[00:11:08.180 --> 00:11:10.020]   Do you guys remember in chemistry class
[00:11:10.020 --> 00:11:12.740]   when you'd have moles?
[00:11:12.740 --> 00:11:14.380]   And it would be like 10 to the 23.
[00:11:14.380 --> 00:11:16.020]   And then your teacher would be like, oh,
[00:11:16.020 --> 00:11:19.020]   I don't even think about how big this number is.
[00:11:19.020 --> 00:11:21.780]   That's the number of floating point operations
[00:11:21.780 --> 00:11:26.460]   that goes into the pre-training of some of these models.
[00:11:26.460 --> 00:11:28.220]   OK, great, anyways.
[00:11:28.220 --> 00:11:32.300]   So yeah, so basically, the medium-sized language model
[00:11:32.300 --> 00:11:33.420]   would actually do worse.
[00:11:33.420 --> 00:11:35.620]   Oh, yeah, did you have another question?
[00:11:35.620 --> 00:11:40.740]   Yeah, oh, wait, did this one win the prize or not?
[00:11:40.740 --> 00:11:43.660]   This one is one of the winners.
[00:11:43.660 --> 00:11:46.040]   I think it's a third-place winner or something.
[00:11:46.040 --> 00:11:46.540]   Yeah?
[00:11:46.540 --> 00:11:47.040]   [INAUDIBLE]
[00:11:47.040 --> 00:11:59.980]   What do you mean, flip a negative sign?
[00:11:59.980 --> 00:12:04.020]   Well, because all of this depends on which evaluation
[00:12:04.020 --> 00:12:07.860]   scheme you use to measure if you do your task right.
[00:12:07.860 --> 00:12:11.340]   So it's like the measurement is very sparse.
[00:12:11.340 --> 00:12:14.180]   You only get credit if you do it perfectly or something.
[00:12:14.180 --> 00:12:14.700]   Yeah, yeah.
[00:12:14.700 --> 00:12:15.180]   [INAUDIBLE]
[00:12:15.180 --> 00:12:37.180]   Yeah, so for this thing, they accounted for all--
[00:12:37.180 --> 00:12:38.740]   you can't just say the task should
[00:12:38.740 --> 00:12:40.580]   be a do badly on something.
[00:12:40.580 --> 00:12:43.340]   It has to be a meaningful sort of task.
[00:12:43.340 --> 00:12:46.760]   And then, I guess, your point about how credit assignment
[00:12:46.760 --> 00:12:50.740]   or the valuation metric works is actually a really good one.
[00:12:50.740 --> 00:12:54.500]   Yeah, so I guess it still kind of counts if--
[00:12:54.500 --> 00:13:00.420]   I guess the argument is that the performance might not
[00:13:00.420 --> 00:13:03.260]   look emergent if you assign partial credit.
[00:13:03.260 --> 00:13:05.180]   But we have a bunch of--
[00:13:05.180 --> 00:13:06.380]   I can show an example later.
[00:13:06.380 --> 00:13:09.060]   But even if you use partial credit metrics,
[00:13:09.060 --> 00:13:11.900]   you'll often still see the same type of emergence.
[00:13:11.900 --> 00:13:14.340]   So it's not purely a phenomenon of not
[00:13:14.340 --> 00:13:16.620]   assigning partial credit based on the valuation metric.
[00:13:16.620 --> 00:13:24.540]   And then-- great.
[00:13:24.540 --> 00:13:27.160]   So what we sort of argued in this paper
[00:13:27.160 --> 00:13:29.420]   is that, yeah, there might be some tasks where
[00:13:29.420 --> 00:13:31.740]   the performance starts to decrease if you use a medium
[00:13:31.740 --> 00:13:33.780]   sized language model.
[00:13:33.780 --> 00:13:38.260]   But if you keep scaling all the way to the largest model
[00:13:38.260 --> 00:13:43.420]   that we have at Google that's known publicly, Palm,
[00:13:43.420 --> 00:13:46.260]   you'll see that the language model can actually
[00:13:46.260 --> 00:13:47.740]   go back and do the task correctly.
[00:13:47.740 --> 00:13:51.260]   Because the large language model also
[00:13:51.260 --> 00:13:54.100]   knows the phrase, all that glisters is not gold.
[00:13:54.100 --> 00:13:58.420]   But it also understands, repeat my sentences back to me.
[00:13:58.420 --> 00:14:01.060]   So it's able to get 100% on this task.
[00:14:01.060 --> 00:14:03.820]   So this is a different type of emergence also.
[00:14:04.820 --> 00:14:09.420]   And another class of emergence that we talk about in the paper
[00:14:09.420 --> 00:14:12.020]   is an emergent prompting technique.
[00:14:12.020 --> 00:14:15.020]   So basically, other than future prompting,
[00:14:15.020 --> 00:14:16.780]   there's other ways of interacting
[00:14:16.780 --> 00:14:21.780]   with the language models that can be considered emergent.
[00:14:21.780 --> 00:14:22.300]   Yeah.
[00:14:22.300 --> 00:14:23.020]   Can I interrupt?
[00:14:23.020 --> 00:14:25.300]   Sorry, somebody else had a question on the previous one.
[00:14:25.300 --> 00:14:25.820]   Yeah.
[00:14:25.820 --> 00:14:27.300]   [INAUDIBLE]
[00:14:27.300 --> 00:14:30.100]   The question is, did all models undergo instruction-binding
[00:14:30.100 --> 00:14:31.580]   tuning?
[00:14:31.580 --> 00:14:34.900]   None of these models underwent instruction-binding tuning
[00:14:34.900 --> 00:14:35.900]   for this plot.
[00:14:35.900 --> 00:14:36.400]   Yeah.
[00:14:36.400 --> 00:14:41.280]   Great.
[00:14:41.280 --> 00:14:41.780]   Yeah.
[00:14:41.780 --> 00:14:45.780]   So one way of interacting with language models
[00:14:45.780 --> 00:14:49.780]   is by basically finding the model using
[00:14:49.780 --> 00:14:51.620]   a technique called RLHF.
[00:14:51.620 --> 00:14:54.180]   And basically, the way it works is you have this data.
[00:14:54.180 --> 00:14:57.620]   And humans rate preferences based on the data.
[00:14:57.620 --> 00:15:01.260]   And humans rate preferences for what type of outputs
[00:15:01.260 --> 00:15:02.620]   they prefer.
[00:15:02.620 --> 00:15:05.500]   And then the model is trained on RL to optimize
[00:15:05.500 --> 00:15:08.780]   for human preferences.
[00:15:08.780 --> 00:15:10.700]   And what this plot is showing here
[00:15:10.700 --> 00:15:14.180]   is that if you do this RLHF on the model,
[00:15:14.180 --> 00:15:17.700]   the model performance on a different zero-shot task
[00:15:17.700 --> 00:15:19.580]   actually gets worse for small models.
[00:15:19.580 --> 00:15:22.660]   You can see the blue line is above the orange line.
[00:15:22.660 --> 00:15:23.780]   Blue line is the baseline.
[00:15:23.780 --> 00:15:26.900]   The orange line is RLHF.
[00:15:26.900 --> 00:15:28.780]   And then if you do it for large models,
[00:15:28.780 --> 00:15:32.060]   though, then you can see that the performance actually
[00:15:32.060 --> 00:15:34.220]   has a positive delta from doing RLHF.
[00:15:34.220 --> 00:15:38.860]   And so this is an interesting thing
[00:15:38.860 --> 00:15:41.260]   where a certain technique might only
[00:15:41.260 --> 00:15:43.420]   help if you try on a large enough language model.
[00:15:43.420 --> 00:15:46.180]   So if you only try it on the small language models,
[00:15:46.180 --> 00:15:49.660]   it'd be tough to draw the conclusion that it wouldn't
[00:15:49.660 --> 00:15:51.560]   help performance.
[00:15:51.560 --> 00:15:53.980]   And then later, I'll talk about chain-of-thought prompting
[00:15:53.980 --> 00:15:58.660]   as another emergent prompting technique.
[00:15:58.660 --> 00:16:01.060]   So here's the hand-wavy diagram that I
[00:16:01.060 --> 00:16:05.260]   used to think about emergence as a framework.
[00:16:05.260 --> 00:16:09.860]   So on the x-axis here, there's a scale of the language model.
[00:16:09.860 --> 00:16:16.380]   And on the y-axis is a imaginary scale of a range of things
[00:16:16.380 --> 00:16:18.500]   that a language model can do.
[00:16:18.500 --> 00:16:20.700]   And then basically, you can pick some random point,
[00:16:20.700 --> 00:16:23.620]   like, say, 100 blind parameters in the language model.
[00:16:23.620 --> 00:16:26.420]   And there will be certain abilities.
[00:16:26.420 --> 00:16:28.140]   So first, you can see, as you increase
[00:16:28.140 --> 00:16:30.220]   the size of the language model, the number
[00:16:30.220 --> 00:16:33.740]   of tasks or things that the language model can do increases.
[00:16:33.740 --> 00:16:38.180]   And then you can see there are some tasks where--
[00:16:38.180 --> 00:16:40.500]   models above 100 blind parameters, for example,
[00:16:40.500 --> 00:16:41.420]   can do them.
[00:16:41.420 --> 00:16:43.620]   But models below 100 blind parameters can't do them.
[00:16:43.620 --> 00:16:46.360]   And we call these emergent abilities.
[00:16:46.360 --> 00:16:47.740]   Sorry, quick question about this.
[00:16:47.740 --> 00:16:48.240]   Yeah.
[00:16:48.240 --> 00:16:50.500]   What are the colors?
[00:16:50.500 --> 00:16:53.820]   Oh, it's just highlighting the dark blue
[00:16:53.820 --> 00:16:58.820]   is tasks that a smaller language model wouldn't be able to do.
[00:16:58.820 --> 00:16:59.660]   Does that make sense?
[00:16:59.660 --> 00:17:00.160]   Yeah.
[00:17:00.160 --> 00:17:01.860]   And then to the right of the dotted line,
[00:17:01.860 --> 00:17:04.820]   the white region on top?
[00:17:04.820 --> 00:17:07.420]   Oh, that just means tasks that we
[00:17:07.420 --> 00:17:09.780]   haven't been able to solve yet with language models.
[00:17:09.780 --> 00:17:10.900]   Yeah.
[00:17:10.900 --> 00:17:11.940]   Cool.
[00:17:11.940 --> 00:17:13.440]   And I'm curious to know, do you think
[00:17:13.440 --> 00:17:15.620]   that it's not that those tasks in the white region
[00:17:15.620 --> 00:17:19.300]   are unsolvable, like the 100 billion scale?
[00:17:19.300 --> 00:17:23.660]   Or do you think that better models, specific training
[00:17:23.660 --> 00:17:26.180]   data, would allow us to, at the 100 billion scale,
[00:17:26.180 --> 00:17:27.980]   get into that white region?
[00:17:27.980 --> 00:17:34.460]   Yeah, I definitely think that it's not a fixed--
[00:17:34.460 --> 00:17:35.700]   I'll give an example shortly.
[00:17:35.700 --> 00:17:40.300]   But it's not a rule that you have
[00:17:40.300 --> 00:17:42.900]   to have 100 blind parameters to do a certain task.
[00:17:42.900 --> 00:17:45.420]   It's just that that happens to be the threshold that we've
[00:17:45.420 --> 00:17:47.020]   observed in models so far.
[00:17:47.020 --> 00:17:48.860]   And I do think with better training
[00:17:48.860 --> 00:17:51.420]   data, and architecture, and algorithms,
[00:17:51.420 --> 00:17:52.500]   we can probably beat that.
[00:17:52.500 --> 00:17:57.580]   Cool.
[00:17:57.580 --> 00:18:00.100]   Yeah, so as Rylan just mentioned,
[00:18:00.100 --> 00:18:04.220]   one example of getting emergence can be with better data.
[00:18:04.220 --> 00:18:05.380]   So it's not all about scale.
[00:18:05.380 --> 00:18:06.740]   I'll give some nuance here.
[00:18:06.740 --> 00:18:10.540]   So for this task, it's just one of the tasks
[00:18:10.540 --> 00:18:12.340]   in the Big Bench benchmark.
[00:18:12.340 --> 00:18:15.060]   You can see that for Lambda, which is a Google model,
[00:18:15.060 --> 00:18:18.300]   and GPT-3, you actually don't get emergence
[00:18:18.300 --> 00:18:25.780]   from scaling to 137 or 175 billion parameters.
[00:18:25.780 --> 00:18:28.020]   But when you come in with a different language model,
[00:18:28.020 --> 00:18:33.100]   Palm, which is trained on better data than Lambda and GPT-3,
[00:18:33.100 --> 00:18:35.420]   you actually can get this emergent ability,
[00:18:35.420 --> 00:18:37.300]   even with the smaller language model, so here
[00:18:37.300 --> 00:18:40.380]   at 62 billion parameters.
[00:18:40.380 --> 00:18:43.180]   Do you see Perpetuary's better model as better data,
[00:18:43.180 --> 00:18:47.820]   or also better architectural loss choices,
[00:18:47.820 --> 00:18:49.940]   or [INAUDIBLE] data for it?
[00:18:49.940 --> 00:18:54.940]   Yeah, so the challenging thing is-- that's a great question.
[00:18:54.940 --> 00:18:57.700]   There's a lot of differences between Palm and Lambda,
[00:18:57.700 --> 00:18:58.780]   for example.
[00:18:58.780 --> 00:19:01.500]   And we can't really ablate them in any controlled way
[00:19:01.500 --> 00:19:04.020]   because of the cost of pre-training.
[00:19:04.020 --> 00:19:07.100]   But our running hypothesis is that Palm
[00:19:07.100 --> 00:19:08.180]   is trained on better data.
[00:19:08.180 --> 00:19:10.280]   And that accounts for a lot of the difference
[00:19:10.280 --> 00:19:12.140]   between Palm and Lambda.
[00:19:12.140 --> 00:19:13.620]   I've seen the smaller scales where
[00:19:13.620 --> 00:19:17.180]   it is possible to ablate stuff, or some really architectural
[00:19:17.180 --> 00:19:17.680]   ways.
[00:19:17.680 --> 00:19:20.100]   Does anyone look into it?
[00:19:20.100 --> 00:19:21.300]   Yeah, that's a good question.
[00:19:21.300 --> 00:19:23.420]   So I guess even here, you can look at, for example,
[00:19:23.420 --> 00:19:28.700]   the Palm 8 billion model, like that point there.
[00:19:28.700 --> 00:19:30.900]   You can ablate it, and it's a little bit higher,
[00:19:30.900 --> 00:19:33.420]   but it's not really emergent yet at that point.
[00:19:33.420 --> 00:19:37.180]   So it's hard to tell, for example, this particular task,
