
[00:00:00.000 --> 00:00:00.660]   [VIDEO PLAYBACK]
[00:03:07.200 --> 00:03:10.960]   how do you usher in this amazing technology?
[00:03:10.960 --> 00:03:12.120]   And so that's when I joined.
[00:03:12.120 --> 00:03:15.320]   And then I was asked by my prior CEO
[00:03:15.320 --> 00:03:17.480]   to help launch the first market, which was Phoenix.
[00:03:17.480 --> 00:03:19.400]   Back then, it was Chandler.
[00:03:19.400 --> 00:03:21.840]   And we launched that back in 2017.
[00:03:21.840 --> 00:03:25.400]   And we've been-- since 2018, a lot of people don't realize,
[00:03:25.400 --> 00:03:30.840]   we've had a 24/7 ride-hailing service around the clock.
[00:03:30.840 --> 00:03:33.760]   It was in 2020, during COVID, though,
[00:03:33.760 --> 00:03:36.920]   that we removed the driver from behind the wheel.
[00:03:36.920 --> 00:03:39.440]   So we have the Waymo driver that's
[00:03:39.440 --> 00:03:41.080]   driving the vehicles at all time.
[00:03:41.080 --> 00:03:42.980]   But there's no human behind the wheel.
[00:03:42.980 --> 00:03:44.680]   And we've been offering that service now.
[00:03:44.680 --> 00:03:47.840]   We're almost at four years, 24/7,
[00:03:47.840 --> 00:03:52.120]   not only in Phoenix, which is a 315-square-mile territory,
[00:03:52.120 --> 00:03:54.640]   but also in San Francisco and now here in LA.
[00:03:54.640 --> 00:03:58.720]   So in that sort of ushering in from market one to this role,
[00:03:58.720 --> 00:04:00.780]   I moved through the COO role.
[00:04:00.780 --> 00:04:02.740]   And that's when we actually removed the driver.
[00:04:02.740 --> 00:04:05.760]   And we're the first company that's done that.
[00:04:05.760 --> 00:04:08.320]   And so it was daunting.
[00:04:08.320 --> 00:04:11.160]   And I think that's one thing I love about Waymo.
[00:04:11.160 --> 00:04:13.720]   We call our team Waymonauts, is you just
[00:04:13.720 --> 00:04:17.560]   have to, every time, get to this point of determining what's
[00:04:17.560 --> 00:04:22.320]   good enough, what's safe enough, and then make that leap.
[00:04:22.320 --> 00:04:24.360]   And then learn, because you can't learn until you
[00:04:24.360 --> 00:04:25.600]   get to that next point.
[00:04:25.600 --> 00:04:29.000]   And so, of course, we have rigorous safety culture.
[00:04:29.000 --> 00:04:30.880]   But it was in that time that I was COO.
[00:04:30.880 --> 00:04:34.520]   And then in April of '21, I moved into the co-CEO role
[00:04:34.520 --> 00:04:35.440]   with Dmitry.
[00:04:35.440 --> 00:04:38.520]   So now that it's scaling, 100,000 paid rides a week,
[00:04:38.520 --> 00:04:39.880]   maybe we can talk a little bit.
[00:04:39.880 --> 00:04:40.680]   I mean, Jason's spent a lot of time on this.
[00:04:40.680 --> 00:04:42.520]   Well, I think maybe starting with security
[00:04:42.520 --> 00:04:43.880]   would be an interesting--
[00:04:43.880 --> 00:04:47.160]   safety, rather, would be a really good idea.
[00:04:47.160 --> 00:04:50.200]   You've done, it seems like, millions of rides now.
[00:04:50.200 --> 00:04:51.800]   No fatalities, correct?
[00:04:51.800 --> 00:04:52.920]   That's right.
[00:04:52.920 --> 00:04:54.440]   But there have been accidents.
[00:04:54.440 --> 00:04:58.560]   So when you look at the accidents that have occurred,
[00:04:58.560 --> 00:05:00.080]   how often does an accident occur?
[00:05:00.080 --> 00:05:01.920]   And in what percentage of the time
[00:05:01.920 --> 00:05:05.280]   is it just somebody running into the Waymo versus the Waymo
[00:05:05.280 --> 00:05:06.600]   running into somebody else?
[00:05:06.600 --> 00:05:07.320]   Yeah.
[00:05:07.320 --> 00:05:12.480]   So we've done 2 million paid rides.
[00:05:12.480 --> 00:05:15.960]   So when we think about-- we just released this week
[00:05:15.960 --> 00:05:18.760]   our safety hub, so you're sort of tapping into an issue
[00:05:18.760 --> 00:05:20.280]   that's really important.
[00:05:20.280 --> 00:05:21.920]   What we've been able to determine
[00:05:21.920 --> 00:05:25.400]   as of June of this year, with over 22 million,
[00:05:25.400 --> 00:05:27.640]   what we refer to as RO miles--
[00:05:27.640 --> 00:05:30.840]   those are miles that are fully autonomous--
[00:05:30.840 --> 00:05:35.600]   we've been able to have 83% fewer airbag deployments, which
[00:05:35.600 --> 00:05:38.880]   of course is important because those are high impact,
[00:05:38.880 --> 00:05:45.040]   and 73% fewer injury-causing crashes.
[00:05:45.040 --> 00:05:46.480]   Now, that's what we're focused on.
[00:05:46.480 --> 00:05:47.160]   Over a human.
[00:05:47.160 --> 00:05:49.040]   Over a traditional human.
[00:05:49.040 --> 00:05:51.520]   Meaning the counterfactual in that area
[00:05:51.520 --> 00:05:52.960]   at that same point in time--
[00:05:52.960 --> 00:05:53.640]   Exactly.
[00:05:53.640 --> 00:05:55.280]   --via insurance claims and other data.
[00:05:55.280 --> 00:05:56.040]   Exactly.
[00:05:56.040 --> 00:05:58.960]   We're comparing in San Francisco, not on highways.
[00:05:58.960 --> 00:06:00.600]   There's an apples-to-apples comparison.
[00:06:00.600 --> 00:06:03.360]   We're comparing in San Francisco or in Phoenix.
[00:06:03.360 --> 00:06:04.200]   OK, great.
[00:06:04.200 --> 00:06:06.360]   Because this is the next piece, which is,
[00:06:06.360 --> 00:06:08.000]   you're not yet on highways.
[00:06:08.000 --> 00:06:08.600]   That's right.
[00:06:08.600 --> 00:06:11.120]   We're testing on highways in Phoenix and San Francisco.
[00:06:11.120 --> 00:06:11.960]   With safety drivers.
[00:06:11.960 --> 00:06:14.400]   With employees and a human behind the wheel.
[00:06:14.400 --> 00:06:14.920]   Right.
[00:06:14.920 --> 00:06:15.640]   At times.
[00:06:15.640 --> 00:06:18.680]   And maybe you could explain to us
[00:06:18.680 --> 00:06:20.080]   why you're taking that approach.
[00:06:20.080 --> 00:06:22.320]   Because in my experience driving a Tesla
[00:06:22.320 --> 00:06:25.280]   since the beginning with full self-driving and autopilot
[00:06:25.280 --> 00:06:29.280]   before that, it seems like it's better on the highway
[00:06:29.280 --> 00:06:31.280]   than it is on local streets, where
[00:06:31.280 --> 00:06:34.280]   you have people jumping out and weird things that
[00:06:34.280 --> 00:06:35.160]   occur on the highway.
[00:06:35.160 --> 00:06:37.760]   You very rarely have to run into a weird thing.
[00:06:37.760 --> 00:06:39.120]   It's pretty ABC.
[00:06:39.120 --> 00:06:41.320]   So I would think it was the opposite.
[00:06:41.320 --> 00:06:42.680]   But is it because speed kills?
[00:06:42.680 --> 00:06:44.080]   What's the thinking there?
[00:06:44.080 --> 00:06:48.600]   So I think, just for everyone to orient,
[00:06:48.600 --> 00:06:50.400]   when you think about the levels of autonomy,
[00:06:50.400 --> 00:06:53.200]   we are only focused on level four and above.
[00:06:53.200 --> 00:06:55.040]   Level four and above means you do not
[00:06:55.040 --> 00:06:56.560]   need a driver's license, nor do you
[00:06:56.560 --> 00:06:58.640]   need to sit behind the wheel.
[00:06:58.640 --> 00:07:02.440]   So when you're focused on tackling the hardest challenge
[00:07:02.440 --> 00:07:06.560]   first, it's really important for the driver, the Waymo driver,
[00:07:06.560 --> 00:07:09.560]   to ingest dense urban environments.
[00:07:09.560 --> 00:07:12.040]   Because that is where the driver is going to learn the most.
[00:07:12.040 --> 00:07:15.000]   Sitting on freeways, seeing the same thing every day
[00:07:15.000 --> 00:07:16.200]   can be predictable.
[00:07:16.200 --> 00:07:19.000]   It's not entirely predictable, but it's not additive
[00:07:19.000 --> 00:07:20.160]   to what the machine learns.
[00:07:20.160 --> 00:07:21.080]   That's a great answer.
[00:07:21.080 --> 00:07:23.720]   So we're trying to learn as much as we can learn.
[00:07:23.720 --> 00:07:26.080]   And we've always, from the beginning,
[00:07:26.080 --> 00:07:27.680]   been focused on freeways.
[00:07:27.680 --> 00:07:29.480]   It's just that freeways isn't actually
[00:07:29.480 --> 00:07:31.320]   how the machine learns the fastest
[00:07:31.320 --> 00:07:33.280]   in the most sophisticated environments.
[00:07:33.280 --> 00:07:36.680]   But because you brought up sort of a level three or two
[00:07:36.680 --> 00:07:40.680]   or one system, I think it's also important that for systems
[00:07:40.680 --> 00:07:43.520]   where you need someone to sit behind the wheel,
[00:07:43.520 --> 00:07:45.440]   you can have a completely different approach
[00:07:45.440 --> 00:07:46.320]   to this technology.
[00:07:46.320 --> 00:07:47.400]   But we're really--
[00:07:47.400 --> 00:07:49.600]   I don't know how many of you here have had the chance
[00:07:49.600 --> 00:07:51.480]   to take a Waymo ride here in LA.
[00:07:51.480 --> 00:07:54.800]   It actually includes this campus where we're sitting right now.
[00:07:54.800 --> 00:07:57.240]   But you can't sit behind the wheel.
[00:07:57.240 --> 00:07:58.560]   So there's no ambiguity.
[00:07:58.560 --> 00:08:01.200]   You sit in the passenger seat, or you sit in the back seat.
[00:08:01.200 --> 00:08:03.800]   So let's talk about the LiDAR versus camera bet.
[00:08:03.800 --> 00:08:07.200]   Elon's been pretty clear, hey, you don't need LiDAR.
[00:08:07.200 --> 00:08:08.080]   It's a waste of money.
[00:08:08.080 --> 00:08:10.960]   The LiDAR on Waymos, I believe, is still in the $10,000
[00:08:10.960 --> 00:08:12.880]   to $20,000 incremental cost.
[00:08:12.880 --> 00:08:13.840]   Am I ballpark correct?
[00:08:13.840 --> 00:08:15.480]   I'm not sure.
[00:08:15.480 --> 00:08:16.800]   Oh, OK.
[00:08:16.800 --> 00:08:18.360]   So with that--
[00:08:18.360 --> 00:08:19.720]   As you scale, costs go down.
[00:08:19.720 --> 00:08:20.600]   Yeah, of course.
[00:08:20.600 --> 00:08:23.440]   So who's right?
[00:08:23.440 --> 00:08:25.480]   I mean, are you using the LiDAR, and is that
[00:08:25.480 --> 00:08:26.560]   a critical piece of this?
[00:08:26.560 --> 00:08:29.000]   Or do you think eventually, hey, the cameras
[00:08:29.000 --> 00:08:31.040]   are seeing in 360 degrees.
[00:08:31.040 --> 00:08:33.360]   They have higher fidelity than human eyes.
[00:08:33.360 --> 00:08:35.080]   And if humans do a great job, and you just
[00:08:35.080 --> 00:08:36.400]   have to beat the humans at driving,
[00:08:36.400 --> 00:08:37.520]   why even have the LiDAR?
[00:08:37.520 --> 00:08:38.840]   What do you think?
[00:08:38.840 --> 00:08:42.160]   So obviously, we have conviction that we need LiDAR, radar,
[00:08:42.160 --> 00:08:43.440]   and cameras.
[00:08:43.440 --> 00:08:44.560]   We have all three.
[00:08:44.560 --> 00:08:46.800]   It's given us the opportunity to scale at this point.
[00:08:46.800 --> 00:08:49.440]   We're the only company that's doing level 4 driving
[00:08:49.440 --> 00:08:52.240]   on public roads 24 hours a day.
[00:08:52.240 --> 00:08:54.680]   It's very different to get to the place of a demo.
[00:08:54.680 --> 00:08:58.880]   We learned that ourselves back in 2015, and '16, and '17.
[00:08:58.880 --> 00:09:03.000]   We had an autopilot highway product.
[00:09:03.000 --> 00:09:05.320]   We allowed employees, at the time Google employees,
[00:09:05.320 --> 00:09:06.840]   to ride in that product.
[00:09:06.840 --> 00:09:08.600]   We told them to pay attention.
[00:09:08.600 --> 00:09:10.600]   We told them, you have to be alert and be
[00:09:10.600 --> 00:09:12.240]   prepared to take over.
[00:09:12.240 --> 00:09:13.200]   What did they do?
[00:09:13.200 --> 00:09:14.040]   We're human.
[00:09:14.040 --> 00:09:16.480]   We want to do other stuff when we're in the car.
[00:09:16.480 --> 00:09:17.880]   Like, I want to be on the phone.
[00:09:17.880 --> 00:09:19.120]   I want to get to that meeting.
[00:09:19.120 --> 00:09:20.400]   I need to send that last email.
[00:09:20.400 --> 00:09:22.960]   I need to check whether or not my son's doctor's appointment
[00:09:22.960 --> 00:09:24.160]   is tomorrow or next Thursday.
[00:09:24.160 --> 00:09:25.520]   We're distracted.
[00:09:25.520 --> 00:09:27.560]   And so what happens, the thing's beeping at you.
[00:09:27.560 --> 00:09:30.240]   It's telling you to re-engage and pay attention.
[00:09:30.240 --> 00:09:32.400]   And what we learned is that that's not
[00:09:32.400 --> 00:09:34.320]   a way to improve road safety.
[00:09:34.320 --> 00:09:36.440]   And so the question is, what's the end goal?
[00:09:36.440 --> 00:09:38.000]   Is it to improve road safety or not?
[00:09:38.000 --> 00:09:40.560]   For us as a company, we're obsessed.
[00:09:40.560 --> 00:09:42.240]   Our culture is about safety.
[00:09:42.240 --> 00:09:43.680]   This mission is about safety.
[00:09:43.680 --> 00:09:47.480]   And we want to expand the number of people who have access
[00:09:47.480 --> 00:09:48.880]   to mobility options.
[00:09:48.880 --> 00:09:51.360]   If you need a driver's license, then it's
[00:09:51.360 --> 00:09:54.040]   just like every other mobility platform.
[00:09:54.040 --> 00:09:56.400]   You have to be behind the wheel.
[00:09:56.400 --> 00:09:57.480]   Sorry, go ahead.
[00:09:57.480 --> 00:10:00.960]   I'm curious about when this flips from a technology
[00:10:00.960 --> 00:10:06.320]   problem and a go-to-market problem to one of public health.
[00:10:06.320 --> 00:10:08.000]   Because that's a staggering fact.
[00:10:08.000 --> 00:10:13.160]   And we all know people that have lost somebody close to them,
[00:10:13.160 --> 00:10:15.640]   whether it's just a road accident or to drunk driving
[00:10:15.640 --> 00:10:16.440]   or to--
[00:10:16.440 --> 00:10:18.720]   I don't know if you guys saw "Anybody Follows Hockey,"
[00:10:18.720 --> 00:10:21.160]   but Johnny Hockey who was killed with his brother
[00:10:21.160 --> 00:10:23.560]   the day before his sister's wedding by a drunk drive.
[00:10:23.560 --> 00:10:26.040]   This is so avoidable.
[00:10:26.040 --> 00:10:28.800]   So what does it take for a politician
[00:10:28.800 --> 00:10:30.760]   or a group of politicians-- and I don't even
[00:10:30.760 --> 00:10:33.200]   know at which level this decision would get made--
[00:10:33.200 --> 00:10:34.800]   where they say, OK, we've seen enough.
[00:10:34.800 --> 00:10:36.720]   That should be the only solution.
[00:10:36.720 --> 00:10:38.760]   And are you pushing for that?
[00:10:38.760 --> 00:10:42.000]   So we are pushing to make sure people
[00:10:42.000 --> 00:10:44.120]   who put autonomous vehicles on the road
[00:10:44.120 --> 00:10:46.240]   have to demonstrate their safety case.
[00:10:46.240 --> 00:10:48.480]   We think the worst thing that could happen
[00:10:48.480 --> 00:10:51.680]   is introducing a new technology that doesn't actually
[00:10:51.680 --> 00:10:53.040]   improve this problem.
[00:10:53.040 --> 00:10:54.660]   Because it'll kill the whole industry.
[00:10:54.660 --> 00:10:56.240]   Because it'll kill the whole industry.
[00:10:56.240 --> 00:11:01.760]   And the state of affairs, 40,000 Americans, 1.35 globally,
[00:11:01.760 --> 00:11:05.760]   dying annually from road crashes, is avoidable.
[00:11:05.760 --> 00:11:07.960]   And so the challenge that we have
[00:11:07.960 --> 00:11:14.760]   to tackle with a lot of humility is how prepared is the public--
[00:11:14.760 --> 00:11:16.800]   humans can kill other people.
[00:11:16.800 --> 00:11:19.600]   How prepared is the public to accept that this
[00:11:19.600 --> 00:11:23.360]   isn't going to be a panacea, and it's not going to be perfect?
[00:11:23.360 --> 00:11:25.800]   You didn't hear me say 100%, 100%, 100%, right?
[00:11:25.800 --> 00:11:26.320]   It was 70.
[00:11:26.320 --> 00:11:27.360]   There'll be a small error rate.
[00:11:27.360 --> 00:11:29.240]   There's going to be a small-- and so that's
[00:11:29.240 --> 00:11:31.560]   the work that we're doing, which is we have community
[00:11:31.560 --> 00:11:34.040]   partners, Mothers Against Drunk Driving, National Safety
[00:11:34.040 --> 00:11:36.360]   Council, a host of organizations who've
[00:11:36.360 --> 00:11:38.960]   been trying to tackle this issue, who we partnered
[00:11:38.960 --> 00:11:42.680]   with early because it's actually in both of our interests
[00:11:42.680 --> 00:11:46.360]   to figure out how to tell the story that if this technology
[00:11:46.360 --> 00:11:51.440]   can reduce 60% of the fatalities,
[00:11:51.440 --> 00:11:53.600]   then it's worth the exposure to the risks.
[00:11:53.600 --> 00:11:56.320]   Are you on any sort of internal shock clock,
[00:11:56.320 --> 00:11:58.360]   meaning there must have been a moment where
[00:11:58.360 --> 00:12:00.520]   you convened a meeting, or you guys had a meeting,
[00:12:00.520 --> 00:12:02.480]   and you said, all right, we have enough data.
[00:12:02.480 --> 00:12:02.960]   Let's go.
[00:12:02.960 --> 00:12:04.720]   We're going to pull the guy out of the car.
[00:12:04.720 --> 00:12:05.680]   Or, hey, this is it.
[00:12:05.680 --> 00:12:06.160]   We're ready.
[00:12:06.160 --> 00:12:09.120]   And then you show it to regulators, and they say, OK.
[00:12:09.120 --> 00:12:12.800]   Is there a set of these really important milestones
[00:12:12.800 --> 00:12:16.200]   that we're going to feel like goes to other cities?
[00:12:16.200 --> 00:12:18.280]   Is it only grid cities where this works?
[00:12:18.280 --> 00:12:19.960]   So where do you go from here?
[00:12:19.960 --> 00:12:24.000]   Yeah, I hope that what, over time, you start to experience
[00:12:24.000 --> 00:12:27.840]   is, one, because we are super focused on safety,
[00:12:27.840 --> 00:12:31.040]   you'll see us scaling.
[00:12:31.040 --> 00:12:34.960]   And because we're building a driver and not a car,
[00:12:34.960 --> 00:12:36.840]   you'll see us scaling in a number of ways.
[00:12:36.840 --> 00:12:37.880]   So we have partnerships.
[00:12:37.880 --> 00:12:41.000]   Right now, we have a partnership with Uber in Phoenix.
[00:12:41.000 --> 00:12:41.920]   Why are we doing that?
[00:12:41.920 --> 00:12:43.120]   People are like, oh, my gosh.
[00:12:43.120 --> 00:12:45.000]   I got my Uber Eats in a Waymo.
[00:12:45.000 --> 00:12:46.160]   Why are you all doing that?
[00:12:46.160 --> 00:12:47.740]   It's because we're building a driver.
[00:12:47.740 --> 00:12:49.120]   And so we're trying to figure out
[00:12:49.120 --> 00:12:51.080]   all of the ways in which this driver could
[00:12:51.080 --> 00:12:53.440]   be applied to future use cases.
[00:12:53.440 --> 00:12:55.360]   And so over time, you're certainly
[00:12:55.360 --> 00:12:56.900]   going to see us announce new places,
[00:12:56.900 --> 00:12:59.560]   but you're also going to see, like in San Francisco,
[00:12:59.560 --> 00:13:02.800]   we launched a 24-hour service in a limited territory.
[00:13:02.800 --> 00:13:04.640]   And over time, we've expanded that territory.
[00:13:04.640 --> 00:13:06.360]   Is it a step function in complexity
[00:13:06.360 --> 00:13:08.760]   to go to cities that are more--
[00:13:08.760 --> 00:13:11.720]   how would I call it-- more chaotically city planned?
[00:13:11.720 --> 00:13:15.360]   It is definitely an opportunity for the driver to learn more.
[00:13:15.360 --> 00:13:17.360]   And so coming to Los Angeles, for example,
[00:13:17.360 --> 00:13:19.560]   was more like being in Phoenix.
[00:13:19.560 --> 00:13:20.280]   Going to Austin--
[00:13:20.280 --> 00:13:20.840]   Grids.
[00:13:20.840 --> 00:13:21.680]   Exactly.
[00:13:21.680 --> 00:13:22.160]   Exactly.
[00:13:22.160 --> 00:13:23.920]   Going to Manhattan, we will certainly
[00:13:23.920 --> 00:13:25.000]   benefit from our work.
[00:13:25.000 --> 00:13:27.300]   And San Francisco, same thing with DC.
[00:13:27.300 --> 00:13:29.740]   So start with the grid cities and work your way
[00:13:29.740 --> 00:13:31.140]   into more complex cities.
[00:13:31.140 --> 00:13:33.740]   So can I follow up on that last point?
[00:13:33.740 --> 00:13:37.700]   I have a friend who's the third or fourth investor in Uber.
[00:13:37.700 --> 00:13:46.740]   And he's very worried that once this product scales,
[00:13:46.740 --> 00:13:49.180]   there's not really going to be a need for Uber anymore.
[00:13:49.180 --> 00:13:51.340]   Why would you need Uber if you can just
[00:13:51.340 --> 00:13:53.940]   summon the robot car directly, or the robot driver,
[00:13:53.940 --> 00:13:55.440]   whatever you want to call it, right?
[00:13:55.440 --> 00:13:56.700]   Driver, car, whatever.
[00:13:56.700 --> 00:14:01.660]   I mean, doesn't this logically disrupt Uber once it's
[00:14:01.660 --> 00:14:03.980]   at scale?
[00:14:03.980 --> 00:14:06.140]   I think--
[00:14:06.140 --> 00:14:08.340]   [LAUGHTER]
[00:14:08.340 --> 00:14:09.720]   Well, there are current partners.
[00:14:09.720 --> 00:14:11.740]   As I said, we have a partnership with--
[00:14:11.740 --> 00:14:13.860]   right, I mean, we have a partnership.
[00:14:13.860 --> 00:14:16.620]   Your friend hasn't sold enough shares.
[00:14:16.620 --> 00:14:18.140]   Your friend's doing just fine.
[00:14:18.140 --> 00:14:20.000]   We have the partnership with Uber
[00:14:20.000 --> 00:14:22.260]   because we think it's important for us
[00:14:22.260 --> 00:14:26.180]   to create an AV ecosystem around this technology.
[00:14:26.180 --> 00:14:29.260]   This isn't going to be we've created technology.
[00:14:29.260 --> 00:14:31.540]   We're going to figure out everything ourselves.
[00:14:31.540 --> 00:14:33.420]   That would be foolish and very expensive.
[00:14:33.420 --> 00:14:35.500]   And we'd never find ourselves profitable.
[00:14:35.500 --> 00:14:39.300]   But having companies that are experts in integration,
[00:14:39.300 --> 00:14:41.700]   having automotive partner--
[00:14:41.700 --> 00:14:43.060]   we're not building the car--
[00:14:43.060 --> 00:14:46.060]   having network partners, having fleet operating
[00:14:46.060 --> 00:14:48.540]   partners, public officials.
[00:14:48.540 --> 00:14:51.540]   There's a lot that is built around us.
[00:14:51.540 --> 00:14:53.580]   And these are the early days, the early innings.
[00:14:53.580 --> 00:14:55.820]   And so that's part of it is learning.
[00:14:55.820 --> 00:14:59.700]   I'd say five years ago, people would say to me--
[00:14:59.700 --> 00:15:02.260]   network operators would say, oh, this is exactly--
[00:15:02.260 --> 00:15:03.820]   we know how to do this.
[00:15:03.820 --> 00:15:05.820]   Well, this is a constrained supply.
[00:15:05.820 --> 00:15:08.380]   It's not a supply you just surge.
[00:15:08.380 --> 00:15:11.220]   This is a driver that you need to understand actually
[00:15:11.220 --> 00:15:12.140]   how to operate with.
[00:15:12.140 --> 00:15:14.100]   And so I think we're going through those steps
[00:15:14.100 --> 00:15:14.980]   to learn together.
[00:15:14.980 --> 00:15:16.500]   And so what I would say is there's
[00:15:16.500 --> 00:15:18.700]   room for a lot of people--
[00:15:18.700 --> 00:15:23.340]   is the insurance lobby and the insurance industry a proponent?
[00:15:23.340 --> 00:15:28.780]   Or would they try to constrain your progress?
[00:15:28.780 --> 00:15:32.460]   So one of the largest reinsurers in the world, Swiss Re,
[00:15:32.460 --> 00:15:35.060]   has actually been doing our safety--
[00:15:35.060 --> 00:15:37.380]   Yeah, they would want to underwrite this.
[00:15:37.380 --> 00:15:39.220]   But I'm talking about more like the GEICOs of the world.
[00:15:39.220 --> 00:15:39.740]   Same.
[00:15:39.740 --> 00:15:42.980]   I think they're very eager to get the data sets that we're
