
[00:00:00.000 --> 00:00:05.320]   Hello everyone.
[00:08:26.960 --> 00:08:27.720]   Where?
[00:08:27.720 --> 00:08:33.680]   Deuteronomy 32, verse 5, "Vengeance is mine.
[00:08:33.680 --> 00:08:36.480]   I will repay, says the Lord."
[00:08:36.480 --> 00:08:39.720]   Then he continues, only this time without even telling us.
[00:08:39.720 --> 00:08:43.880]   He's quoting the entirety of Proverbs 25, 21, and 22.
[00:08:44.240 --> 00:08:47.000]   "To the contrary, if your enemy is hungry, feed him.
[00:08:47.000 --> 00:08:49.600]   If he's thirsty, give him something to drink.
[00:08:49.600 --> 00:08:55.760]   By so doing, you'll reap coals of fire, burning coals upon his head."
[00:08:55.760 --> 00:08:58.480]   And on and on it goes in the New Testament.
[00:08:58.480 --> 00:09:06.400]   So my limited, but I hope significant and helpful suggestion for Sarah is that two
[00:09:06.400 --> 00:09:10.600]   glorious uses of the Old Testament today are these.
[00:09:10.640 --> 00:09:18.440]   One, meeting God for who he really is so that we can know him and worship him since his
[00:09:18.440 --> 00:09:22.640]   character was revealed as truly in the Old Testament as in the New.
[00:09:22.640 --> 00:09:23.560]   That's first one.
[00:09:23.560 --> 00:09:30.840]   And two, letting the hundreds of promises in the Old Testament wash over you as your
[00:09:30.840 --> 00:09:39.720]   blood-bought birthright in Christ Jesus so that every day you set yourself free from
[00:09:39.720 --> 00:09:46.120]   sin by the superior pleasures of the promises of God.
[00:09:46.120 --> 00:09:47.200]   Amen.
[00:09:47.200 --> 00:09:48.280]   Amen and amen.
[00:09:48.280 --> 00:09:52.400]   Thank you, Pastor John, for modeling this earnest reading of the Old Testament over
[00:09:52.400 --> 00:09:58.240]   the years and for seeking to find glimpses of God's revealed glory in Scripture and so
[00:09:58.240 --> 00:10:02.760]   often capturing the promises and then sharing those things with us all on Twitter,
[00:10:02.760 --> 00:10:05.320]   where a lot of those discoveries find a home.
[00:10:05.320 --> 00:10:09.040]   Thank you for modeling this very approach to the Old Testament.
[00:10:09.040 --> 00:10:11.680]   And thank you for listening and making the podcast a part of your week.
[00:10:11.680 --> 00:10:14.920]   You can subscribe to our audio feeds and you can search our past episodes in our
[00:10:14.920 --> 00:10:17.880]   archive, even reach us by email with a question you may be having, even questions
[00:10:17.880 --> 00:10:22.200]   related to better understanding our Bibles and how to read them with better profit.
[00:10:22.200 --> 00:10:25.360]   Like this very good question today from Sarah.
[00:10:25.640 --> 00:10:30.720]   You can do all that through our online home at desiringgod.org/askpastorjohn.
[00:10:30.720 --> 00:10:34.880]   Well, we're going to return on Friday and I'm not sure what we're going to be
[00:10:34.880 --> 00:10:36.200]   talking about, but we'll be talking.
[00:10:36.200 --> 00:10:38.920]   We'll be fielding another one of your very excellent questions.
[00:10:38.920 --> 00:10:40.880]   Please keep those questions coming into us.
[00:10:40.880 --> 00:10:43.480]   We appreciate each and every one of them.
[00:10:43.480 --> 00:10:45.000]   I'm your host, Tony Reinke.
[00:10:45.000 --> 00:10:45.800]   We'll see you on Friday.
[00:10:45.840 --> 00:10:46.040]   Bye.
[00:10:46.040 --> 00:10:51.040]   Bye.
[00:10:51.040 --> 00:11:01.040]   [BLANK_AUDIO]

