
[00:00:00.000 --> 00:00:05.500]   [no audio]
[00:09:59.800 --> 00:10:03.800]   Effectively, that's kind of where we get into how batching works.
[00:10:03.800 --> 00:10:13.800]   So for example, if you had, let's say, two tensors that have some batch dimension,
[00:10:13.800 --> 00:10:19.800]   and then one of them is M by 1, and the other one is 1 by N.
[00:10:19.800 --> 00:10:23.800]   And if you do a batched matrix multiply to those two tensors,
[00:10:23.800 --> 00:10:27.800]   now what you effectively do is you preserve the batch dimension,
[00:10:27.800 --> 00:10:32.800]   and then you're doing a matrix multiplication between an M by 1 tensor and a 1 by N.
[00:10:32.800 --> 00:10:36.800]   So you get something that's the batch dimension by M by N.
[00:10:36.800 --> 00:10:42.800]   So effectively, they're kind of more, I think the full semantics are written out on the PyTorch website
[00:10:42.800 --> 00:10:44.800]   for how the matrix multiplication works.
[00:10:44.800 --> 00:10:48.800]   But you're right, you don't just have these cases where you have two two-dimensional tensors.
[00:10:48.800 --> 00:10:50.800]   You can have arbitrary number of dimensions,
[00:10:50.800 --> 00:10:55.800]   and as long as the dimensions match up based on those semantics I was saying,
[00:10:55.800 --> 00:10:56.800]   then you can multiply it.
[00:10:56.800 --> 00:11:00.800]   Alternatively, you can do what I do, which is just multiply it anyways,
[00:11:00.800 --> 00:11:04.800]   and then if it throws an error, print out the shapes and kind of work from there.
[00:11:04.800 --> 00:11:07.800]   That tends to be faster in my opinion in a lot of ways.
[00:11:07.800 --> 00:11:10.800]   But yeah, that's a good point.
[00:11:10.800 --> 00:11:17.800]   All right, so yeah, let's keep going through some of the other different functionalities here.
[00:11:17.800 --> 00:11:20.800]   So we can define another tensor,
[00:11:20.800 --> 00:11:25.800]   and kind of one of the key things that we always want to look at is the shape.
[00:11:25.800 --> 00:11:29.800]   So in this case, we just have a 1D tensor of length 3,
[00:11:29.800 --> 00:11:33.800]   so the torch.size just gives us 3.
[00:11:33.800 --> 00:11:36.800]   In general, this is kind of one of the key debugging steps
[00:11:36.800 --> 00:11:40.800]   and something that I'll try and emphasize a lot throughout this session,
[00:11:40.800 --> 00:11:45.800]   which is printing the shapes of all of your tensors is probably your best resource.
[00:11:45.800 --> 00:11:50.800]   When it comes to debugging, it's kind of one of the hardest things to intuit exactly what's going on
[00:11:50.800 --> 00:11:54.800]   once you start stacking a lot of different operations together.
[00:11:54.800 --> 00:12:00.800]   So printing out the shapes at each point and seeing do they match what you expect is something important,
[00:12:00.800 --> 00:12:06.800]   and it's better to rely on that than just on the error message that PyTorch gives you,
[00:12:06.800 --> 00:12:10.800]   because under the hood, PyTorch might implement certain optimizations
[00:12:10.800 --> 00:12:13.800]   and actually reshape the underlying tensor you have,
[00:12:13.800 --> 00:12:15.800]   so you may not see the numbers you expect.
[00:12:15.800 --> 00:12:18.800]   So it's always great to print out the shape.
[00:12:18.800 --> 00:12:22.800]   And so yeah, let's...
[00:12:22.800 --> 00:12:26.800]   So again, we can always print out the shape,
[00:12:26.800 --> 00:12:32.800]   and we can have a more complex, in this case, 3-dimensional tensor,
[00:12:32.800 --> 00:12:34.800]   which is 3 by 2 by 4,
[00:12:34.800 --> 00:12:39.800]   and we can print out the shape and we can see all of the dimensions here.
[00:12:39.800 --> 00:12:44.800]   And so now you're like, "Okay, great, we have tensors, we can look at their shapes,
[00:12:44.800 --> 00:12:46.800]   but what do we actually do with them?"
[00:12:46.800 --> 00:12:52.800]   And so now let's get into kind of what are the operations that we can apply to these tensors.
[00:12:52.800 --> 00:12:58.800]   And so one of them is it's very easy to reshape tensors.
[00:12:58.800 --> 00:13:03.800]   So in this case, we're creating this 15-dimensional tensor that's...
[00:13:03.800 --> 00:13:06.800]   the number is 1 to 15,
[00:13:06.800 --> 00:13:11.800]   and now we're reshaping it so now it's a 5 by 3 tensor here.
[00:13:11.800 --> 00:13:15.800]   And so you might wonder, "Well, like, what's the point of that?"
[00:13:15.800 --> 00:13:20.800]   And it's because a lot of times when we are doing machine learning,
[00:13:20.800 --> 00:13:22.800]   we actually want to learn in batches,
[00:13:22.800 --> 00:13:25.800]   and so we might take our data and we might reshape it
[00:13:25.800 --> 00:13:29.800]   so now that instead of kind of being a long, flattened list of things,
[00:13:29.800 --> 00:13:31.800]   we actually have a set of batches,
[00:13:31.800 --> 00:13:37.800]   or in some cases we have a set of batches of a set of sentences or sequences
[00:13:37.800 --> 00:13:39.800]   of a particular length,
[00:13:39.800 --> 00:13:44.800]   and each of the elements in that sequence has an embedding of a particular dimension.
[00:13:44.800 --> 00:13:48.800]   And so based on the types of operations that you're trying to do,
[00:13:48.800 --> 00:13:51.800]   you'll sometimes need to reshape those tensors,
[00:13:51.800 --> 00:13:56.800]   and sometimes you'll want to particularly sometimes transpose dimensions
[00:13:56.800 --> 00:14:00.800]   if you want to, for instance, reorganize your data.
[00:14:00.800 --> 00:14:04.800]   So that's another operation to keep in mind.
[00:14:04.800 --> 00:14:09.800]   I believe the difference is view will...
[00:14:09.800 --> 00:14:11.800]   view will create a view of the underlying tensor,
[00:14:11.800 --> 00:14:15.800]   and so I think the underlying tensor will still have this same shape.
[00:14:15.800 --> 00:14:22.800]   It will actually modify the tensor.
[00:14:22.800 --> 00:14:25.800]   All right, and then finally, like I said at the beginning,
[00:14:25.800 --> 00:14:30.800]   your intuition about PyTorch tensors can simply be they're kind of a nice,
[00:14:30.800 --> 00:14:33.800]   easy way to work with NumPy arrays,
[00:14:33.800 --> 00:14:35.800]   but they have all these great properties,
[00:14:35.800 --> 00:14:40.800]   like now we can essentially use them with GPUs and it's very optimized,
[00:14:40.800 --> 00:14:44.800]   and we can also compute gradients quickly,
[00:14:44.800 --> 00:14:47.800]   and to kind of just emphasize this point,
[00:14:47.800 --> 00:14:50.800]   if you have some NumPy code and you have a bunch of NumPy arrays,
[00:14:50.800 --> 00:14:56.800]   you can directly convert them into PyTorch sensors by simply casting them,
[00:14:56.800 --> 00:15:03.800]   and you can also take those tensors and convert them back to NumPy arrays.
[00:15:03.800 --> 00:15:06.800]   All right, and so one of the things you might be asking is,
[00:15:06.800 --> 00:15:09.800]   why do we care about tensors?
[00:15:09.800 --> 00:15:11.800]   What makes them good?
[00:15:11.800 --> 00:15:16.800]   And one of the great things about them is that they support vectorized operations very easily.
[00:15:16.800 --> 00:15:21.800]   Essentially, we can parallelize a lot of different computations and do them,
[00:15:21.800 --> 00:15:24.800]   for instance, across a batch of data all at once,
[00:15:24.800 --> 00:15:28.800]   and one of those operations you might want to do, for instance, is a sum.
[00:15:28.800 --> 00:15:32.800]   So you can take, in this case,
[00:15:32.800 --> 00:15:36.800]   a tensor which is shaped five by seven,
[00:15:36.800 --> 00:15:41.800]   and it looks like that's not working.
[00:15:41.800 --> 00:15:43.800]   You can take a tensor that's shaped five by seven,
[00:15:43.800 --> 00:15:50.800]   and now you can compute different operations on it that essentially collapse the dimensionality.
[00:15:50.800 --> 00:15:56.800]   So the first one is sum, and so you can take it and you can sum across both the rows as well as the columns,
[00:15:56.800 --> 00:16:01.800]   and so one way I like to think about this to kind of keep them straight is that
[00:16:01.800 --> 00:16:06.800]   the dimension that you specify in the sum is the dimension you're collapsing.
[00:16:06.800 --> 00:16:11.800]   So in this case, if you take the data and sum over dimension zero,
[00:16:11.800 --> 00:16:15.800]   because you know the shape of the underlying tensor is five by seven,
[00:16:15.800 --> 00:16:18.800]   you've collapsed the zeroth dimension,
[00:16:18.800 --> 00:16:21.800]   so you should be left with something that's just shaped seven.
[00:16:21.800 --> 00:16:26.800]   And if you see the actual tensor, you've got 75, 80, 85, 90,
[00:16:26.800 --> 00:16:29.800]   you've got this tensor which is shaped seven.
[00:16:29.800 --> 00:16:35.800]   Alternatively, you can think about whether or not you're kind of summing across the rows or summing across the columns.
[00:16:35.800 --> 00:16:39.800]   But it's not just sum, it applies to other operations as well.
[00:16:39.800 --> 00:16:43.800]   You can compute standard deviations, you can normalize your data,
[00:16:43.800 --> 00:16:48.800]   you can do other operations which essentially batch across the entire set of data.
[00:16:48.800 --> 00:16:52.800]   And not only do these apply over one dimension,
[00:16:52.800 --> 00:16:55.800]   but here you can see that if you don't specify any dimensions,
[00:16:55.800 --> 00:16:59.800]   then by default the operation actually applies to the entire tensor.
[00:16:59.800 --> 00:17:03.800]   So here we end up just taking the sum of the entire thing.
[00:17:03.800 --> 00:17:06.800]   So if you think about it, the zeroth dimension is the number of rows,
[00:17:06.800 --> 00:17:08.800]   there are five rows and there are seven columns.
[00:17:08.800 --> 00:17:16.800]   So if we sum out the rows, then we're actually summing across the columns,
[00:17:16.800 --> 00:17:19.800]   and so now we only have seven values.
[00:17:19.800 --> 00:17:22.800]   But I like to think about more just in terms of the dimensions to keep it straight
[00:17:22.800 --> 00:17:25.800]   rather than rows or columns because it can get confusing.
[00:17:25.800 --> 00:17:27.800]   If you're summing out dimension zero,
[00:17:27.800 --> 00:17:32.800]   then effectively you've taken something which has some shape that's dimension zero by dimension one
[00:17:32.800 --> 00:17:36.800]   to just whatever is the dimension one shape.
[00:17:36.800 --> 00:17:41.800]   And then from there you can kind of figure out, okay, which way did I actually sum to check if you were right.
[00:17:41.800 --> 00:17:45.800]   NumPy implements a lot of this vectorization,
[00:17:45.800 --> 00:17:49.800]   and I believe in the homework that you have right now,
[00:17:49.800 --> 00:17:52.800]   I think part of your job is to vectorize a lot of these things.
[00:17:52.800 --> 00:17:59.800]   So the big advantage with PyTorch is that essentially it's optimized to be able to take advantage of your GPU.
[00:17:59.800 --> 00:18:04.800]   When we actually start building out neural networks that are bigger, that involve more computation,
[00:18:04.800 --> 00:18:08.800]   we're going to be doing a lot of these matrix multiplication operations
[00:18:08.800 --> 00:18:13.800]   that it's going to be a lot better for our processor if we can make use of the GPU.
[00:18:13.800 --> 00:18:17.800]   And so that's where PyTorch really comes in handy.
[00:18:17.800 --> 00:18:22.800]   In addition to also defining a lot of those neural network modules as we'll see later,
[00:18:22.800 --> 00:18:26.800]   um, for you so that now you don't need to worry about, for instance,
[00:18:26.800 --> 00:18:32.800]   implementing a basic linear layer and back propagation from scratch and also your optimizer.
[00:18:32.800 --> 00:18:37.800]   All of those things will be built in and you can just call the respective APIs to make use of them.
[00:18:37.800 --> 00:18:43.800]   Whereas in Python and NumPy you might have to do a lot of that coding yourself.
[00:18:43.800 --> 00:18:53.800]   Yeah. All right. So we'll keep going.
[00:18:53.800 --> 00:18:59.800]   So this is a quiz except I think it tells you the answer so it's not much of a quiz.
[00:18:59.800 --> 00:19:07.800]   But pretty much, you know, what would you do if now I told you instead of, you know, summing over this tensor,
[00:19:07.800 --> 00:19:10.800]   I want you to compute the average.
[00:19:10.800 --> 00:19:13.800]   And so there's, there's two different ways you could compute the average.
[00:19:13.800 --> 00:19:18.800]   You could compute the average across the rows or across the columns.
[00:19:18.800 --> 00:19:23.800]   And so essentially now we kind of get back to this question of, well,
[00:19:23.800 --> 00:19:25.800]   which dimension am I actually going to reduce over?
[00:19:25.800 --> 00:19:28.800]   And so here if we want to preserve the rows,
[00:19:28.800 --> 00:19:32.800]   then we need to actually sum over the second dimension.
[00:19:32.800 --> 00:19:36.800]   Um, there are really the first, uh, zeroth and first.
[00:19:36.800 --> 00:19:40.800]   So the first dimension is what we add to sum over, uh,
[00:19:40.800 --> 00:19:43.800]   because we want to preserve the zeroth dimension.
[00:19:43.800 --> 00:19:47.800]   And so that's why for row average you see the dim equals one.
[00:19:47.800 --> 00:19:52.800]   And for column average, same reasoning is why you see the dim equals zero.
[00:19:52.800 --> 00:19:59.800]   And so if we run this code, we'll see kind of what are the shapes that we expect.
[00:19:59.800 --> 00:20:01.800]   If we're taking the average over rows,
[00:20:01.800 --> 00:20:06.800]   then an object that's two by three should just become an object that's two.
[00:20:06.800 --> 00:20:10.800]   It's just a one-dimensional, almost a vector you can think of.
[00:20:10.800 --> 00:20:15.800]   And if we are averaging across the columns, there's three columns.
[00:20:15.800 --> 00:20:17.800]   So now our average should have three values.
[00:20:17.800 --> 00:20:20.800]   And so now we're left with a three-dim- uh,
[00:20:20.800 --> 00:20:23.800]   one-dimensional tensor of length three.
[00:20:23.800 --> 00:20:26.800]   So yeah, does that kind of make sense?
[00:20:26.800 --> 00:20:29.800]   I guess is this general intuition about how we deal with shapes,
[00:20:29.800 --> 00:20:32.800]   and how some of these operations manipulate shapes.
[00:20:32.800 --> 00:20:34.800]   So now we'll get into indexing.
[00:20:34.800 --> 00:20:37.800]   This can get a little bit tricky,
[00:20:37.800 --> 00:20:43.800]   but I think you'll find that the semantics are very similar to NumPy.
[00:20:43.800 --> 00:20:49.800]   So one of the things that you can do in NumPy is that you can take these NumPy arrays,
[00:20:49.800 --> 00:20:51.800]   and you can slice across them.
[00:20:51.800 --> 00:20:54.800]   In many different ways, you can create copies of them,
[00:20:54.800 --> 00:21:00.800]   and you can index across particular dimensions to select out different elements,
[00:21:00.800 --> 00:21:02.800]   different rows, or different columns.
[00:21:02.800 --> 00:21:05.800]   And so in this case, let's take this example tensor,
[00:21:05.800 --> 00:21:09.800]   which is three by two by two.
[00:21:09.800 --> 00:21:14.800]   Um, and first thing you always want to do when you have a new tensor,
[00:21:14.800 --> 00:21:17.800]   print out its shape, understand what you're working with.
[00:21:17.800 --> 00:21:21.800]   And so I guess, uh,
[00:21:21.800 --> 00:21:27.800]   I may have shown this already, but what will x bracket zero print out?
[00:21:27.800 --> 00:21:30.800]   What happens if we index into just the first element?
[00:21:30.800 --> 00:21:33.800]   What's the shape of this?
[00:21:33.800 --> 00:21:37.800]   Yeah, two by two, right?
[00:21:37.800 --> 00:21:38.800]   Because if you think about it,
[00:21:38.800 --> 00:21:41.800]   our tensor is really just a list of three things.
[00:21:41.800 --> 00:21:45.800]   Each of those things happens to also be a two by two tensor.
[00:21:45.800 --> 00:21:47.800]   So we get a two by two object,
[00:21:47.800 --> 00:21:50.800]   in this case, the first thing, one, two, three, four.
[00:21:50.800 --> 00:21:53.800]   And so just like NumPy,
[00:21:53.800 --> 00:21:56.800]   if you provide a colon in a particular dimension,
[00:21:56.800 --> 00:21:59.800]   it means essentially copy over that dimension.
[00:21:59.800 --> 00:22:03.800]   So if we do x bracket zero implicitly,
[00:22:03.800 --> 00:22:06.800]   we're essentially putting a colon for all the other dimensions.
[00:22:06.800 --> 00:22:11.800]   So it's essentially saying, grab the first thing along the zeroth dimension,
[00:22:11.800 --> 00:22:14.800]   and then grab everything along the other two dimensions.
[00:22:14.800 --> 00:22:18.800]   If we now take, uh,
[00:22:18.800 --> 00:22:22.800]   just the zeroth along- the element along the first dimension,
[00:22:22.800 --> 00:22:25.800]   um, what are we going to get?
[00:22:25.800 --> 00:22:29.800]   Well, ultimately, we're going to get- now,
[00:22:29.800 --> 00:22:31.800]   if you look, uh,
[00:22:31.800 --> 00:22:34.800]   the kind of first dimension where these three things,
[00:22:34.800 --> 00:22:39.800]   the second dimension is now each of these two rows within those things.
[00:22:39.800 --> 00:22:42.800]   So like one, two, and three, four, five, six, and seven,
[00:22:42.800 --> 00:22:44.800]   eight, nine, 10, and 11, 12.
[00:22:44.800 --> 00:22:51.800]   So if we index into the second dimen- or the first dimension and get the zeroth element,
[00:22:51.800 --> 00:22:56.800]   then we're going to end up with one, two, five, six, and nine, 10.
[00:22:56.800 --> 00:23:00.800]   And even if that's a little bit tricky,
[00:23:00.800 --> 00:23:03.800]   you can kind of go back to the trick I mentioned before,
[00:23:03.800 --> 00:23:07.800]   where we're slicing across the first dimension.
[00:23:07.800 --> 00:23:09.800]   So if we look at the shape of our tensor,
[00:23:09.800 --> 00:23:11.800]   it's three by two by two.
[00:23:11.800 --> 00:23:14.800]   If we collapse the first dimension,
[00:23:14.800 --> 00:23:17.800]   that two in the middle, we're left with something that's three by two.
[00:23:17.800 --> 00:23:23.800]   So it might seem a little bit trivial kind of going through this in a lot of detail,
[00:23:23.800 --> 00:23:28.800]   but I think it's important because it can get tricky when your tensor shapes get more complicated,
[00:23:28.800 --> 00:23:30.800]   how to actually reason about this.
[00:23:30.800 --> 00:23:36.800]   And so I won't go through every example here since a lot of them kind of reinforce the same thing,
[00:23:36.800 --> 00:23:38.800]   but I'll just highlight a few things.
[00:23:38.800 --> 00:23:43.800]   Just like NumPy, you can choose to get a range of elements.
[00:23:43.800 --> 00:23:49.800]   Uh, in this case, we're taking this new tensor,
[00:23:49.800 --> 00:23:55.800]   which is one to- one through 15 rearranged as a five by three tensor.
[00:23:55.800 --> 00:23:59.800]   And if we take the zeroth through third row, um,
[00:23:59.800 --> 00:24:02.800]   exclusive, we'll get the first three rows.
[00:24:02.800 --> 00:24:07.800]   And we can do the same thing, but now with slicing across multiple dimensions.
[00:24:07.800 --> 00:24:15.800]   And I think the final point I want to talk about here is list indexing.
[00:24:15.800 --> 00:24:18.800]   List indexing is also present in NumPy,
[00:24:18.800 --> 00:24:25.800]   and it's a very clever shorthand for being able to essentially select out multiple elements at once.
[00:24:25.800 --> 00:24:28.800]   So in this case, what you can do is,
[00:24:28.800 --> 00:24:35.800]   if you want to get the zeroth, the second, and the fourth element of our matrix,
[00:24:35.800 --> 00:24:40.800]   you can just, instead of indexing with a particular number or set of numbers,
[00:24:40.800 --> 00:24:43.800]   index with a list of indices.
[00:24:43.800 --> 00:24:47.800]   So in this case, if we go up to our tensor,
[00:24:47.800 --> 00:24:51.800]   if we take out the zeroth, the second, and the fourth,
[00:24:51.800 --> 00:24:54.800]   we should see those three rows,
[00:24:54.800 --> 00:24:59.800]   and that's what we end up getting.
[00:24:59.800 --> 00:25:04.800]   Yeah, again, these are kind of a lot of examples to just reiterate the same point,
[00:25:04.800 --> 00:25:08.800]   which is that you can slice across your data in multiple ways,
[00:25:08.800 --> 00:25:11.800]   and at different points you're going to need to do that.
