
[00:00:00.000 --> 00:00:05.180]   So as someone who writes and talks a lot about producing meaningful stuff in a distracted world,
[00:03:07.360 --> 00:03:12.560]   better works though. It typically has long periods of practice. It leads to new levels of skill and
[00:03:12.560 --> 00:03:19.760]   each level of skill is harder to get to than the last. So it's almost more of a linear or like a slow
[00:03:19.760 --> 00:03:23.920]   linear function that an exponential function like compound interest would give you. You're kind of
[00:03:23.920 --> 00:03:28.820]   getting better faster and then it really slows down. It just gets harder to get to each new level.
[00:03:28.820 --> 00:03:34.580]   Whereas compound interest, you get a curve that picks up speed as it's going. I also am concerned about
[00:03:34.580 --> 00:03:40.280]   him making the slight shift. He's combining getting 1% better as an example of compound
[00:03:40.280 --> 00:03:46.820]   growth to doing 10% more each day. This doesn't really jive with my study of long-term productivity.
[00:03:46.820 --> 00:03:51.780]   If you looked at my book, Slow Productivity, which came out last year, one of the things I do is study
[00:03:51.780 --> 00:03:57.380]   some of the most historically productive people, meaning like what they produce, historical figures
[00:03:57.380 --> 00:04:01.260]   that produce things that we look back at now and say that was super important. What a productive
[00:04:01.260 --> 00:04:06.200]   intellectual life they had. So Galileo or Newton or Marie Curie or Jane Austen, et cetera.
[00:04:06.200 --> 00:04:12.880]   And what you find in these stories is their key was not getting more done each day.
[00:04:12.880 --> 00:04:19.460]   In fact, what I highlighted was there's a certain notable slowness or even lack of urgency
[00:04:19.460 --> 00:04:25.300]   behind their biggest achievements. They thought about it. They had long digressions into other
[00:04:25.300 --> 00:04:29.260]   interests. They would come back to them. They would let it marinate. And ultimately,
[00:04:29.260 --> 00:04:34.680]   it didn't really matter. The busyness or phoneticism of any given day wasn't important.
[00:04:34.680 --> 00:04:38.640]   It was more about the consistent application of thought over a long period of time that eventually
[00:04:38.640 --> 00:04:43.160]   led to really big breakthroughs. So when it comes to producing really meaningful stuff,
[00:04:43.160 --> 00:04:48.780]   I don't know that this idea of I get 10% more done each day really matters. I think where that
[00:04:48.780 --> 00:04:53.180]   will lead to more often than not is just busyness. That's the easiest thing to get 10% more done of.
[00:04:53.180 --> 00:04:57.500]   And busyness doesn't necessarily transmute into results. All right. So that's an idea where I'm not
[00:04:57.500 --> 00:05:03.360]   completely on board with the way Altman is summarizing things. Idea two, however, I'm very
[00:05:03.360 --> 00:05:09.760]   much on board with. Let me read now from Altman's essay. It doesn't matter how fast you move if it's
[00:05:09.760 --> 00:05:15.280]   in a worthless direction. Picking the right thing to work on is the most important element of productivity
[00:05:15.280 --> 00:05:21.380]   and usually almost ignored. So think about it more. I make sure to leave enough time in my schedule to
[00:05:21.380 --> 00:05:25.320]   think about what to work on. The best ways for me to do this are reading books, hanging out with
[00:05:25.320 --> 00:05:32.020]   interesting people, and spending time in nature. Interestingly, this is somewhat contradictory to
[00:05:32.020 --> 00:05:35.600]   idea number one, which is like, hey, get 10% more done each day. It'll add up. And you say, no,
[00:05:35.600 --> 00:05:39.200]   take your time. Don't get started. Think more. Hang out in nature. Hang out with interesting people.
[00:05:39.340 --> 00:05:44.500]   Read, wait to get started. Really make sure that you have the right thing to work on. I'm a big believer
[00:05:44.500 --> 00:05:50.980]   in that idea. I remember I wrote an essay about this way back early in my writing career. I wrote an
[00:05:50.980 --> 00:05:59.200]   essay for Ramit Sethi's blog, and it was called Don't Get Started. My argument was, it is basically
[00:05:59.200 --> 00:06:06.400]   Sam's argument. It is really hard to figure out the right thing to work on. The thing that's going to
[00:06:06.400 --> 00:06:12.640]   matter, and it uses the rare and valuable skills that you currently possess. And you, it's probably
[00:06:12.640 --> 00:06:16.320]   going to take a long time once you choose the right thing to get really good results. So you want to be
[00:06:16.320 --> 00:06:20.000]   really wary of just diving into things, because when you dive into things, you're basically flooding your
[00:06:20.000 --> 00:06:25.080]   circuits with activity, and you are taking them out of the game for working on other more important
[00:06:25.080 --> 00:06:30.260]   things. So resist working on things. I often say with big projects, resist working on them. Think
[00:06:30.260 --> 00:06:34.860]   about them, read about them, get excited about them, but resist working on them until you can't help it
[00:06:34.860 --> 00:06:42.780]   anymore. Sort of like me with book writing, me with this podcast. Man, I resisted podcasting for a long
[00:06:42.780 --> 00:06:48.200]   time. I learned a lot about it. No, it's not quite right. I don't want to just do it for the sake of
[00:06:48.200 --> 00:06:52.240]   doing it. I don't like activity for the sake of activity. It took me years before I said, okay,
[00:06:52.240 --> 00:06:56.880]   I can't avoid this any longer. That's really what you should be looking for. Fewer things,
[00:06:56.880 --> 00:07:03.100]   done better. That has been a theme through my work so long that the original, one of the original
[00:07:03.320 --> 00:07:07.720]   mottos of my study hacks blog back when it was still focused on students was do less, do better,
[00:07:07.720 --> 00:07:13.440]   know why. Do less, do better. It's a key idea. So I think Sam is absolutely onto it there.
[00:07:13.440 --> 00:07:18.420]   That's probably reflected in OpenAI. They kind of chose their points. They chose their battles where
[00:07:18.420 --> 00:07:22.120]   they thought there could be big work, for example, working on very large scale language models.
[00:07:22.120 --> 00:07:27.740]   And then they went down that road year after year. So they carefully chose what they were working on
[00:07:27.740 --> 00:07:31.820]   and then really gave that a lot of attention over time. That's where the big breakthroughs came from.
[00:07:31.820 --> 00:07:36.720]   All right, idea number three. Now we're going to get into the weeds of actual time management.
[00:07:36.720 --> 00:07:38.420]   Here's Sam.
[00:07:38.420 --> 00:07:44.300]   I highly recommend using lists. I make lists of what I want to accomplish each year, each month,
[00:07:44.300 --> 00:07:48.940]   and each day. Lists are very focusing and they help me with multitasking because I don't have to
[00:07:48.940 --> 00:07:53.360]   keep as much in my head. If I'm not in the mood for some particular task, I can always find something
[00:07:53.360 --> 00:07:58.980]   else I'm excited to do. Later, he says, I don't bother with categorization or trying to size tasks
[00:07:58.980 --> 00:08:03.340]   or anything like that. The most I do is put a star next to really important items. I try to prioritize
[00:08:03.340 --> 00:08:07.600]   in a way that generates momentum. The more I get done, the better I feel. And then the more I get
[00:08:07.600 --> 00:08:13.560]   done. I like to start and end each day with something I can really make progress on. A couple of
[00:08:13.560 --> 00:08:20.620]   interesting points about his approach here. One, we do see him preaching a principle that I talk a lot
[00:08:20.620 --> 00:08:26.080]   on this show, which comes from David Allen, who himself took it from Dean Atchison, which is the
[00:08:26.080 --> 00:08:30.680]   notion of full capture. Having things written down and not being kept track of just in your head is
[00:08:30.680 --> 00:08:36.740]   critical for avoiding unnecessary stress and forgotten deadlines and scrambles. Do not use your brain as a
[00:08:36.740 --> 00:08:41.740]   task storage device or a calendar. Use task storage devices or calendars for that role. And he makes that
[00:08:41.740 --> 00:08:47.300]   clear here. He says, look, they help me with multitasking so I don't have to keep as much in my head.
[00:08:47.360 --> 00:08:50.740]   By multitasking, he means just having multiple projects going on at the same time.
[00:08:50.740 --> 00:08:57.420]   So that's useful. I also notice, however, the simplicity of his systems. He just like writes things down on a
[00:08:57.420 --> 00:09:01.380]   list on paper. He doesn't break it up into categories. He doesn't do any sort of prioritization.
[00:09:01.380 --> 00:09:04.600]   He just sort of looks at the list and says, what do I want to work on next?
[00:09:04.600 --> 00:09:09.980]   Maybe he'll put a star next to something to really remind him that it's important to get it done.
[00:09:10.820 --> 00:09:15.300]   That type of basic system, a sort of what's known as an MIT system,
[00:09:15.300 --> 00:09:19.220]   most important task system, it's been around. It's an idea that's been around for a while.
[00:09:19.220 --> 00:09:22.960]   We hear it in the early 2000s. We hear
[00:09:22.960 --> 00:09:26.900]   Julie Morgenstern talking about this. We hear Brian Tracy talking about this.
[00:09:26.900 --> 00:09:29.220]   We hear Leo Babudov's Inhabits talking about this.
[00:09:29.220 --> 00:09:33.220]   Even more recently, when Oliver Berkman came on my show last fall, this was basically
[00:09:33.220 --> 00:09:37.100]   what he was pitching. Get the important thing done first and then kind of do your best with
[00:09:37.100 --> 00:09:37.980]   the rest of the day.
[00:09:37.980 --> 00:09:43.200]   Hey, it's Cal. I wanted to interrupt briefly to say that if you're enjoying this video,
[00:09:43.200 --> 00:09:49.500]   then you need to check out my new book, Slow Productivity, The Lost Art of Accomplishment
[00:09:49.500 --> 00:09:56.660]   Without Burnout. This is like the Bible for most of the ideas we talk about here in these videos.
[00:09:56.660 --> 00:10:03.800]   You can get a free excerpt at calnewport.com slash slow. I know you're going to like it.
[00:10:03.800 --> 00:10:06.140]   Check it out. Now let's get back to the video.
[00:10:06.140 --> 00:10:14.620]   It works and it doesn't. So, I mean, it works in the sense of if your goal is to make progress on
[00:10:14.620 --> 00:10:19.660]   what's important, this is emphasizing that really just means doing the important things and making
[00:10:19.660 --> 00:10:26.100]   progress. So I think the fact that Sam had this sort of simple system, I just make sure the important
[00:10:26.100 --> 00:10:32.140]   stuff gets done, shows how when it comes to long-term productivity, this is really different
[00:10:32.140 --> 00:10:35.900]   and busyness. This is really different than I'm quick on my emails and Slack. I'm jumping on a
[00:10:35.900 --> 00:10:41.140]   bunch of calls. For Sam, his productivity was dependent on doing a small number of things
[00:10:41.140 --> 00:10:46.680]   consistently well. The issue is for a lot of us, there's a lot of other stuff too that we have to
[00:10:46.680 --> 00:10:52.220]   do that is not just, hey, here's the project I want to work on. It is, I have to get back to this
[00:10:52.220 --> 00:10:57.300]   person. This dean wants to know this. My students need me to sign this. The parking office needs me to
[00:10:57.300 --> 00:11:00.900]   update my license plate for the new license plate readers they installed in the Levy garage.
[00:11:00.900 --> 00:11:07.140]   Just making these up on the top of my head here. And we can't say no to those things. So that's the
[00:11:07.140 --> 00:11:12.080]   context where you actually probably need a more complicated task storage system because you can't
[00:11:12.080 --> 00:11:18.460]   just, if you have many unignorable demands on your time, so you have the big, like Sam's focusing on,
[00:11:18.460 --> 00:11:22.520]   and the small. If you just have a big list and you're just trying to choose from there, hey,
[00:11:22.520 --> 00:11:25.640]   what's the big thing I want to work on today? That small stuff is going to eat away at you
[00:11:25.640 --> 00:11:28.940]   because you're going to miss things. People are going to yell at you. Small things will get missed.
[00:11:28.940 --> 00:11:32.260]   People are like, where's this? Where's that? Your car is going to get a ticket because you didn't
[00:11:32.260 --> 00:11:35.500]   update your license plate information. And that's going to become a source of stress and a problem.
[00:11:35.500 --> 00:11:41.160]   So I like the point that Sam is making here. It's like ultimately just doing something important
[00:11:41.160 --> 00:11:45.340]   every day is what matters for the stuff that people will remember you for. The busyness doesn't
[00:11:45.340 --> 00:11:51.840]   produce stuff that matters. But if you have a lot of that other stuff, smarter task storage might be
[00:11:51.840 --> 00:11:56.120]   important, right? This is why I like to store stuff in cognitive context. So I could say I'm going to
[00:11:56.120 --> 00:12:00.780]   spend time on like my professor role and just see tasks for that divided into statuses. So it's very
[00:12:00.780 --> 00:12:05.760]   easy to sort of see what's what and what needs to get done. So smarter task storage, I think it's
[00:12:05.760 --> 00:12:09.840]   necessary if you have a lot to do, but don't forget Sam's big lesson here, which is, yeah, but the small
[00:12:09.840 --> 00:12:15.280]   stuff is secondary. Do the best you can with that. Organize it in a way that's going to save you from
[00:12:15.280 --> 00:12:18.500]   stress, but it's really working on the important things each day that's going to matter.
[00:12:18.500 --> 00:12:22.540]   All right. Idea number four from Sam Altman. Here's Sam.
[00:12:22.540 --> 00:12:27.960]   I try to be ruthless about saying no to stuff and doing non-critical things in the quickest way
[00:12:27.960 --> 00:12:33.140]   possible. I probably take this too far. For example, I am almost sure I am terse to the point of rudeness
[00:12:33.140 --> 00:12:37.480]   when replying to emails. I generally try to avoid meetings and conferences as I find the time cost to
[00:12:37.480 --> 00:12:42.820]   be huge. Again, I think there's a critical point here. Whether or not you have the power to say no to
[00:12:42.820 --> 00:12:47.120]   everything, it emphasizes how almost everything doesn't matter.
[00:12:47.120 --> 00:12:51.940]   This is a theme, I think, that goes through Sam's essay here.
[00:12:51.940 --> 00:12:59.020]   The things that mattered that made open AI from a struggling nonprofit to a company with a massive
[00:12:59.020 --> 00:13:02.980]   valuation and huge impact on the world technological and economic scene,
[00:13:02.980 --> 00:13:08.460]   the things that mattered were small and hard, and he was pretty ruthless about coming back to them.
[00:13:09.160 --> 00:13:13.720]   So if you worry about saying no to stuff, thinking that this somehow makes you less productive,
[00:13:13.720 --> 00:13:19.360]   keep in mind this uber productive individual's productivity was built on his default of,
[00:13:19.360 --> 00:13:24.020]   I really don't want to do stuff. Most stuff is just getting in the way of time.
[00:13:24.020 --> 00:13:28.840]   Taking my time away from the stuff I know for sure is going to be really valuable.
[00:13:30.000 --> 00:13:36.360]   More executives should probably follow that advice as well, right? I mean, I've talked to more than a few
[00:13:36.360 --> 00:13:38.940]   executives who would have been in Sam's position at different companies that say,
[00:13:38.940 --> 00:13:41.540]   no, my job is right. I have to be in meetings. How can I say no to them?
[00:13:41.540 --> 00:13:44.300]   And he's saying, well, because if you want to be good at what you do,
[00:13:44.300 --> 00:13:47.700]   the meetings aren't really what matters so much as like you
[00:13:47.700 --> 00:13:51.320]   understanding, pushing, and developing the ideas that are going to make the biggest difference.
[00:13:51.320 --> 00:13:53.280]   All right, idea number five from Sam.
[00:13:54.280 --> 00:13:58.580]   I have different times of day I try to use for different kinds of work. The first few hours of
[00:13:58.580 --> 00:14:02.340]   the morning are definitely my most productive time of the day. So I don't let anyone schedule
[00:14:02.340 --> 00:14:07.160]   anything. Then I try to do meetings in the afternoon. Another great idea, the morning is a
[00:14:07.160 --> 00:14:11.680]   good time for deep work for most people. So just having a simple rule, I don't do meetings until this
[00:14:11.680 --> 00:14:18.040]   point makes a big difference. I was chatting recently with a president of a former president of
[00:14:18.040 --> 00:14:23.100]   a large company. And he was saying this was a huge change for him is that they were just filling his
[00:14:23.100 --> 00:14:28.740]   days with meetings, his staff. And at some point they said, okay, you know, we're going to protect
[00:14:28.740 --> 00:14:34.200]   time in the morning for just working on your own stuff. And he was worried this would make him a worse
[00:14:34.200 --> 00:14:38.560]   executive instead made him way better. There's endless people that want your time. There's endless
[00:14:38.560 --> 00:14:43.740]   meetings you could take. You're already constraining the meetings you can take because your day is only
[00:14:43.740 --> 00:14:48.140]   so long. So why not just change those constraints even more so that you have more time to work on
[00:14:48.140 --> 00:14:52.100]   the big thoughts that are going to matter as well. If Sam Maltman can do it, you can probably do it
[00:14:52.100 --> 00:14:58.960]   as well. So ultimately I think Sam has a lot of non-surprising advice here. I mean, I think he would,
[00:14:58.960 --> 00:15:04.200]   would have been, these ideas would have fit well in my book, Slow Productivity. These ideas would
[00:15:04.200 --> 00:15:08.520]   have fit well in my book, Deep Work. And perhaps this is not surprising because he ended up being very
[00:15:08.520 --> 00:15:13.680]   successful at what he did. He worked on deep stuff in a distracted world. I want to end with a
[00:15:13.680 --> 00:15:18.960]   quote from Sam's essay that I think summarizes well the gist of his whole philosophy here.
[00:15:18.960 --> 00:15:25.100]   Don't fall into the trap of productivity porn. Chasing productivity for its own sake isn't helpful.
[00:15:25.100 --> 00:15:30.480]   Many people spend too much time thinking about how to perfectly optimize their system and not nearly
[00:15:30.480 --> 00:15:35.080]   enough asking if they're working on the right problems. It doesn't matter what system you use or
[00:15:35.080 --> 00:15:39.460]   if you squeeze out every second if you're working on the wrong thing. And I think that gets to the heart
[00:15:39.460 --> 00:15:43.740]   of it. Spend a lot of time figuring out what matters. That's not an easy question. But once
[00:15:43.740 --> 00:15:48.040]   you've answered it, spend a lot of time working on that thing. And do your best with whatever else.
[00:15:48.040 --> 00:15:52.080]   And that'll work itself out. Don't stress yourself out too much. It's impossible to do it all anyways.
[00:15:52.080 --> 00:15:57.280]   But working hard on the right thing consistently, that's what matters. Everything else is just
[00:15:57.280 --> 00:16:00.640]   trying to take care of the details that are trying to get in the way of that.
[00:16:01.000 --> 00:16:04.960]   Great way of thinking about it. So you need some systems and some rules, but mainly you
[00:16:04.960 --> 00:16:07.640]   just have to do the work of finding what to work on and putting in the right time.
[00:16:07.640 --> 00:16:13.620]   I wonder, he probably, his rules probably have changed by now just because that company's
[00:16:13.620 --> 00:16:14.020]   so large.
[00:16:14.020 --> 00:16:15.320]   And he's a lot richer.
[00:16:15.320 --> 00:16:17.500]   Yeah, he is a lot richer.
[00:16:17.500 --> 00:16:19.760]   I don't know if that changes his rules.
[00:16:19.760 --> 00:16:22.740]   That's true. But I'm just thinking like the size of the company now versus then.
[00:16:22.740 --> 00:16:23.460]   Yeah.
[00:16:23.460 --> 00:16:28.240]   It'd be interesting to check in. I think now he probably is all meetings. I've never met Sam
[00:16:28.240 --> 00:16:33.840]   Altman, but busy guy. All right. Well, we have some more, speak of Sam, we're going to do
[00:16:33.840 --> 00:16:38.060]   some AI stuff at the end of the show, but now we want to move on to some questions. But first,
[00:16:38.060 --> 00:16:41.160]   as always, let's briefly hear from a sponsor.
[00:16:41.160 --> 00:16:47.480]   Trust isn't just earned, it's demanded. Whether you're a startup founder navigating your first
[00:16:47.480 --> 00:16:52.360]   audit or a seasoned security professional scaling your GRC program, proving your commitment to
[00:16:52.360 --> 00:16:58.080]   security has never been more critical or more complex. That's where Vanta comes in.
[00:16:58.080 --> 00:17:03.400]   Businesses use Vanta to establish trust by automating compliance needs across over 35
[00:17:03.400 --> 00:17:10.040]   frameworks like SOC 2 and ISO 27001. Centralized security workflows, complete questionnaires up
[00:17:10.040 --> 00:17:16.020]   to five times faster and proactively manage vendor risk. Vanta can help you start or upscale your
[00:17:16.020 --> 00:17:20.080]   security program by connecting you with auditors and experts to conduct your audit and set up your
[00:17:20.080 --> 00:17:25.400]   security program quickly. Plus with automation and AI throughout the platform, Vanta gives you time
[00:17:25.400 --> 00:17:31.160]   back so you can focus on building your company. Let's make sense with our AI conversation.
[00:17:31.160 --> 00:17:34.660]   Let Vanta help you on the security side so you can focus on the deep thoughts that matter.
[00:17:34.660 --> 00:17:40.360]   Join over 9,000 global companies like Atlassian, Quora, and Factory. Use Vanta to manage risk,
[00:17:40.360 --> 00:17:46.360]   improve security in real time. Here's the good news. My listeners can get $1,000 off Vanta
[00:17:46.360 --> 00:17:52.440]   if you go to Vanta.com slash deep questions. That's V-A-N-T-A dot com slash deep questions
[00:17:52.440 --> 00:18:00.780]   for $1,000 off. I also want to talk about our longtime sponsors at ZocDoc. This is a big problem
[00:18:00.780 --> 00:18:05.980]   a lot of people face. There's some sort of medical thing that shows up. That shoulder's barking,
[00:18:05.980 --> 00:18:11.620]   your eye is itchy, the tooth is hurting, and you realize I don't have a doctor I can call for this
[00:18:11.620 --> 00:18:17.300]   right now. The question becomes, how do I find that doctor? What most people do is maybe they
[00:18:17.300 --> 00:18:21.800]   ask around their friends. Their friends give them a recommendation. They call that person up,
[00:18:21.800 --> 00:18:27.980]   and that person laughs. They say, we take no insurance. Our next appointment is available in
[00:18:27.980 --> 00:18:33.620]   2032. Quite frankly, you should be ashamed for even thinking that we could see you in our doctor's
[00:18:33.620 --> 00:18:38.680]   office. It's like a whole socially fraught thing, especially for introverts like me. This is where ZocDoc
[00:18:38.680 --> 00:18:43.980]   enters the scene. It's the right way to find health care providers. ZocDoc is a free app and website
[00:18:43.980 --> 00:18:48.140]   where you can search and compare high-quality in-network doctors and click to instantly book
[00:18:48.140 --> 00:18:53.120]   an appointment. We're talking about booking in-network appointments with more than 100,000 doctors across
[00:18:53.120 --> 00:18:57.960]   every specialty, from mental health to dental health, primary care to urgent care, and more.
[00:18:57.960 --> 00:19:03.720]   You filter for doctors who take your insurance, located nearby, good fit for what you're looking at.
[00:19:03.720 --> 00:19:08.400]   There's verified patient reviews. You can see, do I like this doctor or not? And then once you find
[00:19:08.400 --> 00:19:13.280]   that doctor, you can see their actual appointment openings right there from ZocDoc. Choose a time
[00:19:13.280 --> 00:19:18.780]   slot that works for you, and boom, you've booked a visit. Appointments made through ZocDoc also happen
[00:19:18.780 --> 00:19:25.820]   fast, typically within just 24 to 72 hours of booking. You can even sometimes score same-day appointments.
[00:19:25.820 --> 00:19:31.020]   I have multiple, I mean, I use ZocDoc. I mean, I've used it to look for doctors, but I have multiple
[00:19:31.020 --> 00:19:37.700]   practices that use ZocDoc as well. They even use it for paperwork and advance and stuff like this.
[00:19:37.700 --> 00:19:42.320]   So I've been in the ZocDoc ecosystem. It's definitely a go-to for me if I'm looking for
[00:19:42.320 --> 00:19:46.460]   a new healthcare provider. It's one of these ideas that, of course, it should exist. Of course,
[00:19:46.460 --> 00:19:50.560]   there should be a good way to use the internet to find healthcare providers and set up appointments.
[00:19:50.560 --> 00:19:54.160]   So great service. Stop putting off those doctor's appointments and go to
[00:19:54.160 --> 00:20:01.460]   ZocDoc.com slash deep to find and instantly book a top-rated doctor today. That's Z-O-C-D-O-C.com slash
[00:20:01.460 --> 00:20:06.480]   deep. ZocDoc.com slash deep. All right, Jesse, let's do some questions.
[00:20:08.160 --> 00:20:14.840]   First question is from Kelsey. I oversee the admin for over 150 students. This creates a flood of emails
[00:20:14.840 --> 00:20:20.020]   and urgent tasks. Every form still requires my signature. How did you set up Trello in your email
[00:20:20.020 --> 00:20:24.880]   to manage this kind of administrative sprawl without letting it dictate your day? Do your students have
[00:20:24.880 --> 00:20:30.960]   a pipeline to follow, forms to fill out? Well, it's a good question. I mean, you have my sympathies.
[00:20:30.960 --> 00:20:37.300]   You're overseeing admin for 150 students. I'm overseeing the computer science major for 100-something
[00:20:37.300 --> 00:20:43.220]   students. So I'm with you, Kelsey. The first thing I would say, you talk about not letting
[00:20:43.220 --> 00:20:48.200]   administrative sprawl dictate your day. Well, it will be realistic. If you're overseeing admin for that
[00:20:48.200 --> 00:20:52.380]   many people, it's going to be a major part of your day. So we want to make sure that the expectations here
[00:20:52.380 --> 00:20:56.260]   are realistic. We're not going to automate this work out of existence. We're not going to be doing six hours
[00:20:56.260 --> 00:21:02.320]   of deep work a day. But it shouldn't be controlling your day like a puppet master, right? So it shouldn't
[00:21:02.320 --> 00:21:08.360]   be you reactively balancing from one thing to another and feeling like you're always behind or always exhausted
[00:21:08.360 --> 00:21:14.140]   or frustrated. That I think we can do better on. The story I like to tell when trying to get at the right solutions
[00:21:14.140 --> 00:21:20.300]   here is a story from when I was in graduate school and I was TAing for my advisor's distributed algorithms
[00:21:20.300 --> 00:21:25.380]   graduate class. Pretty big class. I don't remember how many kids. Maybe it was like 50 or 60 kids or something like this.
[00:21:25.380 --> 00:21:31.540]   It's a theory class, right? A lot of problem sets. I remember early on. So as a TA, I was in charge of
[00:21:31.540 --> 00:21:37.300]   collecting those problem sets, writing the problem sets or some of the problems, getting the sample
[00:21:37.300 --> 00:21:41.980]   solutions together. We had graders, but I would have to organize and work with the graders to do the
[00:21:41.980 --> 00:21:46.120]   grading, then get the grades entered and those problem sets back to the students. And I remember early on,
[00:21:46.120 --> 00:21:53.480]   it was very time consuming. I'd have all these different problem sets. My advisor and the teacher of the
[00:21:53.480 --> 00:22:00.360]   class wanted Xerox copies as a backup. They're a stapled and, or dog-eared together. And I would
[00:22:00.360 --> 00:22:03.940]   like be pulling out staples and trying to run them through the Xerox machine. And this would take
[00:22:03.940 --> 00:22:09.840]   forever. And then try to, you know, get them to the graders, then get them back to the students. Like
[00:22:09.840 --> 00:22:15.200]   the whole thing was very time consuming. And at some point I had this epiphany. I could just ask the
[00:22:15.200 --> 00:22:21.200]   students to do a little more, a little more that's going to make my life easier that for them,
[00:22:21.200 --> 00:22:25.220]   who cares? It's like a small extra step, but for me could add up to a lot of savings. And that's when
[00:22:25.220 --> 00:22:30.840]   I started saying, okay, here's how you have to hand these things in. They have to be a single-sided,
[00:22:30.840 --> 00:22:37.120]   no double-sided that messes up the photocopy, no staples, just hand them in as a stack with your name
[00:22:37.120 --> 00:22:42.080]   on the top of every page. And I believe I said, when you hand them in, you have to alphabetize
[00:22:42.080 --> 00:22:47.840]   them. So as you come up, you start adding these things to the desk up here, find where your name
[00:22:47.840 --> 00:22:53.660]   goes. So it'll be alphabetized when you're done. And then I could just take this whole stack and run
[00:22:53.660 --> 00:22:58.240]   it through the Xerox copy all at once, the document feeder, have a copy of all of them I could just put
[00:22:58.240 --> 00:23:02.580]   aside. And then I have all of them alphabetized. And the graders could then, when they're done grading,
[00:23:02.580 --> 00:23:06.060]   putting them back alphabetical is easy to hand them back to the class. Like these small things,
[00:23:06.060 --> 00:23:12.020]   a little bit of extra work I made the students do made my life much easier. Now as a professor,
[00:23:12.020 --> 00:23:17.740]   I took this even farther, right? I mean, when it comes to like prom sets and exams, I have these
[00:23:17.740 --> 00:23:21.720]   various administrative things that students can do that just makes my life much easier.
[00:23:21.720 --> 00:23:27.960]   I switched, for example, to digital submission of prom sets. Do your prom set, take good images of it,
[00:23:27.960 --> 00:23:33.480]   upload them directly to our class portal. So me and the graders can see them digitally. We can note them
[00:23:33.480 --> 00:23:37.980]   digitally. We can enter the grades digitally. You can get them back digitally. I don't have to deal
