
[00:00:00.000 --> 00:00:01.200]   Let's just make sure.
[00:02:23.120 --> 00:02:27.560]   And I'm trying to get those notebooks and those authors
[00:02:27.560 --> 00:02:29.560]   the attention that they deserve.
[00:02:29.560 --> 00:02:34.880]   And I've been quite happy, I think, with the way it went.
[00:02:34.880 --> 00:02:38.840]   So I started it pretty much out of a whim about two years ago.
[00:02:38.840 --> 00:02:42.080]   And I was publishing one episode every week
[00:02:42.080 --> 00:02:45.440]   without fail, which wasn't always easy.
[00:02:45.440 --> 00:02:46.360]   But it worked.
[00:02:46.360 --> 00:02:48.760]   So we're at 100 episodes today.
[00:02:48.760 --> 00:02:51.320]   Today, the 100th episode of Hidden Gem
[00:02:51.320 --> 00:02:55.760]   was published, which means 300 notebooks in total.
[00:02:55.760 --> 00:03:00.240]   And that's a very interesting data set overall
[00:03:00.240 --> 00:03:03.080]   that I want people to look at and to study
[00:03:03.080 --> 00:03:06.200]   in this kind of meta take on Kaggle and the Kaggle
[00:03:06.200 --> 00:03:09.520]   community in this notebooks competition.
[00:03:09.520 --> 00:03:11.400]   May I ask you--
[00:03:11.400 --> 00:03:13.480]   you're, of course, very knowledgeable and I'm sure very
[00:03:13.480 --> 00:03:13.960]   busy.
[00:03:13.960 --> 00:03:18.840]   Why are you spending so much time just for the community?
[00:03:18.840 --> 00:03:22.000]   I know it's a sillier job doing the podcast,
[00:03:22.000 --> 00:03:24.720]   but the consistency really tends to be annoying.
[00:03:24.720 --> 00:03:26.640]   And you have to do it over some time
[00:03:26.640 --> 00:03:29.600]   because you have to commit to it and then see it through.
[00:03:29.600 --> 00:03:34.760]   So what made you keep doing it for so long?
[00:03:34.760 --> 00:03:37.760]   Well, I could ask the same question to you, right?
[00:03:37.760 --> 00:03:39.840]   Why do you keep doing the things that you're doing?
[00:03:39.840 --> 00:03:43.560]   And I'd be interested in your answer after my answer.
[00:03:43.560 --> 00:03:48.120]   So I found when I joined Kaggle, one
[00:03:48.120 --> 00:03:50.480]   of the things that immediately gave me
[00:03:50.480 --> 00:03:53.640]   a large boost in learning and in kind of discovering
[00:03:53.640 --> 00:03:54.640]   the notebooks.
[00:03:54.640 --> 00:03:57.160]   And I got very involved in the notebooks, which,
[00:03:57.160 --> 00:03:59.640]   back in the time, were called kernels.
[00:03:59.640 --> 00:04:05.120]   And I still like to call them kernels for old times' sake.
[00:04:05.120 --> 00:04:08.640]   And I really dove into the notebooks.
[00:04:08.640 --> 00:04:11.360]   I was quite successful there.
[00:04:11.360 --> 00:04:13.360]   I became a brand master.
[00:04:13.360 --> 00:04:16.840]   And over time, I had the impression
[00:04:16.840 --> 00:04:20.120]   that there were a lot of people who
[00:04:20.120 --> 00:04:21.560]   were publishing great content.
[00:04:21.560 --> 00:04:23.680]   And a lot of those people got recognition.
[00:04:23.680 --> 00:04:24.880]   They got the upvotes.
[00:04:24.880 --> 00:04:27.040]   They got recognition from the community.
[00:04:27.040 --> 00:04:29.040]   They got lots of engagement on their notebooks.
[00:04:29.040 --> 00:04:32.760]   But every now and then, I would stumble across a notebook that
[00:04:32.760 --> 00:04:35.600]   was really a hidden gem.
[00:04:35.600 --> 00:04:39.960]   It was maybe attached to a secure data set.
[00:04:39.960 --> 00:04:42.480]   It didn't get that much engagement.
[00:04:42.480 --> 00:04:45.920]   But the author had gone through a great deal of work
[00:04:45.920 --> 00:04:48.960]   to make this notebook really engaging, really fun,
[00:04:48.960 --> 00:04:50.400]   and really insightful.
[00:04:50.400 --> 00:04:53.480]   I'm sorry, could you please adjust your mic settings?
[00:04:53.480 --> 00:04:55.720]   I think it's a bit far away.
[00:04:55.720 --> 00:04:56.920]   Can you see it?
[00:04:56.920 --> 00:04:57.760]   It's perfect now.
[00:04:57.760 --> 00:04:58.280]   Yeah.
[00:04:58.280 --> 00:04:59.000]   Is it better now?
[00:04:59.000 --> 00:05:00.680]   You were cutting off, sorry.
[00:05:00.680 --> 00:05:01.640]   I'm sorry for that.
[00:05:01.640 --> 00:05:04.920]   You were saying that you kept finding hidden gems literally
[00:05:04.920 --> 00:05:06.920]   while going through notebooks.
[00:05:06.920 --> 00:05:09.640]   Yes, I kept finding these hidden gems.
[00:05:09.640 --> 00:05:14.960]   And the way that I thought of it is
[00:05:14.960 --> 00:05:18.960]   that I had been quite fortunate in the feedback
[00:05:18.960 --> 00:05:23.440]   and the engagement that I got from the community,
[00:05:23.440 --> 00:05:25.680]   for whichever reasons, I don't know.
[00:05:25.680 --> 00:05:28.280]   And other people who were producing
[00:05:28.280 --> 00:05:31.560]   great content for other reasons weren't that fortunate.
[00:05:31.560 --> 00:05:35.640]   So I thought that there's a lot of great content
[00:05:35.640 --> 00:05:41.600]   hidden within the Kaggle data sets or in other Kaggle events.
[00:05:41.600 --> 00:05:45.880]   And I thought to myself, it would be great
[00:05:45.880 --> 00:05:51.040]   if there was a way to bring that content to the forefront
[00:05:51.040 --> 00:05:52.800]   and to make it accessible to other people,
[00:05:52.800 --> 00:05:55.480]   because there's a lot that you can learn from it.
[00:05:55.480 --> 00:05:59.960]   And one of the great strengths of the Kaggle community
[00:05:59.960 --> 00:06:04.040]   is the very wide range of people from different backgrounds,
[00:06:04.040 --> 00:06:06.680]   very diverse set of community members
[00:06:06.680 --> 00:06:09.160]   that bring in new ideas and bring in new angles.
[00:06:09.160 --> 00:06:11.400]   And sometimes some of those might be hidden
[00:06:11.400 --> 00:06:12.640]   and you have to look for them.
[00:06:12.640 --> 00:06:14.880]   And I wanted to make it easier to look for them.
[00:06:14.880 --> 00:06:21.240]   And since I was quite successful and quite happy
[00:06:21.240 --> 00:06:23.440]   with the notebooks, so the notebooks were something
[00:06:23.440 --> 00:06:25.800]   that came relatively natural to me,
[00:06:25.800 --> 00:06:29.800]   I thought the Kaggle community has given me so much.
[00:06:29.800 --> 00:06:32.720]   This is a way for me to give back to it.
[00:06:32.720 --> 00:06:40.880]   This is a way for me to use the modest reputation that I have
[00:06:40.880 --> 00:06:45.240]   and use my expertise when it comes to notebook design
[00:06:45.240 --> 00:06:47.520]   and when it comes to visuals and everything
[00:06:47.520 --> 00:06:50.200]   to highlight these hidden treasures
[00:06:50.200 --> 00:06:52.760]   and to make them available to the rest of the community,
[00:06:52.760 --> 00:06:55.160]   which kind of enriches the community overall
[00:06:55.160 --> 00:06:58.400]   and hopefully also gives some motivation
[00:06:58.400 --> 00:07:02.840]   to these authors of the gems to keep producing great content
[00:07:02.840 --> 00:07:04.440]   and keep coming back to Kaggle.
[00:07:04.440 --> 00:07:09.160]   That's awesome.
[00:07:09.160 --> 00:07:13.960]   Just for the audience, Martin was the first Colonel's
[00:07:13.960 --> 00:07:15.360]   Grandmaster, as I understand.
[00:07:15.360 --> 00:07:17.680]   And there's also an absolutely legendary video
[00:07:17.680 --> 00:07:18.960]   that Kaggle made with him.
[00:07:18.960 --> 00:07:20.440]   I think it's pinned on his Twitter,
[00:07:20.440 --> 00:07:23.160]   so you can go check that out and learn more about his journey
[00:07:23.160 --> 00:07:23.660]   as well.
[00:07:23.660 --> 00:07:28.120]   You were curious about my answer.
[00:07:28.120 --> 00:07:30.160]   I'll try to keep it short because I talk too much.
[00:07:30.160 --> 00:07:33.880]   But it's the same experience for me, just general gratitude
[00:07:33.880 --> 00:07:36.440]   for how awesome the Kaggle community is.
[00:07:36.440 --> 00:07:40.360]   People like yourself, many other legends, share so much.
[00:07:40.360 --> 00:07:43.040]   And for me, it's like an obligation
[00:07:43.040 --> 00:07:45.120]   almost to share your journeys and make sure
[00:07:45.120 --> 00:07:47.280]   it reaches to new Kagglers like myself
[00:07:47.280 --> 00:07:50.120]   so that we can copy your style and hopefully get
[00:07:50.120 --> 00:07:53.880]   to at least some level of where you are.
[00:07:53.880 --> 00:07:56.920]   I'll ask one more question before requesting
[00:07:56.920 --> 00:07:59.720]   you to start sharing how we can get started.
[00:07:59.720 --> 00:08:01.720]   How are you finding these hidden gems?
[00:08:01.720 --> 00:08:03.200]   Is there a process around it?
[00:08:03.200 --> 00:08:05.320]   Because I'm sure it takes a lot of work.
[00:08:05.320 --> 00:08:07.720]   So how are you navigating the platform
[00:08:07.720 --> 00:08:11.280]   or any process around that?
[00:08:11.280 --> 00:08:12.760]   Yeah, that's a good question.
[00:08:12.760 --> 00:08:17.280]   I mean, the process, I have to admit, is a little bit chaotic.
[00:08:17.280 --> 00:08:22.120]   Sometimes I just blindly go through interesting notebooks
[00:08:22.120 --> 00:08:25.120]   that show up on my feed even.
[00:08:25.120 --> 00:08:29.200]   So I don't know how other people use this kind of this Kaggle
[00:08:29.200 --> 00:08:33.240]   news feed that comes up when you just go to the main page.
[00:08:33.240 --> 00:08:35.040]   But I use it for that.
[00:08:35.040 --> 00:08:40.080]   Sometimes I'm kind of falling down rabbit holes almost
[00:08:40.080 --> 00:08:44.640]   on Kaggle, or I'm looking for specific aspects
[00:08:44.640 --> 00:08:48.400]   or for specific tools, like data visualization tools,
[00:08:48.400 --> 00:08:51.800]   or clustering, or time series, or something like this.
[00:08:51.800 --> 00:08:53.840]   And I'm looking for interesting notebooks that have
[00:08:53.840 --> 00:08:56.000]   been published on those topics.
[00:08:56.000 --> 00:09:01.480]   And then very often, there are some gems in there.
[00:09:01.480 --> 00:09:06.360]   So they are the ones that are at the top of the listing, which
[00:09:06.360 --> 00:09:08.960]   are great and which are popular for a good reason.
[00:09:08.960 --> 00:09:11.920]   But then further down, if you sort by votes
[00:09:11.920 --> 00:09:16.960]   or if you sort by the infamous hotness,
[00:09:16.960 --> 00:09:19.840]   then you find other content that's great
[00:09:19.840 --> 00:09:23.160]   but has been relatively overlooked so far.
[00:09:23.160 --> 00:09:28.760]   And sometimes things come up on Twitter, sometimes on LinkedIn
[00:09:28.760 --> 00:09:30.400]   as well, that somebody says, hey, I
[00:09:30.400 --> 00:09:33.840]   published my first Kaggle notebook or something
[00:09:33.840 --> 00:09:34.360]   like this.
[00:09:34.360 --> 00:09:36.120]   And it's really fun.
[00:09:36.120 --> 00:09:39.480]   And then I just bookmark that and then come back to it
[00:09:39.480 --> 00:09:42.800]   like a week or two later and see what has happened to that.
[00:09:42.800 --> 00:09:44.840]   And sometimes there's not much engagement
[00:09:44.840 --> 00:09:50.880]   because the people haven't been a part of the community
[00:09:50.880 --> 00:09:51.920]   for that long.
[00:09:51.920 --> 00:09:55.160]   And I try to give them a little boost and encouragement
[00:09:55.160 --> 00:09:57.600]   if I find that their content is great.
[00:09:57.600 --> 00:09:59.920]   I can be a little bit picky from time to time.
[00:09:59.920 --> 00:10:04.360]   So I do admit that I look at many more notebooks than the
[00:10:04.360 --> 00:10:07.840]   three that end up in the list every week.
[00:10:07.840 --> 00:10:09.720]   I'm sure.
[00:10:09.720 --> 00:10:16.920]   And yeah, and there are some kind of relatively easy tweaks
[00:10:16.920 --> 00:10:19.160]   that you can make to almost any notebook
[00:10:19.160 --> 00:10:22.920]   to make it more interesting to the reader
[00:10:22.920 --> 00:10:25.920]   and more accessible, which in the end
[00:10:25.920 --> 00:10:30.680]   is a huge factor when it comes to, I think,
[00:10:30.680 --> 00:10:33.520]   the success of any notebook or of any report, right?
[00:10:33.520 --> 00:10:35.680]   So we talked about this a little bit in the past,
[00:10:35.680 --> 00:10:36.920]   I think, on your show as well.
[00:10:36.920 --> 00:10:40.320]   I think that being able to communicate
[00:10:40.320 --> 00:10:43.480]   your insights and your work and your process
[00:10:43.480 --> 00:10:46.360]   as a data scientist and a machine learning practitioner
[00:10:46.360 --> 00:10:50.560]   is a highly important but very underrated skill overall.
[00:10:54.120 --> 00:10:56.000]   Yeah, totally.
[00:10:56.000 --> 00:10:58.440]   I still have a lot to learn, so I won't comment on that.
[00:10:58.440 --> 00:11:01.200]   But I'll request you to please start telling us
[00:11:01.200 --> 00:11:06.040]   what's the competition about and how can everyone get started?
[00:11:06.040 --> 00:11:16.240]   Right, so let me share the post that started it all.
[00:11:16.240 --> 00:11:22.280]   So this is the page of the data set itself.
[00:11:22.280 --> 00:11:26.160]   A little bit of background here, this data set
[00:11:26.160 --> 00:11:31.000]   contains all the past Hidden Gems episodes,
[00:11:31.000 --> 00:11:36.240]   so from episode number one all the way down to episode 100.
[00:11:36.240 --> 00:11:39.160]   So you can keep scrolling here, and it keeps refreshing.
[00:11:39.160 --> 00:11:41.640]   And that's something that I had put together
[00:11:41.640 --> 00:11:46.920]   for the anniversary episode 50.
[00:11:46.920 --> 00:11:49.840]   So about a year ago, I decided that, OK, this
[00:11:49.840 --> 00:11:51.600]   seems to be interesting to people.
[00:11:51.600 --> 00:11:55.840]   So let's go with the usual Kaggle style
[00:11:55.840 --> 00:11:57.560]   and put everything into a data set
[00:11:57.560 --> 00:11:59.600]   so that people can have access to it.
[00:11:59.600 --> 00:12:02.120]   And in this data set, you find the date--
[00:12:02.120 --> 00:12:03.840]   Can you please zoom in a bit?
[00:12:03.840 --> 00:12:08.040]   Oh, yes, absolutely.
[00:12:08.040 --> 00:12:08.720]   That's perfect.
[00:12:08.720 --> 00:12:10.560]   Thank you.
[00:12:10.560 --> 00:12:13.880]   All right, so in this data set, you
[00:12:13.880 --> 00:12:17.320]   find the date when the episode was published.
[00:12:17.320 --> 00:12:20.440]   So it's kind of a frequency of a week.
[00:12:20.440 --> 00:12:22.200]   And I publish it in the general forum.
[00:12:22.200 --> 00:12:25.120]   I publish it on Twitter as well, so there's a link for that.
[00:12:25.120 --> 00:12:27.400]   Then the link to the notebook itself,
[00:12:27.400 --> 00:12:32.480]   about that's what it's all about, the name of the author,
[00:12:32.480 --> 00:12:35.720]   or the user ID of the-- or username of the author
[00:12:35.720 --> 00:12:37.920]   on Kaggle, the title of the notebook.
[00:12:37.920 --> 00:12:40.520]   And then I write these short reviews
[00:12:40.520 --> 00:12:45.000]   that explain why I picked this notebook for the Hidden Gems
[00:12:45.000 --> 00:12:50.040]   series and a couple of interesting aspects about it.
[00:12:50.040 --> 00:12:53.920]   So here it's about the comprehensive documentation.
[00:12:53.920 --> 00:12:56.600]   Others have some interactive maps
[00:12:56.600 --> 00:13:01.600]   that I want to highlight, visualize transitions
[00:13:01.600 --> 00:13:03.160]   between generative images.
[00:13:03.160 --> 00:13:05.640]   So there's a large kind of range of what's
[00:13:05.640 --> 00:13:08.440]   interesting about specific notebooks.
[00:13:08.440 --> 00:13:14.200]   And then we have the name of the author,
[00:13:14.200 --> 00:13:18.240]   the way they put it on their profile,
[00:13:18.240 --> 00:13:20.280]   and their social links.
[00:13:20.280 --> 00:13:23.040]   So I have the Twitter link, the LinkedIn link, which can
[00:13:23.040 --> 00:13:24.640]   be put on a profile as well.
[00:13:24.640 --> 00:13:28.400]   And I just kind of read them manually
[00:13:28.400 --> 00:13:30.240]   and put them in every week.
[00:13:30.240 --> 00:13:33.720]   And some of the episodes have special notes.
[00:13:33.720 --> 00:13:38.120]   And this is kind of a column that
[00:13:38.120 --> 00:13:39.760]   was more important at the beginning
[00:13:39.760 --> 00:13:44.120]   when there were these kind of community episodes,
[00:13:44.120 --> 00:13:47.280]   every 10 episodes.
[00:13:47.280 --> 00:13:48.760]   So you can check this out as well,
[00:13:48.760 --> 00:13:51.160]   see if there's some residual information in there.
[00:13:51.160 --> 00:13:53.680]   But overall, those are the main features.
[00:13:53.680 --> 00:13:58.320]   So a post would look like this.
[00:13:58.320 --> 00:14:00.200]   This is today.
[00:14:00.200 --> 00:14:02.120]   I posted this in the morning.
[00:14:02.120 --> 00:14:08.120]   And this is for our anniversary episode, number 100.
[00:14:08.120 --> 00:14:11.000]   There are the three notebooks.
[00:14:11.000 --> 00:14:12.640]   And then there's the short description,
[00:14:12.640 --> 00:14:13.600]   what I like about them.
[00:14:13.600 --> 00:14:18.240]   Here about this one, detailed exploratory analysis.
[00:14:18.240 --> 00:14:21.280]   It's a very strong narration, clean data wrangling,
[00:14:21.280 --> 00:14:25.920]   which is also important that you clearly
[00:14:25.920 --> 00:14:28.520]   explain how you get the data into the shape
[00:14:28.520 --> 00:14:31.680]   that you're then presenting, and really, really great data
[00:14:31.680 --> 00:14:33.520]   visuals.
[00:14:33.520 --> 00:14:39.920]   And all of that is contained in this data set.
[00:14:39.920 --> 00:14:44.240]   And the competition is all about exploring this data set.
[00:14:44.240 --> 00:14:47.520]   So this is the post.
[00:14:47.520 --> 00:14:50.640]   And the post-- so we have this little poster
[00:14:50.640 --> 00:14:53.600]   that we made for it, and it has all the important information.
[00:14:53.600 --> 00:14:57.080]   It's a competition that will run for four weeks from today
[00:14:57.080 --> 00:14:59.640]   until the beginning of May.
[00:14:59.640 --> 00:15:05.680]   And we have some great, great judges from the community,
[00:15:05.680 --> 00:15:08.040]   including yourself and--
[00:15:08.040 --> 00:15:12.520]   I wouldn't count myself on this, on the great list.
[00:15:12.520 --> 00:15:13.520]   Well, I would.
[00:15:13.520 --> 00:15:21.000]   And I'm in charge here, so I count you in there.
[00:15:21.000 --> 00:15:25.480]   And we have Laura, we have Rob, we have Andrada, we have Paoul,
[00:15:25.480 --> 00:15:28.080]   we have Abhishek, and then we have some special guests
[00:15:28.080 --> 00:15:28.960]   as well.
[00:15:28.960 --> 00:15:32.080]   And some of those special guests we can already reveal,
[00:15:32.080 --> 00:15:33.440]   and some of those special guests,
[00:15:33.440 --> 00:15:37.680]   they might appear throughout the competition.
[00:15:37.680 --> 00:15:39.400]   So what is it all about?
[00:15:39.400 --> 00:15:42.720]   What is a notebooks competition to begin with?
[00:15:42.720 --> 00:15:45.640]   It's different from your usual Kaggle competition.
[00:15:45.640 --> 00:15:47.360]   What usually happens on Kaggle is
[00:15:47.360 --> 00:15:53.120]   that your challenge is to predict something,
[00:15:53.120 --> 00:15:55.120]   train your model on a train set, and then
[00:15:55.120 --> 00:15:56.200]   predict on a test set.
[00:15:56.200 --> 00:15:59.840]   And then there's a leaderboard that ranks those predictions.
[00:15:59.840 --> 00:16:04.160]   And the top finishers on the leaderboard
[00:16:04.160 --> 00:16:06.040]   get a prize in the end.
[00:16:06.040 --> 00:16:07.360]   And that's very exciting, right?
[00:16:07.360 --> 00:16:09.280]   That's one of the main reasons why we're here.
[00:16:09.280 --> 00:16:11.880]   And those machine learning competitions are great.
[00:16:11.880 --> 00:16:15.200]   This is a slightly different take on a competition.
[00:16:15.200 --> 00:16:21.200]   Here, what you do is you publish a notebook that explores
[00:16:21.200 --> 00:16:24.240]   and analyzes this data set.
[00:16:24.240 --> 00:16:27.480]   And this notebook, ideally, will discover
[00:16:27.480 --> 00:16:30.640]   some interesting insights, will look at specific aspects,
[00:16:30.640 --> 00:16:34.320]   have some great data visuals, have some strong narration
[00:16:34.320 --> 00:16:36.440]   and explanation.
[00:16:36.440 --> 00:16:41.240]   And on all those criteria, your work
[00:16:41.240 --> 00:16:47.600]   is then being evaluated by our panel of judges, who, again,
[00:16:47.600 --> 00:16:54.800]   are those really stellar pillars of the community that
[00:16:54.800 --> 00:16:59.560]   graciously have agreed to help me with this task of judging
[00:16:59.560 --> 00:17:00.680]   the contributions.
[00:17:00.680 --> 00:17:05.200]   So you see that there are lots of names
[00:17:05.200 --> 00:17:07.960]   that you will recognize, and there are lots of names that
[00:17:07.960 --> 00:17:12.440]   have been an integral part of the community for a long time.
[00:17:12.440 --> 00:17:14.360]   And I'm really, really happy that they
[00:17:14.360 --> 00:17:20.600]   agreed to generously devote some of their time
[00:17:20.600 --> 00:17:24.200]   to this competition and to the judging itself.
[00:17:24.200 --> 00:17:28.880]   So in a nutshell, you write a notebook.
[00:17:28.880 --> 00:17:34.480]   You find some interesting insights on the hidden gems,
[00:17:34.480 --> 00:17:36.160]   on the authors, on the notebooks,
[00:17:36.160 --> 00:17:37.920]   or whichever aspect you like.
[00:17:37.920 --> 00:17:39.280]   You publish this notebook.
[00:17:39.280 --> 00:17:42.080]   You make it very interesting, engaging for the readers.
[00:17:42.080 --> 00:17:46.040]   And then you get judged by the panel.
[00:17:46.040 --> 00:17:48.840]   And your notebook gets a great score,
[00:17:48.840 --> 00:17:51.080]   and you win some cool prizes.
[00:17:51.080 --> 00:17:54.640]   This is what's happening here.
[00:17:54.640 --> 00:17:55.160]   Awesome.
[00:17:55.160 --> 00:17:57.680]   I recognize all of the names on there,
[00:17:57.680 --> 00:18:00.200]   and I'm super stoked about the judge panel
[00:18:00.200 --> 00:18:03.840]   and what the audience will do.
[00:18:03.840 --> 00:18:07.400]   Yes, and have you seen the little Easter egg?
[00:18:07.400 --> 00:18:10.760]   So one of our special guests, which I can already reveal
[00:18:10.760 --> 00:18:16.480]   today, is that we have the co-founder and the CEO
[00:18:16.480 --> 00:18:20.440]   of Kaggle itself, Mr. Anthony Goldbloom,
[00:18:20.440 --> 00:18:25.160]   who will do part of the judging in this competition.
[00:18:25.160 --> 00:18:32.040]   So if you're doing really well and if your notebook gets
[00:18:32.040 --> 00:18:34.800]   really high marks from our judge panel,
[00:18:34.800 --> 00:18:37.920]   then Anthony himself will look at your notebook
[00:18:37.920 --> 00:18:41.240]   and will tell you how great you are.
[00:18:41.240 --> 00:18:47.000]   I can't expect a higher bar for anyone else
[00:18:47.000 --> 00:18:49.840]   to get praise from the CEO of Kaggle himself.
[00:18:49.840 --> 00:18:51.120]   That's super exciting.
[00:18:51.120 --> 00:18:54.960]   Awesome.
[00:18:54.960 --> 00:18:59.360]   So maybe if it's OK, we can give some ideas
[00:18:59.360 --> 00:19:00.800]   on how to get started, maybe just
[00:19:00.800 --> 00:19:04.640]   through your starter notebook or just broad ideas,
[00:19:04.640 --> 00:19:06.600]   if you'd like.
[00:19:06.600 --> 00:19:09.840]   Yes, we can absolutely do that.
[00:19:09.840 --> 00:19:16.800]   So there is a starter notebook, which I have to find,
[00:19:16.800 --> 00:19:18.080]   which is here.
[00:19:18.080 --> 00:19:20.520]   So it's linked in the data set, and it's also linked--
[00:19:20.520 --> 00:19:21.400]   I'm sorry?
[00:19:21.400 --> 00:19:23.640]   Sorry, I was just going to remind the audience
[00:19:23.640 --> 00:19:26.400]   that they can find the discussions on this link.
[00:19:26.400 --> 00:19:32.640]   I've made a short URL, which is 1db.me/hidden-gems-comp.
[00:19:32.640 --> 00:19:37.160]   If you go there, you'll find the discussions inside the data set.
[00:19:37.160 --> 00:19:40.080]   And on there, you can find the thread to get started,
[00:19:40.080 --> 00:19:43.280]   more resources, resources on getting started with symbiosis,
[00:19:43.280 --> 00:19:44.880]   which I just talked about.
[00:19:44.880 --> 00:19:47.400]   You can find all this info on this one small link.
[00:19:47.400 --> 00:19:50.640]   So go there if you don't know where to find this info.
[00:19:50.640 --> 00:19:51.920]   Sorry, please continue.
[00:19:51.920 --> 00:19:53.600]   Sorry to interrupt.
[00:19:53.600 --> 00:19:54.160]   No problem.
[00:19:54.160 --> 00:19:55.880]   It's very important information.
[00:19:55.880 --> 00:19:59.000]   Since we want lots of people to participate,
[00:19:59.000 --> 00:20:04.040]   and we want all of them to know how to get started.
[00:20:04.040 --> 00:20:08.600]   And one way to get started is to look at this starter notebook
[00:20:08.600 --> 00:20:09.160]   that I made.
[00:20:09.160 --> 00:20:12.040]   And I made this already for episode 50.
[00:20:12.040 --> 00:20:16.200]   So this is something that has been there for quite a while.
[00:20:16.200 --> 00:20:20.800]   So this is not something that you
[00:20:20.800 --> 00:20:24.440]   should expect to put together within a week or a day or so.
[00:20:24.440 --> 00:20:25.000]   Maybe a week.
[00:20:25.000 --> 00:20:25.800]   I don't know.
[00:20:25.800 --> 00:20:28.040]   But it's been there for a while.
[00:20:28.040 --> 00:20:31.960]   And everything else in this competition
[00:20:31.960 --> 00:20:35.520]   will kind of hopefully gradually grow around it
[00:20:35.520 --> 00:20:41.640]   and spiral off around it to all sorts of interesting directions.
[00:20:41.640 --> 00:20:45.240]   And one of the aspects that this notebook contains
[00:20:45.240 --> 00:20:49.400]   is a full table of all the hidden gems.
[00:20:49.400 --> 00:20:52.480]   And this notebook is written in R.
[00:20:52.480 --> 00:20:56.720]   And I know that R has become rarer and rarer
[00:20:56.720 --> 00:21:00.840]   on this platform, which is kind of more and more leaning
[00:21:00.840 --> 00:21:03.960]   towards machine learning.
[00:21:03.960 --> 00:21:05.760]   But when it comes-- or more and more
[00:21:05.760 --> 00:21:08.440]   towards kind of deep learning with PyTorch and TensorFlow
[00:21:08.440 --> 00:21:08.920]   and so on.
[00:21:08.920 --> 00:21:12.440]   But when it comes to specifically data visualization
[00:21:12.440 --> 00:21:15.960]   and tabular data wrangling and analysis,
[00:21:15.960 --> 00:21:18.800]   then R has some very powerful tools,
