
[00:00:00.000 --> 00:00:05.980]   For me, today is, in some sense, the first day of summer. I'm a college professor and my final
[00:09:10.400 --> 00:09:16.880]   edifice of continuous, invisible factory labor, you just burn out. And then it just becomes activity
[00:09:16.880 --> 00:09:21.200]   for the sake of activity. And yeah, you're working all day long, but what does that work? Well, a lot
[00:09:21.200 --> 00:09:25.360]   of it's going to be moving emails back and forth, taking on those unnecessary meetings because at least
[00:09:25.360 --> 00:09:30.240]   it's something that's not too taxing and looks like you have activity. It's not a good way of producing
[00:09:30.240 --> 00:09:34.400]   results, and it's a great way of burning out the human psyche. So I am a big believer in having
[00:09:34.400 --> 00:09:38.240]   variation. I will say as an aside, by the way, Jesse, that whole,
[00:09:39.120 --> 00:09:43.680]   I won't name names, but that whole sequence in this book, which came out of a New Yorker piece
[00:09:43.680 --> 00:09:48.480]   that came out before the book, starting with the hunting and gatherers, moving through agriculture
[00:09:48.480 --> 00:09:54.480]   into the industrial revolution, how we got alienated from our rhythms, quoting Marx and Marx's theory of
[00:09:54.480 --> 00:10:02.080]   estrangement to talk about what happened when we finally separated so much from what we were wired for.
[00:10:02.960 --> 00:10:10.640]   A book that came out not too recently had that exact same arc with the same example, citing some of the
[00:10:10.640 --> 00:10:16.320]   same studies, ending up with Marx and the theory of estrangement or whatever. I don't think the
[00:10:16.320 --> 00:10:22.720]   author like was stealing it. I think his research assistant just like came across my New Yorker piece
[00:10:22.720 --> 00:10:26.240]   at some point, or like, great, here's some ideas. They went into their system. And this is kind of the
[00:10:26.240 --> 00:10:29.520]   problem of the modern way that a lot of these nonfiction writers write, where they just have a research
[00:10:29.520 --> 00:10:33.680]   to have a research assistant gather a bunch of stuff on a bunch of topics. And then the writer
[00:10:33.680 --> 00:10:37.920]   has a bunch of examples to pull from to make their points. I think they just, he just digested my New
[00:10:37.920 --> 00:10:41.840]   Yorker piece, broke it into its pieces. And then the author was like, oh, these are good research parts
[00:10:41.840 --> 00:10:45.680]   and reconstructed my exact arc basically in his book.
[00:10:45.680 --> 00:10:46.960]   Did you read the book?
[00:10:46.960 --> 00:10:47.040]   Yeah.
[00:10:47.040 --> 00:10:49.600]   Have you reviewed it on your monthly books?
[00:10:49.600 --> 00:10:56.160]   You're trying to get me to, you're trying to get me to identify who this is. I will, I will not identify
[00:10:56.160 --> 00:11:03.440]   who this is. But yes, it was the baseball book of why. It was a weird tangent that author went on. I don't
[00:11:03.440 --> 00:11:09.280]   know what Marxist theory of estrangement had to do with baseball trivia, but you know, damn him. I'm on,
[00:11:09.280 --> 00:11:14.960]   I'm on to him. Hey, it's Cal. I wanted to interrupt briefly to say that if you're enjoying this video,
[00:11:14.960 --> 00:11:20.960]   then you need to check out my new book, Slow Productivity: The Lost Art of Accomplishment
[00:11:20.960 --> 00:11:28.240]   Without Burnout. This is like the Bible for most of the ideas we talk about here in these videos.
[00:11:28.240 --> 00:11:33.920]   You can get a free excerpt at calnewport.com/slow.
[00:11:33.920 --> 00:11:37.600]   I know you're going to like it. Check it out. Now let's get back to the video.
[00:11:37.600 --> 00:11:41.600]   All right. Seasonality. So how do we do this? Well, what I do with my summer schedule is one
[00:11:41.600 --> 00:11:46.000]   example, but that's pretty specific to be, I mean, it's like why I became a professor and writer was
[00:11:46.000 --> 00:11:52.160]   exactly to be able to do that. Flexibility and schedule and, and the job, like the writing that
[00:11:52.160 --> 00:11:56.800]   could sort of support me to take time off like that and give me like an activity to do. There's a lot of
[00:11:56.800 --> 00:12:01.280]   ideas you can do that are smaller. That'll give you a taste of seasonality. I have a few to suggest
[00:12:01.280 --> 00:12:07.520]   here as you think about the summer ahead. One, consider having one day each week, maybe a Monday
[00:12:07.520 --> 00:12:11.840]   or Friday, where for the most part, you don't schedule appointments. Don't make a big deal about
[00:12:11.840 --> 00:12:15.440]   this. Don't announce it. Don't tell people when they ask you when you're available that you're not
[00:12:15.440 --> 00:12:20.640]   available on Mondays. Have plenty of options to suggest like, yeah, I have this day, this day. How
[00:12:20.640 --> 00:12:25.440]   about here, here, here? Just don't happen to suggest days on this day that you have secretly
[00:12:25.440 --> 00:12:30.960]   marked for yourself as a no meeting day each week. It won't always work, but many weeks it will. And to
[00:12:30.960 --> 00:12:36.000]   have one day a week or two days a week where especially connected to a weekend where you can
[00:12:36.000 --> 00:12:41.760]   get into your work and get caught up and see what's going on at a more of a leisurely entry pace and not
[00:12:41.760 --> 00:12:46.720]   have to jump into a thousand meetings really makes a big difference, makes the season seem slower.
[00:12:46.720 --> 00:12:51.280]   If possible, try to make one of those days into more of an adventure day. Get out of your normal
[00:12:51.280 --> 00:12:56.240]   workspace if you can, especially if you were able to work remote, go into nature, go to a museum,
[00:12:56.240 --> 00:13:00.640]   go to the mall in DC. It's what I used to do. Make it feel different. Now,
[00:13:00.640 --> 00:13:05.200]   still work, work on your notebook, bring your laptop with you, still get things done,
[00:13:05.200 --> 00:13:10.240]   but in a completely different location. It just makes the pace of work seem different.
[00:13:10.240 --> 00:13:14.560]   I would also suggest, oh, I lost a page here.
[00:13:14.560 --> 00:13:20.640]   Where did I put? Oh, I see what I did here, Jesse. I put my ads in the wrong place.
[00:13:20.640 --> 00:13:26.080]   Okay. So no meeting days. Yes. All right. Another thing you should think about doing is pushing new
[00:13:26.080 --> 00:13:31.040]   project start times. Again, you don't need to make a big deal about this, but you can wind down
[00:13:31.040 --> 00:13:36.960]   your projects as the summer starts. And as you take on new projects, be like, yeah, yeah, yeah. I'm
[00:13:36.960 --> 00:13:42.400]   finishing up some things now, but like late August, I'll get that ramped up. That's close enough in the
[00:13:42.400 --> 00:13:46.640]   future that people are like, yeah, fine. That's reasonable. But what you've done is created a bit
[00:13:46.640 --> 00:13:50.560]   of a lacuna in your schedule here. There's going to be this period where you're not really starting or in
[00:13:50.560 --> 00:13:54.160]   the middle of any big projects. Now you can't do this all the time because eventually the projects
[00:13:54.160 --> 00:13:59.040]   have to get done. So you can't keep pushing them into the future. But once a year, you can start
[00:13:59.040 --> 00:14:04.800]   saying for a little while when new projects are coming to you, like, yeah, I'm finishing up a
[00:14:04.800 --> 00:14:09.200]   bunch of stuff now, but what if like in mid August, I'll take this on? And the reality is you're not
[00:14:09.200 --> 00:14:15.040]   really finishing up that much stuff, but it does buy you some space. Put your hand down more. And what I
[00:14:15.040 --> 00:14:19.520]   mean by that is when it comes to volunteer activities within your work, especially what researchers call
[00:14:19.520 --> 00:14:24.480]   non-promotable activities, like organizing the internal office birthday parties or this or that,
[00:14:24.480 --> 00:14:29.520]   maybe you're that reliable go-to person that likes to help out and people like that about you.
[00:14:29.520 --> 00:14:35.820]   That's great, but put your hand down for a couple months. Just don't volunteer or say, I don't know,
[00:14:35.820 --> 00:14:40.700]   I'm a little busy right now. Again, if you do this all the time, then people might be like, oh man,
[00:14:40.700 --> 00:14:46.360]   he or she looks never useful. It's kind of annoying. You do it for a month or so for six weeks. No one notices
[00:14:46.360 --> 00:14:51.160]   then because like you're mainly volunteering a lot. They won't notice, but it makes these periods feel
[00:14:51.160 --> 00:14:57.160]   different. You just have less of this extra work on your plate. This is a strategy I talked about in my
[00:14:57.160 --> 00:15:02.280]   slow productivity book. The idea of like a highly autonomous blocker project. You take on a project
[00:15:02.280 --> 00:15:09.220]   for the summer that you can keep referring to to try to push away other type of work. Like, well,
[00:15:09.220 --> 00:15:14.280]   yeah, I can do that, but I'm working on the Maguire report, right? And like, that's where my head's down on
[00:15:14.280 --> 00:15:18.460]   this, but after I finished the Maguire report, like I can work on these other types of things.
[00:15:18.460 --> 00:15:23.420]   Choose that proverbial Maguire report to be something that's highly autonomous that you can,
[00:15:23.420 --> 00:15:30.540]   in reality, do like an hour every day and stay on top of it. It is a extremely effective strategy.
[00:15:30.540 --> 00:15:34.460]   People don't know how long work takes. Most people are like pretty inefficient. You take something where
[00:15:34.460 --> 00:15:38.140]   you have a lot of flexibility. It doesn't generate a lot of meetings. It doesn't make you have to be on
[00:15:38.140 --> 00:15:43.900]   other people's schedule. Be efficient and effective and then use that thing to push everything else off
[00:15:43.900 --> 00:15:47.160]   your plate for a little while. You can only get away with that so long, but really we're just looking for
[00:15:47.160 --> 00:15:54.680]   a month or two of respite. Start your day slowly. Apologize only if people notice. Like, start your day in
[00:15:54.680 --> 00:15:58.940]   the coffee shop. Like, get a little breakfast and coffee. Work there for a while. Just change the rhythm
[00:15:58.940 --> 00:16:05.060]   of the day. So, it just feels slower. It's not as frantic as other times of years. Like, this is
[00:16:05.060 --> 00:16:12.880]   psychological, but these type of psychological differences really can add up. Finally, this idea that people keep
[00:16:12.880 --> 00:16:17.820]   getting upset about this. I'm not sure why. Just, you know, every other week, go do something midday
[00:16:17.820 --> 00:16:21.100]   some day that you don't normally do during the weekday. You go see a movie or something.
[00:16:22.220 --> 00:16:25.700]   It's two and a half hours. It's not some big deal. People go to doctor's appointments and stuff all
[00:16:25.700 --> 00:16:31.700]   the time, but it's going to give you a completely different feel for your week. When you're in a
[00:16:31.700 --> 00:16:38.180]   movie theater at two o'clock and you know it's a weekday, it makes you feel like you're not just in
[00:16:38.180 --> 00:16:42.180]   like the normal invisible factory clock and clock out. This is what I do every day. It just gives you
[00:16:42.180 --> 00:16:46.340]   a sense of autonomy and slowness and control. And in the summer, do this more often. Go see some dumb
[00:16:46.340 --> 00:16:51.220]   movies, right? Especially if you're in a situation where you don't have to account for every minute of your
[00:16:51.220 --> 00:16:56.040]   time. Again, if you go to movies every day, if you stop work at two every day all the time, people
[00:16:56.040 --> 00:16:59.980]   will notice. But if once or twice a month, you're gone in the afternoon, you're back a little bit
[00:16:59.980 --> 00:17:05.520]   late. No one knows. No one notices. So you can use these smaller tips if you don't have a huge amount
[00:17:05.520 --> 00:17:13.600]   of autonomy to introduce some seasonality. Summer is a great time for seasonality. So hopefully a lot
[00:17:13.600 --> 00:17:19.820]   of you in the audience are going to join me in slowing down for the months ahead.
[00:17:19.820 --> 00:17:23.600]   Do you ever need more than 30 minutes to do admin work?
[00:17:23.600 --> 00:17:30.100]   Probably. Yeah. Sometimes it extends more. But like I try to just have this mindset of when I get in
[00:17:30.100 --> 00:17:35.460]   there, especially for like Georgetown stuff, which there's not much in the summer, but queries come up
[00:17:35.460 --> 00:17:41.480]   and a dean needs this or that. Just try to be like really focused and work through. The opposite
[00:17:41.480 --> 00:17:47.120]   problem is what I'm trying to solve more often than not, which is there's not a lot of stuff in my
[00:17:47.120 --> 00:17:53.060]   inbox right now. But try to do 30 full minutes of useful admin work, even if there's not just messages
[00:17:53.060 --> 00:17:57.540]   to answer. Like fill in the rest of the time to get ahead of things or to organize things or to
[00:17:57.540 --> 00:18:03.440]   preemptively like step out or prod things along. So it goes both ways. Try not to work beyond that 30
[00:18:03.440 --> 00:18:08.120]   minutes too far, but also make sure you use the full 30 minutes. This is not going to work for
[00:18:08.120 --> 00:18:14.180]   most jobs. It wouldn't work for my job in September, but in July, because it's an academic institution
[00:18:14.180 --> 00:18:19.620]   that's technically shut down and I'm not on salary, it's much more plausible. I also have to deal with
[00:18:19.620 --> 00:18:24.920]   writer and admin as well. But there I'm just really good at all the various teams in my life sort of
[00:18:24.920 --> 00:18:30.660]   know in the summer. Like, yeah, Cal's not, that's not his super accessible time. I guess I thought you
[00:18:30.660 --> 00:18:35.080]   were also handling your personal admin. No, that takes a, yeah, that's different.
[00:18:35.080 --> 00:18:39.160]   Okay. That's different. Yeah. But that's fine. That's summertime. Yeah. You have to like mow your
[00:18:39.160 --> 00:18:44.840]   yard and work on your budgets. I got to do my taxes next week. I'm doing my budget today. Yeah. But that
[00:18:44.840 --> 00:18:49.380]   stuff's fine. That's like you're at home and I don't mind that as much. And that does take a while.
[00:18:49.380 --> 00:18:55.660]   All right. Well, we got a bunch of good lister questions coming up. But first here, a quick word
[00:18:55.660 --> 00:19:04.340]   from some of our sponsors. I want to talk about my friends at Cozy Earth. I love Cozy Earth. This is
[00:19:04.340 --> 00:19:09.120]   one of these products or companies where I use a lot of their products. I absolutely swear by them. In
[00:19:09.120 --> 00:19:14.560]   particular, their sheets are a must have in our family. We have multiple pairs of these sheets so
[00:19:14.560 --> 00:19:18.620]   that when one is being washed, we can switch them into the bed. We have other multiple pairs for the
[00:19:18.620 --> 00:19:23.200]   guest bedroom. We travel with these if we're going to be somewhere for more than a week or two. They
[00:19:23.200 --> 00:19:28.260]   are very comfortable sheets and they're cooling. And we, my wife and I really have a hard time now
[00:19:28.260 --> 00:19:33.560]   sleeping on almost anything else. We have other things as well. We have the duvet cover. We have
[00:19:33.560 --> 00:19:37.720]   the towels. My wife has the PJs. I have one of the sweatshirts, which somehow has like a cooling
[00:19:37.720 --> 00:19:41.520]   effect, just like the sheets, which is really pretty cool. It kind of like cools you down when you're
[00:19:41.520 --> 00:19:48.720]   hot. I am a fan of Cozy Earth. I swear by them and I think you will enjoy them as well. Like
[00:19:48.720 --> 00:19:53.140]   their mission is to transform your five to nine, the time that matters most into the most comfortable
[00:19:53.140 --> 00:19:58.980]   part of your day. All right. And you're going to get that with Cozy Earth. Start with the sheets,
[00:19:58.980 --> 00:20:05.460]   but check out the other products as well. We gave these away at least twice. We've given these away
[00:20:05.460 --> 00:20:14.200]   as gifts. I think I gave some to my mom and then Julie gave some. We, we, we like, so we like these
[00:20:14.200 --> 00:20:19.620]   things. We like, we like Cozy Earth. All right. They have a hundred day sleep, a hundred night sleep
[00:20:19.620 --> 00:20:24.080]   trial rather. Enjoy over three months to experience the unmatched comfort of Cozy Earth. If you're not
[00:20:24.080 --> 00:20:28.340]   completely in love with your bedding, you can return it hassle-free, but guess what? You're not going to do
[00:20:28.340 --> 00:20:35.100]   that. They also have a decade long warranty on their bedding products. This means years of luxurious,
[00:20:35.100 --> 00:20:39.540]   worry-free sleep, knowing that your investment is protected. Luxury shouldn't be out of reach.
[00:20:39.540 --> 00:20:45.420]   Visit CozyEarth.com and use my exclusive code DEEP for up to 40% off Cozy Earth's best-selling
[00:20:45.420 --> 00:20:50.020]   sheets, towels, pajamas, and more. Trust me, you won't regret it. That's CozyEarth.com,
[00:20:50.020 --> 00:20:55.200]   code DEEP. And if you get a post-purchase survey, tell them you heard about Cozy Earth from
[00:20:55.200 --> 00:21:01.820]   Deep Questions with Cal Newport. Sanctuary awaits at Cozy Earth. Also want to talk about
[00:21:01.820 --> 00:21:07.040]   our friends at Shopify. If you run a small business, you know there's nothing small about it. As a
[00:21:07.040 --> 00:21:13.760]   business owner, I get it. My business takes up a lot of my time and attention, and I am always
[00:21:13.760 --> 00:21:19.740]   looking for places to avoid having to waste time dealing with extra products or things that don't
[00:21:19.740 --> 00:21:24.080]   work well. This is where Shopify enters the scene. If you're going to be selling things,
[00:21:24.280 --> 00:21:31.620]   you 100% need to be using Shopify. This is just a consistent theme about all of the entrepreneurs
[00:21:31.620 --> 00:21:35.680]   that Jesse and I know that sell various things, whether it be online or in the real world.
[00:21:35.680 --> 00:21:41.320]   Shopify is a consistent theme how much they like Shopify. Shopify is the commerce platform behind
[00:21:41.320 --> 00:21:48.060]   millions of businesses around the world, and 10% of all e-commerce in the U.S. We're talking about
[00:21:48.060 --> 00:21:54.680]   household names like Mattel and Gymshark as well as to brands that are just getting started. Tackle all
[00:21:54.680 --> 00:21:59.700]   your important tasks in one place. Shopify, you could be doing inventory. You can be handling your
[00:21:59.700 --> 00:22:04.780]   payments, of course, but also analytics. It can help you with your marketing. It can help you with
[00:22:04.780 --> 00:22:10.700]   international sales. They have tools that can work in over 150 countries. You have a real store.
[00:22:11.220 --> 00:22:15.100]   They have award-winning point of sale, and they can connect your online and offline sales all
[00:22:15.100 --> 00:22:19.400]   together. Use Shopify if you're selling things. I don't care where you're doing it or what type of
[00:22:19.400 --> 00:22:25.500]   thing you're selling, online, digital, what country. Think Shopify. So get all the big stuff for your
[00:22:25.500 --> 00:22:31.100]   small business right with Shopify. Sign up for your $1 per month trial and start selling today at
[00:22:31.100 --> 00:22:39.260]   shopify.com slash deep. Go to shopify.com slash deep. Shopify.com slash deep. All right, Jesse,
[00:22:39.260 --> 00:22:46.840]   let's move on to some questions. First questions from Quiz. I'm a teacher in Texas who usually spends
[00:22:46.840 --> 00:22:52.020]   summers on long backtracking trips, which helps me recharge while walking, listening to good content,
[00:22:52.020 --> 00:22:57.200]   praying, and reflecting. Because of a knee injury, I can't do my usually trip this year and don't enjoy
[00:22:57.200 --> 00:23:02.560]   too much unstructured time at home. How would you suggest I structure my eight-week summer break and
[00:23:02.560 --> 00:23:06.520]   daily schedule to get similar benefits without being able to leave home or walk all day?
[00:23:06.520 --> 00:23:16.120]   I'm thinking maybe take up drinking. Good old-fashioned Texas moonshine or whiskey, like an old-fashioned
[00:23:16.120 --> 00:23:21.120]   Texas cowboy. That'll get you through the eight weeks pretty well. Okay, so you can't walk all day,
[00:23:21.180 --> 00:23:28.260]   but I want to push on this a little more. You say you can't leave home. I don't think he means he
[00:23:28.260 --> 00:23:32.340]   can't literally leave his house. He means just like on longer trips, I guess, right? Yeah. Yeah.
[00:23:32.340 --> 00:23:37.900]   Because I was going to say, you know, a few things I was going to say, but my overarching advice here
[00:23:37.900 --> 00:23:46.240]   is have a schedule, have a plan, right? Don't go into your day saying like, ah, whatever. The day is
[00:23:46.240 --> 00:23:51.000]   kind of awful. Just see how it unfolds. There's not much I can do because of my knee. It's that type of
[00:23:51.000 --> 00:23:58.860]   slow, uh, slow through the mud. Like I'm just sort of wasting time. I'm on my phone for three hours this
[00:23:58.860 --> 00:24:03.160]   morning. I don't even know where that when I'm going to watch some TV and see what's going on. Like that
