
[00:00:00.040 --> 00:00:09.520]   embroidery
[00:08:38.980 --> 00:08:38.980]   If you always remember that ownership is not necessarily the synonymous with use, you'll start to see how the ownership of the boat.
[00:08:38.980 --> 00:08:38.980]   If you always remember that ownership is not necessarily the synonymous with use, you'll start to see how the ownership of the boat.
[00:08:38.980 --> 00:08:38.980]   If you always remember that ownership is not necessarily the synonymous with use, you'll start to see how the ownership of the boat.
[00:08:39.000 --> 00:09:09.000]   There's a big difference between tax planning, which is where you have to account for use of the car under the benefits program for personal use versus on-the-job use, which is often why things are restricted.
[00:09:09.000 --> 00:09:09.000]   There's a big difference between tax planning, which is where you have to account for use of the car under the benefits program for personal use versus on-the-job use, which is often why things are restricted.
[00:09:09.000 --> 00:09:09.000]   There's a big difference between tax planning, which is where you have to account for use of the car under the benefits program for personal use versus on-the-job use, which is often why things are restricted.
[00:09:09.000 --> 00:09:09.000]   There's a big difference between tax planning, which is where you have to account for use of the car under the benefits program for personal use versus on-the-job use, which is often why things are restricted.
[00:09:09.000 --> 00:09:39.020]  ,
[00:09:39.020 --> 00:09:39.020]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:09:39.020 --> 00:09:39.020]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:09:39.020 --> 00:09:39.020]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:09:39.020 --> 00:09:39.020]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:09:39.020 --> 00:09:39.020]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:09:39.020 --> 00:09:39.020]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:09:39.020 --> 00:09:39.020]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:09:39.020 --> 00:09:39.020]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:09:39.020 --> 00:09:39.020]   and you still don't own the car, even if you work for a company that has one single stockholder.
[00:09:39.040 --> 00:10:09.040]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:09.040 --> 00:10:09.040]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:09.040 --> 00:10:09.040]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:09.040 --> 00:10:09.040]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:09.040 --> 00:10:09.040]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:09.040 --> 00:10:09.040]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:09.040 --> 00:10:09.040]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:09.040 --> 00:10:09.040]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:09.040 --> 00:10:09.040]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:09.060 --> 00:10:39.060]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:39.060 --> 00:10:39.060]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:39.060 --> 00:10:39.060]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:39.060 --> 00:10:39.060]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:39.060 --> 00:10:39.060]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:39.060 --> 00:10:39.060]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:39.060 --> 00:10:39.060]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:39.060 --> 00:10:39.060]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:39.060 --> 00:10:39.060]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:10:39.100 --> 00:11:09.080]  ,
[00:11:09.080 --> 00:11:09.080]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:09.080 --> 00:11:09.080]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:09.080 --> 00:11:09.080]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:09.080 --> 00:11:09.080]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:09.080 --> 00:11:09.080]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:09.080 --> 00:11:09.080]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:09.080 --> 00:11:09.080]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:09.080 --> 00:11:09.080]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:09.080 --> 00:11:09.080]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:09.100 --> 00:11:39.100]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:39.100 --> 00:11:39.100]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:39.100 --> 00:11:39.100]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:39.100 --> 00:11:39.100]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:39.100 --> 00:11:39.100]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:39.100 --> 00:11:39.100]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:39.100 --> 00:11:39.100]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:39.100 --> 00:11:39.100]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:39.100 --> 00:11:39.100]   You still don't own the car, even if you work for a company that has one single stockholder.
[00:11:39.140 --> 00:12:09.120]  ,
[00:12:09.120 --> 00:12:09.120]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:09.120 --> 00:12:09.120]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:09.120 --> 00:12:09.120]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:09.120 --> 00:12:09.120]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:09.120 --> 00:12:09.120]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:09.120 --> 00:12:09.120]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:09.120 --> 00:12:09.120]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:09.120 --> 00:12:09.120]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:09.140 --> 00:12:39.140]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:39.140 --> 00:12:39.140]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:39.140 --> 00:12:39.140]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:39.140 --> 00:12:39.140]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:39.140 --> 00:12:39.140]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:39.140 --> 00:12:39.140]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:39.140 --> 00:12:39.140]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:39.140 --> 00:12:39.140]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:39.140 --> 00:12:39.140]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:12:39.180 --> 00:13:09.160]  ,
[00:13:09.160 --> 00:13:09.160]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:13:09.160 --> 00:13:09.160]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:13:09.160 --> 00:13:09.160]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:13:09.160 --> 00:13:09.160]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:13:09.160 --> 00:13:09.160]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:13:09.160 --> 00:13:09.160]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:13:09.160 --> 00:13:09.160]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:13:09.160 --> 00:13:09.160]   There is a long and robust history of court precedent and laws that protect the ability of companies to limit risk.
[00:13:09.180 --> 00:13:39.180]   We do road construction, we do site development, things like that.
[00:13:39.180 --> 00:13:39.180]   We do road construction, we do site development, things like that.
[00:13:39.180 --> 00:13:39.180]   We do road construction, we do site development, things like that.
[00:13:39.180 --> 00:13:39.180]   We do road construction, we do site development, things like that.
[00:13:39.180 --> 00:13:39.180]   We do road construction, we do site development, things like that.
[00:13:39.180 --> 00:13:39.180]   We do road construction, we do site development, things like that.
[00:13:39.180 --> 00:13:39.180]   We do road construction, we do site development, things like that.
[00:13:39.180 --> 00:13:39.180]   We do road construction, we do site development, things like that.
[00:13:39.180 --> 00:13:39.180]   We do road construction, we do site development, things like that.
[00:13:39.180 --> 00:13:39.180]   We do road construction, we do site development, things like that.
[00:13:39.180 --> 00:13:39.180]   We do road construction, we do site development, things like that.
[00:13:39.180 --> 00:13:39.180]   We do road construction, we do site development, things like that.
[00:13:39.180 --> 00:13:39.180]   We do road construction, we do site development, things like that.
[00:13:39.220 --> 00:14:09.200]  , and we do road construction, we do site development, things like that.
[00:14:09.200 --> 00:14:09.200]   We do road construction, we do site development, things like that.
[00:14:09.200 --> 00:14:09.200]   We do road construction, we do site development, things like that.
[00:14:09.200 --> 00:14:09.200]   We do road construction, we do site development, things like that.
[00:14:09.200 --> 00:14:09.200]   We do road construction, we do site development, things like that.
[00:14:09.200 --> 00:14:09.200]   We do road construction, we do site development, things like that.
[00:14:09.220 --> 00:14:39.220]   We do road construction, we do site development, things like that.
[00:14:39.220 --> 00:14:39.220]   We do road construction, we do site development, things like that.
[00:14:39.220 --> 00:14:39.220]   We do road construction, we do site development, things like that.
[00:14:39.220 --> 00:14:39.220]   We do road construction, we do site development, things like that.
[00:14:39.220 --> 00:14:39.220]   We do road construction, we do site development, things like that.
[00:14:39.220 --> 00:14:39.220]   We do road construction, we do site development, things like that.
[00:14:39.220 --> 00:14:39.220]   We do road construction, we do site development, things like that.
[00:14:39.220 --> 00:14:39.220]   We do road construction, we do site development, things like that.
[00:14:39.220 --> 00:14:39.220]   We do road construction, we do site development, things like that.
[00:14:39.220 --> 00:14:39.220]   We do road construction, we do site development, things like that.
[00:14:39.220 --> 00:14:39.220]   We do road construction, we do site development, things like that.
[00:14:39.220 --> 00:14:39.220]   We do road construction, we do site development, things like that.
[00:14:39.220 --> 00:14:39.220]   We do road construction, we do site development, things like that.
[00:14:39.220 --> 00:15:05.060]   the potential creditors.
[00:15:05.060 --> 00:15:09.240]   After all, if I've spent years working up building up assets, I've got
[00:15:09.240 --> 00:15:09.240]   After all, if I've spent years working up building up assets, I've got
[00:15:09.240 --> 00:15:09.240]   After all, if I've spent years working up building up assets, I've got
[00:15:09.240 --> 00:15:09.240]   After all, if I've spent years working up building up assets, I've got
[00:15:09.240 --> 00:15:09.240]   After all, if I've spent years working up building up assets, I've got
[00:15:09.240 --> 00:15:09.240]   After all, if I've spent years working up building up assets, I've got
[00:15:09.240 --> 00:15:09.240]   After all, if I've spent years working up building up assets, I've got
[00:15:09.240 --> 00:15:09.240]   After all, if I've spent years working up building up assets, I've got
[00:15:09.240 --> 00:15:09.240]   After all, if I've spent years working up building up assets, I've got
[00:15:09.260 --> 00:15:11.260]   money, I've got
[00:15:11.260 --> 00:15:12.720]   investment assets, I've got
[00:15:12.720 --> 00:15:13.220]   real estate,
[00:15:13.220 --> 00:15:14.780]   I've got to make sure that's not
[00:15:14.780 --> 00:15:16.520]   exposed to the claims of creditors.
[00:15:16.520 --> 00:15:18.600]   So the obvious solution is I start a company.
[00:15:18.600 --> 00:15:21.580]   I start the Joshua Sheets
[00:15:21.580 --> 00:15:23.020]   land company.
[00:15:23.020 --> 00:15:24.840]   And this is a
[00:15:24.840 --> 00:15:27.020]   limited risk
[00:15:27.020 --> 00:15:28.900]   entity. It's either a corporation
[00:15:28.900 --> 00:15:31.080]   or a limited liability company, and I've
[00:15:31.080 --> 00:15:33.240]   established it as a company. Now what does that do for me?
[00:15:33.240 --> 00:15:35.020]   The first thing it does is it
[00:15:35.020 --> 00:15:37.060]   limits the ability of a
[00:15:37.060 --> 00:15:39.260]   of a creditor for the company,
[00:15:39.260 --> 00:15:39.260]   and I've established it as a company.
[00:15:39.260 --> 00:15:39.260]   Now what does that do for me?
[00:15:39.260 --> 00:15:39.260]   First thing it does is it limits the ability of a creditor for the company,
[00:15:39.260 --> 00:15:39.260]   and I've established it as a company.
[00:15:39.260 --> 00:15:39.260]   Now what does that do for me?
[00:15:39.300 --> 00:15:45.300]   gravel
[00:15:45.300 --> 00:16:05.620]   then . remained recipe thumbs Het Anneго 500
[00:16:08.560 --> 00:16:12.000]   known
[00:16:12.000 --> 00:16:19.440]   oh figurehen
[00:16:19.440 --> 00:16:34.420]  icar understand house or do as believeаюсь banquet need went
[00:16:34.420 --> 00:16:36.820]   be
[00:17:08.560 --> 00:17:08.560]   and
[00:17:08.560 --> 00:17:08.560]   and
[00:17:08.560 --> 00:17:08.560]   and
[00:17:08.600 --> 00:17:18.400]   room
[00:17:18.400 --> 00:17:19.040]  ��� with like for de
[00:17:19.040 --> 00:17:22.800]  rier
[00:18:35.020 --> 00:18:35.020]   and
[00:20:59.160 --> 00:21:07.460]   I
[00:21:07.460 --> 00:21:13.100]   people, --,
[00:22:19.940 --> 00:22:19.940]   ----
[00:22:19.940 --> 00:22:19.940]   ----
[00:22:19.940 --> 00:22:19.940]   ---- ----
[00:22:19.940 --> 00:22:19.940]   ---- ----
[00:22:19.940 --> 00:22:19.940]   ---- ----
[00:23:13.860 --> 00:23:23.940]   in
[00:23:23.940 --> 00:23:24.280]   ride det is necessary
[00:24:32.720 --> 00:24:32.720]   and
[00:26:51.120 --> 00:26:51.660]   and they're not allowed to do it. So, if you go and make a gift to your spouse long before any circumstances leading to a lawsuit actually happen, then you don't really need to worry about the fraudulent transfers legislation. But if you all of a sudden, you know, you go and wind up accidentally killing somebody and then the next day you go and transfer all of your assets and you establish transmutation agreement, making sure that your spouse doesn't have to worry about the fraudulent transfers legislation.
[00:26:57.480 --> 00:27:21.680]   You say, well, maybe I could sell the assets to my spouse. The problem is you have now sold assets to an insider. And what do you tell the court as to why you said all of a sudden the day after you killed somebody or the month after you killed somebody, you all of a sudden sold all your assets to your spouse. If the judge can determine that that's not true, then you're not going to be able to do it.
[00:27:21.680 --> 00:27:21.680]   If the judge can determine that that that's not true, then you're not going to be able to do it.
[00:27:21.680 --> 00:27:21.680]   If the judge can determine that that that's not true, then you're not going to be able to do it.
[00:27:21.680 --> 00:27:51.700]  ,
[00:27:51.700 --> 00:27:51.700]   and that most likely somebody else would be your spouse, especially if you're
[00:27:51.700 --> 00:27:51.700]   a spouse.
[00:27:51.700 --> 00:27:51.700]   If the judge can determine that that's not true, then you're not going to be able to do it.
[00:27:51.700 --> 00:27:51.700]   If the judge can determine that that that's not true, then you're not going to be able to do it.
[00:27:51.700 --> 00:27:51.700]   If the judge can determine that that that's not true, then you're not going to be able to do it.
[00:27:51.700 --> 00:27:51.700]   If the judge can determine that that that's not true, then you're not going to do it.
[00:27:51.700 --> 00:27:51.700]   If the judge can determine that that that's not true, then you're not going to do it.
[00:27:51.700 --> 00:27:51.700]   If the judge can determine that that that that's not true, then you're not going to do it.
[00:27:51.740 --> 00:28:01.940]   left
[00:28:01.940 --> 00:28:03.020]   round and
[00:28:03.020 --> 00:28:19.260]   footsteps, and,,,,,.ię
[00:28:19.260 --> 00:28:20.760]   make the
[00:28:21.680 --> 00:28:23.980]  ...
[00:28:23.980 --> 00:28:31.600]   was me
[00:28:31.600 --> 00:28:50.400]   these I Next I 생
[00:29:48.220 --> 00:29:48.220]   and and and and and and and and and and and and and and and and and
[00:30:47.000 --> 00:31:14.900]  atemongou.com/property/ when you hold property as tenants in common with another person each person who owns the joint owner in that property if it's held tenancy in common each person holds a distinct and separate share of the property that share could be any portion it could be 50/50 it could be 25/75 it doesn't really matter but each person holds a separate distinct share when property is sold each person receives real property and that property is not necessarily owned by the owner.
[00:31:14.900 --> 00:31:14.900]   when property is sold each person receives real property and that property is not necessarily owned by the owner.
[00:31:43.800 --> 00:31:54.920]  ר
[00:31:54.920 --> 00:31:55.620]   take the,,,
[00:32:40.680 --> 00:32:40.680]   It can be useful. Let's say that you and I own a piece of real estate together. Well, we don't want to go necessarily in our, we've decided we don't want to go and establish a corporation or LLC and issue shares of stock or issue membership units in order to designate that percentage of ownership. So we just list ourselves as tenants in common in the property. I can go and sell my partial interest in the property anytime I want. That can be useful. You don't have to be beholden to me.
[00:33:37.640 --> 00:33:44.220]   no
[00:33:44.220 --> 00:33:48.040]   wasrez
[00:33:48.040 --> 00:33:48.900]   suis Or Twin I have aш a
[00:33:48.900 --> 00:34:04.860]  ,
[00:38:01.800 --> 00:38:04.060]   that
[00:38:04.060 --> 00:38:12.820]  onne, figure like fact as
[00:38:58.480 --> 00:38:58.480]   and I'll be back in a minute.
[00:38:58.480 --> 00:39:00.140]   I'll be back in a minute.
[00:39:00.180 --> 00:39:08.860]   Pro
[00:39:08.860 --> 00:39:10.400]   вел
[00:39:10.400 --> 00:39:13.940]  ね Like I end and. Z.ro, Nun,,,,,...,.. code.對了
[00:39:13.940 --> 00:39:19.820]   Bar make a
[00:39:19.820 --> 00:39:29.080]   Men,
[00:39:29.660 --> 00:39:39.820]  product
[00:39:39.820 --> 00:39:55.560]  ,!. didnt grave � Ind, peace, him,지�,undos,,,,,,,,,,,, talk about want't determinant Find으니까 M skin is at plan and the thing that is the work of the trans the course. I'm the date will be the less basically sur Exper fout the head is the
[00:39:55.560 --> 00:39:58.560]   " pied"
[00:39:59.320 --> 00:40:06.640]   degree
[00:40:06.640 --> 00:40:09.440]   find, blessed. E F F
[00:42:16.780 --> 00:42:16.780]   be in the middle of the divorce. So this is a very simple thing. You don't have to write a trust. You don't have to pay for legal fees. But you just need to make sure that you think it through and establish it. Be again, be aware that in all these cases, you do, of course, face a risk of divorce. And you have to ask yourself the question, am I going to regret this with regard to the potential divorce?
[00:44:06.820 --> 00:44:16.440]   it
[00:44:16.440 --> 00:44:17.520]   test. The, the, the, out,
[00:44:17.520 --> 00:44:25.040]  ran
[00:44:25.040 --> 00:44:36.240]   Kickstarter C staggering고요 no對對ow claro但inel equpent in continue less in llam Freddy'sU G Tom
[00:47:25.240 --> 00:47:35.360]   ,
[00:47:35.360 --> 00:47:36.140]   overlook pick
[00:47:36.140 --> 00:47:44.340]   oder,,,, cape Victoria
[00:49:22.240 --> 00:49:22.240]   The
[00:49:22.240 --> 00:49:22.240]   The
[00:49:52.300 --> 00:50:21.520]   acrobatics.com/hands-to-buy, or you can make a good argument in court that they should protect the trust. And at the very least, you're making it more expensive to get at the asset. And remember, one of the biggest basic concepts of good asset protection planning is you want to make it as expensive and as time-consuming and as difficult as you possibly can for somebody to get at an asset. Even if you don't have ironclad legal protection like you might like, if you at least can get at an asset, then you're making it more expensive to get at an asset.
[00:50:50.780 --> 00:50:50.780]   It's not just about the asset. It's about the asset itself. And if you make it more difficult, more time-consuming, and more expensive for somebody to find an asset, for somebody to lay a claim against the asset and to collect on an asset, you're moved in the right direction. That would be the argument in favor of a domestic asset protection trust. They're less expensive than an offshore asset protection trust, which is probably the biggest benefit of a domestic asset protection trust instead of an offshore asset protection trust.
[00:50:50.780 --> 00:50:50.780]   But if you make it more difficult, more time-consuming, and more expensive, then you're making it as time-consuming, and more expensive. You're making it more difficult to get at the asset, and more expensive to get at the asset, and more expensive to get at the asset, and more expensive to get at the asset, and more expensive to get at the asset, and more expensive to get at the asset.
[00:50:50.780 --> 00:50:50.780]   So, you can't do it.
[00:50:50.820 --> 00:51:01.660]   as
[00:51:01.660 --> 00:51:20.580]   is in when still � 듣, ,,,,,, à
[00:52:20.940 --> 00:52:50.920]  ертв.
[00:52:50.980 --> 00:53:02.980]  Ed.
[00:53:02.980 --> 00:53:20.980]   I don't know. But I think the best solution for the use of a domestic asset protection trust is for your personal residence.
[00:53:20.980 --> 00:53:20.980]   I don't know. But I think the best solution for the use of a domestic asset protection trust is for your personal residence.
[00:53:20.980 --> 00:53:20.980]   The first thing you do is you put the money into the trust.
[00:53:20.980 --> 00:53:20.980]   The second thing you do is you put the money into the trust.
[00:53:20.980 --> 00:53:20.980]   The third thing you do is you put the money into the trust.
[00:53:20.980 --> 00:53:20.980]   The fourth thing you do is you put the money into the trust.
[00:53:20.980 --> 00:53:20.980]   The fifth thing you do is you put the money into the trust.
[00:53:20.980 --> 00:53:20.980]   The sixth thing you do is you put the money into the trust.
[00:53:20.980 --> 00:53:20.980]   The seventh thing you do is you put the money into the trust.
[00:53:20.980 --> 00:53:20.980]   The eighth thing you do is you put the money into the trust.
[00:53:20.980 --> 00:53:20.980]   The ninth thing you do is you put the money into the trust.
[00:53:20.980 --> 00:53:51.020]  ,
[00:53:51.020 --> 00:53:51.020]   --
[00:53:51.020 --> 00:53:51.020]   --
[00:53:51.020 --> 00:53:51.020]   --
[00:53:51.020 --> 00:53:51.020]   --
[00:53:51.020 --> 00:53:51.020]   --
[00:53:51.020 --> 00:53:51.020]   --
[00:53:51.020 --> 00:53:51.020]   -- .
