
[00:00:00.000 --> 00:00:03.000]   The friend ship recession.
[00:03:07.700 --> 00:03:09.400]   article that coined this term.
[00:03:09.400 --> 00:03:14.260]   We'll look at a couple of the claims here and see if we're all on the same page.
[00:03:14.260 --> 00:03:14.700]   All right.
[00:03:14.700 --> 00:03:19.700]   So as far as I can tell, this Daniel Cox article from a couple of years ago from
[00:03:19.700 --> 00:03:22.820]   the national review is where the term friendship recession was introduced.
[00:03:22.820 --> 00:03:27.340]   It was then supercharged by Richard Reeves doing a big think interview more
[00:03:27.340 --> 00:03:30.020]   recently, but I think this was the original source.
[00:03:30.020 --> 00:03:31.460]   It just didn't spread as much back then.
[00:03:31.460 --> 00:03:34.380]   I guess we were still thinking about pandemics and such.
[00:03:34.380 --> 00:03:37.740]   Uh, so here's a couple of quotes from this article just to put us on the same
[00:03:37.740 --> 00:03:42.820]   page, um, as Americans try to rebuild and reconnect a new survey conducted by the
[00:03:42.820 --> 00:03:46.980]   survey center on American life finds that the social landscape is far less favorable.
[00:03:47.340 --> 00:03:50.100]   Then it once was over the past three decades, the number of close
[00:03:50.100 --> 00:03:53.140]   friends Americans have has plummeted.
[00:03:53.140 --> 00:03:57.380]   This friendship recession first use of that term in print, I believe
[00:03:57.380 --> 00:03:58.900]   is particularly bad for men.
[00:03:58.900 --> 00:04:03.580]   The percentage of men with at least six close friends fell by half since 1990.
[00:04:03.580 --> 00:04:05.900]   From 55% to 27%.
[00:04:05.900 --> 00:04:08.700]   The study also found the percentage of men without any close friends
[00:04:08.700 --> 00:04:13.100]   jumped from 3% to 15%, a five fold increase.
[00:04:13.100 --> 00:04:16.180]   Single men have fared worse.
[00:04:16.460 --> 00:04:19.220]   Uh, I also heard the author Richard Reeves, when he was talking about this
[00:04:19.220 --> 00:04:24.300]   more recently cite a study that said loneliness is equivalent from a health
[00:04:24.300 --> 00:04:28.580]   perspective to smoking 15 cigarettes a day.
[00:04:28.580 --> 00:04:28.860]   All right.
[00:04:28.860 --> 00:04:29.780]   So we've got a couple of things.
[00:04:29.780 --> 00:04:33.300]   When you smoke a cigarette, you look cool when you're just lonely.
[00:04:33.300 --> 00:04:34.220]   What a bummer.
[00:04:34.220 --> 00:04:36.980]   Well, and also you, you're going to get friends if you smoke cigarettes
[00:04:36.980 --> 00:04:39.620]   because they're going to think you're awesome.
[00:04:39.620 --> 00:04:41.060]   Go smoke cigarettes.
[00:04:41.060 --> 00:04:41.940]   What are you doing?
[00:04:41.940 --> 00:04:43.740]   What was that on a podcast?
[00:04:44.180 --> 00:04:49.580]   Um, yeah, man, that, uh, you know, I mean, geez, I'm even thinking about.
[00:04:49.580 --> 00:04:54.380]   I think I have really healthy male friendships now for the first time in my
[00:04:54.380 --> 00:04:59.180]   life, it's helped me a lot, but as you were reading that, I started to think
[00:04:59.180 --> 00:05:04.100]   like how rare it is, so like my brother is still friends with like his best
[00:05:04.100 --> 00:05:08.020]   friends from high school and my reaction to that is like, what's wrong with you
[00:05:08.020 --> 00:05:13.180]   guys when that probably is like, it's so healthy, it's so good.
[00:05:13.540 --> 00:05:15.900]   And yeah, how that ties into loneliness.
[00:05:15.900 --> 00:05:23.980]   I really think that a huge part of it is we're getting these false
[00:05:23.980 --> 00:05:26.180]   senses of friendship from the internet.
[00:05:26.180 --> 00:05:29.860]   You know, Oh, me and all these people are mad at Ted Cruz on Twitter.
[00:05:29.860 --> 00:05:31.820]   That's, that's my posse, right.
[00:05:31.820 --> 00:05:35.700]   Or, or again, I mean, only family I've never, I have girlfriends
[00:05:35.700 --> 00:05:36.940]   who have only fan pages.
[00:05:36.940 --> 00:05:40.820]   I've never talked to them about it, but I've never subscribed, but
[00:05:40.820 --> 00:05:46.780]   apparently it is, uh, you know, you're, you're talking back and forth to them.
[00:05:46.780 --> 00:05:50.620]   Like you're in a relationship or like you're, you know, whatever.
[00:05:50.620 --> 00:05:55.260]   And so if you're already lonely and nervous about the real world or
[00:05:55.260 --> 00:05:58.660]   nervous to date or whatever, and then you just have these tools like, Hey,
[00:05:58.660 --> 00:06:00.460]   here's a sense of it.
[00:06:00.460 --> 00:06:04.980]   Um, I can just see how that would just like spiral into utter despair.
[00:06:04.980 --> 00:06:06.020]   Right, right.
[00:06:06.020 --> 00:06:08.740]   There's a technological element also explaining this.
[00:06:08.780 --> 00:06:12.780]   I cited some of these studies in my book, digital minimalism.
[00:06:12.780 --> 00:06:15.740]   These at the time, they seemed paradoxical, but these studies that
[00:06:15.740 --> 00:06:20.740]   showed when social media use went up, so did loneliness, and then the social
[00:06:20.740 --> 00:06:23.100]   psychologist followed up and said, what's going on here?
[00:06:23.100 --> 00:06:26.500]   And they introduced this term, social snacking, where they said, as you use
[00:06:26.500 --> 00:06:29.780]   social media more, you convince yourself that you're getting your
[00:06:29.780 --> 00:06:31.940]   daily dose of social interaction.
[00:06:31.940 --> 00:06:36.340]   So you do less of the analog social interaction, but our brain does not
[00:06:36.340 --> 00:06:40.820]   recognize digital interaction, especially just text-based interaction, like on a
[00:06:40.820 --> 00:06:45.700]   text message screen or leaving comments on Instagram, our brain doesn't recognize
[00:06:45.700 --> 00:06:46.580]   that as interacting.
[00:06:46.580 --> 00:06:49.060]   So you think you're social deeper in your brain.
[00:06:49.060 --> 00:06:51.900]   They're saying we haven't interacted with a human in weeks and you feel
[00:06:51.900 --> 00:06:53.340]   sort of paradoxically lonely.
[00:06:53.340 --> 00:06:57.380]   So technology, it made this worse is what it, what it sounds.
[00:06:57.380 --> 00:07:02.060]   Well, I mean, you know, you eat a, you eat two buckets of KFC chicken and
[00:07:02.060 --> 00:07:04.180]   you're like, all right, I'm really full and feel sick.
[00:07:04.180 --> 00:07:08.180]   And I guess I got my protein intake, but it's just like, are you actually
[00:07:08.180 --> 00:07:09.620]   getting like substance?
[00:07:09.620 --> 00:07:15.260]   You know, it's that's why, you know, when friends of mine or me even would
[00:07:15.260 --> 00:07:19.300]   like really poor and younger, you just eat a bunch of fast food because you're
[00:07:19.300 --> 00:07:21.740]   like, well, this is cheap and I'm getting so much.
[00:07:21.740 --> 00:07:25.220]   And it's like, yeah, but you're not, you're getting so much like, and you're
[00:07:25.220 --> 00:07:26.820]   getting all these empty calories.
[00:07:26.820 --> 00:07:29.260]   You're not getting real, you know, nutrition.
[00:07:29.260 --> 00:07:30.740]   And so really similar.
[00:07:30.740 --> 00:07:33.580]   Now, let me, before we get to, I want to get to the specifics of your
[00:07:33.580 --> 00:07:36.500]   transformation, because it's very interesting to me, your friend
[00:07:36.500 --> 00:07:40.660]   transformation, but just because you're, you're more in touch with the culture
[00:07:40.660 --> 00:07:44.500]   around us than I am, because, you know, I'm married with a bunch of kids and I'm
[00:07:44.500 --> 00:07:46.020]   too busy and don't know what's going on.
[00:07:46.020 --> 00:07:46.580]   And I'm a nerd.
[00:07:46.580 --> 00:07:52.420]   That was kind of a nice way of being like, you're, uh, you're sad and, uh,
[00:07:52.420 --> 00:07:53.500]   don't have a family.
[00:07:53.500 --> 00:07:54.380]   Yeah.
[00:07:54.380 --> 00:07:59.420]   So when it comes to sad family list people, I think number one person.
[00:07:59.420 --> 00:07:59.740]   Yeah.
[00:08:01.140 --> 00:08:06.220]   You and Jennifer Aniston, like these are the two, um, no, but when you just look
[00:08:06.220 --> 00:08:08.980]   around, you're, you're, you're out in the world more than I am.
[00:08:08.980 --> 00:08:10.380]   Do you buy that?
[00:08:10.380 --> 00:08:11.900]   It's, this is worse in general.
[00:08:11.900 --> 00:08:15.620]   Like when you're talking to other men, when you see other men, uh, you know,
[00:08:15.620 --> 00:08:18.500]   in your social circles, are people, are you seeing this?
[00:08:18.500 --> 00:08:19.380]   Are people lonely?
[00:08:19.380 --> 00:08:20.460]   Are people talking about it?
[00:08:20.460 --> 00:08:22.740]   What's the word from the street, Jamie?
[00:08:22.740 --> 00:08:23.620]   Yeah.
[00:08:23.620 --> 00:08:27.580]   Men are desperate for connection and it is.
[00:08:27.580 --> 00:08:29.700]   You know, it's, it's hard, man.
[00:08:29.700 --> 00:08:30.380]   It's weird.
[00:08:30.380 --> 00:08:36.420]   Uh, because it's hard enough to find a girlfriend, to find someone to date, to
[00:08:36.420 --> 00:08:42.220]   ask someone out, let alone, you're kind of doing the same thing, but like with a
[00:08:42.220 --> 00:08:43.740]   dude, you know what I mean?
[00:08:43.740 --> 00:08:48.100]   Like I even noticed that, and I'm sure the guys listening to this can like cop to
[00:08:48.100 --> 00:08:54.940]   this as I remember, I just became really good friends with my, uh, my trainer, the
[00:08:54.940 --> 00:08:56.020]   dude who trains me at the gym.
[00:08:57.020 --> 00:09:02.980]   And you know, I would come home and I would like light up to my girlfriend
[00:09:02.980 --> 00:09:06.500]   about him just like you would when you met a girl.
[00:09:06.500 --> 00:09:09.660]   I was like, Oh my God, Travis, like he's so sweet.
[00:09:09.660 --> 00:09:11.500]   And like, he's like really pushing me harder.
[00:09:11.500 --> 00:09:14.780]   And like, I felt like I, like I PR today and then we got in the sauna and like,
[00:09:14.780 --> 00:09:18.220]   man, we were talking about like spirituality and suddenly like, as I'm
[00:09:18.220 --> 00:09:21.540]   describing him, I'm like, Oh, this is how I would describe, Oh my God, I just met
[00:09:21.540 --> 00:09:21.940]   this girl.
[00:09:21.940 --> 00:09:22.620]   She's so cute.
[00:09:22.620 --> 00:09:23.940]   Like we vibe on the same things.
[00:09:23.940 --> 00:09:25.140]   We have the same goals, blah, blah, blah.
[00:09:25.580 --> 00:09:33.700]   And, uh, but it, it, it, it takes a little bit of like security, you know?
[00:09:33.700 --> 00:09:38.740]   I mean, Cal, when we grew up, everything was called gay.
[00:09:38.740 --> 00:09:41.460]   It's like, Oh, you're showing emotion.
[00:09:41.460 --> 00:09:44.020]   Oh, you're, you know, in touch with your feelings.
[00:09:44.020 --> 00:09:45.300]   Like, Oh, you're hanging out with that.
[00:09:45.300 --> 00:09:52.020]   And so like, I really do think there's this weird part in men where it's like,
[00:09:52.020 --> 00:09:54.820]   we want so desperately that male connection.
[00:09:54.820 --> 00:09:56.780]   Like jujitsu so popular.
[00:09:56.780 --> 00:10:01.100]   Um, you know, we, we, we, we've, we've gone from handshakes to like bro hug, but
[00:10:01.100 --> 00:10:02.900]   like full hug is only for like really good.
[00:10:02.900 --> 00:10:09.340]   Like there is, uh, we crave that camaraderie, but it's also like, we don't
[00:10:09.340 --> 00:10:10.260]   want to be weird.
[00:10:10.260 --> 00:10:16.500]   Um, especially as you get older, I mean, making friends in general is super hard.
[00:10:16.500 --> 00:10:20.260]   What, I mean, do you think something has changed about that?
[00:10:20.260 --> 00:10:23.860]   So in other words, in 1990, that was the end point of that article that like in
[00:10:23.860 --> 00:10:28.660]   1990 compared to now there's been this five fold increase in not having close
[00:10:28.660 --> 00:10:29.660]   friends, et cetera.
[00:10:29.660 --> 00:10:35.940]   Was there, I mean, there must be a pathway to male friendships that existed in the
[00:10:35.940 --> 00:10:39.860]   dozen now, because of course it's not that in 1990, we were much more comfortable,
[00:10:39.860 --> 00:10:42.420]   you know, expressing feel that's when we grew up, right.
[00:10:42.420 --> 00:10:46.260]   As you were saying, this was where, uh, yeah, if you were in touch with your
[00:10:46.260 --> 00:10:47.060]   feelings, that was gay.
[00:10:47.060 --> 00:10:49.620]   But if you used a phrase, you're in touch with your feelings, that too was gay.
[00:10:49.620 --> 00:10:51.900]   And so it all sort of recursively piled up on itself.
[00:10:51.900 --> 00:10:53.540]   So what was it?
[00:10:53.540 --> 00:10:57.900]   There must've been, maybe it's just the, the, the, the role of work maybe was more
[00:10:57.900 --> 00:10:59.380]   stability and location.
[00:10:59.380 --> 00:11:00.380]   You didn't move so much.
[00:11:00.380 --> 00:11:01.380]   Maybe it was church.
[00:11:01.380 --> 00:11:03.060]   Maybe it was family earlier.
[00:11:03.060 --> 00:11:06.700]   There's gotta be something that was a cheat code for male friendships.
[00:11:06.700 --> 00:11:10.300]   Then when that was removed, it was suddenly to use a metaphor from our
[00:11:10.300 --> 00:11:10.900]   childhood.
[00:11:10.900 --> 00:11:14.620]   You couldn't beat the boss and Contra because you no longer had the, you no
[00:11:14.620 --> 00:11:16.080]   longer had the super gun or whatever.
[00:11:16.080 --> 00:11:17.340]   I don't really know what that would be.
[00:11:17.340 --> 00:11:20.300]   I don't know if you have any thoughts about 1990 versus now.
[00:11:20.580 --> 00:11:20.940]   No.
[00:11:20.940 --> 00:11:24.460]   So I think that it definitely has to do with the internet and it just has to do
[00:11:24.460 --> 00:11:26.620]   with like less social gatherings in general.
[00:11:26.620 --> 00:11:27.020]   Right.
[00:11:27.020 --> 00:11:30.900]   So I was always a girlfriend guy.
[00:11:30.900 --> 00:11:35.620]   I believe the term is codependent and I would always just, my relationship was
[00:11:35.620 --> 00:11:36.180]   everything.
[00:11:36.180 --> 00:11:40.020]   And when I broke up, that's why this breakup going through now is super weird.
[00:11:40.020 --> 00:11:43.860]   And actually I'm leaning on male friendships for the first time because
[00:11:43.860 --> 00:11:47.980]   usually I lose a girlfriend and I go, ah, I gotta go to the next girlfriend.
[00:11:47.980 --> 00:11:48.140]   Right?
[00:11:48.140 --> 00:11:50.460]   Like that's the only option for connection.
[00:11:51.300 --> 00:11:56.860]   And so I think like, if you look at 1990, there were just more gatherings, right?
[00:11:56.860 --> 00:11:58.180]   More people went to church.
[00:11:58.180 --> 00:12:02.620]   There were, if you were a liberal, you were unions, you, you know, you, you
[00:12:02.620 --> 00:12:04.380]   weren't working from home as much.
[00:12:04.380 --> 00:12:04.500]   Yeah.
[00:12:04.500 --> 00:12:06.820]   You went to an office, you went to an office every day.
[00:12:06.820 --> 00:12:10.340]   The last time I had friends was like my football team in high school.
[00:12:10.340 --> 00:12:12.260]   And I've been like getting out of shape.
[00:12:12.260 --> 00:12:16.180]   It's like, go to a gym, join a CrossFit, do jujitsu.
[00:12:16.180 --> 00:12:20.620]   I mean, if I didn't do jujitsu, I'd probably still have zero male friends.
[00:12:20.620 --> 00:12:22.020]   That was the thing for me.
[00:12:22.020 --> 00:12:29.180]   So you do something cool and challenging with guys who, you know, you.
[00:12:29.180 --> 00:12:32.300]   All like most of my male friends I look up to.
[00:12:32.300 --> 00:12:33.020]   Yeah.
[00:12:33.020 --> 00:12:37.220]   And I don't know if people think, you know, when they're, when, when, when
[00:12:37.220 --> 00:12:40.260]   they're looking for friends that like, they have to be the cool one.
[00:12:40.260 --> 00:12:43.500]   And it's like, no, you don't want a bunch of little like mean girl underlings.
[00:12:43.700 --> 00:12:46.340]   Like you will be good enough.
[00:12:46.340 --> 00:12:48.620]   People love helping other people.
[00:12:48.620 --> 00:12:49.100]   You know?
[00:12:49.100 --> 00:12:52.820]   I mean, the fighters I hang out with are the best fighters in the world.
[00:12:52.820 --> 00:12:55.420]   And they're not like, you can't hang out with us until you become
[00:12:55.420 --> 00:12:56.340]   the best fighter in the world.
[00:12:56.340 --> 00:12:59.380]   I give something else to that circle and then they build me up
[00:12:59.380 --> 00:13:00.700]   and make me a better fighter.
[00:13:00.700 --> 00:13:05.380]   Um, and so literally just like, again, this, it sounds like they
[00:13:05.380 --> 00:13:06.820]   didn't advise shoot your shot.
[00:13:06.820 --> 00:13:07.820]   Yeah.
[00:13:07.820 --> 00:13:08.820]   Well, okay.
[00:13:08.820 --> 00:13:11.540]   And it's like, uh, when you're talking about hanging out with the best fighters
[00:13:11.540 --> 00:13:16.060]   in the world, uh, I can't help, but think about the, the guy from blood sport.
[00:13:16.060 --> 00:13:21.020]   Whose main fighting style was the just boom, the guy with the beard and the,
[00:13:21.020 --> 00:13:23.860]   and the American with the Harley Davidson shirt, but him hanging out with John
[00:13:23.860 --> 00:13:29.180]   Claude Van Damme or David Dukes as the character's name was probably, uh, really
[00:13:29.180 --> 00:13:33.820]   life affirming for him until, uh, he was put into a coma by being too cocky about
[00:13:33.820 --> 00:13:36.060]   knocking out the guy with the giant pecs.
[00:13:36.060 --> 00:13:37.900]   But I think this is, it's very apt, right?
[00:13:37.900 --> 00:13:39.780]   It, it raised his element, but okay.
[00:13:39.780 --> 00:13:41.220]   So this is what I want to get to now.
[00:13:41.220 --> 00:13:42.820]   So we're gonna talk about
[00:13:42.820 --> 00:13:48.060]   be friended, all of those drug locks Jamaican instead of killing them.
[00:13:48.060 --> 00:13:52.540]   Would he have, would he have found a healthier inner life balance?
[00:13:52.540 --> 00:13:53.260]   I think so.
[00:13:53.260 --> 00:13:57.700]   I just read a book about Steven Seagal, by the way, this is a different story, but
[00:13:57.700 --> 00:13:59.100]   okay.
[00:13:59.100 --> 00:14:00.140]   We'll talk about that afterwards.
[00:14:00.140 --> 00:14:01.580]   Cause I became friends with his daughter.
[00:14:01.580 --> 00:14:02.460]   Who's very nice.
[00:14:02.460 --> 00:14:06.500]   Uh, but I have so many questions for her that I'm just like, like sitting on.
[00:14:06.500 --> 00:14:07.340]   Oh my God.
[00:14:07.340 --> 00:14:09.580]   It was such a weird, it was a whole, it was a whole book about
[00:14:09.580 --> 00:14:12.820]   1980s action films and all of those actors.
[00:14:12.820 --> 00:14:17.460]   Um, weird, interesting, fantastical, terrible.
[00:14:17.460 --> 00:14:18.380]   It's just, okay.
[00:14:18.380 --> 00:14:18.700]   Anyways.
[00:14:18.700 --> 00:14:20.860]   Uh, we'll put that aside.
[00:14:20.860 --> 00:14:22.900]   I mean, I think what we're trying to build towards is we would like
[00:14:22.900 --> 00:14:24.260]   a Steven Seagal to be our friend.
[00:14:24.260 --> 00:14:27.180]   All right, but let's go back to, let's go to your life though.
[00:14:27.180 --> 00:14:27.340]   Right?
[00:14:27.340 --> 00:14:32.460]   Because my, my understanding is, um, you recently added, you made male
[00:14:32.460 --> 00:14:35.940]   friendships really for the first time in a long time, a big part of your life.
[00:14:35.940 --> 00:14:38.980]   My understanding of your timeline, tell me if I have this wrong, but here's my,
[00:14:39.020 --> 00:14:40.460]   here's my Jamie Kilstein timeline.
[00:14:40.460 --> 00:14:40.820]   All right.
[00:14:40.820 --> 00:14:42.020]   This always makes me nervous.
[00:14:42.020 --> 00:14:45.780]   You're living in LA more or less just hanging out with Moby.
[00:14:45.780 --> 00:14:46.660]   Yeah.
[00:14:46.660 --> 00:14:50.860]   Then you move to Arizona.
[00:14:50.860 --> 00:14:53.660]   And as far as I can tell, you were living in a retirement community.
[00:14:53.660 --> 00:14:57.420]   So you're essentially hanging out with, with, uh, um, old ladies.
[00:14:57.420 --> 00:14:57.780]   Yeah.
[00:14:57.780 --> 00:15:03.140]   And like elderly Mexican men, then you moved to Austin and it's somehow, once
[00:15:03.140 --> 00:15:06.100]   you got to Austin, you now seem to have a lot of friends that you do things with.
[00:15:06.100 --> 00:15:06.380]   All right.
[00:15:06.380 --> 00:15:08.540]   So give us the story here.
[00:15:08.540 --> 00:15:09.820]   How did you get friends?
[00:15:09.820 --> 00:15:14.260]   Like what as a 40 year old male at the time in Austin, Texas, what happened?
[00:15:14.260 --> 00:15:15.380]   Okay.
[00:15:15.380 --> 00:15:17.580]   So here's what I think happened.
[00:15:17.580 --> 00:15:24.780]   And again, this is very similar to dating advice that time in Arizona,
[00:15:24.780 --> 00:15:27.420]   when I was like kind of a hermit.
[00:15:27.420 --> 00:15:32.700]   Um, so I moved to Arizona with an ex-girlfriend of mine because we were in
[00:15:32.700 --> 00:15:39.500]   LA and we were clearly settling for each other, but we were both nice enough.
[00:15:39.500 --> 00:15:42.420]   We were just, it was my only dating app, uh, relationship.
[00:15:42.420 --> 00:15:44.860]   And we were just like, she was tired of creepy guys.
[00:15:44.860 --> 00:15:47.340]   I was tired of like LA girls on the internet.
[00:15:47.340 --> 00:15:53.180]   And, um, we just so desperately wanted to make it work that we were like, you
[00:15:53.180 --> 00:15:55.460]   know what, this it's probably LA's fault.
[00:15:55.460 --> 00:15:56.220]   It's probably not us.
[00:15:56.220 --> 00:15:57.460]   We should just leave LA.
[00:15:57.460 --> 00:16:02.100]   And so I end up in, so we go to air, we literally picked a place randomly on the
[00:16:02.100 --> 00:16:07.020]   map and so we were outside of Tucson, Arizona and not surprisingly, um, we
[00:16:07.020 --> 00:16:11.620]   broke up, um, I think probably like a year after living in Arizona, like
[00:16:11.620 --> 00:16:12.940]   right before COVID happened.
[00:16:12.940 --> 00:16:18.740]   So my first time as being a single adult male was over COVID.
[00:16:18.740 --> 00:16:21.580]   Um, which is, Oh boy.
[00:16:21.580 --> 00:16:26.700]   Um, it's a really like a do or die situation, which is like, am I going to
[00:16:27.100 --> 00:16:32.660]   kill myself or am I going to do what I probably should have done a long time ago,
[00:16:32.660 --> 00:16:34.140]   which is like figure out who I am.
[00:16:34.140 --> 00:16:39.260]   The year that I spent by myself was the first time that I figured out who I
[00:16:39.260 --> 00:16:46.340]   really was and I couldn't try to fill that gap with, so now I have this breakup.
[00:16:46.340 --> 00:16:47.260]   It was a loving breakup.
[00:16:47.260 --> 00:16:48.140]   It was a sad breakup.
[00:16:48.140 --> 00:16:56.620]   I had this breakup with, with my girlfriend and I have to fight the urge to be
[00:16:56.620 --> 00:17:01.220]   like, okay, just find a new girlfriend because usually we're so used to kind of
[00:17:01.220 --> 00:17:07.620]   like adapting, um, to whoever, like the next person is COVID did not allow me to
[00:17:07.620 --> 00:17:08.980]   do, there was no other option.
[00:17:08.980 --> 00:17:10.180]   I couldn't date.
[00:17:10.180 --> 00:17:11.500]   I couldn't have friends.
[00:17:11.500 --> 00:17:12.700]   I couldn't do any of this stuff.
[00:17:12.700 --> 00:17:17.700]   And so for your listeners who are really lonely right now and are struggling, I
[00:17:17.700 --> 00:17:23.260]   can say that the first thing you should do before you date, before you even make
[00:17:23.260 --> 00:17:26.180]   male friends is figure out like, who are you?
[00:17:26.180 --> 00:17:30.380]   Because that year I was reading books.
[00:17:30.380 --> 00:17:32.980]   I was finally watching the movies I wanted to watch.
[00:17:32.980 --> 00:17:35.540]   I was like taking walks in nature.
[00:17:35.540 --> 00:17:36.940]   I started meditating.
[00:17:36.940 --> 00:17:38.740]   I was doing all these things on my own.
[00:17:38.740 --> 00:17:39.300]   Yeah.
[00:17:39.300 --> 00:17:43.780]   So, so what you're saying is, so you got, uh, familiar with yourself.
[00:17:43.780 --> 00:17:44.460]   Yep.
[00:17:44.460 --> 00:17:46.420]   Took the time to actually be with yourself.
[00:17:46.420 --> 00:17:50.380]   And I, and I would add the addendum to that, which you're not going to do by
[00:17:50.380 --> 00:17:51.780]   spending more time on screen.
[00:17:51.780 --> 00:17:53.340]   So we'll just add in that caveat.
[00:17:53.340 --> 00:17:58.540]   Notice every example, Jamie gave walks, meditation, getting back into activities
[00:17:58.540 --> 00:18:02.580]   he had enjoyed before reading books, watching movies, none of this was, um,
[00:18:02.580 --> 00:18:04.820]   fight on Twitter with your crew.
[00:18:04.820 --> 00:18:05.540]   Yeah.
[00:18:05.540 --> 00:18:05.980]   Yeah.
[00:18:05.980 --> 00:18:07.660]   Get your Instagram follower.
[00:18:07.660 --> 00:18:07.820]   Yeah.
[00:18:07.820 --> 00:18:08.380]   Yeah.
[00:18:08.380 --> 00:18:09.820]   Bus only fan.
[00:18:09.820 --> 00:18:11.660]   Like, yeah, yeah, no, no, no, no, no.
[00:18:11.660 --> 00:18:12.220]   Okay.
[00:18:12.220 --> 00:18:13.100]   Yeah.
[00:18:13.100 --> 00:18:13.780]   All right.
[00:18:13.780 --> 00:18:16.420]   So then you, so you, you got to know yourself and then it sounds like what
[00:18:16.420 --> 00:18:21.820]   happened was you use that to identify meaningful analog activity.
[00:18:21.820 --> 00:18:26.220]   Now that you had the self-reflection, you could identify, uh, like for you, for
