
[00:00:00.000 --> 00:00:01.080]   That's today's deep question.
[00:02:26.680 --> 00:02:30.160]   I had one prediction that I then refined as time went on,
[00:02:30.160 --> 00:02:31.080]   and my refined prediction,
[00:02:31.080 --> 00:02:33.480]   which I talked about for about a year or a year and a half,
[00:02:33.480 --> 00:02:38.480]   was that as the acute phase of the pandemic wound down,
[00:02:38.480 --> 00:02:42.200]   remote work was gonna reduce significantly.
[00:02:42.200 --> 00:02:44.520]   In the, I called it five to 10-year window,
[00:02:44.520 --> 00:02:46.800]   but probably not 10, maybe a five to seven-year window,
[00:02:46.800 --> 00:02:49.440]   we were gonna see returns aggressively
[00:02:49.440 --> 00:02:52.880]   towards pre-pandemic in-person work,
[00:02:52.880 --> 00:02:55.560]   and then I had a more speculative prediction
[00:02:55.560 --> 00:02:57.320]   that that was then gonna shift again,
[00:02:57.320 --> 00:02:58.800]   maybe seven to 10 years in the future,
[00:02:58.800 --> 00:03:01.960]   where we were gonna see a new breed of company
[00:03:01.960 --> 00:03:03.760]   that was native remote,
[00:03:03.760 --> 00:03:06.300]   using ideas that were spawned by companies
[00:03:06.300 --> 00:03:07.480]   that innovated during the pandemic,
[00:03:07.480 --> 00:03:08.680]   these were gonna start to rise
[00:03:08.680 --> 00:03:10.800]   and spread new methods of remote work,
[00:03:10.800 --> 00:03:13.520]   and we were gonna see a return back towards remote work,
[00:03:13.520 --> 00:03:16.240]   so it's gonna be a up the remote high,
[00:03:16.240 --> 00:03:17.600]   back down towards in-person,
[00:03:17.600 --> 00:03:19.640]   and then a sort of slow gradual shift
[00:03:19.640 --> 00:03:22.160]   towards a more advanced and sophisticated approach
[00:03:22.160 --> 00:03:24.920]   to remote work in the future.
[00:03:24.920 --> 00:03:26.400]   So I had this whole theory about it,
[00:03:26.400 --> 00:03:28.080]   I wrote an article in "The New Yorker" about it
[00:03:28.080 --> 00:03:29.840]   a year or so ago,
[00:03:29.840 --> 00:03:33.400]   where I espoused this theory that was first proposed
[00:03:33.400 --> 00:03:36.800]   by an entrepreneur named Chris Hurd, H-E-R-D,
[00:03:36.800 --> 00:03:39.120]   this theory about tech companies
[00:03:39.120 --> 00:03:42.160]   that started during 2020 and 2021,
[00:03:42.160 --> 00:03:43.600]   were gonna figure out from scratch
[00:03:43.600 --> 00:03:45.560]   how to be remote really well,
[00:03:45.560 --> 00:03:47.000]   and it would take about five to 10 years
[00:03:47.000 --> 00:03:49.320]   for those ideas to spread to other industries
[00:03:49.320 --> 00:03:50.320]   and larger companies,
[00:03:50.320 --> 00:03:52.440]   and then we're gonna see really stable remote companies,
[00:03:52.440 --> 00:03:53.560]   but in the short term,
[00:03:53.560 --> 00:03:57.640]   my prediction was we're so bad at remote work
[00:03:57.640 --> 00:04:00.320]   because we let the hyperactive hive mind
[00:04:00.320 --> 00:04:02.960]   rule our collaboration strategy,
[00:04:02.960 --> 00:04:05.360]   and when you take a hyperactive hive mind controlled company
[00:04:05.360 --> 00:04:07.680]   and makes it remote, a lot of friction arises,
[00:04:07.680 --> 00:04:08.960]   and people work more,
[00:04:08.960 --> 00:04:10.000]   and they're in Zoom all day,
[00:04:10.000 --> 00:04:11.160]   and email goes out of control,
[00:04:11.160 --> 00:04:13.680]   that we were gonna end up having to stumble back
[00:04:13.680 --> 00:04:14.520]   to in-person work.
[00:04:14.520 --> 00:04:16.140]   All right, so we can look at the data,
[00:04:16.140 --> 00:04:18.760]   how would we grade my prediction?
[00:04:18.760 --> 00:04:19.600]   Where are we now?
[00:04:19.600 --> 00:04:21.320]   About maybe a year to two years out,
[00:04:21.320 --> 00:04:24.120]   depending on what timeline we're going on
[00:04:24.120 --> 00:04:25.520]   for when I first started making these predictions,
[00:04:25.520 --> 00:04:27.540]   and according to this research here,
[00:04:27.540 --> 00:04:32.440]   the office occupancy has hit a post-pandemic milestone
[00:04:32.440 --> 00:04:34.680]   of 50%.
[00:04:34.680 --> 00:04:37.360]   This, I guess this would have been in January.
[00:04:37.360 --> 00:04:41.360]   All right, so that is a non-trivial return
[00:04:41.360 --> 00:04:45.400]   towards in-person work, like I predicted.
[00:04:45.400 --> 00:04:48.320]   However, according to this article,
[00:04:48.320 --> 00:04:51.920]   experts say this could be the new normal.
[00:04:51.920 --> 00:04:53.260]   So in other words,
[00:04:53.260 --> 00:04:56.820]   the experts cited in this Washington Post article say,
[00:04:56.820 --> 00:04:58.960]   "But we're not gonna get higher than this."
[00:04:58.960 --> 00:05:01.920]   Got two points here.
[00:05:01.920 --> 00:05:05.640]   One, if they are correct about that,
[00:05:05.640 --> 00:05:08.760]   I would give myself maybe a B.
[00:05:08.760 --> 00:05:10.500]   I don't know what you think is fair here, Jesse.
[00:05:10.500 --> 00:05:14.740]   We did for sure return significantly towards remote work.
[00:05:14.740 --> 00:05:16.520]   I think this number was down in the 30s
[00:05:16.520 --> 00:05:19.760]   at their nadir in the summer of 2020.
[00:05:19.760 --> 00:05:21.840]   And so we've gone back to more than half of them.
[00:05:21.840 --> 00:05:24.200]   So we could say the majority of companies are now in person,
[00:05:24.200 --> 00:05:27.760]   but we're not 80%, we're not 90%,
[00:05:27.760 --> 00:05:30.400]   which is the numbers pre-pandemic were very high.
[00:05:30.400 --> 00:05:33.040]   There was not as much remote work going on.
[00:05:33.040 --> 00:05:35.780]   So I would maybe give myself a B
[00:05:35.780 --> 00:05:37.320]   if these numbers were accurate.
[00:05:37.320 --> 00:05:40.080]   My second point,
[00:05:40.080 --> 00:05:42.840]   I don't know that that prediction is accurate.
[00:05:42.840 --> 00:05:44.500]   So I have a graph on the screen here
[00:05:44.500 --> 00:05:47.660]   from the article.
[00:05:47.660 --> 00:05:48.960]   It looks like, okay, I was wrong.
[00:05:48.960 --> 00:05:50.560]   The nadir was actually,
[00:05:50.560 --> 00:05:53.960]   looks here like 15% in person.
[00:05:53.960 --> 00:05:57.000]   And this would have been in 2020, the spring of 2020.
[00:05:57.000 --> 00:05:59.400]   It looks like it's been raising pretty steadily.
[00:05:59.400 --> 00:06:02.720]   And there's a pretty steady line raising
[00:06:02.720 --> 00:06:05.580]   this 50% higher than any other time before.
[00:06:05.580 --> 00:06:09.900]   I think these experts might be a little bit too quick
[00:06:09.900 --> 00:06:12.580]   to say this may be the new normal.
[00:06:12.580 --> 00:06:15.720]   And I believe it's probably from bias.
[00:06:15.720 --> 00:06:20.720]   I think for certain sectors of our economy right now,
[00:06:20.720 --> 00:06:21.900]   especially those who are involved
[00:06:21.900 --> 00:06:24.500]   in sort of elite discourses, elite media discourses,
[00:06:24.500 --> 00:06:26.380]   or elite academic discourses,
[00:06:26.380 --> 00:06:29.160]   an idea took hold in the last year or so
[00:06:29.160 --> 00:06:32.800]   that remote work was a progressive labor policy
[00:06:32.800 --> 00:06:34.700]   and was in some sense,
[00:06:34.700 --> 00:06:36.880]   the only humane way to run knowledge work.
[00:06:36.880 --> 00:06:39.980]   And the very idea that someone would want
[00:06:39.980 --> 00:06:41.900]   to run their office in the way
[00:06:41.900 --> 00:06:45.340]   that we've been running offices basically until yesterday.
[00:06:45.340 --> 00:06:46.660]   So for decades and decades of yesterday,
[00:06:46.660 --> 00:06:48.400]   the very idea that we'd want to do that again
[00:06:48.400 --> 00:06:49.760]   is itself contemptible.
[00:06:49.760 --> 00:06:51.180]   So there's this strain of thought
[00:06:51.180 --> 00:06:55.100]   that has now associated remote work
[00:06:55.100 --> 00:06:57.880]   with this is obviously the thing that we should be doing
[00:06:57.880 --> 00:07:01.620]   and is almost aghast, if not completely flabbergasted
[00:07:01.620 --> 00:07:03.180]   that anyone would not just let their employees
[00:07:03.180 --> 00:07:04.060]   be fully remote.
[00:07:04.060 --> 00:07:05.260]   So I think from that mindset,
[00:07:05.260 --> 00:07:07.100]   which by the way, I'm not fully dismissing.
[00:07:07.100 --> 00:07:08.820]   I wrote this whole New Yorker piece
[00:07:08.820 --> 00:07:11.220]   that tried to understand where that came from.
[00:07:11.220 --> 00:07:12.340]   And I think there's deeper layers
[00:07:12.340 --> 00:07:13.420]   underneath supporting that,
[00:07:13.420 --> 00:07:16.420]   that are worth unpacking that we won't do that now.
[00:07:16.420 --> 00:07:17.940]   But if that is your mindset
[00:07:17.940 --> 00:07:19.240]   and that's what you're seeing on Twitter,
[00:07:19.240 --> 00:07:21.940]   and that's the conversation you see in the Washington Post
[00:07:21.940 --> 00:07:23.760]   every time you open it up or in the New York Times,
[00:07:23.760 --> 00:07:25.260]   if that is your mindset,
[00:07:25.260 --> 00:07:26.300]   I think it's hard to believe
[00:07:26.300 --> 00:07:27.340]   that the number would keep going up.
[00:07:27.340 --> 00:07:29.980]   You're surprised it's even at 50.
[00:07:29.980 --> 00:07:31.900]   So you say, well, surely it would go no higher than this.
[00:07:31.900 --> 00:07:33.780]   And this is essentially what the expert quotes,
[00:07:33.780 --> 00:07:36.940]   at least by my ear, is what it sounds like in here.
[00:07:36.940 --> 00:07:40.600]   It's not like there is evidence for a significant slowdown
[00:07:40.600 --> 00:07:43.980]   and we're reaching a derivative of zero now on this graph.
[00:07:43.980 --> 00:07:45.540]   If you look at what's going on here,
[00:07:45.540 --> 00:07:47.820]   the experts are just saying things like,
[00:07:47.820 --> 00:07:49.820]   it's unlikely to go much higher
[00:07:49.820 --> 00:07:52.500]   because flexible work is becoming entrenched.
[00:07:52.500 --> 00:07:54.340]   Some employees have resisted hard mandates.
[00:07:54.340 --> 00:07:56.300]   It's just sort of, hey, we're used to this now.
[00:07:56.300 --> 00:07:57.340]   I can't imagine it's gonna go higher.
[00:07:57.340 --> 00:07:58.720]   So I don't know, the reality I bet
[00:07:58.720 --> 00:08:00.060]   is probably higher than that,
[00:08:00.060 --> 00:08:02.360]   but still probably not as high as I predicted.
[00:08:02.360 --> 00:08:06.740]   So we can put aside whether that's good or bad.
[00:08:06.740 --> 00:08:10.680]   I've tried to take a relatively value agnostic stance
[00:08:10.680 --> 00:08:12.240]   in my predictions.
[00:08:12.240 --> 00:08:13.920]   So when I'm trying to predict what I think is happening,
[00:08:13.920 --> 00:08:15.640]   I just wanna try to get it right.
[00:08:15.640 --> 00:08:18.080]   Whether it's good or bad, what's gonna happen,
[00:08:18.080 --> 00:08:19.560]   that's a separate strain of argument,
[00:08:19.560 --> 00:08:20.980]   which I have other thoughts on.
[00:08:20.980 --> 00:08:23.020]   But I think we have a little bit more in person
[00:08:23.020 --> 00:08:23.940]   to go going forward.
[00:08:23.940 --> 00:08:26.040]   And again, my argument for why that is the case,
[00:08:26.040 --> 00:08:27.720]   and I'll just take this one piece of my argument
[00:08:27.720 --> 00:08:29.540]   and rearticulate it one more time.
[00:08:29.540 --> 00:08:33.040]   If you do not have good processes
[00:08:33.040 --> 00:08:34.640]   or systems for collaboration,
[00:08:34.640 --> 00:08:37.240]   if you rely on ad hoc unscheduling back and forth
[00:08:37.240 --> 00:08:39.440]   interactions to get things done,
[00:08:39.440 --> 00:08:41.440]   remote work makes work harder.
[00:08:41.440 --> 00:08:45.600]   You get rid of the incredibly efficient
[00:08:45.600 --> 00:08:47.780]   impromptu let me grab you after a meeting
[00:08:47.780 --> 00:08:50.080]   or in a hallway type discussions.
[00:08:50.080 --> 00:08:53.060]   You lose transparency in the people's workload
[00:08:53.060 --> 00:08:54.760]   or evident exhaustion.
[00:08:54.760 --> 00:08:57.360]   You break down the boundaries much more severely
[00:08:57.360 --> 00:08:58.960]   between at work and not at work.
[00:08:58.960 --> 00:09:01.000]   You get rid of that commute time,
[00:09:01.000 --> 00:09:03.160]   psychological phase shift that helps you shift
[00:09:03.160 --> 00:09:07.240]   from work to at home, increasing burnout, increasing stress.
[00:09:07.240 --> 00:09:09.840]   A lot of remote knowledge workers are not working less.
[00:09:09.840 --> 00:09:11.440]   If anything, they're working more,
[00:09:11.440 --> 00:09:14.200]   even though there's less physical surveillance
[00:09:14.200 --> 00:09:15.840]   and they don't have to spend time to commute.
[00:09:15.840 --> 00:09:16.680]   So there's a lot of issues
[00:09:16.680 --> 00:09:20.440]   with just taking bad collaborations styles
[00:09:20.440 --> 00:09:21.920]   and then moving them remote.
[00:09:21.920 --> 00:09:23.360]   And so my prediction is that friction
[00:09:23.360 --> 00:09:24.640]   was gonna bring people back
[00:09:24.640 --> 00:09:27.400]   because it just works a little bit better.
[00:09:27.400 --> 00:09:29.600]   That doesn't mean remote work is not a good idea,
[00:09:29.600 --> 00:09:32.360]   but it has to be done with much more structure and strategy.
[00:09:32.360 --> 00:09:33.640]   And that's what I think is gonna arise
[00:09:33.640 --> 00:09:34.680]   five, six years in the future.
[00:09:34.680 --> 00:09:36.040]   That's being worked out now
[00:09:36.040 --> 00:09:38.360]   and this sort of remote work V2,
[00:09:38.360 --> 00:09:40.840]   that is gonna have it spread.
[00:09:40.840 --> 00:09:41.760]   It's gonna be a little more gradual
[00:09:41.760 --> 00:09:43.320]   and we'll have a much more sophisticated approach
[00:09:43.320 --> 00:09:45.720]   to remote work than simply just do what you were doing,
[00:09:45.720 --> 00:09:46.880]   but now we're on Zoom a lot.
[00:09:46.880 --> 00:09:48.920]   So that was my thoughts on that.
[00:09:48.920 --> 00:09:52.040]   And I think I'm, according to this article,
[00:09:52.040 --> 00:09:55.080]   have a B, if trends continue the way I think they might,
[00:09:55.080 --> 00:09:57.920]   maybe I'll edge myself up to a B plus.
[00:09:57.920 --> 00:09:58.760]   So we'll see.
[00:10:00.120 --> 00:10:04.040]   But I wanted to take advantage of this topic
[00:10:04.040 --> 00:10:08.120]   and say, putting aside what's gonna happen in the future,
[00:10:08.120 --> 00:10:09.960]   let's talk about what we can do
[00:10:09.960 --> 00:10:11.960]   with what we have right now.
[00:10:11.960 --> 00:10:15.520]   So if you were one of the 50% or more of knowledge workers
[00:10:15.520 --> 00:10:17.320]   who is working remote right now,
[00:10:17.320 --> 00:10:22.160]   let's take this reality out for a little bit of a spin.
[00:10:22.160 --> 00:10:25.160]   I mean, what are we experts on here in this show?
[00:10:25.160 --> 00:10:26.800]   One of the things we're expert on
[00:10:26.840 --> 00:10:30.400]   is really understanding how work unfolds
[00:10:30.400 --> 00:10:33.040]   and then building very intentional or intelligent systems
[00:10:33.040 --> 00:10:35.160]   to allow us to take advantage of these realities,
[00:10:35.160 --> 00:10:37.040]   to take control of our work and our workloads
[00:10:37.040 --> 00:10:38.400]   and how things unfold.
[00:10:38.400 --> 00:10:40.960]   Working remotely in theory
[00:10:40.960 --> 00:10:43.920]   massively increases your flexibility and autonomy
[00:10:43.920 --> 00:10:48.040]   if you're able to take advantage of that.
[00:10:48.040 --> 00:10:51.360]   And so I figured, let's look into that a little bit.
[00:10:51.360 --> 00:10:55.840]   Let's look into how we can hack a remote work job
[00:10:55.840 --> 00:10:59.840]   with the goal of significantly decreasing
[00:10:59.840 --> 00:11:00.720]   the amount of time you work.
[00:11:00.720 --> 00:11:01.800]   So that's today's deep question.
[00:11:01.800 --> 00:11:04.000]   The deep question we're gonna explore today,
[00:11:04.000 --> 00:11:06.080]   how can I significantly decrease the footprint
[00:11:06.080 --> 00:11:11.080]   of my remote job without anyone noticing?
[00:11:11.080 --> 00:11:14.240]   So like always, we'll deep dive on that question.
[00:11:14.240 --> 00:11:15.520]   Then in the second segment of the show,
[00:11:15.520 --> 00:11:17.440]   we're gonna do five questions from you, my listeners,
[00:11:17.440 --> 00:11:20.360]   that all relate to this general topic of today's episode.
[00:11:20.360 --> 00:11:22.000]   And then the third segment, we'll do something different.
[00:11:22.000 --> 00:11:23.880]   And today that's gonna be me reviewing
[00:11:23.880 --> 00:11:26.480]   the five books I read last month.
[00:11:26.480 --> 00:11:28.560]   All right, so that's our goal.
[00:11:28.560 --> 00:11:30.800]   You know, Jesse, I'm not the first to do this.
[00:11:30.800 --> 00:11:34.640]   This was at the key of Tim Ferriss' "4-Hour Workweek,"
[00:11:34.640 --> 00:11:36.360]   2007 bestseller.
[00:11:36.360 --> 00:11:39.240]   "4-Hour Workweek" gets into
[00:11:39.240 --> 00:11:41.680]   how do you shift your job to remote?
[00:11:41.680 --> 00:11:42.960]   And then once you're remote,
[00:11:42.960 --> 00:11:44.920]   how do you best take advantage
[00:11:44.920 --> 00:11:47.840]   of the potential flexibility there
[00:11:47.840 --> 00:11:49.240]   to build something really cool?
[00:11:49.240 --> 00:11:51.520]   And I think what Tim was right about,
[00:11:51.520 --> 00:11:53.200]   and this is influencing what I'm talking about today,
[00:11:53.200 --> 00:11:55.760]   is that it's actually non-trivial
[00:11:55.760 --> 00:11:57.880]   to take advantage of that potential.
[00:11:57.880 --> 00:11:59.680]   It's not just because my job is remote,
[00:11:59.680 --> 00:12:01.000]   suddenly I'll have more flexibility,
[00:12:01.000 --> 00:12:02.040]   autonomy, and things will be better.
[00:12:02.040 --> 00:12:03.640]   It's actually hard work to take advantage
[00:12:03.640 --> 00:12:06.200]   of the potential for the remoteness to make your job better.
[00:12:06.200 --> 00:12:10.000]   So in some sense, we're upgrading Tim's original thoughts
[00:12:10.000 --> 00:12:14.680]   from 2007 to the reality of 2023 knowledge work.
[00:12:14.680 --> 00:12:16.480]   All right, so I have two points to make
[00:12:16.480 --> 00:12:18.760]   before we get into our tactics here.
[00:12:18.760 --> 00:12:20.800]   Point number one, what do I mean
[00:12:20.800 --> 00:12:24.040]   when I say significantly decrease
[00:12:24.040 --> 00:12:27.680]   the footprint of your remote job?
[00:12:27.680 --> 00:12:28.920]   Here's the definition I wanna use
[00:12:28.920 --> 00:12:31.040]   for the sake of today's discussion,
[00:12:31.040 --> 00:12:32.440]   that you've reduced the time you spend
[00:12:32.440 --> 00:12:36.240]   on your remote job enough that you could, in theory,
[00:12:36.240 --> 00:12:38.600]   fit a significant second endeavor
[00:12:38.600 --> 00:12:41.260]   into your standard work hours.
[00:12:41.260 --> 00:12:44.480]   Right, so that's what we mean by significantly decrease.
[00:12:44.480 --> 00:12:48.040]   What are examples of the type of significant second endeavors
[00:12:48.040 --> 00:12:49.840]   that you could put in?
[00:12:49.840 --> 00:12:51.120]   Well, there's always what we've talked about
[00:12:51.120 --> 00:12:54.600]   on the show before, the phantom part-time job.
[00:12:54.600 --> 00:12:57.080]   This is where you're essentially working on something else
[00:12:57.080 --> 00:12:59.840]   at the same time that you have your normal job.
[00:12:59.840 --> 00:13:01.120]   You have some side hustle
[00:13:01.120 --> 00:13:03.240]   that you're putting some time into.
[00:13:03.240 --> 00:13:05.360]   Now, we've gotten feedback on this before
[00:13:05.360 --> 00:13:06.920]   that in a lot of professions,
[00:13:06.920 --> 00:13:09.440]   there's some ethical issues around that.
[00:13:09.440 --> 00:13:12.720]   But for a just in case, or for instance,
[00:13:12.720 --> 00:13:15.880]   I think this is a good example of the magnitude of time
[00:13:15.880 --> 00:13:17.920]   we're talking about saving here,
[00:13:17.920 --> 00:13:20.680]   that significant, significant second endeavor
[00:13:20.680 --> 00:13:22.760]   could be a personal pursuit,
[00:13:22.760 --> 00:13:25.020]   something very important that you're doing in your own life
[00:13:25.020 --> 00:13:28.220]   that is non-professional.
[00:13:28.220 --> 00:13:32.580]   So you are rich role style while he was still a lawyer
[00:13:32.580 --> 00:13:36.560]   and training to do his Iron Man endurance events, right?
[00:13:36.560 --> 00:13:41.560]   Or you're building a massive animatronic Halloween display
[00:13:41.560 --> 00:13:47.760]   that's going to move and walk down the street
[00:13:47.760 --> 00:13:49.640]   just bringing this up from a friend.
[00:13:49.640 --> 00:13:51.600]   That's definitely not my intention,
[00:13:51.600 --> 00:13:53.520]   but something that takes a lot of time.
[00:13:53.520 --> 00:13:55.400]   I've seen some of these guys on YouTube.
[00:13:55.400 --> 00:13:58.080]   It could also be just, you want a lot of cushion
[00:13:58.080 --> 00:14:01.240]   because the pandemic was exhausting and you have young kids
[00:14:01.240 --> 00:14:03.160]   and you just wanna be able to like Ginny Odell,
[00:14:03.160 --> 00:14:05.480]   just sit outside in a garden for a couple hours
[00:14:05.480 --> 00:14:06.580]   on a semi-regular basis,
[00:14:06.580 --> 00:14:10.440]   because we don't have to be pushing it to the limit
[00:14:10.440 --> 00:14:13.480]   all the time that exhausts us as humans.
[00:14:13.480 --> 00:14:16.040]   It could even be mastering a new skill
[00:14:16.040 --> 00:14:17.920]   that is relevant to your current job.
[00:14:17.920 --> 00:14:20.500]   What I'm gonna do is free up a lot of time,
[00:14:20.500 --> 00:14:23.560]   which I'm gonna use to master the skill
[00:14:23.560 --> 00:14:25.560]   that if I bring it to my current job,
[00:14:25.560 --> 00:14:28.660]   then I'm gonna be really killing it, right?
[00:14:28.660 --> 00:14:32.480]   I am going to learn this advanced machine learning,
[00:14:32.480 --> 00:14:36.120]   modeling language and come back with the ability
[00:14:36.120 --> 00:14:38.720]   to completely overhaul the way
[00:14:38.720 --> 00:14:40.760]   our client recommendation systems work.
[00:14:40.760 --> 00:14:43.320]   So this is gonna take me months of study
[00:14:43.320 --> 00:14:46.680]   and it's gonna take a lot of time and I can do it
[00:14:46.680 --> 00:14:48.280]   because I freed up a significant amount of time.
[00:14:48.280 --> 00:14:49.920]   So that's what I mean, that's the goal.
[00:14:49.920 --> 00:14:52.680]   That's how much time I wanna talk about freeing up here.
[00:14:52.680 --> 00:14:56.920]   Point two, this is not quiet quitting.
[00:14:56.920 --> 00:15:01.680]   Quiet quitting reduces the time
[00:15:01.680 --> 00:15:02.880]   and the amount of things you get done.
[00:15:02.880 --> 00:15:05.720]   It reduces the time you spend working by disengagement.
[00:15:05.720 --> 00:15:06.920]   It says, you know what?
[00:15:06.920 --> 00:15:10.560]   I'm working too hard and so I'm gonna work less hard
[00:15:10.560 --> 00:15:13.000]   because I don't owe you work that's hard.
[00:15:13.000 --> 00:15:15.440]   I don't owe you that magnitude of hard work.
[00:15:15.440 --> 00:15:19.120]   So quiet quitting is you pulling back essentially
[00:15:19.120 --> 00:15:22.600]   what it is you're offering to your employer.
[00:15:22.600 --> 00:15:24.340]   As you'll see with the advice I wanna give,
[00:15:24.340 --> 00:15:25.520]   this is actually quite different.
[00:15:25.520 --> 00:15:28.080]   We're gonna be squeezing out inefficiencies.
[00:15:28.080 --> 00:15:30.800]   We're gonna be squeezing out wasted time.
[00:15:30.800 --> 00:15:33.020]   Time waste that was injected into your life
[00:15:33.020 --> 00:15:36.280]   because of the negative externalities of remote work
[00:15:36.280 --> 00:15:37.720]   that when you reclaim that back,
[00:15:37.720 --> 00:15:39.960]   you're not actually reducing the amount of useful work
[00:15:39.960 --> 00:15:41.540]   you're able to do for your employee.
[00:15:41.540 --> 00:15:42.920]   You're just reducing the amount of time
[00:15:42.920 --> 00:15:45.480]   that same good work requires.
[00:15:45.480 --> 00:15:48.400]   So this is not about you saying, wait a second,
[00:15:48.400 --> 00:15:50.080]   I'm giving you too much.
[00:15:50.080 --> 00:15:51.560]   I'm now gonna do less.
[00:15:51.560 --> 00:15:52.880]   You know, what are you gonna do about it?
[00:15:52.880 --> 00:15:55.680]   It is, we are doing this poorly.
[00:15:55.680 --> 00:15:57.200]   If I get rid of the wastage,
[00:15:57.200 --> 00:16:01.400]   I'm still getting the same work done, but I'm done at two.
[00:16:01.400 --> 00:16:05.520]   So I'm gonna build a giant animatronic Halloween display
[00:16:05.520 --> 00:16:07.240]   outside of my house.
[00:16:07.240 --> 00:16:08.280]   All right, so those are my two points.
[00:16:08.280 --> 00:16:10.560]   All right, so given those two caveats,
[00:16:10.560 --> 00:16:11.720]   I have a collection of ideas here.
[00:16:11.720 --> 00:16:13.720]   Let me look at my notes, five ideas.
[00:16:13.720 --> 00:16:15.840]   If you're a remote worker,
[00:16:15.840 --> 00:16:17.560]   how to significantly decrease the footprint
[00:16:17.560 --> 00:16:20.380]   of your remote job without anyone noticing.
[00:16:20.380 --> 00:16:26.300]   All right, idea number one, create synchrony traps.
[00:16:26.300 --> 00:16:30.000]   Now this is new terminology for an idea
[00:16:30.000 --> 00:16:32.920]   that you hear in different forms all the time in this show,
