
[00:00:00.040 --> 00:00:10.500]   Bou just in the
[00:10:16.640 --> 00:10:16.640]   The way the law works is basically to build it yourself.
[00:10:16.640 --> 00:10:16.640]   The way the law works is basically to build it yourself.
[00:10:16.640 --> 00:10:16.640]   The way the law works is basically to build it yourself.
[00:10:16.640 --> 00:10:16.640]   The way the law works is basically to build it yourself.
[00:10:16.640 --> 00:10:16.640]   The way the law works is basically to build it yourself.
[00:10:16.640 --> 00:10:16.640]   The way the law works is basically to build it yourself.
[00:10:16.640 --> 00:10:16.640]   The way the law works is basically to build it yourself.
[00:10:16.640 --> 00:10:46.660]   The way the law works is basically to build it yourself.
[00:10:46.660 --> 00:10:46.660]   The way the law works is basically to build it yourself.
[00:10:46.660 --> 00:10:46.660]   The way the law works is basically to build it yourself.
[00:10:46.660 --> 00:10:46.660]   The way the law works is basically to build it yourself.
[00:10:46.660 --> 00:10:46.660]   The way the law works is basically to build it yourself.
[00:10:46.660 --> 00:10:46.660]   The way the law works is basically to build it yourself.
[00:10:46.660 --> 00:10:46.660]   The way the law works is basically to build it yourself.
[00:10:46.660 --> 00:10:46.660]   The way the law works is basically to build it yourself.
[00:10:46.680 --> 00:11:16.680]   The way the law works is basically to build it yourself.
[00:11:16.680 --> 00:11:16.680]   The way the law works is basically to build it yourself.
[00:11:16.680 --> 00:11:16.680]   The way the law works is basically to build it yourself.
[00:11:16.680 --> 00:11:16.680]   The way the law works is basically to build it yourself.
[00:11:16.680 --> 00:11:16.680]   The way the law works is basically to build it yourself.
[00:11:16.680 --> 00:11:16.680]   The way the law works is basically to build it yourself.
[00:11:16.680 --> 00:11:16.680]   The way the law works is basically to build it yourself.
[00:11:16.680 --> 00:11:16.680]   The way the law works is basically to build it yourself.
[00:11:16.680 --> 00:11:16.680]   The way the law works is basically to build it yourself.
[00:11:16.680 --> 00:11:16.680]   The way the law works is basically to build it yourself.
[00:11:16.680 --> 00:11:16.680]   The way the law works is basically to build it yourself.
[00:11:16.680 --> 00:11:16.680]   The way the law works is basically to build it yourself.
[00:11:16.680 --> 00:11:16.680]   The way the law works is basically to build it yourself.
[00:11:16.680 --> 00:11:16.680]   The way the law works is basically to build it yourself.
[00:11:16.680 --> 00:11:16.680]   The way the law works is basically to build it yourself.
[00:11:16.680 --> 00:11:46.700]   The way the law works is basically to build it yourself.
[00:11:46.700 --> 00:11:46.700]   The way the law works is basically to build it yourself.
[00:11:46.700 --> 00:11:46.700]   The way the law works is basically to build it yourself.
[00:11:46.700 --> 00:11:46.700]   The way the law works is basically to build it yourself.
[00:11:46.700 --> 00:11:46.700]   The way the law works is basically to build it yourself.
[00:11:46.700 --> 00:11:46.700]   The way the law works is basically to build it yourself.
[00:11:46.700 --> 00:11:46.700]   The way the law works is basically to build it yourself.
[00:11:46.700 --> 00:11:46.700]   The way the law works is basically to build it yourself.
[00:11:46.720 --> 00:12:16.720]   The way the law works is basically to build it yourself.
[00:12:16.720 --> 00:12:16.720]   The way the law works is basically to build it yourself.
[00:12:16.720 --> 00:12:16.720]   The way the law works is basically to build it yourself.
[00:12:16.720 --> 00:12:16.720]   The way the law works is basically to build it yourself.
[00:12:16.720 --> 00:12:16.720]   The way the law works is basically to build it yourself.
[00:12:16.720 --> 00:12:16.720]   The way the law works is basically to build it yourself.
[00:12:16.720 --> 00:12:16.720]   The way the law works is basically to build it yourself.
[00:12:16.720 --> 00:12:16.720]   The way the law works is basically to build it yourself.
[00:12:16.720 --> 00:12:16.720]   The way the law works is basically to build it yourself.
[00:12:16.720 --> 00:12:16.720]   The way the law works is basically to build it yourself.
[00:12:16.720 --> 00:12:16.720]   The way the law works is basically to build it yourself.
[00:12:16.720 --> 00:12:16.720]   The way the law works is basically to build it yourself.
[00:12:16.720 --> 00:12:16.720]   The way the law works is basically to build it yourself.
[00:12:16.720 --> 00:12:16.720]   The way the law works is basically to build it yourself.
[00:12:16.720 --> 00:12:16.720]   is basically to build it yourself.
[00:12:16.720 --> 00:12:16.720]   because you're building it yourself.
[00:12:16.760 --> 00:12:26.640]   conclude
[00:12:26.640 --> 00:12:27.480]   invest dressedmember
[00:12:27.480 --> 00:12:31.620]   ما
[00:13:14.840 --> 00:13:14.840]   and
[00:13:14.840 --> 00:13:14.840]   and
[00:13:14.840 --> 00:13:14.840]   and
[00:13:43.900 --> 00:13:44.860]   and
[00:13:44.860 --> 00:13:44.860]   and
[00:13:44.860 --> 00:13:44.860]   and
[00:13:44.860 --> 00:13:44.860]   and
[00:13:44.860 --> 00:13:44.860]   and
[00:14:08.380 --> 00:14:14.880]   So upgradeable, you can buy a cheap AR-15 as an entry-level starter firearm or as an entry-level weapon.
[00:14:43.940 --> 00:14:43.940]   You can buy a cheap AR-15 as an entry-level weapon.
[00:14:43.940 --> 00:14:44.000]   You can buy a cheap AR-15 as an entry-level weapon.
[00:14:44.000 --> 00:14:44.040]   You can buy a cheap AR-15 as an entry-level weapon.
[00:14:44.040 --> 00:14:44.100]   You can buy a cheap AR-15 as an entry-level weapon.
[00:14:44.100 --> 00:14:44.180]   You can buy a cheap AR-15 as an entry-level weapon.
[00:14:44.180 --> 00:14:44.280]   You can buy a cheap AR-15 as an entry-level weapon.
[00:14:44.280 --> 00:14:44.340]   You can buy a cheap AR-15 as an entry-level weapon.
[00:14:44.340 --> 00:14:44.500]   You can buy a cheap AR-15 as an entry-level weapon.
[00:14:44.500 --> 00:14:44.580]   You can buy a cheap AR-15 as an entry-level weapon.
[00:14:44.580 --> 00:14:44.640]   You can buy a cheap AR-15 as an entry-level weapon.
[00:14:44.640 --> 00:14:44.700]   You can buy a cheap AR-15 as an entry-level weapon.
[00:14:44.700 --> 00:14:44.740]   You can buy a cheap AR-15 as an entry-level weapon.
[00:14:44.780 --> 00:15:14.660]  , you can buy a cheap AR-15 as an entry-level weapon.
[00:15:14.660 --> 00:15:14.760]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:14.760 --> 00:15:14.760]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:14.760 --> 00:15:14.760]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:14.760 --> 00:15:14.760]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:14.760 --> 00:15:14.760]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:14.760 --> 00:15:14.760]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:14.760 --> 00:15:14.760]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:14.760 --> 00:15:14.760]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:14.780 --> 00:15:44.780]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:44.780 --> 00:15:44.780]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:44.780 --> 00:15:44.780]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:44.780 --> 00:15:44.780]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:44.780 --> 00:15:44.780]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:44.780 --> 00:15:44.780]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:44.780 --> 00:15:44.780]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:44.780 --> 00:15:44.780]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:44.780 --> 00:15:44.780]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:44.780 --> 00:15:44.780]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:44.780 --> 00:15:44.780]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:44.780 --> 00:15:44.780]   You can buy a cheap AR-15 as an entry-level weapon.
[00:15:44.800 --> 00:16:14.800]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:14.800 --> 00:16:14.800]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:14.800 --> 00:16:14.800]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:14.800 --> 00:16:14.800]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:14.800 --> 00:16:14.800]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:14.800 --> 00:16:14.800]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:14.800 --> 00:16:14.800]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:14.800 --> 00:16:14.800]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:14.800 --> 00:16:14.800]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:14.800 --> 00:16:14.800]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:14.840 --> 00:16:44.820]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:44.820 --> 00:16:44.820]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:44.820 --> 00:16:44.820]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:44.820 --> 00:16:44.820]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:44.820 --> 00:16:44.820]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:44.820 --> 00:16:44.820]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:44.820 --> 00:16:44.820]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:44.820 --> 00:16:44.820]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:44.820 --> 00:16:44.820]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:44.820 --> 00:16:44.820]   You can buy a cheap AR-15 as an entry-level weapon.
[00:16:44.840 --> 00:17:14.840]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:14.840 --> 00:17:14.840]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:14.840 --> 00:17:14.840]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:14.840 --> 00:17:14.840]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:14.840 --> 00:17:14.840]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:14.840 --> 00:17:14.840]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:14.840 --> 00:17:14.840]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:14.840 --> 00:17:14.840]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:14.840 --> 00:17:14.840]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:14.840 --> 00:17:14.840]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:14.840 --> 00:17:14.840]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:14.840 --> 00:17:14.840]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:14.860 --> 00:17:44.860]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:44.860 --> 00:17:44.860]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:44.860 --> 00:17:44.860]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:44.860 --> 00:17:44.860]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:44.860 --> 00:17:44.860]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:44.860 --> 00:17:44.860]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:44.860 --> 00:17:44.860]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:44.860 --> 00:17:44.860]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:44.860 --> 00:17:44.860]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:44.860 --> 00:17:44.860]   You can buy a cheap AR-15 as an entry-level weapon.
[00:17:44.900 --> 00:18:14.880]  ,
[00:18:14.880 --> 00:18:14.880]   and you can buy a cheap AR-15 as an entry-level weapon.
[00:18:14.880 --> 00:18:14.880]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:14.880 --> 00:18:14.880]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:14.880 --> 00:18:14.880]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:14.880 --> 00:18:14.880]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:14.880 --> 00:18:14.880]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:14.880 --> 00:18:14.880]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:14.880 --> 00:18:14.880]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:14.880 --> 00:18:14.880]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:14.880 --> 00:18:14.880]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:14.900 --> 00:18:44.900]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:44.900 --> 00:18:44.900]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:44.900 --> 00:18:44.900]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:44.900 --> 00:18:44.900]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:44.900 --> 00:18:44.900]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:44.900 --> 00:18:44.900]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:44.900 --> 00:18:44.900]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:44.900 --> 00:18:44.900]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:44.900 --> 00:18:44.900]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:44.900 --> 00:18:44.900]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:44.900 --> 00:18:44.900]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:44.900 --> 00:18:44.900]   You can buy a cheap AR-15 as an entry-level weapon.
[00:18:44.920 --> 00:19:14.920]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:14.920 --> 00:19:14.920]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:14.920 --> 00:19:14.920]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:14.920 --> 00:19:14.920]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:14.920 --> 00:19:14.920]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:14.920 --> 00:19:14.920]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:14.920 --> 00:19:14.920]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:14.920 --> 00:19:14.920]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:14.920 --> 00:19:14.920]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:14.920 --> 00:19:14.920]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:14.920 --> 00:19:14.920]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:14.920 --> 00:19:44.940]  ,
[00:19:44.940 --> 00:19:44.940]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:44.940 --> 00:19:44.940]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:44.940 --> 00:19:44.940]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:44.940 --> 00:19:44.940]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:44.940 --> 00:19:44.940]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:44.940 --> 00:19:44.940]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:44.940 --> 00:19:44.940]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:44.940 --> 00:19:44.940]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:44.940 --> 00:19:44.940]   You can buy a cheap AR-15 as an entry-level weapon.
[00:19:44.960 --> 00:20:14.960]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:14.960 --> 00:20:14.960]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:14.960 --> 00:20:14.960]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:14.960 --> 00:20:14.960]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:14.960 --> 00:20:14.960]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:14.960 --> 00:20:14.960]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:14.960 --> 00:20:14.960]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:14.960 --> 00:20:14.960]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:14.960 --> 00:20:14.960]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:14.960 --> 00:20:14.960]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:14.960 --> 00:20:14.960]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:14.960 --> 00:20:14.960]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:44.980 --> 00:20:44.980]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:44.980 --> 00:20:44.980]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:44.980 --> 00:20:44.980]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:44.980 --> 00:20:44.980]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:44.980 --> 00:20:44.980]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:44.980 --> 00:20:44.980]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:44.980 --> 00:20:44.980]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:44.980 --> 00:20:44.980]   You can buy a cheap AR-15 as an entry-level weapon.
[00:20:45.000 --> 00:21:15.000]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:15.000 --> 00:21:15.000]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:15.000 --> 00:21:15.000]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:15.000 --> 00:21:15.000]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:15.000 --> 00:21:15.000]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:15.000 --> 00:21:15.000]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:15.000 --> 00:21:15.000]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:15.000 --> 00:21:15.000]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:15.000 --> 00:21:15.000]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:15.000 --> 00:21:15.000]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:15.000 --> 00:21:15.000]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:15.000 --> 00:21:15.000]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:15.020 --> 00:21:45.020]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:45.020 --> 00:21:45.020]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:45.020 --> 00:21:45.020]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:45.020 --> 00:21:45.020]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:45.020 --> 00:21:45.020]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:45.020 --> 00:21:45.020]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:45.020 --> 00:21:45.020]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:45.020 --> 00:21:45.020]   You can buy a cheap AR-15 as an entry-level weapon.
[00:21:45.060 --> 00:22:15.040]   :
[00:22:15.040 --> 00:22:15.040]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:15.040 --> 00:22:15.040]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:15.040 --> 00:22:15.040]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:15.040 --> 00:22:15.040]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:15.040 --> 00:22:15.040]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:15.040 --> 00:22:15.040]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:15.040 --> 00:22:15.040]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:15.040 --> 00:22:15.040]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:15.040 --> 00:22:15.040]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:15.040 --> 00:22:15.040]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:15.060 --> 00:22:45.060]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:45.060 --> 00:22:45.060]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:45.060 --> 00:22:45.060]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:45.060 --> 00:22:45.060]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:45.060 --> 00:22:45.060]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:45.060 --> 00:22:45.060]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:45.060 --> 00:22:45.060]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:45.060 --> 00:22:45.060]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:45.060 --> 00:22:45.060]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:45.060 --> 00:22:45.060]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:45.060 --> 00:22:45.060]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:45.060 --> 00:22:45.060]   You can buy a cheap AR-15 as an entry-level weapon.
[00:22:45.100 --> 00:23:15.080]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:15.080 --> 00:23:15.080]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:15.080 --> 00:23:15.080]   You can buy a cheap AR-15 as an entry-level weapon.
[00:23:15.080 --> 00:23:15.080]   You can buy a cheap AR-15 as an entry-level weapon.
