
[00:00:00.000 --> 00:00:01.880]   Hey, everybody, welcome back.
[00:03:12.240 --> 00:03:17.700]   So the, the real variance in terms of, you know, your risk to the insurance company is how many miles you drive.
[00:03:17.700 --> 00:03:19.240]   So that really is the predominant factor.
[00:03:19.240 --> 00:03:20.560]   So if we can accurately track that.
[00:03:20.560 --> 00:03:25.160]   Now what's interesting is like in a world of autonomous cars where you're like turning on the car.
[00:03:25.160 --> 00:03:28.400]   To be autonomous or fully self-driving at some point, you know, it's on and off.
[00:03:28.400 --> 00:03:31.040]   You should be getting a different rate for those miles.
[00:03:31.040 --> 00:03:31.280]   Right?
[00:03:31.280 --> 00:03:35.660]   So if the car is, if your Tesla is on autopilot on the freeway, that should be safer than you on the freeway.
[00:03:35.660 --> 00:03:37.520]   You shouldn't be paying as much fraud insurance.
[00:03:37.520 --> 00:03:38.060]   Even better.
[00:03:38.060 --> 00:03:43.220]   You can kind of think about how this moves into a world where everything is dynamically priced and dynamically build.
[00:03:43.220 --> 00:03:44.480]   Usage priced.
[00:03:44.480 --> 00:03:44.780]   Yeah.
[00:03:44.780 --> 00:03:46.920]   Usage priced and that, and also fair.
[00:03:46.920 --> 00:03:51.980]   So, you know, if you're a good driver and you're driving well, or if you're using autonomous features, you shouldn't pay as much.
[00:03:51.980 --> 00:03:54.960]   And ultimately that translates, uh, you know, to.
[00:03:54.960 --> 00:03:57.600]   You know, into a truly kind of more dynamic service.
[00:03:57.600 --> 00:04:05.580]   And that's really where the world has to go because those low mileage drivers or those good drivers or those drivers using autonomous features should be paying considerably less.
[00:04:05.580 --> 00:04:10.280]   So they'll start using our service and that'll force the other guys to raise their rates.
[00:04:10.280 --> 00:04:12.900]   And it creates this huge, you know, kind of market mode.
[00:04:12.900 --> 00:04:14.300]   Um, great.
[00:04:14.300 --> 00:04:16.140]   And we're in the, we're in the, we're in the very early days.
[00:04:16.140 --> 00:04:17.400]   I mean, it's like the first inning still.
[00:04:17.400 --> 00:04:19.580]   So we're, you know, we're, we're just getting going.
[00:04:19.580 --> 00:04:23.640]   Chamath, you chose to do a pipe, um, with the SPAC.
[00:04:23.640 --> 00:04:24.660]   Explain to the audience what a pipe is.
[00:04:24.660 --> 00:04:27.540]   For people who don't know and what you loved about Metro mile.
[00:04:27.540 --> 00:04:28.200]   Sure.
[00:04:28.200 --> 00:04:31.380]   Um, I think the, uh, what, what is a pipe?
[00:04:31.380 --> 00:04:35.460]   A pipe is a, a private investment in a public enterprise.
[00:04:35.460 --> 00:04:41.880]   And basically what that means, um, is that, uh, you're making the round bigger, right?
[00:04:41.880 --> 00:04:45.780]   So it's kind of like Sequoia does your series a and invest 10 million.
[00:04:45.780 --> 00:04:49.420]   I would come in and put another 10 million and now your series a is 20 million.
[00:04:49.420 --> 00:04:54.300]   Um, same terms as the, um, as Sequoia is round.
[00:04:54.300 --> 00:04:54.480]   Yeah.
[00:04:54.480 --> 00:04:54.640]   Yeah.
[00:04:54.640 --> 00:04:55.220]   So it's the same thing.
[00:04:55.220 --> 00:04:55.880]   So it's, it's the same thing, right?
[00:04:55.880 --> 00:04:56.160]   So it's, it's the same thing.
[00:04:56.160 --> 00:04:56.300]   So it's, it's the same thing.
[00:04:56.300 --> 00:04:56.460]   So it's, it's the same thing.
[00:04:56.460 --> 00:04:56.600]   So it's the same thing.
[00:04:56.600 --> 00:04:56.880]   It's the same thing.
[00:04:56.880 --> 00:04:57.540]   It's the same thing.
[00:04:57.540 --> 00:04:57.700]   So it's the same thing.
[00:04:57.700 --> 00:04:57.820]   It's the same thing.
[00:04:57.820 --> 00:04:59.760]   Um, why are, why is that helpful?
[00:04:59.760 --> 00:05:03.080]   Well, what it does is it allows somebody to price the deal.
[00:05:03.080 --> 00:05:07.820]   So in this case, David's SPAC sponsor priced the deal, did the diligence and decided to
[00:05:07.820 --> 00:05:09.580]   underwrite Metro mile at that price.
[00:05:09.580 --> 00:05:14.960]   And then they came to me and said, Hey, um, you know, do you want to come and join this round?
[00:05:14.960 --> 00:05:15.540]   Essentially.
[00:05:15.540 --> 00:05:18.100]   And, um, I got to know the business.
[00:05:18.160 --> 00:05:21.480]   Um, a lot of things that David said basically are true.
[00:05:21.480 --> 00:05:26.360]   The, the thing that I will say is like, you know, everybody talks about, um, the value
[00:05:26.360 --> 00:05:27.540]   of machine learning, right.
[00:05:27.540 --> 00:05:29.220]   And data oriented learning.
[00:05:29.220 --> 00:05:35.700]   Um, the most obvious thing that you can do is if you learn on top of a huge subset of
[00:05:35.700 --> 00:05:40.580]   data, especially out in the real world, like driving data or any other kind of information
[00:05:40.580 --> 00:05:42.780]   is you should be taking risk on top of it.
[00:05:42.780 --> 00:05:47.980]   And this is why sort of these next generation insurance companies to me are so interesting,
[00:05:47.980 --> 00:05:52.900]   because it's probably where you're going to see, um, machine learning, um, be used that
[00:05:52.900 --> 00:05:57.240]   just massive, massive scale, because you're just going to reprice risk and make it as
[00:05:57.240 --> 00:05:58.440]   David said, much more dynamic.
[00:05:58.440 --> 00:05:59.880]   So anyways, they showed it to me.
[00:05:59.880 --> 00:06:05.120]   I, um, I really liked the, the product, the metrics are, uh, really amazing.
[00:06:05.120 --> 00:06:06.560]   And so, um, I joined.
[00:06:06.560 --> 00:06:07.240]   It was great.
[00:06:07.240 --> 00:06:08.300]   I'm really excited for it.
[00:06:08.300 --> 00:06:09.980]   I'm really excited for a free bird.
[00:06:09.980 --> 00:06:10.860]   Yeah.
[00:06:10.860 --> 00:06:11.860]   Congratulations.
[00:06:11.860 --> 00:06:12.060]   Great.
[00:06:12.060 --> 00:06:14.220]   Jamal and I have never worked on anything together, so it's awesome.
[00:06:14.220 --> 00:06:17.600]   We're doing our first project here on the all in podcast.
[00:06:17.800 --> 00:06:18.300]   Together.
[00:06:18.300 --> 00:06:19.360]   All right.
[00:06:19.360 --> 00:06:22.860]   So it sounds like a brilliant idea and I'm just pissed.
[00:06:22.860 --> 00:06:23.680]   So I'm not part of it.
[00:06:23.680 --> 00:06:27.980]   I read it like two besties.
[00:06:27.980 --> 00:06:29.640]   Yeah.
[00:06:29.640 --> 00:06:31.780]   I Jason, do you know about this?
[00:06:31.780 --> 00:06:32.860]   I don't know anything.
[00:06:32.860 --> 00:06:34.420]   I get, I'm the last cut out of it.
[00:06:34.420 --> 00:06:37.180]   First of all, I need to get my beak wet.
[00:06:37.180 --> 00:06:38.080]   You too.
[00:06:38.080 --> 00:06:39.520]   We got the wet.
[00:06:39.520 --> 00:06:41.020]   I can't get my beak wet.
[00:06:41.020 --> 00:06:41.800]   You too.
[00:06:41.800 --> 00:06:42.280]   You too.
[00:06:42.280 --> 00:06:47.320]   Narcissistic besties have been, have been running around touting every single unicorn.
[00:06:47.620 --> 00:06:49.780]   I miss my allocation in Robin hood.
[00:06:49.780 --> 00:06:52.660]   I miss my allocation in bird or Uber or whatever.
[00:06:52.660 --> 00:06:52.900]   Yeah.
[00:06:52.900 --> 00:06:53.300]   All right.
[00:06:53.300 --> 00:06:54.520]   New bestie rule.
[00:06:54.520 --> 00:06:55.660]   New bestie rule.
[00:06:55.660 --> 00:06:58.540]   Everybody gets a slice, even a little tasty poo.
[00:06:58.540 --> 00:06:59.740]   Everybody gets their beak wet.
[00:06:59.740 --> 00:07:01.000]   Like the old neighborhood.
[00:07:01.000 --> 00:07:02.020]   Like the old neighborhood.
[00:07:02.020 --> 00:07:04.060]   Just saying a little kick back, a little share.
[00:07:04.060 --> 00:07:08.520]   Let's Jason, why don't you start an AngelList syndicate for every all in podcast
[00:07:08.520 --> 00:07:08.920]   listener?
[00:07:08.920 --> 00:07:10.180]   Yes.
[00:07:10.180 --> 00:07:11.680]   All in podcast syndicate.
[00:07:11.680 --> 00:07:13.060]   It will be on the syndicate.com.
[00:07:13.060 --> 00:07:14.380]   I left the AngelList, but yeah.
[00:07:14.380 --> 00:07:14.740]   Okay.
[00:07:14.740 --> 00:07:15.040]   Yeah.
[00:07:15.040 --> 00:07:15.420]   We'll do it.
[00:07:15.420 --> 00:07:15.780]   We'll do it.
[00:07:15.780 --> 00:07:16.780]   The syndicate.com/allinpodcastsyndicate.
[00:07:16.780 --> 00:07:17.020]   Okay.
[00:07:17.020 --> 00:07:17.440]   Yeah.
[00:07:17.440 --> 00:07:18.520]   So it's all in podcast, all in pod.
[00:07:18.520 --> 00:07:23.180]   And then we'll aggregate all these, uh, subscribers and I'll take a 20% carry.
[00:07:23.180 --> 00:07:24.340]   And you guys can suggest ideas.
[00:07:24.340 --> 00:07:24.820]   Great idea.
[00:07:24.820 --> 00:07:28.300]   Can I just say, no, we'll do, we'll do zero carry and we'll allow all the listeners to
[00:07:28.300 --> 00:07:30.640]   participate in our deals, which I think would be pretty cool.
[00:07:30.640 --> 00:07:34.600]   Um, listen, I've, uh, I love how every time you loop my business into this,
[00:07:34.600 --> 00:07:38.500]   whether it's podcasting or syndicates, you take out the money and the profit.
[00:07:38.500 --> 00:07:40.360]   I tell you what, I have an idea.
[00:07:40.360 --> 00:07:42.700]   How about we SPAC this week in startups?
[00:07:42.700 --> 00:07:42.820]   Jason.
[00:07:42.820 --> 00:07:45.160]   And, uh, you do it for no participation.
[00:07:45.160 --> 00:07:46.300]   I'm the father of growth.
[00:07:46.300 --> 00:07:47.200]   You know how you grow by.
[00:07:47.260 --> 00:07:48.100]   You're making things free.
[00:07:48.100 --> 00:07:51.380]   You want to maximize demand?
[00:07:51.380 --> 00:07:52.120]   Just make it free.
[00:07:52.120 --> 00:07:57.520]   Um, by the way, uh, on this topic, uh, Saxipoo had this incredible tweet this
[00:07:57.520 --> 00:08:03.640]   week, which was basically like, wow, this is like my 95th, uh, unicorn that went,
[00:08:03.640 --> 00:08:04.820]   that filed to go public.
[00:08:04.820 --> 00:08:08.020]   I mean, literally every single unicorn that filed this week to go public.
[00:08:08.020 --> 00:08:10.180]   Sax was an angel investor, which is incredible.
[00:08:10.180 --> 00:08:15.520]   Says a goodies as an investor, but the best followup tweet was Zach Weinberg,
[00:08:15.520 --> 00:08:17.080]   the co-founder of flat iron.
[00:08:17.080 --> 00:08:21.580]   Health whose tweet was, I just want to congratulate myself on nothing for having
[00:08:21.580 --> 00:08:23.260]   not been a part of any of these companies.
[00:08:23.260 --> 00:08:29.780]   I would like to congratulate myself for making no bets and taking no risk and
[00:08:29.780 --> 00:08:30.580]   getting no reward.
[00:08:30.580 --> 00:08:32.560]   No, I thought, I thought Zach's tweet was the best.
[00:08:32.560 --> 00:08:33.140]   Sax.
[00:08:33.140 --> 00:08:34.480]   Don't you find it tiring?
[00:08:34.480 --> 00:08:37.860]   Like all these investments that you've made, like don't these guys call you and
[00:08:37.860 --> 00:08:39.820]   want to do meetings and chat all the time?
[00:08:39.820 --> 00:08:44.200]   I mean, you know, this has gotta be like a huge amount of effort, right?
[00:08:44.200 --> 00:08:46.900]   Well, not, not, not.
[00:08:46.900 --> 00:08:49.840]   I mean, it not really turn around.
[00:08:49.840 --> 00:08:55.720]   Well, you know, if you're not on the board, your obligation is basically to respond.
[00:08:55.720 --> 00:08:59.080]   When somebody asks you for something, I know as an angel investor, it is a
[00:08:59.080 --> 00:09:02.860]   little different when you're actually like leading around and you're a board member.
[00:09:02.860 --> 00:09:08.200]   Um, I was making, I was making these investments back in 2012, 2013.
[00:09:08.200 --> 00:09:11.380]   That's when these seeds were planted, right?
[00:09:11.380 --> 00:09:14.980]   These were 50 K, a hundred K, 250 K checks, right?
[00:09:14.980 --> 00:09:16.720]   So the responsibility is proportional to the.
[00:09:16.720 --> 00:09:17.380]   Dollar amount.
[00:09:17.380 --> 00:09:19.960]   So somewhere a little bigger than that actually.
[00:09:19.960 --> 00:09:25.940]   But, um, I, um, I mean, I've written, I've written checks, you know, seven figure checks
[00:09:25.940 --> 00:09:26.860]   in some of these companies.
[00:09:26.860 --> 00:09:30.240]   Well, sex, according to your personal balance sheet that we got from your accountants this
[00:09:30.240 --> 00:09:31.400]   week, Phil, how many sent it?
[00:09:31.400 --> 00:09:37.040]   We see here a transaction for house.
[00:09:37.040 --> 00:09:37.500]   Is it true?
[00:09:37.500 --> 00:09:41.200]   You did the series B of house, the entire series B dollar.
[00:09:41.200 --> 00:09:42.220]   That's what I heard.
[00:09:42.220 --> 00:09:43.420]   No, no.
[00:09:43.420 --> 00:09:45.700]   I heard it was you led the series.
[00:09:45.700 --> 00:09:45.940]   Me.
[00:09:46.240 --> 00:09:47.180]   No, no.
[00:09:47.180 --> 00:09:49.020]   Any a led that round.
[00:09:49.020 --> 00:09:51.640]   I mean, I invested a lot as an individual.
[00:09:51.640 --> 00:09:56.920]   I did co-lead, um, the series B or C of at a park.
[00:09:56.920 --> 00:09:59.080]   Um, that was one that I did as an individual.
[00:09:59.080 --> 00:10:00.760]   That's incredible.
[00:10:00.760 --> 00:10:01.000]   Yeah.
[00:10:01.000 --> 00:10:01.720]   That's amazing.
[00:10:01.720 --> 00:10:02.560]   Going to be huge.
[00:10:02.560 --> 00:10:04.660]   I have no idea what that company is, but that sounds awesome.
[00:10:04.660 --> 00:10:06.220]   They manage funds.
[00:10:06.220 --> 00:10:07.780]   They do portfolio software.
[00:10:07.780 --> 00:10:10.240]   It's coming up on, you know, a hundred million.
[00:10:10.240 --> 00:10:14.060]   I'm just kidding.
[00:10:14.060 --> 00:10:15.000]   I'm totally kidding.
[00:10:15.000 --> 00:10:15.700]   I'm totally getting.
[00:10:15.760 --> 00:10:17.380]   Uh, let's start the pod.
[00:10:17.380 --> 00:10:18.620]   J Cal, where are we going to start?
[00:10:18.620 --> 00:10:22.060]   Well, I mean, I think now that we've all self promoted.
[00:10:22.060 --> 00:10:22.840]   Exactly.
[00:10:22.840 --> 00:10:26.720]   Well, I'm just happy to hear that that Jason was cut out of your deal as much as me.
[00:10:26.720 --> 00:10:32.080]   When I, when, when I read about it on Twitter, I'm like, I better not be the only best to cut out.
[00:10:32.080 --> 00:10:38.680]   You're right.
[00:10:38.680 --> 00:10:39.520]   You're totally right.
[00:10:39.520 --> 00:10:39.920]   You're right.
[00:10:39.920 --> 00:10:40.420]   It is.
[00:10:40.420 --> 00:10:45.540]   It is getting awkward now because people who watch this podcast,
[00:10:45.600 --> 00:10:48.820]   assume that we do everything together.
[00:10:48.820 --> 00:10:52.160]   Like literally they're like, well, you guys go grocery shopping together.
[00:10:52.160 --> 00:10:53.700]   You go on vacation together.
[00:10:53.700 --> 00:10:56.340]   You guys get our backs together.
[00:10:56.340 --> 00:10:56.700]   House.
[00:10:56.700 --> 00:10:56.940]   Yeah.
[00:10:56.940 --> 00:10:57.480]   Yeah.
[00:10:57.480 --> 00:10:59.340]   It's that's not how it works.
[00:10:59.340 --> 00:11:06.000]   Um, I, I think the first thing we should, we should talk about is just this amazing.
[00:11:06.000 --> 00:11:11.280]   A moment in time when, because of science, you know, and this podcast started
[00:11:11.280 --> 00:11:15.600]   during the pandemic, we have had as predicted by free bird, who gets to take.
[00:11:15.600 --> 00:11:16.600]   Two victory laps.
[00:11:16.600 --> 00:11:21.120]   He said by the end of the year, we'd have vaccines and they would have, because of this
[00:11:21.120 --> 00:11:26.120]   M RNA, if I remember correctly, 90, 95% efficacy.
[00:11:26.120 --> 00:11:31.840]   And sure enough, the week after Trump, uh, wins, I'm sorry, loses, sorry, sacks.
[00:11:31.840 --> 00:11:32.420]   He lost actually.
[00:11:32.420 --> 00:11:36.480]   Um, the week after Trump lost, I know you didn't vote for him.
[00:11:36.480 --> 00:11:39.060]   Um, the week after he lost.
[00:11:39.060 --> 00:11:45.520]   Moderna, a Pfizer, then the next week, Moderna, and then the next week,
[00:11:45.520 --> 00:11:49.540]   Oxford, and I understand Johnson and Johnson is about to announce something.
[00:11:49.540 --> 00:11:55.080]   And all of these have 90 to 95% efficacy and that there are going to be 40, 50,
[00:11:55.080 --> 00:11:58.960]   and 60 million doses in December, January, and February, just from the first two.
[00:11:58.960 --> 00:12:00.420]   In America alone.
[00:12:00.420 --> 00:12:05.620]   So Friedberg, if you were to put a number on when herd immunity hits, because
[00:12:05.620 --> 00:12:12.220]   probably 20 or 30% of people have had it 20, 30% of people have, um, some natural
[00:12:12.220 --> 00:12:14.720]   immunity, how long is this going to take?
[00:12:14.720 --> 00:12:15.460]   And could we be.
[00:12:15.460 --> 00:12:18.700]   We had to be doing this from, you know, a warriors game next year.
[00:12:18.700 --> 00:12:21.220]   When, when are we going to be able to do this in person?
[00:12:21.220 --> 00:12:22.080]   I think, I don't know if it was.
[00:12:22.080 --> 00:12:22.420]   Test.
[00:12:22.420 --> 00:12:22.900]   Yeah.
[00:12:22.900 --> 00:12:26.900]   I don't know if it was Fauci or someone that's closer to the operation shared that
[00:12:26.900 --> 00:12:30.040]   they do think they can get 70% of Americans immunized by may.
[00:12:30.040 --> 00:12:32.120]   So, um, my may.
[00:12:32.120 --> 00:12:32.340]   Yeah.
[00:12:32.340 --> 00:12:37.020]   So, you know, if you'll remember a few podcasts ago, I think I tried to explain
[00:12:37.020 --> 00:12:41.580]   a big part of the budget that went into this operation warp speed was to parallelize
[00:12:41.580 --> 00:12:43.900]   production of these vaccines while they were being tested.
[00:12:43.900 --> 00:12:44.980]   And so.
[00:12:44.980 --> 00:12:47.740]   We've been scaling up the production and the manufacturing of these, and if they
[00:12:47.740 --> 00:12:49.540]   weren't going to work, we're just going to crash them, right?
[00:12:49.540 --> 00:12:50.740]   A couple billion dollars who cares?
[00:12:50.740 --> 00:12:53.160]   It's a good option for the American people.
[00:12:53.160 --> 00:12:56.540]   So we've got a ton of doses that have been produced.
[00:12:56.540 --> 00:12:58.360]   It's about packaging and distribution now.
[00:12:58.360 --> 00:13:02.280]   And that's, you know, supposed to be kind of underway with the plan to be that on
[00:13:02.280 --> 00:13:07.180]   December 11th or 12th, when they, uh, give the emergency use authorization, these doses
[00:13:07.180 --> 00:13:08.840]   start showing up, uh, in care.
[00:13:08.840 --> 00:13:09.540]   We went all in.
[00:13:09.540 --> 00:13:11.040]   We basically went all in blind.
[00:13:11.040 --> 00:13:14.760]   Like we just shoved the chips in and said, we're going to make these vaccines, even if
[00:13:14.760 --> 00:13:15.420]   they're not.
[00:13:15.420 --> 00:13:20.000]   It's more like a spray and pray, um, angel investment portfolio.
[00:13:20.000 --> 00:13:23.780]   You know, we, we bought a, but we bought like four different things or five different things.
[00:13:23.780 --> 00:13:26.440]   We made a bets in all of them and hope that one of them pays off.
[00:13:26.440 --> 00:13:27.960]   And it turns out they're all going to pay off.
[00:13:27.960 --> 00:13:32.460]   So, you know, or, or, or chunk of them are going to pay off and we get to have them ready.
[00:13:32.460 --> 00:13:34.860]   You know, in time to kind of make a difference here.
[00:13:34.860 --> 00:13:40.140]   Now, all that being said, if you look at the case numbers in the U S right now, we could
[00:13:40.140 --> 00:13:44.280]   be as high as 30% of the American people have already been infected.
[00:13:44.280 --> 00:13:44.580]   Right.
[00:13:44.580 --> 00:13:44.680]   Yeah.
[00:13:44.680 --> 00:13:44.740]   Yeah.
[00:13:44.740 --> 00:13:47.620]   So, um, and then if you look at the number of people that have been infected since then,
[00:13:47.620 --> 00:13:52.180]   and you apply the similar sort of multiple that you would assume based on tests, you
[00:13:52.180 --> 00:13:56.500]   know, there's, there's an estimate that we could already be at up to 30% of the U S population
[00:13:56.500 --> 00:13:57.340]   has been infected.
[00:13:57.340 --> 00:13:57.640]   Right.
[00:13:57.640 --> 00:14:00.580]   So, um, and then if you look at the number of people that have been infected since then,
[00:14:00.580 --> 00:14:05.020]   and you apply the similar sort of multiple that you would assume based on tests, you
[00:14:05.020 --> 00:14:09.500]   know, there's, there's an estimate that we could already be at up to 30% of the U S population
[00:14:09.500 --> 00:14:10.300]   has been infected.
[00:14:10.300 --> 00:14:10.600]   Right.
[00:14:10.600 --> 00:14:14.660]   So, um, and then if you look at the number of people that have been infected since then,
[00:14:14.660 --> 00:14:19.340]   you know, there's an estimate that we could already be at up to 30% of the U S population
[00:14:19.340 --> 00:14:20.340]   has been infected.
[00:14:20.340 --> 00:14:21.340]   Right.
[00:14:21.340 --> 00:14:24.340]   So, um, and then if you look at the number of people that have been infected since then,
[00:14:24.340 --> 00:14:27.260]   you know, there's an estimate that we could already be at up to 30% of the U S population
[00:14:27.260 --> 00:14:28.260]   has been infected.
[00:14:28.260 --> 00:14:29.260]   Right.
[00:14:29.260 --> 00:14:30.260]   So, um, and then if you look at the number of people that have been infected since then,
[00:14:30.260 --> 00:14:31.260]   you know, there's an estimate that we could already be at up to 30% of the U S population
[00:14:31.260 --> 00:14:32.260]   has been infected.
[00:14:32.260 --> 00:14:33.260]   Right.
[00:14:33.260 --> 00:14:34.260]   So, um, and then if you look at the number of people that have been infected since then,
[00:14:34.260 --> 00:14:35.260]   you know, there's an estimate that we could already be at up to 30% of the U S population
[00:14:35.260 --> 00:14:36.260]   has been infected.
[00:14:36.260 --> 00:14:37.260]   Right.
[00:14:37.260 --> 00:14:41.040]   know about you guys, but I got some conference invites this last week for conferences for next
[00:14:41.040 --> 00:14:45.860]   year that have been canceled this year and were being put on hold. Yeah. So people are starting
[00:14:45.860 --> 00:14:51.460]   to lean out. For what time frame? Third quarter or fourth quarter? Summer, July. Yeah. So people
[00:14:51.460 --> 00:14:57.680]   are now assuming that and they're booking hotel spaces based on it. That is extraordinary. Sax,
[00:14:57.680 --> 00:15:01.140]   you shared this New York Times story. Why don't you summarize it for the audience?
[00:15:01.540 --> 00:15:08.640]   And I'd love to get your thoughts in addition to this as to what this recovery might look like
[00:15:08.640 --> 00:15:15.840]   if in fact we have more vaccine than we need and even a reasonable number of Americans take it and
[00:15:15.840 --> 00:15:20.620]   don't believe that it's a conspiracy theory by Bill Gates to control and the Illuminati
[00:15:20.620 --> 00:15:25.960]   and all that stuff. Yeah. I mean, this New York Times story is pretty remarkable. It's called
[00:15:25.960 --> 00:15:30.120]   Politics, Science, and the Remarkable Race for a Coronavirus Vaccine. This came out,
[00:15:30.120 --> 00:15:31.140]   I think it just came out today.
[00:15:31.140 --> 00:15:36.420]   In the New York Times. Actually, sorry, it's published. It published November 21st,
[00:15:36.420 --> 00:15:43.700]   updated November 24th. And it's pretty remarkable. It describes the effort by Operation Warp Speed,
[00:15:43.700 --> 00:15:48.040]   by the administration, by Pfizer, by Moderna. It kind of gives you the behind the scenes,
[00:15:48.040 --> 00:15:54.920]   play by play. And reading the article, you have to come away thinking that the Trump
[00:15:54.920 --> 00:16:00.800]   administration did a pretty good job with this whole Warp Speed project. I don't know if the
[00:16:00.800 --> 00:16:01.120]   New York Times is going to be able to do that. I don't know. I don't know. I don't know. I don't
[00:16:01.120 --> 00:16:05.580]   realizes that it's making the Trump administration look so good or maybe
[00:16:05.580 --> 00:16:10.660]   they don't care anymore because he's lost the election but the article does make
[00:16:10.660 --> 00:16:16.080]   the administration look very good I mean competent first very competent first of all
[00:16:16.080 --> 00:16:21.080]   they shoveled money to the right people they you know they offered Pfizer money Pfizer didn't
[00:16:21.080 --> 00:16:24.780]   want it or need it but Moderna did so they got a few billion dollars Moderna
[00:16:24.780 --> 00:16:31.440]   they parallel processed a bunch of different attempts here so that if one company failed
[00:16:31.440 --> 00:16:36.800]   the others might succeed there was a sort of a Reaganite cutting of bureaucratic red tape
[00:16:36.800 --> 00:16:41.840]   wherever they could there were examples in the story of the drug company needing something some
