
[00:00:00.000 --> 00:00:02.600]   Yeah.
[00:02:02.820 --> 00:02:07.240]   I should be a bit more prepared, but I don't know why.
[00:02:07.240 --> 00:02:17.240]   So how, can you give me a, if some of you might have access to the document already, and maybe you can see a thumbs up so I know how many of you.
[00:02:17.240 --> 00:02:20.240]   I just shared it in the Zoom chat, by the way.
[00:02:20.240 --> 00:02:29.340]   I'm going to share it on the Zoom chat right now, and so you have a direct access, wait, where's my Zoom chat?
[00:02:29.340 --> 00:02:39.000]   Okay, this, here is my Zoom chat, I should have another version, so that is like, they have to have the mailing list subscription gate.
[00:02:39.000 --> 00:02:49.760]   So this is the non-gated version of the link, you can go there, and you will see, and you will see the top link is a live version of the same Excel sheet.
[00:02:49.760 --> 00:02:56.860]   And the, but the, there's also a baseline version that I'm not going to touch today, so you can compare how things evolving.
[00:02:56.860 --> 00:03:05.960]   And so that's what my plan to do, and quick overview of my transformer, vision transformer architecture, that is expressed in Excel.
[00:03:05.960 --> 00:03:19.960]   If you will zoom out, you can see this whole stack, from the input stack, normalization, self-attention stack, to feed forward, and output layer, softmax linear layer, and loss gradient.
[00:03:19.960 --> 00:03:29.060]   And we're going to do that, and want to explain this, and the reason I picked this is that the transformer stack part is pretty common across modalities.
[00:03:29.060 --> 00:03:41.160]   So I picked vision transformer, so I picked vision transformer, so that just to get an idea, anything that you could, anything that it could convert your input into some tokens, you can put it into transformer stack.
[00:03:41.160 --> 00:03:46.260]   I picked vision transformer stack, from this point, from this point, this is where a transformer encoder started, or a decoder.
[00:03:46.260 --> 00:03:49.260]   In this case, it's the encoder, but for GBT, it's a decoder.
[00:03:49.260 --> 00:04:01.260]   Anyway, so let's take the first challenge, so I hope that you could probably just get it right away, because it's not technical, you have seen transformer before, you might not have seen this format.
[00:04:01.260 --> 00:04:23.360]   But you'll get it very quickly, so what I want to bring your attention, to the attention layer, here, that I'd like to show you, how I would start by, let's go back from my plan, my plan is to just to get, well, from transformer to llama, one, two, three, four, a lot of things scale up, just increase in dimensionality.
[00:04:23.360 --> 00:04:53.340]   So we're going to see how it is like, we're going to focus on query and key, if we increase query and key, what happened, so if I increase query and key, so in this case, I want to read this a little bit, so we'll have input, this is a, if you go out a little bit, these are tokens, we have 10 tokens here, and so here, one, two, three, four are the embedding dimension, they're currently five, and so this will be input, and to start from attention stack, we'll multiply with all this weight
[00:04:53.340 --> 00:05:23.320]   matrices, I get this, so this one, so this one, we'll then, so have query and key here, and then we get attention, it's dot product scale attention, and we solve max, that's how you can read it, and you can see per column, this is solve max, give it distribution, and then you multiply with your value, that's how attention, so the work, the way I visualize it, and so what happened is that if you add, if I want to add, so this is three, the key,
[00:05:23.320 --> 00:05:53.300]   key dimension here, you can visualize three, and over one, over one, two, three, four, five, or five tokens, okay, so far, so good, and what happened, if I want to add one dimension, what I would do live, is I would just shift this up, down here, so I have, this is kind of broken now, so I can add some more weight, like this, okay, and now, it's become, it become, a problem here, is that if I like to get
[00:05:53.300 --> 00:06:19.260]   my keys over here, maybe use my keyboard instead, I hope you are following me, fast enough, okay, so here, I have my query over here, because I'll have, she'll have four dimensions, let me remove this, push it down a little bit more, so I have four dimensions for my query, so I have four dimensions, now this scaled up dimension, scale product is broken, because my keys are four dimensions, so I do something
[00:06:19.260 --> 00:06:37.000]   similar for my key, so I'm going to move down, so I'm going to move down, and then introduce a few more, initialize some random weights, maybe zero here, and then I will update my equation here, so now I just managed to add one dimension, so now, if you see this inductively, you can see how this is scale,
[00:06:37.260 --> 00:06:56.040]   and the takeaway is that the key and query, they should have the same dimensions, four and four, but value doesn't have to be, but even though, typically, we keep the value the same dimension for convenience reason, but theoretically, this is the way you can visualize that the key and value increase in size,
[00:06:56.260 --> 00:07:11.400]   and what happens if we don't add one more token, so let me see, I check this, so I check this, maybe use this highlighter to say I'm done with this, okay, and I add, when I add key and value dimensions, you realize nothing else change,
[00:07:12.260 --> 00:07:21.900]   other than the computational complex plus flexibility per cell, now I have four things to dot-proc dot-width, okay, here, matching multiplication,
[00:07:21.900 --> 00:07:31.700]   softmax, this is the raw interpretation of softmax, and we have another matching multiplication here, okay, all right, so, and what happens if you want to add value,
[00:07:31.700 --> 00:07:40.160]   say you want to add to five, just to prove my point that they don't need to match my key and query dimension,
[00:07:41.260 --> 00:07:51.760]   okay, and I have five of this, okay, and then, and then, so, then, I have five over here, now, I can ugly, let's just add some more space here,
[00:07:51.760 --> 00:08:01.500]   and insert here, and now I have this five over here, now, all of a sudden, my attention-weighted values from this attention head is five dimension,
[00:08:01.500 --> 00:08:10.500]   and I'm going to zoom out a little bit to see what's going to happen if we have, we count the attention head, now we have first attention, second attention,
[00:08:10.500 --> 00:08:19.000]   and third attention head, and we have things that collect them, so, this is where concatenation happened, now, we have two extra dimensions for my values,
[00:08:19.000 --> 00:08:28.700]   and now it's no longer fit, what I can do is that I'm going to increase my dimensionality of the attention-weighted picture from the first head,
[00:08:28.700 --> 00:08:37.000]   and move up here, now I have, now you can see that it will all fit, okay, so I have five from first head, three from second head, and third from,
[00:08:37.000 --> 00:08:46.500]   and three from third head, this is three head, multi head attention, and then, but this is kind of important, because my embedding dimension is five,
[00:08:46.500 --> 00:08:55.000]   and then it has to be five consistently throughout your stack, so they can put it all together, but now, I have one, two, three, five,
[00:08:55.000 --> 00:09:06.000]   one, two, three, five, six, seven, eight, nine, ten, eleven, twelve, twelve to five, that's what we need to, we need to project, so I have to introduce more weights,
[00:09:06.000 --> 00:09:15.000]   so I want to introduce three, three more weights, so I just copy over here, and then, I update my modification, linear projection,
[00:09:15.000 --> 00:09:23.500]   all the sudden, things got, things are working again, in, actually, I had too many, I should add two, instead of three, okay,
[00:09:23.500 --> 00:09:34.000]   two, okay, so I'll kind of check my task, okay, all right, now it matches, it's working again, so I just added one, two dimension,
[00:09:34.000 --> 00:09:42.200]   two value for the particular decision head, and I show you how everything else change, okay, anything else?
[00:09:42.200 --> 00:09:56.200]   How focus cell makes green across along the ratio here, view, show, focus cell, here, and select your green color,
[00:09:56.200 --> 00:10:03.200]   I found green is pretty good for my class, and to help you focus attention, anything, any question?
[00:10:03.200 --> 00:10:15.200]   What do I do, okay, all right, where was I, okay, so I checked the value size, I just changed it, go back,
[00:10:15.200 --> 00:10:26.200]   and vocabulary size, let's just talk about vocabulary size, so at the end, we want this model to output a word,
[00:10:26.200 --> 00:10:33.200]   and our probability distribution across the word, so at the end, we still have, remember,
[00:10:33.200 --> 00:10:40.200]   this is a final output from encoder, still five tokens, ten tokens, each token is five dimensions, is it?
[00:10:40.200 --> 00:10:48.200]   So, but supposed to be a vocabulary of 20 words, in this case, for the original vision transformer,
[00:10:48.200 --> 00:10:54.200]   there's 20 class problems, then we take the first head token, this is a class token,
[00:10:54.200 --> 00:11:01.200]   so we need to project from five to 20, so now you can visualize this linear projection right here,
[00:11:01.200 --> 00:11:06.200]   so this is what linear, in the last thing, taken to the last thing of your transformer stack,
[00:11:06.200 --> 00:11:12.200]   and you do a soft max, let's just zoom in a little bit, so you could see these, these are the values,
[00:11:12.200 --> 00:11:22.200]   though this other value could be arbitrary number, but we want it to become a number between zero and one for probability,
[00:11:22.200 --> 00:11:29.200]   probability, but also, all these numbers have to add up to one for probability distribution, that's why we need soft max,
[00:11:29.200 --> 00:11:37.200]   so this is linear and soft max, suppose we want to apply, so as you can see, for llama one, two, three, four,
[00:11:37.200 --> 00:11:49.200]   it goes from, where is the vocabulary size, from 32k, 32k, 128k, so it's going to be multilingual models, even more, 250k, because it's multilingual, multimodal models,
[00:11:49.200 --> 00:11:58.200]   they want to have more, they want to have more things they can predict, okay, so, and then, that progression is mostly reflected in the last layer,
[00:11:58.200 --> 00:12:05.200]   so instead of 5 to 20, for instance, we want to go from 20 to 30, what do I have to do?
[00:12:05.200 --> 00:12:13.200]   so, where do we have to grow this? so, maybe a little bit too much, let's just grow 5 by 5, so what I would do is that I would just 1, 2, 3, 4, 5,
[00:12:13.200 --> 00:12:26.200]   select 5 rows, and insert, and then, I have to fill in this row, this is initialize to 0, maybe I just copy all my 0 over here, and these are all the biases,
[00:12:26.200 --> 00:12:40.200]   minus to 0, 0, 0, 0, and now randomize this a little bit, but adding some random one here, so now I updated the score here, and then, so I also have to do that, update it by solve max layer,
[00:12:40.200 --> 00:12:49.200]   add it in the file row in the middle, so I have, now these equations get updated, so I just increased the vocabulary size from 20 to 25,
[00:12:49.200 --> 00:13:03.200]   so that is where you increase, but interestingly, as you can tell, the only thing I touch is the very last layer, I didn't have to touch any internal of the transformer stack, okay?
[00:13:03.200 --> 00:13:30.200]   So, if you're looking for this sheet, so I have a, I could use this one, this is the link result, there's no newsletter subscription requirement, just go there and just grab stuff that you can follow this, and, alright, so let's go back to the number of vocabulary size, I looked at it now, and embedding dimension is a bit difficult to change, I'm not going to change,
[00:13:30.200 --> 00:13:52.200]   I just say, if I have to change, I have to change here, this is a token, so this will be the, this is the, from image patch to token, about 9 to 5, so 9 is because of a 3x3 window here, and again, it got flattened into a column vector of 9,
[00:13:52.200 --> 00:14:07.200]   but for the language application, but for the language application, you can think of it as from a word in the vocabulary to embedding, and so we have 5, embedding space of 5, if you want to add one more, I will have to add one more rule here,
[00:14:07.200 --> 00:14:20.200]   but the problem is, is everything else has to be extended by 5, this all has to change to 5, there's a lot of things that have to change, so I'm not going to do that, so, well, I just restore it,
[00:14:20.200 --> 00:14:31.200]   but what, but what I want to do, actually, maybe I do want to do it for the, for the, for, let me just do it, but I'm not going to change the whole thing,
[00:14:31.200 --> 00:14:44.200]   so I, now I just add one dimension, where else do I have to change, so I, so this will go to the norm, so this has to change to 5 as well, and this, this is the most important, if I have a 5 of this,
[00:14:44.200 --> 00:15:06.200]   I have to move this, I have to move this weight, I have to add another columns of weight, in order to multiply them well, so you can see the impact of adding more dimensions, for your embedding, is that you want your weight have to grow in this direction, this direction, like here,
[00:15:06.200 --> 00:15:31.200]   like here, this is too much change, I don't want, I don't want to change this, I'm going to do that, so this, I'm going to talk about it, so I put, maybe put a gray, just to say that I sort of talk about it, but I'm not really implementing the embedding dimension change in my express, example, okay, and then, let's talk about good query attention,
[00:15:31.200 --> 00:15:44.200]   some attention, some attention stuff, so let's zoom out a little bit, I want to talk about, now it sees 3 attention head, what does it take to add another attention head, what I would do, is that I would just create a more space here,
[00:15:44.200 --> 00:15:50.200]   okay, and I could, actually no, let's do this,
[00:15:50.200 --> 00:16:17.200]   let's do this, I want to select here, come on, let me do this, select this, and this will be empty space, for me to add some stuff, whatever, let's just, okay, so, do I have enough space, let's just do a little bit more space,
[00:16:17.200 --> 00:16:29.200]   so to get a new head into this, so what I can do is, I will just copy this, and copy this, all right, and I have this weight, another set of weights, so you might,
[00:16:29.200 --> 00:16:44.200]   in prepositation, I usually like to use red to highlight trainable weights, so these are all trainable parameters, when you hear 7 billion model, you are referring to this,
[00:16:44.200 --> 00:16:56.200]   shaded red, variable parameters, so the things I do not shade, means they are not trainable parameters, they do not count to the parameter count, but they still matter in terms of calculation,
[00:16:56.200 --> 00:17:06.200]   so they all need to be calculated, they all take up, uh, runtime memory, you have to, all have to figure out how to fit into your GPU to optimize, but you can visualize,
[00:17:06.200 --> 00:17:18.200]   that's computational complexity versus parameter size of the model, but when we talk about size of model, we tend to refer to these parameters, so here, okay, let's try to fix this, where does it come from?
[00:17:18.200 --> 00:17:30.200]   So this come from, I had to fix this, but I could re-implement this, I'm going to zoom in a little bit, so what do I do, I want to take this, take all the, I want to input,
[00:17:30.200 --> 00:17:46.200]   metric multiplication, to take all state of weights, and then, and I'll go up, and up to select, they all share the same input, across this head, they all, uh, multiplying with the, this is the output from the previous layer, which is a norm,
[00:17:46.200 --> 00:17:58.200]   okay, so this is how I implement it, so you can see this, and, you can use F2 to examine this, so just to show you, I can scroll up to see, okay, this is where it's selected,
[00:17:58.200 --> 00:18:14.200]   and when I select this, okay, this is where it's selected, it's a different kind of weight, because I copy and paste it, so this, all the weights are the same right now, but I want you to purposely change the view thing, so they have two different set of weights, okay, so now,
[00:18:14.200 --> 00:18:26.200]   now, what I just manually implemented, a new head, and the rest of it, the same, so we have query, this, you take the first, one third, and to move over to the query, and take a second,
[00:18:26.200 --> 00:18:40.200]   one third, and then, and put it on the key, but I have to transpose it, maybe I can use my pen to draw it, like this, to show you a data flow, like here, and here, and then, you do a KT,
[00:18:40.200 --> 00:18:54.200]   multiplication, to get this dot product, scale, attention, and scale it out with soft mix, soft mix, soft mix, soft mix, okay, hard to write, with my mouse, okay, so I have a three different head,
[00:18:54.200 --> 00:19:06.200]   so what do I get, I get a more attention, values here, over, we'll have to add this, we'll have to bring this three back here again, so let me just move up, move three spaces up,
[00:19:06.200 --> 00:19:16.200]   so create some space for here, I'm going to select here, to concatenate, so what I'm implementing is concatenation, when you concatenate tensors, that's what's happening here,
[00:19:16.200 --> 00:19:30.200]   so if I do that, and this whole thing gets taller, so I have to extend my weight matrix, sidewise, sideway, by the same length, so I'm going to copy three sets away here, and once I do that,
[00:19:30.200 --> 00:19:46.200]   I'll be able to update my metric multiplication, that it is linear projection over here, to match, so if you read the paper, so usually they have says W out, or down, what is it, down project, W down, is referred to this metric,
[00:19:46.200 --> 00:20:12.200]   this metric, this metric can be pretty big too, but sometimes, if you kind of divide your attention dimension in a way, you might not even need this, suppose I, instead of having this many heads, suppose instead of five, I have, say 100, and then we have 20 heads,
[00:20:12.200 --> 00:20:38.200]   and then, and then, and then each head has five dimension, and when that concatenate all that, I get 100 back, in this case, you can skip this, dimensionality change, with this matrix, anyway, so this is how I, things are impacting when add one more head, so I do that, so add more head, do I add more heads here, where is it, heads, okay, when we add more head, that's what happened,
[00:20:38.200 --> 00:21:04.200]   so there's a head, so there's a head, so there's a head, adding head from llama two, llama three, over here, so I think I implement this, I'm going to put, highlight this, okay, come back, alright, so any more, let me see, I'm just monitoring the chat, but I guess, maybe, should I take one question, before I move on, I want to talk about group query retention next.
[00:21:04.200 --> 00:21:13.200]   Yeah, there's a question in the chat about vocabulary, how much does it cost in vocab size to add native understanding, slash generation of images and audio,
[00:21:13.200 --> 00:21:22.200]   so text only llama had 128k vocab, but multi-modal llama had 256k, I wonder if you want to address that, before you, yeah.
[00:21:22.200 --> 00:21:49.200]   So, if I zoom out a little bit, the vocabulary size, have only impact, like in, like in the output here, so you will grow this for output vocabulary, and then if you have three modalities, you just, this will get longer, and then you also need to figure out a way to convert your input into the embedding here, so this will be got a lot longer over here, but internally, once you pick the model size, this is going to be the same.
[00:21:49.200 --> 00:21:52.200]   Okay.
[00:21:52.200 --> 00:21:53.200]   Okay.
[00:21:53.200 --> 00:21:54.200]   Does it make sense?
[00:21:54.200 --> 00:21:55.200]   Yeah, that makes sense.
[00:21:55.200 --> 00:21:56.200]   We increase the number of vocab.
[00:21:56.200 --> 00:21:58.200]   Increase the number of vocab.
[00:21:58.200 --> 00:21:59.200]   We increase the number of vocab.
[00:21:59.200 --> 00:22:00.200]   We increase the number of vocab.
[00:22:00.200 --> 00:22:01.200]   We increase the number of vocab.
[00:22:01.200 --> 00:22:02.200]   We increase the number of vocab.
[00:22:02.200 --> 00:22:03.200]   We increase the number of vocab.
[00:22:03.200 --> 00:22:04.200]   We increase the number of vocab.
[00:22:04.200 --> 00:22:05.200]   We increase the number of vocab.
[00:22:05.200 --> 00:22:06.200]   We increase the number of vocab.
[00:22:06.200 --> 00:22:07.200]   We increase the number of vocab.
[00:22:07.200 --> 00:22:08.200]   We increase the number of vocab.
[00:22:08.200 --> 00:22:09.200]   We increase the number of vocab.
[00:22:09.200 --> 00:22:10.200]   We increase the number of vocab.
[00:22:10.200 --> 00:22:11.200]   We increase the number of vocab.
[00:22:11.200 --> 00:22:12.200]   We increase the number of vocab.
[00:22:12.200 --> 00:22:13.200]   We increase the number of vocab.
[00:22:13.200 --> 00:22:14.200]   We increase the number of vocab.
[00:22:14.200 --> 00:22:15.200]   We increase the number of vocab.
[00:22:15.200 --> 00:22:16.200]   We increase the number of vocab.
[00:22:16.200 --> 00:22:17.200]   We increase the number of vocab.
[00:22:17.200 --> 00:22:18.200]   We increase the number of vocab.
[00:22:18.200 --> 00:22:19.200]   We increase the number of vocab.
[00:22:19.200 --> 00:22:20.200]   We increase the number of vocab.
[00:22:20.200 --> 00:22:21.200]   We increase the number of vocab.
[00:22:21.200 --> 00:22:22.200]   We increase the number of vocab.
[00:22:22.200 --> 00:22:23.200]   We increase the number of vocab.
[00:22:23.200 --> 00:22:24.200]   We increase the number of vocab.
[00:22:24.200 --> 00:22:25.200]   We increase the number of vocab.
[00:22:25.200 --> 00:22:26.200]   We increase the number of vocab.
[00:22:26.200 --> 00:22:27.200]   We increase the number of vocab.
[00:22:27.200 --> 00:22:28.200]   We increase the number of vocab.
[00:22:28.200 --> 00:22:29.200]   We increase the number of vocab.
[00:22:29.200 --> 00:22:30.200]   We increase the number of vocab.
[00:22:30.200 --> 00:22:31.200]   We increase the number of vocab.
[00:22:31.200 --> 00:22:32.200]   We increase the number of vocab.
[00:22:32.200 --> 00:22:33.200]   We increase the number of vocab.
[00:22:33.200 --> 00:22:34.200]   We increase the number of vocab.
[00:22:34.200 --> 00:22:35.200]   We increase the number of vocab.
[00:22:35.200 --> 00:22:36.200]   We increase the number of vocab.
[00:22:36.200 --> 00:22:37.200]   We increase the number of vocab.
[00:22:37.200 --> 00:22:38.200]   We increase the number of vocab.
[00:22:38.200 --> 00:22:39.200]   We increase the number of vocab.
[00:22:39.200 --> 00:22:40.200]   We increase the number of vocab.
[00:22:40.200 --> 00:22:41.200]   We increase the number of vocab.
[00:22:41.200 --> 00:22:42.200]   We increase the number of vocab.
[00:22:42.200 --> 00:22:43.200]   We increase the number of vocab.
[00:22:43.200 --> 00:22:44.200]   We increase the number of vocab.
[00:22:44.200 --> 00:22:45.200]   We increase the number of vocab.
[00:22:45.200 --> 00:22:46.200]   We increase the number of vocab.
[00:22:46.200 --> 00:22:47.200]   We increase the number of vocab.
[00:22:47.200 --> 00:22:48.200]   We increase the number of vocab.
[00:22:48.200 --> 00:22:49.200]   We increase the number of vocab.
[00:22:49.200 --> 00:22:50.200]   We increase the number of vocab.
[00:22:50.200 --> 00:22:51.200]   We increase the number of vocab.
[00:22:51.200 --> 00:22:52.200]   We increase the number of vocab.
[00:22:52.200 --> 00:22:53.200]   We increase the number of vocab.
[00:22:53.200 --> 00:22:54.200]   We increase the number of vocab.
[00:22:54.200 --> 00:22:55.200]   We increase the number of vocab.
[00:22:55.200 --> 00:22:56.200]   We increase the number of vocab.
[00:22:56.200 --> 00:22:57.200]   We increase the number of vocab.
[00:22:57.200 --> 00:22:58.200]   We increase the number of vocab.
[00:22:58.200 --> 00:22:59.200]   We increase the number of vocab.
[00:22:59.200 --> 00:23:00.200]   We increase the number of vocab.
[00:23:00.200 --> 00:23:01.200]   We increase the number of vocab.
[00:23:01.200 --> 00:23:02.200]   We increase the number of vocab.
[00:23:02.200 --> 00:23:03.200]   We increase the number of vocab.
[00:23:03.200 --> 00:23:04.200]   We increase the number of vocab.
[00:23:04.200 --> 00:23:05.200]   We increase the number of vocab.
[00:23:05.200 --> 00:23:06.200]   We increase the number of vocab.
[00:23:06.200 --> 00:23:07.200]   We increase the number of vocab.
[00:23:07.200 --> 00:23:08.200]   We increase the number of vocab.
[00:23:08.200 --> 00:23:09.200]   We increase the number of vocab.
[00:23:09.200 --> 00:23:10.200]   We increase the number of vocab.
[00:23:10.200 --> 00:23:11.200]   We increase the number of vocab.
[00:23:11.200 --> 00:23:12.200]   We increase the number of vocab.
[00:23:12.200 --> 00:23:13.200]   We increase the number of vocab.
[00:23:13.200 --> 00:23:14.200]   We increase the number of vocab.
[00:23:14.200 --> 00:23:15.200]   We increase the number of vocab.
[00:23:15.200 --> 00:23:16.200]   We increase the number of vocab.
[00:23:16.200 --> 00:23:17.200]   We increase the number of vocab.
[00:23:17.200 --> 00:23:18.200]   We increase the number of vocab.
[00:23:18.200 --> 00:23:19.200]   We increase the number of vocab.
[00:23:19.200 --> 00:23:20.200]   We increase the number of vocab.
[00:23:20.200 --> 00:23:21.200]   We increase the number of vocab.
[00:23:21.200 --> 00:23:22.200]   We increase the number of vocab.
[00:23:22.200 --> 00:23:23.200]   We increase the number of vocab.
[00:23:23.200 --> 00:23:24.200]   We increase the number of vocab.
[00:23:24.200 --> 00:23:25.200]   We increase the number of vocab.
[00:23:25.200 --> 00:23:26.200]   We increase the number of vocab.
[00:23:26.200 --> 00:23:27.200]   We increase the number of vocab.
[00:23:27.200 --> 00:23:28.200]   We increase the number of vocab.
[00:23:28.200 --> 00:23:29.200]   We increase the number of vocab.
[00:23:29.200 --> 00:23:30.200]   We increase the number of vocab.
[00:23:30.200 --> 00:23:31.200]   We increase the number of vocab.
[00:23:31.200 --> 00:23:32.200]   We increase the number of vocab.
[00:23:32.200 --> 00:23:33.200]   We increase the number of vocab.
[00:23:33.200 --> 00:23:34.200]   We increase the number of vocab.
[00:23:34.200 --> 00:23:35.200]   We increase the number of vocab.
[00:23:35.200 --> 00:23:36.200]   We increase the number of vocab.
[00:23:36.200 --> 00:23:37.200]   We increase the number of vocab.
[00:23:37.200 --> 00:23:38.200]   We increase the number of vocab.
[00:23:38.200 --> 00:23:39.200]   We increase the number of vocab.
[00:23:39.200 --> 00:23:40.200]   We increase the number of vocab.
[00:23:40.200 --> 00:23:41.200]   We increase the number of vocab.
[00:23:41.200 --> 00:23:42.200]   We increase the number of vocab.
[00:23:42.200 --> 00:23:43.200]   We increase the number of vocab.
[00:23:43.200 --> 00:23:44.200]   We increase the number of vocab.
[00:23:44.200 --> 00:23:45.200]   We increase the number of vocab.
[00:23:45.200 --> 00:23:46.200]   We increase the number of vocab.
[00:23:46.200 --> 00:23:47.200]   We increase the number of vocab.
[00:23:47.200 --> 00:23:48.200]   We increase the number of vocab.
[00:23:48.200 --> 00:23:49.200]   We increase the number of vocab.
[00:23:49.200 --> 00:23:50.200]   We increase the number of vocab.
[00:23:50.200 --> 00:23:51.200]   We increase the number of vocab.
[00:23:51.200 --> 00:23:52.200]   We increase the number of vocab.
[00:23:52.200 --> 00:23:53.200]   We increase the number of vocab.
[00:23:53.200 --> 00:23:54.200]   We increase the number of vocab.
[00:23:54.200 --> 00:23:55.200]   We increase the number of vocab.
[00:23:55.200 --> 00:23:56.200]   We increase the number of vocab.
[00:23:56.200 --> 00:23:57.200]   We increase the number of vocab.
[00:23:57.200 --> 00:23:58.200]   We increase the number of vocab.
[00:23:58.200 --> 00:23:59.200]   We increase the number of vocab.
[00:23:59.200 --> 00:24:00.200]   We increase the number of vocab.
[00:24:00.200 --> 00:24:01.200]   We increase the number of vocab.
[00:24:01.200 --> 00:24:02.200]   We increase the number of vocab.
[00:24:02.200 --> 00:24:03.200]   We increase the number of vocab.
[00:24:03.200 --> 00:24:04.200]   We increase the number of vocab.
[00:24:04.200 --> 00:24:05.200]   We increase the number of vocab.
[00:24:05.200 --> 00:24:06.200]   We increase the number of vocab.
[00:24:06.200 --> 00:24:07.200]   We increase the number of vocab.
[00:24:07.200 --> 00:24:08.200]   We increase the number of vocab.
[00:24:08.200 --> 00:24:09.200]   We increase the number of vocab.
[00:24:09.200 --> 00:24:10.200]   We increase the number of vocab.
[00:24:10.200 --> 00:24:11.200]   We increase the number of vocab.
[00:24:11.200 --> 00:24:12.200]   We increase the number of vocab.
[00:24:12.200 --> 00:24:13.200]   We increase the number of vocab.
[00:24:13.200 --> 00:24:14.200]   We increase the number of vocab.
[00:24:14.200 --> 00:24:15.200]   We increase the number of vocab.
[00:24:15.200 --> 00:24:16.200]   We increase the number of vocab.
[00:24:16.200 --> 00:24:17.200]   We increase the number of vocab.
[00:24:17.200 --> 00:24:18.200]   We increase the number of vocab.
[00:24:18.200 --> 00:24:19.200]   We increase the number of vocab.
[00:24:19.200 --> 00:24:20.200]   We increase the number of vocab.
[00:24:20.200 --> 00:24:21.200]   We increase the number of vocab.
[00:24:21.200 --> 00:24:22.200]   We increase the number of vocab.
[00:24:22.200 --> 00:24:23.200]   We increase the number of vocab.
[00:24:23.200 --> 00:24:24.200]   We increase the number of vocab.
[00:24:24.200 --> 00:24:25.200]   We increase the number of vocab.
[00:24:25.200 --> 00:24:26.200]   We increase the number of vocab.
[00:24:26.200 --> 00:24:27.200]   We increase the number of vocab.
[00:24:27.200 --> 00:24:28.200]   We increase the number of vocab.
[00:24:28.200 --> 00:24:29.200]   We increase the number of vocab.
[00:24:29.200 --> 00:24:30.200]   We increase the number of vocab.
[00:24:30.200 --> 00:24:31.200]   We increase the number of vocab.
[00:24:31.200 --> 00:24:32.200]   We increase the number of vocab.
[00:24:32.200 --> 00:24:33.200]   We increase the number of vocab.
[00:24:33.200 --> 00:24:34.200]   We increase the number of vocab.
[00:24:34.200 --> 00:24:35.200]   We increase the number of vocab.
[00:24:35.200 --> 00:24:36.200]   We increase the number of vocab.
[00:24:36.200 --> 00:24:37.200]   We increase the number of vocab.
[00:24:37.200 --> 00:24:38.200]   We increase the number of vocab.
