
[00:00:00.000 --> 00:00:06.900]   [APPLAUSE]
[00:05:49.920 --> 00:05:52.520]   Well, let's take a look.
[00:05:52.520 --> 00:05:53.800]   This is what's called the SPIVA.
[00:05:53.800 --> 00:05:57.800]   Now, my last podcast I just did was with Craig Lazara
[00:05:57.800 --> 00:06:01.440]   from Standard & Poor's Indices, Standard & Poor's Dow Jones
[00:06:01.440 --> 00:06:03.280]   Indices, because they merged.
[00:06:03.280 --> 00:06:07.320]   And what this shows-- this is just looking at one segment.
[00:06:07.320 --> 00:06:12.480]   This is the S&P 500 index versus the managers who are
[00:06:12.480 --> 00:06:15.440]   trying to outperform the index.
[00:06:15.440 --> 00:06:18.760]   Those numbers, large cap fund up on top,
[00:06:18.760 --> 00:06:21.400]   and then mid cap fund, which is a mid cap
[00:06:21.400 --> 00:06:24.520]   indice, and the bottom, which is an S&P small cap.
[00:06:24.520 --> 00:06:30.680]   After one year, 55%--
[00:06:30.680 --> 00:06:32.840]   let's read in the top line, skip year to date
[00:06:32.840 --> 00:06:33.920]   and just go to one year--
[00:06:33.920 --> 00:06:40.560]   55% of the active managers underperformed the S&P 500.
[00:06:40.560 --> 00:06:44.400]   If we go out further and we look at five years--
[00:06:44.400 --> 00:06:46.720]   and these are the managers who survived,
[00:06:46.720 --> 00:06:50.600]   because so many actively managed funds just go under.
[00:06:50.600 --> 00:06:52.680]   They go out of business.
[00:06:52.680 --> 00:06:54.880]   The mutual fund companies won't tell you this.
[00:06:54.880 --> 00:06:56.520]   When you look at the mutual fund advertising,
[00:06:56.520 --> 00:06:58.800]   they're going to advertise all the funds that survived
[00:06:58.800 --> 00:06:59.720]   and actually did well.
[00:06:59.720 --> 00:07:01.760]   They're not going to show you the other half that
[00:07:01.760 --> 00:07:02.760]   all went out of business.
[00:07:02.760 --> 00:07:04.260]   They're not going to show you those.
[00:07:04.260 --> 00:07:06.840]   So over a five year period of time, of the funds that
[00:07:06.840 --> 00:07:14.320]   actually made it five years, 84% underperformed the S&P 500.
[00:07:14.320 --> 00:07:19.960]   If you go out 20 years, 95% of all actively managed large cap
[00:07:19.960 --> 00:07:22.360]   mutual funds that were trying to beat the market
[00:07:22.360 --> 00:07:25.360]   underperformed the S&P 500.
[00:07:25.360 --> 00:07:27.960]   And if we go to the mid cap, which are smaller companies,
[00:07:27.960 --> 00:07:31.880]   but not small cap, tiny companies, we go to the right.
[00:07:31.880 --> 00:07:32.640]   And look at that.
[00:07:32.640 --> 00:07:37.960]   94% over a 20 year period of time of the active managers
[00:07:37.960 --> 00:07:41.440]   in the mid cap sector of the market
[00:07:41.440 --> 00:07:43.620]   underperformed the mid cap index.
[00:07:43.620 --> 00:07:45.920]   And let's go a little further to the small cap funds, which
[00:07:45.920 --> 00:07:47.960]   are the small companies.
[00:07:47.960 --> 00:07:51.560]   And we'll use the S&P 600 small cap index.
[00:07:51.560 --> 00:07:54.200]   94% of the active managers who attempted
[00:07:54.200 --> 00:07:59.440]   to outperform the small cap index underperformed it.
[00:07:59.440 --> 00:08:00.840]   All right.
[00:08:00.840 --> 00:08:05.100]   Now, am I going to spend my money
[00:08:05.100 --> 00:08:07.600]   trying to pick the 5%?
[00:08:07.600 --> 00:08:08.640]   No.
[00:08:08.640 --> 00:08:14.080]   I can be in the top 95% tile over a 20 year period of time
[00:08:14.080 --> 00:08:16.080]   just by buying an index fund.
[00:08:16.080 --> 00:08:19.160]   And I know that there are going to be a few active managers
[00:08:19.160 --> 00:08:19.680]   out there.
[00:08:19.680 --> 00:08:23.260]   And all these asset classes across the globe,
[00:08:23.260 --> 00:08:25.140]   there's going to be a few that do outperform.
[00:08:25.140 --> 00:08:28.360]   But we don't know who they are today.
[00:08:28.360 --> 00:08:30.640]   And is it worth going after these managers?
[00:08:30.640 --> 00:08:32.720]   And the answer is no, it isn't.
[00:08:32.720 --> 00:08:36.840]   If we look at why this occurs, the answer is very simple.
[00:08:36.840 --> 00:08:39.600]   And Alan Walters is going to get to this in more detail
[00:08:39.600 --> 00:08:40.640]   in the next session.
[00:08:40.640 --> 00:08:43.680]   It has to do with fees.
[00:08:43.680 --> 00:08:45.960]   Almost 100% having to do with fees.
[00:08:45.960 --> 00:08:48.040]   And then it has to do with managers turnover
[00:08:48.040 --> 00:08:49.840]   and have to do with funds get too much money
[00:08:49.840 --> 00:08:51.920]   and they can't invest the way they used to invest.
[00:08:51.920 --> 00:08:53.180]   There are a few other things.
[00:08:53.180 --> 00:08:55.280]   But I think, Alan, when you see his presentation,
[00:08:55.280 --> 00:08:57.200]   he's going to talk a lot more about fees.
[00:08:57.200 --> 00:09:00.740]   So index funds have very low fees.
[00:09:00.740 --> 00:09:01.960]   Active managers cost money.
[00:09:01.960 --> 00:09:03.540]   They have all these research analysts
[00:09:03.540 --> 00:09:05.080]   and everybody else they have to hire.
[00:09:05.080 --> 00:09:06.180]   It's more money.
[00:09:06.180 --> 00:09:09.260]   So generally, the low cost of the index funds
[00:09:09.260 --> 00:09:11.500]   is the reason over the very long term
[00:09:11.500 --> 00:09:13.860]   that the index funds float to the top
[00:09:13.860 --> 00:09:17.340]   and get into the top 90%, 95% tile.
[00:09:17.340 --> 00:09:20.460]   And this not only happens in the United States.
[00:09:20.460 --> 00:09:21.700]   It happens internationally.
[00:09:21.700 --> 00:09:22.740]   It happens in bonds.
[00:09:22.740 --> 00:09:24.260]   It pretty much happens everywhere.
[00:09:24.260 --> 00:09:26.300]   And I don't want to get into the details too much.
[00:09:26.300 --> 00:09:29.140]   But if you look at the SPIVA scorecard or the Vanguard
[00:09:29.140 --> 00:09:32.260]   studies that they do every year, Morningstar does studies
[00:09:32.260 --> 00:09:33.420]   on this every single year.
[00:09:33.420 --> 00:09:35.080]   The proliferation of the studies,
[00:09:35.080 --> 00:09:36.460]   there's a lot of them out there right now.
[00:09:36.460 --> 00:09:38.140]   20 years ago, they weren't out there.
[00:09:38.140 --> 00:09:38.640]   You had to dig it up.
[00:09:38.640 --> 00:09:41.060]   When Jack Bogle first created the index fund in 1996,
[00:09:41.060 --> 00:09:45.060]   he had to, by hand, by hand, go back and pull out
[00:09:45.060 --> 00:09:48.280]   all the performance of each of the individual index actively
[00:09:48.280 --> 00:09:50.820]   managed funds and put together his own database because there
[00:09:50.820 --> 00:09:53.380]   was no Morningstar out there at that time.
[00:09:53.380 --> 00:09:54.980]   Nobody was collecting this data.
[00:09:54.980 --> 00:10:00.420]   This data really wasn't prevalent until around 1997
[00:10:00.420 --> 00:10:02.420]   when Mark Carhart from the University of Chicago
[00:10:02.420 --> 00:10:05.940]   actually put together the first comprehensive survivorship
[00:10:05.940 --> 00:10:07.380]   bias-free database.
[00:10:07.380 --> 00:10:12.160]   And then now we see that, hey, most active managers
[00:10:12.160 --> 00:10:14.540]   don't outperform the market.
[00:10:14.540 --> 00:10:16.140]   Most will underperform.
[00:10:16.140 --> 00:10:18.460]   So what do you do?
[00:10:18.460 --> 00:10:19.060]   What do I do?
[00:10:19.060 --> 00:10:20.580]   What do I believe?
[00:10:20.580 --> 00:10:23.500]   I did a study 10 years ago now that was published.
[00:10:23.500 --> 00:10:27.700]   I said if all you did was buy index funds in every asset
[00:10:27.700 --> 00:10:30.140]   class, however many asset classes you want--
[00:10:30.140 --> 00:10:31.860]   this is the three-fund portfolio,
[00:10:31.860 --> 00:10:34.300]   which is the total stock market, US,
[00:10:34.300 --> 00:10:36.660]   the total international stock market,
[00:10:36.660 --> 00:10:39.180]   and just a total bond fund.
[00:10:39.180 --> 00:10:43.140]   If this is all you did, just bought a few good low-cost
[00:10:43.140 --> 00:10:46.540]   index funds in the asset classes that you want,
[00:10:46.540 --> 00:10:50.780]   you will be in the 90th percentile of all investors.
[00:10:50.780 --> 00:10:53.420]   You're going to be at the top 10%.
[00:10:53.420 --> 00:10:54.780]   Will you be number one?
[00:10:54.780 --> 00:10:56.020]   No.
[00:10:56.020 --> 00:10:57.300]   I don't have to be number one.
[00:10:57.300 --> 00:10:59.100]   I mean, I'm a good pickleball player.
[00:10:59.100 --> 00:10:59.860]   Really?
[00:10:59.860 --> 00:11:00.460]   I think I am.
[00:11:00.460 --> 00:11:01.660]   But am I number one?
[00:11:01.660 --> 00:11:02.460]   No.
[00:11:02.460 --> 00:11:03.660]   That's OK.
[00:11:03.660 --> 00:11:05.100]   I could be in the 95th percentile.
[00:11:05.100 --> 00:11:06.020]   I'll be happy with that.
[00:11:06.020 --> 00:11:07.980]   And I think the same way with our portfolios.
[00:11:07.980 --> 00:11:09.940]   We try to outperform.
[00:11:09.940 --> 00:11:13.220]   Odds are, high chance you're going to underperform.
[00:11:13.220 --> 00:11:14.860]   It's going to cost you more money.
[00:11:14.860 --> 00:11:17.340]   And we're not even getting into the taxes of the turnover
[00:11:17.340 --> 00:11:19.420]   of going from this fund to that fund to this fund.
[00:11:19.420 --> 00:11:21.940]   So this is why we say at the Bogleheads,
[00:11:21.940 --> 00:11:24.700]   use index funds when they're available.
[00:11:24.700 --> 00:11:26.660]   Use them in every single asset class.
[00:11:26.660 --> 00:11:28.660]   Don't worry about anything else.
[00:11:28.660 --> 00:11:32.100]   Just invest in a few good index funds.
[00:11:32.100 --> 00:11:35.180]   And that's it for me.
[00:11:35.180 --> 00:11:37.240]   you
[00:11:37.240 --> 00:11:47.240]   [BLANK_AUDIO]

