
[00:00:00.000 --> 00:00:01.080]   It looks really fun.
[00:04:55.840 --> 00:04:59.720]   cause on the 3090, the back, the memories on the back, right.
[00:04:59.720 --> 00:05:00.400]   Yeah.
[00:05:00.400 --> 00:05:02.240]   And there's just thermal pads on that.
[00:05:02.240 --> 00:05:07.680]   So, um, there's a little bit of variation on how good they are, like cooling down.
[00:05:07.680 --> 00:05:11.400]   So I found that just swapping the order of the GPUs, there's one GPU that
[00:05:11.400 --> 00:05:12.600]   keeps cooler than the other one.
[00:05:12.600 --> 00:05:14.320]   I found that helps a lot.
[00:05:14.320 --> 00:05:15.760]   Interesting.
[00:05:15.760 --> 00:05:16.960]   Yeah.
[00:05:16.960 --> 00:05:18.400]   I just have the MSI one.
[00:05:18.400 --> 00:05:19.200]   So it's different.
[00:05:19.200 --> 00:05:19.560]   Mm hmm.
[00:05:19.560 --> 00:05:21.600]   That's cool.
[00:05:21.600 --> 00:05:22.000]   Yeah.
[00:05:22.000 --> 00:05:23.680]   All right.
[00:05:23.680 --> 00:05:25.120]   Let's I'll just get started.
[00:05:25.120 --> 00:05:26.400]   I'll take a person, get started.
[00:05:26.400 --> 00:05:30.080]   So just one moment.
[00:05:30.080 --> 00:05:33.760]   So hi everyone.
[00:05:33.760 --> 00:05:35.840]   Thanks for joining the first carrot talk.
[00:05:35.840 --> 00:05:39.040]   I quickly want to point out that we'll be taking questions to the forums.
[00:05:39.040 --> 00:05:43.000]   So, uh, this is discourse by the way, if you're not familiar, you can like.
[00:05:43.000 --> 00:05:44.040]   Who's here.
[00:05:44.040 --> 00:05:47.040]   I can't like my own post, but make sure you say hello in this thread.
[00:05:47.920 --> 00:05:51.600]   And if you'd like to ask questions to Anjum, uh, you can post them here.
[00:05:51.600 --> 00:06:01.080]   I asked him what is his favorite side and hopefully should go through.
[00:06:01.080 --> 00:06:02.800]   So please ask your questions.
[00:06:02.800 --> 00:06:06.080]   There, since we're also live streaming on YouTube and within the zoom call,
[00:06:06.080 --> 00:06:07.840]   it's difficult to monitor everything.
[00:06:07.840 --> 00:06:09.280]   So I'll be taking questions from there.
[00:06:09.280 --> 00:06:12.320]   All right.
[00:06:12.320 --> 00:06:15.160]   With that, I think we're all set to get started.
[00:06:15.160 --> 00:06:24.720]   Welcome to this is I think the first, uh, Kaggle talk at Bateson biases, also
[00:06:24.720 --> 00:06:29.440]   the first child time live and the child time walkthrough I'm like incredibly
[00:06:29.440 --> 00:06:30.960]   excited to be hosting Anjum.
[00:06:30.960 --> 00:06:34.680]   I've known Anjum for a few years through the Kaggle noobs community.
[00:06:34.680 --> 00:06:36.040]   It's an incredible community.
[00:06:36.040 --> 00:06:39.920]   And I just saw his, uh, I can, I was just telling him on the leaderboard.
[00:06:39.920 --> 00:06:42.320]   And I was so happy to see him on the fourth position on
[00:06:42.320 --> 00:06:43.600]   the common lead competition.
[00:06:43.600 --> 00:06:46.600]   So I don't think I was at Bateson biases at the time.
[00:06:46.600 --> 00:06:52.240]   I just instantly reached out and, uh, he kindly agreed to also later do this talk.
[00:06:52.240 --> 00:06:53.240]   So Anjum, thanks.
[00:06:53.240 --> 00:06:54.160]   Thanks for joining us.
[00:06:54.160 --> 00:06:56.800]   I'm really looking forward to diving into a solution today.
[00:06:56.800 --> 00:06:58.080]   No, thank you for having me.
[00:06:58.080 --> 00:07:00.840]   It's a real honor and I'm super excited about this.
[00:07:00.840 --> 00:07:01.880]   This is going to be really fun.
[00:07:01.880 --> 00:07:03.440]   Likewise.
[00:07:03.440 --> 00:07:07.880]   I have gone through a solution, so I know a little bit more, but, uh, I'm sure
[00:07:07.880 --> 00:07:09.080]   everyone will get to learn it.
[00:07:09.080 --> 00:07:12.040]   Real quick.
[00:07:12.040 --> 00:07:13.440]   I'll point out the resources.
[00:07:13.440 --> 00:07:15.960]   These are there on the thread as well.
[00:07:15.960 --> 00:07:18.440]   You can find Anjum's writeup on Kaggle.
[00:07:18.440 --> 00:07:20.880]   That is just a high level description description.
[00:07:20.880 --> 00:07:24.640]   He's also published his GitHub repository, which you can find.
[00:07:24.640 --> 00:07:28.200]   If you're new to Kaggle, I'll probably point this out, but Kaggle has this new
[00:07:28.200 --> 00:07:32.640]   mechanism where you can train models offline for a few competitions, and then
[00:07:32.640 --> 00:07:34.920]   you're forced to do inference on Kaggle.
[00:07:34.920 --> 00:07:39.760]   So you're like constrained in a way of how crazy ensembles can you build.
[00:07:39.800 --> 00:07:44.320]   Uh, I'm still built, I think around 30 or 38 models, if I remember correctly.
[00:07:44.320 --> 00:07:47.160]   So there's, there's still some leeway there.
[00:07:47.160 --> 00:07:52.400]   Uh, I'll be using a dashboard that one of our ambassadors built, uh, because
[00:07:52.400 --> 00:07:54.200]   I'm lazy and I didn't want to do EDA.
[00:07:54.200 --> 00:07:55.640]   So you can check that out as well.
[00:07:55.640 --> 00:08:01.600]   And, uh, this is essentially CTDS 2.0, uh, like I pointed out on Twitter.
[00:08:01.600 --> 00:08:07.320]   So I'll quickly go through what is CTDS 2.0 and here's the agenda for today.
[00:08:07.360 --> 00:08:12.480]   Uh, after that, you know, I just, I like the reason for me doing these
[00:08:12.480 --> 00:08:15.920]   interviews was like, I know Anjun's solution.
[00:08:15.920 --> 00:08:19.480]   I know he built these models, but I'm also really curious.
[00:08:19.480 --> 00:08:22.240]   Like, how did he become this awesome Kaggle competition master?
[00:08:22.240 --> 00:08:27.280]   Like, how did he get to the top of, I think in the top hundred in the leaderboard?
[00:08:27.280 --> 00:08:30.440]   Like, I want to know, how did he study these things?
[00:08:30.440 --> 00:08:33.080]   So that's why I asked these questions and we'll be starting there.
[00:08:34.000 --> 00:08:38.560]   Followed by understanding the competition, and then we'll dive into the dataset and
[00:08:38.560 --> 00:08:43.080]   Anjun will present his solution and you all are free to ask any questions that you want.
[00:08:43.080 --> 00:08:45.320]   Keep the questions coming.
[00:08:45.320 --> 00:08:48.240]   I'll keep looking at them here, here and there.
[00:08:48.240 --> 00:08:53.280]   So this, like I said, is, uh, in a way, I think data science 2.0,
[00:08:53.280 --> 00:08:54.760]   because I ran out of ideas.
[00:08:54.760 --> 00:08:56.320]   So that's why I called it this.
[00:08:56.320 --> 00:08:59.920]   Uh, what I'm trying to do is live interviews here.
[00:08:59.960 --> 00:09:05.160]   Uh, these are also community ask me any things and what we really want to achieve
[00:09:05.160 --> 00:09:11.280]   as a community is, uh, understanding solutions that are up there on the top of the leaderboard.
[00:09:11.280 --> 00:09:17.960]   I truly believe that Kaggle competitions are a great way of learning and winners, as you'll
[00:09:17.960 --> 00:09:22.600]   find from Anjun have these like interesting techniques that are so buried in the forums
[00:09:22.600 --> 00:09:26.080]   and you can only understand if you've taken part in the competition.
[00:09:27.400 --> 00:09:32.000]   So we're trying to uncover those, uh, through the series, at least that's what I hope, but
[00:09:32.000 --> 00:09:35.680]   I'll, I look forward to hearing from you if you find that is the case or not.
[00:09:35.680 --> 00:09:40.000]   So I'll start by introducing Anjun.
[00:09:40.000 --> 00:09:42.520]   Uh, he's Anjun Sayed on Twitter.
[00:09:42.520 --> 00:09:44.040]   Uh, give him a follow there.
[00:09:44.040 --> 00:09:49.000]   He's competition's master currently in the top hundred of the worldwide rankings.
[00:09:49.000 --> 00:09:53.560]   That's out of 166,000 data scientists.
[00:09:53.800 --> 00:09:58.440]   He's a senior data scientist at BP and he's a physicist by background.
[00:09:58.440 --> 00:10:04.520]   So I want to start by the traditional, uh, data science question and answer.
[00:10:04.520 --> 00:10:08.600]   Uh, first of all, thanks again, Anjun for saying yes to this request as well.
[00:10:08.600 --> 00:10:12.040]   Uh, really looking forward to knowing more about your journey.
[00:10:12.040 --> 00:10:15.680]   I know you started as a physicist, so maybe you can tell us about your journey
[00:10:15.680 --> 00:10:17.320]   and how did you find data science?
[00:10:17.320 --> 00:10:17.840]   Yeah.
[00:10:17.840 --> 00:10:23.360]   So I've been, yeah, probably been active on Kaggle for the last three
[00:10:23.360 --> 00:10:25.560]   years, but I joined Kaggle a long time ago.
[00:10:25.560 --> 00:10:27.920]   So I joined Kaggle probably six years ago.
[00:10:27.920 --> 00:10:31.760]   Uh, but yeah, I've been coding for ages.
[00:10:31.760 --> 00:10:36.480]   So I think I learned how to code probably when I was like 12 or 13.
[00:10:36.480 --> 00:10:38.720]   So my parents got me this Lego set.
[00:10:38.720 --> 00:10:40.760]   So it was called like Lego Mindstorms.
[00:10:40.760 --> 00:10:45.720]   And there was this, um, programmable, programmable brick and you could attach
[00:10:45.720 --> 00:10:47.280]   little sensors and motors to it.
[00:10:47.280 --> 00:10:51.680]   I tried to build this photocopier with this light, it's a light sensor on one
[00:10:51.680 --> 00:10:56.000]   side and then like a little pen on the other side and it'll, it'll scan a piece
[00:10:56.000 --> 00:11:01.160]   of paper and then I found that the, the little scripting, the coding thing that
[00:11:01.160 --> 00:11:03.040]   Lego supplied to this stuff is too slow.
[00:11:03.040 --> 00:11:08.320]   So all my images are coming out blurry and I found these guys at MIT had hacked
[00:11:08.320 --> 00:11:10.520]   the firmware for this brick so you could run C on it.
[00:11:10.520 --> 00:11:16.880]   So I built, I rewrote all my programming C to get this photocopier to work out a Lego.
[00:11:16.880 --> 00:11:19.920]   So that's when I started learning how to code when I was a kid.
[00:11:20.640 --> 00:11:21.640]   So I started with C.
[00:11:21.640 --> 00:11:22.960]   You learned C when you were 13?
[00:11:22.960 --> 00:11:23.560]   Yeah.
[00:11:23.560 --> 00:11:30.080]   That was the first language I learned, which sounds crazy now looking back.
[00:11:30.080 --> 00:11:35.520]   Um, and then I went to, yeah, studied physics at university, uh,
[00:11:35.520 --> 00:11:37.560]   specialized in particle physics.
[00:11:37.560 --> 00:11:45.320]   So when, um, we started doing sort of detailed simulations of the Higgs decay.
[00:11:45.320 --> 00:11:48.200]   So using Monte Carlo simulation, that was all done in C as well.
[00:11:48.200 --> 00:11:51.640]   Cause when you're doing simulations, you're going to do them really fast.
[00:11:51.640 --> 00:11:56.280]   So we were trying to characterize what the Higgs decay would look like before
[00:11:56.280 --> 00:11:58.320]   the large Hadron collider started up.
[00:11:58.320 --> 00:12:00.200]   So we know, knew what they were looking for.
[00:12:00.200 --> 00:12:04.120]   Kind of knew what, where the Higgs would sit, but wanted to see what that looked like.
[00:12:04.120 --> 00:12:08.720]   Um, yeah, so we did, did a bit of that at university.
[00:12:08.720 --> 00:12:12.800]   So, and then I started work at BP as a petrophysicist.
[00:12:12.800 --> 00:12:15.640]   So petrophysicist is a strange sounding job.
[00:12:16.400 --> 00:12:21.120]   But, um, so it's when in the oil and gas industry, we drill these
[00:12:21.120 --> 00:12:23.320]   wells where the oil and gas comes up.
[00:12:23.320 --> 00:12:28.040]   And when you drill the well, you will send down a little tool on a
[00:12:28.040 --> 00:12:29.760]   piece of wire called a logging tool.
[00:12:29.760 --> 00:12:35.080]   And it'll measure things like electromagnetic, acoustic, um,
[00:12:35.080 --> 00:12:37.080]   nuclear properties of the rock.
[00:12:37.080 --> 00:12:42.920]   And it was my job to take that data and then turn it into something useful.
[00:12:42.920 --> 00:12:46.880]   So like the porosity of the rock, is there oil or gas or water there?
[00:12:46.880 --> 00:12:49.040]   How well does that rock flow?
[00:12:49.040 --> 00:12:53.560]   Um, so it's kind of, I was a scientist working with data, but it wasn't
[00:12:53.560 --> 00:12:55.240]   called a data scientist at that point.
[00:12:55.240 --> 00:13:01.040]   Um, so, um, as, as many scientists in, in data science these days.
[00:13:01.040 --> 00:13:08.800]   And, um, and at that time, so Python was almost, Python was popular then, but,
[00:13:08.800 --> 00:13:11.640]   um, it was almost seen like a little bit of a toy language.
[00:13:11.640 --> 00:13:17.160]   So, you know, in, in Microsoft Excel, you can write little macros in visual basic.
[00:13:17.160 --> 00:13:20.680]   A lot of software at that time had Python built into it.
[00:13:20.680 --> 00:13:22.480]   So you can do little custom scripts.
[00:13:22.480 --> 00:13:26.880]   So if I wanted to build a, um, convert density into porosity, I'd write a
[00:13:26.880 --> 00:13:29.160]   little one-liner in Python to do that.
[00:13:29.160 --> 00:13:33.160]   So I've been using Python that way in like our little soft in specialist
[00:13:33.160 --> 00:13:36.840]   software like that for 12 years or something, it's quite common, you know,
[00:13:36.840 --> 00:13:40.760]   even like in music production software, you have a little Python kernel.
[00:13:41.080 --> 00:13:43.880]   Now Python is probably one of the most popular languages in the world.
[00:13:43.880 --> 00:13:45.680]   So it's a bit different now.
[00:13:45.680 --> 00:13:50.600]   Um, and yeah, so through, through that, I learned a bit of Python, got more into
[00:13:50.600 --> 00:13:53.520]   the sort of statistics and machine learning world, and then I just got,
[00:13:53.520 --> 00:13:55.040]   I joined Kaggle six years ago.
[00:13:55.040 --> 00:13:59.360]   And cause, um, at that time, all the blogs and things were saying, Oh, if you
[00:13:59.360 --> 00:14:01.000]   want to learn data science, go to Kaggle.
[00:14:01.000 --> 00:14:03.800]   And Kaggle was a really different place back then.
[00:14:03.800 --> 00:14:06.320]   It was, you know, TensorFlow had just been released.
[00:14:06.320 --> 00:14:07.560]   There was no PyTorch.
[00:14:08.040 --> 00:14:13.960]   Everything was scikit-learn, XGBoost, like GBM, or the really like heavy
[00:14:13.960 --> 00:14:16.480]   grandmasters, they were coding their own random stuff.
[00:14:16.480 --> 00:14:17.200]   It's crazy.
[00:14:17.200 --> 00:14:20.640]   So I still feel the same, like how do you understand?
[00:14:20.640 --> 00:14:25.560]   It's a, it's a very different landscape, but it's still the same feeling.
[00:14:25.560 --> 00:14:29.440]   And, and yeah, there's a lot more different variability.
[00:14:29.440 --> 00:14:34.120]   So in back then the notebooks, you could run R and Julia in the notebooks as well.
[00:14:34.120 --> 00:14:35.880]   So it's quite a lot of diversity in that.
[00:14:36.400 --> 00:14:40.360]   So I entered my first competition, which is, you know, every Christmas Kaggle
[00:14:40.360 --> 00:14:45.160]   has, um, sort of a Santa themed competition is usually an optimization thing.
[00:14:45.160 --> 00:14:47.560]   So now, okay, I can code a little bit.
[00:14:47.560 --> 00:14:49.000]   Uh, I'll give that a go.
[00:14:49.000 --> 00:14:51.000]   And it was so hard.
[00:14:51.000 --> 00:14:56.920]   I came, I think I came in the bottom 5%, 10%, and I got terrified.
[00:14:56.920 --> 00:14:58.880]   Like my level was so low.
[00:14:58.880 --> 00:15:02.000]   I couldn't even understand any of the solutions.
[00:15:02.000 --> 00:15:05.720]   I got terrified of Kaggle and it was probably my biggest regret.
[00:15:05.760 --> 00:15:08.560]   I left Kaggle for about, yeah, that's the one.
[00:15:08.560 --> 00:15:09.100]   Yeah.
[00:15:09.100 --> 00:15:12.240]   Santa's so, so say six years ago.
[00:15:12.240 --> 00:15:13.680]   So that was my first competition.
[00:15:13.680 --> 00:15:15.680]   I got so scared of Kaggle.
[00:15:15.680 --> 00:15:20.960]   I felt like this place was so daunting and I left and it's my biggest regret.
[00:15:20.960 --> 00:15:24.680]   Anyone who's starting out with Kaggle, don't give up, just stick with it
[00:15:24.680 --> 00:15:27.000]   because it's the best place to learn.
[00:15:27.000 --> 00:15:31.080]   And I really regret leaving Kaggle for a few years.
[00:15:31.080 --> 00:15:33.280]   So I went off, did my own thing.
[00:15:33.760 --> 00:15:37.280]   I got buried in a hole of deep reinforcement learning and
[00:15:37.280 --> 00:15:38.720]   all sorts of other projects.
[00:15:38.720 --> 00:15:42.840]   I've, you know, I did a few, I think I tried to do some course courses.
[00:15:42.840 --> 00:15:45.400]   I think I started Andrew Ng's course probably about four
[00:15:45.400 --> 00:15:46.800]   times and never finished it.
[00:15:46.800 --> 00:15:52.680]   Um, and then probably about three years ago, there was a competition, the
[00:15:52.680 --> 00:15:55.360]   TGS salt identification challenge.
[00:15:55.360 --> 00:16:00.200]   Um, so that, that was interesting for me because it had a bit of geophysics.
[00:16:00.200 --> 00:16:05.600]   So I was familiar with the data through work and I just watched, um, all of the
[00:16:05.600 --> 00:16:11.440]   fast AI languages, uh, fast AI lectures on convolution neural nets.
[00:16:11.440 --> 00:16:13.400]   So, okay, let's give this a go.
[00:16:13.400 --> 00:16:19.040]   So I think I finished just outside the bronze, bronze medal territory, but I
[00:16:19.040 --> 00:16:20.680]   was fully committed to this competition.
[00:16:20.680 --> 00:16:21.840]   Like there were three months.
[00:16:21.840 --> 00:16:24.240]   I just really focused on this competition.
[00:16:24.240 --> 00:16:26.400]   So this was your addiction point?
[00:16:26.400 --> 00:16:27.960]   If I may, this is the addiction point.
[00:16:27.960 --> 00:16:28.960]   This is the turning point.
[00:16:28.960 --> 00:16:31.800]   And, um, at this point I was using TensorFlow.
[00:16:31.800 --> 00:16:34.240]   So I built a U-net from scratch.
[00:16:34.240 --> 00:16:35.920]   I built a ResNet from scratch.
[00:16:35.920 --> 00:16:41.200]   I was reading papers with, um, I built with spatial and squeeze,
[00:16:41.200 --> 00:16:43.560]   channel squeeze excitation block.
[00:16:43.560 --> 00:16:45.760]   So those are the bits that are inefficient net these days.
[00:16:45.760 --> 00:16:47.840]   Built all of that from scratch.
[00:16:47.840 --> 00:16:51.320]   Um, just finished outside the top 10% and that's when the addiction started.
[00:16:51.320 --> 00:16:56.640]   And I was looking, when the competition finished, I looked back and I said, wow,
[00:16:56.680 --> 00:17:01.440]   I've learned more in those three months than I did in the previous three years.
[00:17:01.440 --> 00:17:03.400]   I thought, oh, well, this is amazing.
[00:17:03.400 --> 00:17:04.360]   I'm going to stick to this.
[00:17:04.360 --> 00:17:06.520]   And then that's when the addiction started.
[00:17:06.520 --> 00:17:09.240]   So been, been competing ever since then.
[00:17:09.240 --> 00:17:13.080]   Yeah, it's, it's been an incredible journey for you.
[00:17:13.080 --> 00:17:17.360]   I was looking at your profile and since then you've made it to the top hundred.
[00:17:17.360 --> 00:17:19.520]   I, again, like it's, it's so incredible.
[00:17:19.520 --> 00:17:23.320]   I think like people really underestimated, like these are the best of the best
[00:17:23.320 --> 00:17:26.040]   competing on the leaderboard and you made it to the top hundred.
[00:17:26.040 --> 00:17:29.600]   You have two gold medals, eight silver medals.
[00:17:29.600 --> 00:17:34.200]   Uh, one thing I'm curious about is you've competed according to the, uh,
[00:17:34.200 --> 00:17:37.280]   stats that show up against your profile, 90% solo.
[00:17:37.280 --> 00:17:39.880]   So like, is there any reason like you compete solo?
[00:17:39.880 --> 00:17:43.920]   So yeah, I've competed twice.
[00:17:43.920 --> 00:17:47.600]   In fact, it's something that I want to try to get into more.
[00:17:47.600 --> 00:17:50.400]   I want to, is my new year's resolution this year to team up more.
[00:17:50.400 --> 00:17:54.920]   But, um, the two times I've teamed up, it's been really enjoyable.
[00:17:55.320 --> 00:17:57.840]   I've learned so much from it, but it's very intense.
[00:17:57.840 --> 00:18:00.400]   You know, if you don't want to be that person in the team, who's
[00:18:00.400 --> 00:18:01.760]   not pulling your weight, right?
[00:18:01.760 --> 00:18:07.680]   So if I like, for example, in this, the common lit competition, I was actually
[00:18:07.680 --> 00:18:10.840]   away for the last few weeks of the competition, so I didn't want to team
[00:18:10.840 --> 00:18:13.720]   up with someone and disappear for the last week of the competition.
[00:18:13.720 --> 00:18:19.960]   So, um, I like, I kind of liked the freedom of being solo, but it is, I do
[00:18:19.960 --> 00:18:24.360]   want to team up more going forward because, you know, you learn so much
[00:18:24.360 --> 00:18:28.800]   from other people and that additional intensity when you're in a team is,
[00:18:28.800 --> 00:18:35.000]   is actually really good, but it's, yeah, it's unintentional that I am a solo person.
[00:18:35.000 --> 00:18:36.240]   Yeah.
[00:18:36.240 --> 00:18:37.920]   My, my experience has been the same.
[00:18:37.920 --> 00:18:41.920]   Like I've, my like achievements come through just like incredible teammates
[00:18:41.920 --> 00:18:46.520]   and unlike what I expected, I don't need to be at a level people are like very
