
[00:00:00.000 --> 00:00:18.840]   welcome everybody thanks for showing up bright and early this morning we're gonna make your
[00:19:40.240 --> 00:19:50.000]   it's back up okay cool um so yeah where we were in the notebook on the left here is um hopefully all of
[00:19:50.000 --> 00:20:01.600]   your uh data stores have loaded now um yes so assuming you had wi-fi to upload them uh these are the ones i just
[00:20:01.600 --> 00:20:06.880]   loaded in the workshop earlier and then in the notebook on the left you can see um that you can
[00:20:06.880 --> 00:20:12.480]   access these files uh through the api just the same as you can through the gui and then you can have the
[00:20:12.480 --> 00:20:19.120]   document metadata like when it was created the name uh the status of the ingestion and now we're going to
[00:20:19.120 --> 00:20:25.360]   create our agent uh so over here we have our system prompt uh this is kind of just our default system
[00:20:25.360 --> 00:20:31.920]   prompt that the agents are loaded with and then you can run this next block of code here on the left
[00:20:31.920 --> 00:20:38.800]   to set up your agent you can change the name if you'd like i called it demo-aie and then in on the right
[00:20:38.800 --> 00:20:45.120]   in our gui if you click on agents uh there it is there's my new agent right here that i just created
[00:20:45.840 --> 00:20:54.640]   and um and then you can put in your question based on these documents so for example um one question
[00:20:54.640 --> 00:21:03.360]   that we can ask is what was nvidia's annual revenue by fiscal year 2022 to 2025 and so uh what you'll
[00:21:03.360 --> 00:21:10.400]   notice here is we have our responses what we were provided was quarterly data so what the agent is
[00:21:10.400 --> 00:21:16.240]   doing is adding that up and then listing it here on the right and then noting that this is based on
[00:21:16.240 --> 00:21:20.880]   quarterly data and then you'll see these little numbers in a circle the two and the one so if you
[00:21:20.880 --> 00:21:29.440]   click on the two here you'll actually see the image that this data came from and similarly if you click
[00:21:29.440 --> 00:21:34.960]   on one you'll see the other image so interestingly this came from two separate files that were unrelated
[00:21:34.960 --> 00:21:39.200]   in any way they actually don't even have like a standard naming convention for these i pulled these
[00:21:39.200 --> 00:21:45.440]   from the nvidia financial reports website and it knew to reference those documents to pull that
[00:21:45.440 --> 00:21:52.160]   information across documents and then you can do the same exact thing that we just did in the gui
[00:21:52.160 --> 00:21:58.960]   programmatically so here in step four we're running our query uh and we're getting the exact same
[00:21:58.960 --> 00:22:05.120]   response in the api so this can make it easier to integrate it into your um into your application
[00:22:05.120 --> 00:22:14.480]   and so we can also here visualize which files were used to reference in the api and so now we're printing
[00:22:14.480 --> 00:22:22.560]   the documents here the base64 encoding is getting returned with another api query so just because it's
[00:22:22.560 --> 00:22:31.280]   a more fun and visual demo uh we'll ask the next few questions via the gui here so uh nvidia used to
[00:22:31.280 --> 00:22:39.120]   be a gaming compute company so i'm gonna ask the chat bot when did nvidia's data center revenue overtake gaming revenue
[00:22:39.680 --> 00:22:51.520]   and so um the crossover point was in q1 fiscal year 23 uh with data center revenue at 3.7 million and gaming
[00:22:51.520 --> 00:22:59.600]   revenue at 3.6 and then here i can click on the one here so that's q1 fiscal year 23 and we can look at our
[00:22:59.600 --> 00:23:08.880]   slide here and here it is that's actually like the exact crossover point where uh data center revenue overtook gaming revenue
[00:23:08.880 --> 00:23:16.880]   now we're going to look at the spurious correlation files uh that we've also loaded so for those of you
[00:23:16.880 --> 00:23:24.080]   unfamiliar this is a website that uh basically data crawls and finds correlations between things that have
[00:23:24.080 --> 00:23:31.120]   no correlation so we're searching for what's the correlation between the distance uh between neptune
[00:23:31.120 --> 00:23:38.320]   and the sun and burglary burglary rates in the us that would be some extreme astrology there if that
[00:23:38.320 --> 00:23:46.160]   actually determined burglary rates and so what you'll find is that our rag system that's really really
[00:23:46.160 --> 00:23:52.320]   focused on avoiding hallucinations um and really following the data that you've loaded it will give
[00:23:52.320 --> 00:23:58.800]   you that correlation coefficient which is very high but then it will also share that context um so
[00:23:58.800 --> 00:24:05.200]   otherwise elsewhere in the document they talk about how they're doing data dredging and um that this is not
[00:24:05.200 --> 00:24:12.240]   really a valid statistical correlation and so you can then also reference where in that document these claims
[00:24:12.240 --> 00:24:22.800]   are made both the statistical correlation and the uh and the caveats which are not loading i think from wi-fi
[00:24:22.800 --> 00:24:31.760]   issues but you can test this out in your own instance uh as well um we have another fun one that was uh what's the
[00:24:31.760 --> 00:24:38.880]   correlation between global revenue generated by unilever group and google searches for lost my wallet that's
[00:24:38.880 --> 00:24:45.760]   another spurious correlation that we loaded and it will do the same thing it will give you the actual answer
[00:24:45.760 --> 00:24:53.680]   and then note the caveats and i'll note that if you run these same queries in chat gpt here on the right
[00:24:53.680 --> 00:25:00.240]   if you just ask the question without any files not doing rag it will just start with telling you there's
[00:25:00.240 --> 00:25:05.680]   no meaningful correlation we know that's true but think about if your own documents don't follow
[00:25:05.680 --> 00:25:10.560]   conventional wisdom or have some information that's not out there it's going to argue with the information
[00:25:10.560 --> 00:25:18.000]   in your documents rather than presenting it even though it may not be may not actually be true in this case
[00:25:18.000 --> 00:25:26.560]   and then if you do a document upload and use the long context in chat gpt you will get that response of the
[00:25:26.560 --> 00:25:33.600]   actual correlation but then it will just say it's a spurious correlation and it won't really go into why
[00:25:33.600 --> 00:25:39.280]   so it's not really going to um you know a simple system like this is not really going to hew to the
[00:25:39.280 --> 00:25:50.160]   facts that you've presented it with um and uh for a fun question we just searched about uh global revenue from
[00:25:50.160 --> 00:25:56.320]   unilever group and google searches for lost my wallet does this imply that unilever group's revenue is
[00:25:56.320 --> 00:26:03.520]   derived from lost wallets and it will answer no that's not true um which we know and then if we ask
[00:26:03.520 --> 00:26:09.520]   another query that relates to different documents that don't have any information shared between them
[00:26:09.520 --> 00:26:14.800]   now we're looking at the correlation between the distance between neptune and the sun and global revenue
[00:26:14.800 --> 00:26:19.680]   generated by unilever group and it will not answer that question it will just say it does not have
[00:26:19.680 --> 00:26:27.360]   that information and so you know these are all uh pretty straightforward questions and answers but um
[00:26:27.360 --> 00:26:34.880]   you set up with our default settings but if you go to your agent and you click on edit in the admin panel
[00:26:34.880 --> 00:26:40.960]   there's actually a lot that you can change if you know for example that last question i asked if there was
[00:26:40.960 --> 00:26:45.920]   data that supported it and it wasn't found or something uh you can check which data stores are
[00:26:45.920 --> 00:26:52.560]   linked so you can link multiple data stores you can adjust the system prompt and that is also something
[00:26:52.560 --> 00:26:59.520]   you can do via api that we'll go over briefly later there are some settings on query understanding so we
[00:26:59.520 --> 00:27:04.960]   disabled multi-turn in our setup just to have everyone have the same consistent responses as they're trying
[00:27:04.960 --> 00:27:14.400]   to make the workshop easier to follow um you can set up query expansion or decomposition uh you can set
[00:27:14.400 --> 00:27:21.520]   some retrieval settings settings settings for the re-ranker settings for the filter including the prompt
[00:27:21.520 --> 00:27:28.240]   generation settings and you can even set up a user experience where you have suggested queries for the user
[00:27:28.240 --> 00:27:39.120]   um and so uh going back to our notebook here um what we have next in the notebook is going to be
[00:27:39.120 --> 00:27:45.200]   examples of code for some of the components so these are the individual components that make up the
[00:27:45.200 --> 00:27:50.640]   full rag system we won't run through this in the workshop i'm just going to share what we have here
[00:27:50.640 --> 00:27:57.200]   before raj does a deeper dive into what these components can do so for each component we've shared a link
[00:27:57.200 --> 00:28:04.160]   to a full a more complete notebook that lets you use more features of that component we have our benchmarks
[00:28:04.160 --> 00:28:09.680]   that compare it to other solutions and then we have a little bit of example code that will run in the notebook
[00:28:09.680 --> 00:28:16.240]   to try out these components alone and you don't need to set up the it's the same api key that we set up before
[00:28:16.240 --> 00:28:22.000]   so everything will just run i will just say you want to uh let your file process before you display it
[00:28:22.000 --> 00:28:27.760]   but in this example we're just printing the first page of the attention is all you need paper we have
[00:28:27.760 --> 00:28:33.520]   our re-ranker which is the world's first instruction following re-ranker and that's also a standalone
[00:28:33.520 --> 00:28:39.040]   sub-component that you can use independently of the full platform we have our generate model that is
[00:28:39.040 --> 00:28:44.400]   according to the effect grounding benchmark the most grounded language model in the world
[00:28:44.400 --> 00:28:51.920]   that's available as a standalone component and here's some sample code for that and then after raj's deep
[00:28:51.920 --> 00:28:58.400]   dive on the platform and components we'll go over the lm unit the natural language unit testing model
[00:28:58.400 --> 00:29:09.360]   available as an endpoint that we will use for our evaluation so yeah back to raj for the next portion of
[00:29:09.360 --> 00:29:18.720]   the workshop all right yep all right i just need this one
[00:29:18.720 --> 00:29:26.080]   all right if anybody knows me i'd love to kind of talk and get into the technical pieces and
[00:29:26.080 --> 00:29:30.560]   what's going on a little bit deeper so this is useful for learning about contextual but if you're even
[00:29:30.560 --> 00:29:36.320]   building your own rag pipelines as well all these components come into play um to start with now
[00:29:37.600 --> 00:29:41.840]   to start with how many people have had issues with hallucinations in their rag pipelines
[00:29:41.840 --> 00:29:50.800]   it's just been a few have people not have issues not had issues okay yeah i think everybody yeah finds
[00:29:50.800 --> 00:29:56.960]   this now when we start thinking about hallucinations there's a couple of ways we can think about how to
[00:29:56.960 --> 00:30:05.280]   prevent them the first is making sure we retrieve clean information if we don't do a great job at extraction if we
[00:30:05.280 --> 00:30:10.160]   don't do a good job at retrieval well then we're not going to give good information to that generator
[00:30:10.160 --> 00:30:16.960]   model it makes it the generator model will then put its own we'll try to answer it itself leading to
[00:30:16.960 --> 00:30:23.440]   hallucinations so that's one big piece the next is that language model itself and we'll talk about that
[00:30:23.440 --> 00:30:29.520]   is how we can ground that language model so it refers back to the context that it was given rather than
[00:30:29.520 --> 00:30:35.600]   substituting its own judgment and then i want to talk about having some checks in place because even if
[00:30:35.600 --> 00:30:41.120]   you do that you still want your end users to be able to trust the system so i'll talk about groundness
[00:30:41.120 --> 00:30:47.200]   checks as well as you've already seen it inside the platform the bounding boxes for attribution as well
[00:30:49.200 --> 00:30:54.800]   so to start with when you first build your first rag project right you need to extract from some pdfs
[00:30:54.800 --> 00:31:01.360]   maybe you've used like an open source pdf extraction tool have folks used like open source extraction tools
[00:31:01.360 --> 00:31:08.160]   like that pdf plumber things like that not that many have people been happy with them in terms of how
[00:31:08.160 --> 00:31:17.360]   they've worked for tables and charts yeah it's the document on the left is the easy one right that's
[00:31:17.360 --> 00:31:23.680]   what you show in the demos but your folks are going to show up with complex tables multimodal and that's
[00:31:23.680 --> 00:31:30.400]   when it gets much trickier because when you get to these types of documents if you have a parsing error
[00:31:30.400 --> 00:31:36.080]   in that table and things get shifted over right that's going to cause problems that you can't fix later on
[00:31:37.280 --> 00:31:42.960]   if your vision language model hallucinates and adds some other information in there when it's reading
[00:31:42.960 --> 00:31:48.160]   that multimodal chart right you're stuck with that right like that's going to lead to downstream problems
[00:31:48.160 --> 00:31:53.760]   so making sure you have very good extraction is like top of the list when you get to complex documents
[00:31:53.760 --> 00:32:00.800]   and so this is this is how i like to think about kind of what we're doing at contextual right now
[00:32:00.800 --> 00:32:06.400]   it's an evolving system we update like every couple weeks the engineers probably don't exactly like
[00:32:06.400 --> 00:32:12.720]   how i've diagrammed it like this but at least for me the mental model works where say you have a pdf
[00:32:12.720 --> 00:32:18.720]   document the first thing we're going to do is add some metadata around it right like when was it created
[00:32:18.720 --> 00:32:26.240]   what's the file name once we have that then you want to do a layout analysis is this a document that's
[00:32:26.240 --> 00:32:34.720]   image only that we need to do an ocr for does it have images maybe technical descriptions multimodal charts
[00:32:34.720 --> 00:32:40.960]   graphs that we need to add image captioning where we're going to get a text description of those features
[00:32:40.960 --> 00:32:49.120]   if you have tables we have a special table extraction mode that focuses on getting high quality results out
[00:32:49.120 --> 00:32:55.360]   of tables now beyond that the structure of the document also carries meaningful information
[00:32:55.360 --> 00:33:02.160]   right what are the section headers what are the different subsections in there using that information
[00:33:02.160 --> 00:33:10.320]   can make your make your extraction and go a lot better now once we have that we create a nice markdown
[00:33:10.320 --> 00:33:17.440]   kind of json version of that i'll show you that in the platform here but then for rag use cases we're
[00:33:17.440 --> 00:33:22.000]   going to take those documents and we're going to chunk them down into smaller pieces to work with right
[00:33:22.000 --> 00:33:27.200]   because lms as much as the long context is growing you can't take some of these large documents and chunk
