
[00:00:00.040 --> 00:00:09.380]  的话
[00:05:23.960 --> 00:05:29.300]   mean.
[00:05:29.300 --> 00:05:29.660]   attend a de on in
[00:05:29.660 --> 00:05:33.200]  matic
[00:05:33.200 --> 00:05:34.080]   locker saker closesrica de be many high in herな pernah stained uh buld
[00:05:34.080 --> 00:05:47.780]  ó
[00:08:05.220 --> 00:08:05.220]   R.A.s have a number of other things that make them really really useful they just mentioned you can take out your contributions income tax free so if you need the money back out you can get it out which is useful and there's no penalty tax on those taking the contributions out one of the other big benefits of R.A.s is they don't have any required minimum distributions so unlike traditional I.R.A.s which require you to start taking money out at the age of seventy and a half or even twenty and a half is a good thing to do.
[00:08:22.080 --> 00:08:22.260]   I.
[00:08:22.300 --> 00:08:31.960]   perceive
[00:08:31.960 --> 00:08:33.260]   won calPP en so to be
[00:08:33.260 --> 00:08:50.840]   oh S from earned'dizations wrap there is a money that is the cé conjunction village determine comic談 improved, death, was, ,, ., ., ., ., ., ., ., ., ,, ., ., ., Mid won give her-- Sil named as espera wasn overboard caregiver shape and justệuire and Yoo storm stern lastedả clientsAA buy knownwood tailivers scored in Daniel pieces ofMm liberGE'll estab ІMat Frankieer i長 walls j Bret deserve И�네 Mom and hit theG letters of the З Iceland наmakers che threatened at the czł sorting의 custom tells function that can від é 101 she 50 Marcel de
[00:08:50.880 --> 00:09:02.060]   there
[00:09:02.060 --> 00:09:18.680]   fill it .ег g edому surroundings、為, contra, but, with,lik, or, 2021, provides, nivel,군,ogn,pl, персон, Pir, 아마, in, convincing, buy, change,服, �, nasty, sunt, management, area, missed, Vol. nouveaux in the force. Mad, made.kan. r. ridiculously, MTV.
[00:10:15.380 --> 00:10:15.380]   and, no further contributions to the account. Well, in 80 years, that $5,000 contribution could be worth $2,359,000 under that, under those assumptions. 80 years is a long time.
[00:11:40.660 --> 00:11:50.500]   until
[00:11:50.500 --> 00:11:50.940]  master, no,
[00:11:50.940 --> 00:11:54.900]   level Slow Yes Song Find y, and, an, is an, in, was, in, integrity, don,,,,,,,,,,,,,
[00:11:54.900 --> 00:11:55.300]   herd Jonas want Ed Hot � Hoff I_ Mark quickly lav Mak torso
[00:12:09.260 --> 00:12:19.020]  實
[00:12:19.020 --> 00:12:19.600]  , in the, I I
[00:12:19.600 --> 00:12:27.280]   protected och
[00:12:38.000 --> 00:12:45.400]   was
[00:12:45.400 --> 00:12:52.220]   attend the,,,22
[00:14:52.660 --> 00:14:52.660]   and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
[00:14:52.660 --> 00:14:52.660]   and usually the concern is not the child's Roth IRA contribution. Usually the concern is the deduction on behalf of the business. So if you hire your children in your business, you want to make sure that you keep good books and records about their activities. You don't turn around and pay them $100 an hour for stuffing envelopes. You pay them a reasonable wage that you would have to pay anybody for.
[00:14:52.700 --> 00:15:02.700]  'm
[00:15:02.700 --> 00:15:03.720]   core, and,
[00:15:03.720 --> 00:15:20.240]   marked the guy who he is the tickets to the end of L因 But Mi F G Div.."
[00:15:49.460 --> 00:15:49.460]   The end of L因 But Mi F G Div.."
[00:15:49.460 --> 00:15:49.460]   The end of L因 But Mi F G Div.."
[00:15:49.460 --> 00:15:49.460]   The end of L因 But Mi F G Div.."
[00:15:49.460 --> 00:15:49.460]   The end of L因 But Mi F G Div.."
[00:15:49.460 --> 00:15:49.460]   The end of L因 But Mi F G Div.."
[00:15:49.460 --> 00:15:49.460]   The end of L因 But Mi F G Div.."
[00:15:49.460 --> 00:15:49.720]   The end of L因 But Mi F G Div.."
[00:15:49.720 --> 00:15:49.760]   The end of L因 But Mi F G Div.."
[00:15:49.760 --> 00:15:49.800]   the end of L因 But Mi F G Div.."
[00:16:18.260 --> 00:16:46.640]   The end of L因 But Mi F G Div.."
[00:16:46.640 --> 00:16:46.680]   The end of L因 But Mi F G Div.."
[00:16:46.680 --> 00:16:46.720]   The end of L因 But Mi F G Div.."
[00:16:46.720 --> 00:16:46.780]   The end of L因 But Mi F G Div.."
[00:16:46.780 --> 00:16:46.820]   The end of L因 But Mi F G Div.."
[00:16:46.820 --> 00:16:46.880]   The end of L因 But Mi F G Div.."
[00:16:46.880 --> 00:16:46.960]   The end of L因 But Mi F G Div.."
[00:16:46.960 --> 00:16:47.000]   The end of L因 But Mi F G Div.."
[00:16:47.000 --> 00:16:47.020]   The end of L因 But Mi F G Div.."
[00:16:47.020 --> 00:16:47.060]   The end of L因 But Mi F G Div.."
[00:16:47.060 --> 00:16:47.100]   The end of L因 But Mi F G Div.."
[00:16:47.100 --> 00:16:47.160]   The end of L因 But Mi F G Div.."
[00:16:47.160 --> 00:16:47.200]   The end of L因 But Mi F G Div..
[00:16:47.200 --> 00:16:47.200]   The end of L因 But Mi F G Div..
[00:16:47.200 --> 00:16:47.240]   The end of Lins But I write the child's Roth IRA.
[00:16:47.240 --> 00:16:47.280]   Something that's good.
[00:16:47.280 --> 00:17:16.420]   It's not as great.
[00:17:16.420 --> 00:17:16.480]   It's not the best, but it's still good.
[00:17:16.520 --> 00:17:18.520]   so
[00:17:18.520 --> 00:17:30.020]   e the in these
[00:17:30.020 --> 00:17:44.800]   asked tiny
[00:18:13.320 --> 00:18:13.320]   and then have your parents give you a $7,000 gift.
[00:18:13.320 --> 00:18:13.320]   and then have your parents give you a $7,000 gift.
[00:18:13.320 --> 00:18:13.320]   and then have your parents give you a $7,000 gift.
[00:18:41.740 --> 00:18:41.780]   I'm not sure if I'm going to be able to do this.
[00:18:41.780 --> 00:18:41.880]   I'm not sure if I'm going to be able to do this.
[00:18:41.880 --> 00:18:41.980]   I'm not sure if I'm going to be able to do this.
[00:18:41.980 --> 00:18:42.180]   I'm not sure if I'm going to be able to do this.
[00:18:42.180 --> 00:18:42.280]   I'm not sure if I'm going to be able to do this.
[00:18:42.280 --> 00:18:42.380]   I'm not sure if I'm going to be able to do this.
[00:18:42.380 --> 00:18:42.480]   I'm not sure if I'm going to be able to do this.
[00:18:42.480 --> 00:18:42.580]   I'm not sure if I'm going to be able to do this.
[00:18:42.580 --> 00:18:42.700]   I'm not sure if I'm going to be able to do this.
[00:18:42.700 --> 00:18:42.800]   I'm not sure if I'm going to be able to do this.
[00:18:42.800 --> 00:18:42.940]   I'm not sure if I'm going to be able to do this.
[00:18:42.940 --> 00:18:43.080]   I'm not sure if I'm going to be able to do this.
[00:18:43.180 --> 00:19:13.200]  , but as long as you have a trustworthy relationship,
[00:19:13.200 --> 00:19:13.200]   I'm not sure if I'm going to be able to do this.
[00:19:13.200 --> 00:19:13.200]   I'm not sure if I'm going to be able to do this.
[00:19:13.200 --> 00:19:13.200]   I'm not sure if I'm going to be able to do this.
[00:19:13.200 --> 00:19:13.200]   I'm not sure if I'm going to be able to do this.
[00:19:13.200 --> 00:19:13.200]   I'm not sure if I'm going to be able to do this.
[00:19:13.200 --> 00:19:13.200]   I'm not sure if I'm going to be able to do this.
[00:19:13.200 --> 00:19:13.200]   I'm not sure if I'm going to be able to do this.
[00:19:13.200 --> 00:19:13.200]   I'm not sure if I'm going to be able to do this.
[00:19:13.220 --> 00:19:43.220]   I'm not sure if I'm going to be able to do this.
[00:19:43.220 --> 00:19:43.220]   I'm not sure if I'm going to be able to do this.
[00:19:43.220 --> 00:19:43.220]   I'm not sure if I'm going to be able to do this.
[00:19:43.220 --> 00:19:43.220]   I'm not sure if I'm going to be able to do this.
[00:19:43.220 --> 00:19:43.220]   I'm not sure if I'm going to be able to do this.
[00:19:43.220 --> 00:19:43.220]   I'm not sure if I'm going to be able to do this.
[00:19:43.220 --> 00:19:43.220]   I'm not sure if I'm going to be able to do this.
[00:19:43.220 --> 00:19:43.220]   I'm not sure if I'm going to be able to do this.
[00:19:43.220 --> 00:19:43.220]   I'm not sure if I'm going to be able to do this.
[00:19:43.220 --> 00:19:43.220]   I'm not sure if I'm going to be able to do this.
[00:19:43.220 --> 00:19:43.220]   I'm not sure if I'm going to be able to do this.
[00:19:43.220 --> 00:19:43.220]   I'm not sure if I'm going to be able to do this.
[00:19:43.260 --> 00:20:13.240]  ,
[00:20:13.240 --> 00:20:13.240]   I'm not sure if I'm going to be able to do this.
[00:20:13.240 --> 00:20:13.240]   I'm not sure if I'm going to be able to do this.
[00:20:13.240 --> 00:20:13.240]   I'm not sure if I'm going to be able to do this.
[00:20:13.240 --> 00:20:13.240]   I'm not sure if I'm going to be able to do this.
[00:20:13.240 --> 00:20:13.240]   I'm not sure if I'm going to be able to do this.
[00:20:13.240 --> 00:20:13.240]   I'm not sure if I'm going to be able to do this.
[00:20:13.240 --> 00:20:13.240]   I'm not sure if I'm going to be able to do this.
[00:20:13.240 --> 00:20:13.240]   I'm not sure if I'm going to be able to do this.
[00:20:13.240 --> 00:20:13.240]   I'm not sure if I'm going to be able to do this.
[00:20:13.240 --> 00:20:13.240]   I'm not sure if I'm going to be able to do this.
[00:20:13.260 --> 00:20:43.260]   I'm not sure if I'm going to be able to do this.
[00:20:43.260 --> 00:20:43.260]   I'm not sure if I'm going to be able to do this.
[00:20:43.260 --> 00:20:43.260]   I'm not sure if I'm going to be able to do this.
[00:20:43.260 --> 00:20:43.260]   I'm not sure if I'm going to be able to do this.
[00:20:43.260 --> 00:20:43.260]   I'm not sure if I'm going to be able to do this.
[00:20:43.260 --> 00:20:43.260]   I'm not sure if I'm going to be able to do this.
[00:20:43.260 --> 00:20:43.260]   I'm not sure if I'm going to be able to do this.
[00:20:43.260 --> 00:20:43.260]   I'm not sure if I'm going to be able to do this.
[00:20:43.260 --> 00:20:43.260]   I'm not sure if I'm going to be able to do this.
[00:20:43.260 --> 00:20:43.260]   I'm not sure if I'm going to be able to do this.
[00:20:43.260 --> 00:20:43.260]   I'm not sure if I'm going to be able to do this.
[00:20:43.260 --> 00:20:43.260]   I'm not sure if I'm going to be able to do this.
[00:20:43.280 --> 00:21:13.280]  ,
[00:21:13.280 --> 00:21:13.280]   I'm not sure if I'm going to be able to do this.
[00:21:13.280 --> 00:21:13.280]   I'm not sure if I'm going to be able to do this.
[00:21:13.280 --> 00:21:13.280]   I'm not sure if I'm going to be able to do this.
[00:21:13.280 --> 00:21:13.280]   I'm not sure if I'm going to be able to do this.
[00:21:13.280 --> 00:21:13.280]   I'm not sure if I'm going to be able to do this.
[00:21:13.280 --> 00:21:13.280]   I'm not sure if I'm going to be able to do this.
[00:21:13.280 --> 00:21:13.280]   I'm not sure if I'm going to be able to do this.
[00:21:13.280 --> 00:21:13.280]   I'm not sure if I'm going to be able to do this.
[00:21:13.280 --> 00:21:13.280]   I'm not sure if I'm going to be able to do this.
[00:21:13.280 --> 00:21:13.280]   I'm not sure if I'm going to be able to do this.
[00:21:13.300 --> 00:21:43.300]   I'm not sure if I'm going to be able to do this.
[00:21:43.300 --> 00:21:43.300]   I'm not sure if I'm going to be able to do this.
[00:21:43.300 --> 00:21:43.300]   I'm not sure if I'm going to be able to do this.
[00:21:43.300 --> 00:21:43.300]   I'm not sure if I'm going to be able to do this.
[00:21:43.300 --> 00:21:43.300]   I'm not sure if I'm going to be able to do this.
[00:21:43.300 --> 00:21:43.300]   I'm not sure if I'm going to be able to do this.
[00:21:43.300 --> 00:21:43.300]   I'm not sure if I'm going to be able to do this.
[00:21:43.300 --> 00:21:43.300]   I'm not sure if I'm going to be able to do this.
[00:21:43.300 --> 00:21:43.300]   I'm not sure if I'm going to be able to do this.
[00:21:43.300 --> 00:21:43.300]   I'm not sure if I'm going to be able to do this.
[00:21:43.300 --> 00:21:43.300]   I'm not sure if I'm going to be able to do this.
[00:21:43.300 --> 00:22:13.320]  ,
[00:22:13.320 --> 00:22:13.320]   I'm not sure if I'm going to be able to do this.
[00:22:13.320 --> 00:22:13.320]   I'm not sure if I'm going to be able to do this.
[00:22:13.320 --> 00:22:13.320]   I'm not sure if I'm going to be able to do this.
[00:22:13.320 --> 00:22:13.320]   I'm not sure if I'm going to be able to do this.
[00:22:13.320 --> 00:22:13.320]   I'm not sure if I'm going to be able to do this.
[00:22:13.320 --> 00:22:13.320]   I'm not sure if I'm going to be able to do this.
[00:22:13.320 --> 00:22:13.320]   I'm not sure if I'm going to be able to do this.
[00:22:13.320 --> 00:22:13.320]   I'm not sure if I'm going to be able to do this.
[00:22:13.320 --> 00:22:13.320]   if I'm not sure if I'm going to do this.
[00:22:13.340 --> 00:22:43.340]   I'm not sure if I'm going to be able to do this.
[00:22:43.340 --> 00:22:43.340]   I'm not sure if I'm going to be able to do this.
[00:22:43.340 --> 00:22:43.340]   I'm not sure if I'm going to be able to do this.
[00:22:43.340 --> 00:22:43.340]   I'm not sure if I'm going to be able to do this.
[00:22:43.340 --> 00:22:43.340]   I'm not sure if I'm going to be able to do this.
[00:22:43.340 --> 00:22:43.340]   I'm not sure if I'm going to be able to do this.
[00:22:43.340 --> 00:22:43.340]   I'm not sure if I'm going to be able to do this.
[00:22:43.340 --> 00:22:43.340]   I'm not sure if I'm going to be able to do this.
[00:22:43.340 --> 00:22:43.340]   I'm not sure if I'm going to be able to do this.
[00:22:43.340 --> 00:22:43.340]   I'm not sure if I'm going to be able to do this.
[00:22:43.340 --> 00:22:43.340]   I'm not sure if I'm going to be able to do this.
[00:22:43.340 --> 00:22:43.340]   I'm not sure if I'm going to be able to do this.
[00:22:43.340 --> 00:23:13.360]   I'm not sure if I'm going to be able to do this.
[00:23:13.360 --> 00:23:13.360]   I'm not sure if I'm going to be able to do this.
[00:23:13.360 --> 00:23:13.360]   I'm not sure if I'm going to be able to do this.
[00:23:13.360 --> 00:23:13.360]   I'm not sure if I'm going to be able to do this.
[00:23:13.360 --> 00:23:13.360]   I'm not sure if I'm going to be able to do this.
[00:23:13.360 --> 00:23:13.360]   I'm not sure if I'm going to be able to do this.
[00:23:13.360 --> 00:23:13.360]   I'm not sure if I'm going to be able to do this.
[00:23:13.360 --> 00:23:13.360]   I'm not sure if I'm going to be able to do this.
[00:23:13.360 --> 00:23:13.360]   I'm not sure if I'm going to be able to do this.
[00:23:13.360 --> 00:23:13.360]   I'm not sure if I'm going to be able to do this.
[00:23:13.360 --> 00:23:13.360]   I'm not sure if I'm going to be able to do this.
[00:23:13.360 --> 00:23:13.360]   I'm not sure if I'm going to be able to do this.
[00:23:13.380 --> 00:23:43.380]   I'm not sure if I'm going to be able to do this.
[00:23:43.380 --> 00:23:43.380]   I'm not sure if I'm going to be able to do this.
[00:23:43.380 --> 00:23:43.380]   I'm not sure if I'm going to be able to do this.
[00:23:43.380 --> 00:23:43.380]   I'm not sure if I'm going to be able to do this.
[00:23:43.380 --> 00:23:43.380]   I'm not sure if I'm going to be able to do this.
[00:23:43.380 --> 00:23:43.380]   I'm not sure if I'm going to be able to do this.
[00:23:43.380 --> 00:23:43.380]   I'm not sure if I'm going to be able to do this.
[00:23:43.380 --> 00:23:43.380]   I'm not sure if I'm going to be able to do this.
[00:23:43.380 --> 00:23:43.380]   I'm not sure if I'm going to be able to do this.
[00:23:43.380 --> 00:23:43.380]   I'm not sure if I'm going to be able to do this.
[00:23:43.380 --> 00:23:43.380]   I'm not sure if I'm going to be able to do this.
[00:23:43.380 --> 00:23:43.380]   I'm not sure if I'm going to be able to do this.
[00:23:43.380 --> 00:24:13.400]  ,
[00:24:13.400 --> 00:24:13.400]   I'm not sure if I'm going to be able to do this.
[00:24:13.400 --> 00:24:13.400]   I'm not sure if I'm going to be able to do this.
[00:24:13.400 --> 00:24:13.400]   I'm not sure if I'm going to be able to do this.
[00:24:13.400 --> 00:24:13.400]   I'm not sure if I'm going to be able to do this.
[00:24:13.400 --> 00:24:13.400]   I'm not sure if I'm going to be able to do this.
[00:24:13.400 --> 00:24:13.400]   I'm not sure if I'm going to be able to do this.
[00:24:13.400 --> 00:24:13.400]   I'm not sure if I'm going to be able to do this.
[00:24:13.400 --> 00:24:13.400]   I'm not sure if I'm going to be able to do this.
[00:24:13.400 --> 00:24:13.400]   I'm not sure if I'm going to be able to do this.
[00:24:13.400 --> 00:24:13.400]   I'm not sure if I'm going to be able to do this.
[00:24:13.400 --> 00:24:13.400]   I'm not sure if I'm going to be able to do this.
[00:24:13.400 --> 00:24:13.400]   I'm not sure if I'm going to be able to do this.
[00:24:13.420 --> 00:24:43.420]   I'm not sure if I'm going to be able to do this.
[00:24:43.420 --> 00:24:43.420]   I'm not sure if I'm going to be able to do this.
[00:24:43.420 --> 00:24:43.420]   I'm not sure if I'm going to be able to do this.
[00:24:43.420 --> 00:24:43.420]   I'm not sure if I'm going to be able to do this.
[00:24:43.420 --> 00:24:43.420]   I'm not sure if I'm going to be able to do this.
[00:24:43.420 --> 00:24:43.420]   I'm not sure if I'm going to be able to do this.
[00:24:43.420 --> 00:24:43.420]   I'm not sure if I'm going to be able to do this.
[00:24:43.420 --> 00:24:43.420]   I'm not sure if I'm going to be able to do this.
[00:24:43.420 --> 00:24:43.420]   I'm not sure if I'm going to be able to do this.
[00:24:43.420 --> 00:24:43.420]   I'm not sure if I'm going to be able to do this.
[00:24:43.420 --> 00:24:43.420]   I'm not sure if I'm going to be able to do this.
[00:24:43.420 --> 00:24:43.420]   I'm not sure if I'm going to be able to do this.
[00:25:13.440 --> 00:25:13.440]   I'm not sure if I'm going to be able to do this.
[00:25:13.440 --> 00:25:13.440]   I'm not sure if I'm going to be able to do this.
[00:25:13.440 --> 00:25:13.440]   I'm not sure if I'm going to be able to do this.
[00:25:13.440 --> 00:25:13.440]   I'm not sure if I'm going to be able to do this.
[00:25:13.440 --> 00:25:13.440]   I'm not sure if I'm going to be able to do this.
[00:25:13.440 --> 00:25:13.440]   I'm not sure if I'm going to be able to do this.
[00:25:13.440 --> 00:25:13.440]   I'm not sure if I'm going to be able to do this.
[00:25:13.440 --> 00:25:13.440]   I'm not sure if I'm going to be able to do this.
[00:25:13.440 --> 00:25:13.440]   I'm not sure if I'm going to be able to do this.
[00:25:13.440 --> 00:25:13.440]   I'm not sure if I'm going to be able to do this.
[00:25:13.440 --> 00:25:13.440]   I'm not sure if I'm going to be able to do this.
[00:25:43.460 --> 00:25:43.460]   I'm not sure if I'm going to be able to do this.
[00:25:43.460 --> 00:25:43.460]   I'm not sure if I'm going to be able to do this.
[00:25:43.460 --> 00:25:43.460]   I'm not sure if I'm going to be able to do this.
[00:25:43.460 --> 00:25:43.460]   I'm not sure if I'm going to be able to do this.
[00:25:43.460 --> 00:25:43.460]   I'm not sure if I'm going to be able to do this.
[00:25:43.460 --> 00:25:43.460]   I'm not sure if I'm going to be able to do this.
[00:25:43.460 --> 00:25:43.460]   I'm not sure if I'm going to be able to do this.
[00:25:43.460 --> 00:25:43.460]   I'm not sure if I'm going to be able to do this.
[00:25:43.460 --> 00:25:43.460]   I'm not sure if I'm going to be able to do this.
[00:25:43.460 --> 00:25:43.460]   I'm not sure if I'm going to be able to do this.
[00:25:43.500 --> 00:26:13.480]   I'm not sure if I'm going to be able to do this.
[00:26:13.480 --> 00:26:13.480]   I'm not sure if I'm going to be able to do this.
[00:26:13.480 --> 00:26:13.480]   I'm not sure if I'm going to be able to do this.
[00:26:13.480 --> 00:26:13.480]   I'm not sure if I'm going to be able to do this.
[00:26:13.480 --> 00:26:13.480]   I'm not sure if I'm going to be able to do this.
[00:26:13.480 --> 00:26:13.480]   I'm not sure if I'm going to be able to do this.
[00:26:13.480 --> 00:26:13.480]   I'm not sure if I'm going to be able to do this.
[00:26:13.480 --> 00:26:13.480]   I'm not sure if I'm going to be able to do this.
[00:26:13.480 --> 00:26:13.480]   I'm not sure if I'm going to be able to do this.
[00:26:13.480 --> 00:26:13.480]   I'm not sure if I'm going to be able to do this.
[00:26:13.480 --> 00:26:13.480]   I'm not sure if I'm going to be able to do this.
[00:26:13.480 --> 00:26:13.480]   I'm not sure if I'm going to be able to do this.
[00:26:13.500 --> 00:26:43.500]   I'm not sure if I'm going to be able to do this.
[00:26:43.500 --> 00:26:43.500]   I'm not sure if I'm going to be able to do this.
[00:26:43.500 --> 00:26:43.500]   I'm not sure if I'm going to be able to do this.
[00:26:43.500 --> 00:26:43.500]   I'm not sure if I'm going to be able to do this.
[00:26:43.500 --> 00:26:43.500]   I'm not sure if I'm going to be able to do this.
[00:26:43.500 --> 00:26:43.500]   I'm not sure if I'm going to be able to do this.
[00:26:43.500 --> 00:26:43.500]   I'm not sure if I'm going to be able to do this.
[00:26:43.500 --> 00:26:43.500]   I'm not sure if I'm going to be able to do this.
[00:26:43.500 --> 00:26:43.500]   I'm not sure if I'm going to be able to do this.
[00:26:43.500 --> 00:26:43.500]   I'm not sure if I'm going to be able to do this.
[00:26:43.500 --> 00:26:43.500]   I'm not sure if I'm going to be able to do this.
[00:26:43.500 --> 00:26:43.500]   I'm not sure if I'm going to be able to do this.
[00:26:43.520 --> 00:27:13.520]   I'm not sure if I'm going to be able to do this.
[00:27:13.520 --> 00:27:13.520]   I'm not sure if I'm going to be able to do this.
[00:27:13.520 --> 00:27:13.520]   I'm not sure if I'm going to be able to do this.
[00:27:13.520 --> 00:27:13.520]   I'm not sure if I'm going to be able to do this.
[00:27:13.520 --> 00:27:13.520]   I'm not sure if I'm going to be able to do this.
[00:27:13.520 --> 00:27:13.520]   I'm not sure if I'm going to be able to do this.
[00:27:13.520 --> 00:27:13.520]   I'm not sure if I'm going to be able to do this.
[00:27:13.520 --> 00:27:13.520]   I'm not sure if I'm going to be able to do this.
[00:27:13.520 --> 00:27:13.520]   I'm not sure if I'm going to be able to do this.
[00:27:13.520 --> 00:27:13.520]   I'm not sure if I'm going to be able to do this.
[00:27:13.520 --> 00:27:13.520]   I'm not sure if I'm going to be able to do this.
[00:27:13.520 --> 00:27:13.520]   I'm not sure if I'm going to be able to do this.
[00:27:13.540 --> 00:27:43.540]   I'm not sure if I'm going to be able to do this.
[00:27:43.540 --> 00:27:43.540]   I'm not sure if I'm going to be able to do this.
[00:27:43.540 --> 00:27:43.540]   I'm not sure if I'm going to be able to do this.
[00:27:43.540 --> 00:27:43.540]   I'm not sure if I'm going to be able to do this.
[00:27:43.540 --> 00:27:43.540]   I'm not sure if I'm going to be able to do this.
[00:27:43.540 --> 00:27:43.540]   I'm not sure if I'm going to be able to do this.
[00:27:43.540 --> 00:27:43.540]   I'm not sure if I'm going to be able to do this.
[00:27:43.540 --> 00:27:43.540]   I'm not sure if I'm going to be able to do this.
[00:27:43.540 --> 00:27:43.540]   I'm not sure if I'm going to be able to do this.
[00:27:43.540 --> 00:27:43.540]   I'm not sure if I'm going to be able to do this.
[00:27:43.540 --> 00:27:43.540]   I'm not sure if I'm going to be able to do this.
[00:27:43.540 --> 00:27:43.540]   I'm not sure if I'm going to be able to do this.
[00:27:43.560 --> 00:28:13.560]   I'm not sure if I'm going to be able to do this.
[00:28:13.560 --> 00:28:13.560]   I'm not sure if I'm going to be able to do this.
[00:28:13.560 --> 00:28:13.560]   I'm not sure if I'm going to be able to do this.
[00:28:13.560 --> 00:28:13.560]   I'm not sure if I'm going to be able to do this.
[00:28:13.560 --> 00:28:13.560]   I'm not sure if I'm going to be able to do this.
[00:28:13.560 --> 00:28:13.560]   I'm not sure if I'm going to be able to do this.
[00:28:13.560 --> 00:28:13.560]   I'm not sure if I'm going to be able to do this.
[00:28:13.560 --> 00:28:13.560]   I'm not sure if I'm going to be able to do this.
[00:28:13.560 --> 00:28:13.560]   I'm not sure if I'm going to be able to do this.
[00:28:13.560 --> 00:28:13.560]   I'm not sure if I'm going to be able to do this.
[00:28:13.560 --> 00:28:13.560]   I'm not sure if I'm going to be able to do this.
[00:28:13.560 --> 00:28:13.560]   I'm not sure if I'm going to be able to do this.
[00:28:13.580 --> 00:28:43.580]   I'm not sure if I'm going to be able to do this.
[00:28:43.580 --> 00:28:43.580]   I'm not sure if I'm going to be able to do this.
[00:28:43.580 --> 00:28:43.580]   I'm not sure if I'm going to be able to do this.
[00:28:43.580 --> 00:28:43.580]   I'm not sure if I'm going to be able to do this.
[00:28:43.580 --> 00:28:43.580]   I'm not sure if I'm going to be able to do this.
[00:28:43.580 --> 00:28:43.580]   I'm not sure if I'm going to be able to do this.
[00:28:43.580 --> 00:28:43.580]   I'm not sure if I'm going to be able to do this.
[00:28:43.580 --> 00:28:43.580]   I'm not sure if I'm going to be able to do this.
[00:28:43.580 --> 00:28:43.580]   I'm not sure if I'm going to be able to do this.
[00:28:43.580 --> 00:28:43.580]   I'm not sure if I'm going to be able to do this.
[00:28:43.580 --> 00:28:43.580]   I'm not sure if I'm going to be able to do this.
[00:28:43.580 --> 00:28:43.580]   I'm not sure if I'm going to be able to do this.
[00:28:43.600 --> 00:29:13.600]   I'm not sure if I'm going to be able to do this.
[00:29:13.600 --> 00:29:13.600]   I'm not sure if I'm going to be able to do this.
[00:29:13.600 --> 00:29:13.600]   I'm not sure if I'm going to be able to do this.
[00:29:13.600 --> 00:29:13.600]   I'm not sure if I'm going to be able to do this.
[00:29:13.600 --> 00:29:13.600]   I'm not sure if I'm going to be able to do this.
