
[00:00:00.160 --> 00:00:04.640]   Capital One might not be the first issuer you think of when it comes to premium rewards,
[00:04:20.080 --> 00:04:24.960]   this card on the tier list, which is something I'll do for all cards, and I'm going to put this card at
[00:04:24.960 --> 00:04:30.880]   the A tier. Now, right out the gate, you've got a card that earns 2x transferable points on all purchases.
[00:04:30.880 --> 00:04:35.600]   That's awesome. The benefits are a little lacking. There's not a lot of other things, but you do get to
[00:04:35.600 --> 00:04:41.120]   transfer those points to over 15 different transfer partners of airlines and hotels, which is amazing.
[00:04:41.120 --> 00:04:45.600]   By the way, if you're not following along on YouTube, you can find a link to the tier list in
[00:04:45.600 --> 00:04:50.800]   the show notes and take a look at that picture as we're talking about this. So venture card, great.
[00:04:50.800 --> 00:04:56.800]   There's a couple variations of it, so I'm going to run through those also. There's the Venture One card,
[00:04:56.800 --> 00:05:03.680]   which is very similar in its name, in its look, except instead of earning 2x miles on everything,
[00:05:03.680 --> 00:05:10.480]   it earns 1.25x miles on everything. So way lower earning rate, not that competitive. The signup bonus
[00:05:10.480 --> 00:05:17.680]   is also a lot smaller, 20,000 points on $500 spend in three months, but it does come with a 0% intro APR
[00:05:17.680 --> 00:05:25.040]   for 15 months and recently has been added a $100 Capital One travel credit. Now, that's a pretty
[00:05:25.040 --> 00:05:31.680]   good signup bonus and offer and 0% intro APR for a card with no annual fee and no foreign transaction fees,
[00:05:31.680 --> 00:05:39.600]   but it's 1.25 miles on everything, not 2x like you would see with a venture card. It does also have
[00:05:39.600 --> 00:05:45.760]   that elevated 5x miles on hotels and rental cars when you book through Capital One travel, but given
[00:05:45.760 --> 00:05:52.560]   that 1.25 miles is just not as competitive as most cards out there, I'm going to put it down at B tier.
[00:05:52.560 --> 00:05:57.680]   Now, it's not a terrible earning rate. There are tons of people I meet who are using cards that earn just
[00:05:57.680 --> 00:06:03.840]   1x miles or points for their everything else purchases and with no annual fee, no foreign
[00:06:03.840 --> 00:06:09.360]   transaction fees. It's not a terrible card, but it's certainly not elevating itself to the S tier or the
[00:06:09.360 --> 00:06:15.120]   A tier. Now, there's another card called the Venture One card for good credit and Capital One does this
[00:06:15.120 --> 00:06:19.680]   thing sometimes where there's a version of a card and then there's a version for good credit and a version
[00:06:19.680 --> 00:06:25.120]   for students and even in some cases a version for fair credit. And you got to keep in mind that the cards
[00:06:25.120 --> 00:06:28.640]   actually look very similar. So you definitely want to make sure you're clicking the right one when
[00:06:28.640 --> 00:06:33.200]   you're looking around, but the features and the benefits change a little bit. So the Venture One
[00:06:33.200 --> 00:06:39.280]   rewards card for good credit is very similar to the Venture One card, except there's no signup bonus,
[00:06:39.280 --> 00:06:45.680]   there's no 0% intro APR, and there's no Capital One travel credit offer. So still that $0 annual fee,
[00:06:45.680 --> 00:06:51.040]   zero foreign transaction fee. For the purpose of the tier list in this episode, I'm not going to rank all of
[00:06:51.040 --> 00:06:56.320]   the for good credit for students versions of the cards. I'm just going to stick to the main cards as
[00:06:56.320 --> 00:07:02.480]   we go through. So next, let's talk about my first card with Capital One, which is the Venture X card.
[00:07:02.480 --> 00:07:07.520]   Now, this card was a big splash. Tons of marketing went into it. When they originally launched it,
[00:07:07.520 --> 00:07:12.800]   it had a welcome offer of 100,000 miles, which I know a lot of people were excited about. Right now,
[00:07:12.800 --> 00:07:20.160]   the welcome offer is 75,000 miles after spending $4,000 in three months from account opening. So
[00:07:20.160 --> 00:07:25.040]   same welcome offer you would get with the Venture card. The main difference between the Venture card
[00:07:25.040 --> 00:07:30.880]   and the Venture X card is all around the benefits you get. So you're still getting 2x miles on every
[00:07:30.880 --> 00:07:36.000]   purchase. But if you're spending in the Capital One travel portal, now you're going to get 10x miles on
[00:07:36.000 --> 00:07:42.160]   hotels and rental cars, and 5x miles on airfare and vacation rentals. It's probably worth pausing
[00:07:42.160 --> 00:07:47.520]   for a second to talk a little bit about travel portals. In general, the reason that I don't love
[00:07:47.520 --> 00:07:54.080]   travel portals is that when you book a flight, or you book a hotel room, often the airline or the hotel
[00:07:54.080 --> 00:08:00.320]   group is not going to allow you to directly manage those reservations with them. And they're going to kick
[00:08:00.320 --> 00:08:04.640]   you back and say, hey, if you need to change your flight, go to Capital One travel. Hey, if you need to
[00:08:04.640 --> 00:08:09.520]   cancel your hotel, go to Capital One travel. So on one hand, that's a little bit frustrating. On the
[00:08:09.520 --> 00:08:14.640]   other hand, if you can earn 10x miles on a rental car, or 5x miles on a flight, that can be really
[00:08:14.640 --> 00:08:19.520]   compelling. And so I would just keep in mind what type of trip you're taking, how likely it is that
[00:08:19.520 --> 00:08:25.520]   it's going to need to be changed. On the hotel front, often you're not going to earn any points or elite
[00:08:25.520 --> 00:08:31.440]   status with the hotel chain if you're booking a hotel through a travel portal. And so in that case,
[00:08:31.440 --> 00:08:35.360]   if I were booking something with Hyatt, where I'm trying to build up status, I probably wouldn't
[00:08:35.360 --> 00:08:39.440]   book it in a travel portal. That said, if I was booking a boutique hotel that wasn't any part of
[00:08:39.440 --> 00:08:45.600]   a travel program, and I also found the best rate in a travel portal, I'm not going to pay more for it,
[00:08:45.600 --> 00:08:50.640]   I would totally have no issue booking for 10x miles in the Capital One travel portal, which can make this
[00:08:50.640 --> 00:08:56.160]   a great card for travel, as long as you're willing to understand those differences. If you need to change a
[00:08:56.160 --> 00:09:01.120]   flight in the Capital One travel portal, it's not like you can't do it, you can go in and change it.
[00:09:01.120 --> 00:09:06.400]   And in some cases, airlines will let you take over that reservation and manage it through their site.
[00:09:06.400 --> 00:09:11.760]   But I can just say that sometimes there are some issues. If you go search around for why not to use
[00:09:11.760 --> 00:09:16.480]   a travel portal, you'll find some articles about that. I'll try to find one and link it in the show notes.
[00:09:16.480 --> 00:09:21.200]   It's not a don't do it. I've done it plenty of times. It's just to understand what you're getting
[00:09:21.200 --> 00:09:28.720]   into. And so without some added benefit, which by the way, 10x miles or 5x miles or using a $300
[00:09:28.720 --> 00:09:33.760]   travel credit are all great benefits and reasons to do it. But you just want to understand that before
[00:09:33.760 --> 00:09:40.320]   you're doing it. This episode is brought to you by Superhuman, which is absolutely one of my top apps.
[00:09:40.320 --> 00:09:46.080]   It's on my dock on the phone. It's my first pin tab on my browser, and I've used it for years.
[00:09:46.080 --> 00:09:52.080]   It is hands down the best way to do email if you like to save time. And that's because Superhuman is
[00:09:52.080 --> 00:09:57.120]   the best at inbox decluttering and enhanced productivity. It's also the fastest email
[00:09:57.120 --> 00:10:02.240]   experience I've used. And I am certain I have saved hundreds of hours a year using Superhuman.
[00:10:02.240 --> 00:10:07.520]   They have every feature you could want built right into email, split inboxes for prioritizing,
[00:10:07.520 --> 00:10:13.440]   keyboard shortcuts and snippets for everything, AI tools to draft responses and summarize emails,
[00:10:13.440 --> 00:10:18.800]   automated reminders, integrated calendars. And if you're using Superhuman at work like we do,
[00:10:18.800 --> 00:10:25.280]   you can share emails and drafts and comment on both of them with your team. It is so great and saves so
[00:10:25.280 --> 00:10:31.520]   much time. Best of all, Superhuman works with your existing Gmail or Outlook. So unless you love wasting
[00:10:31.520 --> 00:10:36.800]   hours of your day to email, you have to check out Superhuman and every All The Hacks listener can get
[00:10:36.800 --> 00:10:42.720]   their first month free at allthehacks.com/superhuman. Again, that's allthehacks.com/superhuman
[00:10:42.720 --> 00:10:50.480]   to get back hours of your time each week. This episode is brought to you by Built. If you're paying
[00:10:50.480 --> 00:10:56.400]   rent every month without earning anything in return, let me introduce you to Built, the rewards program
[00:10:56.400 --> 00:11:01.840]   designed for renters who want to earn my favorite transferable points for their largest monthly expense,
[00:11:01.840 --> 00:11:07.760]   their rent. Let me explain. By paying rent through Built, you can earn flexible points that can be redeemed
[00:11:07.760 --> 00:11:13.440]   towards hundreds of hotels and airlines, a future rent payment, your next Lyft ride, and more. But it doesn't
[00:11:13.440 --> 00:11:18.480]   stop there. Built is about making your entire neighborhood more rewarding. You can dine out at your
[00:11:18.480 --> 00:11:24.320]   favorite local restaurants and earn additional points, get VIP treatment at certain fitness studios, and enjoy
[00:11:24.320 --> 00:11:30.720]   exclusive experiences just for Built members every month. Built is turning a monthly expense into an
[00:11:30.720 --> 00:11:36.240]   opportunity to earn rewards and discover the best that your neighborhood has to offer. Your rent is
[00:11:36.240 --> 00:11:41.760]   finally working for you. Earn points on rent and around your neighborhood wherever you call home by going
[00:11:41.760 --> 00:11:51.120]   to allthehacks.com/built. That's allthehacks.com/built, B-I-L-T. Make sure to use our URL so they know we sent you.
[00:11:51.120 --> 00:11:56.720]   Another difference of this card and the Venture Card is that it has a $395 annual fee. It still has no
[00:11:56.720 --> 00:12:00.960]   foreign transaction fees, but it has a ton of benefits. So let's run through those because I think those
[00:12:00.960 --> 00:12:06.480]   benefits are what really make this card stand out. So first off, on your anniversary for the card, you get
[00:12:06.480 --> 00:12:12.160]   10,000 miles, which if you value Capital One miles like the Points Guy does at 1.85 cents,
[00:12:12.160 --> 00:12:19.760]   already that's $185 value for those miles. You also get a $300 travel credit you can use in Capital One
[00:12:19.760 --> 00:12:26.000]   Travel. It's very easy to use. You go look to book a flight and all of a sudden $300 gets taken off that
[00:12:26.000 --> 00:12:31.760]   flight and you save $300. So if you're going to spend more than $300 on travel, I've found that travel
[00:12:31.760 --> 00:12:38.720]   credit really, really easy to use. Even if you want to value those 10,000 miles just at 1 cent per mile,
[00:12:38.720 --> 00:12:43.920]   you're looking at $100 value from the miles, $300 value from the travel credit for an annual fee of
[00:12:43.920 --> 00:12:51.760]   $395. You actually come out $5 a head. So for me, this is a great premium card because you're not
[00:12:51.760 --> 00:12:57.200]   stuck trying to make 20 different types of coupons and monthly discounts work. You have one annual travel
[00:12:57.200 --> 00:13:02.320]   credit and 10,000 miles a year to cover it. That said, there are other benefits, but just getting
[00:13:02.320 --> 00:13:07.280]   enough benefits to make up for the annual fee is way easier for this card than a lot of other premium
[00:13:07.280 --> 00:13:13.360]   travel cards. You also get that credit every, I think, four years for TSA Pre and Global Entry.
[00:13:13.360 --> 00:13:19.120]   And then the other big thing is you get access to Capital One's Lounge Network. Now, unfortunately,
[00:13:19.120 --> 00:13:24.080]   this year in 2025, that access has changed a bit. So let me explain what that means.
[00:13:24.080 --> 00:13:29.280]   There are two types of access you get. You get access to Priority Pass, which is a lounge network
[00:13:29.280 --> 00:13:35.520]   of over 1,000 lounges around the world. And you get access to Capital One's own lounges. Now, right now,
[00:13:35.520 --> 00:13:42.000]   I think they have somewhere around seven lounges, Denver, Dallas, both airports in DC, Las Vegas.
[00:13:42.000 --> 00:13:47.360]   And I think LaGuardia and JFK are coming soon, or maybe they're already there. But the way the access
[00:13:47.360 --> 00:13:53.360]   works is that you used to get two guests for free or one guest for their landing lounges, which right
[00:13:53.360 --> 00:13:59.920]   now are in Washington, Reagan, and LaGuardia in New York. But starting February, 2026, that changes and
[00:13:59.920 --> 00:14:05.600]   guests are no longer free with a couple of caveats. So one, this card has no fee for authorized users.
[00:14:05.600 --> 00:14:10.240]   So you can add an authorized user and they can use this card as well. However, those authorized users
[00:14:10.240 --> 00:14:18.000]   do not get lounge access unless you pay $125 a year. And you can do that for up to four authorized users.
[00:14:18.000 --> 00:14:24.160]   So without guest privileges next year, that means that in order to have your partner get into a lounge,
[00:14:24.160 --> 00:14:29.840]   you need to add them as an authorized user. Now, if you use lounges enough, maybe that $125 fee works.
[00:14:29.840 --> 00:14:34.320]   But if you have children and you're hoping to get them into lounges, that's not really a great option
[00:14:34.320 --> 00:14:39.120]   because I believe with Capital One, children need to be over 13 to be authorized users.
[00:14:39.120 --> 00:14:45.040]   So you can either pay for that lounge access, which for children is $25 or adults is $45.
[00:14:45.040 --> 00:14:53.680]   Or if you spend $75,000 a year on the card, then you or any authorized users now inherit free guest
[00:14:53.680 --> 00:14:59.760]   access of up to two guests for Capital One lounges and then one guest for the Capital One landing
[00:14:59.760 --> 00:15:03.760]   lounges. I believe the reason those lounges are different is that the landing lounges are a little
[00:15:03.760 --> 00:15:08.400]   more elevated, a little better food, and they want to keep them a little bit smaller in terms of number
[00:15:08.400 --> 00:15:12.960]   of guests that come into those lounges. In general, anyone that's been in lounges the last few years
[00:15:12.960 --> 00:15:17.440]   knows that it seems like they're always getting more and more crowded. So I understand that Capital One
[00:15:17.440 --> 00:15:23.040]   wanted to add these restrictions, but having a premium card with no guest access unless you pay
[00:15:23.040 --> 00:15:29.440]   or spend a lot on the card does feel a little bit limiting. But unlike other cards where you might
[00:15:29.440 --> 00:15:34.320]   have to spend money to unlock a privilege like guesting into a lounge, at least this is a card
[00:15:34.320 --> 00:15:39.680]   where you're earning 2x miles on all your spending. So if you did have large tax payments where those fees
[00:15:39.680 --> 00:15:45.120]   are actually under 2%, it might actually make sense to put those tax payments on a card where you could
[00:15:45.120 --> 00:15:51.040]   earn 2x miles as opposed to a lot of other cards where you might only earn 1x miles on a tax payment.
[00:15:51.040 --> 00:15:55.520]   So it might actually be more feasible to use this card to meet that $7,500 spend
[00:15:55.520 --> 00:15:59.760]   if you spend a lot in a year. If you don't, I think it's going to be tough to use this card
[00:15:59.760 --> 00:16:04.240]   as your primary lounge card, and there's probably other cards to look at if that's important to you.
[00:16:04.240 --> 00:16:09.520]   Now keep in mind, if you do meet that $75,000 of spend to unlock guest access,
[00:16:09.520 --> 00:16:14.880]   you get that unlocked access for the year you earn it, the following year, and until the end of January
[00:16:14.880 --> 00:16:19.840]   the next year. So that's the Capital One lounges. On the priority pass side,
[00:16:19.840 --> 00:16:24.880]   it's no restaurant access, it's no guest access, even if you spend money, I don't think you unlock
[00:16:24.880 --> 00:16:29.840]   any guest access there as well. So I do love the priority pass network, but I would look at another
[00:16:29.840 --> 00:16:34.480]   card if you're looking for lounge access for a family, because this one is a little bit limiting.
[00:16:34.480 --> 00:16:39.760]   A few other benefits, you do get Hertz President Circle status, and then they do have on the Capital One
[00:16:39.760 --> 00:16:45.520]   travel portal, if you have the Venture X card, you get access to their premier lifestyle hotel collection.
[00:16:45.520 --> 00:16:51.760]   So it's elevated benefits, elevated perks at luxury hotels. I think we have more hotels in
[00:16:51.760 --> 00:16:57.280]   our luxury hotel program. If you go to hotels.allthehacks.com, you can see that and get access to
[00:16:57.280 --> 00:17:03.280]   all kinds of perks with hotels. The password for that site is the word perks. And if you're booking
[00:17:03.280 --> 00:17:08.080]   any luxury hotel, you'll almost always get a property credit, free breakfast, early check-in,
[00:17:08.080 --> 00:17:12.880]   late checkout, both subject to availability and upgrades subject to availability. So if you're
[00:17:12.880 --> 00:17:18.560]   booking a luxury hotel, definitely check that site out. But if you do have access to your Capital One
[00:17:18.560 --> 00:17:23.280]   card and you want to use that Capital One travel credit, you can use it at their premier and lifestyle
[00:17:23.280 --> 00:17:29.120]   hotel collection as well. Now, if I look at the tier list for the Venture X card, I think this one has to go in
[00:17:29.120 --> 00:17:35.200]   the S tier. It is a 2x miles on everything card, which is rare, but also it's a card where you do
[00:17:35.200 --> 00:17:40.800]   get lounge access, you do get some premium coverages and protections, all for an annual fee that isn't
[00:17:40.800 --> 00:17:48.480]   the six, seven, $800 annual fee a lot of similar cards are charging now. It's only $395 and the travel
[00:17:48.480 --> 00:17:55.520]   credit and annual 10,000 miles makes it really much easier to justify in my opinion. So I think the Venture X is
[00:17:55.520 --> 00:18:00.720]   definitely an S tier card. It is our all other purchases card in our household. We're using it
[00:18:00.720 --> 00:18:06.160]   anytime we want to earn miles on a purchase, but we don't have an elevated bonus for earning three,
[00:18:06.160 --> 00:18:11.680]   four or five miles per dollar. Next, I want to talk about the Venture X business card, and it's very,
[00:18:11.680 --> 00:18:17.360]   very similar to the Venture X card, so I won't spend too much time on it. But if you're asking why am I
[00:18:17.360 --> 00:18:23.040]   even including business cards, I want to flag that I think most people don't realize that they probably are
[00:18:23.040 --> 00:18:28.240]   closer to having a business than they thought. In the past, I've done consulting work, sold stuff on
[00:18:28.240 --> 00:18:33.840]   eBay, had a startup that maybe wasn't even profitable yet, but I was getting going. I've had a blog.
[00:18:33.840 --> 00:18:40.400]   There are a lot of different things, Etsy selling, walking dogs, babysitting that could classify as a
[00:18:40.400 --> 00:18:45.120]   business. That doesn't mean you need an LLC to open up a business credit card. You could do it as a
[00:18:45.120 --> 00:18:50.480]   sole proprietor under your own social security number without a business name. So there's a lot of people out
[00:18:50.480 --> 00:18:55.840]   there who I think don't realize they have a business or they have themselves that could very
[00:18:55.840 --> 00:19:01.040]   easily and justifiably be categorized as a business. I'll link to a couple articles if you want to go
[00:19:01.040 --> 00:19:05.520]   read more, but I've been surprised at people that didn't actually realize they had a business and were
[00:19:05.520 --> 00:19:10.720]   eligible to open a business credit card. And so that held them back from what sets apart some business
[00:19:10.720 --> 00:19:16.000]   cards, which is really, really incredible welcome offers. So the biggest thing that sets aside the
[00:19:16.000 --> 00:19:21.280]   VentureX business from the VentureX card is that welcome offer. So right now, that welcome offer is
[00:19:21.280 --> 00:19:27.920]   150,000 points on $30,000 spend in three months. And I'll come back to why I think that welcome offer
[00:19:27.920 --> 00:19:33.440]   is so compelling, but I'll just quickly run through the benefits. Same annual fee of $395, no foreign
[00:19:33.440 --> 00:19:39.600]   transaction fees, same earnings multiples as the VentureX card. In fact, almost everything is the same,
[00:19:39.600 --> 00:19:46.560]   except on the lounge access. This card does get you two guests at priority pass lounges. So it's
[00:19:46.560 --> 00:19:51.600]   slightly better than the personal VentureX card. But I believe, and I couldn't find evidence for this on
[00:19:51.600 --> 00:19:56.560]   the website, that it doesn't offer Hertz president circle status for cardholders. Now, one unique thing
[00:19:56.560 --> 00:20:01.040]   about the VentureX business card that sets it aside from all the other cards is that it is not actually a
[00:20:01.040 --> 00:20:05.600]   credit card. It is a charge card, meaning you do need to pay that balance off in full at the end of each
[00:20:05.600 --> 00:20:10.560]   month. And you also don't have a preset spending limit, which means potentially for business owners,
[00:20:10.560 --> 00:20:16.400]   this card could be used to spend a lot more. And as you spend more and more, the limit will go up and
[00:20:16.400 --> 00:20:21.440]   up, similar to a lot of Amex charge cards. So for someone with a business who's spending a lot of money
[00:20:21.440 --> 00:20:28.400]   and doesn't want to be kind of hampered by a 10, 20, $30,000 limit, this could be a really good option.
[00:20:28.400 --> 00:20:33.360]   Now, given that this card has the highest welcome offer for Capital One Miles, I just want to dig in a
[00:20:33.360 --> 00:20:38.080]   little bit and share how I think about some of these offers, because it does require a large
[00:20:38.080 --> 00:20:43.600]   amount of spend, $30,000 in the first three months. So first off, if you look at the value of Capital One
[00:20:43.600 --> 00:20:49.520]   Miles, you can go to the points guy, they have a valuation series, they're using 1.85 cents. And part
[00:20:49.520 --> 00:20:53.520]   of the reason is that Capital One has a ton of amazing transfer partners, and I'll talk about that
[00:20:53.520 --> 00:20:58.480]   later in this episode. And because you have the flexibility to move those points to different hotels and
[00:20:58.480 --> 00:21:04.160]   airlines, there's so many different options for how you can make those points earn outsized value.
[00:21:04.160 --> 00:21:14.400]   So at 1.85 cents, earning 150,000 miles could be worth $2,775. However, most cards that have huge
[00:21:14.400 --> 00:21:19.200]   signup bonuses like that, think the Chase Sapphire Reserve Business, the Amex Business Platinum,
[00:21:19.200 --> 00:21:25.600]   you will be earning 1x on all other categories that aren't earning bonuses. So you're probably going
[00:21:25.600 --> 00:21:32.560]   to earn way less points on that spend to hit that bonus than you would with the VentureX business card.
[00:21:32.560 --> 00:21:37.920]   Here you're earning 2x miles. So while you do have to spend $30,000 in those first three months,
[00:21:37.920 --> 00:21:45.200]   you get another 60,000 miles from that spend, which is 210,000 miles total after you spend that $30,000.
[00:21:45.200 --> 00:21:52.800]   So if those miles are worth 1.85 cents, that is a total welcome offer return of $3,885,
[00:21:52.800 --> 00:22:00.640]   which is effectively about 12.95% back on that $30,000 of spend. And even if you wanted to ratchet
[00:22:00.640 --> 00:22:06.160]   that back and say, I don't want to use 1.85 cents, I just want to pretend these miles are worth 1 cent,
[00:22:06.160 --> 00:22:14.560]   that's still a $2,100 value welcome bonus, which is 7% back on your $30,000 of spend. So if you have
[00:22:14.560 --> 00:22:21.440]   $30,000 to spend in the next three months, this is a card that would get you at a minimum 7% back on that
[00:22:21.440 --> 00:22:26.720]   spend if you hit the full spend. But if you value those points, like many other people do in this
[00:22:26.720 --> 00:22:32.800]   industry, it could be close to $4,000 or even more dollars on that welcome bonus. And that also
[00:22:32.800 --> 00:22:38.960]   doesn't factor in the fact that those other two cards that often have 200,000, 250,000 point welcome
[00:22:38.960 --> 00:22:47.200]   bonuses have fees of $695, $795 with some complicated credits to be able to reduce those fees and get that
[00:22:47.200 --> 00:22:54.960]   value back. Whereas the VentureX business is a $395 fee with, in my opinion, an easy $300 travel credit
[00:22:54.960 --> 00:23:01.200]   and 10,000 miles on your account anniversary. So way easier to make that annual fee effectively
[00:23:01.200 --> 00:23:06.800]   down to zero. So big fan of the VentureX business, I'm not sure how long this elevated offer is going
[00:23:06.800 --> 00:23:11.520]   to last. But if you want to check it out, you can go to allthehacks.com/cards. It's at the top,
[00:23:11.520 --> 00:23:16.000]   because it's one of the best bonuses right now. So it's probably no surprise that I would be putting
[00:23:16.000 --> 00:23:20.960]   the VentureX business card in the S tier. It's just like the VentureX personal, except I think it has a
[00:23:20.960 --> 00:23:26.640]   better welcome offer, and you get a little better lounge access, all for the trade-off of no Hertz
[00:23:26.640 --> 00:23:32.720]   President Circle status. So definitely an S tier card. Next on the list is the Spark Miles cards.
[00:23:32.720 --> 00:23:37.440]   Now, I have a bit of a gripe with Capital One for the way they name cards. So they have a Spark Miles
[00:23:37.440 --> 00:23:43.200]   card, which is effectively a business card that also earns 2x miles. I'm not sure why they don't call it the
[00:23:43.200 --> 00:23:48.400]   VentureBusiness card. It seems like you have Venture and VentureX, and then you have VentureX
[00:23:48.400 --> 00:23:53.440]   Business and Spark Miles, which is kind of effectively the business version of the VentureCard.
[00:23:53.440 --> 00:24:00.320]   It also earns 2x miles on every purchase. It also, like the VentureCard, earns 5x miles on hotels and
[00:24:00.320 --> 00:24:04.640]   rental cars and Capital One travel. But after that, there are some changes. So first off, the welcome
[00:24:04.640 --> 00:24:10.960]   bonus on this card is 50,000 miles on $4,500 spend in the first three months. It has the same annual fee as
[00:24:10.960 --> 00:24:15.280]   the VentureCard of $95. But in your first year, it's actually waived. So there is no annual fee.
[00:24:15.280 --> 00:24:20.640]   No foreign transaction fees on the card. You do get free employee cards. You do get reimbursed
[00:24:20.640 --> 00:24:25.120]   on Global Entry and TSA PreCheck and access to that Premier and Lifestyle Hotel Collection.
[00:24:25.120 --> 00:24:30.480]   But otherwise, there aren't a lot of other benefits. Now, there is one variation of the Spark Miles card,
[00:24:30.480 --> 00:24:35.440]   and that's the Spark Miles Select. It has the same signup bonus, but no annual fee. And instead of
[00:24:35.440 --> 00:24:40.560]   earning 2x miles on every purchase, it earns 1.5x miles on every purchase.
