
[00:00:00.000 --> 00:00:09.920]   Well, hi, everyone. Welcome back to another episode of The Everyday Educator. I am so
[00:02:43.160 --> 00:02:47.060]   know how your life is going to turn out, but we worry that we're going to invest so much on the front
[00:02:47.060 --> 00:02:51.460]   end. And then our children are just going to want to run out that door. You know, we let them go
[00:02:51.460 --> 00:02:57.140]   and they don't want to come back. But the fact that you've cultivated a community within your family,
[00:02:57.140 --> 00:03:02.820]   where you have good conversations, it's just beautiful because of course they would long for
[00:03:02.820 --> 00:03:08.340]   that. So they do come back. Um, and I love that they live so close to you so you can go to them.
[00:03:08.340 --> 00:03:16.020]   Well, today, as I said earlier, we're going to talk all about science specifically during the summer.
[00:03:16.020 --> 00:03:21.940]   you can, of course, apply the ideas that we talk all year long, but, um, the ideas that we discuss
[00:03:21.940 --> 00:03:30.260]   all year long. But right now we want to talk about what it looks like to lean into science activities,
[00:03:30.260 --> 00:03:36.500]   scientific exploration with your children during the summertime. And I'd love for you to just take us
[00:03:36.500 --> 00:03:41.940]   on a trip down memory lane, Amy and tell us maybe what, what did that look like for you and your family
[00:03:41.940 --> 00:03:50.420]   when your kids were growing up? Oh, that's such a good question. Um, yeah, I think every season and, uh,
[00:03:50.420 --> 00:03:57.060]   the season from spring to summer is always the most dramatic for kids because usually if you're not
[00:03:57.060 --> 00:04:03.140]   homeschooling year round, that's like, we're free, you know, and mom's like, we're free, I'm free.
[00:04:03.140 --> 00:04:11.860]   So that transition to summer was always much anticipated and there were countdowns and all
[00:04:11.860 --> 00:04:19.700]   sorts of things that our children did. So, um, it was, uh, summer is a nice season for us. We live
[00:04:19.700 --> 00:04:27.220]   in Tennessee so we can play outside. And that was really the focus. Summer is more relaxed. It's a
[00:04:27.220 --> 00:04:33.620]   more relaxed time. It's, and I would just encourage parents, especially to take that time to relax. Um,
[00:04:33.620 --> 00:04:39.140]   sometimes I would, as the children get older, I would say, Oh, we're going to finish up whatever,
[00:04:39.140 --> 00:04:47.620]   like math or that, or that stack of books we didn't get through. I would really encourage moms not to do
[00:04:47.620 --> 00:04:56.100]   that. Um, because we all need kind of a, a hard stop in places and we need a good start in places.
[00:04:56.100 --> 00:05:04.100]   And I felt like when I tried to kind of weasel in those extra lessons that it just felt kind of
[00:05:04.100 --> 00:05:14.100]   deflating instead of we need to rejuvenate, we need to reflect and be revitalized. And there's no better
[00:05:14.100 --> 00:05:21.380]   place to do that than in God's creation. And so I had really active three active sons and a very active
[00:05:21.380 --> 00:05:31.380]   daughter. So we spent time outside, um, and, uh, on walks or going to the pool or even when it gets
[00:05:31.380 --> 00:05:38.100]   really hot, the library, just really taking some time to, um, explore some of those areas that we
[00:05:39.060 --> 00:05:48.180]   didn't get to do during what we call the school year. So I would really encourage, um, a mom to a,
[00:05:48.180 --> 00:05:54.660]   not feel guilty to really reflect on all that God has done in their school year, and then make that
[00:05:54.660 --> 00:06:01.140]   transition to a restful summer. Um, so I think in both you and your husband, I think that's a really
[00:06:01.700 --> 00:06:07.780]   great conversation to have, you know, like go out to dinner and just reflect on all that God has done.
[00:06:07.780 --> 00:06:15.300]   Don't make plans, you know, that's not a business meeting, um, but just reflect and then delight in,
[00:06:15.300 --> 00:06:22.820]   um, okay, I have this time. And you might also just, I, it was helpful for me to go, we stop at this date
[00:06:22.820 --> 00:06:30.660]   date and we start at this date. So I could tell, okay, here's the free space. I had one child that
[00:06:30.660 --> 00:06:39.620]   always wanted to know, when do we have to go back and go, well, it's not tomorrow. So, so I would just
[00:06:39.620 --> 00:06:47.620]   definitely encourage you to enjoy this change of season and, uh, and rest and reflect. So celebrate.
[00:06:47.620 --> 00:06:54.820]   That's, yeah, that's such great advice. I think more and more I've heard people talk about what
[00:06:54.820 --> 00:07:01.540]   they call the summer slide. We just did another episode on reading with Kelly Wilt and she was
[00:07:01.540 --> 00:07:06.420]   talking about the summer slide. I'm like, see, I'm hearing it everywhere. Everybody is concerned
[00:07:06.420 --> 00:07:11.060]   about this idea of their children forgetting everything during the summertime. And while,
[00:07:11.060 --> 00:07:15.780]   yeah, you want to keep your kids learning and that's important. I do think you just hit on such,
[00:07:16.420 --> 00:07:26.340]   such a kingdom principle of rhythms of rest and work. And it, I think we just need to be aware
[00:07:26.340 --> 00:07:32.820]   as believers that that is a place that maybe the enemy is trying to steal from us and, and sort of
[00:07:32.820 --> 00:07:39.780]   make us think that we have to, we have to work first to get our rest when actually the pattern of the entire
[00:07:39.780 --> 00:07:48.100]   universe, like from creation on is he rested and then he worked. And so he has us starting,
[00:07:48.100 --> 00:07:54.820]   starting from that posture. And really that's a way that we show our reliance on him and our trust in
[00:07:54.820 --> 00:08:01.700]   him. And what you just said, we're able to reflect and rejoice and celebrate all that God has done and
[00:08:01.700 --> 00:08:06.420]   to realize that, you know, of course we're trying to be diligent and faithful and there's a place for
[00:08:06.420 --> 00:08:14.180]   that. Um, but also the harvest comes from the one who sits on the throne. So I really love that you
[00:08:14.180 --> 00:08:18.900]   brought that into the conversation from the onset, because I think it's important for us to remember,
[00:08:18.900 --> 00:08:25.540]   regardless of what we're trying to encourage our families to learn or glean, that we can do that
[00:08:25.540 --> 00:08:34.020]   from a place of rest and, um, and it'll be more fulfilling if we do that. Um, and I think we know that in some
[00:08:34.020 --> 00:08:38.260]   areas of our life, but when it comes to education, we just feel like.
[00:08:38.260 --> 00:08:39.780]   We just feel the right of it.
[00:08:39.780 --> 00:08:41.940]   Yeah, it feels huge.
[00:08:41.940 --> 00:08:48.820]   As, as my children got older, I feel like it was really important now that they're, they're married and have
[00:08:48.820 --> 00:08:55.940]   their own children, um, that it's really important as a mom that you're modeling that faith of rest.
[00:08:55.940 --> 00:09:02.340]   I think it's an act of faith and that God is going to take care of us. And instead I thought,
[00:09:02.340 --> 00:09:10.020]   I just didn't want to inflict my anxiety on them. And then they feel sort of trapped like, oh, mom's not
[00:09:10.020 --> 00:09:18.340]   happy instead of just giving them the gift of rest and giving them that permission. I mean, do you,
[00:09:18.340 --> 00:09:23.700]   I remember I had a grandmother and I would work close near, near home and have lunch with her.
[00:09:23.700 --> 00:09:28.500]   And she would say, now you just go lay down on that bed and take a little nap. And I thought
[00:09:28.500 --> 00:09:35.300]   it was funny because I was in high school. I didn't really need a nap, but what she gave me was permission
[00:09:35.300 --> 00:09:43.060]   to rest. You need to rest. And I think we need to give ourselves permission, but I think it's really
[00:09:43.060 --> 00:09:49.540]   important to model for your children. You can rest. And because they're going to have children,
[00:09:49.540 --> 00:09:58.020]   hopefully one day, and you don't want them to be feeling like this loaded burden of we've got to
[00:09:58.020 --> 00:10:03.540]   always be producing something that that's not true. Yeah. The enemy wants to steal that from us. Yes.
[00:10:03.540 --> 00:10:09.620]   It's not true. And just as you say that you're making me think of this quote, you know, Lisa Bailey,
[00:10:09.620 --> 00:10:16.260]   the other host of this show. And she sent me this quote in the light of our conversation that I think
[00:10:16.260 --> 00:10:24.980]   just encapsulates what you said perfectly. This is by Mr. Fred Rogers. He says, "It seems to me that some
[00:10:24.980 --> 00:10:33.380]   of us value information over wonder and noise over silence. And I feel that we need a lot more wonder
[00:10:33.380 --> 00:10:36.740]   and a lot more silence in our lives." That's nice.
[00:10:36.740 --> 00:10:44.660]   And when we're thinking about science, it's true that some of the greatest discoveries come
[00:10:44.660 --> 00:10:53.300]   from those places of rest, from those places of silence and wonder and sitting back and observing.
[00:10:53.300 --> 00:10:59.220]   So as we dive into this conversation, the first thing I would love to hear you define is just,
[00:10:59.860 --> 00:11:04.980]   what is science? This conversation could go so many different directions from your perspective.
[00:11:04.980 --> 00:11:09.460]   What does it look like? What is science? How would you describe that?
[00:11:09.460 --> 00:11:15.540]   Well, the word science means knowledge, but it's much more than that. First of all, God created science.
[00:11:15.540 --> 00:11:23.460]   He's the originator of all this. All that we know, both visible and invisible,
[00:11:23.460 --> 00:11:35.220]   was in the mind of God from the beginning. And as he made creation, spoke these words that brought light
[00:11:35.220 --> 00:11:44.340]   and brought dry land and plants and animals. It's so incredible. And he was thinking in his mind as he
[00:11:44.340 --> 00:11:51.940]   is hiding treasures that we are going to find. That's science. It's engaging with the natural world
[00:11:51.940 --> 00:11:58.100]   that God has made, whether it's a physics world or a biology world or a botany world. It doesn't
[00:11:58.100 --> 00:12:05.860]   matter. We, we make those distinctions. Um, but all of that is our invitations for understanding him.
[00:12:05.860 --> 00:12:13.780]   And that's what his, his purpose is, is that we're going to understand his nature and his power. And so
[00:12:13.780 --> 00:12:24.260]   looking for God in his creation is, is really the, is science that is the study of God's creation. Um,
[00:12:24.260 --> 00:12:31.060]   and to realize that he's the originator and what we know about him, since we know how wonderful he is
[00:12:31.060 --> 00:12:38.660]   and creative and subtle and humorous, since we know that all about him, then the, then everything we
[00:12:38.660 --> 00:12:46.580]   discover gives us another insight into his nature. So I just think it's, I, I used to, I don't, you know,
[00:12:46.580 --> 00:12:54.260]   we categorize science in, in schools, you know, you do science and you do math, but I think that again,
[00:12:54.260 --> 00:13:01.300]   that's a false, um, a false category. I think, um, we live and breathe in this world and that's where
[00:13:01.300 --> 00:13:07.380]   science is. So, so it's just recognizing that it's just looking around and going, Oh, and asking,
[00:13:07.380 --> 00:13:16.660]   huh, I wonder. Uh huh. Uh huh. I couldn't agree with you more. Yeah. And it, you know, it's so funny
[00:13:16.660 --> 00:13:22.820]   because I came into this particular conversation thinking and, you know, preparing for it thinking,
[00:13:22.820 --> 00:13:28.580]   okay, let's talk about plants and animals and nature walks. And, you know, and just to be transparent
[00:13:28.580 --> 00:13:35.300]   with everyone, I was a child who was a little bit resistant and I'm not sure why we could dig into
[00:13:35.300 --> 00:13:41.300]   that, but we won't right now. I was a little bit resistant to what people typically called quote
[00:13:41.300 --> 00:13:48.500]   science. I just didn't science and math. Those are two areas where I just felt, you know, I don't know
[00:13:48.500 --> 00:13:54.660]   if I care. I don't know if I'm interested and I certainly don't like the way you're presenting it,
[00:13:54.660 --> 00:14:01.860]   you know, so let's move on type thing. And so, um, while I was preparing for this conversation,
[00:14:01.860 --> 00:14:06.740]   it was easy for me to assume that I fully understood all the ways that you could
[00:14:06.740 --> 00:14:12.900]   scientifically explore. Cause I have a college degree and I've done chemistry and I've done,
[00:14:12.900 --> 00:14:15.780]   you know, all of these different things. And then I thought to myself, well, you know what,
[00:14:15.780 --> 00:14:26.340]   I think I do science all the time in my garden when I cook dinner and when I, when I study my
[00:14:26.340 --> 00:14:33.060]   child, you know, I'm so fascinated by neurological development and I absolutely love thinking about
[00:14:33.060 --> 00:14:39.700]   the way that people interact and how, what portions of that are, are actually attached to their biology
[00:14:39.700 --> 00:14:45.300]   and what portions of that are shifting because of where they are like that nurture nature conversation.
[00:14:45.300 --> 00:14:50.420]   But there's a lot to that or psychology, like that's a type of science. I really love that.
[00:14:50.420 --> 00:14:56.500]   And so I, I want to encourage our listeners to think outside the box. I mean, yes, we want you to go outside.
[00:14:56.500 --> 00:15:00.420]   There's a lot to that. Um, and we're going to talk about some things you can do outside.
[00:15:01.140 --> 00:15:08.740]   Also, if you have a child who maybe has an unconventional love of science, encourage that
[00:15:08.740 --> 00:15:16.500]   too, because yeah, they could find that in, in a place that you wouldn't expect. Um, and, and that
[00:15:16.500 --> 00:15:23.140]   too reveals back to what you were just saying, God's nature and his power. That's why I love learning
[00:15:23.140 --> 00:15:29.620]   about the brain so much. I think God is brilliant. He is brilliant. And the fact that he planted so many
[00:15:29.620 --> 00:15:36.980]   of these things that, that some people discovered and some people never do in the body, it blows my
[00:15:36.980 --> 00:15:43.300]   mind. You can hear I'm speechless. So that's where we end up. And, and you're exactly right, Delisa.
[00:15:43.300 --> 00:15:48.580]   Sometimes, um, other science, you know, when we think of, oh, like botany or maybe chemistry,
[00:15:48.580 --> 00:15:53.940]   we should start going into chemistry. And it's really, you just think of it as like,
[00:15:53.940 --> 00:15:58.740]   you just moved into a new country. You're just learning a new language, like chemistry.
[00:15:58.740 --> 00:16:04.820]   The reason that I think we get put off by different science subjects is we haven't learned that
[00:16:04.820 --> 00:16:10.100]   language. And, and no one taught us that, you know what, this is just unfamiliar to you.
[00:16:10.100 --> 00:16:15.620]   You just don't know it yet. And actually, you know, a lot more than you think, you know,
[00:16:15.620 --> 00:16:21.780]   you know, because if you've ever dissolved, you know, made a cup of tea, you you've done some
[00:16:21.780 --> 00:16:27.860]   physical science. If you've ever like, you know, scrubbed your bathtub with, with comet, you've,
[00:16:27.860 --> 00:16:35.700]   you've done some chemistry, you know, you, you are already familiar. There's no, there is no area of
[00:16:35.700 --> 00:16:40.900]   science that you as a human being have not experienced. And when you drink out of a straw,
[00:16:40.900 --> 00:16:47.140]   you've just made physics because you've lowered the pressure, you know, it's, you just don't know what it is.
[00:16:47.140 --> 00:16:55.780]   And so I think that I think it's unfortunate that science in our, in our public school or modern
[00:16:55.780 --> 00:17:02.980]   education disconnects us from the, from the world. We are in labs or on the, in the classroom and we're
[00:17:02.980 --> 00:17:12.260]   reading books. So we don't see that integration of, in our natural life with the subject. And that's true.
[00:17:12.260 --> 00:17:18.820]   And I think with people who love like are drawn to literature or, um, or words, it's because we're
[00:17:18.820 --> 00:17:25.300]   so much more familiar with words. We use language all the time. So it's a familiar world. So yeah,
[00:17:25.300 --> 00:17:33.220]   I think it, it does. Um, once you're sort of past that, but I'll tell you that your children don't know
[00:17:33.220 --> 00:17:40.020]   that they've never been to high school. Your children don't know that. So they just think the world is like
[00:17:40.020 --> 00:17:44.980]   like a playground of science. They don't have any categories. So you are the one that will change.
[00:17:44.980 --> 00:17:54.020]   So they think it's delightful and you'll go, well, I never thought about that, you know? So it's,
[00:17:54.020 --> 00:17:55.540]   it's nice. It's nice.
[00:17:55.540 --> 00:18:03.460]   It's so, that's so true. And I think the caution or the encouragement for me and for us as, as parents is
[00:18:03.460 --> 00:18:09.860]   for us to not squash it, you know, just like stand back and don't squash it. If you're not excited,
[00:18:09.860 --> 00:18:17.220]   that's fine. Let them be excited about the bug. Let them want to take their time to ask more questions
[00:18:17.220 --> 00:18:24.900]   about the thing. Don't, don't project your own feelings, you know, or maybe past experiences on them,
[00:18:24.900 --> 00:18:34.500]   because it's true that I landed on that perspective because of my experiences, but he has experiences
[00:18:34.500 --> 00:18:39.780]   and I want them to be positive ones. And so, um, in the, and at the end of the day, we are all trying
[00:18:39.780 --> 00:18:45.540]   to get the same place, which is to know God and to make him known. So science is an area where I want
[00:18:45.540 --> 00:18:54.180]   him to feel that he's done that. What makes the summer, Amy, just so uniquely ripe for scientific
[00:18:54.180 --> 00:19:01.860]   exploration? Oh, well, things are growing all over the place. So we are looking, life is around us and
[00:19:01.860 --> 00:19:11.220]   it's the dormant winter has passed. Um, days are longer. The sun is in the sky. We get to go outside.
[00:19:11.220 --> 00:19:17.940]   The skies are beautiful in the evening. There are meteorite showers in August. So you can go and
[00:19:17.940 --> 00:19:24.020]   hope to find one, or if you don't, it was fun to try. Um, there are all sorts of activities that are
[00:19:24.020 --> 00:19:30.820]   going on in the summer, like at national parks or in your, um, in your community that invites you to be
[00:19:30.820 --> 00:19:38.980]   outside. Um, so I would say that I, I say outside because it just lends itself. Now I would say you should
[00:19:38.980 --> 00:19:47.540]   be outside all the year round, but because the, of the climate and because of that relaxed feel that
[00:19:47.540 --> 00:19:56.980]   we have in the summer, it's inviting for that reason. Also, you can, um, do a lot of science that
[00:19:56.980 --> 00:20:04.500]   you may not have been able to do in outside during the winter. You can, I like, especially like with
[00:20:04.500 --> 00:20:12.100]   growing things and looking at critters and watching birds. There's just so much life going on outside.
[00:20:12.100 --> 00:20:20.020]   So that's what makes science a lot of fun in, in the summertime. And also, uh, honestly, if you are a
[00:20:20.020 --> 00:20:25.380]   little more relaxed with your summer schedule, which I really hope you are, that you can start doing some
[00:20:25.380 --> 00:20:33.700]   things, bringing nature inside and giving time to observe and reflect. So allowing,
[00:20:33.700 --> 00:20:41.300]   like you were saying that quiet or restful time, you're usually, um, our summers weren't just chock
[00:20:41.300 --> 00:20:48.020]   full of like, you know, soccer practice and piano and all that kind of thing, uh, that we had a
[00:20:48.020 --> 00:20:55.540]   little more flexibility. So not to fill up their days with activity, but, but to really utilize some
[00:20:55.540 --> 00:21:02.500]   of that downtime to go, okay, we're going to, and just think of something that you maybe recognize.
[00:21:02.500 --> 00:21:08.420]   Like, is there something that they kind of were stirred in their heart? Like we had one of my
[00:21:08.420 --> 00:21:15.860]   children really got into bonsai trees. Now I'm not sure why. Um, so we didn't have any bonsai trees
[00:21:15.860 --> 00:21:24.100]   growing around. It takes like 30 years to have a very long time, but we had a ton of these little tiny,
[00:21:24.100 --> 00:21:32.580]   um, plant things of, of evergreen bushes that look like bonsai trees. So we dug up all sorts of things
[00:21:32.580 --> 00:21:38.660]   and brought them in the house and we planted them. And so look for adventures and listen for what
[00:21:38.660 --> 00:21:47.300]   your child, uh, for what that brings about that curiosity. You know, um, also, if you think about,
[00:21:47.300 --> 00:21:55.540]   like, if you're around any of the water, like ponds or lakes or rivers, um, those are great. It's a great
[00:21:55.540 --> 00:22:05.380]   time to go explore along the shore and put, you know, um, look under rotted, you know, wood and
[00:22:05.380 --> 00:22:12.180]   scrape off bark. Yeah. Be, um, I think just really, it's a great time to engage with the natural world
[00:22:12.180 --> 00:22:18.820]   because you have a little extra time and because, um, it's, it's, it's just inviting you. Everything's
[00:22:18.820 --> 00:22:26.100]   green. I don't know about where you are, but everything here is green. So it's welcoming you
[00:22:26.100 --> 00:22:32.260]   into that world. So yeah, I would think definitely for summer, that's a, it's a great time to take
[00:22:32.260 --> 00:22:38.740]   advantage of that. Absolutely. It's a huge invitation. And you know, I'm, I'm in North Carolina as well,
[00:22:38.740 --> 00:22:43.380]   but I think about people who live in Arizona, there's something else inviting you there, you know,
[00:22:43.380 --> 00:22:50.020]   so wherever you are there, there is an invitation. And the question is, are you coming? You know,
[00:22:50.020 --> 00:22:55.700]   like, are you answering the invitation? And I love that you said, look for adventures. That's such a
[00:22:55.700 --> 00:23:04.660]   beautiful way to, to think about it. And it is so full of wonder. And, you know, we say here a lot at
[00:23:04.660 --> 00:23:10.660]   classical conversations that the world life is a treasure hunt and it's because it is, there's actually
[00:23:10.660 --> 00:23:15.700]   something to be discovered. It's not that we're out there wondering, hoping that we're going to
[00:23:15.700 --> 00:23:21.220]   stumble on something. God says that if we seek him, we'll find him when we search for him with all of
[00:23:21.220 --> 00:23:29.140]   our hearts. So there's that sense of assurance that we have, which is really encouraging when we look for
[00:23:29.140 --> 00:23:35.140]   him in the natural world or we look for him in our math or wherever, whatever we're saying, whatever we're
[00:23:35.140 --> 00:23:40.660]   doing to know that he wants to be found by us. I think it's really, that's really beautiful. It's
[00:23:40.660 --> 00:23:46.260]   really cool to know. One of the things that is helpful is just spend some time in prayer for your
[00:23:46.260 --> 00:23:54.660]   family. Like what are some things that maybe they really stump struggled with this past year? You know,
[00:23:54.660 --> 00:24:02.740]   maybe there's an area that, um, didn't come as naturally and, um, or they didn't feel as invited
[00:24:02.740 --> 00:24:10.100]   to the table. I think of it that way, um, to think, okay, what are some things Lord that, and he is so
[00:24:10.100 --> 00:24:17.300]   good about giving you, um, good ideas for your kids. What are some things that we could do this summer
[00:24:17.300 --> 00:24:24.260]   that really, um, ignite, um, ignite that curiosity again? And, um, and then just watch and wait,
[00:24:24.260 --> 00:24:31.300]   because I do think that, that all our kids is, you know, none of them are the same and they have their
[00:24:31.300 --> 00:24:40.500]   own unique pers, uh, perspective on the world. And just, just be sure to be aware of that. Like there's
[00:24:40.500 --> 00:24:46.500]   some children are like little magnets. They're like drawn to different things. So just watch that and just,
[00:24:46.500 --> 00:24:55.380]   and, and really feed, um, use the summer as an opportunity to, to bolster, um, some confidence
[00:24:55.380 --> 00:25:03.060]   and some love and delight and, and uncover some passions that you didn't realize when in the midst
[00:25:03.060 --> 00:25:09.380]   of such a busy year. So it's also a summer is a good time for you as a parent and your, and your husband,
[00:25:09.380 --> 00:25:15.700]   of course, to look and recognize, oh, here's, here's a little love and, and let's, let's feed
[00:25:15.700 --> 00:25:21.620]   that. So, and science to me is a natural place or the world is a natural place for that to happen.
[00:25:21.620 --> 00:25:29.380]   So that's a great encouragement. Yeah. Our little guy right now is very into drawing. And even to the
[00:25:29.380 --> 00:25:35.060]   point where I was in the adult nonfiction picking up a book, I think I was on the cooking aisle or so I'm
[00:25:35.060 --> 00:25:41.140]   looking on one side and he's looking on the other side and he pulls out a book on drawing and it was
[00:25:41.140 --> 00:25:46.260]   drawing superheroes because he's that passionate about it that he just naturally grabs this one.
[00:25:46.260 --> 00:25:51.060]   He says, can I please get this? And of course I can't tell you no, you know, but it's, it's true
[00:25:51.060 --> 00:25:56.900]   that there is that invitation to feed their curiosity and to encourage, to nurture their love of, of
[00:25:56.900 --> 00:26:03.060]   learning. Um, especially in the summertime when you have a little bit more margin. I know some,
[00:26:03.060 --> 00:26:09.620]   some, some parents who were just having this conversation, um, a couple of weeks ago are
[00:26:09.620 --> 00:26:18.740]   hesitant to lean in to scientific exploration because of the mess. And a lot of parents will
[00:26:18.740 --> 00:26:24.660]   say, and we love and are thankful that community is a great place for you to go. They will say,
[00:26:24.660 --> 00:26:32.100]   hey, we only do science and community because I don't want to do the dissections. I don't want to
[00:26:32.100 --> 00:26:38.820]   do X, Y, Z. Um, and it smells, you know, if you're going to order a dissection kit, we're going to
[00:26:38.820 --> 00:26:44.500]   definitely honor the fact that it's going to be a mess. But how would you speak to a mom who really
[00:26:44.500 --> 00:26:48.340]   finds herself recoiling when she thinks about science because of the mess?
[00:26:48.340 --> 00:26:55.940]   Oh, oh, how would, well, I kind of lived on the proverb. Um, I think it's Proverbs 14, four,
[00:26:55.940 --> 00:27:04.740]   where it says where there's no oxen in the crib, it's clean, but much increase. Oh, see, let me think
[00:27:04.740 --> 00:27:12.340]   if I can, if I can think about it. Much increase is by the strength of the ox. Okay. So basically that
[00:27:12.340 --> 00:27:20.820]   sounds really weird, but basically what that means, if you, uh, an empty, uh, stall is perfectly clean,
[00:27:20.820 --> 00:27:28.340]   it doesn't, doesn't get dirty at all. But in order to have, um, something productive,
[00:27:28.340 --> 00:27:36.580]   in order to have something that brings about some kind of like an ox works hard and produces something
[00:27:36.580 --> 00:27:42.900]   from the hard work that you're going to have a messy stall. So you can have a super neat house.
[00:27:42.900 --> 00:27:48.100]   And really by this time, if you're homeschooling, you, you probably should be over that by now.
[00:27:48.100 --> 00:27:57.380]   If you have any children in the house for a long period of time, um, that that's past your past that,
[00:27:57.380 --> 00:28:05.140]   but I would just say, um, a couple of things. First of all, I would just, um, section off an area
[00:28:05.140 --> 00:28:12.500]   of your home. That's a, that all you need is a table that you can get beat up on. I would say
[00:28:12.500 --> 00:28:20.420]   a box of stuff that you're going to use. And I use, um, like a tray, like if you have a plastic tray with a
[00:28:20.420 --> 00:28:26.980]   lip and usually you can find them at the dollar store, you know, something, a serving tray. And that's
[00:28:26.980 --> 00:28:33.940]   like your, that's like a place where you put your specimens. So whenever you drag in from the outside,
[00:28:33.940 --> 00:28:41.060]   just stick it on the tray and, and put it in a place. If it, if it, um, put it in a place that's
[00:28:41.060 --> 00:28:47.300]   a way, if it bothers you, you know, put it in another room, but make a space in your home that it's really
[00:28:47.300 --> 00:28:56.580]   okay. And, and I think also allow for that exploration. I think part of what I struggle with is I
[00:28:56.580 --> 00:29:04.100]   would get this big elaborate, um, uh, experiment together and, you know, last like three minutes.
[00:29:04.100 --> 00:29:09.540]   And then, and then they would all, and they'd be kind of bored and they'd be like, okay, is that it?
[00:29:09.540 --> 00:29:15.140]   You know? And you go like, oh, I spent like $500, not really, you know, I spent time and I wrote,
[00:29:15.140 --> 00:29:20.660]   you know, went to Amazon and I read a book and, and now it's like, you know, it's like making a really
[00:29:20.660 --> 00:29:27.940]   nice meal and they just kind of go, I don't like, you know, steak. Um, so I would say, keep it really
[00:29:27.940 --> 00:29:35.220]   simple for yourself and allow them to take some initiative in that, you know, all of this is
[00:29:35.220 --> 00:29:41.380]   training. So if, if it gets really messy, well, now part of the deal is, uh, one of our rules in our
[00:29:41.380 --> 00:29:49.460]   home was you do not cause unnecessary work for others. So, so when you're finished doing science,
[00:29:49.460 --> 00:29:57.860]   part of science being a good, uh, lab partner is cleaning it up is restoring order. So it doesn't
[00:29:57.860 --> 00:30:04.420]   have to be chaotic. So use things around your house. You don't have to get new stuff, put, um, create a
[00:30:04.420 --> 00:30:10.340]   space that it's okay, that you might have a little scientist that, that lingers on that, at that table,
[00:30:10.340 --> 00:30:18.980]   and then make sure that you practice the good habit of, of setting things up and putting things away.
[00:30:18.980 --> 00:30:24.580]   And if you want, you want, I used to have just a cardboard boxes that things that had a label,
[00:30:24.580 --> 00:30:30.180]   stick it all in here. And, um, and so that's what I would just say and just give it a shot. You know,
[00:30:30.180 --> 00:30:35.380]   the, um, the messiness is nothing, but, but if you, if your goal is to have a clean house,
[00:30:35.380 --> 00:30:38.580]   I don't even know if homeschooling is for you.
[00:30:38.580 --> 00:30:47.780]   It's just, you just can't. I'm a mom of three boys. Forget it.
[00:30:47.780 --> 00:30:53.300]   I just, you just give up. I mean, you just, well, I mean, you just have an, or I guess what I would say
