
[00:00:00.000 --> 00:00:14.000]   *Music*
[00:02:55.120 --> 00:03:03.640]   So yeah, this is basically what we're what we're doing we we see like the stacks on the left-hand side
[00:03:03.640 --> 00:03:08.100]   Executing and these are like the functions that are calling each other and we are just
[00:03:08.100 --> 00:03:13.320]   Like 20 times per second or hundred times per second taking taking note
[00:03:13.320 --> 00:03:17.620]   On what exact stack we're seeing on the CPU
[00:03:17.620 --> 00:03:20.960]   Or which stack is like allocating?
[00:03:20.960 --> 00:03:23.600]   Etc
[00:03:24.000 --> 00:03:28.000]   Yeah, and that allows us to like do it always on do it in production
[00:03:28.000 --> 00:03:30.560]   your machine is not
[00:03:30.560 --> 00:03:37.780]   the production environment, so it is pretty important to be able to do this in production and actually see what's happening
[00:03:37.780 --> 00:03:43.460]   out there in the real world and do with a low overhead and we are actually using
[00:03:43.460 --> 00:03:46.220]   Linux EVPF and
[00:03:47.280 --> 00:03:49.280]   Because we're using something
[00:03:49.280 --> 00:03:56.060]   That the kernel is doing we we don't even have to change any of your applications
[00:03:56.060 --> 00:04:00.280]   That means you start one thing and it will start
[00:04:00.280 --> 00:04:04.580]   Profiling all of your applications, so you don't really have to instrument
[00:04:06.160 --> 00:04:10.620]   quickly about me. I'm Matthias Loewel flew in from Berlin, Germany and
[00:04:10.620 --> 00:04:14.580]   I'm the director of policy in its cloud and I'm also a
[00:04:14.580 --> 00:04:19.040]   Maintainer of Prometheus Prometheus operator Parker's the open source
[00:04:19.040 --> 00:04:23.360]   version of all of what I'm talking about today and some other
[00:04:23.360 --> 00:04:26.640]   projects so
[00:04:27.720 --> 00:04:33.020]   We are basically here for like GPUs, right and we just earlier this year
[00:04:33.020 --> 00:04:37.820]   After like working on CPU and memory profiling for the last three or four years
[00:04:37.820 --> 00:04:41.000]   started a
[00:04:41.000 --> 00:04:45.160]   preview on GPU profiling, so I'm gonna talk about this today and
[00:04:45.160 --> 00:04:48.140]   Why we think it's pretty pretty great
[00:04:49.140 --> 00:04:51.140]   As you can see in this screenshot
[00:04:51.140 --> 00:05:01.040]   We're talking to Nvidia and VML to get these metrics out of your GPU so we can see in the blue the blue line on top
[00:05:01.040 --> 00:05:03.740]   We can see the overall
[00:05:03.740 --> 00:05:12.500]   Utilization of the note and then the orange line is one particular process on that GPU so we can see
[00:05:13.460 --> 00:05:20.900]   Over here we can see the process idea so we see individual processes, but we also see the overall notes utilization
[00:05:20.900 --> 00:05:27.640]   Further down the memory utilization and the clock speed etc. And that will kind of inform
[00:05:27.640 --> 00:05:31.840]   Where we want to look at the performance of our system, right?
[00:05:31.840 --> 00:05:39.060]   So sometimes we can see the utilization drop down and that might be something that we want to investigate to really make sure that we are using
[00:05:39.060 --> 00:05:41.500]   our GPUs to the fullest
[00:05:42.500 --> 00:05:50.860]   Just a couple of more metrics we are collecting so there's like the power utilization and the dashed line is the power limit and then the temperature
[00:05:50.860 --> 00:05:57.640]   Temperature sometimes is important because like eventually if you're like always at like 80 degrees Celsius
[00:05:57.640 --> 00:06:01.120]   You're gonna get throttled by the GPU
[00:06:01.120 --> 00:06:05.520]   Quite significantly and then obviously a PCIe throughput
[00:06:05.520 --> 00:06:11.560]   It's interesting. Are you bound by the data you are transferring between CPU and GPU
[00:06:12.080 --> 00:06:20.740]   Perfect. Yeah, so just to repeat like the negative one is receiving whereas the positive ones are sending 10 megabytes per second
[00:06:20.740 --> 00:06:23.320]   through PCIe
[00:06:23.320 --> 00:06:32.520]   And then we can use all of those metrics to correlate from the CPU profile from the GPU metrics to the CPU
[00:06:32.520 --> 00:06:38.520]   Profiles that we're storing so we are like collecting like we have done the last three or four years
[00:06:39.300 --> 00:06:47.360]   Using eBPF those CPU stacks and we want to like see what is happening on the CPU so in this case
[00:06:47.360 --> 00:06:50.000]   We might want to look at a particular stack on
[00:06:50.000 --> 00:06:52.300]   CPU zero
[00:06:52.300 --> 00:06:58.620]   Right before the end because there was some activity for example, so we can drag and drop and select a particular
[00:06:58.620 --> 00:07:02.920]   Time range and then we are presented with a flame chart
[00:07:03.540 --> 00:07:11.280]   um, and in the flame charts we can see what the CPU is doing while the GPU is not fully utilized so in in this case
[00:07:11.280 --> 00:07:14.700]   We're we can see that Python is actually calling
[00:07:14.700 --> 00:07:17.800]   Eventually the the CUDA
[00:07:17.800 --> 00:07:21.700]   Functions further down
[00:07:21.700 --> 00:07:24.520]   But oftentimes you you will see that like the CPU is
[00:07:25.200 --> 00:07:32.180]   Pretty actively trying to load data and being busy that way and not not keeping the GPU busy
[00:07:34.080 --> 00:07:36.080]   um, if you are
[00:07:36.080 --> 00:07:42.040]   Using Python we can see it if you're using rust to integrate with CUDA for example
[00:07:42.040 --> 00:07:48.560]   That also works but any compiled language is going to show up in those stack traces and even some of the
[00:07:48.560 --> 00:07:51.800]   Interpreted languages are going to show up like Ruby Python
[00:07:51.800 --> 00:07:55.020]   JVM etc. So while
[00:07:55.020 --> 00:07:59.660]   There is a focus at this conference that we're talking about GPUs here
[00:07:59.660 --> 00:08:07.420]   It really works with like any language and in any application so web servers databases and back to databases for example
[00:08:07.420 --> 00:08:11.520]   Also are interested in improving their performance obviously
[00:08:11.520 --> 00:08:15.520]   Something super exciting that we first
[00:08:15.520 --> 00:08:19.160]   Introduced this morning, so this like
[00:08:19.160 --> 00:08:22.840]   super fresh and hot of the press is
[00:08:22.840 --> 00:08:25.580]   GPU time profiling so
[00:08:25.640 --> 00:08:33.300]   um, as you heard like I I was talking about like these GPU profiles and we we look how how much time is spent on
[00:08:33.300 --> 00:08:38.560]   individual functions on the CPU but we are like more interested in
[00:08:38.560 --> 00:08:42.240]   GPU time spent by these functions, so here's like a
[00:08:42.240 --> 00:08:44.820]   small example of
[00:08:44.820 --> 00:08:49.180]   CUDA functions and basically what we do is we tell the Linux kernel
[00:08:49.180 --> 00:08:52.120]   to
[00:08:52.120 --> 00:08:57.840]   Whenever there's a CUDA stack getting put on the on the CPU to tell us the start time of that
[00:08:57.840 --> 00:09:00.840]   function and then eventually tell us the
[00:09:00.840 --> 00:09:03.360]   time when that kind of
[00:09:03.360 --> 00:09:10.680]   Terminates and then we know the duration of how much time that particular kernel was spending on on the GPU
[00:09:10.680 --> 00:09:18.320]   And and that's super interesting obviously because now we can actually see how much GPU time these individual
[00:09:19.460 --> 00:09:24.760]   Functions are taking on the GPU and here's a bit more of a real world
[00:09:24.760 --> 00:09:28.060]   Example so at the top we can see
[00:09:28.060 --> 00:09:30.200]   on the
[00:09:30.200 --> 00:09:35.660]   Yeah, on the right-hand side we can see like the main function in Python and then calling down into
[00:09:35.660 --> 00:09:38.500]   libcuda down here and the width of these
[00:09:38.500 --> 00:09:44.040]   Stacks that we're seeing is like the actual time that we had these functions
[00:09:44.660 --> 00:09:46.660]   Take up in in the GPU
[00:09:46.660 --> 00:09:51.660]   Yeah, so this is like basically
[00:09:51.660 --> 00:09:54.480]   the stack on the CPU
[00:09:54.480 --> 00:10:02.320]   Down to here and then the leaf of each stack is the function that was taking time on the GPU
[00:10:04.820 --> 00:10:06.820]   The colors are different
[00:10:06.820 --> 00:10:11.580]   Binaries in this case that are running on your machine
[00:10:11.580 --> 00:10:16.640]   So that's why I like blue up here for example is Python and then there's like some
[00:10:16.640 --> 00:10:19.420]   Some I think CUDA down here
[00:10:19.420 --> 00:10:23.880]   Yeah, great question. How do you get started?
[00:10:24.560 --> 00:10:30.920]   Because we we run on Linux using a BPF you have a binary that you can
[00:10:30.920 --> 00:10:38.020]   That you can run using system do docker works as well, but we also have a daemon set for kubernetes
[00:10:38.020 --> 00:10:43.740]   And you deploy that you get the manifest yaml and give it a token
[00:10:44.420 --> 00:10:50.660]   And then some of our customers are already using it for CPU and memory profiling and they're starting to
[00:10:50.660 --> 00:10:55.360]   Also integrate their platforms with our GPU profiling
[00:10:55.360 --> 00:10:58.300]   especially like turbo puffer
[00:10:58.300 --> 00:11:05.020]   Are are interested in in improving their performance of their vector engine, right?
[00:11:05.420 --> 00:11:09.400]   And that's really it um, please visit visit our booth
[00:11:09.400 --> 00:11:17.820]   You got the first ten people get like to sign up for a consultation get two hours for free if you want to
[00:11:17.820 --> 00:11:24.440]   And we can also do discounts for C and CSA startups, and that's really it. Thank you so much
[00:11:24.440 --> 00:11:26.440]   You
[00:11:26.440 --> 00:11:30.460]   We'll see you next time.

