
[00:00:00.040 --> 00:00:09.480]   eviden
[00:03:52.480 --> 00:04:22.480]   I'm looking to get some money out of the investment property to raise equity
[00:04:22.480 --> 00:04:22.480]   I'm looking to get some money out of the investment property to raise equity
[00:04:22.480 --> 00:04:22.480]   I'm looking to get some money out of the investment property to raise equity
[00:04:22.480 --> 00:04:22.480]   I'm looking to get some money out of the investment property to raise equity
[00:04:22.480 --> 00:04:22.480]   I'm looking to get some money out of the investment property to raise equity
[00:04:22.480 --> 00:04:22.480]   I'm looking to get some money out of the investment property to raise equity
[00:04:22.480 --> 00:04:22.480]   I'm looking to get some money out of the investment property to raise equity
[00:04:22.480 --> 00:04:22.480]   I'm looking to get some money out of the investment property to raise equity
[00:04:22.480 --> 00:04:22.480]   I'm looking to get some money out of the investment property to raise equity
[00:04:22.480 --> 00:04:22.480]   I'm looking to get some money out of the investment property to raise equity
[00:04:22.480 --> 00:04:22.480]   I'm looking to get some money out of the investment property to raise equity
[00:04:22.480 --> 00:04:22.480]   I'm looking to get some money out of the investment property to raise equity to raise equity
[00:04:22.520 --> 00:04:32.660]   Bre
[00:04:32.660 --> 00:04:33.540]  , out,
[00:04:33.540 --> 00:04:33.620]   caregiver les'd in the money is, I am my
[00:04:33.620 --> 00:04:50.620]   remained the be. The. The. The. The. the. the. the. the. in the in theéch group in сохранlicht пару Lieutenantestersensive formatting versucht Люб
[00:04:50.880 --> 00:04:58.400]   would you be able to effectively conduct a search for the type of business you're planning to move into on nights and weekends?
[00:04:58.400 --> 00:05:06.900]   That is a tricky question. I sort of struggled with that.
[00:05:06.900 --> 00:05:13.400]   I think I could. It would be a lot more work.
[00:05:13.400 --> 00:05:19.240]   Part of the thing that sort of weighs on me with that would be
[00:05:19.240 --> 00:05:19.240]   part of the thing that sort of weighs on me with that would be
[00:05:19.240 --> 00:05:19.240]   part of the thing that sort of weighs on me with that would be
[00:05:19.240 --> 00:05:19.240]   part of the thing that sort of weighs on me with that would be
[00:05:19.240 --> 00:05:19.240]   part of the thing that sort of weighs on me with that would be
[00:05:19.240 --> 00:05:19.240]   part of the thing that sort of weighs on me with that would be
[00:05:19.240 --> 00:05:19.240]   part of the thing that sort of weighs on me with that would be
[00:05:19.240 --> 00:05:19.240]   part of the thing that sort of weighs on me with that would be
[00:05:19.240 --> 00:05:19.240]   part of the thing that sort of weighs on me with that would be
[00:05:19.240 --> 00:05:19.240]   part of the thing that sort of weighs on me with that would be
[00:05:20.120 --> 00:05:47.740]   part of the thing that sort of weighs on me with that would be
[00:05:47.740 --> 00:05:47.820]   part of the thing that sort of weighs on me with that would be
[00:05:47.820 --> 00:05:47.820]   part of the thing that sort of weighs on me with that would be
[00:05:47.820 --> 00:05:47.920]   part of the thing that sort of weighs on me with that would be
[00:05:47.920 --> 00:05:47.940]   part of the thing that sort of weighs on me with that would be
[00:05:47.940 --> 00:05:47.980]   part of the thing that sort of weighs on me with that would be
[00:05:47.980 --> 00:05:48.020]   part of the thing that sort of weighs on me with that would be
[00:05:48.020 --> 00:05:48.120]   part of the thing that sort of weighs on me with that would be
[00:05:48.120 --> 00:05:48.120]   part of the thing that sort of the things that sort of the things that sort of the things that I'd be
[00:05:48.140 --> 00:05:56.220]   you're you'd kind of feel a bit of pressure to get something rolling
[00:05:56.220 --> 00:05:56.220]   you're you'd kind of feel a bit of pressure to get something rolling
[00:05:56.220 --> 00:05:59.220]   you're you'd kind of feel a bit of pressure to get something rolling which maybe is less than ideal as well
[00:05:59.220 --> 00:05:59.220]   which maybe is less than ideal as well
[00:05:59.220 --> 00:06:01.520]   which maybe is less than ideal as well right yeah I think your analysis there is
[00:06:01.520 --> 00:06:01.540]   right yeah I think your analysis there is
[00:06:01.540 --> 00:06:04.920]   right yeah I think your analysis there is spot on and to me that would be a big
[00:06:04.920 --> 00:06:04.940]   spot on and to me that would be a big
[00:06:04.940 --> 00:06:08.220]   spot on and to me that would be a big big deal if you're the sole income
[00:06:08.220 --> 00:06:08.240]   big deal if you're the sole income
[00:06:08.240 --> 00:06:10.100]   big deal if you're the sole income earner for your family obviously you
[00:06:10.100 --> 00:06:10.100]   earner for your family obviously you
[00:06:10.100 --> 00:06:11.920]   earner for your family obviously you have some money saved so that can get
[00:06:11.920 --> 00:06:11.940]   have some money saved so that can get
[00:06:11.980 --> 00:06:38.640]   have some money saved so that can get you through a time but if you're the
[00:06:38.640 --> 00:06:38.660]   you through a time but if you're the
[00:06:38.660 --> 00:06:40.860]   you through a time but if you're the sole income earner for your family you
[00:06:40.860 --> 00:06:40.860]   sole income earner for your family you
[00:06:40.860 --> 00:06:41.980]   sole income earner for your family you quit your job and you focus exclusively
[00:06:42.000 --> 00:06:42.040]   quit your job and you focus exclusively
[00:06:42.040 --> 00:06:44.900]   quit your job and you focus exclusively that's a that's a big negotiating chip in
[00:06:44.900 --> 00:06:44.900]   that's a that's a that's a big negotiating chip in
[00:06:44.900 --> 00:06:47.400]   that's a that's a that's a big negotiating chip in their favor versus you're well employed
[00:06:47.400 --> 00:06:47.400]   their favor versus you're well employed
[00:06:47.400 --> 00:06:48.980]   their favor versus you're well employed you're making lots of money you're
[00:06:48.980 --> 00:06:49.000]   you're making lots of money you're
[00:06:49.000 --> 00:06:50.620]   you're making lots of money you're looking for a business and you're serious
[00:06:50.620 --> 00:06:50.640]   looking for a business and you're serious
[00:06:50.640 --> 00:06:52.140]   looking for a business and you're serious about it but you don't have to have
[00:06:52.140 --> 00:06:52.140]   about it but you don't have to have
[00:06:52.140 --> 00:06:54.040]   about it but you don't have to have this one you've got some other candidates
[00:06:54.040 --> 00:06:54.060]   this one you've got some other candidates
[00:06:54.060 --> 00:06:59.320]   this one you've got some other candidates etc and I'm not sure that when you
[00:06:59.340 --> 00:06:59.380]   etc and I'm not sure that when you
[00:06:59.380 --> 00:07:18.160]   talk about looking for a business and I mean we don't I don't think
[00:07:18.160 --> 00:07:18.180]   talk about looking for a business and I mean we don't I don't think
[00:07:18.180 --> 00:07:20.240]   talk about looking for a business and I mean we don't I don't think we need to go into the details of the specific type
[00:07:20.240 --> 00:07:20.260]   we need to go into the details of the specific type
[00:07:20.260 --> 00:07:21.980]   we need to go into the details of the specific type of business I'm not sure how you could
[00:07:21.980 --> 00:07:22.000]   of business I'm not sure how you could
[00:07:22.000 --> 00:07:23.080]   of business I'm not sure how you could actually invest 50 60 hours a week into
[00:07:23.080 --> 00:07:23.100]   actually invest 50 60 hours a week into
[00:07:23.100 --> 00:07:25.860]   actually invest 50 hours a week into looking for a business I mean could you profitably
[00:07:25.900 --> 00:07:34.800]   e
[00:07:34.800 --> 00:07:37.320]   It S
[00:08:25.660 --> 00:08:25.660]   It S
[00:08:25.660 --> 00:08:25.660]   It S
[00:08:25.680 --> 00:08:40.600]   skeptical skeptical. So that work doesn't disappear as opposed to say like a separate shift work where you take the time off it has to be covered by someone else. So that could be done, but then it's also tricky trying to balance that work.
[00:08:40.600 --> 00:08:46.120]   Have you and your wife already had the baby or is the baby expected at a certain time?
[00:08:46.120 --> 00:08:48.400]   She's about a month old now.
[00:08:48.400 --> 00:08:52.680]   So you can still take off maternity leave now?
[00:08:52.680 --> 00:08:55.560]   Yes. Yes.
[00:08:55.560 --> 00:08:55.560]   I'm not going to take off maternity leave now.
[00:08:55.560 --> 00:08:55.560]   Yes. Yes. I'm not going to take off maternity leave now.
[00:08:55.560 --> 00:08:55.680]   Yes. I'm not going to take off maternity leave now.
[00:08:55.680 --> 00:08:55.680]   Yes. I'm not going to take off maternity leave now.
[00:08:55.680 --> 00:08:55.700]   Yes. I'm not going to take off maternity leave now.
[00:08:55.700 --> 00:08:55.700]   Yes. I'm not going to take off maternity leave now.
[00:08:55.740 --> 00:09:19.920]  , so with the year maternity leave. So and say, saying about four months time, I took maternity leave, I would still have eight months maternity leave available to me.
[00:09:19.920 --> 00:09:19.960]   Yes. I'm not going to take off maternity leave now.
[00:09:19.960 --> 00:09:21.060]   Yes. I'm not going to take off maternity leave now.
[00:09:21.060 --> 00:09:21.120]   Yes. I'm not going to take off maternity leave now.
[00:09:21.120 --> 00:09:22.020]   Yes. I'm not going to take off maternity leave now.
[00:09:22.020 --> 00:09:23.040]   Yes. I'm not going to take off maternity leave now.
[00:09:23.040 --> 00:09:25.020]   about $500 of regular income.
[00:09:25.020 --> 00:09:25.600]   $500 of regular income.
[00:09:25.660 --> 00:09:55.660]   Well, so the income is not such a so important, specifically because you are, you're implying that you're positioned either way, you know, you're considering completely quitting, taking a month off visiting family, etc. So certainly, unless there's some really compelling thing that you really want to do with option three, I don't think you should go with option three, why quit if you don't have to, at the very least, you could hedge your bets and use maternity leave.
[00:09:55.660 --> 00:09:55.660]   You could hedge your bets and use maternity leave.
[00:09:55.660 --> 00:09:55.660]   Yes. I'm not going to take off maternity leave now.
[00:09:55.660 --> 00:09:55.660]   Yes. I'm not going to take off maternity leave now.
[00:09:55.660 --> 00:09:55.660]   Yes. I'm not going to take off maternity leave now.
[00:09:55.660 --> 00:09:55.660]   Yes. I'm not going to take off maternity leave now.
[00:09:55.660 --> 00:09:55.660]   Yes. I'm not going to take off maternity leave now.
[00:09:55.660 --> 00:09:55.660]   Yes. I'm not going to take off maternity leave now.
[00:09:55.660 --> 00:10:25.680]   Yes. I'm not going to take off maternity leave now.
[00:10:25.680 --> 00:10:25.680]   Yes. I'm not going to take off maternity leave now.
[00:10:25.680 --> 00:10:25.680]   Yes. I'm not going to take off maternity leave now.
[00:10:25.680 --> 00:10:25.680]   Yes. I'm not going to take off maternity leave now.
[00:10:25.680 --> 00:10:25.680]   Yes. I'm not going to take off maternity leave now.
[00:10:25.680 --> 00:10:25.680]   Yes. I'm not going to take off maternity leave now.
[00:10:25.700 --> 00:10:55.700]   Yes. I'm not going to take off maternity leave now.
[00:10:55.700 --> 00:10:55.700]   Yes. I'm not going to take off maternity leave now.
[00:10:55.700 --> 00:10:55.700]   Yes. I'm not going to take off maternity leave now.
[00:10:55.700 --> 00:10:55.700]   Yes. I'm not going to take off maternity leave now.
[00:10:55.700 --> 00:10:55.700]   Yes. I'm not going to take off maternity leave now.
[00:10:55.700 --> 00:10:55.700]   Yes. I'm not going to take off maternity leave now.
[00:10:55.700 --> 00:10:55.700]   Yes. I'm not going to take off maternity leave now.
[00:10:55.700 --> 00:10:55.700]   Yes. I'm not going to take off maternity leave now.
[00:10:55.700 --> 00:10:55.700]   Yes. I'm not going to take off maternity leave now.
[00:10:55.700 --> 00:10:55.700]   Yes. I'm not going to take off maternity leave now.
[00:10:55.700 --> 00:10:55.700]   Yes. I'm not going to take off maternity leave now.
[00:10:55.700 --> 00:10:55.700]   Yes. I'm not going to take off maternity leave now.
[00:10:55.700 --> 00:10:55.700]   Yes. I'm not going to take off maternity leave now.
[00:10:55.700 --> 00:11:25.720]   Yes. I'm not going to take off maternity leave now.
[00:11:25.720 --> 00:11:25.720]   Yes. I'm not going to take off maternity leave now.
[00:11:25.720 --> 00:11:25.720]   Yes. I'm not going to take off maternity leave now.
[00:11:25.720 --> 00:11:25.720]   Yes. I'm not going to take off maternity leave now.
[00:11:25.720 --> 00:11:25.720]   Yes. I'm not going to take off maternity leave now.
[00:11:25.720 --> 00:11:25.720]   Yes. I'm not going to take off maternity leave now.
[00:11:25.720 --> 00:11:25.720]   Yes. I'm not going to take off maternity leave now.
[00:11:25.740 --> 00:11:55.740]   Yes. I'm not going to take off maternity leave now.
[00:11:55.740 --> 00:11:55.740]   Yes. I'm not going to take off maternity leave now.
[00:11:55.740 --> 00:11:55.740]   Yes. I'm not going to take off maternity leave now.
[00:11:55.740 --> 00:11:55.740]   Yes. I'm not going to take off maternity leave now.
[00:11:55.740 --> 00:11:55.740]   Yes. I'm not going to take off maternity leave now.
[00:11:55.740 --> 00:11:55.740]   Yes. I'm not going to take off maternity leave now.
[00:11:55.740 --> 00:11:55.740]   Yes. I'm not going to take off maternity leave now.
[00:11:55.740 --> 00:11:55.740]   Yes. I'm not going to take off maternity leave now.
[00:11:55.740 --> 00:11:55.740]   Yes. I'm not going to take off maternity leave now.
[00:11:55.740 --> 00:11:55.740]   Yes. I'm not going to take off maternity leave now.
[00:11:55.740 --> 00:11:55.740]   Yes. I'm not going to take off maternity leave now.
[00:11:55.740 --> 00:11:55.740]   Yes. I'm not going to take off maternity leave now.
[00:11:55.740 --> 00:11:55.740]   Yes. I'm not going to take off maternity leave now.
[00:11:55.740 --> 00:12:25.760]   I'm not going to take off maternity leave now.
[00:12:25.760 --> 00:12:25.760]   Yes. I'm not going to take off maternity leave now.
[00:12:25.760 --> 00:12:25.760]   Yes. I'm not going to take off maternity leave now.
[00:12:25.760 --> 00:12:25.760]   Yes. I'm not going to take off maternity leave now.
[00:12:25.760 --> 00:12:25.760]   Yes. I'm not going to take off maternity leave now.
[00:12:25.760 --> 00:12:25.760]   Yes. I'm not going to take off maternity leave now.
[00:12:25.760 --> 00:12:25.760]   Yes. I'm not going to take off maternity leave now.
[00:12:25.760 --> 00:12:25.760]   Yes. I'm not going to take off maternity leave now.
[00:12:25.760 --> 00:12:25.760]   Yes. I'm not going to take off maternity leave now.
[00:12:25.780 --> 00:12:55.780]   I'm not going to take off maternity leave now.
[00:12:55.780 --> 00:12:55.780]   Yes. I'm not going to take off maternity leave now.
[00:12:55.780 --> 00:12:55.780]   Yes. I'm not going to take off maternity leave now.
[00:12:55.780 --> 00:12:55.780]   Yes. I'm not going to take off maternity leave now.
[00:12:55.780 --> 00:12:55.780]   Yes. I'm not going to take off maternity leave now.
[00:12:55.780 --> 00:12:55.780]   Yes. I'm not going to take off maternity leave now.
[00:12:55.780 --> 00:12:55.780]   Yes. I'm not going to take off maternity leave now.
[00:12:55.780 --> 00:12:55.780]   Yes. I'm not going to take off maternity leave now.
[00:12:55.780 --> 00:12:55.780]   Yes. I'm not going to take off maternity leave now.
[00:12:55.780 --> 00:12:55.780]   Yes. I'm not going to take off maternity leave now.
[00:12:55.780 --> 00:12:55.780]   Yes. I'm not going to take off maternity leave now.
[00:12:55.780 --> 00:12:55.780]   Yes. I'm not going to take off maternity leave now.
[00:12:55.780 --> 00:12:55.780]   Yes. I'm not going to take off maternity leave now.
[00:12:55.780 --> 00:13:25.800]   I'm not going to take off maternity leave now.
[00:13:25.800 --> 00:13:25.800]   Yes. I'm not going to take off maternity leave now.
[00:13:25.800 --> 00:13:25.800]   Yes. I'm not going to take off maternity leave now.
[00:13:25.800 --> 00:13:25.800]   Yes. I'm not going to take off maternity leave now.
[00:13:25.800 --> 00:13:25.800]   Yes. I'm not going to take off maternity leave now.
[00:13:25.800 --> 00:13:25.800]   Yes. I'm not going to take off maternity leave now.
[00:13:25.820 --> 00:13:55.820]   Yes. I'm not going to take off maternity leave now.
[00:13:55.820 --> 00:13:55.820]   Yes. I'm not going to take off maternity leave now.
[00:13:55.820 --> 00:13:55.820]   Yes. I'm not going to take off maternity leave now.
[00:13:55.820 --> 00:13:55.820]   Yes. I'm not going to take off maternity leave now.
[00:13:55.820 --> 00:13:55.820]   Yes. I'm not going to take off maternity leave now.
[00:13:55.820 --> 00:13:55.820]   Yes. I'm not going to take off maternity leave now.
[00:13:55.820 --> 00:13:55.820]   Yes. I'm not going to take off maternity leave now.
[00:13:55.820 --> 00:13:55.820]   Yes. I'm not going to take off maternity leave now.
[00:13:55.820 --> 00:13:55.820]   Yes. I'm not going to take off maternity leave now.
[00:13:55.820 --> 00:13:55.820]   Yes. I'm not going to take off maternity leave now.
[00:13:55.820 --> 00:13:55.820]   Yes. I'm not going to take off maternity leave now.
[00:13:55.820 --> 00:13:55.820]   Yes. I'm not going to take off maternity leave now.
[00:13:55.820 --> 00:13:55.820]   Yes. I'm not going to take off maternity leave now.
[00:13:55.820 --> 00:14:25.840]   in terms of your process of buying in, what is the deal that you're going to do?
[00:14:25.840 --> 00:14:25.840]   Yes. I'm not going to take off maternity leave now.
[00:14:25.840 --> 00:14:25.840]   Yes. I'm not going to take off maternity leave now.
[00:14:25.840 --> 00:14:25.840]   Yes. I'm not going to take off maternity leave now.
[00:14:25.840 --> 00:14:25.840]   Yes. I'm not going to take off maternity leave now.
[00:14:25.840 --> 00:14:25.840]   Yes. I'm not going to take off maternity leave now.
[00:14:25.840 --> 00:14:25.840]   Yes. I'm not going to take off maternity leave now.
[00:14:25.860 --> 00:14:55.860]   Yes. I'm not going to take off maternity leave now.
[00:14:55.860 --> 00:14:55.860]   Yes. I'm not going to take off maternity leave now.
[00:14:55.860 --> 00:14:55.860]   Yes. I'm not going to take off maternity leave now.
[00:14:55.860 --> 00:14:55.860]   Yes. I'm not going to take off maternity leave now.
[00:14:55.860 --> 00:14:55.860]   Yes. I'm not going to take off maternity leave now.
[00:14:55.860 --> 00:14:55.860]   Yes. I'm not going to take off maternity leave now.
[00:14:55.860 --> 00:14:55.860]   Yes. I'm not going to take off maternity leave now.
[00:14:55.860 --> 00:14:55.860]   Yes. I'm not going to take off maternity leave now.
[00:14:55.860 --> 00:14:55.860]   Yes. I'm not going to take off maternity leave now.
[00:14:55.860 --> 00:14:55.860]   Yes. I'm not going to take off maternity leave now.
[00:14:55.860 --> 00:14:55.860]   Yes. I'm not going to take off maternity leave now.
[00:14:55.860 --> 00:14:55.860]   Yes. I'm not going to take off maternity leave now.
[00:14:55.860 --> 00:14:55.860]   Yes. I'm not going to take off maternity leave now.
[00:14:55.860 --> 00:15:25.880]  ,
[00:15:25.880 --> 00:15:25.880]   Yes. I'm not going to take off maternity leave now.
[00:15:25.880 --> 00:15:25.880]   Yes. I'm not going to take off maternity leave now.
[00:15:25.880 --> 00:15:25.880]   Yes. I'm not going to take off maternity leave now.
[00:15:25.880 --> 00:15:25.880]   Yes. I'm not going to take off maternity leave now.
[00:15:25.880 --> 00:15:25.880]   Yes. I'm not going to take off maternity leave now.
[00:15:25.880 --> 00:15:25.880]   Yes. I'm not going to take off maternity leave now.
[00:15:25.880 --> 00:15:25.880]   Yes. I'm not going to take off maternity leave now.
[00:15:25.880 --> 00:15:25.880]   Yes. I'm not going to take off maternity leave now.
[00:15:25.880 --> 00:15:25.880]   Yes. I'm not going to take off maternity leave now.
[00:15:25.900 --> 00:15:55.900]   Yes. I'm not going to take off maternity leave now.
[00:15:55.900 --> 00:15:55.900]   Yes. I'm not going to take off maternity leave now.
[00:15:55.900 --> 00:15:55.900]   Yes. I'm not going to take off maternity leave now.
[00:15:55.900 --> 00:15:55.900]   Yes. I'm not going to take off maternity leave now.
[00:15:55.900 --> 00:15:55.900]   Yes. I'm not going to take off maternity leave now.
[00:15:55.900 --> 00:15:55.900]   Yes. I'm not going to take off maternity leave now.
[00:15:55.900 --> 00:15:55.900]   Yes. I'm not going to take off maternity leave now.
[00:15:55.900 --> 00:15:55.900]   Yes. I'm not going to take off maternity leave now.
[00:15:55.900 --> 00:15:55.900]   Yes. I'm not going to take off maternity leave now.
[00:15:55.900 --> 00:15:55.900]   Yes. I'm not going to take off maternity leave now.
[00:15:55.900 --> 00:15:55.900]   Yes. I'm not going to take off maternity leave now.
[00:15:55.900 --> 00:15:55.900]   Yes. I'm not going to take off maternity leave now.
[00:15:55.900 --> 00:15:55.900]   Yes. I'm not going to take off maternity leave now.
[00:15:55.900 --> 00:16:25.920]   in a company that doesn't have a lot of significant assets or equipment, etc. And if you expect that current majority partner to be the most important partner in the business, then you're going to be the most important partner in the business.
[00:16:25.920 --> 00:16:25.920]   Yes. I'm not going to take off maternity leave now.
[00:16:25.920 --> 00:16:25.920]   Yes. I'm not going to take off maternity leave now.
[00:16:25.920 --> 00:16:25.920]   Yes. I'm not going to take off maternity leave now.
[00:16:25.920 --> 00:16:25.920]   Yes. I'm not going to take off maternity leave now.
[00:16:25.920 --> 00:16:25.920]   Yes. I'm not going to take off maternity leave now.
[00:16:25.920 --> 00:16:25.920]   Yes. I'm not going to take off maternity leave now.
[00:16:25.920 --> 00:16:25.920]   Yes. I'm not going to take off maternity leave now.
[00:16:25.940 --> 00:16:55.940]   Yes. I'm not going to take off maternity leave now.
[00:16:55.940 --> 00:16:55.940]   Yes. I'm not going to take off maternity leave now.
[00:16:55.940 --> 00:16:55.940]   Yes. I'm not going to take off maternity leave now.
[00:16:55.940 --> 00:16:55.940]   Yes. I'm not going to take off maternity leave now.
[00:16:55.940 --> 00:16:55.940]   Yes. I'm not going to take off maternity leave now.
[00:16:55.940 --> 00:16:55.940]   Yes. I'm not going to take off maternity leave now.
[00:16:55.940 --> 00:16:55.940]   Yes. I'm not going to take off maternity leave now.
[00:16:55.940 --> 00:16:55.940]   Yes. I'm not going to take off maternity leave now.
[00:16:55.940 --> 00:16:55.940]   Yes. I'm not going to take off maternity leave now.
[00:16:55.940 --> 00:16:55.940]   Yes. I'm not going to take off maternity leave now.
[00:16:55.940 --> 00:16:55.940]   Yes. I'm not going to take off maternity leave now.
[00:16:55.940 --> 00:16:55.940]   Yes. I'm not going to take off maternity leave now.
[00:16:55.940 --> 00:16:55.940]   Yes. I'm not going to take off maternity leave now.
[00:16:55.940 --> 00:17:25.960]   a minority stake in a business. So you analyze it on that basis. It's great, absolutely, to have a minority stake, but you analyze it differently than something that you can control. So with this, I'm going to take off maternity leave now.
[00:17:25.960 --> 00:17:25.960]   Yes. I'm not going to take off maternity leave now.
[00:17:25.960 --> 00:17:25.960]   Yes. I'm not going to take off maternity leave now.
[00:17:25.960 --> 00:17:25.960]   Yes. I'm not going to take off maternity leave now.
[00:17:25.960 --> 00:17:25.960]   Yes. I'm not going to take off maternity leave now.
[00:17:25.960 --> 00:17:25.960]   Yes. I'm not going to take off maternity leave now.
[00:17:25.960 --> 00:17:25.960]   Yes. I'm not going to take off maternity leave now.
[00:17:25.980 --> 00:17:55.980]   Yes. I'm not going to take off maternity leave now.
[00:17:55.980 --> 00:17:55.980]   Yes. I'm not going to take off maternity leave now.
[00:17:55.980 --> 00:17:55.980]   Yes. I'm not going to take off maternity leave now.
[00:17:55.980 --> 00:17:55.980]   Yes. I'm not going to take off maternity leave now.
[00:17:55.980 --> 00:17:55.980]   Yes. I'm not going to take off maternity leave now.
[00:17:55.980 --> 00:17:55.980]   Yes. I'm not going to take off maternity leave now.
[00:17:55.980 --> 00:17:55.980]   Yes. I'm not going to take off maternity leave now.
[00:17:55.980 --> 00:17:55.980]   Yes. I'm not going to take off maternity leave now.
[00:17:55.980 --> 00:17:55.980]   Yes. I'm not going to take off maternity leave now.
[00:17:55.980 --> 00:17:55.980]   Yes. I'm not going to take off maternity leave now.
[00:17:55.980 --> 00:17:55.980]   Yes. I'm not going to take off maternity leave now.
[00:17:55.980 --> 00:17:55.980]   Yes. I'm not going to take off maternity leave now.
[00:17:55.980 --> 00:17:55.980]   Yes. I'm not going to take off maternity leave now.
[00:17:55.980 --> 00:18:26.000]  ,
[00:18:26.000 --> 00:18:26.000]   Yes. I'm not going to take off maternity leave now.
[00:18:26.000 --> 00:18:26.000]   Yes. I'm not going to take off maternity leave now.
[00:18:26.000 --> 00:18:26.000]   Yes. I'm not going to take off maternity leave now.
[00:18:26.000 --> 00:18:26.000]   Yes. I'm not going to take off maternity leave now.
[00:18:26.000 --> 00:18:26.000]   Yes. I'm not going to take off maternity leave now.
[00:18:26.000 --> 00:18:26.000]   Yes. I'm not going to take off maternity leave now.
[00:18:26.000 --> 00:18:26.000]   Yes. I'm not going to take off maternity leave now.
[00:18:26.000 --> 00:18:26.000]   Yes. I'm not going to take off maternity leave now.
[00:18:26.020 --> 00:18:56.020]   Yes. I'm not going to take off maternity leave now.
[00:18:56.020 --> 00:18:56.020]   Yes. I'm not going to take off maternity leave now.
[00:18:56.020 --> 00:18:56.020]   Yes. I'm not going to take off maternity leave now.
[00:18:56.020 --> 00:18:56.020]   Yes. I'm not going to take off maternity leave now.
[00:18:56.020 --> 00:18:56.020]   Yes. I'm not going to take off maternity leave now.
[00:18:56.020 --> 00:18:56.020]   Yes. I'm not going to take off maternity leave now.
[00:18:56.020 --> 00:18:56.020]   Yes. I'm not going to take off maternity leave now.
[00:18:56.020 --> 00:18:56.020]   Yes. I'm not going to take off maternity leave now.
[00:18:56.020 --> 00:18:56.020]   Yes. I'm not going to take off maternity leave now.
[00:18:56.020 --> 00:18:56.020]   Yes. I'm not going to take off maternity leave now.
