
[00:00:00.000 --> 00:00:02.000]   Welcome back
[00:05:19.920 --> 00:05:23.840]   Viddly or vitally I don't know how to pronounce his name correctly has done another very nice post on
[00:05:23.840 --> 00:05:31.120]   just an introductory post on how we train neural networks, and I wanted to point this one out as being like I think
[00:05:31.120 --> 00:05:34.000]   This is one of the participants in this course
[00:05:34.000 --> 00:05:41.640]   Who's just got a particular knack for technical communication, and I think we can all learn from you know from his posts about about good technical writing
[00:05:41.640 --> 00:05:45.080]   What I really like particularly is that he?
[00:05:45.800 --> 00:05:50.760]   He assumes almost nothing like he has a kind of a very chatty tone and describes everything
[00:05:50.760 --> 00:05:53.140]   But he also assumes that the reader is intelligent
[00:05:53.140 --> 00:05:58.320]   But you know so like he's not afraid to kind of say he's a paper or he's an equation or or whatever
[00:05:58.320 --> 00:06:01.600]   But then he's going to go through and tell you exactly what that equation means
[00:06:01.600 --> 00:06:05.920]   So it's kind of like this nice mix of like writing for
[00:06:05.920 --> 00:06:12.640]   Respectfully for an intelligent audience, but also not assuming any particular background knowledge
[00:06:13.640 --> 00:06:15.640]   so
[00:06:15.640 --> 00:06:23.400]   Then I made the mistake earlier this wake of posting a picture of my first placing on the Kaggle seedlings competition
[00:06:23.400 --> 00:06:29.820]   At which point five other fast AI students posted their pictures of them passing me over the next few days
[00:06:29.820 --> 00:06:34.500]   So this is the current leaderboard for the Kaggle plant seedlings competition
[00:06:34.500 --> 00:06:40.400]   I believe the put up top six are all fast AI students or in the worst of those teachers
[00:06:40.840 --> 00:06:43.480]   And so I think this is like a really
[00:06:43.480 --> 00:06:45.000]   Oh
[00:06:45.000 --> 00:06:47.080]   Look James has just passed he was first
[00:06:47.080 --> 00:06:50.040]   This is a really good example of like
[00:06:50.040 --> 00:06:53.480]   what you can do this is
[00:06:53.480 --> 00:06:56.160]   I'm trying to think it was like a
[00:06:56.160 --> 00:06:58.920]   small number of thousands of images
[00:06:58.920 --> 00:07:05.120]   And most of the images were only were less than a hundred pixels by hundred pixels
[00:07:07.960 --> 00:07:12.880]   And yet week, you know, I bet my my approach was basically to say let's just run through the notebook
[00:07:12.880 --> 00:07:15.720]   We have pretty much default took me. I don't know an hour
[00:07:15.720 --> 00:07:21.600]   And I'm I think the other students doing a little bit more than that
[00:07:21.600 --> 00:07:26.800]   But not a lot more and basically what this is saying is yeah, these these techniques
[00:07:26.800 --> 00:07:32.400]   Work pretty reliably to a point where people that aren't using the fast AI libraries
[00:07:32.400 --> 00:07:36.720]   You know literally really struggling
[00:07:37.560 --> 00:07:41.720]   I suspect all these are fast AI students. You might have to go down quite a way
[00:07:41.720 --> 00:07:45.720]   So I thought that was very interesting and really really cool
[00:07:45.720 --> 00:07:49.960]   So today we're going to
[00:07:49.960 --> 00:07:56.320]   Start what I would kind of call like the second half of this course
[00:07:56.320 --> 00:07:59.480]   so the first half of this course has been like
[00:07:59.480 --> 00:08:01.800]   getting through
[00:08:01.800 --> 00:08:05.320]   Like these are the applications that we can use this for
[00:08:06.200 --> 00:08:08.440]   The here's kind of the code you have to write
[00:08:08.440 --> 00:08:13.000]   Here's a fairly high level ish description of what it's doing
[00:08:13.000 --> 00:08:15.320]   and
[00:08:15.320 --> 00:08:20.440]   We're kind of we're kind of done for that bit and what we're now going to do is go in reverse
[00:08:20.440 --> 00:08:23.900]   We're going to go back over all of those exact same things again
[00:08:23.900 --> 00:08:29.480]   But this time we're going to dig into the detail of everyone and we're going to look inside the source code of a fast AI
[00:08:29.480 --> 00:08:32.160]   Library to see what it's doing and try to replicate
[00:08:32.920 --> 00:08:38.680]   that so in a sense like there's not going to be a lot more
[00:08:38.680 --> 00:08:45.880]   Best practices to show you like I've kind of shown you the best best practices
[00:08:45.880 --> 00:08:46.560]   I know
[00:08:46.560 --> 00:08:52.520]   But I feel like for us to now build on top of those to debug those models to come back to part 2
[00:08:52.520 --> 00:08:57.680]   Where we're going to kind of try out some new things, you know, it really helps to understand what's going on
[00:08:58.240 --> 00:09:04.680]   Behind the scenes. Okay, so the goal here today is we're going to try and create a
[00:09:04.680 --> 00:09:07.920]   pretty effective collaborative filtering model
[00:09:07.920 --> 00:09:15.120]   Almost entirely from scratch so we'll use the kind of we'll use pytorch as a
[00:09:15.120 --> 00:09:22.200]   Automatic differentiation tool and as a GPU programming tool and not very much else. We'll try not to use its neural net features
[00:09:22.200 --> 00:09:23.720]   We'll try not to use
[00:09:23.720 --> 00:09:27.280]   Fast AI library any more than necessary. So that's the goal
[00:09:27.280 --> 00:09:29.320]   so
[00:09:29.320 --> 00:09:33.400]   Let's go back and you know, we only very quickly look at collaborative filtering last time
[00:09:33.400 --> 00:09:38.100]   So let's let's go back and have a look at collaborative filtering. And so we're going to look at this
[00:09:38.100 --> 00:09:41.120]   movie lens data set
[00:09:41.120 --> 00:09:43.520]   so
[00:09:43.520 --> 00:09:45.520]   the movie lens data set
[00:09:45.520 --> 00:09:48.560]   Basically is a list of ratings
[00:09:48.560 --> 00:09:55.840]   it's got a bunch of different users that are represented by some ID and a bunch of movies that are represented by some ID and
[00:09:55.840 --> 00:10:00.520]   Rating it also has a timestamp. I haven't actually ever tried to use this
[00:10:00.520 --> 00:10:04.640]   I guess this is just like what what time did that person rate that movie?
[00:10:04.640 --> 00:10:09.560]   So that's all we're going to use for modeling is
[00:10:09.560 --> 00:10:16.640]   three columns user ID movie ID and rating and so thinking of that in kind of
[00:10:17.000 --> 00:10:20.760]   Structured data terms user ID and movie ID would be categorical variables
[00:10:20.760 --> 00:10:24.160]   we have two of them and rating would be a
[00:10:24.160 --> 00:10:27.040]   Would be a dependent variable
[00:10:27.040 --> 00:10:32.960]   We're not going to use this for modeling but we can use it for looking at stuff later
[00:10:32.960 --> 00:10:35.920]   We can grab a list of the names of the movies as well
[00:10:35.920 --> 00:10:43.200]   And you could use this genre information. I haven't tried to be interested if during the week anybody tries it and finds it helpful
[00:10:43.200 --> 00:10:46.440]   I guess as you might not find it helpful. We'll see
[00:10:47.040 --> 00:10:49.040]   so
[00:10:49.040 --> 00:10:53.520]   In order to kind of look at this better. I just grabbed
[00:10:53.520 --> 00:10:56.600]   the
[00:10:56.600 --> 00:11:00.320]   Users that have watched the most movies and the movies that have been the most watched
[00:11:00.320 --> 00:11:05.560]   And made a cross tab of it right so this is exactly the same data
[00:11:05.560 --> 00:11:10.880]   But it's a subset and now rather than being user movie rating we've got user
[00:11:10.880 --> 00:11:13.840]   movie rating
[00:11:14.480 --> 00:11:21.380]   And so some users haven't watched some of these movies. That's why some of these are not a number, okay?
[00:11:21.380 --> 00:11:24.400]   Then I copied that into Excel
[00:11:24.400 --> 00:11:32.200]   And you'll see there's a thing called collab filter dot XLS if you don't see it there now
[00:11:32.200 --> 00:11:34.200]   I'll make sure I've got it there by tomorrow
[00:11:34.200 --> 00:11:37.160]   And
[00:11:37.160 --> 00:11:39.520]   Here is where I've copied
[00:11:40.360 --> 00:11:44.280]   That table okay, so as I go through this like
[00:11:44.280 --> 00:11:49.600]   Set up of the problem and kind of how it's described and stuff if you're ever feeling
[00:11:49.600 --> 00:11:52.240]   lost feel free to
[00:11:52.240 --> 00:11:58.720]   Ask either directly or through the forum if you ask through the forum and somebody answers there
[00:11:58.720 --> 00:12:00.720]   I want you to answer it here
[00:12:00.720 --> 00:12:05.400]   but if somebody else asks a question you would like answered of course just like it and
[00:12:06.880 --> 00:12:10.960]   Your net will keep an eye out for that because kind of that's we're digging in
[00:12:10.960 --> 00:12:16.560]   To the details of what's going on behind the scenes. It's kind of important that at each stage you feel like okay. I can see
[00:12:16.560 --> 00:12:19.040]   What's going on?
[00:12:19.040 --> 00:12:30.000]   Okay, so we're actually not going to build a neural net to start with
[00:12:30.000 --> 00:12:33.760]   Instead we're going to do something called a matrix factorization
[00:12:36.040 --> 00:12:41.120]   The reason we're not going to build a neural net to start with is that it so happens. There's a really really simple
[00:12:41.120 --> 00:12:47.440]   Kind of way of solving these kinds of problems, which I'm going to show you and so if I scroll down
[00:12:47.440 --> 00:12:54.640]   I've basically what I've got here is the same the same thing, but this time these are my predictions
[00:12:54.640 --> 00:13:00.240]   Rather than my actuals, and I'm going to show you how I created these predictions, okay, so here are my actuals
[00:13:00.240 --> 00:13:03.080]   Right here are my predictions and
[00:13:03.920 --> 00:13:06.000]   then down here
[00:13:06.000 --> 00:13:08.000]   we have our
[00:13:08.000 --> 00:13:10.960]   score which is the
[00:13:10.960 --> 00:13:13.200]   sum of the different squared
[00:13:13.200 --> 00:13:19.880]   Average square root okay, so this is RMSE down here. Okay, so on average we're
[00:13:19.880 --> 00:13:24.280]   Randomly initialized model is out by 2.8
[00:13:24.280 --> 00:13:29.480]   So let me show you what this model is and I'm going to show you by saying how do we guess?
[00:13:29.960 --> 00:13:33.320]   How much user ID number 14?
[00:13:33.320 --> 00:13:36.520]   likes movie ID number 27 and
[00:13:36.520 --> 00:13:40.680]   The prediction here. This is just at this stage is still random is
[00:13:40.680 --> 00:13:43.760]   0.91
[00:13:43.760 --> 00:13:48.680]   So how are we calculating 0.91 and the answer is we're taking it as?
[00:13:48.680 --> 00:13:52.000]   this vector here
[00:13:52.000 --> 00:13:59.580]   Dot product with this vector here so dot product means point seven one times point one nine
[00:13:59.860 --> 00:14:05.540]   plus point eight one times point six three plus point seven four plus point three one and so forth and in
[00:14:05.540 --> 00:14:09.900]   You know linear algebra speak because one of them is a column and one of them is a row
[00:14:09.900 --> 00:14:15.260]   This is the same as a matrix product so you can see here. I've used the excel function matrix multiply
[00:14:15.260 --> 00:14:18.500]   And that's my prediction
[00:14:18.500 --> 00:14:23.340]   Having said that if the original
[00:14:23.340 --> 00:14:27.220]   Rating doesn't exist at all
[00:14:28.540 --> 00:14:34.620]   Then I'm just going to set this to zero right because like there's no error in predicting something that hasn't happened
[00:14:34.620 --> 00:14:39.460]   Okay, so what I'm going to do is I'm basically going to say all right every one of my rate
[00:14:39.460 --> 00:14:44.340]   Rate my predictions is not going to be a neural net. It's going to be a single
[00:14:44.340 --> 00:14:46.980]   matrix multiplication
[00:14:46.980 --> 00:14:57.100]   now the matrix multiplication that it's doing is basically in practice is between like this matrix and
[00:14:57.460 --> 00:14:59.460]   this
[00:14:59.460 --> 00:15:04.560]   Matrix right so each one of these is a single part of that
[00:15:04.560 --> 00:15:12.340]   So I randomly initialize these these are just random numbers
[00:15:12.340 --> 00:15:15.380]   That I've just pasted in here
[00:15:15.380 --> 00:15:17.900]   So I've basically started off with two
[00:15:17.900 --> 00:15:26.060]   Random matrices, and I've said let's assume for the time being that every rating can be represented as
[00:15:26.780 --> 00:15:29.380]   The the matrix product of those two
[00:15:29.380 --> 00:15:34.180]   So then in excel you can actually do gradient descent
[00:15:34.180 --> 00:15:43.140]   You have to go to your options to the add-in section and check the box to say turn it on and once you do you'll
[00:15:43.140 --> 00:15:45.140]   See there's something there called solver
[00:15:45.140 --> 00:15:48.140]   And if I go solver it says okay, what's your?
[00:15:49.180 --> 00:15:56.900]   Objective function, and you just choose the cell so in this case. We chose the cell that contains our written in spread error and
[00:15:56.900 --> 00:16:00.580]   Then it says okay. What do you want to?
[00:16:00.580 --> 00:16:03.140]   Change and you can see here
[00:16:03.140 --> 00:16:07.940]   We've selected this matrix and this matrix and so it's going to do a gradient descent
[00:16:07.940 --> 00:16:15.420]   For us by changing these matrices to try and in this case minimize this is min minimize this excel
[00:16:15.860 --> 00:16:24.420]   So right grg non-linear is a gradient descent method so say solve and you'll see it starts at 2.8 and
[00:16:24.420 --> 00:16:30.740]   Then down here you'll see that number is going down. It's not actually showing us what it's doing
[00:16:30.740 --> 00:16:32.980]   but we can see that the numbers going down, so
[00:16:32.980 --> 00:16:35.980]   this is kind of got a
[00:16:35.980 --> 00:16:43.180]   neural neti feel to it in that we're doing like a matrix product and we're doing a gradient descent, but we don't have a
[00:16:43.820 --> 00:16:47.300]   Non-linear layer, and we don't have a second
[00:16:47.300 --> 00:16:51.220]   Linear layer on top of that so we don't get to call this deep learning
[00:16:51.220 --> 00:16:55.500]   so things where people do like deep learning each things where they have kind of
[00:16:55.500 --> 00:17:03.460]   Matrix products and gradient descents, but it's not deep people tend to just call that shallow learning okay, so we're doing shallow learning here
[00:17:03.460 --> 00:17:08.260]   Alright, so I'm just going to go ahead and press escape to stop it because I'm sick of waiting
[00:17:08.260 --> 00:17:11.500]   and so you can see
[00:17:12.060 --> 00:17:17.660]   We've now got down to the old point three nine all right, so for example
[00:17:17.660 --> 00:17:25.180]   It guessed that movie 72 for sorry movie 27 for use of 72 would get
[00:17:25.180 --> 00:17:28.380]   4.44 rating
[00:17:28.380 --> 00:17:34.780]   2772 and actually got a 4 rating so you can see like it's it's doing something quite useful
[00:17:37.140 --> 00:17:42.660]   So why is it doing something quite useful? I mean something to note here is
[00:17:42.660 --> 00:17:47.940]   The number of things we're trying to predict here is there's 225 of them
[00:17:47.940 --> 00:17:55.100]   Right and the number of things we're using to predict is that times two so 150 of them
[00:17:55.100 --> 00:17:58.780]   So it's not like we can just exactly fit we actually have to do some kind of
[00:17:58.780 --> 00:18:01.340]   machine learning here
[00:18:01.340 --> 00:18:05.060]   So basically what this is saying is that there does seem to be some
[00:18:05.660 --> 00:18:07.580]   way of
[00:18:07.580 --> 00:18:10.260]   making predictions in this way and
[00:18:10.260 --> 00:18:13.060]   So for those of you that have done some linear algebra
[00:18:13.060 --> 00:18:18.980]   And this is actually a matrix decomposition normally in linear algebra you would do this using a
[00:18:18.980 --> 00:18:26.580]   Analytical technique or using some techniques that are specifically designed for this purpose, but the nice thing is that we can use
[00:18:26.580 --> 00:18:30.220]   Gradient descent to solve pretty much everything including this
[00:18:30.220 --> 00:18:34.340]   I don't like to so much think of it from a linear algebra point of view though
[00:18:34.340 --> 00:18:41.300]   I like to think of it from an intuitive point of view which is this let's say movie. Sorry. Let's say movie ID 27 is
[00:18:41.300 --> 00:18:44.100]   Lord of the Rings
[00:18:44.100 --> 00:18:46.100]   part one and
[00:18:46.100 --> 00:18:48.740]   let's say
[00:18:48.740 --> 00:18:53.500]   Move and so let's say we're trying to make that prediction for user
[00:18:53.500 --> 00:18:59.220]   272 are they going to like Lord of the Rings part one and so conceptually
[00:18:59.820 --> 00:19:04.780]   That particular movie. Maybe there's like there's four. Sorry. There's five
[00:19:04.780 --> 00:19:07.980]   Numbers here and we could say like well
[00:19:07.980 --> 00:19:13.860]   What if the first one was like how much is it sci-fi and fantasy and the second one is like?
[00:19:13.860 --> 00:19:20.980]   How recent a movie and how much special effects is there you know and the one at the top might be like how dialogue driven?
[00:19:20.980 --> 00:19:28.820]   Is it right like let's say those kind of five these five numbers represented particular things about the movie and so if that was the case
[00:19:29.260 --> 00:19:33.620]   Then we could have the same five numbers for the user saying like okay
[00:19:33.620 --> 00:19:37.980]   How much does the user like sci-fi and fantasy how much does the user like?
[00:19:37.980 --> 00:19:45.820]   Modern this is a modern CGI driven movies. How much does this does this user like?
[00:19:45.820 --> 00:19:49.140]   Dialogue driven movies and so if you then took that cross product
[00:19:49.140 --> 00:19:55.940]   You would expect to have a good model right would expect to have a reasonable rating now the problem is
[00:19:56.540 --> 00:20:03.460]   We don't have this information for each user. We don't have the information for each movie, so we're just going to like assume
[00:20:03.460 --> 00:20:06.060]   That this is a reasonable
[00:20:06.060 --> 00:20:11.500]   Kind of way of thinking about this system, and let's and let's stochastic gradient descent try and find these numbers
[00:20:11.500 --> 00:20:15.860]   Right so so in other words these these factors
[00:20:15.860 --> 00:20:22.540]   We call these things factors these factors and we call them factors because you can multiply them together to create this
[00:20:23.100 --> 00:20:29.900]   They're factors in a linear algebra sense these factors. We call them latent factors because they're not actually
[00:20:29.900 --> 00:20:32.340]   This is not actually a
[00:20:32.340 --> 00:20:39.180]   Vector that we've like named and understood and like entered in manually we've kind of assumed
[00:20:39.180 --> 00:20:42.680]   That we can think of movie ratings this way
[00:20:42.680 --> 00:20:46.740]   we've assumed that we can think of them as a dot product of
[00:20:47.180 --> 00:20:54.220]   Some particular features about a movie and some particular features of what users like those kinds of movies, right?
[00:20:54.220 --> 00:20:56.220]   And then we've used gradient descent
[00:20:56.220 --> 00:20:59.980]   To just say okay try and find some numbers that that work
[00:20:59.980 --> 00:21:05.660]   So that's that's basically the technique right and it's kind of
[00:21:05.660 --> 00:21:14.460]   The and the entirety is in this spreadsheet right so that is collaborative filtering using what we call probabilistic matrix factorization
[00:21:15.020 --> 00:21:21.500]   And as you can see the whole thing is easy to do in an Excel spreadsheet and the entirety of it really is this single
[00:21:21.500 --> 00:21:24.240]   Thing which is a single matrix multiplication
[00:21:24.240 --> 00:21:27.140]   plus randomly initializing
[00:21:27.140 --> 00:21:36.300]   We like to know if it would be better to cap this to zero and five maybe yeah
[00:21:36.300 --> 00:21:42.340]   Yeah, we're going to do that later right. There's a whole lot of stuff. We can do improvements. This is like our
[00:21:43.580 --> 00:21:49.180]   Simple as possible starting point right so so what we're going to do now is we're going to try and implement this
[00:21:49.180 --> 00:21:52.340]   in Python
[00:21:52.340 --> 00:21:57.700]   And run it on the whole data set another question is how do you figure out how many?
[00:21:57.700 --> 00:22:03.860]   You know how it's clear. How long are the metrics? Yeah, why is it five? Yeah, yeah
[00:22:03.860 --> 00:22:06.860]   So something to think about
[00:22:06.860 --> 00:22:09.940]   Given that this is like movie 49, right?
[00:22:10.820 --> 00:22:13.700]   And we're looking at a rating for movie 49
[00:22:13.700 --> 00:22:18.660]   Think about this. This is actually an embedding matrix
[00:22:18.660 --> 00:22:20.540]   and
[00:22:20.540 --> 00:22:27.180]   So this length is actually the size of the embedding matrix. I'm not saying this is an analogy
[00:22:27.180 --> 00:22:30.600]   I'm saying it literally this is literally an embedding matrix
[00:22:30.600 --> 00:22:34.340]   We could have a one hot encoding where 72
[00:22:34.900 --> 00:22:42.300]   Where a one is in the 72nd position and so we'd like to look it up, and it would return this list of five numbers
[00:22:42.300 --> 00:22:47.660]   So the question is actually how do we decide on the dimensionality of our embedding vectors?
[00:22:47.660 --> 00:22:51.780]   And the answer to that question is we have no idea
[00:22:51.780 --> 00:22:55.340]   We have to try a few things and see what works
[00:22:55.340 --> 00:23:02.580]   the underlying concept is you need to pick an embedding dimensionality, which is
[00:23:03.740 --> 00:23:08.700]   Enough to reflect the kind of true complexity of this causal system
[00:23:08.700 --> 00:23:11.740]   but not so big that you
[00:23:11.740 --> 00:23:17.820]   Have too many parameters that it could take forever to run or even with vectorization. It might overfit
[00:23:17.820 --> 00:23:24.780]   So what does it mean when the factor is negative then
[00:23:24.780 --> 00:23:31.900]   The factor being negative in the movie case would mean like this is not dialogue driven in fact
[00:23:31.900 --> 00:23:38.060]   It's like the opposite dialogue here is terrible a negative for the user would be like I actually
[00:23:38.060 --> 00:23:44.620]   dislike modern CGI movies, so it's not from zero to whatever it's the range of
[00:23:44.620 --> 00:23:51.740]   Score it'd be negative is that range of score even like no no maximum. No. There's no constraints at all here
[00:23:51.740 --> 00:23:54.660]   These are just standard embedding matrices
[00:23:54.660 --> 00:23:59.700]   Thanks
[00:24:00.420 --> 00:24:07.700]   Questions the first question is why do what why can we trust this embeddings because like if you take a number six
[00:24:07.700 --> 00:24:11.840]   It can be expressed as 1 into 6 or like 6 into 1 or 2 into 3 and 3 into 2
[00:24:11.840 --> 00:24:19.980]   Also, are you saying like we could like reorder these five numbers in some other different order or like the value itself might be different
[00:24:19.980 --> 00:24:26.660]   As long as the product is something well, but you see we're using gradient descent to find the best numbers
[00:24:26.660 --> 00:24:30.260]   So like once we found a good minimum
[00:24:30.620 --> 00:24:32.620]   the idea is like
[00:24:32.620 --> 00:24:36.920]   Yeah, there are other numbers, but they don't give you as good an objective value
[00:24:36.920 --> 00:24:43.460]   And of course we should be checking that on a validation set really which we'll be doing in the Python version
[00:24:43.460 --> 00:24:49.180]   Okay, and the second question is when we have a new movie or a new user do we have to retrain the model?
[00:24:49.180 --> 00:24:53.540]   That is a really good question, and there isn't a straightforward answer to that
[00:24:53.540 --> 00:24:56.220]   Time permitting will come back to it
[00:24:56.220 --> 00:24:59.900]   But basically you would need to have like a kind of a new user
[00:25:00.100 --> 00:25:04.660]   Model or a new movie model that you would use initially
[00:25:04.660 --> 00:25:09.620]   And then over time yes, you would then have to retrain the model
[00:25:09.620 --> 00:25:11.800]   So like I don't know if they still do it
[00:25:11.800 --> 00:25:15.340]   But Netflix used to have this thing that when you were first on board it onto Netflix
[00:25:15.340 --> 00:25:17.340]   They would say like what movies do you like?
[00:25:17.340 --> 00:25:24.100]   And you'd have to go through and like say a bunch of movies you like and it would then like train its model
[00:25:28.140 --> 00:25:33.420]   Could you could you just find the nearest movie to the movie that you're trying to the new movie that you're trying to add?
[00:25:33.420 --> 00:25:35.700]   Yeah, you could use nearest neighbors for sure
[00:25:35.700 --> 00:25:43.660]   But the thing is initially at least in this case we have no
[00:25:43.660 --> 00:25:48.720]   Columns to describe a movie so if you had something about like the movies
[00:25:48.720 --> 00:25:55.060]   Genre release date who was in it or something you could have some kind of non collaborative filtering model
[00:25:55.060 --> 00:26:00.540]   And that was kind of what I meant. I like a new movie model. You'd have to have some some kind of predictors
[00:26:00.540 --> 00:26:04.660]   Okay, so a
[00:26:04.660 --> 00:26:11.940]   Lot of this is going to look familiar and and the way I'm going to do this is again
[00:26:11.940 --> 00:26:15.020]   It's kind of this top-down approach. We're going to start using a
[00:26:15.020 --> 00:26:22.860]   Few features of pytorch and fast AI and gradually we're going to redo it a few times in a few different ways
[00:26:23.580 --> 00:26:25.580]   Kind of doing a little bit deeper each time
[00:26:25.580 --> 00:26:36.520]   Regardless we do need a validation set so we can use our standard cross validation indexes approach to grab a random set of IDs
[00:26:36.520 --> 00:26:40.780]   This is something called weight decay
[00:26:40.780 --> 00:26:45.260]   Which we'll talk about later in the course for those of you that have done some machine learning
[00:26:45.260 --> 00:26:48.060]   It's L2 regularization basically
[00:26:48.060 --> 00:26:53.380]   And this is where we choose how big a embedding matrix do we want okay?
