
[00:00:00.000 --> 00:00:16.480]   Welcome, everyone, to the 83rd edition of Bogleheads on Investing.
[00:10:06.460 --> 00:10:11.980]   Now, some of them are affiliated with major brokerages. There might be some people that have accounts at
[00:10:11.980 --> 00:10:19.500]   Vanguard listening to this. And Vanguard is a very fine 501c3. Same is true with the one at Fidelity and the
[00:10:19.500 --> 00:10:29.820]   one at Schwab. I like all of those very much. But there are also community based 501c3 donor advised funds
[00:10:29.820 --> 00:10:37.980]   that have expertise in your local area if you want to give locally. So they're very useful and they're
[00:10:37.980 --> 00:10:46.380]   especially useful in purposes of this book because they allow you to give more tax efficiently than you
[00:10:46.380 --> 00:10:54.380]   might otherwise. I want to make a shout out to one organization that was founded or co-founded by
[00:10:55.340 --> 00:11:02.620]   Adam Nash. It's called DAFI, which is the donor advised fund for you. D-A-F-F dot org. This is a
[00:11:02.620 --> 00:11:08.220]   an intersection between Silicon Valley and donor advised funds.
[00:11:08.220 --> 00:11:08.700]   Yes.
[00:11:08.700 --> 00:11:14.540]   And I've been talking to Adam about this and his organization for a few years. So I wanted to just
[00:11:14.540 --> 00:11:19.180]   give a shout out. It really is interesting. It's very low cost, actually even lower cost than Vanguard.
[00:11:19.180 --> 00:11:25.100]   It's just got fixed fees. It is a 501c3 nonprofit organization. But there's a lot of, you know,
[00:11:25.100 --> 00:11:28.140]   again, Silicon Valley meets donor advised funds. You're going to have a lot of
[00:11:28.140 --> 00:11:34.140]   automation to how these things work. And you could actually transfer in assets from other donor advised
[00:11:34.140 --> 00:11:37.820]   funds to DAFI. So I found it to be interesting and I wanted to give a shout out. So you've heard of
[00:11:37.820 --> 00:11:38.620]   this organization.
[00:11:38.620 --> 00:11:44.540]   Well, not only that, it was in my book and an editor read it and said, I think maybe we should
[00:11:44.540 --> 00:11:48.860]   leave that out and just put in the big boys. But I had it in the book originally.
[00:11:48.860 --> 00:11:53.260]   Oh, is that right? And it was taken out. Interesting how we kind of come full circle on that.
[00:11:53.260 --> 00:11:57.020]   I don't want to call it like a Robin Hood of donor advised funds.
[00:11:57.020 --> 00:11:57.420]   Yes.
[00:11:57.420 --> 00:12:01.500]   Very efficient, very low cost, all the index funds, pick your own, family giving,
[00:12:01.500 --> 00:12:02.700]   and a whole lot of different things.
[00:12:02.700 --> 00:12:04.380]   The next generation, DAF.
[00:12:04.380 --> 00:12:07.820]   The next generation. I mean, well thought out, as you would expect from,
[00:12:07.820 --> 00:12:09.420]   you know, that group of people.
[00:12:09.420 --> 00:12:09.580]   Yes.
[00:12:10.380 --> 00:12:17.340]   So let's go ahead and move on to beyond donor advised funds. There are more complex
[00:12:17.340 --> 00:12:20.620]   organizations than that. Private foundations.
[00:12:20.620 --> 00:12:29.180]   Yeah. Private foundations have certain trade-offs. They are certainly more expensive to set up than just
[00:12:29.180 --> 00:12:37.260]   giving to a preexisting charity. You've got to file paperwork, the IRS, and you have annual reporting
[00:12:37.260 --> 00:12:44.300]   requirements. So you're going to have a tax forms you have to fill out every year. But they are a way of
[00:12:44.300 --> 00:12:53.180]   having more control and a little more flexibility than you might if you just gave to a 501c3 charity.
[00:12:53.180 --> 00:12:58.940]   I think for most people it would not be at the top of my list. When my father died,
[00:12:58.940 --> 00:13:05.900]   we started a very small private foundation and it was a fair amount of work to keep the whole thing
[00:13:05.900 --> 00:13:12.700]   going. I tend to believe that for most people, most of the time, a donor advised fund is going to be a
[00:13:12.700 --> 00:13:20.620]   better answer than a family foundation. The donor advised fund is the private foundation of America's
[00:13:20.620 --> 00:13:26.620]   middle class and in some cases, upper middle class. So a little bit more restrictions on a
[00:13:26.620 --> 00:13:29.660]   private foundation. First of all, there is a tax.
[00:13:29.660 --> 00:13:38.060]   The IRS does collect a tax from you, small tax tax. A 1.37% excise tax on your investments
[00:13:38.060 --> 00:13:46.380]   every year. So you've got that going. And the amount of money you can give is more circumscribed. The tax code
[00:13:46.380 --> 00:13:55.100]   clearly is prejudiced against private foundations and in favor of public charities, although the amount of
[00:13:55.100 --> 00:14:02.300]   money going to charity every year is far greater to private foundations than it is to donor advised funds.
[00:14:02.300 --> 00:14:07.180]   According to your book, there's like 10 times the number of donor advised funds than there are private
[00:14:07.180 --> 00:14:14.060]   foundations, but the amount of assets in private foundations is about five or six times what it is
[00:14:14.060 --> 00:14:18.860]   in donor advised funds. So some big, big families. Yeah, there are a lot of wealthy families that have
[00:14:18.860 --> 00:14:25.020]   these set up. Like the Gates Foundation. That would be one of the larger ones, yes. You also talk about
[00:14:25.020 --> 00:14:32.380]   using an LLC as a charitable giving tool. Could you explain that? You talk about Mark Zuckerberg doing this.
[00:14:32.380 --> 00:14:42.060]   Yes, it became a very fashionable idea when the Zuckerbergs decided to channel their charitable
[00:14:42.060 --> 00:14:47.100]   giving through an LLC. But as far as I can tell, it doesn't really have
[00:14:48.300 --> 00:14:56.220]   much of the way of an advantage over just using your checking account to give to charity. There's no
[00:14:56.220 --> 00:15:04.140]   special charitable prerogatives that obtained of the LLC structure. So it sort of, it became a quick
[00:15:04.140 --> 00:15:08.380]   flash in the pan. I think for most people, it's not going to be a way of setting up a charity.
[00:15:08.380 --> 00:15:18.780]   You also talk about a non-profit organizations that don't offer a tax deduction. And these are 501c4.
[00:15:18.780 --> 00:15:24.780]   Yes. Now, it was the first time I really knew what the IRS code was for this. But you describe what a
[00:15:24.780 --> 00:15:36.540]   501c4 is. It's a organization that serves a socially beneficial purpose in their own eyes. And you can
[00:15:37.260 --> 00:15:45.020]   give money to it. But you can't get a tax deduction for giving that money. I give two examples to show
[00:15:45.020 --> 00:15:50.780]   sort of why you might think it was a good idea or a bad idea. One would be Planned Parenthood. And one
[00:15:50.780 --> 00:15:56.620]   would be the National Rifle Association. People probably have strong feelings about these organizations
[00:15:56.620 --> 00:16:02.220]   on one side or the other. And you can give money to them. You won't get a charitable donation for it.
[00:16:02.220 --> 00:16:05.420]   There are some workarounds though, are there not?
[00:16:05.420 --> 00:16:12.940]   Yes, especially a large, well-organized, 501c4 organization like these are. They will also
[00:16:12.940 --> 00:16:21.740]   typically have a charitable wing that they operate that might donate to charitable causes that are
[00:16:21.740 --> 00:16:29.420]   considered to be good enough to rate the 501c3 designation. They might be contributing to reproductive
[00:16:29.420 --> 00:16:37.820]   education or they might be donating to gun safety or things like this that almost anybody would be
[00:16:37.820 --> 00:16:41.660]   in favor of. It would be more widely socially acceptable.
[00:16:41.660 --> 00:16:46.380]   So within the 501c4, there are 501c3s.
[00:16:46.380 --> 00:16:49.900]   They might also establish something like that for people that want to give money.
[00:16:49.900 --> 00:16:53.420]   But that money can only be used for specific uses.
[00:16:53.420 --> 00:16:54.940]   Yes, exactly.
[00:16:54.940 --> 00:17:01.740]   All right. So let's talk about tax benefits. And before we talk about tax benefits, we have to
[00:17:01.740 --> 00:17:06.540]   talk about the tax code and we have to talk about deductions that are what are called above the line
[00:17:06.540 --> 00:17:11.420]   and deductions that are below the line. So describe above the line and below the line deductions.
[00:17:11.420 --> 00:17:19.420]   Okay. Form 1040 on line 11, you finally get to something called your adjusted gross income.
[00:17:19.420 --> 00:17:27.260]   So anything that's above line 11 is considered now an above the line deduction. And there aren't very
[00:17:27.260 --> 00:17:33.020]   many of them, but there are things like if you give money to a health savings account every year,
[00:17:33.020 --> 00:17:39.660]   that would be considered an above the line deduction. Or you contribute to a 401k or an IRA,
[00:17:39.660 --> 00:17:46.700]   that would be considered above the line deduction. And above the line deductions are very valuable
[00:17:46.700 --> 00:17:55.180]   because they come right off the top of your income. And so the tax code is never applied against them.
[00:17:55.180 --> 00:17:57.500]   Even things like Medicare, IRMA.
[00:17:57.500 --> 00:18:06.140]   Yes. All these horrible ancillary taxes that are downstream, they will not add to those. Whereas
[00:18:06.140 --> 00:18:12.940]   if you have below the line deductions, that's nice, that's wonderful. But those insidious
[00:18:12.940 --> 00:18:17.900]   organizations that you referred to, you know, Medicare, IRMA taxes, they start, they don't care
[00:18:17.900 --> 00:18:21.980]   about your below the line deductions. They want to know what that adjusted gross income is. And we'll
[00:18:21.980 --> 00:18:29.820]   start there. So it's great, especially if you can find and take advantage of the above the line deductions.
[00:18:29.820 --> 00:18:37.820]   The below the line deductions appear further down Form 1040 on a separate schedule called Schedule A.
[00:18:37.820 --> 00:18:45.900]   There you can itemize deductions, and they will subtract from your adjusted gross income. And you'll
[00:18:45.900 --> 00:18:53.100]   get the tax benefit from those. I just bring that up because there are some deductions that will lower your
[00:18:53.100 --> 00:19:00.060]   adjusted gross income, which would also lower things like Medicare, IRMA, or give you a higher
[00:19:00.060 --> 00:19:10.220]   tax credit if you're on Obamacare. But the deductions for charitable contributions are below
[00:19:10.220 --> 00:19:16.140]   the line. So they don't do anything to lower your adjusted gross income or your modified adjusted gross
[00:19:16.140 --> 00:19:25.420]   income. But they do lower your taxable income. Most people, 90%, I understand, use a standard deduction
[00:19:25.420 --> 00:19:32.860]   on their tax returns, which for a married couple is this year, $30,000. And for single, it's $15,000.
[00:19:32.860 --> 00:19:33.580]   Right.
[00:19:33.580 --> 00:19:39.820]   A little higher for head of household. With a charitable deduct, before you get any tax benefit from it,
[00:19:39.820 --> 00:19:46.460]   you have to get above the standard deduction. This has become very relevant under President Trump's
[00:19:46.460 --> 00:19:54.620]   Tax Cuts and Jobs Act of 2017. Before then, the standard deduction was fairly low, which forced
[00:19:54.620 --> 00:20:00.140]   anybody that wanted to get these other deductions to go to Schedule A and itemize how much they spent on
[00:20:00.140 --> 00:20:09.260]   investment expenses, health care, how much they spent on state and local taxes and their mortgage payment.
[00:20:09.260 --> 00:20:17.260]   It was another whole complicated ordeal. So the thought was, we're going to simplify the tax code,
[00:20:17.260 --> 00:20:25.020]   which is a great, great thing to do. So we're going to give a very high standard deduction. So almost
[00:20:25.020 --> 00:20:31.500]   nobody is going to have to go beyond that. They'll just take the what's now a $30,000 for married,
[00:20:31.500 --> 00:20:39.020]   filing jointly taxpayers deduction, and nobody's going to have to worry about it anymore. The issue that comes
[00:20:39.020 --> 00:20:46.780]   up relative to this book is that unfortunately, or fortunately, charitable deductions all got listed
[00:20:46.780 --> 00:20:55.980]   on Schedule A as well. So what it means is that for the most part, people are not getting any tax credit
[00:20:55.980 --> 00:21:05.020]   at all for their standard average charitable deductions, because they never quite cross the borderline of
[00:21:05.020 --> 00:21:13.580]   that $30,000 a year threshold for a married couple or $15,000 for a person filing single.
[00:21:13.580 --> 00:21:23.020]   Even when you add up the other relevant deductions they might get, those might come to $20,000 in a good case.
[00:21:23.020 --> 00:21:30.620]   But that still means that the next $10,000 you give to charity, you're going to get no tax credit for it.
[00:21:30.620 --> 00:21:41.020]   So this is, this is sort of the downside of the tax simplification. And it's not anything that's encouraged a lot of charitable giving.
[00:21:41.020 --> 00:21:49.580]   But this all may change this year. We don't know yet, as Congress sorts out what the new tax bill will be,
[00:21:49.580 --> 00:21:58.140]   and probably will be signed this summer, maybe, where things like SALT, which is state and local taxes.
[00:21:58.140 --> 00:22:06.140]   The house bill that is sitting on the table right now, $40,000. That's a big jump from $10,000.
[00:22:06.140 --> 00:22:14.700]   So that immediately for people in California, per se, who are paying a high property tax and paying high state income tax,
[00:22:14.700 --> 00:22:21.180]   almost immediately now their charitable deduction now becomes a federal income tax deduction.
[00:22:21.180 --> 00:22:27.500]   Well, we're all looking at our chops in California about that. But I have some bad news.
[00:22:27.500 --> 00:22:35.500]   And this, this gives a certain insight. It's interesting because it sort of shows a little bit more about how the sausage is made in Washington, D.C.
[00:22:35.500 --> 00:22:48.460]   The real origin of the SALT deduction is that the three liberal blue coastal states with high state taxes,
[00:22:48.940 --> 00:22:55.580]   New York, New Jersey, California, loved this idea of the SALT tax, because in California,
[00:22:55.580 --> 00:23:02.860]   you know, a person makes a million dollars and they owe $100,000 in California tax, and they could write that off.
[00:23:02.860 --> 00:23:08.460]   And they don't care that much about the $100,000 tax because they write it off on their federal taxes,
[00:23:08.460 --> 00:23:14.780]   in effect, forcing the other 49 states to chip in and pay their California tax.
[00:23:14.780 --> 00:23:17.020]   Yeah, I moved to Texas to avoid this.
[00:23:17.020 --> 00:23:23.660]   So the whole state and local tax deduction was kind of a boondoggle in that respect.
[00:23:23.660 --> 00:23:32.860]   The House bill wanted to raise it to $40,000. But what happened is that now the bill has gone to the Senate.
[00:23:32.860 --> 00:23:41.260]   Let's let's name all of the Democratic senators from New York, New Jersey and California that are going to be pushing this through.
[00:23:42.220 --> 00:23:47.980]   And the answer is there aren't any. And President Trump has also told the Senate that, by the way,
[00:23:47.980 --> 00:23:53.180]   I don't really care about this. So there's no constituency to push this forward.
[00:23:53.980 --> 00:24:02.620]   So if the best case they could hope for is that the SALT, the House version would be passed as is, but even there, there's a cap on it.
[00:24:02.620 --> 00:24:14.620]   And so if you earn over $500,000 and you're married, it starts to get cut away 1% for every $1,000 over that you earn.
[00:24:14.620 --> 00:24:18.140]   1% for every $1,000?
[00:24:18.140 --> 00:24:29.340]   Yes, because when you get to the next $100,000, by the time you get to $600,000, the deduction has fallen from $40,000 back to $10,000.
[00:24:29.340 --> 00:24:43.180]   So basically one hand gives the other hand takes away, but it's it still would represent a $350 billion hit is they account for the how much it's going to cost to do it.
[00:24:44.140 --> 00:24:50.060]   So I think that the Republicans will be eager to find a way to make it less expensive to pass this tax bill.
[00:24:50.060 --> 00:25:01.660]   This benefit to New York, New Jersey and California is going to be one of the first things they take as they look a sconce at and maybe think of carrying back a bit.
[00:25:01.660 --> 00:25:09.660]   In addition to SALT, the other major deductions on your Schedule A are your mortgage interest and charitable contributions.
[00:25:09.660 --> 00:25:26.460]   So to the extent that mortgage interest since 2019 on new homes purchased has been capped at $750,000, it was a million dollars prior to that, a lot of people can't deduct their mortgage interest.
[00:25:26.460 --> 00:25:33.980]   Of the people that claim it, I think that the the average they they can cough up is like $11,000.
[00:25:33.980 --> 00:25:40.380]   It'll help you get to $30,000, but there's still going to be a gap somewhere unless you have huge medical expenses.
[00:25:40.380 --> 00:25:47.260]   Right. And the medical expenses are seven and a half percent above seven and a half percent of what is it your adjusted gross income?
[00:25:47.260 --> 00:25:48.740]   Yeah, something like that.
[00:25:48.740 --> 00:25:51.260]   So it has to be fairly high threshold.
[00:25:51.260 --> 00:25:59.100]   So we're still looking at a fairly high threshold here before charitable giving is actually becomes a tax deduction.
[00:25:59.100 --> 00:26:02.540]   But wait, there's there's one in the House bill.
[00:26:02.540 --> 00:26:05.660]   There is one charitable deduction that's above the line.
[00:26:05.660 --> 00:26:15.900]   They're letting you if you're a single person and you don't itemize if the House bill passes, you can give $150 to charity and write that off.
[00:26:15.900 --> 00:26:21.580]   And if you're married, you can give $300 that used to be in the tax code a few years ago.
[00:26:21.580 --> 00:26:25.140]   And I think it sunset like two years ago, if I'm not mistaken.
[00:26:25.140 --> 00:26:25.580]   Right.
[00:26:25.580 --> 00:26:26.460]   Yes.
[00:26:26.460 --> 00:26:30.140]   And under COVID, they thought they would give Americans a chance to do something.
[00:26:30.140 --> 00:26:39.680]   So we're going to get into some things like bunching a little bit later on and where you could still finagle your giving to a donor advised fund to be able to take a tax deduction.
[00:26:39.680 --> 00:26:41.320]   But we'll talk about that in a little bit.
[00:26:41.320 --> 00:26:44.520]   I want to get into another tax.
[00:26:44.520 --> 00:26:50.700]   And this is where charitable giving helps reduce that tax.
[00:26:50.700 --> 00:26:57.500]   And this tax is the estate tax, not only federal estate tax, but state estate taxes.
[00:26:57.500 --> 00:27:00.620]   So first, how does this work into charitable giving?
[00:27:01.180 --> 00:27:04.020]   Well, the estate tax is a big deal.
[00:27:04.020 --> 00:27:15.820]   It's 40 percent when you cross that threshold, which I think is roughly $14 million per person, $28 million for a married couple this year.
[00:27:15.820 --> 00:27:25.660]   So for people that have estates that are larger than that, 40 percent of that money is just going to the big landfill in Washington, D.C.
[00:27:25.660 --> 00:27:33.420]   People that are in that situation are meeting with their estate attorneys and trying to figure out ways around it.
[00:27:33.420 --> 00:27:39.880]   And so and one of the one of the big ways around that is to give money to charity in your estate.
[00:27:39.880 --> 00:27:50.660]   Right. So let's say your estate was $60 million and you had a $28 million federal estate tax exemption for a couple.
[00:27:50.660 --> 00:27:55.240]   The other $32 million would be taxed at 40 percent.
[00:27:55.240 --> 00:28:00.160]   So the estate would pay almost $13 million in estate taxes.
[00:28:00.160 --> 00:28:09.020]   Of that $32 million, if you gave a portion to charity, then it comes out of the estate.
[00:28:09.020 --> 00:28:09.620]   Yes.
[00:28:09.620 --> 00:28:13.460]   And the estate does not have to pay the tax on that.
[00:28:13.460 --> 00:28:14.320]   Is that how it works?
[00:28:14.320 --> 00:28:15.080]   Yes, indeed.
[00:28:15.080 --> 00:28:25.180]   Typically, as great as that is, and it's great for the charities, to be sure, for the most part, if you find yourself doing that, you have to ask yourself the question,
[00:28:25.720 --> 00:28:33.600]   would I have been better off giving more of this money away sooner, giving it away while I was alive?
[00:28:33.600 --> 00:28:41.440]   Because while it's great to give it to your estate and avoid the estate tax, you're not getting any income tax benefit from that.
[00:28:41.440 --> 00:28:50.460]   Whereas if you'd given that money away while you were living, you might have been able to deduct that against your income tax and carry that forward for a number of years.
[00:28:50.460 --> 00:29:00.500]   And then that money is still out of your estate, and furthermore, it's not compounding within your estate to just get bigger and bigger, to just have a bigger and bigger tax attached to it.
[00:29:00.500 --> 00:29:04.560]   So there's a lot to be said for giving money away earlier.
[00:29:04.560 --> 00:29:07.120]   Give while you live, as they say.
[00:29:07.780 --> 00:29:25.760]   If you give more than you're allowed to charity in a given year, like you give 100% of your income to charity in a given year, you can't take the full tax deduction on it, but it carries forward, correct?
[00:29:25.760 --> 00:29:26.340]   Right.
[00:29:26.340 --> 00:29:34.500]   You have five years to carry it forward, but every year that it carries forward, it still has to cross the same threshold.
[00:29:34.500 --> 00:29:36.440]   Rick, this is great news.
[00:29:36.440 --> 00:29:39.740]   You can give away all your money to charity anytime you want.
[00:29:39.740 --> 00:29:40.640]   It's a free country.
[00:29:40.640 --> 00:29:43.060]   You won't get a tax benefit from it, though.
[00:29:43.060 --> 00:29:51.980]   You'll only get a tax benefit if you give away an amount that falls under a certain amount of your, a certain percentage of your adjusted gross income.
[00:29:51.980 --> 00:29:59.280]   And so if you're giving to a public charity and you're giving away cash, that might be, you know, 60%.
[00:29:59.280 --> 00:30:04.200]   If you're giving to a private foundation and you're giving away cash, it might be 30%.
[00:30:04.200 --> 00:30:07.440]   If you're giving away stocks, it's less.
[00:30:07.440 --> 00:30:14.000]   It might be 30% for public charities and 20% to a private foundation.
[00:30:14.000 --> 00:30:16.040]   There are all these limitations you have to meet.
[00:30:16.040 --> 00:30:19.320]   So the tax benefit is circumscribed.
[00:30:19.320 --> 00:30:21.300]   That's interesting.
[00:30:21.400 --> 00:30:27.460]   I was reading in your book, and I did not know this either, that if you give cash, it's 60% of your adjusted gross income.
[00:30:27.460 --> 00:30:32.700]   But if you give a combination of cash and securities, it drops to 50%.
[00:30:32.700 --> 00:30:35.820]   There's all kinds of little quirks in the book that I found interesting.
