
[00:00:00.000 --> 00:00:09.340]   i guess not let me also share this on the discord how do we invite folks there's a lot of people
[00:16:13.120 --> 00:16:20.720]   you i'll show you what i mean by this um the first thing i want to talk about is how we generate
[00:16:20.720 --> 00:16:30.960]   semantic ids um so one of the previous ideas was using a vector quantization recommender so it generates
[00:16:30.960 --> 00:16:43.040]   codes they're like semantic ids uh what they use is an rqvae residual quantize uh variation and auto encoder
[00:16:43.040 --> 00:16:49.120]   i think i think this is quite important like how to train a good rqvae that leads to semantically
[00:16:49.120 --> 00:16:55.120]   meaningful semantic ids that your downstream model can then learn from uh i think it's quite challenging and
[00:16:55.120 --> 00:17:02.720]   i haven't found very good uh literature understanding of how to do this well so this is their proposed
[00:17:02.720 --> 00:17:12.000]   framework first we're given an item given an item's content be text audio image or video we encode it to
[00:17:12.000 --> 00:17:19.200]   first we get the vectors then we quantize it to semantic code words that's step number one second
[00:17:20.480 --> 00:17:27.200]   now once we have these tokens the semantic tokens for an item we can now use it to train a transformer
[00:17:27.200 --> 00:17:35.920]   model or language model which is the demo i just showed you so i'm going to take a little bit of time
[00:17:35.920 --> 00:17:40.720]   to try to help to try to help us all understand what residual quantization means
[00:17:42.320 --> 00:17:48.560]   so essentially given an embedding okay given an embedding that comes in we consider this the residue
[00:17:48.560 --> 00:17:56.160]   we think of everything here within this within this gray box as residuos and embedding comes in we
[00:17:56.160 --> 00:18:04.080]   consider the first residue we try to find which codebook token it is most similar to
[00:18:04.800 --> 00:18:11.760]   and we assign it to it right so now we've assigned it to token number seven and uh it's the most similar
[00:18:11.760 --> 00:18:16.960]   so then what we take is we take the initial residue that comes in the initial embedding that comes in
[00:18:16.960 --> 00:18:24.240]   this blue box we subtract away the embedding of the codebook token seven and now we get one right
[00:18:24.240 --> 00:18:31.280]   this this remaining thing here this is the remaining residue then we repeat it at codebook level two
[00:18:32.000 --> 00:18:38.720]   at codebook level two we try to find the most similar codebook token embedding the most similar
[00:18:38.720 --> 00:18:41.840]   vector we try to find the most similar vector we map it to it and over here we map it to
[00:18:41.840 --> 00:18:50.000]   uh dimension this token one right so now we take the previous residue we subtract the new
[00:18:50.000 --> 00:18:58.960]   codebook level two vector and now we get the remaining residue is at this level at the residue two
[00:18:59.600 --> 00:19:07.520]   right and then we repeat this right we repeat this along we keep repeating this until uh and along the
[00:19:07.520 --> 00:19:12.080]   way we keep trying to minimize the residue so essentially based on this we can now assign
[00:19:12.080 --> 00:19:22.080]   given an embedding space we can now assign it to integers or tokens right so now this outstanding the
[00:19:22.080 --> 00:19:27.760]   remaining the semantic code for this is seven one four so now if we take seven plus one plus four
[00:19:28.880 --> 00:19:33.440]   the output of this will be the quantized representation essentially what has come
[00:19:33.440 --> 00:19:38.880]   in which is blue we do this residual quantization and when we take the respective tokens they are assigned
[00:19:38.880 --> 00:19:48.080]   to it if we sum it all up it should be the same as whatever has come in and then based on this this
[00:19:48.080 --> 00:19:53.040]   quantized representation with a decoder we can get the original embedding
[00:19:55.200 --> 00:20:01.760]   any questions here did i lose everyone where does i mean i read the paper too and this part totally lost
[00:20:01.760 --> 00:20:10.320]   me where does that initial code book come from uh you initialize it randomly okay as you start oh
[00:20:10.320 --> 00:20:16.240]   yeah or there are smarter ways to do this which i'll talk about so you've got the random initialization
[00:20:16.240 --> 00:20:21.120]   and then in this process where you're learning the representation are you like iteratively updating the
[00:20:21.120 --> 00:20:31.280]   code book and updating okay that makes a lot more time yes so this rqvae needs to be learned um and
[00:20:31.280 --> 00:20:36.080]   when you learn this rqvae there are a lot of metrics to look at which we'll see and it's really hard to
[00:20:36.080 --> 00:20:43.600]   understand which metrics indicate a good rqvae um okay so that's the semantic id generation uh quick
[00:20:43.600 --> 00:20:50.800]   question uh and finally when we try to calculate the loss of the contested version and original version
[00:20:50.800 --> 00:21:00.160]   at 714 do we actually do addition or there's some other operation actually when i imagine that after
[00:21:00.160 --> 00:21:07.680]   training the code book it will be deviated from the original initialization so it won't be in the same
[00:21:07.680 --> 00:21:14.960]   scale right addition may not make sense i actually do addition so just addition yeah i just do addition
[00:21:14.960 --> 00:21:24.160]   okay and i think the the image suggests as addition as well i think they mentioned in the paper that they
[00:21:24.160 --> 00:21:31.440]   do uh three different code books for that reason so that the each code book has sort of like a different
[00:21:31.440 --> 00:21:38.000]   scale so that you can there they are additive exactly um because the norm the residues decreases with
[00:21:38.000 --> 00:21:46.320]   increasing levels right so so that was what i explained via the image i'm going to try to explain
[00:21:46.320 --> 00:21:52.800]   it again via the text in the paper because i i think this is really important so whatever comes in
[00:21:53.440 --> 00:22:01.440]   is the latent representation right and we consider this the initial residue which is r0 now this is this
[00:22:01.440 --> 00:22:07.840]   r0 is quantized essentially converted to an integer by mapping into the nearest embedding from that level
[00:22:07.840 --> 00:22:17.040]   of code book so r0 so now to get the next residual right we just take r0 minus the code book embedding
[00:22:18.160 --> 00:22:25.120]   right over here to to get the next residue we just take okay then similarly we recursively repeat this
[00:22:25.120 --> 00:22:34.560]   to find the m code words that represent the semantic id so this is done from cost to find now there's this
[00:22:34.560 --> 00:22:39.680]   section over here which i think is also quite important uh that i really want to try to help us all
[00:22:39.680 --> 00:22:45.360]   understand essentially now we know how we get the quantization the input and output everything
[00:22:46.400 --> 00:22:55.040]   now this z you can see over here which is really just a summation uh which is really just a summation
[00:22:55.040 --> 00:23:02.560]   of all the code book vectors this is now passed is to into the decoder right which tries to recreate
[00:23:02.560 --> 00:23:11.280]   the input embedding so now this imagine your code book could be like 32 dimensions and your input could be
[00:23:11.280 --> 00:23:19.760]   like 1124 dimensions this decoder now needs to map it from the input the the code book representation
[00:23:19.760 --> 00:23:30.960]   through the original input and has to try to learn that okay so then the next thing is how do we what is
[00:23:30.960 --> 00:23:35.600]   the loss for this so this is quite interesting to me this is the one of the first few times i've actually
[00:23:35.600 --> 00:23:42.000]   trained a rqvae and i spent quite a bit of time trying to understand this um i'll briefly talk
[00:23:42.000 --> 00:23:47.360]   through it very quickly and then we're going to the notes to try to see how to understand this so the loss
[00:23:47.360 --> 00:23:54.560]   function is the reconstruction loss plus the rqvae loss right and the reconstruction loss this is
[00:23:54.560 --> 00:24:00.000]   straightforward but rqvae loss uh takes a bit of time to understand so now let's go into this
[00:24:02.640 --> 00:24:08.720]   so the rqvae loss right is the reconstruction loss which is how well we can reconstruct the original
[00:24:08.720 --> 00:24:15.120]   output this is quite straightforward the original input is x over here the reconstructed output is x
[00:24:15.120 --> 00:24:22.080]   hat over here and this is really squared loss error so so how can we reconstruct it now that's question
[00:24:22.080 --> 00:24:27.520]   that's quite straightforward but the quantization loss this is this one is a little bit more complex
[00:24:28.400 --> 00:24:34.080]   you can see that there are two terms here which is really sg sg means stop graded stop gradient on
[00:24:34.080 --> 00:24:42.320]   residual minus the codebook and embedding and then there's a beta term which is how you want to balance
[00:24:42.320 --> 00:24:48.080]   it and then the residual minus the stop gradient on the embedding so you can see the left and the right
[00:24:48.080 --> 00:24:56.560]   is essentially the same except the stop gradient is on different terms so the first term this updates the
[00:24:56.560 --> 00:25:04.000]   codebook codebook vectors which is this uh which is e which is this embedding here to be closer to the
[00:25:04.000 --> 00:25:10.080]   residual right we stop the gradient so that we treat the residual as the fixed target
[00:25:10.080 --> 00:25:16.320]   and now what this does is it pulls the embedding closer to the target
[00:25:19.840 --> 00:25:24.480]   yeah and then so what this does is updates the codebook vectors to represent better
[00:25:24.480 --> 00:25:34.160]   residuos now the second one is that it updates the encoder to return residuos closer to the
[00:25:34.160 --> 00:25:40.160]   codebook embedding what so you can see where we stop the gradient on the codebook embedding and we treat
[00:25:40.160 --> 00:25:45.840]   the embedding as fixed so now the embedding is fixed so now your encoder has to try to
[00:25:45.840 --> 00:25:55.200]   do the encoding so that it maps better to the codebook embedding so essentially the first term
[00:25:55.200 --> 00:26:00.800]   teaches the codebook the second term teaches the encoder
[00:26:06.880 --> 00:26:14.640]   i think it's something like gans i'm not very familiar with gans uh but so yeah i i'm not sure i
[00:26:14.640 --> 00:26:21.440]   can if i can comment on that uh ted i think vector quantization is a multiple rounding us yes i i think
[00:26:21.440 --> 00:26:27.440]   the intuition is right this is very similar um and then there's a beta which is a weighting factor right
[00:26:27.440 --> 00:26:33.680]   so you can see in the paper they use a weighting factor of 0.25 essentially what this means is that
[00:26:34.480 --> 00:26:44.720]   we want to train the encoder less than we want to train the codebook and again how do you choose this
[00:26:44.720 --> 00:26:50.080]   beta it it's it's really hard i don't know in this case i think having high fidelity of the codebook is
[00:26:50.080 --> 00:26:55.680]   important because that's what we will use to train our downstream model we're not training rqv for the
[00:26:55.680 --> 00:27:00.400]   sake of training in rqva we're training rq over here we're trying to rqva for the sake of having
[00:27:00.400 --> 00:27:07.840]   good semantic ids that we can use in a downstream use case any questions here
[00:27:07.840 --> 00:27:18.640]   did i lose everyone i was like i'm i was just i've just been building a variational auto encoder so
[00:27:18.640 --> 00:27:25.760]   i'm a little curious like when in all my reading there's always like a elbow or elbow like loss
[00:27:26.560 --> 00:27:34.080]   the and i don't see one there did you did you understand why they didn't use that or is it just
[00:27:34.080 --> 00:27:39.920]   not mentioned or they didn't use that it's just not mentioned i guess it's because um when you look
[00:27:39.920 --> 00:27:49.600]   at our cube and the rqvas didn't really come from this it came from representing audio and also images
[00:27:49.600 --> 00:27:56.960]   decided these two papers right residual vector quantizer so uh ted has a has a hand raised
[00:27:56.960 --> 00:28:05.840]   yeah so i don't deeply understand it but i think i can answer rj's question at a superficial level
[00:28:05.840 --> 00:28:15.920]   which is that the elbow is used to approximate when you are training your regular continuous vae okay and so you
[00:28:15.920 --> 00:28:20.880]   have some assumptions around like whatever normal distribution and things like that that what you're
[00:28:20.880 --> 00:28:25.360]   trying to do is you're trying to do maximum likelihood but you can't do it directly so you use
[00:28:25.360 --> 00:28:34.240]   this elbow as a proxy in order to try to get to the maximum likelihood okay what the what the vqvae paper
[00:28:34.240 --> 00:28:39.760]   says is that we're using a whatever multinomial distribution instead of this continuous distribution
[00:28:40.400 --> 00:28:46.240]   and and that's the reason why uh because of that distribution assumption we no longer have this
[00:28:46.240 --> 00:28:51.440]   elbow thing i've never fully wrapped my head around it but it's fundamentally because this discrete
[00:28:51.440 --> 00:28:57.440]   distribution is very different from the continuous distribution that we use with elbow i i so somebody
[00:28:57.440 --> 00:29:03.760]   can go deeper than that yeah that's as much as i got okay no that's actually super helpful and thank you for
[00:29:03.760 --> 00:29:10.160]   the i'm gonna have to read those two citations as well thank thanks a lot guys that's helpful thank you
[00:29:10.160 --> 00:29:17.120]   welcome am i going too fast right now or is it fine a bit too fast
[00:29:17.120 --> 00:29:27.280]   maybe a high level overview again for those that aren't following the technical deep dives um what is
[00:29:27.280 --> 00:29:37.280]   okay the high level overview is given some embedding of our item we want to summarize that embedding the
[00:29:37.280 --> 00:29:42.960]   embedding could be a hundred and a thousand dimensions we want to summarize it into tokens
[00:29:42.960 --> 00:29:47.280]   which is integers and that's what an rqva does
[00:29:47.280 --> 00:29:56.320]   so again to i think again i think in this paper the rqva is quite essential i think the rest of it this
[00:29:56.320 --> 00:30:01.760]   this was the one that i had the hardest uh the largest challenge to try to implement the rest
[00:30:01.760 --> 00:30:06.960]   are quite straightforward so i'll spend i want to spend a bit more time here can i ask um question
[00:30:06.960 --> 00:30:13.040]   go ahead yeah uh that sum it's the the vector sum you're summing you're summing the embeddings
[00:30:13.040 --> 00:30:20.560]   yeah okay yeah you just sum it up and you'll get the output is it fair to say the novel contribution
[00:30:20.560 --> 00:30:25.520]   here is intermediate token summarization versus textual yeah it could be essentially it's a way to convert
[00:30:25.520 --> 00:30:33.120]   embeddings to tokens right firstly you quantize the embeddings and you think about it it's really tokens
[00:30:33.120 --> 00:30:40.720]   what's a good choice of a number of levels it's hard um i don't have the answer to that but in the paper
[00:30:40.720 --> 00:30:50.800]   they use three levels and each level has um 256 code words so that essentially can represent 16 million
[00:30:52.720 --> 00:30:56.160]   unique combinations essentially 16 million unique combinations
[00:30:56.160 --> 00:31:04.800]   so now let's go into the code of course i won't be going to all the code i just want to go through
[00:31:05.840 --> 00:31:09.760]   the part to help folks understand uh a bit more
[00:31:09.760 --> 00:31:22.080]   i have this oh see this okay perfect so you can see over here the code book loss essentially that's
[00:31:22.080 --> 00:31:30.640]   how we represent the losses right the code book loss is just the the input we detach it the stop gradient
[00:31:32.000 --> 00:31:39.600]   and the quantized which is uh the quantized which is just the uh the combine the combined embeddings
[00:31:39.600 --> 00:31:44.400]   right the combined cobalt embeddings this is the code book loss commitment and go ahead
[00:31:44.400 --> 00:31:51.520]   and the commitment loss is really we just take the quantization and we detach it
[00:31:52.400 --> 00:31:58.560]   and we do a mean squared error on the input right that's essentially all there is to this loss
[00:31:58.560 --> 00:32:08.480]   right so that's how we implement it quite straightforward then um this is how we do the quantization
[00:32:08.480 --> 00:32:20.560]   so you can see we firstly initialize uh some array to just collect all these for every vector quantization
[00:32:20.560 --> 00:32:27.120]   level we take the residual and the residual is really the first time at the very first input the residue
[00:32:27.120 --> 00:32:33.680]   is just the input embedding right we take the residual we pass it through the vector quantization
[00:32:33.680 --> 00:32:43.920]   layer and we get the output then we get the residual for the next level by just taking the residual and we
[00:32:43.920 --> 00:32:52.080]   subtract subtract subtract the the embeddings right that's the residual now our new output
[00:32:52.080 --> 00:33:02.320]   is we just keep summing up all this so our quantized output is just uh we just keep summing up
[00:33:02.320 --> 00:33:12.720]   so essentially at the end we can represent this initial residual by the sum of the vector quantization layers
[00:33:12.720 --> 00:33:22.160]   and that's that's that recursive thing that's all there is to it okay maybe i'm oversimplifying it but yeah
[00:33:22.160 --> 00:33:28.240]   then when we encode it to semantic ids essentially this x is the embedding right
[00:33:29.280 --> 00:33:34.960]   uh we convert this embedding so for every vector oh yes go for it
[00:33:34.960 --> 00:33:43.280]   is someone unmuted when the color is unmuted
[00:33:43.280 --> 00:33:52.960]   okay maybe thank you for muting them so the input is really the embedding right so for every vector
[00:33:52.960 --> 00:33:57.360]   quantization quantization quantization layer and the embedding is the initial residual
