
[00:00:00.000 --> 00:00:07.400]   All right. Welcome everyone.
[00:10:09.700 --> 00:10:13.500]   a pretty nuanced picture of these three rankings.
[00:10:13.500 --> 00:10:19.260]   I think that's all of the accuracy style metrics.
[00:10:19.260 --> 00:10:21.100]   Of course, there are others that you'll encounter.
[00:10:21.100 --> 00:10:24.620]   Some are sensitive to the numerical like the float value,
[00:10:24.620 --> 00:10:26.660]   because sometimes you have not just a one or a zero,
[00:10:26.660 --> 00:10:29.860]   a star or not, but rather a float value for relevance.
[00:10:29.860 --> 00:10:34.060]   There are lots of versions that of course average these over sets of queries.
[00:10:34.060 --> 00:10:35.740]   That'll be very common to see,
[00:10:35.740 --> 00:10:40.460]   but underlyingly that's just some kind of arithmetic average of these scores.
[00:10:40.460 --> 00:10:42.000]   So I think this is a good sample.
[00:10:42.000 --> 00:10:46.220]   Are there questions I can answer about these metrics?
[00:10:46.220 --> 00:10:49.100]   Really great.
[00:10:49.100 --> 00:10:49.420]   Yeah.
[00:10:49.420 --> 00:10:52.020]   The float value one for relevance,
[00:10:52.020 --> 00:10:54.980]   how's that at a high level computed?
[00:10:54.980 --> 00:10:59.220]   What's it called? Like the discounted cumulative gain,
[00:10:59.220 --> 00:11:05.900]   and it is the sum of all of the scores divided by something or other.
[00:11:05.900 --> 00:11:08.340]   This must be in your history somewhere.
[00:11:08.340 --> 00:11:09.220]   It is something.
[00:11:09.220 --> 00:11:10.220]   [LAUGHTER]
[00:11:10.220 --> 00:11:12.260]   You could also just label,
[00:11:12.260 --> 00:11:17.060]   you know, have human labels and then you can take the precision,
[00:11:17.060 --> 00:11:21.660]   or not precision, maybe just position-weighted combination of human labels.
[00:11:21.660 --> 00:11:24.780]   [inaudible]
[00:11:24.780 --> 00:11:27.420]   So you found the discounted cumulative gain.
[00:11:27.420 --> 00:11:29.220]   That's a metric I left out.
[00:11:29.220 --> 00:11:32.860]   And then you're just observing that very often for these datasets,
[00:11:32.860 --> 00:11:34.820]   we'd have humans do a bunch of labeling,
[00:11:34.820 --> 00:11:41.180]   and then average precision is one way of aggregating over the labels we might have collected.
[00:11:41.180 --> 00:11:45.860]   I kind of alluded to this before,
[00:11:45.860 --> 00:11:48.780]   but like here's a partial list of things you could think about.
[00:11:48.780 --> 00:11:52.060]   Which metric? Fundamentally, there is no single answer.
[00:11:52.060 --> 00:11:56.340]   Is the cost of sc- scrolling through k passages low?
[00:11:56.340 --> 00:11:58.540]   Then maybe success at k is fine.
[00:11:58.540 --> 00:12:02.060]   Because you don't care whether it was a position nine or position one,
[00:12:02.060 --> 00:12:04.660]   what you really care about is that the user is kind of
[00:12:04.660 --> 00:12:08.260]   confronted with the success that they can easily find.
[00:12:08.260 --> 00:12:10.780]   That's one scenario that you could be in.
[00:12:10.780 --> 00:12:13.980]   Are there multiple relevant documents per query?
[00:12:13.980 --> 00:12:15.540]   This is straightforward. If so,
[00:12:15.540 --> 00:12:19.580]   you probably shouldn't use success at k or rrk,
[00:12:19.580 --> 00:12:22.620]   because they're only sensitive really to one star.
[00:12:22.620 --> 00:12:25.660]   And if you went to the trouble of getting multiple stars,
[00:12:25.660 --> 00:12:28.580]   you know, why have your metric be insensitive to that?
[00:12:28.580 --> 00:12:33.500]   So that seems clear. Is it more important to find every relevant document?
[00:12:33.500 --> 00:12:35.100]   If so, you should favor recall.
[00:12:35.100 --> 00:12:38.460]   That would be a case where maybe human review is cheap,
[00:12:38.460 --> 00:12:43.020]   or the cost of missing an example is hugely expensive.
[00:12:43.020 --> 00:12:44.980]   In that case, you want to favor recall.
[00:12:44.980 --> 00:12:46.220]   You can't miss anything.
[00:12:46.220 --> 00:12:50.620]   Conversely, if you just need to find some relevant things,
[00:12:50.620 --> 00:12:52.700]   maybe in an ocean of examples,
[00:12:52.700 --> 00:12:54.140]   because you want to label them,
[00:12:54.140 --> 00:12:56.300]   or because it's just good to know about them,
[00:12:56.300 --> 00:12:57.820]   then you could favor precision.
[00:12:57.820 --> 00:13:03.740]   Because then all you really care about is that near the top are some relevant things.
[00:13:03.740 --> 00:13:07.860]   F1 at k is the harmonic mean of precision and recall.
[00:13:07.860 --> 00:13:10.340]   Same thing as we do in NLP.
[00:13:10.340 --> 00:13:13.260]   And that can be used where there are multiple relevant documents,
[00:13:13.260 --> 00:13:16.900]   but maybe the relative order above k doesn't matter.
[00:13:16.900 --> 00:13:22.180]   That's just one perspective on what I mean when I say we're combining precision and recall.
[00:13:22.500 --> 00:13:26.140]   And then finally, average precision of the ones I've showed you,
[00:13:26.140 --> 00:13:29.340]   will give you the most fine-grained distinctions of the metrics, right?
[00:13:29.340 --> 00:13:31.260]   Because it's sensitive to rank,
[00:13:31.260 --> 00:13:33.820]   and it's sensitive to precision and recall.
[00:13:33.820 --> 00:13:36.060]   Precision because it aggregates over those values,
[00:13:36.060 --> 00:13:38.660]   and recall because that's the denominator.
[00:13:38.660 --> 00:13:45.020]   So that looks like an awfully good way to really get a fine-grained ranking of systems.
[00:13:45.020 --> 00:13:50.220]   And then finally, I'm going to talk about this a bit later.
[00:13:50.220 --> 00:13:52.260]   We have to move on beyond accuracy.
[00:13:52.260 --> 00:13:56.780]   This is a paper that I did with a team recently of researchers here and at IBM.
[00:13:56.780 --> 00:14:00.460]   What we're seeing here is a kind of post-hoc leaderboard.
[00:14:00.460 --> 00:14:02.860]   Not an actual leaderboard because part of
[00:14:02.860 --> 00:14:05.180]   our complaint is that there are no leaderboards that
[00:14:05.180 --> 00:14:08.660]   really do anything beyond measuring accuracy style things.
[00:14:08.660 --> 00:14:13.900]   But if you did go through the literature as we did here and find a lot of systems,
[00:14:13.900 --> 00:14:17.660]   you can see that they vary widely along other dimensions.
[00:14:17.660 --> 00:14:19.740]   Here is the mean reciprocal rank,
[00:14:19.740 --> 00:14:24.740]   one of our rankings, goes from 19 to 37 or 39 or something.
[00:14:24.740 --> 00:14:29.540]   So you say, okay, but then look just to the right of that at the query latency.
[00:14:29.540 --> 00:14:31.660]   To get to 37,
[00:14:31.660 --> 00:14:36.060]   look how much time I have to spend versus down here where 36,
[00:14:36.060 --> 00:14:38.100]   I spend a fraction of the time.
[00:14:38.100 --> 00:14:42.820]   That is absolutely something that will matter to the search experience of users.
[00:14:42.820 --> 00:14:49.060]   There is almost no way they're waiting around for 691 milliseconds, for example.
[00:14:49.060 --> 00:14:50.660]   Or what about the index size?
[00:14:50.660 --> 00:14:55.220]   Right. If you care about space footprint and you will if you are indexing the web,
[00:14:55.220 --> 00:14:58.980]   some of these have tiny little indices and then, uh-oh,
[00:14:58.980 --> 00:15:03.180]   that's our model, Colbert V1, 154 gigabytes.
[00:15:03.180 --> 00:15:05.900]   Right. So now if you need to hold it in memory,
[00:15:05.900 --> 00:15:08.980]   your world just got a lot more expensive.
[00:15:08.980 --> 00:15:11.660]   You'll see over here RAM requirements.
[00:15:11.660 --> 00:15:16.100]   So BM25, it has no hardware requirements at all.
[00:15:16.100 --> 00:15:17.880]   You can run that on anything.
[00:15:17.880 --> 00:15:22.220]   Whereas these models down here that have these really high MRR scores,
[00:15:22.220 --> 00:15:25.460]   hugely expensive in terms of compute.
[00:15:25.460 --> 00:15:28.420]   Classic story of the neural age, right?
[00:15:28.420 --> 00:15:30.700]   So you have to pay somewhere.
[00:15:30.700 --> 00:15:34.260]   Then of course, I hope you're thinking about this.
[00:15:34.260 --> 00:15:38.140]   So then what is the best combination of all these things?
[00:15:38.140 --> 00:15:41.180]   Well, it depends on how much money you have and how much time you have,
[00:15:41.180 --> 00:15:43.620]   and how much you care about accuracy.
[00:15:43.620 --> 00:15:47.880]   And so the best pitch I can make to you is that as you evaluate systems,
[00:15:47.880 --> 00:15:50.140]   you think about what you care about,
[00:15:50.140 --> 00:15:54.800]   what matters, and conduct- construct your evaluations on that basis.
[00:15:54.800 --> 00:15:57.560]   That's gonna be a big theme of the course later on.
[00:15:57.560 --> 00:16:00.520]   And I'm hoping to time it so that you all,
[00:16:00.520 --> 00:16:03.120]   for your papers, are thinking about assessment.
[00:16:03.120 --> 00:16:04.480]   And you think, ah, you know,
[00:16:04.480 --> 00:16:07.720]   I should have a whole section about my philosophy of assessment here and not
[00:16:07.720 --> 00:16:14.460]   just fall into F1 or fall into success at K or whatever is relevant.
[00:16:14.460 --> 00:16:19.580]   This is kind of interesting too.
[00:16:19.580 --> 00:16:21.220]   This is from the same paper.
[00:16:21.220 --> 00:16:23.500]   Here's BM25.
[00:16:23.500 --> 00:16:25.460]   Costs essentially nothing,
[00:16:25.460 --> 00:16:27.300]   but it has very low performance.
[00:16:27.300 --> 00:16:29.580]   If you travel straight up from there,
[00:16:29.580 --> 00:16:31.660]   look at these splayed models.
[00:16:31.660 --> 00:16:34.140]   Also costing essentially nothing,
[00:16:34.140 --> 00:16:36.940]   but vastly better in terms of their performance.
[00:16:36.940 --> 00:16:39.160]   That looks like a real discovery to me.
[00:16:39.160 --> 00:16:42.520]   You know, this is like the Pareto frontier as they call it.
[00:16:42.520 --> 00:16:45.040]   These systems where you would just wouldn't
[00:16:45.040 --> 00:16:48.520]   choose any that are off the frontier no matter what your values.
[00:16:48.520 --> 00:16:51.720]   And obviously, you can see that to favor this model,
[00:16:51.720 --> 00:16:56.040]   there are gonna have to be other dimensions that we care about beyond cost and MRR,
[00:16:56.040 --> 00:16:59.880]   because otherwise, that's just not a choice you would make.
[00:16:59.880 --> 00:17:01.920]   But for all I know,
[00:17:01.920 --> 00:17:04.280]   there are hidden dimensions that need to be teased out that would
[00:17:04.280 --> 00:17:10.760]   show that that ANS model is the best relative to.
[00:17:10.760 --> 00:17:15.280]   Let's dive into some of those models then.
[00:17:15.280 --> 00:17:20.840]   Neural IR. First, we'll start with cross-encoders.
[00:17:20.840 --> 00:17:22.760]   This will be very intuitive.
[00:17:22.760 --> 00:17:26.880]   Okay. Here, just imagine I have a huge transformer.
[00:17:26.880 --> 00:17:29.640]   And for cross-encoders, what I do is,
[00:17:29.640 --> 00:17:32.780]   I just concatenate the query and the document together,
[00:17:32.780 --> 00:17:35.440]   process them with my transformer model.
[00:17:35.440 --> 00:17:36.800]   And then on the top here,
[00:17:36.800 --> 00:17:38.440]   I put a little scoring function.
[00:17:38.440 --> 00:17:40.600]   And the scoring function will just say,
[00:17:40.600 --> 00:17:44.000]   for this query, how good is this document?
[00:17:44.000 --> 00:17:48.800]   Enormously powerful to this comment from before,
[00:17:48.800 --> 00:17:52.320]   we are making like maximal use of this,
[00:17:52.320 --> 00:17:54.600]   say, BERT model here to get
[00:17:54.600 --> 00:17:57.880]   every possible interaction between query and document.
[00:17:57.880 --> 00:18:00.600]   So this will be good in terms of accuracy.
[00:18:00.600 --> 00:18:03.140]   But you might worry about some other things.
[00:18:03.140 --> 00:18:04.620]   Here, let me walk through a bit more.
[00:18:04.620 --> 00:18:05.740]   In the background here,
[00:18:05.740 --> 00:18:08.220]   I'm assuming that our dataset looks like this.
[00:18:08.220 --> 00:18:11.660]   We have a query, one positive document,
[00:18:11.660 --> 00:18:15.500]   and a set of one or more negative documents.
[00:18:15.500 --> 00:18:18.740]   We could have multiple of the negatives.
[00:18:18.740 --> 00:18:24.040]   What I'm depicting on the left here is a model we could summarize like this.
[00:18:24.040 --> 00:18:25.980]   This is the encoder.
[00:18:25.980 --> 00:18:28.980]   We concatenate the query and the document,
[00:18:28.980 --> 00:18:33.340]   and process them, and we retrieve this representation here,
[00:18:33.340 --> 00:18:36.020]   layer n, position 0.
[00:18:36.020 --> 00:18:39.700]   We feed that through a dense layer that does our scoring,
[00:18:39.700 --> 00:18:44.060]   and that is the basis for essentially a classifier.
[00:18:44.060 --> 00:18:47.860]   This is called the negative log likelihood of the positive passage.
[00:18:47.860 --> 00:18:50.540]   And if you squint or you don't squint,
[00:18:50.540 --> 00:18:51.940]   you just let it go blurry,
[00:18:51.940 --> 00:18:55.420]   you will see that it is a typical classifier loss.
[00:18:55.420 --> 00:18:58.620]   The only possible twist is the denominator is
[00:18:58.620 --> 00:19:02.020]   the positive passage score and then on the denominator,
[00:19:02.020 --> 00:19:04.380]   I have the positive passage sum together with
[00:19:04.380 --> 00:19:07.940]   all the negative passages that I have in my example set.
[00:19:07.940 --> 00:19:11.340]   But fundamentally, it's a classifier.
[00:19:11.340 --> 00:19:16.980]   So that's why this examples look like this because that's what's being used
[00:19:16.980 --> 00:19:22.780]   here to optimize all these parameters to score documents.
[00:19:22.780 --> 00:19:26.740]   Final thing, I hope you're thinking about this.
[00:19:26.740 --> 00:19:29.380]   It's going to be incredibly expressive and powerful,
[00:19:29.380 --> 00:19:31.740]   but it just won't scale.
[00:19:31.740 --> 00:19:34.940]   The cost of having the query and document interact at
[00:19:34.940 --> 00:19:38.860]   query time is that I can't process any of these documents ahead of time.
[00:19:38.860 --> 00:19:40.140]   So just imagine this,
[00:19:40.140 --> 00:19:41.860]   your query comes in on the web,
[00:19:41.860 --> 00:19:45.820]   like your Google, you're using a cross encoder, the user queries.
[00:19:45.820 --> 00:19:50.220]   You need to process that query together with every single document on the web,
[00:19:50.220 --> 00:19:52.660]   to score them, and then on that basis,
[00:19:52.660 --> 00:19:54.660]   you will get beautiful scores.
[00:19:54.660 --> 00:19:59.380]   But obviously, each query could take years to serve.
[00:19:59.380 --> 00:20:01.700]   So from this perspective,
[00:20:01.700 --> 00:20:03.940]   it is just not a practical choice.
[00:20:03.940 --> 00:20:06.620]   Maybe we could use it for re-ranking.
[00:20:06.620 --> 00:20:10.220]   You see this sometimes where a cheap retriever gets a lot of like,
[00:20:10.220 --> 00:20:13.980]   like a 1,000 documents and then this is done to re-rank the last 1,000.
[00:20:13.980 --> 00:20:16.700]   But we can't do this at web scale.
[00:20:16.700 --> 00:20:18.540]   So a question in the back. Yeah.
[00:20:18.540 --> 00:20:21.500]   Um, could you use this with multiple possible,
[00:20:21.500 --> 00:20:23.700]   uh, positive documents as well?
[00:20:23.700 --> 00:20:25.540]   Um.
[00:20:25.540 --> 00:20:27.820]   Like if you were like, like for example,
[00:20:27.820 --> 00:20:29.340]   for like the ranking thing right here,
[00:20:29.340 --> 00:20:33.700]   like multiple of those could be like good, but.
[00:20:33.700 --> 00:20:36.180]   I- let's see.
