
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:02:17.860 --> 00:02:19.900]   But Bill, tell us a little bit
[00:02:19.900 --> 00:02:21.660]   about "The Delusion of Crowds."
[00:02:21.660 --> 00:02:26.020]   Obviously McKay's book, and it's not pronounced McKay,
[00:02:26.020 --> 00:02:29.540]   fix that for us, but "Extraordinary Popular Delusions
[00:02:29.540 --> 00:02:30.780]   "and the Madness of Crowds"
[00:02:30.780 --> 00:02:32.780]   covered some of the stuff you covered before,
[00:02:32.780 --> 00:02:34.740]   but you felt the need to sort of, I don't know,
[00:02:34.740 --> 00:02:36.060]   update it is the right word,
[00:02:36.060 --> 00:02:37.780]   but tell us a little bit, very briefly,
[00:02:37.780 --> 00:02:40.820]   about what's the genesis of this new book?
[00:02:40.820 --> 00:02:42.740]   Why did you feel the need to look
[00:02:42.740 --> 00:02:46.220]   at "Extraordinary Popular Delusions" again?
[00:02:46.220 --> 00:02:51.220]   - Well, the genesis of the book was almost 30 years ago
[00:02:51.220 --> 00:02:53.780]   when I read Charles McKay's book.
[00:02:53.780 --> 00:02:55.180]   It's McKay if you're Scotsman,
[00:02:55.180 --> 00:02:57.100]   if you're American, it's okay to say McKay.
[00:02:57.100 --> 00:03:00.020]   Yeah, if you're an American, it's okay to say McKay.
[00:03:00.020 --> 00:03:00.940]   And I read this book,
[00:03:00.940 --> 00:03:02.700]   "Extraordinary Popular Delusions
[00:03:02.700 --> 00:03:03.980]   "and the Madness of Crowds."
[00:03:03.980 --> 00:03:08.220]   And the original version of this book was written in 1841.
[00:03:08.220 --> 00:03:10.060]   And it's a remarkable book
[00:03:10.060 --> 00:03:14.460]   because it describes many different mass delusions,
[00:03:14.460 --> 00:03:17.460]   religious ones, and also financial ones.
[00:03:17.460 --> 00:03:19.900]   And it's most famous for its descriptions
[00:03:19.900 --> 00:03:23.780]   of the three great bubbles of the 17th and 18th centuries,
[00:03:23.780 --> 00:03:25.700]   the tulip mania, the famous tulip mania.
[00:03:25.700 --> 00:03:28.460]   He's the one who actually coined that term
[00:03:28.460 --> 00:03:30.140]   and brought it into the English language,
[00:03:30.140 --> 00:03:34.180]   as well as the twin bubbles in Paris and London in 1720.
[00:03:34.180 --> 00:03:38.340]   And the descriptions are absolutely remarkable
[00:03:38.340 --> 00:03:41.060]   of people just going absolutely nuts
[00:03:41.060 --> 00:03:43.740]   over stocks or tulips or what have you.
[00:03:44.580 --> 00:03:48.220]   And how it became a society-wide mania.
[00:03:48.220 --> 00:03:49.700]   And then it all crashed down.
[00:03:49.700 --> 00:03:52.540]   And at the time that I read this book in the early 1990s,
[00:03:52.540 --> 00:03:55.340]   I thought it was kind of interesting,
[00:03:55.340 --> 00:03:57.780]   kind of like a B movie about the Roman Empire,
[00:03:57.780 --> 00:04:01.060]   not terribly relevant to anything that I was seeing today.
[00:04:01.060 --> 00:04:03.220]   And then lo and behold, before my very eyes,
[00:04:03.220 --> 00:04:06.940]   several years later, the tech bubble blew
[00:04:06.940 --> 00:04:08.780]   and people began behaving
[00:04:08.780 --> 00:04:12.260]   in exactly the same way that McKay described.
[00:04:12.260 --> 00:04:14.180]   And I thought to myself, gosh,
[00:04:14.180 --> 00:04:18.420]   I've seen this movie before and I know just how it ends.
[00:04:18.420 --> 00:04:21.340]   And it certainly redounded
[00:04:21.340 --> 00:04:23.420]   to the bottom line of my portfolios.
[00:04:23.420 --> 00:04:28.020]   I was able to ignore the madness and stay away.
[00:04:28.020 --> 00:04:30.180]   And it turns out that that's not a unique experience.
[00:04:30.180 --> 00:04:34.620]   McKay has been saving people's bacon for the past 150 years.
[00:04:34.620 --> 00:04:39.620]   Most famously, Bernard Baruch read the book in 1907
[00:04:39.620 --> 00:04:42.220]   and it saved his bacon back then.
[00:04:42.220 --> 00:04:43.460]   And he was so impressed with it
[00:04:43.460 --> 00:04:45.220]   that he actually wrote the forward
[00:04:45.220 --> 00:04:48.420]   to the 1932 version of the edition of the book.
[00:04:48.420 --> 00:04:51.140]   It's been in print ever since.
[00:04:51.140 --> 00:04:53.820]   So, you know, the book really impressed me.
[00:04:53.820 --> 00:04:57.140]   And then several years ago,
[00:04:57.140 --> 00:04:58.740]   I observed like all the rest of us
[00:04:58.740 --> 00:05:03.740]   how the Islamic State was able to attract people
[00:05:03.740 --> 00:05:06.860]   from around the world to one of the worst places
[00:05:06.860 --> 00:05:09.420]   on the planet to fight and to die.
[00:05:09.420 --> 00:05:11.900]   And it turned out that they did that
[00:05:11.900 --> 00:05:13.820]   with a narrative that was very similar
[00:05:13.820 --> 00:05:17.340]   to the one that McKay wrote about in his book
[00:05:17.340 --> 00:05:21.980]   about the Crusades and other religious manias.
[00:05:21.980 --> 00:05:24.380]   And so I thought, you know, the time has come
[00:05:24.380 --> 00:05:27.740]   to write a new version of the book,
[00:05:27.740 --> 00:05:29.260]   an updated version of the book
[00:05:29.260 --> 00:05:32.260]   and updated with some of the modern science behind it.
[00:05:32.260 --> 00:05:34.100]   Now I have a trigger warning about the book,
[00:05:34.100 --> 00:05:38.060]   which is more than half the book is about religious manias.
[00:05:38.060 --> 00:05:40.300]   And if that's not your cup of tea
[00:05:40.300 --> 00:05:43.420]   or if you're a particularly devout follower
[00:05:43.420 --> 00:05:45.260]   of one religion or another,
[00:05:45.260 --> 00:05:47.500]   you may not want to read the book.
[00:05:47.500 --> 00:05:50.860]   But if you're interested in financial manias,
[00:05:50.860 --> 00:05:54.020]   you're interested in the psychology behind financial
[00:05:54.020 --> 00:05:58.060]   and religious manias, then proceed at your own pace.
[00:05:58.060 --> 00:06:00.420]   - Well, I read every word of the book, Bill,
[00:06:00.420 --> 00:06:01.420]   in preparation for this.
[00:06:01.420 --> 00:06:04.740]   And I have to say, I marveled at your stamina
[00:06:04.740 --> 00:06:08.260]   to go through so many hundreds of years of religious mania.
[00:06:08.260 --> 00:06:10.420]   The Anabaptist chapter was fascinating.
[00:06:10.420 --> 00:06:11.740]   It really was something.
[00:06:11.740 --> 00:06:14.940]   I want to get to the conclusions here of the book,
[00:06:14.940 --> 00:06:18.380]   because even though there is some,
[00:06:18.380 --> 00:06:21.460]   I understand modern challenges about McKay's interpretation
[00:06:21.460 --> 00:06:24.140]   of how severe the mania thing was.
[00:06:24.140 --> 00:06:25.940]   As you know, there's some modern research
[00:06:25.940 --> 00:06:27.420]   that suggests it wasn't as bad,
[00:06:27.420 --> 00:06:29.460]   but I don't think that really matters.
[00:06:29.460 --> 00:06:31.540]   I think there's a whole point to all of this,
[00:06:31.540 --> 00:06:34.340]   which is that the way human brains are structured,
[00:06:34.340 --> 00:06:36.260]   people tend to keep behaving the same way
[00:06:36.260 --> 00:06:37.220]   over and over again.
[00:06:37.220 --> 00:06:40.060]   I'm wondering if you could get to the core point
[00:06:40.060 --> 00:06:41.860]   about the book, the lesson from the book,
[00:06:41.860 --> 00:06:44.460]   which is why humans tend to hurt a bit,
[00:06:44.460 --> 00:06:47.260]   why they're so susceptible to manias of all types.
[00:06:47.260 --> 00:06:48.700]   Can you give us the conclusion here
[00:06:48.700 --> 00:06:52.180]   of what the book concludes, essentially?
[00:06:52.180 --> 00:06:56.220]   - Well, the book is really a meditation on human nature.
[00:06:56.220 --> 00:07:01.220]   First and foremost, we are running around this planet
[00:07:01.220 --> 00:07:04.020]   with Stone Age brains, brains that evolved
[00:07:04.020 --> 00:07:06.940]   during the Stone Age, in the Space Age.
[00:07:06.940 --> 00:07:10.860]   So we're navigating a Space Age world with Stone Age minds.
[00:07:10.860 --> 00:07:16.020]   And the first thing that you have to know about human beings
[00:07:16.020 --> 00:07:19.260]   is that first and foremost, we are the ape that imitates.
[00:07:19.260 --> 00:07:22.180]   We do what other people around us do.
[00:07:22.180 --> 00:07:26.060]   And the question is, why do we do that?
[00:07:26.060 --> 00:07:27.540]   And the answer is pretty simple.
[00:07:27.540 --> 00:07:30.220]   The best way to think about it
[00:07:30.220 --> 00:07:34.620]   is to think about the spread of humankind
[00:07:34.620 --> 00:07:37.860]   throughout North America and South America,
[00:07:37.860 --> 00:07:41.180]   which took place over a very short period of time,
[00:07:41.180 --> 00:07:42.940]   several thousand years,
[00:07:42.940 --> 00:07:46.020]   from the Bering Strait down to the Tierra del Fuego,
[00:07:46.020 --> 00:07:48.060]   maybe at most 10,000 years.
[00:07:48.060 --> 00:07:50.500]   And in the process, human beings had to learn
[00:07:50.500 --> 00:07:53.900]   how to make kayaks and hunt whales and seals,
[00:07:53.900 --> 00:07:56.500]   and then hunt bison on the Great Plains,
[00:07:56.500 --> 00:08:01.500]   and then to fashion pulleys and blowguns in the Amazon.
[00:08:01.500 --> 00:08:04.500]   And if you've never done any of those things before,
[00:08:04.500 --> 00:08:06.940]   you're never going to figure it out for yourself.
[00:08:06.940 --> 00:08:11.540]   So you have to find the one lucky person or people
[00:08:11.540 --> 00:08:14.060]   who gradually over time figure out
[00:08:14.060 --> 00:08:16.980]   how to do each of those things, and then you imitate them.
[00:08:16.980 --> 00:08:20.100]   So it turns out that imitation
[00:08:20.100 --> 00:08:22.780]   is an enormously valuable skill
[00:08:22.780 --> 00:08:25.100]   to the survival of our species.
[00:08:25.100 --> 00:08:27.900]   And it served us very well during the Stone Age.
[00:08:27.900 --> 00:08:30.140]   But in a modern post-industrial society
[00:08:30.140 --> 00:08:32.740]   where you have to invest decades in advance,
[00:08:32.740 --> 00:08:35.100]   it's not so salutary.
[00:08:35.100 --> 00:08:36.820]   Now, the other characteristic
[00:08:36.820 --> 00:08:39.820]   is that we are the ape that tells stories.
[00:08:39.820 --> 00:08:42.380]   You know, when Stone Age hunters
[00:08:42.380 --> 00:08:45.540]   went out to hunt a mastodon,
[00:08:45.540 --> 00:08:47.940]   they didn't issue each other vectors
[00:08:47.940 --> 00:08:50.660]   or mathematical descriptions or geometric descriptions.
[00:08:50.660 --> 00:08:52.420]   They just, one guy said to the other,
[00:08:52.420 --> 00:08:53.740]   "Hey, you go right, I'll go left,
[00:08:53.740 --> 00:08:55.580]   "and we'll spear the beast from both sides."
[00:08:55.580 --> 00:08:58.180]   Okay, we tell stories, in other words.
[00:08:58.180 --> 00:09:01.300]   And so we are uniquely susceptible
[00:09:01.300 --> 00:09:05.020]   to narratives as opposed to hard facts.
[00:09:05.020 --> 00:09:07.780]   So those are the two basic characteristics
[00:09:07.780 --> 00:09:09.540]   of why we behave the way we do
[00:09:09.540 --> 00:09:11.420]   in the modern capital markets.
[00:09:11.420 --> 00:09:14.660]   - So narratives are essentially shortcuts
[00:09:14.660 --> 00:09:17.300]   to understanding the world, is that correct?
[00:09:17.300 --> 00:09:19.260]   And sometimes they can hijack
[00:09:19.260 --> 00:09:20.660]   the more rational center of the brain.
[00:09:20.660 --> 00:09:21.940]   There's a very important point here
[00:09:21.940 --> 00:09:24.300]   about narratives that you're trying to make.
[00:09:24.300 --> 00:09:26.060]   - Yeah, narratives, it turns out,
[00:09:26.060 --> 00:09:28.380]   are the way that we understand things,
[00:09:28.420 --> 00:09:31.020]   and we respond much more to narratives
[00:09:31.020 --> 00:09:35.380]   than to dull facts.
[00:09:35.380 --> 00:09:36.540]   And I'll give you an example of this,
[00:09:36.540 --> 00:09:37.380]   and it's political,
[00:09:37.380 --> 00:09:39.380]   but I'm even gonna mention Donald Trump's name,
[00:09:39.380 --> 00:09:40.980]   but I think it's pretty neutral,
[00:09:40.980 --> 00:09:43.660]   which is that late in 2015,
[00:09:43.660 --> 00:09:47.820]   during one of the Republican nominating debates,
[00:09:47.820 --> 00:09:51.780]   the primary debates, somebody asked Ben Carson
[00:09:51.780 --> 00:09:56.060]   about vaccinating his children
[00:09:56.060 --> 00:09:58.460]   and whether we should be vaccinating children or not.
[00:09:58.460 --> 00:10:00.620]   And he gave a very good scientific answer.
[00:10:00.620 --> 00:10:01.980]   He's a neurosurgeon after all.
[00:10:01.980 --> 00:10:03.620]   And he said, "Look, I've seen the data,
[00:10:03.620 --> 00:10:05.380]   "and the data is that it doesn't cause,
[00:10:05.380 --> 00:10:07.500]   "vaccinations don't cause autism,
[00:10:07.500 --> 00:10:11.340]   "and we should vaccinate our children."
[00:10:11.340 --> 00:10:12.860]   Now, he was a good Republican,
[00:10:12.860 --> 00:10:15.340]   so he said, "The government shouldn't force us to do it."
[00:10:15.340 --> 00:10:16.820]   It was a pretty good answer, okay?
[00:10:16.820 --> 00:10:20.620]   And then Donald Trump broke in and said,
[00:10:20.620 --> 00:10:24.700]   "I had an employee who had a child, a beautiful child,
[00:10:24.700 --> 00:10:29.060]   "and she was vaccinated, and she got autism."
[00:10:29.060 --> 00:10:32.380]   And this is turning into an epidemic, I tell you.
[00:10:32.380 --> 00:10:35.220]   Every single person, every single political talking head
[00:10:35.220 --> 00:10:38.620]   who saw that scored that in Trump's favor, okay?
[00:10:38.620 --> 00:10:42.100]   Even though he had gotten the facts completely wrong,
[00:10:42.100 --> 00:10:46.300]   because he had a better narrative than Ben Carson did.
[00:10:46.300 --> 00:10:48.260]   And that's something we see time and time again
[00:10:48.260 --> 00:10:49.460]   in the capital markets.
[00:10:49.460 --> 00:10:51.380]   - Right, and that narrative, in that case,
[00:10:51.380 --> 00:10:54.380]   that narrative appealed to the fear center in your brain,
[00:10:54.380 --> 00:10:55.340]   whatever, the amygdala,
[00:10:55.340 --> 00:10:56.980]   whatever part of your brain that went off,
[00:10:56.980 --> 00:11:00.460]   and it had more relevance than simply stating a dry fact,
[00:11:00.460 --> 00:11:02.980]   which is the evidence is that there is no problem
[00:11:02.980 --> 00:11:04.540]   with vaccination and autism.
[00:11:04.540 --> 00:11:07.300]   - Yeah, the message went straight to the amygdala,
[00:11:07.300 --> 00:11:09.540]   and that pathway is very fast,
[00:11:09.540 --> 00:11:11.740]   and it overwhelms the pathways
[00:11:11.740 --> 00:11:15.820]   to our higher thinking centers in the cortex,
[00:11:15.820 --> 00:11:17.540]   which are very slow.
[00:11:17.540 --> 00:11:20.060]   - Right, let me move on to bubbles,
[00:11:20.060 --> 00:11:24.100]   and let's try to make some conclusions about what bubbles.
[00:11:24.100 --> 00:11:25.860]   One interesting thing about bubbles
[00:11:25.860 --> 00:11:29.580]   is they all exhibit certain characteristics in common.
[00:11:29.580 --> 00:11:32.460]   You had a very interesting discussion about Minsky,
[00:11:32.460 --> 00:11:35.140]   who was a fairly obscure economist,
[00:11:35.140 --> 00:11:37.380]   as far as I can tell,
[00:11:37.380 --> 00:11:39.660]   but is sort of now widely cited
[00:11:39.660 --> 00:11:42.460]   for his study of bubbles and bubble conditions,
[00:11:42.460 --> 00:11:44.860]   and he noted there were two essential factors.
[00:11:44.860 --> 00:11:45.900]   I'm not sure there's just two,
[00:11:45.900 --> 00:11:48.860]   but you point out in the book
[00:11:48.860 --> 00:11:50.100]   that in order to have a bubble,
[00:11:50.100 --> 00:11:54.500]   you need to have very cheap money, credit,
[00:11:54.500 --> 00:11:56.380]   and you need a revolutionary technology.
[00:11:56.380 --> 00:11:57.940]   Can you very briefly discuss that,
[00:11:57.940 --> 00:11:59.340]   and are there other factors
[00:11:59.340 --> 00:12:02.220]   that modern scholarship might have identified?
[00:12:02.220 --> 00:12:03.980]   They all have something in common, that's my point,
[00:12:03.980 --> 00:12:06.180]   and we should all be able to recognize and say,
[00:12:06.180 --> 00:12:09.100]   tulip mania bubble and the dot-com bubble
[00:12:09.100 --> 00:12:10.380]   actually had something in common,
[00:12:10.380 --> 00:12:12.100]   and these are the common characteristics.
[00:12:12.100 --> 00:12:14.420]   - Yeah, the two driving characteristics
[00:12:14.420 --> 00:12:17.180]   of any financial bubble are cheap credit
[00:12:17.180 --> 00:12:18.420]   or low interest rates,
[00:12:18.420 --> 00:12:21.300]   which is another way of saying that,
[00:12:21.300 --> 00:12:26.020]   and a revolutionary technology
[00:12:26.020 --> 00:12:28.740]   that captures people's imagination.
[00:12:28.740 --> 00:12:32.420]   So, for example, right now,
[00:12:32.420 --> 00:12:33.900]   what's there to invest in?
[00:12:33.900 --> 00:12:36.460]   You can't put your money into bonds
[00:12:36.460 --> 00:12:38.420]   because they have a near zero yield
[00:12:38.420 --> 00:12:41.100]   with any reasonable quality at all.
[00:12:41.100 --> 00:12:43.540]   You can't put your money into traveling.
[00:12:43.540 --> 00:12:46.580]   You can't go to restaurants.
[00:12:46.580 --> 00:12:49.780]   It doesn't make any sense to buy nice clothes
[00:12:49.780 --> 00:12:52.540]   as we both demonstrated right now,
[00:12:52.540 --> 00:12:54.740]   so you put your money into stocks.
[00:12:54.740 --> 00:12:56.020]   Well, the stocks of what companies?
[00:12:56.020 --> 00:12:59.100]   Well, you pick whatever is the most exciting technology
[00:12:59.100 --> 00:13:03.620]   you can find, whether it's cryptocurrency
[00:13:03.620 --> 00:13:05.820]   or Tesla or whatever,
[00:13:05.820 --> 00:13:07.580]   and so the price gets driven up,
[00:13:07.580 --> 00:13:10.340]   and that becomes a self-reinforcing phenomenon.
[00:13:10.340 --> 00:13:12.580]   The more prices rise, the more money that people make,
[00:13:12.580 --> 00:13:15.140]   the more excited they get,
[00:13:15.140 --> 00:13:18.620]   and eventually, it reaches a breaking point
[00:13:18.620 --> 00:13:20.420]   where it explodes,
[00:13:20.420 --> 00:13:24.340]   but you can say what's going to happen,
[00:13:24.340 --> 00:13:26.540]   but you just can't say when.
[00:13:26.540 --> 00:13:28.180]   - Yeah.
[00:13:28.180 --> 00:13:30.060]   There's been some other studies that have done
[00:13:30.060 --> 00:13:31.220]   that add a few other things
[00:13:31.220 --> 00:13:33.380]   besides easy money and disruptive technology,
[00:13:33.380 --> 00:13:35.900]   so I guess financial innovations,
[00:13:35.900 --> 00:13:38.060]   I mean, so the mortgage products
[00:13:38.060 --> 00:13:41.140]   that were introduced in the 1990s, for example,
[00:13:41.140 --> 00:13:45.460]   that helped lead to the financial crisis.
[00:13:45.460 --> 00:13:49.260]   Maybe some other things like supply/demand imbalances
[00:13:49.260 --> 00:13:50.940]   and things like that.
[00:13:50.940 --> 00:13:53.140]   Let me ask you about a very specific bubble right now.
[00:13:53.140 --> 00:13:54.900]   I'm going to defer back to the book,
[00:13:54.900 --> 00:13:57.780]   but I want to divert and go right to this point
[00:13:57.780 --> 00:14:00.300]   'cause I've had questions here about Bitcoin.
[00:14:00.300 --> 00:14:02.260]   Is Bitcoin a bubble?
[00:14:02.260 --> 00:14:04.700]   Is it a mania?
[00:14:04.700 --> 00:14:06.420]   I'm not asking you to pronounce long-term
[00:14:06.420 --> 00:14:07.580]   what you think of cryptocurrencies.
[00:14:07.580 --> 00:14:08.980]   If you want, go ahead,
[00:14:08.980 --> 00:14:11.700]   but let me try to make it very immediate right now.
[00:14:11.700 --> 00:14:16.460]   Give us your thoughts on what's going to happen to Bitcoin.
[00:14:16.460 --> 00:14:19.580]   - Well, I'll try not to be inflammatory.
[00:14:19.580 --> 00:14:24.580]   I will not use terms like coinpocalypse or cointastrophe
[00:14:24.580 --> 00:14:27.620]   or cointribulation.
[00:14:27.620 --> 00:14:29.940]   I will simply say that there's a lot of...
[00:14:29.940 --> 00:14:31.020]   (laughs)
[00:14:31.020 --> 00:14:31.860]   There's a lot of-
[00:14:31.860 --> 00:14:34.700]   - I love it when you talk in parentheses, which is great.
[00:14:34.700 --> 00:14:36.980]   I don't want to use apocalyptic terms,
[00:14:36.980 --> 00:14:38.620]   but let me name them right now.
[00:14:38.620 --> 00:14:39.660]   - Yeah.
[00:14:39.660 --> 00:14:41.220]   - Go ahead, I'm just giving you-
[00:14:41.220 --> 00:14:42.060]   - No, no, no, no.
[00:14:42.060 --> 00:14:42.900]   I deserve that.
[00:14:42.900 --> 00:14:48.220]   What I will say is that there's a lot of speculation
[00:14:48.220 --> 00:14:50.860]   by people who are less than well-informed
[00:14:50.860 --> 00:14:56.980]   and the history of how this falls out
[00:14:56.980 --> 00:14:59.220]   is not very encouraging.
[00:14:59.220 --> 00:15:01.460]   And that's the whole point of reading the Mackay book
[00:15:01.460 --> 00:15:03.740]   is you see not only the manias,
[00:15:03.740 --> 00:15:06.500]   but you also see how they ended.
[00:15:06.500 --> 00:15:09.460]   Now, not all manias end in a bust.
[00:15:09.460 --> 00:15:13.180]   Maybe only 80 or 90% do.
[00:15:13.180 --> 00:15:15.180]   It's been pointed out to me that there were some manias
[00:15:15.180 --> 00:15:18.620]   that really didn't result in a horrible bust
[00:15:18.620 --> 00:15:20.660]   that are relatively obscure examples.
[00:15:20.660 --> 00:15:23.180]   For example, there were three railway manias in England
[00:15:23.180 --> 00:15:24.820]   during the 19th century.
[00:15:24.820 --> 00:15:28.980]   And the second one really didn't end in much of a bust,
[00:15:28.980 --> 00:15:33.500]   but the other nine or 10 ones that you can easily name did.
[00:15:33.500 --> 00:15:36.260]   So yeah, there's no question in my mind
[00:15:36.260 --> 00:15:38.220]   that Bitcoin is a mania.
[00:15:38.220 --> 00:15:41.540]   And the question is, why do I say that?
[00:15:41.540 --> 00:15:45.260]   Because they fit Mackay's descriptions
[00:15:45.260 --> 00:15:48.900]   and the Mackay description of a mania,
[00:15:48.900 --> 00:15:52.260]   as well as what we all observed during the housing crisis,
[00:15:52.260 --> 00:15:54.700]   during the housing bubble, excuse me,
[00:15:54.700 --> 00:15:57.820]   or during the tech bubble of the late '90s
[00:15:57.820 --> 00:15:59.380]   were four things.
[00:15:59.380 --> 00:16:01.500]   And the first thing that you see
[00:16:01.500 --> 00:16:05.220]   is that speculation becomes topic A.
[00:16:05.220 --> 00:16:08.260]   When everybody starts talking about a given investment
[00:16:08.260 --> 00:16:10.460]   at a party or when they meet casually,
[00:16:10.460 --> 00:16:12.260]   that is a bubble, all right?
[00:16:12.260 --> 00:16:16.220]   When you see people who are quitting otherwise good jobs
[00:16:16.220 --> 00:16:18.500]   to trade assets,
[00:16:18.500 --> 00:16:20.500]   thinking they're going to become fabulously rich
[00:16:20.500 --> 00:16:23.620]   and they'll never have to work again, that is a bubble.
[00:16:23.620 --> 00:16:24.860]   And then there are two other things
[00:16:24.860 --> 00:16:27.940]   which are a little, not as commonly observed,
[00:16:27.940 --> 00:16:29.660]   but are still characteristic,
[00:16:29.660 --> 00:16:32.660]   which are when skepticism is met with vehemence.
[00:16:32.660 --> 00:16:35.660]   I can remember several times during the late 1990s
[00:16:35.660 --> 00:16:39.220]   when I expressed skepticism about the tech bubble,
[00:16:39.220 --> 00:16:41.740]   being basically told that I was an idiot,
[00:16:41.740 --> 00:16:44.460]   if not seeing my parentage insulted.
[00:16:44.460 --> 00:16:48.100]   That sort of vehemence, you're also seeing with Bitcoin
[00:16:48.100 --> 00:16:52.380]   as well, people will get very angry at you
[00:16:52.380 --> 00:16:53.700]   if you express skepticism.
[00:16:53.700 --> 00:16:56.540]   You're an old fogey, you just don't get it.
[00:16:56.540 --> 00:16:59.140]   You don't get it or you just don't get it
[00:16:59.140 --> 00:17:02.380]   are five words that you hear very frequently
[00:17:02.380 --> 00:17:04.540]   at the top of a mania.
[00:17:04.540 --> 00:17:06.660]   And then finally, it's extreme predictions.
[00:17:06.660 --> 00:17:08.660]   Bitcoin's not going to go to 100,000,
[00:17:08.660 --> 00:17:11.420]   it'll go to 500,000 or a million or 10 million
[00:17:11.420 --> 00:17:13.980]   because don't you know, they're not making any more of them.
[00:17:13.980 --> 00:17:16.420]   When you start hearing those sorts of extreme predictions,
[00:17:16.420 --> 00:17:17.900]   that's the fourth factor.
[00:17:17.900 --> 00:17:20.140]   And we've seen all four of those things right now
[00:17:20.140 --> 00:17:22.100]   with Bitcoin.
[00:17:22.100 --> 00:17:25.380]   - Yeah, I agree with your point.
[00:17:25.380 --> 00:17:29.580]   The only I would point out is, as you pointed out in the book
[00:17:29.580 --> 00:17:33.980]   .com was a bubble, it blew up, but the internet lasted.
[00:17:33.980 --> 00:17:37.860]   Why can't Bitcoin blow up, but blockchain really does last?
[00:17:37.860 --> 00:17:40.580]   Doesn't that seem like a lasting technology to you?
[00:17:40.580 --> 00:17:42.420]   - Oh, absolutely.
[00:17:42.420 --> 00:17:45.660]   And this is one of the central points
[00:17:45.660 --> 00:17:48.100]   of the financial section of the book,
[00:17:48.100 --> 00:17:51.420]   which is that bubble investors turn out to be
[00:17:51.420 --> 00:17:53.340]   capitalism's philanthropist.
[00:17:53.340 --> 00:17:56.540]   They wind up losing a lot of money
