
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:02:18.000 --> 00:02:21.000]   Got out, came to the United States because I was working--
[00:02:21.000 --> 00:02:24.000]   one of my clients was a defense contractor building submarines
[00:02:24.000 --> 00:02:26.000]   in Australia, and I met a lot of guys from the States
[00:02:26.000 --> 00:02:27.000]   when I was working there.
[00:02:27.000 --> 00:02:30.000]   And one of them said, you sound like a smart guy.
[00:02:30.000 --> 00:02:31.000]   Why don't you come over and work for me?
[00:02:31.000 --> 00:02:35.000]   And I ended up in Los Angeles.
[00:02:35.000 --> 00:02:37.000]   I ended up doing a little bit of work there
[00:02:37.000 --> 00:02:41.000]   and then stumbled into a company that got into this thing
[00:02:41.000 --> 00:02:45.000]   called Biotechnology, which I had no idea what that was.
[00:02:45.000 --> 00:02:47.000]   And that company became Amgen.
[00:02:47.000 --> 00:02:49.000]   So I was one of the first, I don't know,
[00:02:49.000 --> 00:02:52.000]   hundred and something people to stay there.
[00:02:52.000 --> 00:02:54.000]   And I ended up staying there for about five years
[00:02:54.000 --> 00:02:58.000]   and left with a ton of stock options, which I didn't even know
[00:02:58.000 --> 00:03:01.000]   what they were, and retired.
[00:03:01.000 --> 00:03:04.000]   And I was about 32, I think.
[00:03:04.000 --> 00:03:08.000]   I went back to Australia and that didn't end well.
[00:03:08.000 --> 00:03:12.000]   I kind of followed in your-- I'm kind of like the poster child
[00:03:12.000 --> 00:03:16.000]   of what happens when you retire too early.
[00:03:16.000 --> 00:03:19.000]   And I know you've spoken about that before.
[00:03:19.000 --> 00:03:21.000]   I can attest to the fact it's 100% correct.
[00:03:21.000 --> 00:03:22.000]   Don't retire too early.
[00:03:22.000 --> 00:03:23.000]   Don't retire.
[00:03:23.000 --> 00:03:25.000]   Actually, I hate that word.
[00:03:25.000 --> 00:03:28.000]   It's something that doesn't resonate well with me.
[00:03:28.000 --> 00:03:34.000]   But I did find myself going from zero to hero to zero
[00:03:34.000 --> 00:03:35.000]   in that world.
[00:03:35.000 --> 00:03:40.000]   And then I ended up with the dot-com boom sort of happened.
[00:03:40.000 --> 00:03:43.000]   I found myself sort of, I don't know, not getting anything
[00:03:43.000 --> 00:03:47.000]   really substantial done in life back in my hometown.
[00:03:47.000 --> 00:03:50.000]   So I decided to get back on a plane and came back to California
[00:03:50.000 --> 00:03:53.000]   and then eventually moved to Arizona.
[00:03:53.000 --> 00:03:57.000]   And I've been here for-- ever since, what's that, 20 years now.
[00:03:57.000 --> 00:04:03.000]   How much money did you have when you retired at 32?
[00:04:03.000 --> 00:04:04.000]   Geez, I don't remember now.
[00:04:04.000 --> 00:04:07.000]   It was in the hundreds and hundreds of thousands of dollars.
[00:04:07.000 --> 00:04:12.000]   I bought a house freehold, so I never had any costs.
[00:04:12.000 --> 00:04:13.000]   I had a lot of money.
[00:04:13.000 --> 00:04:15.000]   We ended up buying some rental properties as well.
[00:04:15.000 --> 00:04:18.000]   And what did you do with yourself?
[00:04:18.000 --> 00:04:20.000]   I got really bored.
[00:04:20.000 --> 00:04:22.000]   I built a recording studio.
[00:04:22.000 --> 00:04:24.000]   I've always been a musical kind of guy.
[00:04:24.000 --> 00:04:26.000]   I always liked recording engineering.
[00:04:26.000 --> 00:04:28.000]   I learned a lot about that when I was living in California.
[00:04:28.000 --> 00:04:32.000]   And I built a studio and I was recording bands, albums,
[00:04:32.000 --> 00:04:35.000]   because I had nothing better to do.
[00:04:35.000 --> 00:04:39.000]   The funny thing is I got divorced, probably because I found myself
[00:04:39.000 --> 00:04:42.000]   in this what do I do now point of life.
[00:04:42.000 --> 00:04:45.000]   And my wife at the time was looking at me going,
[00:04:45.000 --> 00:04:47.000]   well, where does life go from here?
[00:04:47.000 --> 00:04:52.000]   And I didn't have an answer because I was-- the journey had come
[00:04:52.000 --> 00:04:56.000]   to an end at that point for me and I didn't know what my next chapter
[00:04:56.000 --> 00:04:57.000]   was going to be.
[00:04:57.000 --> 00:05:00.000]   And she didn't want to wait around, try and wait for me to find that out.
[00:05:00.000 --> 00:05:04.000]   So I ended up losing pretty much most of what I had gained.
[00:05:04.000 --> 00:05:10.000]   So you go from financially independent to financially divorced very quickly.
[00:05:10.000 --> 00:05:13.000]   And for anybody out there who's had to go through that,
[00:05:13.000 --> 00:05:15.000]   I don't wish it upon anyone.
[00:05:15.000 --> 00:05:20.000]   But that kind of also led to my-- I don't know,
[00:05:20.000 --> 00:05:22.000]   it's kind of a weird thing and it's the segue that goes
[00:05:22.000 --> 00:05:24.000]   into the whole medical thing.
[00:05:24.000 --> 00:05:29.000]   I found myself alone and in pretty dark time at that point.
[00:05:29.000 --> 00:05:32.000]   And I might not have needed money, but that was the least
[00:05:32.000 --> 00:05:33.000]   of my concerns back then.
[00:05:33.000 --> 00:05:37.000]   And some friends of mine said to me one day, do you want to--
[00:05:37.000 --> 00:05:40.000]   it was about just after Christmas time.
[00:05:40.000 --> 00:05:42.000]   It was like the day after Christmas.
[00:05:42.000 --> 00:05:47.000]   They had planned this epic road trip to go up into the Queensland,
[00:05:47.000 --> 00:05:50.000]   which is like the tropical area of Australia,
[00:05:50.000 --> 00:05:52.000]   to have New Year's Eve up there.
[00:05:52.000 --> 00:05:54.000]   And they said, look, you don't want to be sitting around here sort
[00:05:54.000 --> 00:05:56.000]   of wallowing in your misery.
[00:05:56.000 --> 00:05:57.000]   You want to come with us.
[00:05:57.000 --> 00:06:00.000]   So I said, yeah, all right, sounds like a plan.
[00:06:00.000 --> 00:06:04.000]   Jumped in the car and we drove two days to our destination,
[00:06:04.000 --> 00:06:08.000]   had a week there and we're driving back, got one day through it,
[00:06:08.000 --> 00:06:11.000]   got in the second day and then really bad things started to happen,
[00:06:11.000 --> 00:06:15.000]   which is kind of where the whole medical journey begins.
[00:06:15.000 --> 00:06:17.000]   What happened?
[00:06:17.000 --> 00:06:21.000]   Well, we were driving back across the outback of Australia,
[00:06:21.000 --> 00:06:24.000]   pretty sort of desolate area.
[00:06:24.000 --> 00:06:29.000]   And I had driven the first few hours of that day.
[00:06:29.000 --> 00:06:32.000]   It was our second day on our way back home.
[00:06:32.000 --> 00:06:35.000]   And we stopped for lunch.
[00:06:35.000 --> 00:06:39.000]   It was myself, a friend of mine who was in the car and his girlfriend.
[00:06:39.000 --> 00:06:42.000]   And we were driving back.
[00:06:42.000 --> 00:06:43.000]   We got about halfway through it.
[00:06:43.000 --> 00:06:44.000]   We had lunch.
[00:06:44.000 --> 00:06:47.000]   We got back and it was like, okay, he says it's my turn to drive.
[00:06:47.000 --> 00:06:48.000]   So I said, sure, here you go.
[00:06:48.000 --> 00:06:49.000]   Here's the keys.
[00:06:49.000 --> 00:06:50.000]   I get in the back of the car.
[00:06:50.000 --> 00:06:52.000]   I'm in the rear seat.
[00:06:52.000 --> 00:06:54.000]   And off he goes.
[00:06:54.000 --> 00:06:55.000]   We drove for about 20 minutes.
[00:06:55.000 --> 00:06:58.000]   I'm in there happily reading a book and just, you know,
[00:06:58.000 --> 00:07:01.000]   there's not much else you can do when you're in the middle of nowhere in the
[00:07:01.000 --> 00:07:02.000]   outback of Australia.
[00:07:02.000 --> 00:07:04.000]   You sit there reading a book, letting him do the driving.
[00:07:04.000 --> 00:07:06.000]   We went over this crest.
[00:07:06.000 --> 00:07:09.000]   You know, the road just crested over the top of the hill.
[00:07:09.000 --> 00:07:11.000]   And I didn't think much of it.
[00:07:11.000 --> 00:07:15.000]   Next thing you know, I'm hearing -- I hear water, which is weird.
[00:07:15.000 --> 00:07:17.000]   I mean, I'm in the middle of the outback of Australia.
[00:07:17.000 --> 00:07:18.000]   It's a splash.
[00:07:18.000 --> 00:07:21.000]   I look up and we're in a lake.
[00:07:21.000 --> 00:07:25.000]   I mean, all I could tell you was this vast water.
[00:07:25.000 --> 00:07:28.000]   He'd like driven us into a lake.
[00:07:28.000 --> 00:07:31.000]   And it wasn't his fault.
[00:07:31.000 --> 00:07:32.000]   There was a flash flood.
[00:07:32.000 --> 00:07:36.000]   It washed out the road and no one had put any signs up to tell anybody.
[00:07:36.000 --> 00:07:39.000]   And, you know, I guess maybe it was because we just had lunch and he was
[00:07:39.000 --> 00:07:41.000]   traveling probably faster than he should have.
[00:07:41.000 --> 00:07:43.000]   But he didn't see it.
[00:07:43.000 --> 00:07:47.000]   We hit the water and like a stone skipping over, you know,
[00:07:47.000 --> 00:07:51.000]   if you throw a stone across the ocean, it bounces across the top.
[00:07:51.000 --> 00:07:53.000]   We became that stone.
[00:07:53.000 --> 00:07:55.000]   We hydroplaned at rapid speed.
[00:07:55.000 --> 00:07:58.000]   And I just remember in the back of my mind -- because everything slows down,
[00:07:58.000 --> 00:07:59.000]   right?
[00:07:59.000 --> 00:08:04.000]   It goes down to everything seems like a slow motion experience, like a movie.
[00:08:04.000 --> 00:08:07.000]   And I remember saying to myself -- his name's Lindsay.
[00:08:07.000 --> 00:08:09.000]   And I said, "Lindsay, don't lose it, buddy.
[00:08:09.000 --> 00:08:12.000]   Don't lose control of the car."
[00:08:12.000 --> 00:08:15.000]   And then black, nothing.
[00:08:15.000 --> 00:08:17.000]   And that's all I remember.
[00:08:17.000 --> 00:08:24.000]   The next thing you know, I wake up and there's this guy cutting the car apart
[00:08:24.000 --> 00:08:26.000]   with the jaws of life.
[00:08:26.000 --> 00:08:27.000]   And I'm in the back.
[00:08:27.000 --> 00:08:32.000]   And then on top of me is the car seat from the front passenger seat.
[00:08:32.000 --> 00:08:35.000]   And on top of that was my buddy's girlfriend.
[00:08:35.000 --> 00:08:37.000]   And these guys are cutting me out of the car.
[00:08:37.000 --> 00:08:40.000]   And I'm literally going to say to them, "Hey, forget about me.
[00:08:40.000 --> 00:08:41.000]   Get her.
[00:08:41.000 --> 00:08:42.000]   She's sitting on top of me.
[00:08:42.000 --> 00:08:43.000]   You know, get her."
[00:08:43.000 --> 00:08:44.000]   But they wouldn't touch her.
[00:08:44.000 --> 00:08:46.000]   And I'm like, "What the heck?"
[00:08:46.000 --> 00:08:48.000]   Anyway, they pulled me out of the car.
[00:08:48.000 --> 00:08:49.000]   It was kind of gruesome.
[00:08:49.000 --> 00:08:51.000]   They got me out, put me on a stretcher.
[00:08:51.000 --> 00:08:55.000]   And it was at that point I looked back and realized she was dead.
[00:08:55.000 --> 00:08:59.000]   And, you know, waking up with a dead body on top of you is kind of not
[00:08:59.000 --> 00:09:01.000]   something I'd suggest to anybody, but it happens.
[00:09:01.000 --> 00:09:07.000]   And anyway, they put you on a stretcher and put you on a medical ambulance
[00:09:07.000 --> 00:09:13.000]   and drive you back to the closest country town with a hospital and put us
[00:09:13.000 --> 00:09:14.000]   in the emergency room.
[00:09:14.000 --> 00:09:19.000]   And then I remember at that point they must have injected something into me
[00:09:19.000 --> 00:09:25.000]   because I was out for I think about six days in a medically induced coma while
[00:09:25.000 --> 00:09:27.000]   they tried to put me back together again.
[00:09:27.000 --> 00:09:31.000]   And, yeah, after that I woke up back in my hometown.
[00:09:31.000 --> 00:09:35.000]   They must have airlifted us to our local hospital.
[00:09:35.000 --> 00:09:42.000]   And I found myself in the bowels of the socialist world of medicine,
[00:09:42.000 --> 00:09:49.000]   of Australia, and I'm in a room with six other people and I'm getting some
[00:09:49.000 --> 00:09:52.000]   level of treatment and I'm on morphine and, you know,
[00:09:52.000 --> 00:09:55.000]   it was like that for a few days before they started treating me.
[00:09:55.000 --> 00:10:02.000]   So, yeah, what ended up happening was I broke my right femur,
[00:10:02.000 --> 00:10:04.000]   snapped it in half.
[00:10:04.000 --> 00:10:08.000]   They pinned that back together before I woke up, which was good.
[00:10:08.000 --> 00:10:16.000]   And then my left shoulder and humerus had been broken in five places and the --
[00:10:16.000 --> 00:10:20.000]   so without getting too medical, everyone in their, you know,
[00:10:20.000 --> 00:10:24.000]   their top arm has a humerus, a big bone with a bowl on the top that slots
[00:10:24.000 --> 00:10:26.000]   into your shoulder joint.
[00:10:26.000 --> 00:10:29.000]   In my case the bowl had completely broken off from the bone,
[00:10:29.000 --> 00:10:33.000]   completely severed, and then the bone itself had broken in five places.
[00:10:33.000 --> 00:10:36.000]   So they pinned the bone back together as best they could,
[00:10:36.000 --> 00:10:39.000]   but they couldn't put the bowl on the top of the bone anymore because they
[00:10:39.000 --> 00:10:42.000]   had these pins sticking out of it.
[00:10:42.000 --> 00:10:45.000]   Well, when they do that, the best they could do was to stick it on the side
[00:10:45.000 --> 00:10:47.000]   of the bone.
[00:10:47.000 --> 00:10:52.000]   So I ended up walking around with this deformed shoulder and that was kind of,
[00:10:52.000 --> 00:10:55.000]   you know, I remember the doctor coming into the hospital and saying, well,
[00:10:55.000 --> 00:10:58.000]   I'm sorry, buddy, but this is what you've got for the rest of your life.
[00:10:58.000 --> 00:11:00.000]   This is what you're going to be dealing with.
[00:11:00.000 --> 00:11:02.000]   And I'm like, you're kidding, aren't you?
[00:11:02.000 --> 00:11:04.000]   Come on, you can do a better job than that.
[00:11:04.000 --> 00:11:05.000]   And he's like, no, that's it.
[00:11:05.000 --> 00:11:06.000]   That's the best we can do.
[00:11:06.000 --> 00:11:08.000]   You're going to have arthritis.
[00:11:08.000 --> 00:11:10.000]   You're going to have limited motion.
[00:11:10.000 --> 00:11:14.000]   You know, you'd be lucky if you can raise your arm above 90 degrees on a good
[00:11:14.000 --> 00:11:15.000]   day.
[00:11:15.000 --> 00:11:17.000]   But, you know, hey, you didn't die.
[00:11:17.000 --> 00:11:20.000]   You know, we're all patting ourselves on the back here because you didn't die.
[00:11:20.000 --> 00:11:25.000]   And I'm like, well, thank you for that, but maybe you can fix this thing?
[00:11:25.000 --> 00:11:28.000]   And he's like, no.
[00:11:28.000 --> 00:11:32.000]   So, you know, no medicine for you.
[00:11:32.000 --> 00:11:36.000]   And that was what I've been living with for the last 22 years.
[00:11:36.000 --> 00:11:37.000]   Wow.
[00:11:37.000 --> 00:11:43.000]   So what precipitated your deciding to have fresh surgery and then going
[00:11:43.000 --> 00:11:46.000]   through the process of trying to figure out where and how to get that surgery?
[00:11:46.000 --> 00:11:48.000]   Why now?
[00:11:48.000 --> 00:11:55.000]   Well, there was a sort of a period post-surgery in Australia when I had this
[00:11:55.000 --> 00:11:58.000]   before I decided to come back to the U.S.
[00:11:58.000 --> 00:12:07.000]   I found myself battling against the insurance company, which connects the dots
[00:12:07.000 --> 00:12:08.000]   to tell the story.
[00:12:08.000 --> 00:12:12.000]   So in Australia, when you register a motor vehicle, at least in the state where
[00:12:12.000 --> 00:12:17.000]   we lived, it was mandatory as part of your registration that the state government
[00:12:17.000 --> 00:12:23.000]   provides a third-party liability policy, and it comes with the insurance.
[00:12:23.000 --> 00:12:26.000]   So your insurance is much higher than it would be in the United States,
[00:12:26.000 --> 00:12:30.000]   but you've got this liability policy built into it.
[00:12:30.000 --> 00:12:35.000]   And that policy is supposed to cover anybody who has some sort of medical,
[00:12:35.000 --> 00:12:40.000]   you know, impact from an accident, of which clearly I was that guy.
[00:12:40.000 --> 00:12:42.000]   I was in the rear seat passenger here.
[00:12:42.000 --> 00:12:44.000]   I had no control of the vehicle.
[00:12:44.000 --> 00:12:46.000]   I had no control of destiny here.
[00:12:46.000 --> 00:12:47.000]   I wore it.
[00:12:47.000 --> 00:12:53.000]   So the way the medical system works in Australia is you get put into the
[00:12:53.000 --> 00:12:57.000]   government medical system, whether you like it or not, with accident
[00:12:57.000 --> 00:12:58.000]   and emergencies.
[00:12:58.000 --> 00:13:03.000]   And in my case, they put me in, they patched me up, they shipped me out,
[00:13:03.000 --> 00:13:09.000]   and then all the post-surgery stuff was all supposed to be covered by the
[00:13:09.000 --> 00:13:15.000]   insurance that we were given by mandatory, you know, they push it on you,
[00:13:15.000 --> 00:13:16.000]   you don't get a choice.
[00:13:16.000 --> 00:13:20.000]   It was supposed to pick up all the post-op, all of the physical therapy,
[00:13:20.000 --> 00:13:22.000]   everything.
[00:13:22.000 --> 00:13:25.000]   And after a few weeks, they weren't paying.
[00:13:25.000 --> 00:13:28.000]   And I, you know, I'm like, "What gives, guys?"
[00:13:28.000 --> 00:13:34.000]   And the answer was, "Well, there was an accident that involved a murder."
[00:13:34.000 --> 00:13:35.000]   I'm like, "No, it wasn't a murder.
[00:13:35.000 --> 00:13:36.000]   She was killed.
[00:13:36.000 --> 00:13:37.000]   It was an accident."
[00:13:37.000 --> 00:13:41.000]   It's like, "Well, no, we are going to charge the driver with negligent
[00:13:41.000 --> 00:13:42.000]   homicide."
[00:13:42.000 --> 00:13:47.000]   So the next thing you know, my buddy is being, you know,
[00:13:47.000 --> 00:13:52.000]   going into state to attend court proceedings because his girlfriend's family
[00:13:52.000 --> 00:13:56.000]   were obviously completely distraught with everything that had happened.
[00:13:56.000 --> 00:13:57.000]   I mean, I get that.
[00:13:57.000 --> 00:14:02.000]   But they were throwing all the blame on him, which I don't know if -- I don't --
[00:14:02.000 --> 00:14:04.000]   I would not say that was his fault at all.
[00:14:04.000 --> 00:14:08.000]   I mean, I was in the car, but they wouldn't let me testify in court.
[00:14:08.000 --> 00:14:10.000]   They just kept wanting to throw it on him.
[00:14:10.000 --> 00:14:16.000]   And because there was this pending murder case, that's how they classed it,
[00:14:16.000 --> 00:14:20.000]   homicide, they wouldn't pay my medical costs.
[00:14:20.000 --> 00:14:25.000]   So eventually that case was dismissed as you would expect it to be.
[00:14:25.000 --> 00:14:29.000]   And then at that point I had already engaged with a lawyer to say, "Hey,
[00:14:29.000 --> 00:14:32.000]   you guys better pay my medical."
[00:14:32.000 --> 00:14:36.000]   And, of course, now there was litigation, so they wouldn't pay me either.
[00:14:36.000 --> 00:14:38.000]   And this went on for eight years.
[00:14:38.000 --> 00:14:43.000]   I had no covered medical for eight years while I was waiting for all of these
[00:14:43.000 --> 00:14:44.000]   things to blow out.
[00:14:44.000 --> 00:14:47.000]   And meanwhile I got sick and tired of waiting around.
[00:14:47.000 --> 00:14:48.000]   I got remarried.
[00:14:48.000 --> 00:14:50.000]   I had a daughter.
[00:14:50.000 --> 00:14:52.000]   I wanted to give my family a better life.
[00:14:52.000 --> 00:14:54.000]   I couldn't do it in Australia.
[00:14:54.000 --> 00:14:57.000]   It just wasn't economically feasible.
[00:14:57.000 --> 00:14:59.000]   And the dot-com boom was calling.
[00:14:59.000 --> 00:15:02.000]   So we all got on a plane and came to the United States and landed,
[00:15:02.000 --> 00:15:06.000]   and it took another three or so years before they eventually paid
[00:15:06.000 --> 00:15:08.000]   out on that claim.
[00:15:08.000 --> 00:15:13.000]   Meanwhile I come to the U.S., no health care,
[00:15:13.000 --> 00:15:15.000]   pre-existing condition.
[00:15:15.000 --> 00:15:17.000]   I got to build everything from nothing.
[00:15:17.000 --> 00:15:22.000]   I mean I've literally gone from zero to millionaire to zero again,
[00:15:22.000 --> 00:15:26.000]   and now I entered back into the United States for a second time.
[00:15:26.000 --> 00:15:30.000]   And thankfully within about six years I was a millionaire again.
[00:15:30.000 --> 00:15:36.000]   And that was just because I was a business guy and I just don't take no for an
[00:15:36.000 --> 00:15:37.000]   answer.
[00:15:37.000 --> 00:15:42.000]   I just wouldn't put up with being told no, no, no on everything.
[00:15:42.000 --> 00:15:46.000]   That just permeated into my life in money and finance,
[00:15:46.000 --> 00:15:51.000]   and eventually it permeated into my life in medicine.
[00:15:51.000 --> 00:15:55.000]   So there are a number of interesting trails we could go down.
[00:15:55.000 --> 00:15:58.000]   I want to talk about your financial independence journey and a little bit on
[00:15:58.000 --> 00:16:04.000]   your expatriation experience because that's part of this.
[00:16:04.000 --> 00:16:10.000]   But let's start with the move to Mexico to get the surgery that you had
[00:16:10.000 --> 00:16:11.000]   recently.
[00:16:11.000 --> 00:16:13.000]   You came to a point, as I understand the story,
[00:16:13.000 --> 00:16:16.000]   you came to a point now recently where you said,
[00:16:16.000 --> 00:16:17.000]   "I want to get this taken care of."
[00:16:17.000 --> 00:16:22.000]   Were you experiencing further symptoms that were exacerbated recently somehow
[00:16:22.000 --> 00:16:25.000]   and that kind of pushed you over the edge or what happened?
[00:16:25.000 --> 00:16:28.000]   Yeah, it did.
[00:16:28.000 --> 00:16:33.000]   A year ago my wife and I were just bumming around Mexico because in the
[00:16:33.000 --> 00:16:36.000]   summer you don't want to stay in Arizona where we live.
[00:16:36.000 --> 00:16:37.000]   You want to get out.
[00:16:37.000 --> 00:16:41.000]   So we went down to Mexico City for a week.
[00:16:41.000 --> 00:16:44.000]   We were in Puerto Vallarta for a week, and we were just doing the tourist thing.
[00:16:44.000 --> 00:16:47.000]   I'm in Puerto Vallarta going, "You know,
[00:16:47.000 --> 00:16:51.000]   I just don't feel like I'm getting the Mexican experience here."
[00:16:51.000 --> 00:16:55.000]   So I said to - I'd watched some YouTube videos of this magical place that
[00:16:55.000 --> 00:17:02.000]   everybody was retiring to called Ajijic, and it was on Lake Chapala,
[00:17:02.000 --> 00:17:06.000]   which is in Jalisco in the center of Mexico.
[00:17:06.000 --> 00:17:10.000]   It was one of these places where people could go down there and retire on the
[00:17:10.000 --> 00:17:13.000]   U.S. Social Security and live a rich life.
[00:17:13.000 --> 00:17:15.000]   I mean, they were - these people were great.
[00:17:15.000 --> 00:17:16.000]   I said, "I want to go there.
[00:17:16.000 --> 00:17:18.000]   Let's go on a bus for five hours.
[00:17:18.000 --> 00:17:19.000]   I don't speak any Spanish.
[00:17:19.000 --> 00:17:20.000]   I don't know where I am.
[00:17:20.000 --> 00:17:22.000]   Let's just go."
[00:17:22.000 --> 00:17:25.000]   She's adventurous, so she said, "Okay, let's do that."
[00:17:25.000 --> 00:17:26.000]   So we get on this bus.
[00:17:26.000 --> 00:17:30.000]   We go to Guadalajara, and then we get an Uber up to Ajijic.
[00:17:30.000 --> 00:17:35.000]   I got out of the car, and I saw this beautiful little town.
[00:17:35.000 --> 00:17:37.000]   These people were - everyone was old.
[00:17:37.000 --> 00:17:44.000]   Now, old is the subjective term, but the average age of people in Ajijic is 65.
[00:17:44.000 --> 00:17:48.000]   What I saw with my own eyes, and I noticed this in the first 15 minutes of being
[00:17:48.000 --> 00:17:53.000]   there, was that everybody was skinny, and I say skinny as in svelte.
[00:17:53.000 --> 00:17:55.000]   They were not overweight.
[00:17:55.000 --> 00:17:57.000]   There was no obesity at all.
[00:17:57.000 --> 00:17:59.000]   Everybody was happy.
[00:17:59.000 --> 00:18:00.000]   Everybody was healthy.
[00:18:00.000 --> 00:18:02.000]   Everybody was social.
[00:18:02.000 --> 00:18:06.000]   It was like, "Oh, I want to live here."
[00:18:06.000 --> 00:18:09.000]   This is utopia, right?
[00:18:09.000 --> 00:18:14.000]   I remember we went up to the town square, and there were these people sitting on the -
[00:18:14.000 --> 00:18:16.000]   and nobody's afraid to talk to anybody, right?
[00:18:16.000 --> 00:18:20.000]   So there's this couple of guys sitting on a park bench, and I walked past them,
[00:18:20.000 --> 00:18:22.000]   and I just sparked up a conversation.
[00:18:22.000 --> 00:18:24.000]   I said to the guy, "You know what?
[00:18:24.000 --> 00:18:25.000]   You look really happy.
[00:18:25.000 --> 00:18:27.000]   Tell me about what your life's like."
[00:18:27.000 --> 00:18:31.000]   This guy, who was about 70, tells me he used to live in Wisconsin,
[00:18:31.000 --> 00:18:36.000]   and he couldn't afford to retire in America, and he couldn't afford the healthcare,
[00:18:36.000 --> 00:18:40.000]   and he came here, and his life has been fulfilled, and he's been there for 10 years.
[00:18:40.000 --> 00:18:43.000]   I thought, "Wow, that's a really interesting story."
[00:18:43.000 --> 00:18:46.000]   He says, "Yeah, because the medical is so affordable."
[00:18:46.000 --> 00:18:47.000]   I'm like, "What do you mean?"
[00:18:47.000 --> 00:18:53.000]   He goes, "Well, you can get private health coverage in Mexico for less than the cost
[00:18:53.000 --> 00:18:55.000]   of your deductible in America."
[00:18:55.000 --> 00:18:57.000]   I'm like, "Nah, come on.
