
[00:00:00.040 --> 00:00:09.300]  remo
[00:07:12.220 --> 00:07:42.200]  , and very possibly could result in the future.
[00:07:42.200 --> 00:07:42.200]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:07:42.200 --> 00:07:42.200]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:07:42.200 --> 00:07:42.200]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:07:42.200 --> 00:07:42.200]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:07:42.220 --> 00:08:12.220]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:08:12.220 --> 00:08:12.220]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:08:12.220 --> 00:08:12.220]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:08:12.220 --> 00:08:12.220]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:08:12.220 --> 00:08:12.220]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:08:12.220 --> 00:08:42.240]  , the top five percent of income earners for your country of residence in the United States of America, that means that your income is about 225 million dollars.
[00:08:42.240 --> 00:08:42.240]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:08:42.240 --> 00:08:42.240]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:08:42.240 --> 00:08:42.240]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:08:42.240 --> 00:08:42.240]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:08:42.260 --> 00:09:12.260]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:09:12.260 --> 00:09:12.260]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:09:12.260 --> 00:09:12.260]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:09:12.260 --> 00:09:12.260]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:09:12.260 --> 00:09:12.260]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:09:12.260 --> 00:09:42.280]  ,
[00:09:42.280 --> 00:09:42.280]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:09:42.280 --> 00:09:42.280]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:09:42.280 --> 00:09:42.280]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:09:42.280 --> 00:09:42.280]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:09:42.280 --> 00:09:42.280]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could be able to cut your expenses by 75% if you may be able to cut your expenses by 75%.
[00:09:42.300 --> 00:10:12.300]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:10:12.300 --> 00:10:12.300]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:10:12.300 --> 00:10:12.300]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:10:12.300 --> 00:10:12.300]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:10:12.300 --> 00:10:12.300]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:10:12.340 --> 00:10:42.320]  ,
[00:10:42.320 --> 00:10:42.320]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:10:42.320 --> 00:10:42.320]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:10:42.320 --> 00:10:42.320]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:10:42.320 --> 00:10:42.320]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:10:42.320 --> 00:10:42.320]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:10:42.340 --> 00:11:12.340]   I would say that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:11:12.340 --> 00:11:12.340]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:11:12.340 --> 00:11:12.340]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:11:12.340 --> 00:11:12.340]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:11:12.340 --> 00:11:12.340]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:11:12.340 --> 00:11:12.340]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:11:12.380 --> 00:11:42.360]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:11:42.360 --> 00:11:42.360]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:11:42.360 --> 00:11:42.360]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:11:42.360 --> 00:11:42.360]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:11:42.360 --> 00:11:42.360]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:11:42.380 --> 00:12:12.380]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:12:12.380 --> 00:12:12.380]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:12:12.380 --> 00:12:12.380]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:12:12.380 --> 00:12:12.380]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:12:12.380 --> 00:12:12.380]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:12:12.420 --> 00:12:42.400]  ,
[00:12:42.400 --> 00:12:42.400]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:12:42.400 --> 00:12:42.400]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:12:42.400 --> 00:12:42.400]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:12:42.400 --> 00:12:42.400]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:12:42.400 --> 00:12:42.400]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:12:42.420 --> 00:13:12.420]   You can avoid catastrophe on the small things, but if you're earning a minimum wage income, there's no reason for you to be shopping and studying the market for board of director liability insurance policies.
[00:13:12.420 --> 00:13:12.420]   On the flip side, if you earn a million bucks a year because you sit on 10 different boards, you better know the market for board of directors liabilities policies and make sure that you have fully insured yourself, and you probably need to worry a little bit less about the cost of the insurance.
[00:13:12.420 --> 00:13:12.420]   You can avoid catastrophe on the small things, but if you're earning a minimum wage income, there's no reason for you to be shopping and studying the market for board of director liability insurance policies.
[00:13:12.420 --> 00:13:12.420]   You can avoid catastrophe on the small things, but if you're earning a minimum wage income, there's no reason for you to be shopping and studying the market for board of director liability insurance policies.
[00:13:12.460 --> 00:13:42.440]  .
[00:13:42.440 --> 00:13:42.440]   You can avoid catastrophe on the small things, but if you're earning a minimum wage income, there's no reason for you to worry a little bit less about your six month emergency fund at that stage of life.
[00:13:42.440 --> 00:13:42.440]   You can avoid catastrophe on the small things, but if you're earning a minimum wage income, there's no reason for you to worry a little bit less about your six month emergency fund at that stage of life.
[00:13:42.440 --> 00:13:42.440]   You can avoid catastrophe on the small things, but if you're earning a minimum wage income, there's no reason for you to worry a little bit less about your six month emergency fund at that stage of life.
[00:13:42.460 --> 00:14:12.460]   Well, my experience is most people who save more money don't view it as a punishment.
[00:14:12.460 --> 00:14:12.460]   They view it as a positive thing.
[00:14:12.460 --> 00:14:12.460]   They would rather have the freedom of being rich versus the misery and bondage of being poor.
[00:14:12.460 --> 00:14:12.460]   And that's why they cut their expenses in order to save money.
[00:14:12.460 --> 00:14:12.460]   That's why they cut their expenses in order to save money.
[00:14:12.460 --> 00:14:12.460]   And that's why they cut their expenses in order to save money.
[00:14:12.460 --> 00:14:12.460]   And that's why they cut their expenses in order to save money.
[00:14:12.460 --> 00:14:12.460]   And that's why they cut their expenses in order to save money.
[00:14:12.460 --> 00:14:12.460]   And that's why they cut their expenses in order to save money.
[00:14:12.460 --> 00:14:12.460]   And that's why they cut their expenses in order to save money.
[00:14:12.460 --> 00:14:12.460]   And that's why they cut their expenses in order to save money.
[00:14:12.460 --> 00:14:12.460]   And that's why they cut their expenses in order to save money.
[00:14:12.460 --> 00:14:12.460]   And that's why they cut their expenses in order to save money.
[00:14:12.460 --> 00:14:42.480]   And that's why they cut their expenses in order to save money.
[00:14:42.480 --> 00:14:42.480]   And that's why they cut their expenses in order to save money.
[00:14:42.480 --> 00:14:42.480]   And that's why they cut their expenses in order to save money.
[00:14:42.480 --> 00:14:42.480]   And that's why they cut their expenses in order to save money.
[00:14:42.480 --> 00:14:42.480]   And that's why they cut their expenses in order to save money.
[00:14:42.480 --> 00:14:42.480]   And that's why they cut their expenses in order to save money.
[00:14:42.480 --> 00:14:42.480]   And that's why they cut their expenses in order to save money.
[00:14:42.480 --> 00:14:42.480]   And that's why they cut their expenses in order to save money.
[00:14:42.480 --> 00:14:42.480]   And that's why they cut their expenses in order to save money.
[00:14:42.500 --> 00:15:12.500]   And that's why they cut their expenses in order to save money.
[00:15:12.500 --> 00:15:12.500]   And that's why they cut their expenses in order to save money.
[00:15:12.500 --> 00:15:12.500]   And that's why they cut their expenses in order to save money.
[00:15:12.500 --> 00:15:12.500]   And that's why they cut their expenses in order to save money.
[00:15:12.500 --> 00:15:12.500]   And that's why they cut their expenses in order to save money.
[00:15:12.500 --> 00:15:12.500]   And that's why they cut their expenses in order to save money.
[00:15:12.500 --> 00:15:12.500]   And that's why they cut their expenses in order to save money.
[00:15:12.500 --> 00:15:12.500]   And that's why they cut their expenses in order to save money.
[00:15:12.500 --> 00:15:12.500]   And that's why they cut their expenses in order to save money.
[00:15:12.500 --> 00:15:12.500]   And that's why they cut their expenses in order to save money.
[00:15:12.500 --> 00:15:12.500]   And that's why they cut their expenses in order to save money.
[00:15:12.500 --> 00:15:12.500]   And that's why they cut their expenses in order to save money.
[00:15:12.500 --> 00:15:12.500]   And that's why they cut their expenses in order to save money.
[00:15:42.520 --> 00:15:42.520]   And that's why they cut their expenses in order to save money.
[00:15:42.520 --> 00:15:42.520]   And that's why they cut their expenses in order to save money.
[00:15:42.520 --> 00:15:42.520]   And that's why they cut their expenses in order to save money.
[00:15:42.520 --> 00:15:42.520]   And that's why they cut their expenses in order to save money.
[00:15:42.520 --> 00:15:42.520]   And that's why they cut their expenses in order to save money.
[00:15:42.520 --> 00:15:42.520]   And that's why they cut their expenses in order to save money.
[00:15:42.520 --> 00:15:42.520]   And that's why they cut their expenses in order to save money.
[00:15:42.520 --> 00:15:42.520]   And that's why they cut their expenses in order to save money.
[00:16:12.540 --> 00:16:12.540]   --------
[00:16:12.540 --> 00:16:42.560]   --------
[00:16:42.560 --> 00:17:12.580]   -------- -------- -------- -------- -------- -------- -------- ----- ----- ----- ----- ----- ----- ----- ----- ----- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 2
[00:17:12.580 --> 00:17:12.580]   and expenses and savings to go up we increase income.
[00:17:12.580 --> 00:17:12.580]   If you increase your income, you will be able to save money.
[00:17:12.580 --> 00:17:12.580]   If you increase your income, you will be able to save money.
[00:17:12.580 --> 00:17:12.580]   If you increase your income, you will be able to save money.
[00:17:12.580 --> 00:17:12.580]   If you increase your income, you will be able to save money.
[00:17:12.580 --> 00:17:12.580]   If you increase your income, you will be able to save money.
[00:17:12.580 --> 00:17:12.580]   If you increase your income, you will be able to save money.
[00:17:12.620 --> 00:17:42.600]   If you increase your income, you will be able to save money.
[00:17:42.600 --> 00:17:42.600]   If you increase your income, you will be able to save money.
[00:17:42.600 --> 00:17:42.600]   If you increase your income, you will be able to save money.
[00:17:42.600 --> 00:17:42.600]   If you increase your income, you will be able to save money.
[00:17:42.600 --> 00:17:42.600]   If you increase your income, you will be able to save money.
[00:17:42.600 --> 00:17:42.600]   If you increase your income, you will be able to save money.
[00:17:42.600 --> 00:17:42.600]   If you increase your income, you will be able to save money.
[00:17:42.600 --> 00:17:42.600]   If you increase your income, you will be able to save money.
[00:17:42.600 --> 00:17:42.600]   If you increase your income, you will be able to save money.
[00:17:42.600 --> 00:17:42.600]   If you increase your income, you will be able to save money.
[00:17:42.600 --> 00:17:42.600]   If you increase your income, you will be able to save money.
[00:17:42.600 --> 00:17:42.600]   If you increase your income, you will be able to save money. If you increase your income, you will be able to save money.
[00:17:42.620 --> 00:18:12.620]   If you increase your income, you will be able to save money.
[00:18:12.620 --> 00:18:12.620]   The higher your income, the higher your lifestyle now, and the higher your wealth in the future.
[00:18:12.620 --> 00:18:12.620]   The higher your income, the higher your lifestyle now, and the higher your wealth in the future.
[00:18:12.620 --> 00:18:12.620]   Perhaps this seems obvious to you.
[00:18:12.620 --> 00:18:12.620]   Perhaps this seems obvious to you.
[00:18:12.620 --> 00:18:12.620]   Perhaps this seems obvious to you.
[00:18:12.620 --> 00:18:12.620]   Perhaps this seems obvious to you.
[00:18:12.620 --> 00:18:12.620]   Perhaps this seems obvious to you.
[00:18:12.620 --> 00:18:12.620]   Perhaps this seems obvious to you.
[00:18:12.620 --> 00:18:12.620]   Perhaps this seems obvious to you.
[00:18:12.620 --> 00:18:12.620]   Perhaps this seems obvious to you.
[00:18:12.620 --> 00:18:12.620]   Perhaps this seems obvious to you.
[00:18:12.620 --> 00:18:12.620]   Perhaps this seems obvious to you.
[00:18:12.620 --> 00:18:12.620]   Perhaps this seems obvious to you.
[00:18:12.620 --> 00:18:12.620]   Perhaps this seems obvious to you.
[00:18:12.620 --> 00:18:12.620]   Perhaps this seems obvious to you.
[00:18:12.620 --> 00:18:12.620]   Perhaps this seems obvious to you.
[00:18:12.620 --> 00:18:12.620]   the higher your lifestyle now and the higher your wealth in the future.
[00:18:12.620 --> 00:18:12.620]   the higher your wealth in the future.
[00:18:12.620 --> 00:18:42.640]   the higher your wealth in the future.
[00:18:42.640 --> 00:18:42.640]   the higher your wealth in the future.
[00:18:42.680 --> 00:18:54.680]   the higher your wealth in the future.
[00:18:54.680 --> 00:18:59.580]   work is the magic key to a high lifestyle and high wealth.
[00:18:59.580 --> 00:19:12.660]   don't miss the importance of this point because you're blinded by the simplicity of it.
[00:19:12.660 --> 00:19:12.660]   Don't miss the importance of this point because you're blinded by the simplicity of it.
[00:19:12.660 --> 00:19:12.660]   Don't miss the importance of this point because you're blinded by the simplicity of it.
[00:19:12.660 --> 00:19:12.660]   Don't miss the importance of this point because you're blinded by the simplicity of it.
[00:19:12.660 --> 00:19:12.660]   Don't miss the importance of this point because you're blinded by the simplicity of it.
[00:19:12.660 --> 00:19:12.660]   Don't miss the importance of this point because you're blinded by the simplicity of it.
[00:19:12.660 --> 00:19:12.660]   Don't miss the importance of this point because you're blinded by the simplicity of it.
[00:19:12.660 --> 00:19:12.660]   Don't miss the importance of this point because you're blinded by the simplicity of it.
[00:19:12.660 --> 00:19:12.660]   Don't miss the importance of this point because you're blinded by the simplicity of it.
[00:19:12.680 --> 00:19:42.680]   What are you doing today that will result in your income increasing tomorrow?
[00:19:42.680 --> 00:19:42.680]   What's on your calendar this week that will result in your income increasing next year?
[00:19:42.680 --> 00:19:42.680]   What kind of planning have you been doing this year for your income to be higher a decade from now?
[00:19:42.680 --> 00:19:42.680]   What kind of planning have you been doing this year for your income to be higher a decade from now?
[00:19:42.680 --> 00:19:42.680]   What kind of planning have you been doing this year for your income to be higher a decade from now?
[00:19:42.680 --> 00:19:42.680]   What kind of planning have you been doing this year for your income to be higher a decade from now?
[00:19:42.680 --> 00:19:42.680]   What kind of planning have you been doing this year for your income to be higher a decade from now?
[00:19:42.680 --> 00:19:42.680]   What kind of planning have you been doing this year for your income to be higher a decade from now?
[00:19:42.680 --> 00:19:42.680]   What kind of planning have you been doing this year for your income to be higher a decade from now?
[00:19:42.720 --> 00:20:12.700]  ,
[00:20:12.700 --> 00:20:12.700]   ,
[00:20:12.700 --> 00:20:12.700]   ,
[00:20:12.700 --> 00:20:12.700]   ,
[00:20:12.700 --> 00:20:12.700]   ,
[00:20:12.700 --> 00:20:12.700]   ,
[00:20:12.700 --> 00:20:12.700]   ,
[00:20:12.700 --> 00:20:12.700]   ,
[00:20:12.700 --> 00:20:12.700]   ,
[00:20:12.700 --> 00:20:12.700]   , .
[00:20:12.740 --> 00:20:42.720]   .
[00:20:42.720 --> 00:20:42.720]   .
[00:20:42.720 --> 00:20:42.720]  . The magic key to living a rich life now, while also becoming wealthier, is to make sure that your income is always going up. You want to get a little bit richer each and every day, and you fund that with income. What can you do? Well, you can try to get a little bit richer each and every day, and you can try to get a little bit richer each and every day, and you can try to get a little bit richer each and every day.
[00:20:42.720 --> 00:20:42.720]   .
[00:20:42.720 --> 00:20:42.720]   .
[00:20:42.720 --> 00:20:42.720]  . .
[00:20:42.720 --> 00:21:12.740]   .
[00:21:12.740 --> 00:21:12.740]   .
[00:21:12.740 --> 00:21:42.760]   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 2 money spend half, the oldest child has three bags of money, one bag is a giving bag, and the other bag is a giving bag.
[00:21:42.800 --> 00:22:12.780]   obedianti:.
[00:22:12.780 --> 00:22:12.780]   .
[00:22:12.820 --> 00:22:22.680]   nicely
[00:22:22.680 --> 00:22:22.920]  เข powder. Do
[00:22:22.920 --> 00:22:29.300]   em and. I say:�, quest, hand, � satu hic a 됐, Jack, I, Do, I, I,ough, Anyways,L,T,ек, Conse,
[00:22:29.300 --> 00:22:34.400]   ...
[00:22:34.400 --> 00:22:40.540]  ure...akh... Dis...
[00:22:41.160 --> 00:22:44.940]   ac
[00:22:44.940 --> 00:22:50.120]   sea,
[00:22:50.120 --> 00:23:10.100]  il like,,,, all couldn will hope
[00:23:11.200 --> 00:23:21.040]   guess
[00:23:21.040 --> 00:23:21.540]   disgu. I,
[00:23:21.540 --> 00:23:30.140]   F�
[00:23:40.140 --> 00:23:49.820]   По
[00:23:49.820 --> 00:23:50.520]  ,
[00:23:50.520 --> 00:23:59.100]   about,,,,,
[00:24:36.460 --> 00:24:46.560]   Adri
[00:24:46.560 --> 00:25:04.660]   Surf Marin moment już I in the say. It's not. It's all. It's. It's. Yeah, properly, figure,,,,,,,,,,,,,,,,,,,. hear. bused.GeNGCGCGGCGG Scsty화 Carrie global sem 101 financi they's Development the man is understand the sound of the sound of the is right of the was in the as a big for the in theCE in the is a up the less of the it is a of the book of the is a Yang*此
[00:25:04.800 --> 00:25:33.120]   be
[00:25:34.820 --> 00:25:44.900]   I
[00:25:44.900 --> 00:25:52.900]   oder snacks the Kon; joints inside, the, the, the, the, the,ン,
[00:25:53.020 --> 00:26:11.180]   didnt want expenses to go up, dont rob from s. Rather, build a higher i. i=expenses+savings.
[00:26:11.220 --> 00:26:25.400]   I
[00:27:07.480 --> 00:27:09.580]   to help you with this process of increasing income. My intent with Radical Personal Finance is over time to build a virtual university of sorts. I often imagine myself with my children at perhaps the age of 15 or 20 years old.
