
[00:00:00.000 --> 00:00:20.680]   Let's talk about some of the interesting things we've learned over time. So the first thing is,
[00:16:17.000 --> 00:16:30.000]   Yeah, so we took a few agents. Like, we, you know, have a lot of traces. And we analyzed the relative number of tokens for different message types.
[00:16:30.000 --> 00:16:52.000]   So the system prompt is one message type. Tool definitions are, you know, the spec of what tools the model can call. User and assistant are tokens from user and assistant, just text interactions. And then tool responses are tokens from the, you know, the tool generates itself.
[00:16:52.000 --> 00:16:54.000]   Oh, and this is the percentage of tokens?
[00:16:54.000 --> 00:16:59.000]   Correct. And this is the relative percentage of those tokens. Yeah. Yeah. Yeah.
[00:16:59.000 --> 00:17:13.000]   Yeah, so the point that we're trying to make here is that I think in modern agentic systems, tools actually, like, very, very significantly dominate the token budget of the LLM.
[00:17:13.000 --> 00:17:32.000]   And I think that it's very important to think about how you define the definition of tools and how you define their outputs, so that you, you know, engineer the LLM for success, not just sort of take, you know, your GraphQL API and give it as a bunch of, you know, tool calls to the LLM.
[00:17:32.000 --> 00:17:39.720]   First off, that point about the thumbs down is such a good point. I'm working with the
[00:17:39.720 --> 00:17:45.160]   government and people don't like the answer they got, for example, about taxes and they
[00:17:45.160 --> 00:17:50.180]   give it a thumbs down. Yeah. Right. So like adding that human aspect is a really good
[00:17:50.180 --> 00:17:54.680]   idea. We actually even added a little thing that said, "The answer is right, but I just
[00:17:54.680 --> 00:18:01.520]   don't like it." That's awesome. But my question is about your point that the new model changes
[00:18:01.520 --> 00:18:09.320]   everything. We've updated our models several times and use Cloud and OpenAI, and we haven't
[00:18:09.320 --> 00:18:16.540]   found huge differences other than recently someone really cheap wanted to use 4.1 mini,
[00:18:16.540 --> 00:18:23.000]   and like it seemed to ignore every... I swear it ignored the system problem completely.
[00:18:23.000 --> 00:18:27.320]   Yeah. But what kind of things, when you say it changes everything, can you tell me a little
[00:18:27.320 --> 00:18:31.040]   more about what kind of changes you're seeing? For sure. I think
[00:18:31.040 --> 00:18:35.040]   the use case that we just shipped with Loop is a really good example of that. So this
[00:18:35.040 --> 00:18:43.640]   is a very ambitious agent. It's looking at prompts and data sets and scores and automatically optimizing
[00:18:43.640 --> 00:18:49.260]   the prompts based on the data sets and scores. And this is something that, you know, we wrote
[00:18:49.260 --> 00:18:55.560]   a benchmark for a while ago, and we ran with every consecutive model launch, and the numbers
[00:18:55.560 --> 00:19:00.560]   looked more like what you see for GPT 4.0 for a very long time. This isn't true for every
[00:19:00.560 --> 00:19:08.040]   benchmark. So as part of this exercise, we actually have a bunch of evals that Loop optimizes. That's
[00:19:08.040 --> 00:19:14.840]   our eval set. And there's some evals like classifying, taking movie quotes and figuring out what movie
[00:19:14.840 --> 00:19:20.840]   they're coming from that have worked really well since GPT 3.5. And so there's certain use cases
[00:19:20.840 --> 00:19:25.960]   where it just doesn't matter. There are other use cases where they're so ambitious that they
[00:19:25.960 --> 00:19:31.320]   just don't work today. And I think you want to create evals so that if there's something ambitious
[00:19:31.320 --> 00:19:35.880]   that you want to do in the future, you are very well prepared when a new model comes out to just
[00:19:35.880 --> 00:19:40.840]   push a button and find that out. Thank you.
[00:19:40.840 --> 00:19:45.220]   We'll see you next time.

