
[00:00:00.000 --> 00:00:08.320]   Well, thank you.
[00:02:35.020 --> 00:02:36.880]   each and every day.
[00:02:36.880 --> 00:02:42.740]   And so Mathema exists to help you think biblically about these issues and to assess and evaluate
[00:02:42.740 --> 00:02:48.500]   them according to a biblical worldview and to encourage and strengthen you to be faithful
[00:02:48.500 --> 00:02:52.980]   witnesses to the truth in hostile territory.
[00:02:52.980 --> 00:02:55.620]   It's a delicate balance to be sure.
[00:02:55.620 --> 00:03:00.580]   On the one hand, your employer has not hired you to be a Christian missionary to your organization,
[00:03:00.580 --> 00:03:01.580]   right?
[00:03:01.580 --> 00:03:11.140]   And you're there to do a job and you're there to honor Jesus by doing that job with excellence.
[00:03:11.140 --> 00:03:19.220]   And on the other hand, Jesus has sent you to that workplace to be a witness to the truth
[00:03:19.220 --> 00:03:24.180]   and your commitment to Him supersedes everything in your life.
[00:03:24.180 --> 00:03:26.940]   So truly, I don't envy the position that you're in.
[00:03:26.940 --> 00:03:29.700]   I'm glad that I work where I work.
[00:03:29.700 --> 00:03:32.920]   God has gifted me to do this, and I'm glad that I get to do it.
[00:03:32.920 --> 00:03:36.540]   But God has gifted you to do the things you're doing.
[00:03:36.540 --> 00:03:38.220]   I still don't envy you.
[00:03:38.220 --> 00:03:41.240]   The challenges and the temptations are obvious, right?
[00:03:41.240 --> 00:03:46.320]   How much will I be willing to compromise in order to keep the peace?
[00:03:46.320 --> 00:03:52.100]   What truths won't I speak about for the sake of keeping my job?
[00:03:52.100 --> 00:03:54.940]   And we can get very pragmatic.
[00:03:54.940 --> 00:03:57.020]   I mean, I need to provide for my family.
[00:03:57.020 --> 00:04:01.340]   I've spent all these years in education, you know, sometimes I've got student loans to
[00:04:01.340 --> 00:04:03.460]   pay back.
[00:04:03.460 --> 00:04:07.020]   Even if I've paid them all back, I need to provide for my family.
[00:04:07.020 --> 00:04:11.660]   If I'm not here, if it's not me, they'll hire somebody else who doesn't have a biblical
[00:04:11.660 --> 00:04:17.460]   worldview at all, who's not concerned at all to be a witness to the truth.
[00:04:17.460 --> 00:04:19.100]   So I don't envy you.
[00:04:19.100 --> 00:04:25.240]   But in the time that I have with you, I do want to encourage you not to compromise.
[00:04:25.240 --> 00:04:32.420]   I do want to stir you up to be bold in your stand for the truth behind enemy lines.
[00:04:32.420 --> 00:04:38.420]   If you are going to be, as the TMU mission statement says, empowered for a life of enduring
[00:04:38.420 --> 00:04:45.700]   commitment to Christ in the midst of our society, you are going to need to be equipped to suffer
[00:04:45.700 --> 00:04:50.820]   for Christ's sake in a manner that is worthy of the gospel.
[00:04:50.820 --> 00:04:56.620]   If you're going to persevere in a life of sacrificial, life-laid-down ministry to a
[00:04:56.620 --> 00:05:02.900]   world that is actively hostile to you and to your Savior, you need to be equipped with
[00:05:02.900 --> 00:05:07.140]   a sound theology of Christian suffering.
[00:05:07.140 --> 00:05:14.280]   And in the text that I've chosen for this final session, Philippians 1:29-30, the apostle
[00:05:14.280 --> 00:05:20.940]   Paul is aiming to lay just such a foundation for the Philippians, to equip them to suffer
[00:05:20.940 --> 00:05:24.020]   in a manner worthy of the gospel.
[00:05:24.020 --> 00:05:26.680]   Now the Philippians had been transformed by the gospel.
[00:05:26.680 --> 00:05:29.800]   They were no longer slaves of Caesar.
[00:05:29.800 --> 00:05:33.020]   They were now faithful slaves of Jesus.
[00:05:33.020 --> 00:05:39.080]   Their identity was no longer in being devoted citizens of the Roman Empire.
[00:05:39.080 --> 00:05:41.920]   They were now citizens of the kingdom of heaven.
[00:05:41.920 --> 00:05:47.520]   They had been called out of darkness into Christ's marvelous light, 1 Peter 2.9.
[00:05:47.520 --> 00:05:53.760]   And so, they began to face hostility from the darkness around them.
[00:05:53.760 --> 00:05:58.960]   We read in Philippians 1.28 of their opponents.
[00:05:58.960 --> 00:06:05.640]   Verse 29 speaks of suffering for Christ's sake, and verse 30 speaks about the conflict
[00:06:05.640 --> 00:06:08.260]   they're experiencing.
[00:06:08.260 --> 00:06:14.400]   And it's in this context of opposition and suffering and conflict that the apostle Paul
[00:06:14.400 --> 00:06:21.660]   calls them in chapter 1 verse 27 to conduct yourselves as citizens in a manner worthy
[00:06:21.660 --> 00:06:24.780]   of the gospel of Christ.
[00:06:24.780 --> 00:06:30.980]   They are to live lives that are driven by that gospel.
[00:06:30.980 --> 00:06:38.800]   And specifically, he says, that means they are, verse 27, to stand firm in one spirit.
[00:06:38.800 --> 00:06:43.840]   They are to strive together for the faith of the gospel.
[00:06:43.840 --> 00:06:50.540]   And they are to be, verse 28, in no way alarmed by your opponents.
[00:06:50.540 --> 00:06:55.720]   They were to hold their ground amidst attacks to compromise.
[00:06:55.720 --> 00:07:01.860]   They were to continue their mission of propagating the gospel behind enemy lines.
[00:07:01.860 --> 00:07:08.320]   And they were to do it all without so much as flinching, because the king of heaven remains
[00:07:08.320 --> 00:07:10.160]   on his throne.
[00:07:10.160 --> 00:07:18.000]   And he is infinitely more powerful than any opposing force could ever dream to be.
[00:07:18.000 --> 00:07:25.860]   And then, in verses 29 and 30, Paul throws more fuel on the fire of the Christian's fearlessness
[00:07:25.860 --> 00:07:28.060]   in the face of the opposition to the gospel.
[00:07:28.060 --> 00:07:37.740]   He says, "For to you it has been granted for Christ's sake, not only to believe in Him,
[00:07:37.740 --> 00:07:46.220]   but also to suffer for His sake, experiencing the same conflict which you saw in me and
[00:07:46.220 --> 00:07:50.180]   now hear to be in me."
[00:07:50.180 --> 00:07:55.860]   What we have in this text are four truths about Christian suffering that increase the
[00:07:55.860 --> 00:08:03.020]   believer's resolve to endure hardship as soldiers of Jesus Christ.
[00:08:03.020 --> 00:08:07.380]   Because for both the Philippians and for us, part of what it means for us to live in a
[00:08:07.380 --> 00:08:12.600]   manner worthy of the gospel, verse 27, is to suffer in a manner worthy of the gospel,
[00:08:12.600 --> 00:08:13.600]   verse 29.
[00:08:13.600 --> 00:08:20.140]   And my prayer for you is that properly apprehending these four truths about Christian suffering
[00:08:20.140 --> 00:08:24.200]   will put a holy fire in your eyes.
[00:08:24.200 --> 00:08:30.100]   So that when the hostility of the world comes, you will be undeterred, there'll be steel
[00:08:30.100 --> 00:08:37.300]   in your spine, you'll be fearless in the face of suffering, and thereby be equipped to live
[00:08:37.300 --> 00:08:41.820]   and to suffer in a manner worthy of the gospel.
[00:08:41.820 --> 00:08:48.620]   And that first truth is, number one, suffering is a mark of Christian identity.
[00:08:48.620 --> 00:08:51.660]   Suffering is a mark of Christian identity.
[00:08:51.660 --> 00:08:55.340]   And the key to understanding this is to see the close connection between believing in
[00:08:55.340 --> 00:08:59.940]   Christ and suffering for Christ's sake in verse 29.
[00:08:59.940 --> 00:09:01.820]   If you have your Bibles, look at the text.
[00:09:01.820 --> 00:09:10.580]   "For to you it has been granted for Christ's sake, not only to believe in Him, but also
[00:09:10.580 --> 00:09:13.180]   to suffer for His sake."
[00:09:13.180 --> 00:09:18.980]   And so, brothers and sisters, though many who name the name of Christ would want to
[00:09:18.980 --> 00:09:27.820]   deny this, we must make no mistake, suffering for Christ is a mark of Christian identity.
[00:09:27.820 --> 00:09:30.500]   That teaching is established all throughout the New Testament.
[00:09:30.500 --> 00:09:34.340]   Jesus Himself said it in John 15, 19, "If you were of the world, the world would love
[00:09:34.340 --> 00:09:35.340]   its own.
[00:09:35.340 --> 00:09:40.140]   But because you are not of the world, but I chose you out of the world because of this,
[00:09:40.140 --> 00:09:42.400]   the world hates you.
[00:09:42.400 --> 00:09:46.500]   Remember the word that I said to you, a slave is not greater than his master.
[00:09:46.500 --> 00:09:53.860]   If they persecuted Me, they will also persecute you."
[00:09:53.860 --> 00:09:59.640]   Peter wrote to suffering Christians in 1 Peter 4, 12, "Beloved, do not be surprised at the
[00:09:59.640 --> 00:10:04.520]   fiery ordeal among you, which comes upon you for your testing, as though some strange thing
[00:10:04.520 --> 00:10:06.140]   were happening to you."
[00:10:06.140 --> 00:10:08.020]   Hear how he's reasoning?
[00:10:08.020 --> 00:10:09.020]   Don't be surprised.
[00:10:09.020 --> 00:10:10.780]   Persecution is not strange.
[00:10:10.780 --> 00:10:13.740]   This is normal for the follower of Jesus.
[00:10:13.740 --> 00:10:18.140]   If they persecute Him, they'll persecute His followers.
[00:10:18.140 --> 00:10:24.280]   Romans 8, 16, and 17, Paul writes, "The Spirit Himself testifies with our spirit that we
[00:10:24.280 --> 00:10:31.060]   are children of God, and if children, heirs also, heirs of God and fellow heirs with Christ,
[00:10:31.060 --> 00:10:39.340]   if indeed we suffer with Him, so that we may also be glorified with Him."
[00:10:39.340 --> 00:10:43.940]   We are heirs if we suffer with Him.
[00:10:43.940 --> 00:10:49.020]   And it's stated nowhere more clearly than in 2 Timothy 3, 12, where Paul states plainly
[00:10:49.020 --> 00:10:57.620]   and emphatically, "All who desire to live godly in Christ Jesus will be persecuted."
[00:10:57.620 --> 00:10:59.540]   There's no wiggle room there.
[00:10:59.540 --> 00:11:03.340]   It's not all Christians in closed countries will be persecuted.
[00:11:03.340 --> 00:11:07.140]   It's not all pastors and missionaries will be persecuted.
[00:11:07.140 --> 00:11:11.820]   It's not all super-evangelistic, super-spiritual, super-Christians will be persecuted.
[00:11:11.820 --> 00:11:19.500]   No, all who desire to live godly in Christ Jesus will be persecuted.
[00:11:19.500 --> 00:11:20.820]   Why?
[00:11:20.820 --> 00:11:29.100]   Well, because the darkness hates the light, because the kind of life that is commanded
[00:11:29.100 --> 00:11:34.540]   of those who would conduct themselves in a manner worthy of the gospel sticks in the
[00:11:34.540 --> 00:11:38.100]   craw of the enemies of righteousness.
[00:11:38.100 --> 00:11:45.460]   And that kind of life lived on the path of light indicts the sinful lifestyle of those
[00:11:45.460 --> 00:11:53.420]   on the path of darkness by exposing it, by exposing it in the light of holy living.
[00:11:53.420 --> 00:11:54.540]   I don't like that guy.
[00:11:54.540 --> 00:11:55.540]   Why?
[00:11:55.540 --> 00:11:56.540]   He's a goody two-shoes.
[00:11:56.540 --> 00:11:58.060]   I don't like that woman.
[00:11:58.060 --> 00:11:59.060]   Why?
[00:11:59.060 --> 00:12:01.540]   Because she's so perfect.
[00:12:01.540 --> 00:12:07.580]   That's not necessarily so, but when you aim to conduct yourselves according to a standard
[00:12:07.580 --> 00:12:12.540]   of righteousness, not in order to earn your salvation, but because you've been saved,
[00:12:12.540 --> 00:12:19.060]   the people who recognize that's not my life, they're indicted by it, they're convicted
[00:12:19.060 --> 00:12:20.060]   by it.
[00:12:20.060 --> 00:12:26.540]   And because people suppress the truth in unrighteousness, they do what they can to stuff that down.
[00:12:26.540 --> 00:12:31.080]   So the darkness hates the light.
[00:12:31.080 --> 00:12:36.900]   So you ask, so how, for Paul and the Philippians, how in the world is telling them that suffering
[00:12:36.900 --> 00:12:43.740]   is certain supposed to comfort and strengthen the Philippians to face that persecution?
[00:12:43.740 --> 00:12:48.300]   Well, it's comforting because Paul is telling them that suffering for Christ in the way
[00:12:48.300 --> 00:12:54.660]   that they have been suffering and the way that they will continue to suffer is an identifying
[00:12:54.660 --> 00:12:59.100]   mark of one who truly belongs to Christ.
[00:12:59.100 --> 00:13:03.860]   It has been granted to you not only to believe, but also to suffer for Christ's sake.
[00:13:03.860 --> 00:13:10.060]   Suffering for Christ marks you out as a true believer.
[00:13:10.060 --> 00:13:13.180]   John Calvin put it beautifully in his commentary on this passage.
[00:13:13.180 --> 00:13:20.060]   He says, "Persecutions are, in a manner, seals of adoption to the children of God,
[00:13:20.060 --> 00:13:23.260]   if they endure them with fortitude and patience.
[00:13:23.260 --> 00:13:28.060]   Their adoption can no more be separated from sufferings than Christ can be torn asunder
[00:13:28.060 --> 00:13:31.180]   from himself."
[00:13:31.180 --> 00:13:37.340]   So suffering for Christ's sake is the seal of our adoption into His family.
[00:13:37.340 --> 00:13:39.400]   It's our birthright.
[00:13:39.400 --> 00:13:41.740]   It's our badge of authenticity.
[00:13:41.740 --> 00:13:47.540]   Peter says again in 1 Peter 4, "Don't be surprised, but," verse 13, "to the degree that you share
[00:13:47.540 --> 00:13:54.060]   the sufferings of Christ, keep on rejoicing, so that also at the revelation of His glory
[00:13:54.060 --> 00:13:56.640]   you may rejoice with exaltation.
[00:13:56.640 --> 00:14:04.500]   If you are reviled for the name of Christ, you are blessed because the spirit of glory
[00:14:04.500 --> 00:14:09.700]   and of God rests on you."
[00:14:09.700 --> 00:14:14.780]   And so this hostility that you experience at the hands of the adversaries of the gospel
[00:14:14.780 --> 00:14:27.540]   is, Philippians 1:28 says, "Assign an evident token from God of your salvation, for because
[00:14:27.540 --> 00:14:32.140]   to you it's been granted, not only to believe but to suffer, because the God who has given
[00:14:32.140 --> 00:14:39.700]   you His salvation has, with that gift, also graced you to be Christ's people in the world,"
[00:14:39.700 --> 00:14:48.140]   which means you will suffer for His sake just as He did for your sake.
[00:14:48.140 --> 00:14:53.080]   The question that you've got to ask yourself is, "If suffering for Christ is a mark of
[00:14:53.080 --> 00:14:59.140]   Christian identity, am I suffering for His sake?"
[00:14:59.140 --> 00:15:03.400]   And I don't just mean martyrdom and imprisonment and physical abuse.
[00:15:03.400 --> 00:15:10.940]   I mean the kind of social ostracism and opposition that comes from faithfully and obediently
[00:15:10.940 --> 00:15:17.400]   following Christ in a world that hates Him and everything He stands for.
[00:15:17.400 --> 00:15:23.380]   Do you know what it is to be shunned as a hateful bigot simply for refusing to compromise
[00:15:23.380 --> 00:15:28.580]   on the Bible's condemnation of homosexuality and transgenderism?
[00:15:28.580 --> 00:15:35.340]   Men, do you know what it is to be mocked as a prude because you won't join the men at
[00:15:35.340 --> 00:15:41.580]   work in making sexual comments and evaluations of this woman or the other?
[00:15:41.580 --> 00:15:49.060]   Ladies, do you know that look of alienation and bewilderment from the other wives and
[00:15:49.060 --> 00:15:55.460]   mothers or ladies at the workplace who don't complain about their children or gossip about
[00:15:55.460 --> 00:15:59.860]   their husbands or boyfriends?
[00:15:59.860 --> 00:16:06.060]   Do you know what it is to be looked upon by the sophisticated minds of society as a knuckle-dragging
[00:16:06.060 --> 00:16:11.260]   fundamentalist because you won't compromise the scriptural teaching about men's and women's
[00:16:11.260 --> 00:16:14.140]   roles in marriage and in the church?
[00:16:14.140 --> 00:16:18.540]   Or because you won't compromise the scriptural teaching about God's creation of the universe
[00:16:18.540 --> 00:16:22.620]   in six literal 24-hour days?
[00:16:22.620 --> 00:16:27.820]   Can you pour out your heart to someone in proclaiming the gospel to them, lovingly and
[00:16:27.820 --> 00:16:33.620]   sincerely entreating them to be saved from the wrath to come and to run to everlasting
[00:16:33.620 --> 00:16:41.540]   joy and salvation in Christ, only to have them mock you as a narrow-minded xenophobe
[00:16:41.540 --> 00:16:47.340]   who just wants to control everybody and make people believe the same as you?
[00:16:47.340 --> 00:16:52.740]   Do you know the feeling of being aliens and strangers in the world?
[00:16:52.740 --> 00:16:58.820]   Do you know the pain of knowing that you're far from home?
[00:16:58.820 --> 00:17:05.060]   Foxes have holes, birds have nests, the Son of Man has nowhere on this earth that He spoke
[00:17:05.060 --> 00:17:11.740]   into existence and sustains with His Word to lay His head.
[00:17:11.740 --> 00:17:19.740]   The key is if so, if you know those pains of alienation, of being strangers, don't be
[00:17:19.740 --> 00:17:22.060]   discouraged.
[00:17:22.060 --> 00:17:29.620]   Those are marks of the citizens of heaven, those who are out of place as citizens of
[00:17:29.620 --> 00:17:33.480]   the kingdoms of this world.
[00:17:33.480 --> 00:17:42.480]   On the other hand, what if you don't know that pain, that ostracism?
[00:17:42.480 --> 00:17:44.160]   Can you fit right in?
[00:17:44.160 --> 00:17:50.120]   I mean, you go to church on Sundays, maybe Bible study once a week or every other week,
[00:17:50.120 --> 00:17:58.400]   but for the rest of your time in the world, is it that you seem right at home?
[00:17:58.400 --> 00:18:00.520]   Have you so domesticated your faith?
[00:18:00.520 --> 00:18:06.200]   Have you so compartmentalized your relationship with Jesus Christ that no one can tell the
[00:18:06.200 --> 00:18:12.500]   difference between you, a professed follower of the Lord Jesus and a pagan who loves and
[00:18:12.500 --> 00:18:16.320]   serves himself?
[00:18:16.320 --> 00:18:20.000]   No one lights a lamp and puts it under a basket.
[00:18:20.000 --> 00:18:26.820]   Do you stick out as a light among the darkness or can you get along just fine in the world
[00:18:26.820 --> 00:18:33.920]   because you've been unwilling to stand publicly for what would bring inconvenience for Christ's
[00:18:33.920 --> 00:18:35.600]   sake?
[00:18:35.600 --> 00:18:42.960]   We need to hear this, friends, because the kind of convenient, polite, socially inoffensive
[00:18:42.960 --> 00:18:49.520]   spectator kind of Christianity that provokes no hostility from the enemies of the gospel,
[00:18:49.520 --> 00:18:53.960]   Paul says, that kind of Christianity is a sham.
[00:18:53.960 --> 00:19:00.580]   He says that kind of Christianity won't take you to heaven because to you it has been granted
[00:19:00.580 --> 00:19:08.080]   not only to believe in him but also to suffer for his sake.
[00:19:08.080 --> 00:19:13.800]   Suffering is a mark of Christian identity and so rather than running from it, when it
[00:19:13.800 --> 00:19:17.840]   comes we ought to be encouraged by it.
[00:19:17.840 --> 00:19:22.020]   Christ said this would happen and it's happening.
[00:19:22.020 --> 00:19:24.920]   I'm happy actually to bear that reproach.
[00:19:24.920 --> 00:19:26.960]   I'm real.
[00:19:26.960 --> 00:19:30.360]   I'm not just playing a role, I'm not just playing pretend.
[00:19:30.360 --> 00:19:36.040]   I'm a believer and I know I'm a believer in part because I'm willing to suffer loss for
[00:19:36.040 --> 00:19:39.160]   his sake.
[00:19:39.160 --> 00:19:44.960]   The strings of my heart are not so attached to what they can take from me.
[00:19:44.960 --> 00:19:47.480]   They're attached to him.
[00:19:47.480 --> 00:19:51.360]   I'll say more about that in a moment.
[00:19:51.360 --> 00:19:57.940]   Secondly then, suffering for Christ's sake is a gift of divine grace.
[00:19:57.940 --> 00:20:00.240]   It's a gift of divine grace.
[00:20:00.240 --> 00:20:07.280]   Look with me again at verse 29, "For to you it has been granted for Christ's sake not
[00:20:07.280 --> 00:20:09.900]   only to believe in him but also to suffer."
[00:20:09.900 --> 00:20:14.900]   So we've established suffering inevitably comes to the true believer in Christ but where
[00:20:14.900 --> 00:20:17.680]   does it come from?
[00:20:17.680 --> 00:20:22.840]   Does it originate merely in the hostility of the opponents themselves?
[00:20:22.840 --> 00:20:28.720]   Does it come from a random chaotic uncontrolled universe so we've just drawn the short straw
[00:20:28.720 --> 00:20:31.820]   and need to make the best of things?
[00:20:31.820 --> 00:20:37.120]   Does it come from a random impersonal governing force like fate so we just have to grin and
[00:20:37.120 --> 00:20:39.600]   bear it?
[00:20:39.600 --> 00:20:46.520]   Does suffering ultimately come from Satan or demons?
[00:20:46.520 --> 00:20:51.240]   Ultimately we have to answer no to all of those questions.
[00:20:51.240 --> 00:20:56.400]   Ultimately suffering comes from God.
[00:20:56.400 --> 00:20:58.040]   Why do I say that?
[00:20:58.040 --> 00:21:05.440]   Well one, Scripture calls God the one who works all things after the counsel of his
[00:21:05.440 --> 00:21:08.480]   own will, Ephesians 1:11.
[00:21:08.480 --> 00:21:13.920]   And we know, Romans 8:28, that God causes all things to work together for good to those
[00:21:13.920 --> 00:21:17.840]   who love God and are called according to his purpose.
[00:21:17.840 --> 00:21:21.800]   All things, not just the good things.
[00:21:21.800 --> 00:21:27.880]   And not God turns all the bad things into good things for those who love him.
[00:21:27.880 --> 00:21:29.200]   That's not what the text says.
[00:21:29.200 --> 00:21:34.300]   God does not just make the best out of a bad hand he was dealt.
[00:21:34.300 --> 00:21:43.860]   He ordains all things for his purpose to glorify himself, to magnify his name.
[00:21:43.860 --> 00:21:48.860]   Joseph said as much in Genesis chapter 50 in verse 20, "You meant it for evil, the brothers
[00:21:48.860 --> 00:21:55.140]   who sold me into slavery, but God meant it for good."
[00:21:55.140 --> 00:21:57.900]   Not just turned it out for good.
[00:21:57.900 --> 00:21:58.900]   God's good on his feet.
[00:21:58.900 --> 00:22:00.900]   He can make the best of a bad situation.
[00:22:00.900 --> 00:22:08.660]   No, God meant the sinful action of Joseph's brothers for the good of preserving life.
[00:22:08.660 --> 00:22:10.580]   Genesis 45, 5 to 8.
[00:22:10.580 --> 00:22:12.120]   Job says the same thing.
[00:22:12.120 --> 00:22:19.140]   Chapter 1 verse 21, "The Lord has given and the Lord has taken away."
[00:22:19.140 --> 00:22:29.300]   Job 2.10, "Shall we indeed accept good from God and not accept adversity from him as well?"
[00:22:29.300 --> 00:22:34.340]   Even as Jeremiah the prophet stands in the rubble of the ravaged city of Jerusalem at
[00:22:34.340 --> 00:22:40.840]   the time of the Babylonian invasion, he asks, Lamentations 3.37, "Who is there who speaks
[00:22:40.840 --> 00:22:45.880]   and it comes to pass unless the Lord has commanded it?
[00:22:45.880 --> 00:22:54.900]   Is it not from the mouth of the Most High that both good and ill go forth?"
[00:22:54.900 --> 00:22:58.420]   But even if I didn't have all those verses to turn to, you know how else I know that
[00:22:58.420 --> 00:23:02.020]   suffering for Christ's sake ultimately comes from God?
[00:23:02.020 --> 00:23:08.220]   Because Philippians 1.29 says, "It's been granted to us not only to believe but to suffer."
[00:23:08.220 --> 00:23:12.420]   Well, who has granted that we believe?
[00:23:12.420 --> 00:23:18.220]   Certainly not our opponents of the gospel and certainly not Satan.
[00:23:18.220 --> 00:23:21.900]   It's God who has granted us faith, Ephesians 2.8 and 9.
[00:23:21.900 --> 00:23:32.260]   Faith is the gift of God and in the same way it is God who grants us to suffer.
[00:23:32.260 --> 00:23:35.980]   And consider the word itself, He grants us to suffer.
[00:23:35.980 --> 00:23:40.620]   The word is charizomai from charis which is the New Testament word for grace.
[00:23:40.620 --> 00:23:44.460]   It means to give as a gift or to give freely.
[00:23:44.460 --> 00:23:49.260]   It's the same word in Romans 8.32 where Paul says, "He who did not spare his own son but
[00:23:49.260 --> 00:23:57.660]   delivered him over for us all, how will he not also with him freely give us all things?"
[00:23:57.660 --> 00:24:02.260]   Dear friends, what Paul is teaching us here is that the suffering that comes upon the
[00:24:02.260 --> 00:24:09.700]   people of God as a result of their faithful obedience to Christ in a hostile world is
[00:24:09.700 --> 00:24:16.440]   nothing less than a free gift of sovereign grace.
[00:24:16.440 --> 00:24:20.940]   And I ask you, does God give poor gifts?
[00:24:20.940 --> 00:24:24.740]   Does He give gifts that are without purpose and without wisdom?
[00:24:24.740 --> 00:24:30.300]   Does He ever give gifts that are not beneficial and for the greatest good of those whom He
[00:24:30.300 --> 00:24:32.140]   gives them to?
[00:24:32.140 --> 00:24:34.060]   Of course not.
[00:24:34.060 --> 00:24:40.620]   All of God's good gifts to His children are good for His children.
[00:24:40.620 --> 00:24:46.600]   This text tells us that He gives us suffering for Christ's sake as a gift of His loving
[00:24:46.600 --> 00:24:50.880]   unmerited favor.
[00:24:50.880 --> 00:24:55.180]   Now some of you are thinking, "What kind of favor is that, suffering?"
[00:24:55.180 --> 00:24:59.820]   If you're thinking that, I want you to know the apostles would have had no idea where
[00:24:59.820 --> 00:25:00.820]   you were coming from.
[00:25:00.820 --> 00:25:02.580]   They just wouldn't get it.
[00:25:02.580 --> 00:25:06.920]   And if you have your Bibles, turn over to Acts chapter 5.
[00:25:06.920 --> 00:25:11.980]   The Sanhedrin had already thrown the apostles into prison for violating their command not
[00:25:11.980 --> 00:25:15.380]   to preach any longer in the name of Jesus.
[00:25:15.380 --> 00:25:18.700]   But the angel of the Lord came in the middle of the night and freed them, and the next
[00:25:18.700 --> 00:25:22.020]   morning they were back in the temple preaching again, and so the Jews called them before
[00:25:22.020 --> 00:25:27.740]   the council again, and after some discussion about what would be done to them, verse 40,
[00:25:27.740 --> 00:25:34.300]   they flogged them and ordered them not to speak in the name of Jesus and then released
[00:25:34.300 --> 00:25:35.300]   them.
[00:25:35.300 --> 00:25:42.180]   So, Acts chapter 5 and verse 41, "They went on their way from the presence of the council,
[00:25:42.180 --> 00:25:49.700]   rejoicing that they had been considered worthy to suffer shame for His name."
[00:25:49.700 --> 00:25:57.780]   Our generation of professing Christians seeks to run from shame as far and as fast as possible,
[00:25:57.780 --> 00:26:00.820]   as if it were a pure, unmixed evil.
[00:26:00.820 --> 00:26:05.740]   If you're ashamed of the way that you feel inside, go ahead and mutilate your bodies
[00:26:05.740 --> 00:26:11.040]   so that you can match the body to the feelings and not feel that shame.
[00:26:11.040 --> 00:26:16.620]   If you're ashamed of what your inclinations are, let's have a whole month dedicated to
[00:26:16.620 --> 00:26:22.780]   celebrating those inclinations so that nobody feels any shame.
[00:26:22.780 --> 00:26:28.540]   But the apostles' generation rejoiced that they had been considered worthy to receive
[00:26:28.540 --> 00:26:37.020]   the divine favor of suffering shame for the name of Jesus Christ.
[00:26:37.020 --> 00:26:43.620]   And I would ask that God would grant that we see the glory that they saw.
[00:26:43.620 --> 00:26:49.660]   That we would be so satisfied by Christ that we would count it a privilege to meet the
[00:26:49.660 --> 00:27:01.780]   world's shame, if it means that by that means we can put His glory on display.
[00:27:01.780 --> 00:27:07.080]   Years after being flogged that day, Peter would write again in 1 Peter 4, "To the degree
[00:27:07.080 --> 00:27:12.240]   that you share the sufferings of Christ, keep on rejoicing."
[00:27:12.240 --> 00:27:17.860]   And again, if anyone suffers as a Christian, he is not to be ashamed, but to glorify God
[00:27:17.860 --> 00:27:20.500]   in that name.
[00:27:20.500 --> 00:27:22.660]   To glorify God in that name.
[00:27:22.660 --> 00:27:28.220]   You see, suffering for Christ's sake provides us with a wonderful opportunity to put the
[00:27:28.220 --> 00:27:33.380]   worth and sufficiency of Jesus on display to the world.
