
[00:00:00.500 --> 00:00:05.200]   So something we hear casually tossed around these days is the idea that knowledge workers are more
[00:09:23.800 --> 00:09:27.460]   endless amount of stuff you could be doing, let's put so much on your plate that you never have an
[00:09:27.460 --> 00:09:32.100]   excuse not to be working. Then we got the digital communication revolution that started by email and was
[00:09:32.100 --> 00:09:40.000]   continued by things like Slack and Teams, et cetera. And that now made it possible to check in on you
[00:09:40.000 --> 00:09:45.040]   applying effort at an incredibly fine level of granularity. Answer my emails right away. I know
[00:09:45.040 --> 00:09:49.820]   you're paying attention. If you don't, then maybe you're stealing from us. We rented your brain. You're
[00:09:49.820 --> 00:09:54.480]   not giving it to us. See activity going back and forth on the Slack channel, or we're going to think
[00:09:54.480 --> 00:09:59.160]   that you are actually ironically slacking off. So we vastly increased what people could be doing.
[00:09:59.380 --> 00:10:02.900]   vastly increased the granularity at which we could surveil people's efforts. And suddenly
[00:10:02.900 --> 00:10:08.060]   this half-baked idea, let's just rent brains for eight hours. We actually tried to do it.
[00:10:08.060 --> 00:10:13.320]   And that's why it's exhausting everyone. And Thoreau warned us about it. He wasn't warning us about
[00:10:13.320 --> 00:10:18.680]   office work, but he was warning us about the underlying principle that, hey, it's hard to pay
[00:10:18.680 --> 00:10:22.340]   attention all the time. Even if the thing you're paying attention to is good, there's only so much of
[00:10:22.340 --> 00:10:27.380]   that you can do. Hey, it's Cal. I wanted to interrupt briefly to say that if you're enjoying
[00:10:27.380 --> 00:10:34.500]   this video, then you need to check out my new book, Slow Productivity: The Lost Art of Accomplishment
[00:10:34.500 --> 00:10:41.860]   Without Burnout. This is like the Bible for most of the ideas we talk about here in these videos.
[00:10:41.860 --> 00:10:49.860]   You can get a free excerpt at calnewport.com/slow. I know you're going to like it. Check it out.
[00:10:49.860 --> 00:10:55.380]   Now let's get back to the video. So what would it look like if we rolled back the clock and said,
[00:10:55.380 --> 00:11:00.660]   look, Thoreau is my management consultant of choice, and we're going to design what I'll call the Thoreau
[00:11:00.660 --> 00:11:08.420]   schedule, a schedule for knowledge work, a typical daily schedule that actually is compatible with the
[00:11:08.420 --> 00:11:15.140]   way the human brain actually functions. Here's what this would more or less be. Two to three hours of
[00:11:15.140 --> 00:11:19.380]   deep work in the morning. So working on one or two things that are important and require application of
[00:11:19.380 --> 00:11:26.100]   skills and concentration, non-trivial amount of time off, like an hour or two long walk,
[00:11:26.100 --> 00:11:31.860]   other types of things unrelated to work. One to two hours of administrative work, including a standing
[00:11:31.860 --> 00:11:35.860]   30-minute meeting or office hours to check in with all sorts of other people and get questions answered
[00:11:35.860 --> 00:11:38.500]   and any other sort of things that need to happen. And then you're done.
[00:11:40.260 --> 00:11:46.580]   That would actually be the schedule that best corresponds to the human brain. If you want to
[00:11:46.580 --> 00:11:52.580]   invent a cognitive job that's based just off people using their brain, that is, the Thoreau
[00:11:52.580 --> 00:11:57.860]   schedule there is probably the optimal thing. Now, the obvious point, of course, is that if you ran the
[00:11:57.860 --> 00:12:02.820]   Thoreau schedule, yes, you would be much less likely to be burnt out. If you ran this as an organization,
[00:12:02.820 --> 00:12:06.340]   your exhaustion numbers, your turnover, your burnout numbers, of course, would plummet. That's a much more
[00:12:06.340 --> 00:12:11.060]   natural rhythm. It works with our brain. We're not exhausting ourselves. But would it be a productivity
[00:12:11.060 --> 00:12:18.100]   disaster? We don't know that it would be. Here's a couple things to keep in mind. Remember from a couple
[00:12:18.100 --> 00:12:24.980]   weeks ago, we talked about the data from the four-day work week studies. They reduced the amount of time
[00:12:24.980 --> 00:12:30.420]   people had to work. Therefore, reducing the amount of stuff they could work on. And all of the quantitative
[00:12:30.420 --> 00:12:36.100]   productivity measures that they studied didn't go down. In some cases, they went up. It's slow
[00:12:36.100 --> 00:12:42.740]   productivity. I talk about the idea of overhead tax aggregating. Everything you're working on generates
[00:12:42.740 --> 00:12:47.460]   an overhead tax of meetings and emails and thoughts, the sort of the collaborative glue that holds together
[00:12:47.460 --> 00:12:53.620]   any sort of project. The more things you're working on, the more of that is in your day. And the more
[00:12:53.620 --> 00:12:57.460]   of that you get in your day, eventually your day is going to be gunked up with the overhead tax
[00:12:57.460 --> 00:13:03.620]   with very little time left to do the actual work. Yes, you're busy, but very little actual quality
[00:13:03.620 --> 00:13:09.940]   output gets produced. So if you're only working one big block in the morning on one or two things,
[00:13:09.940 --> 00:13:13.540]   and then some administrative work in the afternoon, yes, your number of things you can concurrently be
[00:13:13.540 --> 00:13:18.580]   working on is going to be much smaller. It doesn't necessarily mean that on the scale of a quarter
[00:13:19.140 --> 00:13:23.300]   that you'll be producing less than in a much more non-Thorough busier schedule.
[00:13:23.300 --> 00:13:28.500]   And also keep in mind that the impossibility that Thoreau points out of actually focusing
[00:13:28.500 --> 00:13:32.580]   productively and hard for eight hours means that we're just using lots of pseudo productivity to
[00:13:32.580 --> 00:13:37.620]   fill in the gaps during our day. And pseudo productivity, which is just using busyness as
[00:13:37.620 --> 00:13:42.820]   as a proxy for useful effort, has little to do with outcome, has very little to do with the
[00:13:42.820 --> 00:13:50.580]   needle moving actual valuable stuff that is produced. So a Thoreau schedule might be largely
[00:13:50.580 --> 00:13:54.900]   just eliminating pseudo productivity, which means again, when you zoom out to a quarter or to a fiscal
[00:13:54.900 --> 00:14:02.020]   year, the amount of value produced, the actual macroeconomic measure productivity, which is how many
[00:14:02.020 --> 00:14:06.900]   dollars came in per employee we have hired? That could actually be the same or go up.
[00:14:06.900 --> 00:14:11.460]   I mean, maybe not, but I suspect it would not be as bad as you suspect.
[00:14:11.460 --> 00:14:15.620]   So to conclude, most major companies and organizations, they're not going to shift to a Thoreau schedule
[00:14:15.620 --> 00:14:20.180]   anytime soon. I think this idea of we're renting your brain and we want to get our money's worth for
[00:14:20.180 --> 00:14:25.380]   this rental agreement is both obvious and comfortable and entrenched, and it's going to be hard to easily
[00:14:25.380 --> 00:14:32.420]   shake off. But if they did, and I think people should, there would be a whole new relationship
[00:14:32.420 --> 00:14:36.340]   to knowledge work and a whole new approach to productivity that might be uncovered.
[00:14:36.340 --> 00:14:42.020]   I don't know exactly what type of boss Thoreau would be in our modern knowledge work setting,
[00:14:42.020 --> 00:14:46.580]   but I imagine that he wouldn't be sending you endless email advice and text messages saying,
[00:14:46.580 --> 00:14:52.100]   did you get my last message? I think he would instead understand the importance of allowing your eye
[00:14:52.660 --> 00:15:00.100]   to saunter. So there you go, Jesse. Thoreau is a management consultant. That was the original title
[00:15:00.100 --> 00:15:06.500]   of Walden. People don't know this. It was Walden, colon, seven habits for getting ahead in your job.
[00:15:06.500 --> 00:15:09.380]   And then he kind of changed it to something a little bit more philosophical.
[00:15:09.380 --> 00:15:14.500]   That's one of your favorite books, right? Yeah. Walden is very influential to a lot of my work.
[00:15:14.500 --> 00:15:17.860]   And you read that when you read MIT? I originally read it. Yeah.
[00:15:17.860 --> 00:15:22.980]   MIT at the banks of the Charles. I had the version of a terrible memory for everything
[00:15:22.980 --> 00:15:27.700]   except for books. And I read it on the banks of the Charles. I had a version from the science library.
[00:15:27.700 --> 00:15:31.460]   I think it was called the Hayden Science Library at MIT. And they had an edition that had a Bill
[00:15:31.460 --> 00:15:36.900]   McKibben introduction. And I remember being like, oh, okay, interesting. And I've been to the cabin and
[00:15:37.780 --> 00:15:43.380]   it's a great book. You know, look, it's not written in a modern style. You have to take it slow.
[00:15:43.380 --> 00:15:52.660]   It seems more digressive and he's sort of all over the place, but he's actually, it's really smart
[00:15:52.660 --> 00:15:56.260]   commentary that's in there. Once you, once you adjust to the language and there's a lot of timeless
[00:15:56.260 --> 00:16:01.300]   principles in it. Two other follow up questions. Do you think it has a big difference with public
[00:16:01.300 --> 00:16:05.620]   versus private companies in terms of potentially adopting a thorough schedule?
[00:16:05.620 --> 00:16:11.380]   I think it's small versus large. Yeah. I think it's just, it gets too entrenched when you're,
[00:16:11.380 --> 00:16:15.060]   as you get bigger, it's hard to make changes. This one of the things I've really learned is that
[00:16:15.060 --> 00:16:23.220]   it's hard to change how organizations execute. It's hard to do it. If you come just top down,
[00:16:23.220 --> 00:16:27.620]   it almost never works because there's all these little friction points. And if it feels like it's
[00:16:27.620 --> 00:16:31.860]   imposed, like the boss of the massive company says like, here's, you know, look, I read Cal Newport,
[00:16:31.860 --> 00:16:35.620]   we're making all these changes. There's too many friction points. And then the, the friction builds
[00:16:35.620 --> 00:16:40.500]   up and the, the system seizes. Then you have to fall back to the super flexible sort of like
[00:16:40.500 --> 00:16:47.380]   hyperactive hive mind overload, you know, mindset. And then managers themselves, they're not the boss,
[00:16:47.380 --> 00:16:52.500]   but like the managers, they really don't have an incentive, right? This is a, the, the, the reality
[00:16:53.140 --> 00:16:59.380]   of, uh, modern capitalism is if you're in a large organization, there's things like stability,
[00:16:59.380 --> 00:17:06.260]   predictability, like this is more highly valued than trying to innovate the way that you actually
[00:17:06.260 --> 00:17:09.860]   work or collaborate with other people. Like it's, it's, there's a lot of just entrenchment
[00:17:09.860 --> 00:17:14.180]   of like, Hey, this works. Like we all disagree, right? We'll just be pseudo productive. We know how
[00:17:14.180 --> 00:17:18.820]   to do this. I'm good at it. If I'm a manager, that means I was good at it. I answer all the emails and
[00:17:18.820 --> 00:17:22.900]   jump on all the calls. I have a good, like high pain tolerance for that. And like, who wants to
[00:17:22.900 --> 00:17:27.540]   change it? So it's, it's these problems like hard to change, but like I said, like we see this all the
[00:17:27.540 --> 00:17:31.380]   time. There'll be technological breakthroughs in industrial manufacturing. It takes a long time
[00:17:31.380 --> 00:17:36.500]   until it actually, the changes happen just because of inertia. The electric motor, famous case study
[00:17:36.500 --> 00:17:41.300]   from a Stanford, uh, economist has talked about all the time. I've cited, everyone cited it. It took like
[00:17:41.300 --> 00:17:46.660]   50 years from having the technology there to like, wait, we should just put small electric motors on the
[00:17:46.660 --> 00:17:50.580]   equipment in the factory, as opposed to having like a large overhead shaft turned by a giant,
[00:17:50.580 --> 00:17:56.100]   um, steam engine that we attach with leather belts still took 50 years. Cause it was like a pain and
[00:17:56.100 --> 00:18:00.260]   it was new and it was different and expensive. Uh, the continuous motion assembly line is the same way,
[00:18:00.260 --> 00:18:06.900]   by far a better way to make things like automobiles, but it was such a pain to get right that, you know,
[00:18:06.900 --> 00:18:11.460]   it really took eventually like, uh, Henry Ford being a kind of classic and just forcing the change through
[00:18:11.460 --> 00:18:15.060]   for that to actually happen. So I think knowledge work has a lot of that entrenchment.
[00:18:15.620 --> 00:18:19.540]   And then my next follow up. So we talked about summer schedules a few weeks back.
[00:18:19.540 --> 00:18:24.580]   So how does your summer schedule look like a daily schedule look like for us?
[00:18:24.580 --> 00:18:29.780]   It's been pretty good. I mean, it's been, it's very throw in, uh, on a nod podcast day. I write in the
[00:18:29.780 --> 00:18:35.460]   morning for two to three hours. Yeah. At least I'll work on multiple different projects. Um,
[00:18:35.460 --> 00:18:41.940]   and then I try to do some admin in the afternoon, professional admin, but not every day. I like three
[00:18:41.940 --> 00:18:48.100]   days, uh, three days a week. I can keep on top of like most professional admin 30 to 45 minutes.
[00:18:48.100 --> 00:18:53.620]   So when I hardly write in the afternoon, I don't, yeah, sometimes I can do like a second batch in the
[00:18:53.620 --> 00:18:57.860]   evening. Uh, I can sometimes make that work if I come here and like make a deal about it. But no,
[00:18:57.860 --> 00:19:02.260]   I do it mostly in the morning. The, uh, the thing I have been doing just because I have more time is
[00:19:02.260 --> 00:19:08.020]   every time now I go into my emails professionally, I'm, uh, updating on my filters, just unsubscribe,
[00:19:08.020 --> 00:19:11.620]   filter, unsubscribe, filter. I mean, I'm going to be, uh, if I'm relentless for two weeks,
[00:19:12.260 --> 00:19:16.340]   I can cut down the, the junk that comes to those email inboxes, not calnewport.com.
[00:19:16.340 --> 00:19:21.060]   That's a lost cause. That's just done. I don't know how I'm ever going to get my arms around that
[00:19:21.060 --> 00:19:26.660]   one. Every PR agency that ever existed now, like sends emails to that. But, but, uh, in my personal
[00:19:26.660 --> 00:19:30.740]   and Georgetown, I'm like, I'm, it's really making a difference. I'm catching up on the like various
[00:19:30.740 --> 00:19:35.700]   things. I bought a product from this once, and now I have 17 email subscriptions from them,
[00:19:35.700 --> 00:19:40.580]   like that type of stuff. And it's like, it's making a difference. One more follow up with
[00:19:40.580 --> 00:19:46.340]   your writing two to three hours a day, you write very fast. So you just bang out something two to
[00:19:46.340 --> 00:19:50.820]   three hours probably. It depends what it is. Yeah. It depends what it is. Um,
[00:19:50.820 --> 00:19:59.700]   like recently I have a New Yorker piece that came out last week and I wrote down like two days, but you
[00:19:59.700 --> 00:20:03.300]   write in your head a lot too, when you're walking around. I do write in my head. Yeah. But like a New
[00:20:03.300 --> 00:20:08.060]   New Yorker, it took me two days to do 20, 2,300 words. Um, and that was, those are more like eight
[00:20:08.060 --> 00:20:12.260]   hour days of writing just because I was on deadline, but other things like the, the newsletter post about
[00:20:12.260 --> 00:20:16.500]   that New Yorker article. So today there's a new newsletter post out about that New Yorker article
[00:20:16.500 --> 00:20:21.860]   at calnewport.com. Uh, that took like 30, that was just, you know, brain to page. Yeah. Just,
[00:20:21.860 --> 00:20:25.220]   you know, I was like, I've thought about this so much. I just lived with this for the last four days.
[00:20:25.220 --> 00:20:29.700]   I can just, you know, that's just gonna, that's just gonna come out. So it just depends what I'm,
[00:20:29.700 --> 00:20:34.180]   depends what I'm working on. Uh, sometimes like not much happens if it's like a really tricky piece,
[00:20:34.180 --> 00:20:38.260]   but also, yeah, I think of walking as writing. Cause I write in my head. Like I, I never,
[00:20:38.260 --> 00:20:42.820]   I don't want to come to a blank screen saying, I'll figure this out on the screen completely.
[00:20:42.820 --> 00:20:46.980]   Like just as I start typing, maybe I'll figure out what I want to say. You're going to say bad things.
[00:20:46.980 --> 00:20:52.980]   Like you've got to figure out the scaffolding of what you're going to write. And then you sit down
[00:20:52.980 --> 00:20:58.660]   the right and then things might change, but I do a lot of that on foot. All right. We got some
[00:20:58.660 --> 00:21:03.620]   good questions coming up, but first let's hear briefly from a sponsor. I want to talk about
[00:21:03.620 --> 00:21:09.460]   actually a product I use every single day. This is Element, L-M-N-T. Element is a zero sugar,
[00:21:09.460 --> 00:21:13.700]   electrolyte drink mix and sparkling electrolyte drink born from the growing body of research,
[00:21:13.700 --> 00:21:18.020]   revealing that optimal health outcomes occur at sodium levels, two to three times government
[00:21:18.020 --> 00:21:24.260]   recommendations. Each serving delivers a meaningful dose of electrolytes, but without the junk,
[00:21:24.260 --> 00:21:30.100]   right? Without the sugar or the other types of food dyes or other dodgy ingredients, you can trust this.
[00:21:30.100 --> 00:21:35.700]   It gets you the electrolytes you need to rehydrate without any of that other junk. In Washington DC,
[00:21:35.700 --> 00:21:41.540]   where the humidity level in the summer is right around, I believe the official reading is 7,000%.
[00:21:41.540 --> 00:21:47.300]   Actually, I learned just the right way that people talk about humidity, actual weather experts is
[00:21:47.300 --> 00:21:50.820]   dew point. Percent humidity is for suckers. Oh, really?
[00:21:50.820 --> 00:21:55.060]   Dew point is what matters. That's the actual number. So anyways, the dew point here is,
[00:21:55.060 --> 00:22:00.180]   I don't know if high temperatures is good or bad, so I don't know what to say there, but it's very humid
[00:22:00.180 --> 00:22:04.980]   here. I drink a lot of Element. I'll have it in the morning if I feel dehydrated, and I for sure have it
[00:22:04.980 --> 00:22:11.220]   during my workouts or on long walks. I usually mix it in with one of those liter Nalgene's or two liter,
[00:22:11.220 --> 00:22:15.140]   you know, the big Nalgene's full of ice water. I'll go through a lot of those. We literally do
[00:22:15.140 --> 00:22:20.660]   go through this stuff really fast. I love it because it keeps me hydrated, and sometimes like
[00:22:20.660 --> 00:22:25.060]   I don't want just plain water. I know I'm craving salt, and I think it's because I'm sweating all
[00:22:25.060 --> 00:22:29.540]   the time. So Element is the best if you want one of these like no dodgy ingredients, right amount of
[00:22:29.540 --> 00:22:38.100]   electrolytes. I swear by it, and I really recommend it. Look, you can receive a free sample pack with any
[00:22:38.100 --> 00:22:43.300]   order if you purchase through drinkelement.com/deep. And when you're there, you should check out a new
[00:22:43.300 --> 00:22:50.180]   flavor, great summer flavor, lemonade, salt, squeezed the most out of summer with Element's new limited
[00:22:50.180 --> 00:22:54.180]   time lemonade salt, salty tart and refreshing, but it brings you the best of summer wherever you are.
[00:22:54.180 --> 00:22:57.700]   I'm literally craving that right now. I don't think I've had enough hydration this morning. I wish I had
[00:22:57.700 --> 00:23:03.940]   a lemonade salt element right now. We're just going to sit here on dead air until Jesse goes and finds that
[00:23:03.940 --> 00:23:06.900]   for me. It's going to take like 15-20 minutes, but that's what we're going to have to do.
[00:23:06.900 --> 00:23:13.300]   Look, there's a totally risk-free, you know, you don't like Element, you can return it, no money
[00:23:13.300 --> 00:23:18.340]   back, etc., but you're not going to. You're going to like it. So go to drinkelement.com/deep. You need
[00:23:18.340 --> 00:23:24.900]   Element, buy Element, get a free sample pack if you order at drinkelement.com/deep. I also want to
[00:23:24.900 --> 00:23:30.020]   talk about our friends at Vanta. Trust isn't just earned, it's demanded. Whether you're a startup
[00:23:30.020 --> 00:23:35.380]   founder navigating your first audit or a seasoned security professional scaling your GRC program,
[00:23:35.380 --> 00:23:41.700]   proving your commitment to security has never been more critical or more complex. That's where Vanta
[00:23:41.700 --> 00:23:47.460]   comes in. Businesses like Vanta use Vanta to establish trust by automating compliance needs
[00:23:47.460 --> 00:23:54.500]   across over 35 frameworks like SOC 2 and ISO 27001. They centralize security workflows with it,
[00:23:54.500 --> 00:23:59.220]   they complete questionnaires up to five times faster, and they can proactively manage vendor risk.
