
[00:00:00.000 --> 00:00:20.340]   So for this talk basically what we thought was it'd be cool to give kind of practical examples
[00:12:20.920 --> 00:12:27.880]   but i think a lot of the kind of edge of tool use and where you start to move towards building custom ai
[00:12:27.880 --> 00:12:35.400]   computer interfaces is when you need workflows or trajectories which don't exist with the kind of
[00:12:35.400 --> 00:12:41.000]   known tool set that you have today so if you have a calculator you can definitely run a calculation but
[00:12:41.000 --> 00:12:47.400]   what if you know that very consistently you are going to use a calculator take the output of that calculator
[00:12:47.400 --> 00:12:53.160]   and maybe pass it to another system and then you're going to read them and parse the logs and then take
[00:12:53.160 --> 00:12:58.360]   the output of those parse logs and do some like additional transformation if you're going to
[00:12:58.360 --> 00:13:03.320]   consistently do that and you want your agent to just come up with that every single time then that's
[00:13:03.320 --> 00:13:08.040]   probably not the right mental model for what like the agent should be thinking about or making a decision
[00:13:08.040 --> 00:13:15.320]   about instead what you want to do is say how can we build this tool and then build the interface to the
[00:13:15.320 --> 00:13:21.160]   LLM for this tool so that you can kind of streamline those types of actions that you want to take
[00:13:21.160 --> 00:13:28.760]   and so this is honestly really effective especially in domains like code where there's tons of dev tools
[00:13:28.760 --> 00:13:34.920]   like i mean there's infinite numbers of tools that people have made to be really good at developing software
[00:13:34.920 --> 00:13:39.320]   that are honestly really effective and they just have kind of weird interfaces maybe it's a cli
[00:13:39.320 --> 00:13:47.080]   maybe it's like command shift clicking to go to definition on your vs code all these things that exist in like the world
[00:13:47.080 --> 00:13:55.080]   need a way for an llm based system to invoke and reason around the outputs so we spend a ton of our time
[00:13:55.080 --> 00:13:57.080]   building these ai computer interfaces
[00:13:57.080 --> 00:14:02.680]   then i i kind of alluded to this but
[00:14:02.680 --> 00:14:09.000]   designing explicit feedback processing is i think a very critical step of
[00:14:09.000 --> 00:14:17.320]   grounding your agent in an external environment in particular if you have for example logs i think
[00:14:17.320 --> 00:14:24.760]   is the great is like a great example of this uh your cicd probably outputs an enormous amount of data
[00:14:24.760 --> 00:14:30.680]   about you know all the tests that ran all the debug statements all this kind of garbage that you don't care
[00:14:30.680 --> 00:14:36.840]   about if you know that you're going to need to process that data and use it at some point it's definitely
[00:14:36.840 --> 00:14:44.600]   good to build into the system explicit kind of paths or decisions or tools that take all of this feedback
[00:14:44.600 --> 00:14:52.120]   process it and then maybe even do like a step which is solely about llm reasoning i guess the example here
[00:14:52.120 --> 00:14:59.800]   is you have your logs you parse through it and then you say well what is you know i know the llm is going
[00:14:59.800 --> 00:15:07.080]   to want the failing tests so let me get the failing tests and also provide a brief like explainer of
[00:15:07.080 --> 00:15:12.600]   what the rest of the logs were doing that type of like feedback processing is pretty critical
[00:15:12.600 --> 00:15:19.880]   into making these systems work really well it also applies to i'm talking a lot about external tools and
[00:15:19.880 --> 00:15:26.440]   external mechanisms like the llm or agentic system interacting with something else there's also the llm or
[00:15:26.440 --> 00:15:33.720]   agentic system interacting with itself and so as you as the agent kind of reflects and reasons about error
[00:15:33.720 --> 00:15:40.200]   trajectories processing that feedback in a meaningful way and passing it back to the llm is super important
[00:15:40.200 --> 00:15:45.640]   because a lot of the time the llm is not great at actually criticizing its own action it's just good at
[00:15:45.640 --> 00:15:51.480]   listening to you tell it to criticize itself and so that we found to be very important
[00:15:52.920 --> 00:16:00.440]   uh bounded exploration so you definitely want your agents to be able to gather as much context as they
[00:16:00.440 --> 00:16:08.120]   can about the problem space as you introduce additional ways of gathering this context probably at the
[00:16:08.120 --> 00:16:17.080]   beginning of the problem not always but probably there is a huge benefit for models that can handle this
[00:16:17.080 --> 00:16:24.360]   like very long context models if you use gemini pro 1.5 or uh sonnet 35 honestly there's a lot of
[00:16:24.360 --> 00:16:30.920]   models now that have very long context windows you can continue to you know include information but at a
[00:16:30.920 --> 00:16:36.440]   certain point you need to kind of say let's jump into the problem and what we found is that finding the
[00:16:36.440 --> 00:16:44.360]   right balance of bounded exploration time is very difficult to actually know in advance and honestly
[00:16:44.360 --> 00:16:50.600]   requires a lot of evaluation and so if you can allow your agent to gather this context have longer
[00:16:50.600 --> 00:16:57.880]   exploration phases collect data decide which data is or isn't relevant and kind of begin the problem with
[00:16:57.880 --> 00:17:04.040]   the maximum likelihood of success then that is one of the single most important things to having a successful
[00:17:04.040 --> 00:17:08.200]   trajectory uh in the in the kind of extent um
[00:17:08.200 --> 00:17:16.360]   and then human guidance uh so this is also a little bit of a cop-out answer but i think it's
[00:17:16.360 --> 00:17:23.720]   important to like describe you know as you have your agentic system interact with humans you want to decide
[00:17:23.720 --> 00:17:29.880]   when in those interaction patterns do we want to ask the human to interfere or when do we want them to provide
[00:17:29.880 --> 00:17:38.360]   guidance so as you know with careful ux design and like interaction design i think that this can be
[00:17:38.360 --> 00:17:45.720]   extremely effective at allowing your systems to go from 30 or 40 reliability to 90 or 100 reliability
[00:17:45.720 --> 00:17:50.920]   but you know ultimately this is balancing autonomy with human oversight and so it's a trade-off that you
[00:17:50.920 --> 00:17:56.920]   have to make um anyway so those are all the things that we learned at factory there's many more and if you'd like
[00:17:56.920 --> 00:18:13.240]   to join us we are hiring ai engineers software engineers go to market everybody so please give me an email

