
[00:00:00.000 --> 00:00:06.720]   for the vast majority of human existence we've been nomadic and we've done these kind of wider
[00:03:31.520 --> 00:03:37.520]   actually starts poking up when you get down into the basin stone is meters and meters under the ground
[00:03:37.520 --> 00:03:45.440]   except for a a stray cliff here and there where the river dug deep and even then only in the dry season
[00:03:45.440 --> 00:03:53.680]   because that river rises like over a hundred feet every year well that's one of the things having
[00:03:53.680 --> 00:04:01.600]   visited that area uh just interacting with waterfalls and seeing the water i was uh humbled by the power of
[00:04:01.600 --> 00:04:07.760]   water to shape landscapes and probably a race history in the context that we're talking about of
[00:04:07.760 --> 00:04:14.240]   civilizations as water can just make everything disappear over a period of centuries and millennia
[00:04:14.240 --> 00:04:21.200]   and so if there's something existed a very long time ago thousands of years ago it is very possible it
[00:04:21.200 --> 00:04:28.640]   was just eaten up by nature absolutely in fact in my opinion that's almost a certainty in a lot of places
[00:04:28.640 --> 00:04:34.880]   uh you know the grand canyon was dug by water there's this wimpy little river in it right now
[00:04:34.880 --> 00:04:40.320]   and you can't possibly imagine that it dug that but it did the power of nature and
[00:04:40.320 --> 00:04:47.200]   geology is really kind of magical and when it comes to you know ancient civilizations that could be from
[00:04:47.200 --> 00:04:56.960]   a long time ago there's probably a lot that are just under the ocean and just the wave action have destroyed them and what they haven't destroyed buried deep
[00:04:56.960 --> 00:05:01.280]   under the ocean so you think atlantis ever existed
[00:05:01.280 --> 00:05:11.200]   i don't think that atlantis existed i do think it was one of plato's many parables talking about you know
[00:05:11.200 --> 00:05:18.960]   putting it in an interesting story as a teaching device in his school if one did exist or a shadow of it
[00:05:19.600 --> 00:05:27.760]   my money would be on akrotiri akrotiri is what's left of a big city that was on the island of santorini
[00:05:27.760 --> 00:05:37.840]   and when their volcano blew up it blew up most of the city and shot chunks of it so fast that 70 miles away
[00:05:37.840 --> 00:05:45.680]   in crete there are chunks of santorini in their cliff so it blasted what was ever there but what's
[00:05:45.680 --> 00:05:52.160]   left on the side of the crater akrotiri is strangely advanced for its age
[00:05:52.160 --> 00:05:58.160]   and so if there's anything that's a model for atlantis as plato explained it
[00:05:58.160 --> 00:06:05.280]   it's akrotiri akrotiri the ancient greek city so it says the settlement was destroyed in the
[00:06:05.280 --> 00:06:12.720]   theron eruption sometime in the 16th century bce and buried in volcanic ash which preserved the remains
[00:06:12.720 --> 00:06:19.360]   of the frescoes and many objects and artworks so we don't know how advanced that civilization was
[00:06:19.360 --> 00:06:25.680]   no but we can walk around the ruins and see that it's got streets it's got plumbing it's got little
[00:06:25.680 --> 00:06:35.040]   sconces for uh for torches at night it was a vibrant city with uh with a lot of especially in terms of
[00:06:35.040 --> 00:06:43.440]   hydraulic engineering it's it's very advanced for being 3500 years old so if you check out here's an
[00:06:43.440 --> 00:06:51.920]   image of the uh excavation what a project it's an amazing place and you can tell that it's just part
[00:06:51.920 --> 00:06:57.760]   of it because it it's pretty close to where the crater begins so the city itself was probably much
[00:06:57.760 --> 00:07:02.720]   larger so in this case there's a lot of evidence but like we said there could be there could be
[00:07:02.720 --> 00:07:08.160]   civilizations that there is no there's very little evidence of because of the natural environment that
[00:07:08.160 --> 00:07:13.200]   destroys all the evidence right and i think akrotiri is actually a great example of that because here
[00:07:13.200 --> 00:07:19.280]   we have the side that did preserve that looks amazing but we know there was more of the city
[00:07:19.280 --> 00:07:26.160]   that was completely obliterated it was shot chunks of that city are probably in the walls of crete 70
[00:07:26.160 --> 00:07:32.960]   miles away and uh you know plato says that it it sunk it was on an island and it sunk well that's
[00:07:32.960 --> 00:07:39.920]   exactly what happened to akrotiri i think this is what plato was referring to if it does exist at least
[00:07:39.920 --> 00:07:44.800]   the model of it i think this is probably what he was talking about and there could be other
[00:07:44.800 --> 00:07:51.920]   civilizations of which plato has never written right that we have no record of and uh it's humbling to
[00:07:51.920 --> 00:07:58.480]   think that entire civilizations with all the dreams the hope the technological innovation the the wars the
[00:07:58.480 --> 00:08:04.320]   conflicts the the political tensions all of that uh the social interactions the hierarchies all of that
[00:08:05.040 --> 00:08:12.480]   the art can be just destroyed like that and forgotten completely lost to ancient history
[00:08:12.480 --> 00:08:19.200]   i reflect upon that often as an archaeologist i think about the this great country that i live in and
[00:08:19.200 --> 00:08:25.600]   love and all the things we've achieved but you know we're we're a baby historically speaking we've been
[00:08:25.600 --> 00:08:33.600]   around 200 years heck a lot of the cities i study in uh central and south america they had a run of you
[00:08:33.600 --> 00:08:40.320]   know 800 a thousand years and now they're ruins but we're we're barely getting started in terms of
[00:08:40.320 --> 00:08:49.760]   historical civilizations so humans homo sapiens evolved uh but they didn't start civilizations right away
[00:08:49.760 --> 00:08:55.120]   there's a long period of time there's a long period of time when they did not form these complex societies
[00:08:55.120 --> 00:09:03.280]   so how did we let's say 300 000 years ago in africa actually go from there to creating civilizations
[00:09:04.000 --> 00:09:14.480]   i think that a lot of human uh evolution had to do with uh the the pressures that their environment put upon them
[00:09:14.480 --> 00:09:22.640]   and you know a lot of things start changing right around 12 000 years ago and that's when you know our last
[00:09:22.640 --> 00:09:28.800]   ice age really ended i think there was a whole lot of things that just pressured them
[00:09:29.600 --> 00:09:36.480]   into especially finding new ways of subsistence here in the americas a huge thing that happened
[00:09:36.480 --> 00:09:44.240]   was all the megafauna went away when the climate changed enough the the mammoths died out and the bison
[00:09:44.240 --> 00:09:51.520]   died out and there was just uh they had to come up with different ways of doing things we were hunters
[00:09:51.520 --> 00:09:58.080]   and gatherers and we had things we got from hunting and we got things we got from gathering and in the americas
[00:09:58.080 --> 00:10:04.000]   when the things that they were used to hunting went away and they had to make do with rabbits
[00:10:04.000 --> 00:10:11.760]   there you know the the gathering started to be a much more important thing and i think that led to
[00:10:11.760 --> 00:10:17.920]   figuring out hey we could actually grow certain things and gardens turned into crops turned into
[00:10:17.920 --> 00:10:24.320]   intensive crops and then people were allowed to gather in bigger groups and survive in a single area
[00:10:24.320 --> 00:10:30.960]   they didn't have to roam around anymore and that's where we get the first sedentary communities which
[00:10:30.960 --> 00:10:37.760]   means they they stayed in the same place all year long for the vast majority of human existence
[00:10:37.760 --> 00:10:44.800]   we've been nomadic and we've done these kind of wider or tighter nomadic circles depending on the
[00:10:44.800 --> 00:10:51.280]   geographic region where they'd know okay you know in the mountains we'll in the we'll be in the summer in the mountains
[00:10:51.280 --> 00:10:55.120]   because there's berries and things and then in the winter we'll be down here and we'll hunt
[00:10:55.120 --> 00:11:03.600]   but they'd move so once humans figured out how to stay in a place i think there that's the initial
[00:11:03.600 --> 00:11:09.680]   trigger to what would become civilization what do you think is uh there's a lot of questions i want to ask
[00:11:09.680 --> 00:11:15.120]   here what do you think is the motivation for societies is it the the carrot or the stick so you said like
[00:11:15.680 --> 00:11:20.720]   is it like when resources run out when the old way of life is no longer feeding everybody then you have
[00:11:20.720 --> 00:11:27.200]   to figure stuff out or is it more the carrot of like there's always this kind of human spirit that
[00:11:27.200 --> 00:11:33.680]   wants to explore that wants to uh maybe impress the rest of the village or something like this
[00:11:33.680 --> 00:11:39.520]   with uh the new discovery they made in venturing out and coming out with different ideas sort of
[00:11:39.520 --> 00:11:46.720]   technological innovation let's call it well you know i i have an explorer's heart so i'm kind of uh you
[00:11:46.720 --> 00:11:54.320]   know by i'm biased right you know i i do think that that we have an innate desire to see what's on the
[00:11:54.320 --> 00:12:01.040]   horizon yeah and to impress other people with our achievements things like that i we're we're social
[00:12:01.040 --> 00:12:08.400]   beings um that's that that's really the edge that humans have is our ability to work together so i i
[00:12:08.400 --> 00:12:14.240]   think that it's much more the carrot than the stick when things get ugly the stick comes out but usually
[00:12:14.240 --> 00:12:20.560]   the carrot does the job the really interesting story is how the first people came to the americas
[00:12:20.560 --> 00:12:29.760]   i mean to me that's pretty gangster to go from asia all the way potentially during the ice
[00:12:29.760 --> 00:12:34.320]   age or maybe at the end of the ice age or during that whole period not knowing what the world looks
[00:12:34.320 --> 00:12:39.360]   like going into the unknown can you talk to that process how did the first people come to the americas
[00:12:39.360 --> 00:12:45.280]   well first off i agree with you that was pretty gangster i mean that's that's that's a hard place
[00:12:45.280 --> 00:12:51.040]   to live i i listened to some of your podcasts is that guy uh jordan jonas yeah the mustard but i i
[00:12:51.040 --> 00:12:55.920]   wouldn't have made a crossing there yeah well there you go like the fact that those guys exist
[00:12:56.560 --> 00:13:03.680]   that somebody like jordan jonas exists people that uh survive and thrive in these harsh conditions that
[00:13:03.680 --> 00:13:09.600]   that's an indication that it's possible but yeah so when when do you think and how did the first people
[00:13:09.600 --> 00:13:18.480]   come the traditional theories are still somewhat valid or at least you know on the table that when that
[00:13:18.480 --> 00:13:25.280]   land bridge occurred that nomadic hunters just followed the game like they always had and the
[00:13:25.280 --> 00:13:30.880]   game went across there because there was no barrier and they followed them across the thing that has
[00:13:30.880 --> 00:13:39.520]   changed is how early that happened dna has been a total game changer for archaeology you know we we get
[00:13:39.520 --> 00:13:46.720]   all these uh evolutionary tracks that we could never see before when i was a young archaeologist i had i
[00:13:46.720 --> 00:13:52.720]   would have never dreamed we'd have the information we have now and that information a lot of it's coming
[00:13:52.720 --> 00:14:02.880]   out of texas a and m we see the traditional like 12 500 years ago that there was a migration but now
[00:14:02.880 --> 00:14:10.640]   we're seeing one that's almost certainly happening closer to 30 000 years ago and now the thing that
[00:14:10.640 --> 00:14:17.440]   seems like madness but might be true is that it could have been as early as 60. a lot of the dna things are
[00:14:17.440 --> 00:14:25.520]   suggesting that the very first migration could have come across as early as 60. and when i was a younger
[00:14:25.520 --> 00:14:34.880]   archaeologist it was heresy to go beyond this 12 500 you're a wacko if you said that but now it's really
[00:14:34.880 --> 00:14:41.120]   very clear that they came over at least by 30 000 and the bridge opened and closed and opened and closed
[00:14:41.120 --> 00:14:42.960]   that's during the ice age right
[00:14:45.840 --> 00:14:51.120]   i mean that's crazy right that's that is crazy yeah i mean you know they didn't roll in and
[00:14:51.120 --> 00:14:56.240]   immediately make new york but there were people and there were definitely not people here before
[00:14:56.240 --> 00:15:05.680]   that which is fascinating the uh the when the when the bridge closed dna mutated and so we have specific
[00:15:05.680 --> 00:15:14.160]   kinds of haplogroups that are here in the americas that don't exist otherwise and that same haplogroup game has
[00:15:14.160 --> 00:15:22.480]   been showing us more and more that people came across siberia it's not africa it's not western europe
[00:15:22.480 --> 00:15:27.760]   those are still you know they've become kind of fringe theories but they're not totally eradicated
[00:15:27.760 --> 00:15:37.440]   i have dna is uh developing science as well and i think we all need to keep that in mind that it's not
[00:15:37.440 --> 00:15:44.080]   like they just cracked the code and now we know all the answers and sometimes like in any science
[00:15:44.080 --> 00:15:50.880]   a breakthrough puts a stew two steps backwards not forwards so i think you know we don't need to have
[00:15:50.880 --> 00:15:58.160]   too much faith in the models that are now being created through dna but they are pointing in the direction
[00:15:58.160 --> 00:16:05.680]   of everybody came across from siberia that all native american people are of asiatic descent
[00:16:05.680 --> 00:16:14.800]   do you think it was a gradual process if it's like 30 to 60 000 years ago was it just gradual movement
[00:16:15.440 --> 00:16:25.600]   of these nomadic tribes as they follow the animals or was it like one explorer that pushed the the tribe to
[00:16:25.600 --> 00:16:35.840]   just go go go go and go across maybe across a hundred years travel all the way uh across maybe into north
[00:16:35.840 --> 00:16:42.080]   america into north north america where canada is now and then sort of like big leaps in movement versus
[00:16:42.080 --> 00:16:50.080]   gradual movement i think it was big leaps and now this is just you know uh mostly guess i'll i'll admit
[00:16:50.080 --> 00:16:58.560]   but i think that it much in the way that a lot of our evolutionary models talk about punctuated equilibrium
[00:16:58.560 --> 00:17:06.480]   that there are big moments of change and then it settles out into a more uh slow and steady pattern and
[00:17:06.480 --> 00:17:14.000]   then something big will happen again i do think that uh the early people went as far as they could go
[00:17:14.000 --> 00:17:20.800]   and there were certain colonies that just got isolated for thousands of years one of the fascinating
[00:17:20.800 --> 00:17:28.000]   things that dna is showing us which actually blood types were showing us way before that is that the
[00:17:28.000 --> 00:17:37.600]   oldest people in the americas are in south america the ones that are uh that got separated early and didn't
[00:17:37.600 --> 00:17:47.520]   mix their dna like the people in the amazon most of those guys have uh o blood type and their haplogroup d
[00:17:47.520 --> 00:17:54.960]   which is the oldest one that entered the the us and what are they doing down there if i do believe they
[00:17:54.960 --> 00:18:01.600]   came across the bering strait i don't think it's very we have no real evidence to say they they came in mass
[00:18:01.600 --> 00:18:11.600]   across uh oceania so they made it probably by boat along the coast all the way to south america so there's
[00:18:11.600 --> 00:18:18.080]   some kind of some kind of cultural engine that drove them to explore so if you had to bet all your money
[00:18:18.080 --> 00:18:26.400]   it happened like tens of thousands of years ago but at a very rapid pace there's these explorers that went
[00:18:26.400 --> 00:18:34.320]   all the way to south america and there established their kind of more stable existence and from there
[00:18:35.440 --> 00:18:41.680]   south america mesoamerica north america was kind of gradually expanded into that area like the next
[00:18:41.680 --> 00:18:48.560]   waves came down and did north america and central america and the very first wave made it all the
[00:18:48.560 --> 00:18:54.480]   way down to south america and got isolated isolated and then mixed in with the next groups that came
[00:18:54.480 --> 00:18:58.720]   that's fascinating kind of like there's a there's an interesting correlate in uh
[00:19:00.000 --> 00:19:10.800]   in europe where today everybody feels like uh celtic people are from ireland but actually celtic people
[00:19:10.800 --> 00:19:18.800]   started in eastern europe and it was the entire area and when rome kind of swept everything and and rome
[00:19:18.800 --> 00:19:27.120]   was now the the ruler of the day it was only that far edge of the celtic world ireland that they were
[00:19:27.120 --> 00:19:32.480]   like ah we're we're not gonna mess with those guys on that island we'll leave them be so now it looks like
[00:19:32.480 --> 00:19:41.840]   that's the heart of celtic tradition but actually it's the fringe so if it is 60 000 years ago these are
[00:19:41.840 --> 00:19:47.920]   really early humans yeah and there were consistent things that have been coming out for decades about
[00:19:48.640 --> 00:19:57.360]   uh very old carbon 14 dates in the amazon and in the andes area that everybody just dismissed this no
[00:19:57.360 --> 00:20:03.920]   he didn't get a date of 40 000 years but i think we're going to come back around to start readdressing
[00:20:03.920 --> 00:20:10.400]   some of these based on new evidence at hand and that's the interesting thing is you know the early
[00:20:10.400 --> 00:20:16.640]   humans spread throughout the world and then like you said perhaps they've gotten isolated and then
[00:20:16.640 --> 00:20:22.000]   civilizations sprung from there and they all have similar elements even though they were isolated
[00:20:22.000 --> 00:20:27.840]   that's really interesting that's really interesting that there's multiple cradles of civilization
[00:20:27.840 --> 00:20:36.720]   not just one like one good idea that those ideas naturally come up those structures naturally come up
[00:20:38.000 --> 00:20:46.800]   and i i wonder whether you know the similarities that all those cradles have it could be uh you know a
[00:20:46.800 --> 00:20:55.600]   shared much deeper past that they all have or it could be a more kind of star trek thing where uh you
[00:20:55.600 --> 00:21:02.720]   know captain kirk was always talking about the uh the theory of parallel human development that humans across
[00:21:02.720 --> 00:21:08.000]   the universe go through certain stages of development and that that could be the answer to it
[00:21:08.000 --> 00:21:13.920]   which which one do you lean on which which one do you lean towards i think it's a case-by-case
[00:21:13.920 --> 00:21:20.800]   thing i think if we look globally i lean much more towards the human parallel development but if i look
[00:21:20.800 --> 00:21:26.880]   just to the americas and we have a shorter time period where you know the the things that become major
[00:21:26.880 --> 00:21:34.800]   civilizations now now now i'll say you know up to 30 000 years ago which is still a blip in the time of
[00:21:34.800 --> 00:21:44.320]   of humans um i think that there were shared things that those people came over with from asia and that
[00:21:45.280 --> 00:21:53.440]   as they got separated that they had core values that then turned into things like religion and uh cultural
[00:21:53.440 --> 00:22:00.960]   customs that we can see i i'm a big proponent that there are uh commonalities in all the cultures of
[00:22:00.960 --> 00:22:09.440]   the americas that lead back to and point to a a single distant origin you've spoken about the lost cradle
[00:22:09.440 --> 00:22:16.560]   civilization south america so uh south america is not often talked about as one of the cradles
[00:22:16.560 --> 00:22:23.360]   of civilization south america mesoamerica can you explain well we have very early stuff in south
[00:22:23.360 --> 00:22:31.120]   america you're right i mean you know especially as uh uh as an american our country's so big and you know
[00:22:31.120 --> 00:22:37.520]   the we are so far removed from these places we don't even think about it but more and more we're seeing
[00:22:37.520 --> 00:22:44.800]   things that that predate the earliest stuff that we like to talk about like egypt and mesopotamia
[00:22:44.800 --> 00:22:53.840]   um there are things it's all on the peruvian coast that we have these cradles of civilization someday
[00:22:53.840 --> 00:23:00.000]   we might start talking about the amazon more and more but right now what we've got are things that date
[00:23:00.000 --> 00:23:12.160]   back into the 3000s bce along the coast of peru and there are big stone built pyramids and temples
[00:23:12.160 --> 00:23:19.520]   and they're they they're amazingly isolated even now that we've found them uh some of them like corral
[00:23:19.520 --> 00:23:25.360]   is one of the most famous ones just north of lima we've known about it for a couple decades now how old
[00:23:25.360 --> 00:23:32.560]   it is but every time i visit there it's like i've visited the moon there's absolutely nobody there not
[00:23:32.560 --> 00:23:41.360]   for miles i it's uh amazing how such an a such a discovery was made and yet still nobody goes to see
[00:23:41.360 --> 00:23:46.400]   it it's not easy to get to so you think there's a bunch of locations like that some may not have been
[00:23:46.400 --> 00:23:53.920]   discovered in the peru area oh there are so many peru has tons that desert gets really ugly quick and it
[00:23:53.920 --> 00:24:00.240]   buries things completely there are so many pyramids out there that are still completely untouched
[00:24:00.240 --> 00:24:07.600]   you know when people hear the name pyramids they think of egypt immediately but egypt has got about
[00:24:07.600 --> 00:24:15.680]   140 pyramids and we have pretty much found them all peru has thousands thousands of pyramids and now
[00:24:15.680 --> 00:24:22.240]   they weren't built of uh a lot not all of them were built of stone some of them were adobe bricks which
[00:24:22.240 --> 00:24:27.200]   have weathered terribly so now they don't look they're they're not exciting places to visit today
[00:24:27.200 --> 00:24:32.640]   you know what's funny too you you know we started off talking about you know whether i think there's
[00:24:32.640 --> 00:24:40.560]   a lost civilization out there uh there are definitely things that are still to be discovered but there
[00:24:40.560 --> 00:24:46.080]   are some things that were discovered a hundred years ago and archaeologists or back then they they
[00:24:46.080 --> 00:24:53.120]   call themselves antiquarians just kind of passed over coral was one of these sites because the the coast of
[00:24:53.120 --> 00:25:02.720]   peru has some of those pyramids that were made by the moche are full of of gold and beautiful ceramics
[00:25:02.720 --> 00:25:11.040]   and you know things that you can sell for big money but coral was found a long time ago but the archaeologist
[00:25:11.040 --> 00:25:17.760]   was like god no gold no ceramics forget about it this place is no good we can't sell anything here
[00:25:17.760 --> 00:25:28.240]   and then about the 1970s or 80s somebody said hey no ceramics is that older than the invention of ceramics
[00:25:28.240 --> 00:25:34.320]   shit we better go take another look at that place so what's the dating on coral coral i think starts at
[00:25:34.320 --> 00:25:44.640]   about 3200 bce and it lasts as a major civilization with a lot of other cities around it uh until about
[00:25:44.640 --> 00:25:51.920]   1800 bce so what's the story behind like looking at some of these images what's the story about
[00:25:51.920 --> 00:25:58.560]   constructions like that what was the idea that thing isn't that amazing yeah oh that gosh i mean
[00:25:58.560 --> 00:26:04.400]   it should be some sort of you know i'll be a flaky archaeologist like you know this is uh this is a
[00:26:04.400 --> 00:26:11.520]   place where where rituals took place that's so many things we say are so just painfully vague and
[00:26:11.520 --> 00:26:16.480]   that's about you know what we got and a place like this i know the one we're looking at here i've been
[00:26:16.480 --> 00:26:23.440]   here a couple of times in the pyramid behind it the rubble's built in a way where the building won't
[00:26:23.440 --> 00:26:29.520]   rock apart this is a very uh earthquake prone place but the buildings haven't fallen because
[00:26:29.520 --> 00:26:38.560]   they make these uh net baskets of rocks inside that all kind of wiggle around and don't allow the
[00:26:38.560 --> 00:26:46.880]   building to fall down and inside these we've also found a couple of things that were uh babies that were
[00:26:46.880 --> 00:26:52.480]   human babies that were buried in there and i don't think there's a lot of people that see that and go oh
[00:26:52.480 --> 00:26:58.080]   look at that they were sacrificing babies these monsters i think a lot of the things that are
[00:26:58.080 --> 00:27:06.480]   interpreted as baby sacrifices corrals evidence being one of them i think it's more about the the tragic
[00:27:06.480 --> 00:27:13.680]   nature of infant mortality in the past it was a lot more common there were cultures that didn't even
[00:27:13.680 --> 00:27:20.320]   really properly name their kid until they got to five because chances were they were going to die and so i
[00:27:20.320 --> 00:27:25.920]   think a lot of these babies that we find in these ceremonial contexts that are interpreted as
[00:27:25.920 --> 00:27:31.840]   sacrifices i think they're putting them in special places because they they mourn the death of their
[00:27:31.840 --> 00:27:38.640]   kids and it just happened a lot more frequently then one of the things you said that really surprised me is
[00:27:38.640 --> 00:27:45.120]   that pyramids that pyramids were built in peru possibly hundreds of years before they were built in egypt
[00:27:45.120 --> 00:27:55.600]   that true absolutely absolutely in fact that's crazy there's one that's now pushing uh 6 000 bce
[00:27:55.600 --> 00:28:05.120]   like that's thousands of years before the stuff in egypt and that one's called waka prieta and it was not a
[00:28:05.120 --> 00:28:11.840]   a it was not an egyptian pyramid it was but it was a pyramid and it was thousands of years before
[00:28:11.840 --> 00:28:19.920]   what do you think is the motivation to build a pyramid the fact that it can withstand the elements
[00:28:19.920 --> 00:28:27.840]   uh structurally that kind of thing is it uh yeah why why do humans build pyramids and why do they build it
[00:28:28.640 --> 00:28:35.760]   in all kinds of different locations in the world well you know my my root answer is is is pretty boring
[00:28:35.760 --> 00:28:42.000]   really a lot of people ask me why are there pyramids all over the planet how is that is that a coincidence
[00:28:42.000 --> 00:28:52.400]   i mean who yeah i think that uh when people wanted to build a big building without rebar or cement you end up
[00:28:52.400 --> 00:28:59.360]   building something with a fat base that goes up to a skinny top and that turns into a pyramid uh you know
[00:28:59.360 --> 00:29:04.640]   any kid who's playing with blocks on the floor builds a couple towers and his brother knocks them down and
[00:29:04.640 --> 00:29:09.200]   if he wants one that's going to stay and be tall he ends up making something with a fat base and a
[00:29:09.200 --> 00:29:16.800]   and a tiny top and i think that uh you know building something big and tall together is one of those
[00:29:17.360 --> 00:29:24.160]   those human things like we built that that will be here after we're gone people remember who we were
[00:29:24.160 --> 00:29:31.120]   we are all if there's any human commonality it's it's fear of our own deaths and that we were nothing
[00:29:31.120 --> 00:29:37.040]   and no one will ever remember us i think that the first big monuments like that were probably
[00:29:37.040 --> 00:29:41.600]   uh a group of people saying we're going to do something that people will remember forever
[00:29:42.800 --> 00:29:47.280]   now that being said you remember we were just talking about waka prieta and this one that's almost
[00:29:47.280 --> 00:29:55.840]   6000 bc now is the first one that one's a funny case we just talked about all these lofty goals but
[00:29:55.840 --> 00:30:05.600]   actually i'm pretty sure that waka prieta's first pyramid was about capping a smelly pile of trash
[00:30:05.600 --> 00:30:09.600]   i think everybody piled up their trash in the middle of town
[00:30:10.160 --> 00:30:16.400]   and it stunk it's it's on the coast it stunk like fish and somebody said if we just bury this thing
[00:30:16.400 --> 00:30:21.920]   with dirt it won't smell anymore and then it was a big mound where people could get up and talk to
[00:30:21.920 --> 00:30:28.320]   everybody and then said well it's squishy you know if we if we cap it with clay then it will really not
[00:30:28.320 --> 00:30:35.120]   smell i really think that the very first pyramids in peru were about trash management
[00:30:36.560 --> 00:30:42.240]   talk about plating huh yeah but then they probably saw it and they were impressed and humbled by the
[00:30:42.240 --> 00:30:47.200]   sort of the enormity of the construction and they're like oh we should maybe the next guy thought maybe
[00:30:47.200 --> 00:30:54.160]   we should keep building these kinds of things yeah yeah in uh not not to jump ahead but in north america
[00:30:54.160 --> 00:31:01.280]   you know where they also made pyramids there's this interesting evolution where there were these piles of
[00:31:01.280 --> 00:31:07.760]   shells along rivers and along the coastlines people ate a lot of shells that was an easy thing to collect
[00:31:07.760 --> 00:31:14.480]   and eat so these piles of shells would be near communities and they probably became landmarks but
[00:31:14.480 --> 00:31:22.240]   eventually they started burying their dead inside those two probably again you know about stink and about
[00:31:22.240 --> 00:31:27.280]   you know well we don't want the dogs to eat them maybe put them in the middle of the shell pile but then
[00:31:27.280 --> 00:31:33.120]   that all of a sudden became this like that's where my grandfather's body is that's where great
[00:31:33.120 --> 00:31:38.560]   grandfather's body is and all of a sudden people started being attached to place not just for the
[00:31:38.560 --> 00:31:45.440]   resources but for the shared memories of their ancestors so when the very first pyramid was built in
[00:31:45.440 --> 00:31:54.480]   uh ohio area by the adina people it was built out of dirt but it's full of bodies and i think it's an
[00:31:54.480 --> 00:32:04.000]   echo of a old thing where they used to be putting bodies in shell mounds so where and who were the
[00:32:04.000 --> 00:32:12.480]   first civilizations in south america as in america well you know i think we're still piecing that together
[00:32:12.480 --> 00:32:18.320]   coming back to the first things we talked about i think we're still missing a lot of stuff especially in
[00:32:18.320 --> 00:32:24.080]   south america it just keeps getting older and older part of the reason it's hard to answer that question
[00:32:24.080 --> 00:32:32.240]   is you know at what point do we consider people a civilization or a culture we have in the americas
[00:32:32.240 --> 00:32:41.840]   this long period of time that we call the the paleo indian time where they were hunting mega fauna and then
[00:32:41.840 --> 00:32:47.200]   when those went away we get into this even longer period of time called the archaic where they're
[00:32:47.200 --> 00:32:52.400]   just hunters and gatherers sometimes somebody's coming up with a cool different kind of arrowhead
[00:32:52.400 --> 00:32:58.240]   they go back and forth with different hunting tools but really nothing changes for thousands of years
[00:32:58.240 --> 00:33:07.040]   and then finally they start developing into these larger groups which for the most part has to do with
[00:33:07.040 --> 00:33:13.520]   agriculture it used to be archaeology that was just the end all be all civilization starts with the
