
[00:00:00.000 --> 00:00:21.120]   Hello everyone. Thanks for coming to the session here today. My name is Jonathan Larson and I run
[00:04:56.580 --> 00:05:00.780]   put them straight into an LL. We're first not going to use GraphRack for code. We're just going to take all that
[00:05:00.780 --> 00:05:05.700]   source code, because it's only 200 lines of code, and put in some nice prompts. We tried a wide variety of these prompts and
[00:05:05.700 --> 00:05:11.280]   then try and see if the LL could actually translate that code holistically in all of its pieces into
[00:05:11.280 --> 00:05:15.300]   Rust and actually just work out of the box. And so this is actually the translation happening there.
[00:05:15.300 --> 00:05:19.620]   We're going to go ahead and copy the Rust code that it generated. So it did generate Rust code. I have to
[00:05:19.620 --> 00:05:25.020]   give it credit for that. But after it generated the code and we reviewed it there, we went and we tried
[00:05:25.020 --> 00:05:31.440]   to compile it and there's problems everywhere. It doesn't work out of the box. So then we use GraphRack for code,
[00:05:31.440 --> 00:05:37.020]   again bringing structure and these graph structures to the code base there.
[00:05:37.020 --> 00:05:40.740]   We're going to just go ahead and run the translate function there on GraphRack for code. And it generates
[00:05:40.740 --> 00:05:46.200]   on its side all these new Rust files that you see are on the side there. I'm just going to skip past
[00:05:46.200 --> 00:05:50.160]   here because I don't want to bore you with clicking through a bunch of Rust files. But once we generate
[00:05:50.160 --> 00:05:55.740]   all these Rust files, we can go ahead and run those Rust files on GraphRack for code side of things and
[00:05:55.740 --> 00:06:03.600]   presto, we have a full video game completely translated from Python now working in Rust natively. But we
[00:06:03.600 --> 00:06:09.060]   didn't want to stop there. The next thing that we wanted to do was, well, that game is kind of a toy
[00:06:09.060 --> 00:06:14.280]   example. It's like 200 lines of code. Let's go to a code base with 100,000 lines of code. And that's what we did next.
[00:06:14.280 --> 00:06:19.680]   So we went to the Doom code base. It's about 30 years old. Now, we did run a bunch of tests over
[00:06:19.680 --> 00:06:24.840]   the top of this here first because I figured, well, all the LLMs are trained on the Doom code base. I mean,
[00:06:24.840 --> 00:06:29.460]   it's going to just know these things natively and automatically. So we did a bunch of tests with
[00:06:29.460 --> 00:06:34.440]   that. We actually figured out, well, it knew the Doom code base. It didn't know any of the specifics. So if
[00:06:34.440 --> 00:06:39.360]   you ask it to actually modify the Doom code base in any sort of meaningful way, the LLM models just fail
[00:06:39.360 --> 00:06:46.020]   again completely. So then what we did next was, well, if we can reason and understand over top of this
[00:06:46.020 --> 00:06:51.820]   code base, 100,000 lines of code, 231 files, maybe we can generate some new outputs that you otherwise
[00:06:51.820 --> 00:06:56.880]   couldn't generate. So with that, we then immediately had to start -- used it to start generating documentation.
[00:06:56.880 --> 00:07:02.100]   So this is actually showing a high level repository level documentation. Again, going back to the
[00:07:02.100 --> 00:07:06.760]   concepts of GraphRag, we have local and we have global queries. This is showing you the global query
[00:07:06.760 --> 00:07:11.820]   results. And so it's not looking at the understanding of a single file. This is looking at modules in their
[00:07:11.820 --> 00:07:16.740]   entirety, like across 20, 30 files and being able to actually give you sense for, like, what's the sound
[00:07:16.740 --> 00:07:22.020]   system inside of the video game and how does that work? But then you can still drill down into what we
[00:07:22.020 --> 00:07:25.860]   would call the local style queries and actually see the individual files as well, too.
[00:07:25.860 --> 00:07:32.180]   So then we thought, well, this is kind of neat. We can look at the documentation. But if we look
[00:07:32.180 --> 00:07:37.080]   at the documentation, we can do Q&A and we can do code translation. Can we maybe take this one step
[00:07:37.080 --> 00:07:42.840]   further? Do feature development. So that's the next thing I'm going to show you. So we had a lot of video
[00:07:42.840 --> 00:07:46.380]   game players in our office and we were kind of thinking about, like, what would be a cool thing we
[00:07:46.380 --> 00:07:50.940]   put over top of this Doom video game? And somebody said, well, you can't jump in the original video game.
[00:07:50.940 --> 00:07:55.800]   What if we added the ability for a player to jump? And that's a complex thing to add into Doom,
[00:07:55.800 --> 00:08:02.120]   because it requires multi-file modification. And if you tried to use AI systems to do multi-file
[00:08:02.120 --> 00:08:07.240]   modification, what it'll often do is it will do a great job editing one of the files and then completely
[00:08:07.240 --> 00:08:11.640]   break a bunch of the other files in the process of doing so. And then that just rinses and repeats
[00:08:11.640 --> 00:08:16.040]   and continually kind of -- you end up with something that doesn't work is what you oftentimes run into.
[00:08:16.040 --> 00:08:21.480]   And it's because of this lack of understanding how everything fits together. But again, this is where
[00:08:21.480 --> 00:08:26.440]   GraphRag can really help out. So with that, we went ahead and this is -- if you haven't seen the Doom video
[00:08:26.440 --> 00:08:31.480]   game, this is actually a little video of the original Doom video game being played just to give you some
[00:08:31.480 --> 00:08:38.440]   context for what it was. Then we used the new GitHub Copilot coding agent that was announced at build.
[00:08:38.440 --> 00:08:43.480]   And we wired it up directly to a GraphRag for code. So we're going to go ahead and create a new issue.
[00:08:43.480 --> 00:08:48.280]   This is pointing to the Doom code base. And we're going to tell it add jump capability to the player.
[00:08:48.280 --> 00:08:52.840]   We're just going to add a couple sentences of description here and then tell it to go. And
[00:08:52.840 --> 00:08:59.640]   then we're going to assign it to that GitHub Copilot coding agent. And then the next thing we're going
[00:08:59.640 --> 00:09:03.960]   to do is we're going to then go ahead and look at what's happening underneath the hood. So this is
[00:09:03.960 --> 00:09:08.360]   actually the GitHub Copilot coding agent reaching out to GraphRag for code on the back end, coming up
[00:09:08.360 --> 00:09:13.560]   with a plan that's holistic and it's approaching it from the top down. And then this is really the moment,
[00:09:13.560 --> 00:09:19.160]   the aha moment we had for us. It changed a whole lot of files and it worked out of the box where all
[00:09:19.160 --> 00:09:23.960]   the other agents that we had tried completely failed on this task. And because it worked because of those
[00:09:23.960 --> 00:09:29.080]   GraphRag structures that we were bringing to bear and actually using those with that. So then the end
[00:09:29.080 --> 00:09:37.000]   result was we were related with joy and jumping in Doom specifically. So that's kind of the story of how
[00:09:37.000 --> 00:09:42.840]   we got to with that. So with that, I do have another part of the talk I'm going to talk about today.
[00:09:42.840 --> 00:09:48.200]   And that's also five minutes to talk about that one. And that's benchmark QED. Just shifting topics a
[00:09:48.200 --> 00:09:53.080]   little bit. I just showed you GraphRag is applied to one vertical. Next, I want to specifically talk
[00:09:53.080 --> 00:09:58.680]   about how do we measure and evaluate systems like GraphRag? How do we build systems to evaluate those
[00:09:58.680 --> 00:10:04.680]   local and global quality metrics? And so for that, today I'm announcing benchmark QED. This is available
[00:10:04.680 --> 00:10:09.800]   now open source on GitHub. So you can go ahead and check it out at the link. We just, I think,
[00:10:09.800 --> 00:10:15.160]   got it live last night. And there's three components to this. The first is what we're calling
[00:10:15.160 --> 00:10:22.040]   Auto-Q. And Auto-Q is focused on doing query generation for target data sets. So it allows you to take a
[00:10:22.040 --> 00:10:28.280]   data set and then generate queries for it. Auto-E is the evaluation using LLM as a judge to actually then
[00:10:28.280 --> 00:10:35.160]   evaluate how those queries performed on that said data set. Auto-D is the third component. And that really focuses on
[00:10:35.160 --> 00:10:39.960]   data set summarization and data set sampling. Let's jump into just a couple of these in a little more
[00:10:39.960 --> 00:10:46.200]   detail. So if you take a look at Auto-Q, Auto-Q is taking a look at the local and global aspects. You
[00:10:46.200 --> 00:10:52.600]   can see that there on the x-axis. On the y-axis, it's then combining that against data-driven, basically
[00:10:52.600 --> 00:10:58.280]   questions that are generated based on the data itself, or persona or activity-driven, which is the second
[00:10:58.280 --> 00:11:02.520]   type that we have there. Those are more complex. So like, if you take on the role of a person in that domain
[00:11:02.520 --> 00:11:07.400]   field, and then using that to generate questions. So to show you a few of these sample questions,
[00:11:07.400 --> 00:11:12.120]   I'm just going to choose a couple here. This was built on an AP news data set that was focused on
[00:11:12.120 --> 00:11:17.880]   like medical type of events. And so a data local question might be, why are junior doctors in South
[00:11:17.880 --> 00:11:23.080]   Korea striking in February 2024? There's a lot of highly specific information in this, and I would
[00:11:23.080 --> 00:11:29.160]   expect regular AG to perform very well on this type of question. In contrast, take an activity global
[00:11:29.160 --> 00:11:34.920]   question here. It might be, what are the main public health initiatives mentioned that target underserved
[00:11:34.920 --> 00:11:39.480]   communities? There is nothing in that question that you can really pivot on in terms of like embedding
[00:11:39.480 --> 00:11:44.280]   or indexing that would really work on that. You really have to holistically know the entire data
[00:11:44.280 --> 00:11:51.080]   set. And so this Auto-Q will help generate questions across that whole spectrum, from local to global,
[00:11:51.080 --> 00:11:55.000]   from data-driven to activity-driven, and give you these categories of questions that you can use.
[00:11:55.000 --> 00:11:59.640]   Now, once you generate those questions, we can then start measuring them using Auto-E,
[00:11:59.640 --> 00:12:04.840]   which is the evaluation platform that we released along with this as well too. So just to show you
[00:12:04.840 --> 00:12:10.280]   how this in practice and how it works, it gives you a composite score for metrics. The first is
[00:12:10.280 --> 00:12:15.480]   comprehensiveness, diversity, and empowerment, which if you're familiar with our paper, those are the three
[00:12:15.480 --> 00:12:20.040]   original ones that we used back in that one, and a new one that we also call relevance. And so we actually
[00:12:20.040 --> 00:12:24.600]   did some comparisons just to show you how this works on lazy graph rag, which is one of the newer technologies
[00:12:24.600 --> 00:12:31.240]   that we've been working on. And we compared it to vector rag on 8K, 120K, and million token context
[00:12:31.240 --> 00:12:35.560]   windows. And we had a few takeaways from that. The first is if you take a look at these charts,
[00:12:35.560 --> 00:12:41.960]   any bar that is above the 50% mark means that lazy graph rag is winning in that benchmark against those
[00:12:41.960 --> 00:12:47.880]   specific vector rags. So vector rag blue here is 8K, 120K, and a million token context windows. And it's
[00:12:47.880 --> 00:12:54.040]   winning correspondingly at 92%, 90%, and 91% of the time against data local questions, which is kind
[00:12:54.040 --> 00:12:58.040]   of a surprise. Because one of the first things that we started seeing is that lazy graph rag was actually
[00:12:58.040 --> 00:13:04.120]   providing dominant performance across the entire span of questions, whether they were local or global.
[00:13:04.120 --> 00:13:09.160]   And we do expect rag to be performing better on local questions. And you can see that from the fact that
[00:13:09.160 --> 00:13:14.360]   data local and the data global, there's a little bit of a lift between these bars between the global and the
[00:13:14.360 --> 00:13:19.240]   local ones. Second thing we noticed is that the long context window didn't really make much of a
[00:13:19.240 --> 00:13:22.520]   difference. We were expecting that maybe the long context windows might give you a little bit of a
[00:13:22.520 --> 00:13:27.560]   because, again, a better understanding towards those global types of questions. But it actually turns out
[00:13:27.560 --> 00:13:32.600]   that lazy graph rag in this case was still able to dominate those metrics. And in fact, when we ran the
[00:13:32.600 --> 00:13:38.040]   test, it's not on the slide here, we actually found that lazy graph rag was a tenth of the cost of what we saw in
[00:13:38.040 --> 00:13:42.360]   the one million token context windows as well, too. So those are a couple things to show there.
[00:13:43.000 --> 00:13:48.120]   Now, with the last minute that I have, I did want to address another thing, too, with lazy graph rag.
[00:13:48.120 --> 00:13:52.440]   You may have read the blog posts about it in November last year when we first discussed it.
[00:13:52.440 --> 00:13:58.440]   It is now officially being lined up for launch in a couple products. The first is Azure Local. And so
[00:13:58.440 --> 00:14:04.520]   they just announced at Build that lazy graph rag will soon be incorporated into their platform for
[00:14:04.520 --> 00:14:08.600]   that. So you can actually try it out for yourselves there. And it's also being incorporated into the
[00:14:08.600 --> 00:14:13.720]   recently announced app build Microsoft discovery platform tool as well. So if you're not familiar
[00:14:13.720 --> 00:14:17.960]   with Microsoft discovery, it does graph-based scientific co-reasoning. And just to give you a
[00:14:17.960 --> 00:14:23.400]   quick summary of it, it goes from hypothesis to experiment, learning, knowledge. I'll just play a
[00:14:23.400 --> 00:14:27.800]   quick, like, five-second video here. And the questions -- the answers to the questions that you start
[00:14:27.800 --> 00:14:32.600]   coming back to with on this are powered underneath the hood by graph rag and lazy graph rag as well,
[00:14:32.600 --> 00:14:36.680]   too. So as you can see, the co-pilot here is generating the deep reasoning over graph-based
[00:14:36.680 --> 00:14:41.800]   scientific knowledge. Those graphs are being powered by graph rag and lazy graph rag.
[00:14:42.520 --> 00:14:47.160]   So with that, I just want to leave you with a couple takeaways. And the first is just that LLM memory
[00:14:47.160 --> 00:14:53.240]   structure -- LLM memory with structure is just a really, really powerful tool to keep in your tool
[00:14:53.240 --> 00:14:58.600]   belt. And the agents, of course, can massively amplify this power. And if you have any questions,
[00:14:58.600 --> 00:15:07.880]   I'll be outside if you want to talk about any of this further. Thank you so much for your time.

