
[00:00:00.000 --> 00:00:20.280]   I'm going to be giving a quick presentation about the State of the Union regarding AI Vision.
[00:08:02.240 --> 00:08:07.040]   improvements across the board, sometimes even seven map improvements, which is like a gigantic amount,
[00:08:07.040 --> 00:08:14.640]   right? And so basically, while the language world knows that transformers are able to leverage big
[00:08:14.640 --> 00:08:22.000]   pre-trainings and yield decent results, the visual world is sort of just now catching up. And you can see
[00:08:22.000 --> 00:08:28.080]   this from the scale of the big pre-training. In the image world, pre-training on Object 365 with 1.6
[00:08:28.080 --> 00:08:34.080]   million images is considered a large pre-training. That would be like a tiny challenge data set for
[00:08:34.080 --> 00:08:44.480]   like undergrads in the LLM world. So I want to announce RoboFlow's special new model called RF Detter,
[00:08:44.480 --> 00:08:52.800]   which leverages the Dyno V2 pre-trained backbone and uses it in a real-time object detection context.
[00:08:52.800 --> 00:09:00.160]   So this is sort of our answer to the hole that we see in the field of like, why aren't we leveraging big
[00:09:00.160 --> 00:09:06.400]   pre-trainings for visual models? And so here's some of the metrics. You can see that
[00:09:08.800 --> 00:09:12.560]   basically what we did is we took the LW Detter backbone and we like kind of swapped it out with
[00:09:12.560 --> 00:09:19.760]   the Dyno V2 backbone. And we get like a decent improvement on Cocoa. And we're still not Soda
[00:09:19.760 --> 00:09:25.840]   on Cocoa compared to Define, which is the current Soda. We're like second Soda. But I think what's
[00:09:25.840 --> 00:09:32.880]   really interesting is there's this other data set called RF100VL, which we created to measure the sort of
[00:09:32.880 --> 00:09:39.360]   domain adaptability of this model. And you can see massive yields from using the Dyno V2 pre-trained
[00:09:39.360 --> 00:09:44.560]   backbone, which basically is pointing to the fact that number one, Cocoa is too easily solvable.
[00:09:44.560 --> 00:09:51.200]   It basically has common classes like humans and like coffee cups and stuff like this. So it's not
[00:09:51.200 --> 00:09:56.080]   a good measure of the intelligence of your model. More so the way that you optimize Cocoa is by like
[00:09:56.080 --> 00:10:01.680]   really nailing the precise location of a bounding box or something, really having good iterative
[00:10:01.680 --> 00:10:10.640]   refinement of your locations that you're guessing. Whereas we posit RF100VL, this new data set, is a
[00:10:10.640 --> 00:10:18.240]   better measure of the intelligence of a visual model. So we're introducing a new data set, RF100VL,
[00:10:18.240 --> 00:10:23.920]   which is a collection of 100 different object detection data sets that were pulled from our open source
[00:10:23.920 --> 00:10:30.640]   collection of data sets. We have something like, I don't know, it's something like 750,000 data sets or
[00:10:30.640 --> 00:10:39.600]   whatever on RoboFlow universe. And we hand curated the 100 best, I guess, by some metrics. So like we sorted by
[00:10:39.600 --> 00:10:46.480]   community engagement and we tried to find very difficult domains. So you'll notice, for instance,
[00:10:46.480 --> 00:10:53.920]   we have different camera poses that are common in Cocoa. So we have like aerial camera positioning,
[00:10:53.920 --> 00:10:59.840]   such thing, which requires your model to sort of understand different views of an object in order to
[00:10:59.840 --> 00:11:06.880]   to do well. We have different visual imaging domains, like you can see, like microscopes and x-rays and all
[00:11:06.880 --> 00:11:15.280]   this sort of things. So yeah, we think that this data set can measure the richness of features that are
[00:11:15.280 --> 00:11:23.200]   learned by object detectors in a much more comprehensive way than Cocoa. And here's the other fun thing
[00:11:23.200 --> 00:11:28.720]   about this is that it is a visual language model. So we are able to benchmark a bunch of different models
[00:11:28.720 --> 00:11:36.240]   on RF100VL, being able to ask them things like using, contextualizing the class name in the context of this
[00:11:36.240 --> 00:11:44.160]   data set. Where is this action happening, for instance? So if you look at the top left, we have this class which is block,
[00:11:44.160 --> 00:11:49.280]   which is representing an action, a volleyball block. But you have to be smart enough to contextualize this
[00:11:49.280 --> 00:11:54.320]   like word embedding of block within the context of volleyball to be able to detect that. Same thing with
[00:11:54.320 --> 00:12:00.720]   this thunderbolt type defect in this cable here. If you just ask a dumb visual language model to detect
[00:12:00.720 --> 00:12:05.200]   thunderbolts in the image, it will find nothing. But if it contextualizes it in the context of a cable
[00:12:05.200 --> 00:12:11.680]   defect, then it will be able to find more things. And it also increases the breadth of classes. So if you
[00:12:11.680 --> 00:12:17.760]   only look at Cocoa, you're basically asking your model, hey, can you find a dog? Can you find a cat? But like,
[00:12:17.760 --> 00:12:22.240]   can you find fibrosis? Now your model needs to have like a lot more information around the world,
[00:12:22.240 --> 00:12:27.040]   about the world to solve that problem. Same thing with different imaging domains.
[00:12:27.040 --> 00:12:36.800]   So it is a vision language benchmark. So we also have visual descriptions and sort of instructions on
[00:12:36.800 --> 00:12:43.600]   how to find the objects that are present in this image. And basically what we found is like you take
[00:12:43.600 --> 00:12:50.320]   a Cocoa or you take a Yolo V8 model and you train it on like 10 examples per class. It does better than like
[00:12:50.320 --> 00:12:58.960]   Quen V2 72 -- Quen 2.5 VL 72B, like state of the art gigantic vision language model. So the vision
[00:12:58.960 --> 00:13:04.000]   language models are really good right now at generalizing out of distribution in the linguistic
[00:13:04.000 --> 00:13:09.520]   domain, but absolutely hopeless when it comes to generalizing in the visual domain. And so we hope
[00:13:09.520 --> 00:13:17.520]   that this benchmark can sort of drive that part of the research and make sure that the visual parts of
[00:13:17.520 --> 00:13:27.040]   VLMs don't get left behind. And yeah, basically by leveraging like stronger embeddings, a debtor model
[00:13:27.040 --> 00:13:33.280]   does much, much better on RF 100VL than just leveraging embeddings learned on Object 265, which makes sense.
[00:13:33.280 --> 00:13:38.000]   And that's my talk. Thank you. Yes.
[00:13:38.000 --> 00:13:41.920]   Can you fine-tune it inside of the edge?
[00:13:41.920 --> 00:13:43.920]   Fine-tune Quen on the edge?
[00:13:43.920 --> 00:13:51.920]   Oh, yeah, yeah, yeah. It's like 20 million parameters at the small size. Yeah. Cool. Any other questions?
[00:13:51.920 --> 00:14:05.680]   This works. Yeah, it's publicly available. It's on -- maybe I can -- if you go to RF100VL.org,
[00:14:05.680 --> 00:14:12.320]   you can find our archive paper as well as the code utilities to help download the data set. It's also
[00:14:12.320 --> 00:14:23.920]   like on Huggy Face somewhere. Yeah. Yeah, so RoboFlow kind of has a pretty unique strategy when it comes to
[00:14:23.920 --> 00:14:30.240]   our platform. So we make our platform freely available to all researchers, basically. And so we have like
[00:14:30.240 --> 00:14:36.640]   a ton of people who use our platform to label medical data and biological data for their own papers and
[00:14:36.640 --> 00:14:42.480]   their own research. And then our only ask is that they then contribute that data back to the community
[00:14:42.480 --> 00:14:47.280]   and make it open source. And so a lot of this data comes from like paper cited in nature and stuff like that.
[00:14:47.280 --> 00:14:59.920]   Yeah, so the data set is kind of measuring up.
[00:14:59.920 --> 00:15:10.560]   performance of like a bunch of different imaging modalities or predictive modalities, I guess.
[00:15:10.560 --> 00:15:28.560]   So I think the most interesting track of the data set is the few shot track.
[00:15:28.560 --> 00:15:38.560]   So basically we've constructed like canonical 10-shot splits. So we provide the model the class name,
[00:15:38.560 --> 00:15:45.360]   annotator instructions on how to find that class, as well as 10 visual examples per class. And if a
[00:15:45.360 --> 00:15:52.000]   model -- basically no model exists that can leverage those three things and get higher maps than if you
[00:15:52.000 --> 00:15:57.760]   just deleted one of those like options. I see that as one of the big shortcomings of visual language models
[00:15:57.760 --> 00:16:27.280]   Yeah, so currently the specialists are by far the best.
[00:16:27.280 --> 00:16:27.840]   Yeah.
[00:16:27.840 --> 00:16:27.920]   Yeah.
[00:16:27.920 --> 00:16:32.720]   We benchmarked Grounding Dyno specifically, both zero-shot and fine-tuned. So zero-shot Grounding
[00:16:32.720 --> 00:16:38.400]   Dyno got like 19 map average on R100VL, which is like kind of good, kind of bad. So if you take
[00:16:38.400 --> 00:16:43.840]   like a YOLO V8 nano and you train it from scratch on the 10-shot examples, which is not a lot of data,
[00:16:43.840 --> 00:16:56.240]   obviously, it gets something like 25 map. So like to be worse than fine-tuning a YOLO from scratch is sort of bad. But if you then fine-tune the Grounding Dyno with federated loss, that's the highest performing model we have on the data set.
[00:16:56.240 --> 00:17:16.800]   However, that being said, like I think that the point of the data set should be, hey, like you should be able to leverage these annotator instructions, the 10-shot examples, and the class names, and come up with something more accurate, which requires a journalist model. But okay, I think I'm super over time. So yeah, thanks for the questions. Cool. Thanks, everyone.
[00:17:16.800 --> 00:17:18.960]   Cool. Thanks, everyone.
[00:17:18.960 --> 00:17:23.880]   We'll see you next time.

