
[00:00:00.000 --> 00:00:01.960]   There we go.
[00:07:49.040 --> 00:07:55.480]   reading Kaggle winners descriptions of their approaches is, is great. But you've got to
[00:07:55.480 --> 00:08:01.720]   be very careful because remember, like Kaggle winners are the people who did get that last
[00:08:01.720 --> 00:08:08.320]   0.002%. You know, because like everybody found all the low hanging fruit and the people who
[00:08:08.320 --> 00:08:13.200]   won grabbed the really high hanging fruit. And so every time you win a Kaggle winners
[00:08:13.200 --> 00:08:20.940]   description, they almost always have complex ensembling methods. And that's why, you know,
[00:08:20.940 --> 00:08:25.640]   in like something like a big image recognition competition, it's very hard to win or probably
[00:08:25.640 --> 00:08:31.080]   impossible to win with a single model, unless you invent some amazing new architecture or
[00:08:31.080 --> 00:08:38.520]   something. And so you're kind of, you might get the impression then that ensembling is
[00:08:38.520 --> 00:08:42.760]   the big thing that gets you all the low hanging fruit, but it's not. Ensembling is the thing
[00:08:42.760 --> 00:08:47.400]   which are particularly complex. Ensembling is a thing that gets you that last fraction
[00:08:47.400 --> 00:08:49.600]   of a fraction of a percent.
[00:08:49.600 --> 00:09:03.440]   One more question. Yeah, of course, the TTL concept, right? So I mean, TTA, TTA, sorry,
[00:09:03.440 --> 00:09:11.760]   TTA. Yeah, no time to the, yeah, the, so if I understand, like, I'm trying to understand
[00:09:11.760 --> 00:09:20.640]   conceptually why TTL improves the score, because technically, when you're training, it is using
[00:09:20.640 --> 00:09:26.480]   those augmented sort of pictures and providing them providing a percentage number. But when
[00:09:26.480 --> 00:09:34.080]   you're kind of, when you run that TTA function, why is it able to predict better?
[00:09:34.080 --> 00:09:44.960]   So like, you know how sometimes you're like, looking at some like, I don't know, a screwhead
[00:09:44.960 --> 00:09:51.280]   or a pla or a socket or something, it's really small, and you can't quite see like, what,
[00:09:51.280 --> 00:09:54.760]   how many pins are in it or what type is it or whatever. And you're kind of like, look
[00:09:54.760 --> 00:09:58.280]   at it from different angles, and you're kind of like, put it up to the light, and you try
[00:09:58.280 --> 00:10:05.640]   to like, at some point, you're like, okay, I see it, right? And there's like some angle
[00:10:05.640 --> 00:10:11.600]   and some lighting that you can see it. That's what you're doing for the computer, you're
[00:10:11.600 --> 00:10:16.160]   giving it different angles, and you're giving it different lighting in the hope that in
[00:10:16.160 --> 00:10:22.560]   one of those, it's going to be really clear. And for the ones where it's easy, it's not
[00:10:22.560 --> 00:10:25.480]   going to make any difference, right? But for the ones who it's like, oh, I don't know if
[00:10:25.480 --> 00:10:30.760]   it's this disease or that disease, but oh, you know, when it's a bit brighter, and you
[00:10:30.760 --> 00:10:36.160]   kind of zoom into that section, like, oh, now I can see. And so when you then average
[00:10:36.160 --> 00:10:40.240]   them out, you know, all the other ones are all like, oh, I don't know which kind of is
[00:10:40.240 --> 00:10:44.560]   I don't know which kind, so it's like point 5.5.5. And then this one is like point six.
[00:10:44.560 --> 00:10:49.200]   And so that's the one that in the average, it's going to end up picking. That's basically
[00:10:49.200 --> 00:11:03.320]   what happens. It also has another benefit, which is when we train our models, I don't
[00:11:03.320 --> 00:11:09.480]   know if you've noticed, but our training loss generally gets much, much lower than our validation
[00:11:09.480 --> 00:11:24.320]   loss. And sometimes our validate sometimes our well, so basically, like, what's happening
[00:11:24.320 --> 00:11:29.800]   there is that on the training set, the model is getting very confident, right? So even
[00:11:29.800 --> 00:11:33.400]   though we're using data augmentation, it's seeing slightly different versions of the
[00:11:33.400 --> 00:11:40.640]   same image dozens of times. And it's like, oh, I know how to recognize these. And so
[00:11:40.640 --> 00:11:46.200]   what it does is that the probabilities that associates with them is like point nine, point
[00:11:46.200 --> 00:11:51.200]   nine, nine, you know, like, it's like, I'm very confident of these. And it actually gets
[00:11:51.200 --> 00:12:05.160]   overconfident, which actually doesn't necessarily impact our accuracy, you know, to be overconfident.
[00:12:05.160 --> 00:12:13.760]   But at some point, it, it can. And so we are systematically going to have like overconfident
[00:12:13.760 --> 00:12:20.280]   predictions of probability. When, even when it doesn't really know, just because it's
[00:12:20.280 --> 00:12:26.520]   really seen that kind of image before. So then on the validation set, it's going to be, you
[00:12:26.520 --> 00:12:32.400]   know, over picking probabilities as well. And so one nice benefit is that when you average
[00:12:32.400 --> 00:12:39.880]   out a few augmented versions, you know, it's like, oh, point nine, point nine probability
[00:12:39.880 --> 00:12:43.160]   is this one. And then on the next one, it's like, augmented version with the same image
[00:12:43.160 --> 00:12:48.560]   like, oh, no, point one probability is that one. And they'll kind of average out to much
[00:12:48.560 --> 00:13:01.600]   more reasonable probabilities, which can, you know, allow it sometimes to yeah, combine
[00:13:01.600 --> 00:13:08.240]   these ideas into an average that that makes more sense. And so that can improve accuracy,
[00:13:08.240 --> 00:13:15.200]   but in particular, it improves the actual probabilities to get rid of that overconfidence.
[00:13:15.200 --> 00:13:23.400]   Is it fair to say that when you train without, when you train, it's not able to separate
[00:13:23.400 --> 00:13:30.240]   the replicated sort of images or the distorted slightly the variant of the original image,
[00:13:30.240 --> 00:13:35.080]   but when you use the TTA, it is able to group all the four images.
[00:13:35.080 --> 00:13:42.400]   And where that's what TTA is, we present them all together and average out that group. Yes.
[00:13:42.400 --> 00:13:47.480]   But in training, we don't indicate in any way that they're the same image or that they're
[00:13:47.480 --> 00:13:59.600]   the same underlying object. One of the questions, Jeremy, we I'm going to be pushing and stumbling
[00:13:59.600 --> 00:14:06.280]   and how to pick the best and stumbling. I was going to ask about that. But another question
[00:14:06.280 --> 00:14:13.560]   is, we have a fairly unbalanced data set, I guess, with the normal versus the disease
[00:14:13.560 --> 00:14:19.040]   states. You're doing augmentation. Is there any benefit to sort of over representing the
[00:14:19.040 --> 00:14:24.720]   minority classes? So let's let's pull away augmentation. So it's actually got nothing
[00:14:24.720 --> 00:14:29.160]   to do with augmentation. So more generally, when you're training, does it make sense to
[00:14:29.160 --> 00:14:40.480]   over represent the minority class? And the answer is, maybe. Yeah, it can. Right. And
[00:14:40.480 --> 00:14:47.480]   so, okay, so just for those who aren't following, the issue Matt's talking about is that there
[00:14:47.480 --> 00:14:52.440]   was, you know, a couple of diseases which appear lots and lots in the data, and a couple
[00:14:52.440 --> 00:15:02.560]   which hardly appear at all. And so, you know, do we want to try to balance this out more?
[00:15:02.560 --> 00:15:08.560]   And one thing that people often do to balance it out more is that they'll throw away some
[00:15:08.560 --> 00:15:13.700]   of the images in their more represent the highly represented classes. And I can certainly
[00:15:13.700 --> 00:15:20.720]   tell you straight away, you should never ever do that. You never want to throw away data.
[00:15:20.720 --> 00:15:29.920]   But Matt's question was, well, could we, you know, over sample the less common diseases?
[00:15:29.920 --> 00:15:42.560]   And the answer is, yeah, absolutely, you could. And in first AI, you go into the docs. Now,
[00:15:42.560 --> 00:15:52.280]   where is it? There is a weighted data loader somewhere. Weighted. Search for that. Here
[00:15:52.280 --> 00:15:58.040]   we go. Of course, it's a callback. So if you go to the callbacks data section, you'll find
[00:15:58.040 --> 00:16:08.420]   a weighted DL callback or a weighted data loaders method. I'm not. No, I'm just telling
[00:16:08.420 --> 00:16:21.480]   you where to look. Thanks for checking. So, yeah, I mean, let's look at that today, right?
[00:16:21.480 --> 00:16:28.720]   Because I kind of want to look at, like, things we can do to improve things today. It doesn't
[00:16:28.720 --> 00:16:35.060]   necessarily help. Because it does mean, you know, given that you're, you know, let's say
[00:16:35.060 --> 00:16:41.240]   you do 10 epochs of 1,000 images, it's going to get to look at 10,000 images, right? And
[00:16:41.240 --> 00:16:46.120]   if you over sample a class, then that also means that it's going to get, it's going to
[00:16:46.120 --> 00:16:53.640]   see less of some images and going to get more repetition of other images, which could be
[00:16:53.640 --> 00:17:00.480]   a problem, you know? And really, it just depends on, depends on a few things. If it's like
[00:17:00.480 --> 00:17:05.980]   really unbalanced, like 99% all of one type, then you're going to have a whole lot of batches
[00:17:05.980 --> 00:17:11.280]   that it never sees anything of the underrepresented class. And so basically, there's nothing for
[00:17:11.280 --> 00:17:18.880]   to learn from. So at some point, you probably certainly need weighted sampling. It also
[00:17:18.880 --> 00:17:22.700]   depends on the evaluation. You know, if people like say in the evaluation, okay, we're going
[00:17:22.700 --> 00:17:28.720]   to kind of average out for each disease, how accurate you were. So every disease will then
[00:17:28.720 --> 00:17:34.640]   be like equally weighted, then you would definitely need to use weighted sampling. But in this
[00:17:34.640 --> 00:17:40.760]   case, you know, presuming, presuming that the test set has a similar distribution as
[00:17:40.760 --> 00:17:48.120]   a training set, weighted sampling might not help. Because they're going to care the most
[00:17:48.120 --> 00:17:52.680]   about how well we do on the highly represented diseases.
[00:17:52.680 --> 00:18:02.840]   I'll note my experience with like oversampling and things like that. I think one time I had
[00:18:02.840 --> 00:18:09.640]   done with I think diabetic retinopathy, there was a competition for that. And I had used
[00:18:09.640 --> 00:18:14.360]   weighted sampling or oversampling, and it did seem to help. And then also a while back,
[00:18:14.360 --> 00:18:20.320]   I did an experiment where I think this was back with fast AI version one, where I took
[00:18:20.320 --> 00:18:29.600]   like the minced data set, and then I like artificially added some sort of imbalance.
[00:18:29.600 --> 00:18:35.520]   And then I trained with and without weighted sampling. And I saw like there was an improvement
[00:18:35.520 --> 00:18:42.800]   with the weighted sampling on accuracy on like just a regular validation set. So from
[00:18:42.800 --> 00:18:48.440]   that, from those couple experiments, I'd say like, I've at least seen some help and improvement
[00:18:48.440 --> 00:18:53.600]   with weighted sampling. Cool. And was that cases where that data set was like, highly
[00:18:53.600 --> 00:18:59.600]   unbalanced? Or was it more like the data set that we're looking at, at the moment?
[00:18:59.600 --> 00:19:05.240]   It wasn't highly unbalanced. It was maybe like, I don't know, like, maybe like, yeah,
[00:19:05.240 --> 00:19:11.960]   just 75% versus 25% or something like that. It's not like 99.99 versus 1%, nothing like
[00:19:11.960 --> 00:19:17.440]   that. It was more. Oh, well, it wasn't that bad. So let's try it today. Yeah. I see we've
[00:19:17.440 --> 00:19:21.880]   got a new face today as well. Hello, Zach. Thanks for joining.
[00:19:21.880 --> 00:19:28.760]   Hey, hey, glad I could finally make these. Yeah. Are you joining from Florida?
[00:19:28.760 --> 00:19:38.880]   No, I'm in Maryland now. Maryland now. Okay, I have a change. Yes, much more up north.
[00:19:38.880 --> 00:20:08.840]   Okay, great. So let's let's try something. Okay, so let's connect to my little computer.
[00:20:08.840 --> 00:20:25.840]   It says, is there a way to shrink my zoom bar out of the way? It takes up so much space.
[00:20:25.840 --> 00:20:32.960]   Hide floating meeting controls. I guess that's what I want. Control Alt Shift H. Wow. Press
[00:20:32.960 --> 00:20:40.440]   escape to show floating meeting controls. That doesn't work very well with Vim. Oh, well,
[00:20:40.440 --> 00:20:58.680]   Control Alt Shift 8. Okay. We're not doing tabular today, so let's get rid of that. So
[00:20:58.680 --> 00:21:07.840]   I think what I might do is, you know, because we're iterating. Well, I guess we could start
[00:21:07.840 --> 00:21:17.200]   with the multitask button, because this is our kind of like things to try to improve
[00:21:17.200 --> 00:21:40.360]   version. I'll close that. I'll leave that open just in case we want to. Okay. By the
[00:21:40.360 --> 00:21:44.200]   way, if you've got multiple GPUs, this is how you just use one of them. You can just
[00:21:44.200 --> 00:22:07.880]   set an environment variable. Okay, so this is where we this is where we did the multi
[00:22:07.880 --> 00:22:34.000]   target model. Okay. Just moved everything slightly.
[00:22:34.000 --> 00:23:03.320]   Comp. Not comp path. Right. Back to where we were. Okay. So now what? What's broken?
[00:23:03.320 --> 00:23:28.920]   Data block. Get image files. Well, this is working the other day. So I guess we better
[00:23:28.920 --> 00:23:38.960]   try to do some debugging. So the obvious thing to do would be to call this thing here, get
[00:23:38.960 --> 00:23:47.480]   image files on the thing that we passed in here, which is train path. Okay, so that's
[00:23:47.480 --> 00:23:58.200]   working. Then the other thing to do would be to check data by doing show batch. Okay,
[00:23:58.200 --> 00:24:07.880]   that's working. And I guess, all right, and it's showing you two different things. That's
[00:24:07.880 --> 00:24:26.280]   good. Oh, is it? Right, we've got the two category blocks. So we can't use this one.
[00:24:26.280 --> 00:24:45.640]   We have to use this one. So fit one cycle. Yeah, okay. So the to remind you we have this
[00:24:45.640 --> 00:24:57.320]   is the one where we had two categories and one input. And to get the two categories,
[00:24:57.320 --> 00:25:07.840]   we use the parent label and this function, which looked up the variety from this dictionary.
[00:25:07.840 --> 00:25:19.640]   Okay, and then when we fine tuned it, and let's just check, yes, it equals 42. So that's our
[00:25:19.640 --> 00:25:36.360]   standard set, we should be able to then compare that to small models trained for 12 epochs.
[00:25:36.360 --> 00:26:06.240]   And then that was this one. Part two. And let's see. They're not quite
[00:26:06.240 --> 00:26:31.920]   the same because this was 480 squish. Or else this was rectangular pad. Let's do five epochs.
[00:26:31.920 --> 00:26:44.240]   Let's do it the same as this one. Yeah, let's do this one. Because we want to be able to
[00:26:44.240 --> 00:27:12.200]   do quick iterations. Let's see resize 192 squish. There we go.
[00:27:12.200 --> 00:27:41.880]   And then we trained it for 0.01 with FP16 with five epochs. All right. So this will be our
[00:27:41.880 --> 00:27:51.600]   base case. Well, you know, I mean, I guess this is our base case 0.045. This will be
[00:27:51.600 --> 00:28:06.040]   our next case. Okay, so while that's running, the next thing I wanted to talk about is progressive
[00:28:06.040 --> 00:28:34.400]   resizing. So this is training at a size of 128. Which is not very big. And we wouldn't
[00:28:34.400 --> 00:28:41.400]   expect it to do very well. But it's certainly better than nothing. And as you can see, it's
[00:28:41.400 --> 00:28:50.880]   -- that's not error. Disease error. It's down to 7.5% error already and it's not even done.
[00:28:50.880 --> 00:28:57.960]   So that's not bad. And, you know, in the past, what we've then done is we've said, okay,
[00:28:57.960 --> 00:29:11.320]   well, that's working pretty well. Let's throw that away and try bigger. But there's actually
[00:29:11.320 --> 00:29:18.040]   something more interesting we can do. Which is we don't have to throw it away. What we
[00:29:18.040 --> 00:29:29.160]   could do is to continue training it on larger images. So we're basically saying, okay, this
[00:29:29.160 --> 00:29:41.120]   is a model which is fine tuned to recognize 128 by 128 pixel images of rice. That's fine
[00:29:41.120 --> 00:29:48.960]   tuned to recognize 192 by 192 pixel images of rice. And we could even -- there's a few
[00:29:48.960 --> 00:29:56.160]   benefits to that. One is it's very fast, you know, to do the smaller images. And it can
[00:29:56.160 --> 00:30:06.920]   recognize the key features of it. So, you know, this lets us do a lot of epochs quickly. And
[00:30:06.920 --> 00:30:11.080]   then, like, the difference between small images of rice disease and large images of rice disease
[00:30:11.080 --> 00:30:16.000]   isn't very big difference. So you would expect it would probably fine tune to bigger images
[00:30:16.000 --> 00:30:21.320]   of rice disease quite easily. So we might get most of the benefit of training on big
[00:30:21.320 --> 00:30:30.120]   images, but without most of the time. The second benefit is it's a kind of data augmentation,
[00:30:30.120 --> 00:30:37.560]   which is we're actually giving it different sized images. So that should help. So here's
[00:30:37.560 --> 00:30:48.520]   how we would do that. Let's grab this data block. Let's make it into a function. Get
[00:30:48.520 --> 00:30:54.080]   dl. Okay. And the key thing I guess we're going to do -- well, let's just do the item
[00:30:54.080 --> 00:31:08.600]   transforms and the batch transforms as usual. Oops. So the things we're going to change
[00:31:08.600 --> 00:31:23.520]   are the item transforms. And the batch transforms. And then we're going to return the data loader
[00:31:23.520 --> 00:31:52.720]   for that, which is here. Okay. So let's try --
[00:31:52.720 --> 00:32:06.760]   Coming up a bit. dl equals get dl. I guess it should be get dl's really because it returns
[00:32:06.760 --> 00:32:27.200]   data loaders get dl's. Okay. So let's see what we did last time as we scale it up a bit.
[00:32:27.200 --> 00:32:36.600]   So this is going to be data augmentation as well. We're going to change how we scale.
[00:32:36.600 --> 00:33:00.780]   So we'll scale with zero padding. And let's go up to 160. Okay.
[00:33:00.780 --> 00:33:29.840]   So then we need a ladder. Okay. So we're going to change the size of the item. So we're going to
[00:33:29.840 --> 00:33:41.280]   change the size of the item. So our -- where's our squish one here? Squish. So the squish
[00:33:41.280 --> 00:33:53.600]   here got .45. Our multitask got .48. So it's actually a little bit worse. This might not
[00:33:53.600 --> 00:33:58.480]   be a great test, actually, because I feel like one of the reasons that doing a multitask
[00:33:58.480 --> 00:34:06.640]   bottle might be useful is it might be able to train for more epochs. Because we're kind
[00:34:06.640 --> 00:34:19.400]   of giving it more signal. So we should probably revisit this with, like, 20 epochs. Any questions
[00:34:19.400 --> 00:34:23.240]   or comments about progressive resizing while we wait for this to train?
[00:34:23.240 --> 00:34:33.040]   >> Sorry, I can't see how you progressively changed the size because --
[00:34:33.040 --> 00:34:44.720]   >> I actually didn't. I messed it up. Whoops. Thank you. I have to do that again. I actually
[00:34:44.720 --> 00:34:53.640]   didn't. Oh, and we need to get our DLS back as well. Okay. Let's start again. Okay. And
[00:34:53.640 --> 00:34:58.960]   let's -- in case I mess this up again, let's export this. We'll call this, like, stage
[00:34:58.960 --> 00:35:10.160]   one. See? Yeah. The problem was we created a new learner. So what we should have done
[00:35:10.160 --> 00:35:24.820]   is gone learn dot DLS equals DLS. That's actually -- so that would actually change the data
[00:35:24.820 --> 00:35:29.920]   loaders inside the learner without recreating it. Was that where you were heading with your
[00:35:29.920 --> 00:35:41.760]   comment? There was an unfreeze method. There was an unfreeze method. Like, the same thing
[00:35:41.760 --> 00:35:47.200]   in the book I actually mentioned is using the unfreeze method.
[00:35:47.200 --> 00:35:51.600]   >> There is an unfreeze method. Yes. What were you saying about the unfreeze method?
[00:35:51.600 --> 00:35:55.200]   >> Is an unfreeze required for progressive resizing? Am I wrong?
[00:35:55.200 --> 00:36:04.360]   >> No, because fine-tune is already unfrozen. Although I actually want to fine-tune again.
[00:36:04.360 --> 00:36:12.400]   So if anything, I kind of actually want to -- I actually want to refreeze it. Because
[00:36:12.400 --> 00:36:24.160]   we've changed the resolution, I think fine-tuning the head might be a good idea to do again.
[00:36:24.160 --> 00:36:31.560]   >> Which line of code is doing the progressive resizing part, just to be clear?
[00:36:31.560 --> 00:36:36.780]   >> It's not our line of code. It's basically this. It's basically saying our current learner
[00:36:36.780 --> 00:36:43.960]   is getting new data loaders. And the new data loaders have a size of 160, whereas the old
[00:36:43.960 --> 00:36:52.200]   data loaders had a size of 128. And our old data loaders did a presizing of 192 squish,
[00:36:52.200 --> 00:36:59.000]   but our new data loaders are doing a presizing of rectangular padding. Does that make sense?
[00:36:59.000 --> 00:37:04.200]   >> Why are you calling it progressive in this case? Are you going to keep changing the size
[00:37:04.200 --> 00:37:09.280]   or something like that? >> Yeah, it's changing the size of the images
[00:37:09.280 --> 00:37:15.560]   without resetting the learner. >> Just looked it up because I was curious.
[00:37:15.560 --> 00:37:24.440]   >> Fine-tune calls a freeze first. >> I had a feeling it did. Thanks for checking,
[00:37:24.440 --> 00:37:32.280]   Zach. So this time, you know, let's see. It'll be interesting, right, to see how it does.
[00:37:32.280 --> 00:37:40.160]   So after the initial epoch, it's got .09, right? Whereas previously it had .27. So obviously
[00:37:40.160 --> 00:37:45.480]   it's better than last time. But it's actually worse than the final point, right? This time
[00:37:45.480 --> 00:37:52.000]   it got all the way to .418. Yeah, or else this time it has got worse. So it's got some
[00:37:52.000 --> 00:37:58.000]   work to do to learn to recognize what 160 pixel images look like.
[00:37:58.000 --> 00:38:08.280]   >> Can I just clarify, Jeremy? So you're like doing one more step in the progressive resizing
[00:38:08.280 --> 00:38:14.720]   here. It's not kind of an automated resizing. >> Correct. Correct. Yeah. Yeah. There isn't
[00:38:14.720 --> 00:38:21.520]   anything in fast.ai to do this for you. And in fact, this technique is something that
[00:38:21.520 --> 00:38:29.360]   we invented. So it doesn't exist in other libraries at all. So, yeah, it's the name
[00:38:29.360 --> 00:38:35.360]   of a technique. It's not the name of, like, a method in fast.ai. And, yeah, the technique
[00:38:35.360 --> 00:38:43.800]   is basically to replace the data loaders with ones at a larger size. And we invented it
[00:38:43.800 --> 00:38:50.920]   as part of a competition called Dawnbench, which is where we work very well on a competition
[00:38:50.920 --> 00:39:00.880]   for ImageNet training. And Google then took the idea and studied it a lot further as part
[00:39:00.880 --> 00:39:09.640]   of a paper called EfficientNet V2 and found ways to make it work even better. Oh, my gosh,
[00:39:09.640 --> 00:39:23.200]   look at this. So we've gone from 0.418 to 0.0336. Have we done training at 160 before? I don't
[00:39:23.200 --> 00:39:49.900]   think we have. I should be checking this one. 128, 128. 171 by 128. No, we haven't. This
[00:39:49.900 --> 00:39:58.240]   is a 256 by 192. So eventually, I guess we're going to get to that point. So let's keep
[00:39:58.240 --> 00:40:05.880]   going. So, okay. So we're down to 2.9% error. >> How did you come up with the idea for this?
[00:40:05.880 --> 00:40:11.480]   Is it something that you just wanted to try? Or did you, like, stumble upon it while looking
[00:40:11.480 --> 00:40:15.000]   at something else? >> Oh, I mean, it just seemed very obviously
[00:40:15.000 --> 00:40:20.200]   to me like something which obviously we should do because, like, we were spending -- okay,
[00:40:20.200 --> 00:40:25.760]   so on Dawnbench, we were training on ImageNet. It was taking 12 hours, I guess, to train
[00:40:25.760 --> 00:40:34.960]   a single model. And the vast majority of that time, it's just recognizing very, very basic
