
[00:00:00.040 --> 00:00:09.560]   Gedanken
[00:03:18.180 --> 00:03:18.180]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:03:18.180 --> 00:03:18.180]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:03:18.180 --> 00:03:18.180]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:03:18.180 --> 00:03:18.180]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:03:18.180 --> 00:03:48.200]  , I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:03:48.200 --> 00:03:48.200]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:03:48.200 --> 00:03:48.200]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:03:48.200 --> 00:03:48.200]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:03:48.220 --> 00:04:18.220]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:04:18.220 --> 00:04:18.220]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:04:18.220 --> 00:04:18.220]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:04:18.220 --> 00:04:18.220]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:04:18.220 --> 00:04:18.220]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:04:18.220 --> 00:04:18.220]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:04:18.220 --> 00:04:18.220]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:04:18.220 --> 00:04:18.220]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:04:18.220 --> 00:04:18.220]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:04:48.240 --> 00:04:48.240]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:04:48.240 --> 00:04:48.240]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:04:48.240 --> 00:04:48.240]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:04:48.240 --> 00:04:48.240]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:04:48.240 --> 00:04:48.240]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:04:48.240 --> 00:04:48.240]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:18.260 --> 00:05:18.260]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:18.260 --> 00:05:18.260]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:18.260 --> 00:05:18.260]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:18.260 --> 00:05:18.260]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:18.260 --> 00:05:18.260]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:18.260 --> 00:05:18.260]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:18.260 --> 00:05:18.260]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:18.260 --> 00:05:18.260]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:18.260 --> 00:05:18.260]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:18.260 --> 00:05:48.280]  ,
[00:05:48.280 --> 00:05:48.280]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:48.280 --> 00:05:48.280]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:48.280 --> 00:05:48.280]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:48.280 --> 00:05:48.280]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:48.280 --> 00:05:48.280]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:48.280 --> 00:05:48.280]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:48.280 --> 00:05:48.280]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:05:48.300 --> 00:06:18.300]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:06:18.300 --> 00:06:18.300]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:06:18.300 --> 00:06:18.300]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:06:18.300 --> 00:06:18.300]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:06:18.300 --> 00:06:18.300]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:06:18.300 --> 00:06:18.300]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:06:18.300 --> 00:06:18.300]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:06:18.300 --> 00:06:18.300]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:06:18.300 --> 00:06:18.300]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:06:18.300 --> 00:06:48.320]  ,
[00:06:48.320 --> 00:06:48.320]   and the freedoms that you have that come from state control.
[00:06:48.320 --> 00:06:48.320]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:06:48.320 --> 00:06:48.320]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:06:48.320 --> 00:06:48.320]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:06:48.320 --> 00:06:48.320]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:06:48.320 --> 00:06:48.320]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:06:48.340 --> 00:07:18.340]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:07:18.340 --> 00:07:18.340]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:07:18.340 --> 00:07:18.340]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:07:18.340 --> 00:07:18.340]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:07:18.340 --> 00:07:18.340]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:07:18.340 --> 00:07:18.340]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:07:18.340 --> 00:07:18.340]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:07:18.340 --> 00:07:18.340]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:07:18.340 --> 00:07:18.340]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:07:18.340 --> 00:07:48.360]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:07:48.360 --> 00:07:48.360]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:07:48.360 --> 00:07:48.360]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:07:48.360 --> 00:07:48.360]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:07:48.360 --> 00:07:48.360]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:07:48.360 --> 00:07:48.360]   We're going to focus on the freedom and the freedoms that you have that come from state control.
[00:07:48.360 --> 00:07:48.360]   We're going to focus on the freedom and the freedoms that come from state control.
[00:07:48.380 --> 00:08:18.380]   It's really nice just to have a freedom of time.
[00:08:18.380 --> 00:08:18.380]   It's really nice just to have a freedom of time.
[00:08:18.380 --> 00:08:18.380]   It's really nice just to have a freedom of time.
[00:08:18.380 --> 00:08:18.380]   It's really nice just to have a freedom of time.
[00:08:18.380 --> 00:08:18.380]   It's really nice just to have a freedom of time.
[00:08:18.380 --> 00:08:18.380]   It's really nice just to have a freedom of time.
[00:08:18.380 --> 00:08:18.380]   It's really nice just to have a freedom of time.
[00:08:18.380 --> 00:08:18.380]   It's really nice just to have a freedom of time.
[00:08:18.380 --> 00:08:18.380]   It's really nice just to have a freedom of time.
[00:08:18.380 --> 00:08:18.380]   It's really nice just to have a freedom of time.
[00:08:18.380 --> 00:08:18.380]   It's really nice just to have a freedom of time.
[00:08:18.380 --> 00:08:18.380]   It's really nice just to have a freedom of time.
[00:08:18.380 --> 00:08:18.380]   It's really nice just to have a freedom of time.
[00:08:18.380 --> 00:08:18.380]   It's really nice just to have a freedom of time.
[00:08:18.380 --> 00:08:18.380]   It's really nice just to have a freedom of time.
[00:08:18.380 --> 00:08:48.400]   It's really nice just to have a freedom of time.
[00:08:48.400 --> 00:08:48.400]   It's really nice just to have a freedom of time.
[00:08:48.400 --> 00:08:48.400]   It's really nice just to have a freedom of time.
[00:08:48.400 --> 00:08:48.400]   It's really nice just to have a freedom of time.
[00:08:48.400 --> 00:08:48.400]   It's really nice just to have a freedom of time.
[00:08:48.400 --> 00:08:48.400]   It's really nice just to have a freedom of time.
[00:08:48.400 --> 00:08:48.400]   It's really nice just to have a freedom of time.
[00:08:48.400 --> 00:08:48.400]   It's really nice just to have a freedom of time.
[00:08:48.400 --> 00:08:48.400]   It's really nice just to have a freedom of time.
[00:08:48.420 --> 00:09:18.420]   The freedom of time is a very important part of the process.
[00:09:18.420 --> 00:09:18.420]   The freedom of time is a very important part of the process.
[00:09:18.420 --> 00:09:18.420]   The freedom of time is a very important part of the process.
[00:09:18.420 --> 00:09:18.420]   The freedom of time is a very important part of the process.
[00:09:18.420 --> 00:09:18.420]   The freedom of time is a very important part of the process.
[00:09:18.420 --> 00:09:18.420]   The freedom of time is a very important part of the process.
[00:09:18.420 --> 00:09:18.420]   The freedom of time is a very important part of the process.
[00:09:18.420 --> 00:09:18.420]   The freedom of time is a very important part of the process.
[00:09:18.420 --> 00:09:18.420]   The freedom of time is a very important part of the process.
[00:09:18.420 --> 00:09:18.420]   The freedom of time is a very important part of the process.
[00:09:18.420 --> 00:09:18.420]   The freedom of time is a very important part of the process.
[00:09:18.420 --> 00:09:18.420]   The freedom of time is a very important part of the process.
[00:09:18.420 --> 00:09:18.420]   The freedom of time is a very important part of the process.
[00:09:18.420 --> 00:09:18.420]   The freedom of time is a very important part of the process.
[00:09:18.420 --> 00:09:48.440]   the freedom of time is a very important part of the process.
[00:09:48.440 --> 00:09:48.440]   The freedom of time is a very important part of the process.
[00:09:48.440 --> 00:09:48.440]   The freedom of time is a very important part of the process.
[00:09:48.440 --> 00:09:48.440]   The freedom of time is a very important part of the process.
[00:09:48.440 --> 00:09:48.440]   The freedom of time is a very important part of the process.
[00:09:48.440 --> 00:09:48.440]   The freedom of time is a very important part of the process.
[00:09:48.440 --> 00:09:48.440]   The freedom of time is a very important part of the process.
[00:09:48.440 --> 00:09:48.440]   The freedom of time is a very important part of the process.
[00:09:48.440 --> 00:09:48.440]   The freedom of time is a very important part of the process.
[00:09:48.460 --> 00:10:18.460]   The freedom of time is a very important part of the process.
[00:10:18.460 --> 00:10:18.460]   The freedom of time is a very important part of the process.
[00:10:18.460 --> 00:10:18.460]   The freedom of time is a very important part of the process.
[00:10:18.460 --> 00:10:18.460]   The freedom of time is a very important part of the process.
[00:10:18.460 --> 00:10:18.460]   The freedom of time is a very important part of the process.
[00:10:18.460 --> 00:10:18.460]   The freedom of time is a very important part of the process.
[00:10:18.460 --> 00:10:18.460]   The freedom of time is a very important part of the process.
[00:10:18.460 --> 00:10:18.460]   The freedom of time is a very important part of the process.
[00:10:18.460 --> 00:10:18.460]   The freedom of time is a very important part of the process.
[00:10:18.460 --> 00:10:18.460]   The freedom of time is a very important part of the process.
[00:10:18.460 --> 00:10:18.460]   The freedom of time is a very important part of the process.
[00:10:18.460 --> 00:10:18.460]   The freedom of time is a very important part of the process.
[00:10:18.460 --> 00:10:18.460]   The freedom of time is a very important part of the process.
[00:10:18.460 --> 00:10:18.460]   The freedom of time is a very important part of the process.
[00:10:18.460 --> 00:10:48.480]   The freedom of time is a very important part of the process.
[00:10:48.480 --> 00:10:48.480]   The freedom of time is a very important part of the process.
[00:10:48.480 --> 00:10:48.480]   The freedom of time is a very important part of the process.
[00:10:48.480 --> 00:10:48.480]   The freedom of time is a very important part of the process.
[00:10:48.480 --> 00:10:48.480]   The freedom of time is a very important part of the process.
[00:10:48.480 --> 00:10:48.480]   The freedom of time is a very important part of the process.
[00:10:48.480 --> 00:10:48.480]   The freedom of time is a very important part of the process.
[00:10:48.500 --> 00:11:18.500]   I'm grateful that my wife and my children can do that,
[00:11:18.500 --> 00:11:18.500]   I'm grateful that my wife and my children can do that,
[00:11:18.500 --> 00:11:18.500]   I'm grateful that my wife and my children can do that,
[00:11:18.500 --> 00:11:18.500]   even if I can't.
[00:11:18.500 --> 00:11:18.500]   I had an experience when I was a financial advisor
[00:11:18.500 --> 00:11:18.500]   I had an experience when I was a financial advisor
[00:11:18.500 --> 00:11:18.500]   where I called on a prospective client and it was about 9:30 in the morning.
[00:11:18.500 --> 00:11:18.500]   I was invited to their home and I'm sitting at the kitchen table and this husband and wife
[00:11:18.500 --> 00:11:18.500]   are just simply sitting there lingering over their coffee to meet with me and they didn't seem to have any real pressing need to brush out the door and get to work.
[00:11:18.500 --> 00:11:18.500]   We're just having a leisurely conversation
[00:11:18.500 --> 00:11:18.500]   and we're just having a leisurely conversation and we're just having a leisurely conversation
[00:11:18.500 --> 00:11:18.500]   and we're just having a leisurely conversation and we're just having a very important part of the process.
[00:11:18.540 --> 00:11:48.520]  ,
[00:11:48.520 --> 00:11:48.520]   and we're just having a very important part of the process.
[00:11:48.540 --> 00:12:18.540]   The freedom over time is really, really compelling.
[00:12:18.540 --> 00:12:18.540]   And when you get away from all of those institutional constraints
[00:12:18.540 --> 00:12:18.540]   and when you get away from all of those institutional constraints
[00:12:18.540 --> 00:12:18.540]   and when you get away from all of those institutional constraints
[00:12:18.540 --> 00:12:18.540]   and when you get away from all of those institutional constraints
[00:12:18.540 --> 00:12:18.540]   and when you get away from all of those institutional constraints
[00:12:18.540 --> 00:12:18.540]   and when you get away from all of those institutional constraints
[00:12:18.540 --> 00:12:18.540]   and when you get away from all of those institutional constraints
[00:12:18.540 --> 00:12:18.540]   and when you get away from all of those institutional constraints
[00:12:18.540 --> 00:12:18.540]   and when you get away from all of those institutional constraints
[00:12:18.540 --> 00:12:18.540]   and when you get away from all of those institutional constraints
[00:12:18.540 --> 00:12:18.540]   and when you get away from all of those institutional constraints
[00:12:18.540 --> 00:12:18.540]   and when you get away from all of those institutional constraints
[00:12:18.540 --> 00:12:18.540]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:12:18.540 --> 00:12:18.540]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:12:18.580 --> 00:12:48.560]  ,
[00:12:48.560 --> 00:12:48.560]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:12:48.560 --> 00:12:48.560]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:12:48.560 --> 00:12:48.560]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:12:48.560 --> 00:12:48.560]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:12:48.560 --> 00:12:48.560]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:12:48.560 --> 00:12:48.560]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:12:48.560 --> 00:12:48.560]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:12:48.580 --> 00:13:18.580]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:13:18.580 --> 00:13:18.580]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:13:18.580 --> 00:13:18.580]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:13:18.580 --> 00:13:18.580]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:13:18.580 --> 00:13:18.580]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:13:18.580 --> 00:13:18.580]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:13:18.580 --> 00:13:18.580]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:13:18.580 --> 00:13:18.580]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:13:18.580 --> 00:13:18.580]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:13:18.580 --> 00:13:18.580]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:13:18.580 --> 00:13:48.600]  ,
[00:13:48.600 --> 00:13:48.600]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:13:48.600 --> 00:13:48.600]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:13:48.600 --> 00:13:48.600]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:13:48.600 --> 00:13:48.600]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:13:48.600 --> 00:13:48.600]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:13:48.600 --> 00:13:48.600]   and when you get away from all of those institutional constraints and when you're not feeling well,
[00:13:48.620 --> 00:14:18.620]   I don't know that we'll always continue that. There's arguments against that to take a summer break, things like that.
[00:14:18.620 --> 00:14:18.620]   But at the moment, we just do school year-round unless we've decided to not do school.
[00:14:18.620 --> 00:14:18.620]   So if we're going to go travel for a week, then we just don't do school for a week.
[00:14:18.620 --> 00:14:18.620]   We just do school year-round unless we've decided to not do school.
[00:14:18.620 --> 00:14:18.620]   So if we're going to go travel for a week, then we just don't do school for a week.
[00:14:18.620 --> 00:14:18.620]   So if we're going to go travel for a week, then we just don't do school for a week.
[00:14:18.620 --> 00:14:18.620]   So if we're going to go travel for a week, then we just don't do school for a week.
[00:14:18.620 --> 00:14:18.620]   So if we're going to go travel for a week, then we just don't do school for a week.
[00:14:18.620 --> 00:14:48.640]  ,
[00:14:48.640 --> 00:14:48.640]   So if we're going to go travel for a week, then we just don't do school for a week.
[00:14:48.640 --> 00:14:48.640]   So if we're going to go travel for a week, then we just don't do school for a week.
[00:14:48.640 --> 00:14:48.640]   So if we're going to go travel for a week, then we just don't do school for a week.
[00:14:48.640 --> 00:14:48.640]   So if we're going to go travel for a week, then we just don't do school for a week.
[00:14:48.640 --> 00:14:48.640]   So if we're going to go travel for a week, then we just don't do school for a week.
[00:14:48.640 --> 00:14:48.640]   So if we're going to go travel for a week, then we just don't do school for a week.
[00:14:48.640 --> 00:14:48.640]   So if we're going to go travel for a week, then we just don't do school for a week.
[00:14:48.660 --> 00:15:18.660]   You can buy a weird scheduling ticket combination that saves you hundreds or thousands of dollars
[00:15:18.660 --> 00:15:18.660]   You can buy a weird scheduling ticket combination that saves you hundreds or thousands of dollars
[00:15:18.660 --> 00:15:18.660]   You can buy a weird scheduling ticket combination that saves you hundreds or thousands of dollars
[00:15:18.660 --> 00:15:18.660]   You can buy a weird scheduling ticket combination that saves you hundreds or thousands of dollars
[00:15:18.660 --> 00:15:18.660]   You can buy a weird scheduling ticket combination that saves you hundreds or thousands of dollars
[00:15:18.660 --> 00:15:18.660]   You can buy a weird scheduling ticket combination that saves you hundreds or thousands of dollars
[00:15:18.660 --> 00:15:18.660]   You can buy a weird scheduling ticket combination that saves you hundreds or thousands of dollars
[00:15:18.660 --> 00:15:18.660]   You can buy a weird scheduling ticket combination that saves you hundreds or thousands of dollars
[00:15:18.660 --> 00:15:18.660]   You can buy a weird scheduling ticket combination that saves you hundreds or thousands of dollars
[00:15:18.660 --> 00:15:18.660]   You can buy a weird scheduling ticket combination that saves you hundreds or thousands of dollars
[00:15:18.660 --> 00:15:18.660]   You can buy a weird scheduling ticket combination that saves you hundreds or thousands of dollars
[00:15:18.660 --> 00:15:18.660]   You can buy a weird scheduling ticket combination that saves you hundreds or thousands of dollars
[00:15:48.680 --> 00:15:48.680]   You can buy a weird scheduling ticket combination that saves you hundreds or thousands of dollars
[00:15:48.680 --> 00:15:48.680]   You can buy a weird scheduling ticket combination that saves you hundreds or thousands of dollars
[00:15:48.680 --> 00:15:48.680]   You can buy a weird scheduling ticket combination that saves you hundreds or thousands of dollars
[00:15:48.680 --> 00:15:48.680]   You can buy a weird scheduling ticket combination that saves you hundreds or thousands of dollars
[00:16:18.700 --> 00:16:18.700]   ------
[00:16:18.700 --> 00:16:18.700]   ------
[00:16:18.700 --> 00:16:48.720]   ------ ------ ------ ------ ------ ------ ------ ------ ----- ------ ------ ------ ----- ----- ------ ------ ----- ----- ----- ----- ----- ----- - ----- - ----- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 2. 3.0 is a good schedule.
[00:16:48.720 --> 00:16:48.720]   from home education. There are many people who move a lot who develop community and other ways.
[00:16:48.740 --> 00:17:18.740]   But I think that moving constantly leads to a much less strong local physical community of people. But with that caveat, if you homeschool and if you also have a location independent income, again, not next show but later show in the series, if you homeschool, then you have total freedom of geographic movement because you can do schooling anywhere in the world. So literally the entire world is a home.
[00:17:18.780 --> 00:17:48.760]   and you can do schooling anywhere in the world.
[00:17:48.760 --> 00:17:48.760]   but you can do the same thing for all of us.
[00:17:48.760 --> 00:17:48.760]   and you can do the same thing for all of us.
[00:17:48.760 --> 00:17:48.760]   and you can do the same thing for all of us.
[00:17:48.760 --> 00:17:48.760]   but you can do the same thing for all of us.
[00:17:48.760 --> 00:17:48.760]   but you can do the same thing for all of us.
[00:17:48.760 --> 00:17:48.760]   but you can do the same thing for all of us.
[00:17:48.760 --> 00:17:48.760]   but you can do the same thing for all of us.
[00:17:48.760 --> 00:17:48.760]   but you can do the same thing for all of us.
[00:17:48.760 --> 00:17:48.760]   but you can do the same thing for all of us.
[00:17:48.760 --> 00:17:48.760]   but you can do the same thing for all of us.
[00:17:48.760 --> 00:17:48.760]   but you can do the same thing for all of us.
[00:17:48.760 --> 00:17:48.760]   but you can do the same thing for all of us.
[00:17:48.760 --> 00:17:48.760]   but you can do the same thing for all of us.
[00:17:48.760 --> 00:17:48.760]   but you can do the same thing for all of us. but you can do the same thing for all of us.
[00:17:48.780 --> 00:18:18.780]   but you can do the same thing for all of us. but you can do the same thing for all of us.
[00:18:18.780 --> 00:18:18.780]   and you can do the same thing for all of us.
[00:18:18.780 --> 00:18:18.780]   and you can do the same thing for all of us.
[00:18:18.780 --> 00:18:18.780]   and you can do the same thing for all of us.
[00:18:18.780 --> 00:18:18.780]   and you can do the same thing for all of us.
[00:18:18.780 --> 00:18:18.780]   and you can do the same thing for all of us.
[00:18:18.780 --> 00:18:18.780]   and you can do the same thing for all of us.
[00:18:18.780 --> 00:18:18.780]   and you can do the same thing for all of us.
[00:18:18.780 --> 00:18:18.780]   and you can do the same thing for all of us.
[00:18:18.780 --> 00:18:18.780]   and you can do the same thing for all of us.
[00:18:18.780 --> 00:18:18.780]   and you can do the same thing for all of us.
[00:18:18.780 --> 00:18:18.780]   and you can do the same thing for all of us.
[00:18:18.780 --> 00:18:18.780]   and you can do the same thing for all of us.
[00:18:18.780 --> 00:18:18.780]   and you can do the same thing for all of us.
[00:18:18.780 --> 00:18:48.800]  ,
[00:18:48.800 --> 00:18:48.800]   and you can do the same thing for all of us.
[00:18:48.800 --> 00:18:48.800]   and you can do the same thing for all of us.
[00:18:48.800 --> 00:18:48.800]   and you can do the same thing for all of us.
[00:18:48.800 --> 00:18:48.800]   and you can do the same thing for all of us.
[00:18:48.800 --> 00:18:48.800]   and you can do the same thing for all of us.
[00:18:48.800 --> 00:18:48.800]   and you can do the same thing for all of us.
[00:18:48.800 --> 00:18:48.800]   and you can do the same thing for all of us.
[00:18:48.800 --> 00:18:48.800]   and you can do the same thing for all of us.
[00:18:48.800 --> 00:18:48.800]   and you can do the same thing for all of us.
[00:18:48.800 --> 00:18:48.800]   and you can do the same thing for all of us.
[00:18:48.800 --> 00:18:48.800]   and you can do the same thing for all of us.
[00:18:48.820 --> 00:19:18.820]   and you can do the same thing for all of us.
[00:19:18.820 --> 00:19:18.820]   and you can do the same thing for all of us.
[00:19:18.820 --> 00:19:18.820]   and you can do the same thing for all of us.
[00:19:18.820 --> 00:19:18.820]   and you can do the same thing for all of us.
[00:19:18.820 --> 00:19:18.820]   and you can do the same thing for all of us.
[00:19:18.820 --> 00:19:18.820]   and you can do the same thing for all of us.
[00:19:18.820 --> 00:19:18.820]   and you can do the same thing for all of us.
[00:19:18.820 --> 00:19:18.820]   and you can do the same thing for all of us.
[00:19:18.820 --> 00:19:18.820]   and you can do the same thing for all of us.
[00:19:18.820 --> 00:19:18.820]   and you can do the same thing for all of us.
[00:19:18.820 --> 00:19:18.820]   and you can do the same thing for all of us.
[00:19:18.820 --> 00:19:18.820]   and you can do the same thing for all of us.
[00:19:18.820 --> 00:19:18.820]   and you can do the same thing for all of us.
[00:19:18.820 --> 00:19:18.820]   and you can do the same thing for all of us.
[00:19:18.820 --> 00:19:18.820]   and you can do the same thing for all of us.
[00:19:18.820 --> 00:19:48.840]   and you can do the same thing for all of us.
[00:19:48.840 --> 00:19:48.840]   and you can do the same thing for all of us.
[00:19:48.840 --> 00:19:48.840]   and you can do the same thing for all of us.
[00:19:48.840 --> 00:19:48.840]   and you can do the same thing for all of us.
[00:19:48.840 --> 00:19:48.840]   and you can do the same thing for all of us.
[00:19:48.840 --> 00:19:48.840]   and you can do the same thing for all of us.
[00:19:48.840 --> 00:19:48.840]   and you can do the same thing for all of us.
[00:19:48.840 --> 00:19:48.840]   and you can do the same thing for all of us.
[00:19:48.860 --> 00:20:18.860]   and you can do the same thing for all of us.
[00:20:18.860 --> 00:20:18.860]   and you can do the same thing for all of us.
