
[00:00:00.000 --> 00:00:06.800]   In this chapter we're going to cover streaming and async in Langchain. Now both using async code
[00:09:07.660 --> 00:09:10.920]   that's an object and then you have the content the first one's actually empty
[00:09:10.920 --> 00:09:18.820]   second one has that n for nlp and yeah i mean that's all we really need to know they're very simple
[00:09:18.820 --> 00:09:26.660]   objects but they're actually quite useful because uh just look at this right so we can add each one of
[00:09:26.660 --> 00:09:32.560]   our ai message chunks right let's see what that does it doesn't create a list it creates this right
[00:09:32.560 --> 00:09:41.080]   so we still just have one ai message chunk ah but it's combined the content within those ai message
[00:09:41.080 --> 00:09:46.260]   chunks which is kind of cool right so for example like we could remove these
[00:09:46.260 --> 00:09:54.620]   right and then we just see nlp so that's kind of nice little feature there i do i actually quite like
[00:09:54.620 --> 00:10:00.660]   that but uh you do need to just be a little bit careful because obviously you can do that the wrong
[00:10:00.660 --> 00:10:08.280]   way and you're going to get like a i don't know what that is some weird token salad so yeah you need to
[00:10:08.280 --> 00:10:14.420]   just make sure you are going to be merging those in the correct order unless you i don't know unless
[00:10:14.420 --> 00:10:21.320]   you're doing something weird okay cool so streaming that that was streaming from a lm let's have a look
[00:10:21.320 --> 00:10:30.240]   at streaming with agents so we it gets a bit more complicated to be completely honest but we also
[00:10:30.240 --> 00:10:35.420]   need to things are going to get a bit more complicated so that we can implement this in
[00:10:35.420 --> 00:10:44.340]   for example an api right there is it's kind of like a necessary thing in any case so to just very
[00:10:44.340 --> 00:10:51.320]   quickly we're going to construct our agent executor like we did in the agent execution chapter and for
[00:10:51.320 --> 00:10:57.360]   that for the agent executor we're going to need tools chat prompt template lm agent and the agent
[00:10:57.360 --> 00:11:03.040]   executor itself okay very quickly i'm not going to go through these in detail we just define our tools
[00:11:03.040 --> 00:11:09.340]   you know add multiply exponentiate subtract and final answer tool merge those into a single list
[00:11:09.340 --> 00:11:16.460]   of tools then we have our prompt template again same as before we just have system message we have chat
[00:11:16.460 --> 00:11:24.300]   history we have query and then we have the agent scratch pad for those intermediate steps then we
[00:11:24.300 --> 00:11:31.740]   define our agent using lcell lcell works quite well with both streaming and async by the way it supports
[00:11:31.740 --> 00:11:41.580]   both out of the box which is nice so we define our agent then coming down here we're going to create
[00:11:41.580 --> 00:11:47.900]   agent executor this is the same as before all right so there's nothing new in here i don't think so just
[00:11:47.900 --> 00:11:57.500]   initialize our agent things there then it's yeah we're looping through looping through yeah nothing
[00:11:57.500 --> 00:12:05.740]   nothing new there so we're just executing we're invoking our agent seeing if there's a tool call uh this
[00:12:05.740 --> 00:12:09.420]   is slightly we could shift this to before or after it doesn't actually matter that much
[00:12:10.700 --> 00:12:18.140]   so we're checking if it's final answer if not we continue we're extra tools and so on okay cool
[00:12:18.140 --> 00:12:25.340]   so then we can invoke that okay we go what is 10 plus 10
[00:12:25.340 --> 00:12:37.580]   there we go right so we have our agent executor it is working now when we are running our agent executor with
[00:12:37.580 --> 00:12:44.940]   every new query if we're putting this into an api we're probably going to need to provide it with a
[00:12:44.940 --> 00:12:51.100]   fresh callback handler okay so this is the callback handler is what's going to handle uh taking the
[00:12:51.100 --> 00:12:57.740]   tokens that are being generated by a lem or agent and giving them to some other piece of code like for
[00:12:57.740 --> 00:13:07.740]   example the the streaming response for an api and our core handler is going to put those tokens in a queue in
[00:13:07.740 --> 00:13:14.220]   our case and then our for example the streaming object is going to pick them up from the queue and put them
[00:13:14.220 --> 00:13:23.020]   wherever they need to be so to allow us to do that with every new query rather than us needing to initialize
[00:13:23.020 --> 00:13:30.300]   everything when we actually initialize our agent we can add a configurable field to our lem okay
[00:13:30.300 --> 00:13:36.620]   so we set the configurable fields here oh also one thing is that we set streaming equal to true that's
[00:13:36.620 --> 00:13:43.180]   very minor thing but just so you see that there we do do that so we add some configurable fields to our
[00:13:43.180 --> 00:13:51.340]   lm which means we can basically pass an object in for these on every new invocation so we set our
[00:13:51.340 --> 00:13:56.780]   configurable field it's going to be called callbacks and we just add a description right there's nothing
[00:13:56.780 --> 00:14:07.820]   more to it so this will now allow us to provide that field when we're invoking our agent okay now we need
[00:14:07.820 --> 00:14:14.380]   to define our callback handler and as i mentioned what is basically going to be happening is this callback
[00:14:14.380 --> 00:14:22.140]   handler is going to be passing tokens into our async io queue object and then we're going to be picking
[00:14:22.140 --> 00:14:28.780]   them up from the queue elsewhere okay so we can call it a queue callback handler okay and that is
[00:14:28.780 --> 00:14:33.980]   inheriting from the async callback handler because we want all this to be done asynchronously because
[00:14:33.980 --> 00:14:39.820]   we're thinking here about okay how do we implement all this stuff within apis and actual real world code
[00:14:39.820 --> 00:14:46.380]   and we we do want to be doing all this in async so let me execute that and i'll just explain a little
[00:14:46.380 --> 00:14:52.380]   bit of what we're looking at so we have the initialization right it's nothing nothing specific
[00:14:52.380 --> 00:14:58.540]   here we just what we really want to be doing is we want to be setting our queue object assigning that to
[00:14:58.540 --> 00:15:05.580]   the class attributes and then there's also this final answer scene which we're setting to false so
[00:15:05.580 --> 00:15:14.140]   what we're going to be using that for is we our lm will be streaming tokens towards whilst it's using its
[00:15:14.140 --> 00:15:19.100]   tool calling and we might not want to display those immediately or we might want to display them in a
[00:15:19.100 --> 00:15:28.540]   different way so by setting this final answer scene to false whilst our lm is outputting those tool
[00:15:28.540 --> 00:15:34.060]   tokens we can handle them in a different way and then as soon as we see that it's done with the tool
[00:15:34.060 --> 00:15:37.980]   calls and it's on to the final answer which is actually another tool call but once we see that it's
[00:15:37.980 --> 00:15:44.460]   on to the final answer tool call we can set this true and then we can start processing our tokens in
[00:15:44.460 --> 00:15:52.860]   a you know different way essentially okay so we have that then we have this a iter method this is required
[00:15:52.860 --> 00:16:00.940]   for any async generator object so what that is going to be doing is going to iterating through right it's
[00:16:00.940 --> 00:16:06.940]   a generator it's going to be going iterating through and saying okay if our queue is empty right this is
[00:16:06.940 --> 00:16:13.900]   the queue that we set up here if it's empty wait a moment right we use the sleep method here and this
[00:16:13.900 --> 00:16:20.940]   is an async sleep method this is super important we're using we're awaiting for an asynchronous sleep
[00:16:20.940 --> 00:16:27.820]   all right so whilst we're whilst we're waiting for that 0.1 seconds our our code can be doing other
[00:16:27.820 --> 00:16:35.100]   things right that that is important if we if we use i think the standard is time.sleep that is not
[00:16:35.100 --> 00:16:41.900]   asynchronous and so it will actually block the thread for that 0.1 seconds so we don't want that to happen
[00:16:41.900 --> 00:16:47.900]   generally our queue should probably not be empty that frequently given how quickly tokens are going
[00:16:47.900 --> 00:16:56.860]   to be added to the queue so the only way that this would potentially be empty is maybe our lm stops maybe
[00:16:56.860 --> 00:17:03.020]   there's like a connection interruption for a you know brief second or something and no tokens are added so in
[00:17:03.020 --> 00:17:08.380]   that case we don't actually do anything we don't keep checking the queue we just wait a moment okay
[00:17:08.380 --> 00:17:15.500]   and then we check again now if it was empty we wait and then we continue on to the next iteration
[00:17:15.500 --> 00:17:22.860]   otherwise it probably won't be empty we get whatever is from our inside our queue we get that out pull it out
[00:17:23.580 --> 00:17:33.020]   then we say okay if that token is a done token we're going to return so we're going to stop this generator
[00:17:33.020 --> 00:17:39.180]   right we're finished otherwise if it's something else we're going to yield that token which means we're
[00:17:39.180 --> 00:17:46.860]   we're returning that token but then we're continuing through that loop again right so that is our generator
[00:17:46.860 --> 00:17:53.340]   logic then we have some other methods here these are l these are line chain specific
[00:17:53.340 --> 00:18:01.900]   okay we have on lm new token and we have on lm end starting with on lm new token this is basically
[00:18:01.900 --> 00:18:09.900]   when an lm returns a token to us line chain is going to run or execute this method okay this is the method
[00:18:09.900 --> 00:18:15.420]   that will be called what this is going to do is it's going to go into the keyword arguments and it's
[00:18:15.420 --> 00:18:21.420]   going to get the chunk object so this is coming from our lm if there is something in that chunk
[00:18:21.420 --> 00:18:29.260]   it's going to check for a final answer tool call first okay so we get our tool calls and we say
[00:18:29.260 --> 00:18:35.820]   if the name within our chunk right probably this will be empty most of the tokens will return
[00:18:35.820 --> 00:18:41.580]   right so you remember before when we're looking at the chunks here this is what we're looking at right
[00:18:41.580 --> 00:18:46.140]   the content for us is actually always going to be empty and instead we're actually going to get the
[00:18:46.140 --> 00:18:52.300]   additional keyword args here and inside there we're going to have our tool calling our tool calls as we
[00:18:52.300 --> 00:18:58.140]   saw in the previous videos right so that's what we're extracting we're extracting that information
[00:18:58.140 --> 00:19:05.100]   that's why we're going additional keyword args right and get those tool the tool call information
[00:19:05.100 --> 00:19:11.340]   right or it will be none right so if if it is none i don't think it ever would be none to be honest it
[00:19:11.340 --> 00:19:16.460]   would be strange if it's none i think that means something would be wrong okay so here we're using
[00:19:16.460 --> 00:19:23.660]   the walrus operator so the walrus operator what it's doing here is whilst we're checking the if logic here
[00:19:24.860 --> 00:19:31.340]   whilst we do that it's also assigning whatever is inside this it's assigning over to tool calls
[00:19:31.340 --> 00:19:38.380]   and then with the if we're checking where the tool calls is well something or none right because we're
[00:19:38.380 --> 00:19:45.660]   using get here so if if this get operation fails and there is no tool calls this object here will be
[00:19:45.660 --> 00:19:53.660]   equal to none which gets assigned to tool calls here and then this this if none will return false and this
[00:19:53.660 --> 00:20:00.460]   logic will not run okay and it will just continue if this is true so if there is something returned here
[00:20:00.460 --> 00:20:06.620]   we're going to check if that something returned is using the function name or tool name final answer if it
[00:20:06.620 --> 00:20:13.100]   is we're going to set our finance scene equal to true otherwise we're just going to add our chunk into
[00:20:13.100 --> 00:20:18.860]   the queue okay we use put no weight here because we're we're using async otherwise if you were not
[00:20:18.860 --> 00:20:26.220]   using async i think you might just put weight or maybe even put put like no okay you would you'd use
[00:20:26.220 --> 00:20:32.780]   put if it's just synchronous code but i i don't think i've ever implemented this synchronously so it would
[00:20:32.780 --> 00:20:41.900]   actually just be put no weight for async okay and then return so we have that then we have on llm end
[00:20:41.900 --> 00:20:50.620]   okay so this is when line chain sees that the llm has returned or indicated that it is finished with
[00:20:50.620 --> 00:21:00.300]   the response line chain will call this so you you have to be aware that this will happen multiple times
[00:21:00.300 --> 00:21:08.460]   during agent execution because if you think within our agent executor we're hitting the llm multiple
[00:21:08.460 --> 00:21:14.700]   times we have that first step where it's deciding oh i'm going to use the add tool or the multiply tool
[00:21:14.700 --> 00:21:21.340]   and then that response gets back towards we execute that tool and then we pass the output from that tool
[00:21:21.340 --> 00:21:25.980]   and all the the original user query in the chat history we pass that back to our llm again
[00:21:25.980 --> 00:21:29.820]   all right so that's another call to our llm that's going to come back it's going to finish
[00:21:29.820 --> 00:21:34.300]   all right it's going to give us something else right so there's multiple llm calls happening
[00:21:34.300 --> 00:21:41.340]   throughout our agent execution logic so this on llm call will actually get called at the end of every
[00:21:41.340 --> 00:21:50.060]   single one of those llm calls now if we get to the end of our llm call and it was just a it was a tool
[00:21:50.060 --> 00:21:59.180]   invocation so we had the you know it called the add tool we don't want to put the done token into our queue
[00:21:59.180 --> 00:22:04.540]   because when the done token is added to our queue we're going to stop iterating okay
[00:22:04.540 --> 00:22:12.140]   instead if it was just a tool call we're going to say step end right and we'll actually get this token
[00:22:12.140 --> 00:22:20.220]   back so this is useful on for example the front end you could have okay i've i've used the add tool
[00:22:20.220 --> 00:22:27.020]   these are the parameters and it's the end of the set so you could have that your tool call is being
[00:22:27.020 --> 00:22:31.900]   used on some front end and when as soon as it sees step end it knows okay we're done with that here was
[00:22:31.900 --> 00:22:38.300]   the response right and it can just show you that and we're going to use that we'll see that soon but
[00:22:38.300 --> 00:22:43.340]   let's say we get to the final answer tool we're on the final answer tool and then we get this signal
[00:22:43.340 --> 00:22:52.060]   that the llm has finished then we need to stop iterating otherwise our our stream generator is
[00:22:52.060 --> 00:22:56.540]   just going to keep going forever right nothing's going to stop it or maybe it will time out i don't
[00:22:56.540 --> 00:23:04.300]   think it will though so at that point we need to send okay stop right we need to say we're done and
[00:23:04.300 --> 00:23:11.660]   and then that will that will come back to here to our iterator and to our async iterator and it will
[00:23:11.660 --> 00:23:19.340]   return and stop the generator okay so that's the core logic that we have inside that i know there's a
[00:23:19.340 --> 00:23:27.500]   lot going on there it's but we need all of this so it's important to be aware of it okay so now let's see
[00:23:27.500 --> 00:23:37.100]   how we might actually call our agent with all this streaming in this way so we're going to initialize
[00:23:37.100 --> 00:23:42.860]   our queue i'm going to use that to initialize a streamer okay using the the custom streamer that
[00:23:42.860 --> 00:23:48.940]   we just sell custom callback handler whatever you want to call it okay then i'm going to define a
[00:23:48.940 --> 00:23:54.700]   function so this is an asynchronous function it has to be if we're using async and what it's going to do is
[00:23:54.700 --> 00:24:02.860]   it's going to call our agent with a config here and we're going to pass it that call the the callback
[00:24:02.860 --> 00:24:07.660]   which is the streamer right note here i'm not calling the agent executor i'm just calling the agent
[00:24:07.660 --> 00:24:15.020]   right so the uh if we come back up here we're calling this all right so that's not going to include all the
[00:24:15.020 --> 00:24:23.660]   tool execution logic and importantly we're calling the agent with the config that uses callbacks right
[00:24:23.660 --> 00:24:28.460]   so this this configurable fields here from our lm is actually being fed through it propagates through to
[00:24:28.460 --> 00:24:35.500]   our agent object as well to the runnable serializable all right so that's what we're executing here we see
[00:24:35.500 --> 00:24:41.980]   agent with config and we're passing in those callbacks which is just one actually okay so that sets up our
[00:24:41.980 --> 00:24:48.860]   agent and then we invoke it with a stream okay like we did before and we're just going to return everything
[00:24:48.860 --> 00:24:57.100]   so let's uh run that okay and we see all the token or the chunk objects are being returned and this is
[00:24:57.100 --> 00:25:04.140]   useful to understand what we're actually doing up here all right so when we're doing this chunk message
[00:25:04.140 --> 00:25:09.260]   additional cake keyword arguments all right we can see that in here so this would be the chunk message
[00:25:09.260 --> 00:25:15.820]   object we get the additional keyword logs we go into tool calls and we get the information here so we
[00:25:15.820 --> 00:25:23.660]   have the id for that tool call which we saw in the previous chapters then we have our function right so the
[00:25:23.660 --> 00:25:29.580]   function includes the name right so we know what tool we're calling from this first chunk but we don't
[00:25:29.580 --> 00:25:35.100]   know the arguments right those arguments are going to stream to us so we can see them begin to come
[00:25:35.100 --> 00:25:42.380]   through in the next chunk so next chunk is just it's just the first token for for the add function
[00:25:42.380 --> 00:25:49.420]   right and we can see these all come together over multiple steps and we actually get all of our arguments
[00:25:50.060 --> 00:25:58.380]   okay that's pretty cool so actually one thing i would like to show you here as well so if we just do token
[00:25:58.380 --> 00:26:04.700]   equals tokens sorry and we do
[00:26:04.700 --> 00:26:09.660]   tokens dot append token
[00:26:09.660 --> 00:26:19.260]   okay we have all of our tokens in here now all right see that they're all ai message chunks
[00:26:19.260 --> 00:26:24.780]   so we can actually add those together all right so let's we'll go with these
[00:26:24.780 --> 00:26:30.060]   here and based on these we're going to get all the arguments okay so this is kind of interesting
[00:26:30.060 --> 00:26:35.660]   so it's one until i think like the second to last maybe
[00:26:35.660 --> 00:26:45.820]   right so we have these and actually we just want to add those together so i'm going to go with tokens
[00:26:46.620 --> 00:27:00.380]   one and i'm just going to go four uh four token in we're going to go from the second onwards i'm going
[00:27:00.380 --> 00:27:07.900]   to tk plus token right and let's see what tk looks like at the end here tk
[00:27:11.020 --> 00:27:20.700]   okay so now you see it's kind of merged all those um arguments here sorry plus equal okay so run that
[00:27:20.700 --> 00:27:24.940]   and you can see here that it's merged those arguments it didn't get all of them so i kind of missed some
[00:27:24.940 --> 00:27:30.220]   at the end there but it's merging them right so you can see that that logic where it's you know before it
[00:27:30.220 --> 00:27:37.580]   was adding the content from various trunks it also does the same for the other parameters within your
[00:27:37.580 --> 00:27:43.020]   chunk object which is i i think it's pretty cool you can see here the name wasn't included that's
[00:27:43.020 --> 00:27:49.740]   because we started on token one or on token zero where the name was so if we actually started from token
[00:27:49.740 --> 00:27:55.660]   zero and let's just let's just pull them in there all right so from one onwards
[00:27:55.660 --> 00:28:04.860]   we're going to get a complete ai message chunk which includes the name here and all of those arguments
[00:28:04.860 --> 00:28:08.860]   and you'll you'll see also here right populate everything which is pretty cool
[00:28:08.860 --> 00:28:16.700]   okay so we have that now based on this we're going to want to modify our custom agent
[00:28:16.700 --> 00:28:24.220]   executor because we're streaming everything right so we want to add streaming inside our agent executor
[00:28:24.220 --> 00:28:30.460]   which we're doing here right so this is async def stream and we're sharing async for token in
[00:28:30.460 --> 00:28:38.460]   the a stream okay so this is like the very first instance if output is non we're just going to be
[00:28:38.460 --> 00:28:46.380]   adding our token so that the chunk sorry to our output like the first token becomes our output
[00:28:46.380 --> 00:28:55.980]   otherwise we're just appending our tokens to the output okay if the token content is empty which it should be
[00:28:55.980 --> 00:29:00.940]   right because we're using tool calls all the time we're just going to print content okay i just added
[00:29:00.940 --> 00:29:06.700]   these as so we see like print everything i just want to want to be able to see that i wouldn't expect
[00:29:06.700 --> 00:29:14.940]   this to run because we're saying it has to use tool calling okay so within our agent if we come up to here
[00:29:14.940 --> 00:29:20.380]   we said tool choice any so it's been forced to use tool calling so it should never really be returning
[00:29:20.380 --> 00:29:26.140]   anything inside the content field but just in case it's there right so we'll see if that is actually
[00:29:26.140 --> 00:29:32.300]   true then we're just getting out our tool calls information okay from our trunk and we're going
[00:29:32.300 --> 00:29:36.060]   to say okay if there's something in there we're going to print what is in there okay and then we're
[00:29:36.060 --> 00:29:40.860]   going to extract our tool name if there is some if there is a tool name i'm going to show you the tool name
[00:29:40.860 --> 00:29:49.180]   then we're going to get the args and if the args are not empty we're going to see what we get in there okay
[00:29:49.180 --> 00:29:54.780]   and then from all of this we're actually going to we merge all of it into our ai message right because
[00:29:54.780 --> 00:29:58.700]   we're merging everything as we're going through merging everything into outputs as i showed you
[00:29:58.700 --> 00:30:04.540]   before okay cool and then we're just awaiting our stream that will like kick it off okay and then we
[00:30:04.540 --> 00:30:10.620]   do the the standard agent executor stuff again here right so we're just pulling out tool name tool logs
[00:30:10.620 --> 00:30:15.980]   tool call id and then we're using all that to execute our tool here and then we're creating a new tool
[00:30:15.980 --> 00:30:23.260]   message and passing that back in and then also here i move the break for the final answer into the final
[00:30:23.260 --> 00:30:29.740]   step so that is our custom agent executor with streaming and let's see what let's see what it does
[00:30:29.740 --> 00:30:33.660]   okay same verbose equal true so we see all those print statements
[00:30:36.460 --> 00:30:44.060]   okay so you can kind of see it's a little bit messy but you can see we have tool calls that had some
[00:30:44.060 --> 00:30:50.060]   stuff inside it had add here and what we're printing out here is we're printing out the full ai message
[00:30:50.060 --> 00:30:55.580]   chunk with tool calls and then i'm just printing out okay what are we actually pulling out from from that
[00:30:55.580 --> 00:31:00.780]   so these are actually coming from the same thing okay and then same here all right so we're looking at the
[00:31:00.780 --> 00:31:06.620]   full message and then we're looking okay we're getting this argument out from it okay so we can see
[00:31:06.620 --> 00:31:14.300]   everything that is being pulled out you know chunk by chunk or token by token and that's it okay so we could
[00:31:14.300 --> 00:31:20.940]   just get everything like that however right so i'm printing everything so we can see that it's streaming what if i don't print
[00:31:20.940 --> 00:31:29.660]   okay so we're setting verbose or by default verbose is equal to false here so what happens if we invoke now
[00:31:29.660 --> 00:31:31.100]   let's see
[00:31:31.100 --> 00:31:35.340]   okay
[00:31:35.340 --> 00:31:49.900]   cool we got nothing so the reason we got nothing is we're not printing but we don't if you are
[00:31:50.540 --> 00:31:57.420]   if you're building an api for example you're pulling your tokens through you can't print them
[00:31:57.420 --> 00:32:07.740]   to your like a front end or print them as to the output of your api printing goes to your terminal
[00:32:07.740 --> 00:32:15.420]   or your console window it doesn't go anywhere else instead what we want to do is we actually want to get
[00:32:15.420 --> 00:32:23.180]   those tokens out right but if but how do we do that all right so we we printed them but another place
[00:32:23.180 --> 00:32:28.460]   that those tokens are is in our queue all right because we set them up to go to the queue
[00:32:28.460 --> 00:32:39.100]   so we can actually pull them out of our queue whilst our agent executor is running and then we can do whatever
[00:32:39.100 --> 00:32:43.180]   we want with them because our code is async so it can be doing multiple things at the same time
[00:32:43.180 --> 00:32:46.540]   so whilst our code is running the agent executor
[00:32:46.540 --> 00:32:54.540]   whilst that is happening our code can also be pulling out from our queue tokens are in there and sending them
[00:32:55.180 --> 00:33:02.860]   to like an api for example right or whatever downstream logic you have so let's see what that
[00:33:02.860 --> 00:33:08.620]   looks like we start by just initializing our queue initializing our streamer with that queue then we
[00:33:08.620 --> 00:33:15.340]   create a task so this is basically saying okay i i want to run this but don't run it right now i'm not ready yet
[00:33:16.140 --> 00:33:23.900]   the reason that i say i'm not ready yet is because i also want to define here my async loop which is
[00:33:23.900 --> 00:33:30.540]   going to be printing those tokens right but this is async right so we we set this up this is like get ready
[00:33:30.540 --> 00:33:37.180]   to run this because it is async this is running right this is just running like it's there it's already
