
[00:00:00.000 --> 00:00:02.000]   Thank you.
[00:02:10.040 --> 00:02:15.080]   And then, most importantly, when you are developing an application, in order to measure the performance
[00:02:15.080 --> 00:02:21.400]   or accuracy, you need to find out what tools to use, what metrics to use, or what models are
[00:02:21.400 --> 00:02:22.400]   best.
[00:02:22.400 --> 00:02:25.740]   Because models are getting capable day by day.
[00:02:25.740 --> 00:02:27.160]   And the answer is evals.
[00:02:27.160 --> 00:02:33.840]   So, evals is the fundamental approach where you are writing, sort of, test cases to measure
[00:02:33.840 --> 00:02:36.400]   your AI applications.
[00:02:36.400 --> 00:02:39.040]   And why do they matter?
[00:02:39.040 --> 00:02:43.060]   Because without measuring something, it can have various impacts.
[00:02:43.060 --> 00:02:46.200]   It can impact your business.
[00:02:46.200 --> 00:02:50.160]   You need to measure whatever system output is being produced.
[00:02:50.160 --> 00:02:53.040]   How do you align your application with system goals?
[00:02:53.040 --> 00:02:56.880]   Or, one of the important aspects is how do you keep getting better?
[00:02:56.880 --> 00:03:00.180]   Because applications are, you are developing applications day by day.
[00:03:00.180 --> 00:03:02.880]   And you need to make sure it is getting better.
[00:03:02.880 --> 00:03:04.520]   And then, trust and accountability.
[00:03:04.520 --> 00:03:08.680]   This is one of the aspects which is very important.
[00:03:08.680 --> 00:03:13.800]   Because whenever you are developing something for a customer, you need to make sure they trust
[00:03:13.800 --> 00:03:18.600]   your application, whatever output is being generated.
[00:03:18.600 --> 00:03:24.700]   Now, when we talk about evals, one of the important aspects to focus on is data.
[00:03:24.700 --> 00:03:30.000]   So, when we think about evals, when we think about the tests, how do we start?
[00:03:30.000 --> 00:03:33.000]   So, the very first step is starting with the data.
[00:03:33.000 --> 00:03:34.700]   Now, how do you get the data?
[00:03:34.700 --> 00:03:37.560]   So, there are a couple of approaches to get the data.
[00:03:37.560 --> 00:03:42.000]   One is you start small and you start with the synthetic data.
[00:03:42.000 --> 00:03:53.300]   You start validating your applications output against that data.
[00:03:53.300 --> 00:04:00.300]   Then, when you think about the data in evals, it's a continuous improvement process.
[00:04:00.300 --> 00:04:05.700]   It means every time you generate some output, you need to observe the system and then you need
[00:04:05.700 --> 00:04:10.700]   to keep on defining that data set, whatever data set you are procuring.
[00:04:10.700 --> 00:04:14.000]   And another aspect is you need to label your data accordingly.
[00:04:14.000 --> 00:04:17.000]   So, because data is fundamental to writing evals.
[00:04:17.000 --> 00:04:23.000]   So, you need to, when generating the data, you need to define your data set in a way where it is labeled
[00:04:23.000 --> 00:04:24.000]   into different aspects.
[00:04:24.000 --> 00:04:28.000]   It is covering multiple flows or application prospects.
[00:04:28.000 --> 00:04:29.300]   So, things like that.
[00:04:29.300 --> 00:04:32.300]   And then, you need to continuously refine that.
[00:04:32.300 --> 00:04:39.300]   Another approach which I have learned from my experience is one data set is never sufficient.
[00:04:39.300 --> 00:04:45.000]   So, when you are thinking about eval, you need to think about multiple data sets based on the flows,
[00:04:45.000 --> 00:04:48.300]   based on the applications, and whatever you are trying to achieve.
[00:04:48.300 --> 00:04:53.300]   Now, when we think about evaluation, what do we think about?
[00:04:53.300 --> 00:04:55.300]   So, what do we want to evaluate?
[00:04:55.300 --> 00:04:57.600]   The answer is everything.
[00:04:57.600 --> 00:04:59.300]   But what does that mean?
[00:04:59.300 --> 00:05:02.600]   So, you need to define, start by defining your goals and objectives.
[00:05:02.600 --> 00:05:05.600]   What do you want to evaluate in your system?
[00:05:05.600 --> 00:05:11.700]   Then you need to design in a way where you have modules defined for each of the components.
[00:05:11.700 --> 00:05:14.500]   You need to optimize your data handling.
[00:05:14.500 --> 00:05:17.000]   And I notice I am mentioning data again and again.
[00:05:17.000 --> 00:05:22.600]   But the point is, you need to have different data sets for different flows.
[00:05:22.600 --> 00:05:25.400]   You need to test your flows, outputs, and paths.
[00:05:25.400 --> 00:05:33.400]   So, if your application involves multiple flows, multiple paths, you need to evaluate in all paths.
[00:05:33.400 --> 00:05:34.600]   Now, adaptive evals.
[00:05:34.600 --> 00:05:39.900]   So, one of the previous presentation talked about, like, there is no universal eval.
[00:05:39.900 --> 00:05:46.700]   And that is, again, the most important thing because your evals depend upon what type of application you want to evaluate.
[00:05:46.700 --> 00:05:53.700]   For example, evaluating a RAG application, a typical RAG application, is different from code generation.
[00:05:53.700 --> 00:06:01.500]   If you are dealing with a RAG, typical Q&A type of application, you can define your eval such as accuracy or similarity or usefulness.
[00:06:01.500 --> 00:06:08.500]   Versus when you are generating a code, you want to test the generated code against the actual code base.
[00:06:08.500 --> 00:06:16.300]   So, that is where you need to measure your functional correctness of the code generated or how robust that code is generated.
[00:06:16.300 --> 00:06:22.300]   Then, when you are trying to evaluate agents.
[00:06:22.300 --> 00:06:27.100]   So, one of the important aspects of evaluating agents is trajectory evaluation.
[00:06:27.100 --> 00:06:30.100]   Because agents can take a different path.
[00:06:30.100 --> 00:06:35.100]   And, oftentimes, you need to define which path they are taking in order to execute a flow.
[00:06:35.100 --> 00:06:40.900]   There is also multi-term simulation where most of these agents are complex.
[00:06:40.900 --> 00:06:46.900]   And, you need to check, like, when you are having a conversation, like, how do you evaluate that?
[00:06:46.900 --> 00:06:54.900]   Then, if you are doing the tool call, then you also need to check the correctness or test suite or, like, how the data is being generated.
[00:06:54.900 --> 00:06:59.900]   Now, another aspect is how do you scale eval?
[00:06:59.900 --> 00:07:05.700]   So, one, one strategy is you can cache the intermediate results and regression.
[00:07:05.700 --> 00:07:14.700]   You need to focus on orchestration and parallelism, like, how you are running your evals, how you are orchestrating them, how you are paralyzing them.
[00:07:14.700 --> 00:07:16.700]   You need to aggregate the results.
[00:07:16.700 --> 00:07:22.700]   And then, you need, the important aspect here is, you need to run them frequently and then improve upon.
[00:07:22.700 --> 00:07:28.700]   So, one of the term which is being used in industry is measure, monitor, analyze, and repeat.
[00:07:28.700 --> 00:07:33.500]   So, you need to often measure it, you need to analyze it, and iterate on that.
[00:07:33.500 --> 00:07:36.500]   Then, you need to strategize what you want to measure.
[00:07:36.500 --> 00:07:44.500]   So, again, depending upon the use case, there are different types of matrices or different types of methodologies you need to adapt to.
[00:07:44.500 --> 00:07:52.500]   And then, again, use, there is no fixed strategy to run your eval, so use what fits best.
[00:07:52.500 --> 00:07:57.300]   In some cases, you want your humans in the loop to be taking precedence.
[00:07:57.300 --> 00:08:03.300]   In some cases, you have automation test, automation evals running in.
[00:08:03.300 --> 00:08:12.300]   There is a fine balance or trade-off between human in the loop versus automation, like whether you want the high speed versus high fidelity.
[00:08:12.300 --> 00:08:19.100]   So, again, depending upon what you want to achieve, you want to give a fine balance on that.
[00:08:19.100 --> 00:08:21.100]   And rely on process over tools.
[00:08:21.100 --> 00:08:25.100]   The reason is because tools, again, you cannot automate everything.
[00:08:25.100 --> 00:08:26.900]   So, you need to define and establish the process.
[00:08:26.900 --> 00:08:28.900]   How do you want to run the evals?
[00:08:28.900 --> 00:08:34.900]   So, these are some of the key takeaways we just talked about.
[00:08:34.900 --> 00:08:39.900]   So, one is evals are the most important aspect for AI application.
[00:08:39.900 --> 00:08:49.700]   There is a term being coined now, eval-driven development, which is, if you think about typical software like test-driven development, this is the eval-driven development.
[00:08:49.700 --> 00:08:52.700]   Define evals based on the use cases.
[00:08:52.700 --> 00:08:56.700]   You need to focus on positive as well as negative cases.
[00:08:56.700 --> 00:08:57.700]   Then, focus on the data.
[00:08:57.700 --> 00:09:00.700]   That is, I cannot emphasize enough on that.
[00:09:00.700 --> 00:09:06.700]   And then, remember to measure, monitor, analyze, iterate in a loop continuously.
[00:09:06.700 --> 00:09:10.500]   And always take a balanced approach in fidelity versus speed.
[00:09:10.500 --> 00:09:13.500]   If you have any questions, there's a barcode.
[00:09:13.500 --> 00:09:15.500]   You can come later and chat with me.
[00:09:15.500 --> 00:09:16.500]   Happy to chat more.
[00:09:16.500 --> 00:09:18.500]   And that's all from now.
[00:09:18.500 --> 00:09:20.300]   I'll see you next time.
[00:09:20.300 --> 00:09:21.300]   Bye.
[00:09:21.300 --> 00:09:22.300]   Bye.
[00:09:22.300 --> 00:09:23.300]   Bye.

