
[00:00:00.040 --> 00:00:09.800]  athi en
[00:14:18.640 --> 00:14:40.880]   And we're kind of distorting the public conversation. Machines that are superhuman in their abilities to create intimate relationships, this is like psychological and social weapons of mass destruction. If we don't regulate it, if we don't train ourselves to deal with it, it could destroy the foundations of human society.
[00:14:40.880 --> 00:14:41.080]   Well, one of the possible trajectories is those same algorithms will become personalized and then they will be able to be used in the future.
[00:14:41.080 --> 00:14:45.440]   Well, one of the possible trajectories is those same algorithms will become personalized and then they will be used in the future.
[00:14:45.440 --> 00:14:45.640]   Well, one of the possible trajectories is those same algorithms will become personalized and then they will be used in the future.
[00:14:45.720 --> 00:15:15.640]  , and instead of manipulating us at scale, there will be assistants that guide us to help us grow, to help us understand the world better.
[00:15:15.640 --> 00:15:15.640]   and instead of manipulating us at scale, there will be assistants that guide us to help us grow, to help us understand the world better.
[00:15:15.640 --> 00:15:15.640]   even interactions with large language models now if you ask some questions, it doesn't have that stressful drama, the tension that you have from other sources of information.
[00:15:15.640 --> 00:15:15.640]   even interactions with large language models now if you ask some questions, it doesn't have that stressful drama, the tension that you have from other sources of information.
[00:15:15.640 --> 00:15:15.640]   It has a pretty balanced perspective that it provides.
[00:15:15.640 --> 00:15:15.640]   even interactions with large language models now if you ask some questions, it doesn't have that stressful drama, the tension that you have from other sources of information.
[00:15:15.640 --> 00:15:15.640]  , the potential is there to do some kind of the potential to do you.
[00:15:15.660 --> 00:15:27.380]   have a really nice friend who's like an encyclopedia that just tells you all the different perspectives, even on controversial issues, the most controversial issues to say these are the different theories.
[00:15:27.380 --> 00:15:28.920]   have a really nice friend who's like an encyclopedia that just tells you all the different perspectives, even on controversial issues, the most controversial issues to say these are the different theories.
[00:15:28.920 --> 00:15:31.240]   These are the not widely accepted conspiracy theories, but that here's the kind of backing for those conspiracy, it just lays it all out and with a calm language without the words that kind of presume this is some kind of manipulation going on underneath it all.
[00:15:31.240 --> 00:15:45.640]   These are the not widely accepted conspiracy theories, but that here's the kind of backing for those conspiracy, it just lays it all out and with a calm language without the words that kind of presume this is some kind of manipulation going on underneath it all.
[00:15:45.680 --> 00:16:15.640]  , the not widely accepted conspiracy theories, but that here's the kind of manipulation going on underneath it all.
[00:16:15.640 --> 00:16:15.640]   It's quite refreshing, of course, those are the early days and people can step in and start to censor, to manipulate those algorithms to start to input some of the human biases in there as opposed to what's currently happening is kind of the Internet is input, compress it and have a nice little output that gives an overview of the different issues. I mean there's a lot of promise there also.
[00:16:15.660 --> 00:16:16.680]   I mean there's a lot of promise there also.
[00:16:16.680 --> 00:16:17.680]   I mean there's a lot of promise there also.
[00:16:17.680 --> 00:16:18.680]   I mean there's a lot of promise there also.
[00:16:18.680 --> 00:16:19.680]   I mean there's a lot of promise there also.
[00:16:19.680 --> 00:16:20.680]   I mean there's a lot of promise there also.
[00:16:20.680 --> 00:16:21.680]   I mean there's a lot of promise there also.
[00:16:21.680 --> 00:16:22.680]   I mean there's a lot of promise there also.
[00:16:22.680 --> 00:16:23.680]   I mean there's a lot of promise there also.
[00:16:23.680 --> 00:16:24.680]   I mean there's a lot of promise there also.
[00:16:24.680 --> 00:16:25.680]   I mean there's a lot of promise there also.
[00:16:25.680 --> 00:16:26.680]   I mean there's a lot of promise there also.
[00:16:26.680 --> 00:16:27.680]   I mean there's a lot of promise there also.
[00:16:27.680 --> 00:16:28.680]   I mean there's a lot of promise there also.
[00:16:28.680 --> 00:16:29.680]   I mean there's a lot of promise there also.
[00:16:29.680 --> 00:16:30.680]   I mean there's a lot of promise there also.
[00:16:30.680 --> 00:16:31.680]   I mean there's a lot of promise there also.
[00:16:31.720 --> 00:16:42.260]   strong
[00:16:42.260 --> 00:17:00.680]   psic. I.
[00:17:00.780 --> 00:17:10.780]   he
[00:17:10.780 --> 00:17:11.800]   conversation, è after
[00:17:11.800 --> 00:17:29.000]  ав, 3, para,,,,,, I'm the L什 doll L Public groom life Endлиз dec 있나le. Sב� las had a in the the´s, my, a, questi, the, itself, period, is, belong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, little within the release a't I'm a less 3 parce Find даже tele� necessarily Twin破それ wasn't Soρ so size of you'reesseabl нож
[00:21:43.880 --> 00:22:13.800]   I'm a little too hard to climb a tree if you want to do so many things my best will be on the chimp not on you know so I mean you have advantages on both sides and what really made us successful what made us the rulers of the planet and not the chimp and not the Neanderthals is not any individual ability but our collective ability our ability to cooperate flexibly in very large numbers.
[00:22:42.740 --> 00:22:43.860]   as far as we can tell from archeo logical evidence this was also the case with Neanderthals. Homo sapiens about 70,000 years ago gained an amazing ability to cooperate basically in unlimited numbers. You start seeing the formation of large networks, political, commercial, religious, items being traded over thousands of years.
[00:22:43.900 --> 00:22:52.780]  ür Mun M S Le De I
[00:22:52.780 --> 00:23:11.800]  ,,,,,
[00:23:11.800 --> 00:23:12.280]   misunderstood whichever fortun Show G island de belongGS anythingentiledM still
[00:23:12.560 --> 00:23:22.360]  orn
[00:23:22.360 --> 00:23:40.520]   r killer. I,
[00:23:41.220 --> 00:23:50.840]   carry
[00:23:50.840 --> 00:23:52.480]   en the. I not
[00:23:52.480 --> 00:24:08.900]   arises
[00:24:08.900 --> 00:24:11.220]   colours ♪ chats Ge
[00:25:11.300 --> 00:25:11.300]  ,
[00:25:11.300 --> 00:25:11.300]   ----
[00:25:41.320 --> 00:25:41.320]   ----
[00:25:41.360 --> 00:25:52.940]  �
[00:25:52.940 --> 00:25:55.420]   pass that. Employ.
[00:25:55.420 --> 00:26:09.280]   de calf le meno of the Last MS THC T歡迎 consistsye just the set over the this is the che the too the hear the she path the him, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,微, or, de, wasn't, х junto, vino, perceive, invest, accelerator,ăng, defer, потому, 화�, itself, s Нап,
[00:26:09.280 --> 00:26:11.360]   Ern. That's N.
[00:26:11.400 --> 00:26:39.940]   talk
[00:28:37.200 --> 00:29:04.900]   sc
[00:29:04.900 --> 00:29:06.280]  ouri astn and L, is the, is, is, is, is, es, след: include the, component, got,這, 얼� necessary. two. compelled.ר.ed.T.And.N.I can't東西 has a day and Es said Wis always cent But Go Boy and mant de bell and視 and a successor asовых andilly is a récup a perceive the remaining in join the videos.=** scrape and say.T.G."G.So, -P.G.E,
[00:29:06.680 --> 00:29:36.160]   the civilians suffer, animals can suffer. You have an army with horses and whatever, and the horses get wounded. The horses suffer. The nation can't suffer. It's just an imagination. It's just a fictional story in our minds. It doesn't feel anything. Similarly, when a bank goes bankrupt or a company goes bankrupt or when a currency loses its value, like Bitcoin is worth now zero, crashed, or the dollar is worth zero, it crashed. The dollar doesn't feel anything.
[00:29:36.180 --> 00:30:05.660]  -P.G.It's the people holding the dollar who might be now very miserable. So we have this complex situation when history is largely driven by stories, but stories are not the ultimate reality. The ultimate reality is feelings of humans, of animals, and the tragedy of history is that very often we get it, we get it, and we get it.
[00:30:05.760 --> 00:30:35.160]  ,P.G.The order is wrong. Stories are not bad. Stories are tools. They are good when we use them in order to alleviate suffering. But very often we forget it. We, instead of using the stories for our purposes, we allow the stories to use us for their purposes. And then you start entire wars because of the story. You inflict millions, suffering on millions of people.
[00:30:35.200 --> 00:30:57.260]  終 wasn
[00:30:57.260 --> 00:31:04.240]  달� сб learned saw at. And, ", bullied,
[00:31:05.220 --> 00:31:16.140]   con
[00:31:16.140 --> 00:31:34.120]   position systematic splitting go, you, you, you, you, you, ",", discourse. get the good, the good the be the be the be the Mil cam постро guten çaenn
[00:31:35.220 --> 00:31:52.240]   in certain cases, yes, you need to do it, even though it can cause tremendous suffering, but you need to be very aware of the cost and to be very, very, you have to ask yourself again and again and again, is it worth it? Is it still worth it?
[00:31:52.240 --> 00:32:01.240]   And the interesting question there implied in your statements is that suffering is a pretty good component of a Turing test for consciousness.
[00:32:01.240 --> 00:32:05.220]   This is the most important thing to ask about AI. Can it suffer?
[00:32:05.220 --> 00:32:05.220]   Корal question
[00:32:05.220 --> 00:32:05.220]   Корal question
[00:32:05.220 --> 00:32:05.220]   It's a very important question to ask about AI. Can it suffer?
[00:32:05.220 --> 00:32:05.220]   It's a very important question to ask about AI. Can it suffer?
[00:32:05.220 --> 00:32:05.220]   It's a very important question to ask about AI. Can it suffer?
[00:32:05.220 --> 00:32:05.220]   It's a very important question to ask about AI. Can it suffer?
[00:32:05.220 --> 00:32:05.220]   It's a very important question to ask about AI. Can it suffer?
[00:32:05.220 --> 00:32:05.220]   It's a very important question to ask about AI. Can it suffer?
[00:32:05.260 --> 00:32:35.240]   It's a very important question to ask about AI. Can it suffer?
[00:32:35.240 --> 00:32:35.240]   It's a very important question to ask about AI. Can it suffer?
[00:32:35.240 --> 00:32:35.240]   It's a very important question to ask about AI. Can it suffer?
[00:32:35.240 --> 00:32:35.240]   It's a very important question to ask about AI. Can it suffer?
[00:32:35.260 --> 00:33:05.260]   It's a very important question to ask about AI. Can it suffer?
[00:33:05.260 --> 00:33:05.260]   It's a very important question to ask about AI. Can it suffer?
[00:33:05.260 --> 00:33:05.260]   It's a very important question to ask about AI. Can it suffer?
[00:33:05.260 --> 00:33:05.260]   It's a very important question to ask about AI. Can it suffer?
[00:33:05.260 --> 00:33:05.260]   It's a very important question to ask about AI. Can it suffer?
[00:33:05.260 --> 00:33:05.260]   It's a very important question to ask about AI. Can it suffer?
[00:33:05.260 --> 00:33:05.260]   It's a very important question to ask about AI. Can it suffer?
[00:33:05.260 --> 00:33:05.260]   It's a very important question to ask about AI. Can it suffer?
[00:33:05.260 --> 00:33:05.260]   It's a very important question to ask about AI. Can it suffer?
[00:33:05.260 --> 00:33:05.260]   It's a very important question to ask about AI. Can it suffer?
[00:33:05.260 --> 00:33:05.260]   It's a very important question to ask about AI. Can it suffer?
[00:33:05.260 --> 00:33:35.280]  ,
[00:33:35.280 --> 00:33:35.280]   It's a very important question to ask about AI. Can it suffer?
[00:33:35.280 --> 00:33:35.280]   It's a very important question to ask about AI. Can it suffer?
[00:33:35.280 --> 00:33:35.280]   It's a very important question to ask about AI. Can it suffer?
[00:33:35.280 --> 00:33:35.280]   It's a very important question to ask about AI. Can it suffer?
[00:33:35.280 --> 00:33:35.280]   It's a very important question to ask about AI. Can it suffer?
[00:33:35.280 --> 00:33:35.280]   It's a very important question to ask about AI. Can it suffer?
[00:33:35.280 --> 00:33:35.280]   It's a very important question to ask about AI. Can it suffer?
[00:33:35.300 --> 00:34:05.300]   It's a very important question to ask about AI. Can it suffer?
[00:34:05.300 --> 00:34:05.300]   It's a very important question to ask about AI. Can it suffer?
[00:34:05.300 --> 00:34:05.300]   It's a very important question to ask about AI. Can it suffer?
[00:34:05.300 --> 00:34:05.300]   It's a very important question to ask about AI. Can it suffer?
[00:34:05.300 --> 00:34:05.300]   It's a very important question to ask about AI. Can it suffer?
[00:34:05.300 --> 00:34:05.300]   It's a very important question to ask about AI. Can it suffer?
[00:34:05.300 --> 00:34:05.300]   It's a very important question to ask about AI. Can it suffer?
[00:34:05.300 --> 00:34:05.300]   It's a very important question to ask about AI. Can it suffer?
[00:34:05.300 --> 00:34:05.300]   It's a very important question to ask about AI. Can it suffer?
[00:34:05.300 --> 00:34:05.300]   It's a very important question to ask about AI. Can it suffer?
[00:34:05.300 --> 00:34:05.300]   It's a very important question to ask about AI. Can it suffer?
[00:34:05.300 --> 00:34:05.300]   It's a very important question to ask about AI. Can it suffer? Can it suffer?
[00:34:05.340 --> 00:34:11.320]  ​ Param I the,,,
[00:34:11.320 --> 00:34:28.360]  ié slaves
[00:34:29.260 --> 00:34:40.620]   De
[00:37:22.660 --> 00:37:32.340]   d
[00:37:32.340 --> 00:37:34.220]   i in the may
[00:37:34.220 --> 00:37:36.880]   лай divert the. The, the, the, the, him, содерж, told, Hammer, Så, 허,
[00:37:36.880 --> 00:37:51.960]   .
[00:37:51.960 --> 00:37:52.640]   -I
[00:37:52.680 --> 00:38:02.300]  ,
[00:38:02.300 --> 00:38:11.880]   is. connect護
[00:38:52.400 --> 00:38:52.400]   and
[00:38:52.400 --> 00:38:52.400]   and
[00:39:22.280 --> 00:39:22.280]   and
[00:39:22.280 --> 00:39:22.280]   and
[00:39:22.280 --> 00:39:22.280]   and
[00:39:22.280 --> 00:39:22.280]   and
[00:39:22.280 --> 00:39:22.280]   and
[00:39:22.280 --> 00:39:22.320]   and
[00:39:52.360 --> 00:40:22.220]   the kind of ultimate reality. When somebody suffers, that is truth. Now, somebody can suffer because of a fictional story. Like somebody tells people that God said you must go on this crusade and kill these heretics. And this is a completely fictional story. And people believe it and they start a war and they destroy cities and kill people. The people that suffer because of that and even the crusaders themselves that also suffer the consequences of what they do, the suffering is true.
[00:40:22.220 --> 00:40:22.220]   The people that suffer because of that and even the crusaders themselves that also suffer the consequences of what they do, the suffering is true.
[00:40:22.220 --> 00:40:22.220]   The people that suffer because of that and even the crusaders themselves that also suffer the consequences of what they do, the suffering is true.
[00:40:22.220 --> 00:40:22.220]   The people that suffer because of that and even the crusaders themselves that also suffer the consequences of what they do, the suffering is true.
[00:40:22.260 --> 00:40:52.200]  ,
[00:40:52.200 --> 00:40:52.200]  ,
[00:40:52.200 --> 00:40:52.200]   even though it is caused by a fictional story. Similarly, when people agree on certain rules, the rules could come out of our imagination. Now, we can be truthful about it and say these rules didn't come from heaven, they came from our imagination. We look at sports, so we have rules for the game of football, soccer, they were invented by people. Nobody, at least,
[00:40:52.220 --> 00:40:52.740]   Nobody, at least,
[00:40:52.740 --> 00:40:52.740]   Nobody, at least,
[00:40:52.740 --> 00:40:56.080]   Nobody, at least, very few people claim that the rules of football came down from heaven.
[00:40:56.080 --> 00:40:56.480]   Yes.
[00:40:56.480 --> 00:40:57.740]   We invented them.
[00:40:57.740 --> 00:40:59.080]   And this is truthful.
[00:40:59.080 --> 00:41:03.380]   There are fictional rules invented by humans and this is true.
[00:41:03.380 --> 00:41:04.800]   They were invented by humans.
[00:41:04.800 --> 00:41:09.300]   And when you are honest about it, it enables you to change the rules,
[00:41:09.300 --> 00:41:12.240]   which is being done in football every now and then.
[00:41:12.240 --> 00:41:15.740]   It's the same with the fundamental rules of a country.
[00:41:15.740 --> 00:41:22.180]   You can pretend that the rules came down from heaven, dictated by God or whatever,
[00:41:22.180 --> 00:41:22.180]   and then you can say, "Oh, I'm not a football player."
[00:41:22.180 --> 00:41:22.180]   You can pretend that the rules came down from heaven, dictated by God or whatever, and then you can say, "Oh, I'm not a football player."
[00:41:23.120 --> 00:41:52.160]  , and then you can say, "Oh, I'm not a football player."
[00:41:52.160 --> 00:41:52.160]   You can say, "Oh, I'm not a football player."
[00:41:52.160 --> 00:41:52.160]   You can say, "Oh, I'm not a football player."
[00:41:52.160 --> 00:41:52.160]   You can say, "Oh, I'm not a football player."
[00:41:52.160 --> 00:41:52.160]   You can say, "Oh, I'm not a football player."
[00:41:52.160 --> 00:41:52.160]   You can say, "Oh, I'm not a football player."
[00:41:52.160 --> 00:41:52.160]   You can say, "Oh, I'm not a football player."
[00:41:52.160 --> 00:41:52.160]   You can say, "Oh, I'm not a football player."
[00:41:52.160 --> 00:41:52.160]   You can say, "Oh, I'm not a football player."
[00:41:52.160 --> 00:41:52.160]   You can say, "Oh, I'm not a football player."
[00:41:52.160 --> 00:41:52.160]   You can say, "Oh, I'm not a football player."
[00:41:52.160 --> 00:41:52.160]   You can say, "Oh, I'm not a football player."
[00:41:52.180 --> 00:41:52.260]   You can say, "Oh, I'm not a football player."
[00:41:52.260 --> 00:41:52.260]   You can say, "Oh, I'm not a football player."
[00:41:52.260 --> 00:42:22.140]   You can say, "Oh, I'm not a football player."
[00:42:22.140 --> 00:42:22.140]   The 10th commandment, for instance, supports slavery.
[00:42:22.140 --> 00:42:22.140]   The 10th commandment, in the 10th commandment, it says that you should not covet your neighbor's house or your neighbor's wife or your neighbor's slaves.
[00:42:22.140 --> 00:42:22.140]   It's okay to hold slaves according to the 10th commandment.
[00:42:22.140 --> 00:42:22.140]   It's just bad to covet the slaves of your neighbor.
[00:42:22.140 --> 00:42:22.140]   Now, there is no 11th commandment which says, "If you don't like some of the previous 10 commandments, this is how you go about amending them."
[00:42:22.140 --> 00:42:22.140]   Now, there is no 11th commandment which says, "If you don't like some of the previous 10 commandments, this is how you go about amending them."
[00:42:22.160 --> 00:42:44.340]   Now, in the US Constitution, you have all these rights and rules, including originally the ability to hold slaves, but the genius of the founding fathers of the United States, they had the humility to understand, maybe we don't understand everything.
[00:42:44.340 --> 00:42:44.360]   Now, in the US Constitution, you have all these rights and rules, including originally the ability to hold slaves, but the genius of the founding fathers of the United States, they had the humility to understand, maybe we don't understand everything.
[00:42:44.360 --> 00:42:45.240]   Now, in the US Constitution, you have all these rights and rules, including originally the ability to hold slaves, but the genius of the founding fathers of the United States, they had the humility to understand, maybe we don't understand everything.
[00:42:45.240 --> 00:42:46.240]   Maybe we made some mistakes, so we tell you that these rules did not come from heaven, they came from us.
[00:42:46.240 --> 00:42:52.120]   Maybe we made some mistakes, so we tell you that these rules did not come from heaven, they came from us.
[00:42:52.160 --> 00:42:58.280]  hythm más
[00:42:58.280 --> 00:43:02.140]   get the, it,
[00:43:02.140 --> 00:43:05.240]  uard trials mondo��� is the way down and get, and, de, decent, men,ği,G,G,G.G.F.G.G.G.G.G. Matt our Young has a voice that ocean odc llegri I went sound that masked the away the way. In the process. I'm the person who is the process of the person's the start the person who is the brushed the can the pele krieéd the
[00:43:45.500 --> 00:43:55.620]  ,
[00:43:55.620 --> 00:44:12.400]   gained myself,
[00:44:43.500 --> 00:44:43.500]   and
[00:44:43.500 --> 00:44:43.500]   and
[00:44:43.500 --> 00:44:43.500]   and
[00:44:43.500 --> 00:44:43.520]   and
[00:45:12.540 --> 00:45:12.540]   the
[00:45:12.540 --> 00:45:12.540]   the
[00:45:12.540 --> 00:45:12.540]   the
[00:45:12.540 --> 00:45:12.540]   the
[00:45:12.540 --> 00:45:12.540]   the
[00:45:12.540 --> 00:45:12.540]   the material interest. There are no oil fields under Jerusalem. And even oil you need it to realize some cultural fantasy.
[00:45:12.540 --> 00:45:12.540]   the the material interest. There are no oil fields under Jerusalem. And even oil you need it to realize some cultural fantasy.
[00:45:12.540 --> 00:45:12.540]   the the material interest. There are no oil fields under Jerusalem. And even oil you need it to realize some cultural fantasy.
[00:45:12.540 --> 00:45:12.540]   the the material interest. There are no oil fields under Jerusalem. And even oil you need it to realize some cultural fantasy.
[00:45:12.540 --> 00:45:12.540]   the the material interest. There are no oil fields under Jerusalem. And even oil you need it to realize some cultural fantasy.
[00:45:12.540 --> 00:45:12.540]   the the material interest. There are no oil fields under Jerusalem. And even oil you need it to realize some cultural fantasy.
[00:45:12.540 --> 00:45:12.540]   the the material interest. There are no oil fields under Jerusalem. And even oil you need it to realize some cultural fantasy.
[00:45:41.200 --> 00:45:41.440]   a
[00:45:41.440 --> 00:45:41.460]  .
[00:45:41.460 --> 00:45:41.480]   a.
[00:45:41.520 --> 00:45:44.620]  's
[00:45:44.620 --> 00:45:56.360]   S Sh Sh E, buy, têm,
[00:48:04.440 --> 00:48:14.700]   class
[00:48:14.700 --> 00:48:33.260]  iled, in the terms, I,G,
[00:48:33.340 --> 00:48:52.920]   knights, and I'm going to talk about it. But, you know, it's, you know, it's an interesting topic, and I think it's even more important, because we don't have a good way to sort of summarize and describe that. We'd like to talk about, you know, Steve Jobs, as central to the development of the computer, maybe Bill Gates, and you tell it to the stories of individuals like this, because it's just easier to tell a sexy story that way.
[00:48:52.960 --> 00:48:55.060]   light
[00:48:55.060 --> 00:49:20.760]   in the,
[00:49:21.080 --> 00:49:28.100]   the
