
[00:00:00.000 --> 00:00:20.080]   I'm going to dive right in. No introductions. If you want to follow along, get out your VS Code,
[00:03:22.740 --> 00:03:29.060]   completely. You throw out the code or you undo and you keep going. And there is a place for Yolo vibe
[00:03:29.060 --> 00:03:36.020]   coding. It's not just weird weekend things. It's rapid prototyping and proof of concept. You just want to explore.
[00:03:36.020 --> 00:03:41.220]   It's where creativity really shines and you can focus on the outcome. And that's the thing where
[00:03:41.220 --> 00:03:46.260]   vibe coding really shines. And while you do it, you can learn. You can try something in a rust code base.
[00:03:46.260 --> 00:03:54.500]   Make a rust game. Make a rust frogger. Try a different stack. Make a neon flickering rust frogger.
[00:03:54.500 --> 00:04:00.340]   Just -- and then look at the code in the end. Like, how do games work actually in rust? Have AI explain the
[00:04:00.340 --> 00:04:06.420]   code back to you. And lastly, personal projects is where we see it most. Just over the weekend,
[00:04:06.420 --> 00:04:11.300]   my kids needed an app to do X. And we build it together. And now we have an app to do X. And I'm
[00:04:11.300 --> 00:04:18.500]   not shipping it to production. But it's my app. So we can do some demos. I think the easiest way to show it
[00:04:18.500 --> 00:04:24.100]   off. Just open a new VS code window. This is my insiders. If you haven't done it -- oh, I have an update
[00:04:24.100 --> 00:04:28.820]   pending. Oh, this is insider. So it's every day something new. I'm excited. But not updating now.
[00:04:28.820 --> 00:04:35.860]   Okay. In -- so make sure you're in agent mode, which right now isn't yet the default. We're working on that.
[00:04:35.860 --> 00:04:49.300]   Same problem, I guess. Auto sharing to -- don't monitor. Change.
[00:04:49.300 --> 00:05:01.860]   Entire screen. Ta-da! Okay. Thank you. Yeah. So let's start with the -- don't care about the code.
[00:05:01.860 --> 00:05:09.620]   And one way to do this is auto-approved. If you look at chat auto-approved, it's a -- with caveats,
[00:05:09.620 --> 00:05:16.020]   cool option. And you can enable it also for, for example, your workspace only. But auto-approved
[00:05:16.020 --> 00:05:21.140]   allows you to avoid all these confirmation buttons that the chat otherwise annoyingly throws at you
[00:05:21.140 --> 00:05:27.940]   while you're trying to vibe. So while we're here, let's start this -- you see this little microphone
[00:05:27.940 --> 00:05:33.620]   button down here. And that is built into this code. It's actually a local model. Nothing leaves your
[00:05:33.620 --> 00:05:39.780]   machine. And it's really -- it's a great way to just chat with the AI. I -- you can actually send it back
[00:05:39.780 --> 00:05:46.020]   that it responds everything back to you. Let's try -- let's make our first app and then go back to the
[00:05:46.020 --> 00:05:53.700]   slides because we want to just make copilot vibe what we ask for. So, actually, the shortcut is for me is
[00:05:53.700 --> 00:06:01.860]   command I. I like that one. Let's make an app for water hydration tracking in React and Byte. It should
[00:06:01.860 --> 00:06:08.020]   use Material UI and follow nice Apple-esque design principles. So, yeah. Thank you.
[00:06:08.020 --> 00:06:16.820]   Okay. And off it goes. So, what you see now first is actually we have a create new workspace tool which
[00:06:16.820 --> 00:06:22.500]   let's you vibe code a little bit easier. It's -- let's do my --
[00:06:22.500 --> 00:06:24.980]   Is this just copilot or is this something like that?
[00:06:24.980 --> 00:06:32.100]   Just copilot. Yeah. The copilot agent load. It comes with that tool. So, demo one, two, whatever.
[00:06:32.100 --> 00:06:36.900]   It's vibe coding. So, we don't care about the code. But it has to be somewhere.
[00:06:37.940 --> 00:06:45.300]   Okay. Now, because we have the repo, our workspace, it will just continue. And now it will actually
[00:06:45.300 --> 00:06:50.740]   just see how it starts it off. Created React, workspace, water hydration tracking app, material UI,
[00:06:50.740 --> 00:06:56.580]   Apple-esque design. It made a plan in the background. And now it shares the hybrid plan with us. And it
[00:06:56.580 --> 00:06:59.860]   goes off. So, we can go back to the slides and not care about the code.
[00:07:02.660 --> 00:07:05.380]   NPM install. NPM dev. So, I trust it. It will do stuff.
[00:07:05.380 --> 00:07:08.980]   And the model used is the one that was at the bottom?
[00:07:08.980 --> 00:07:14.580]   Yes. Yeah. So, this is using Cloudson 4, which I found really good at UI. I actually ran the same
[00:07:14.580 --> 00:07:21.220]   demo with different models. 4.1 makes it look very wireframe-y. 2.5 Pro has an interesting design sense
[00:07:21.220 --> 00:07:27.060]   where it always looks somewhat different. And Cloudsonnet makes it always look like a blockchain landing page,
[00:07:27.060 --> 00:07:36.180]   if you make it wrong. So, lots of gradients and dark and big letters. So, to kind of -- as we -- seven minutes.
[00:07:36.180 --> 00:07:41.940]   So, we have YOLO toolbox. There's a new workspace flow that's really interesting. So, if you haven't
[00:07:41.940 --> 00:07:47.460]   tried it out yet. It can also trip you off if you ask for something, a new app and an existing project.
[00:07:47.460 --> 00:07:53.220]   Make sure you -- if you hit that. Voice dictation built in. Visual context. I might get to showing
[00:07:53.220 --> 00:07:58.420]   around. So, once it actually starts finishing, it will open up the page in browser preview in VS Code.
[00:07:58.420 --> 00:08:03.780]   And I can actually select specific elements. And then the auto accept option. There's another auto
[00:08:03.780 --> 00:08:08.660]   accept after delay if you don't have that on in VS Code. There's an autosave that I really like to drive
[00:08:08.660 --> 00:08:15.220]   any live updates in the background that are running. And the undo and revert I quickly show up here.
[00:08:15.220 --> 00:08:19.860]   If anything goes wrong, there's always these buttons up here for undo and going back.
[00:08:20.900 --> 00:08:27.620]   So, see where it is. Still installing. Beautiful WiFi. Making demos easier.
[00:08:27.620 --> 00:08:38.340]   Yes. Actually, when it -- when this runs and it runs in the terminal commands and the terminal commands
[00:08:38.340 --> 00:08:43.220]   fail, it will actually look at the output. So, if there's any dependencies missing, it will go off and
[00:08:43.220 --> 00:08:48.740]   install them. It's still like chat.cn had some changes in how you install it, for example. It will figure out
[00:08:48.740 --> 00:08:52.820]   because the error messages. Use this package instead, and the next command will use the right.
[00:08:52.820 --> 00:08:54.420]   Yeah, but there are console errors that you don't draw.
[00:08:54.420 --> 00:09:00.100]   Sometimes it will run things in the background terminal, but there's ongoing
[00:09:00.100 --> 00:09:06.580]   fixes to make it basically always find it. Okay. Let's keep going. Next one. While it runs.
[00:09:07.460 --> 00:09:15.060]   It's -- use YOLO VibeCoding. So, really try it out. Go. Embrace the exponentials to build that AI
[00:09:15.060 --> 00:09:22.180]   intuition. Like, what is AI good at? What AI can't do yet? And find that for yourself. Just baseline what
[00:09:22.180 --> 00:09:28.180]   AI can do. And that's where YOLO VibeCoding with, like, a very open canvas and being able to steer AI
[00:09:28.180 --> 00:09:34.740]   is an extremely powerful skill to inform all of other AI usage. Then the second one is using
[00:09:34.740 --> 00:09:39.220]   frameworks. I pick React invite in my demo because it gives a nice grounding and it's something that
[00:09:39.220 --> 00:09:44.580]   hasn't changed in a while. So, that's a good way. If you use any new ones, you want to be more
[00:09:44.580 --> 00:09:50.020]   explicit about how to read the docs and where to find information. And lastly, it's all about iteration.
[00:09:50.020 --> 00:09:54.580]   So, it's a whiteboard. You want to wipe things off completely. You want to start from scratch. You want to
[00:09:54.580 --> 00:09:59.860]   work on specific items. But it's really about, like, having this iterative workflow outlined.
[00:09:59.860 --> 00:10:07.700]   Quick check-in. Still working on some files. Okay. We keep going. So, structured VibeCoding. And that's
[00:10:07.700 --> 00:10:13.460]   where we bring in a template. And that template comes with a consistent tech stack. And that could be
[00:10:13.460 --> 00:10:18.500]   your internal stack. It would be a container that you give to developers. So, if you want to work on UX,
[00:10:18.500 --> 00:10:24.500]   bring this template in and you can just start vibing. That could be even for non-technical people.
[00:10:24.500 --> 00:10:32.100]   Just check out this repo or work from this template on GitHub, open NBS code, engage agent mode in voice
[00:10:32.100 --> 00:10:38.180]   mode and start vibing. But because it's a template, it comes with this consistent tech stack. And it comes
[00:10:38.180 --> 00:10:45.460]   with instructions to guide the copilot flow onto specific conventions that you're running with.
[00:10:45.460 --> 00:10:51.860]   And then, lastly, we want custom tools using MCP and other things to make sure if it needs information or
[00:10:51.860 --> 00:10:59.300]   needs more context. And that's really more reliable and more consistent than YOLO mode. If you ask YOLO mode,
[00:10:59.300 --> 00:11:03.620]   and if it wouldn't have given it material UI, it might have picked any other design framework, it might
[00:11:03.620 --> 00:11:08.740]   have went with Tailwind. So, that allows you to, internally, we use Fluent UI. So, you're going to use
[00:11:08.740 --> 00:11:14.340]   Fluent UI. This is where you get the package and just it's outlined and it's clear. And so, it's really
[00:11:14.340 --> 00:11:19.140]   great for bootstrapping these screenfield projects because you end up with something people can hand over to
[00:11:19.140 --> 00:11:21.700]   engineering. And engineering doesn't say, like, this is totally not what we're doing.
[00:11:21.700 --> 00:11:29.380]   And this is also, it's better at the off mainstream. Like, anything that's not popular, like Spring Boot,
[00:11:29.380 --> 00:11:34.340]   whatever latest version you have that the AI struggles with, you can add more instructions on top that it
[00:11:34.340 --> 00:11:44.660]   gets it right more often. I'm going to show a quick how it looks like. It's still vibing. I think it's mostly
[00:11:44.660 --> 00:11:49.220]   the internet speed here, making it slow. So, let's figure out -- this is a nice repo. It's actually
[00:11:49.220 --> 00:11:59.220]   on the -- on the internet. If you go to GitHub.coms.digitarout. And then I put it up.
[00:11:59.220 --> 00:12:05.220]   I think it's still on there. Frontend Vibes template. So, let's see if I'm in. If you want to take a
[00:12:05.220 --> 00:12:15.780]   screenshot for later -- again? How's the screen sharing working? I don't know. I'm not technical.
[00:12:15.780 --> 00:12:22.500]   It's this entire screen, right? So, okay. Yeah, I think every time I switch back to PowerPoint,
[00:12:22.500 --> 00:12:35.460]   it tries to do the mode screen again. Okay. So, GitHub again. Sharing the vibes here. Two minutes.
[00:12:35.460 --> 00:12:40.180]   Okay. We got good. Yeah. So, that's a nice template. Just going to do a quick roundup. So, one, we have
[00:12:40.180 --> 00:12:47.060]   chat modes. That's what I'm highlighted here on the left. GitHub. folder chat modes. And you can define
[00:12:47.060 --> 00:12:53.380]   already tools. You find what tools are in the mode and what's the system prompt. And then they show up
[00:12:53.380 --> 00:12:58.820]   down here. Actually, you can switch out agent. It's a new agent that's now doing test-driven development
[00:12:58.820 --> 00:13:04.740]   for you. And that description here I wrote in another demo earlier about how to do test-driven development.
[00:13:04.740 --> 00:13:10.260]   I didn't know there's a red, green, and anything else. So, that's up to you how you define that mode.
[00:13:10.260 --> 00:13:15.620]   But this basically now guides it. You have to write tests first. And then you write code and that has to pass.
[00:13:16.100 --> 00:13:20.580]   And only ask only move to writing code after I confirm because I want to review the test. And that's
[00:13:20.580 --> 00:13:26.100]   much easier for review to me. You can also create prompts. And that's a way for your team to create
[00:13:26.100 --> 00:13:30.900]   these reusable tasks that are then used across different iterations. It could be a new landing page
[00:13:30.900 --> 00:13:35.220]   for your design team. Like, we need a new micro landing page. This is how you structure it.
[00:13:35.220 --> 00:13:41.540]   And then you can just create it. And lastly, instructions. Those are new. Those are .github/instructions.
[00:13:42.020 --> 00:13:45.140]   And those can outline what specific parts of the code base do.
[00:13:45.140 --> 00:13:54.420]   So, to go back to the slides. Yeah, the thing again. So, you want to bring in workspace instructions.
[00:13:54.420 --> 00:13:59.220]   There's a good document on VS code documentation on customization. If you want to go deeper, there's
[00:13:59.220 --> 00:14:05.140]   instructions files I showed and prompts. You want to make them dynamic for specific parts of the code base.
[00:14:05.140 --> 00:14:08.500]   And you want to start bringing in MCP. Couldn't show up MCP right now because we're running out of
[00:14:08.500 --> 00:14:13.620]   time. Check out my MCP talk from the MCP track if you want to see some of those demos.
[00:14:13.620 --> 00:14:21.220]   Also, VS code has access to problems and tasks. So, if you have your task runners set up in VS code and
[00:14:21.220 --> 00:14:26.580]   your linters properly, it will actually start fixing code as it makes mistakes, which is a really powerful
[00:14:27.140 --> 00:14:33.060]   context to have for the AI. And lastly, if you haven't found that little sparkle icon and then you commit,
[00:14:33.060 --> 00:14:38.580]   it's really important once you start working and having workable code to keep committing that workable code
[00:14:38.580 --> 00:14:44.180]   so you don't get into weird areas where it worked before and now my Vibe coding broke it. And that's always sad.
[00:14:44.180 --> 00:14:46.020]   So, review is important.
[00:14:48.260 --> 00:14:53.140]   Always says on these instructions are important. Start with errors. Committing is important. So,
[00:14:53.140 --> 00:14:56.100]   commit often. Pause the agent to inspect.
[00:14:56.100 --> 00:15:02.900]   Lastly, in 10 seconds, spec-driven really brings this often repeat idea, which you'll see here as well.
[00:15:02.900 --> 00:15:06.260]   You start with a spec, you make a plan, and then you implement the plan.
[00:15:06.260 --> 00:15:11.860]   And that really brings it up to the large scale. And the features we have here, I showed off.
[00:15:11.860 --> 00:15:16.340]   Prompts, more MCPs, and more task-specific tools that you can bring in.
[00:15:17.540 --> 00:15:25.620]   And we're up. Happy to chat more outside.

