
[00:00:00.000 --> 00:00:19.740]   I'm Ryan. I'm a founding engineer at Bespoke Labs, and today I'm going to talk to you about
[00:07:33.500 --> 00:07:38.780]   and trying out as many things as possible, and empirically choosing the best, and then scaling.
[00:07:38.780 --> 00:07:43.580]   And often, sometimes when you scale, you see, okay, what was the best of the small scale? It doesn't
[00:07:43.580 --> 00:07:50.540]   actually work. But if you're lucky, and you've done good science, then your YOLO run will be the best
[00:07:50.540 --> 00:07:59.900]   possible, right? Okay. So these are the key learnings that we had from our dataset recipe. And this is
[00:07:59.900 --> 00:08:07.180]   what you can take away. So the first thing is that, pretty surprising, sampling multiple answers, so
[00:08:07.180 --> 00:08:15.260]   multiple reasoning traces per question in your dataset, works really, really well. The performance does not go
[00:08:15.260 --> 00:08:23.260]   down at a fixed scale. If you take a fixed scale of questions, say 30k questions, or 30k examples.
[00:08:23.260 --> 00:08:30.700]   And of those, if you take just 30k questions, and you only sample once per question, that performs
[00:08:30.700 --> 00:08:40.860]   pretty similarly to if you took 1/16, so 30k over 16, and then for each, you sampled 16 times, which is
[00:08:40.860 --> 00:08:45.500]   quite cool. So this allows you, this is really cool, because this allows you to scale by 16x, which is
[00:08:45.500 --> 00:08:50.300]   more than an order of magnitude. And if you remember the graph from before, that corresponds to a pretty
[00:08:50.300 --> 00:08:57.900]   large increase in accuracy. The other surprising thing that we found was that a better model in terms
[00:08:57.900 --> 00:09:03.420]   of its own performance on evaluation benchmarks does not necessarily mean it's a better teacher model.
[00:09:03.420 --> 00:09:08.860]   I think a good way to think about this is a brilliant researcher who's maybe a terrible lecturer, right?
[00:09:08.860 --> 00:09:17.180]   We found specifically, QUEN32B was a stronger teacher model than DeepSeq R1. So we switched to
[00:09:17.180 --> 00:09:21.340]   that in our recipe, even though previously, everyone has been using R1.
[00:09:21.340 --> 00:09:30.620]   We also found that the sources of data that had synthetic questions were actually quite good. Some of the top
[00:09:30.620 --> 00:09:35.740]   sources that we selected were entirely synthetic and better than sources, say, that scraped from
[00:09:35.740 --> 00:09:41.900]   forums or had humans manually write things. And this is also really good news because synthetic
[00:09:41.900 --> 00:09:47.180]   question generation is scalable. So once again, we go back to the x-axis and we can push even further,
[00:09:47.180 --> 00:09:49.340]   which is accuracy boost.
[00:09:49.340 --> 00:10:00.700]   So question filtering also works well. Here we filtered questions by asking a language model,
[00:10:00.700 --> 00:10:04.060]   how difficult is this question, and then taking only the hardest questions.
[00:10:04.060 --> 00:10:11.100]   We also had a language model try to answer that question and looked at the length of that answer.
[00:10:11.100 --> 00:10:15.900]   So these are sort of proxies for the same thing. You can imagine that if a problem is a lot harder,
[00:10:15.900 --> 00:10:21.100]   then a language model will think more and it will produce more text. So its answer will be longer.
[00:10:21.100 --> 00:10:27.260]   And these things worked better than embeddings-based approaches or fast text classifiers,
[00:10:27.260 --> 00:10:33.340]   which is interesting as so much that those approaches were typical for pre-training. So it
[00:10:33.340 --> 00:10:37.260]   seems that the filtering for data and post-training is quite different than pre-training.
[00:10:39.180 --> 00:10:43.100]   Okay, some things that didn't work that were also quite interesting. Through our experiments,
[00:10:43.100 --> 00:10:47.580]   you saw that choosing a smaller number of high-quality sources was much better than trying to optimize
[00:10:47.580 --> 00:10:52.540]   for diversity by going for a larger number of sources. That's very counterintuitive, right? You'd think,
[00:10:52.540 --> 00:10:56.140]   okay, I'm always going to go for higher diversity, but this is actually not what we saw.
[00:10:56.140 --> 00:11:02.060]   The last thing that was interesting is that people talk a lot about verification, which is obviously very
[00:11:02.060 --> 00:11:08.540]   important for RL. And we actually see for SFT and distillation, it didn't seem that filtering based
[00:11:08.540 --> 00:11:14.700]   off of the answer or verifying the answer really helped it all. This is quite surprising. And I think
[00:11:14.700 --> 00:11:21.660]   there's some good research in the literature about maybe why this is, because if you have the hardest
[00:11:21.660 --> 00:11:26.140]   problem, it might be still helpful, even if you have an incorrect answer to that hardest problem,
[00:11:27.020 --> 00:11:32.460]   keeping it in and seeing how the teacher model attempts. It's not just the final output that matters.
[00:11:32.460 --> 00:11:39.100]   Okay, great. Okay, so those are all the amazing learnings that we had for Open Thoughts 3, which
[00:11:39.100 --> 00:11:44.060]   super excited to share. But now you're probably thinking, okay, they've done a thousand experiments.
[00:11:44.060 --> 00:11:49.180]   I don't want to do a thousand experiments. I still want to create reasoning models. How do I adapt this
[00:11:49.180 --> 00:11:55.980]   if I want to create specialized reasoning models? So I guess the first thing I would say is, be aware
[00:11:55.980 --> 00:12:00.860]   that based off of your domain, these exact choices might be a little bit different. I would suggest,
[00:12:00.860 --> 00:12:06.460]   okay, start with our recipe and then iterate on it. If you have capacity and compute, try a couple
[00:12:06.460 --> 00:12:11.820]   different choices for each step in the pipeline. And I think a good example of this is we studied each step
[00:12:11.820 --> 00:12:18.380]   in the pipeline differently by domain. So we studied it distinctly for code, science, and math. And we saw,
[00:12:18.380 --> 00:12:21.180]   for example, in the question filtering, which I talked about before,
[00:12:21.180 --> 00:12:28.940]   using difficulty labels worked well for code questions. But for math and science, it was a response
[00:12:28.940 --> 00:12:35.020]   length. And if you think about that for a second, it makes sense because the response length for coding
[00:12:35.020 --> 00:12:41.500]   questions are very different, right? For Amy math, it's literally just a number between zero and a thousand.
[00:12:41.500 --> 00:12:47.500]   So the answer is not, it's not considering a large portion of the length. But you can imagine there's very simple
[00:12:47.500 --> 00:12:52.940]   coding questions in which the answer is still a lot of lines of code. So yeah, this is one thing to be
[00:12:52.940 --> 00:12:58.060]   aware of. The other thing which I talked about previously is synthetic question generation. Because
[00:12:58.060 --> 00:13:04.220]   it works so well, and if your specialized domain, if you're, if you don't have a lot of data for your
[00:13:04.220 --> 00:13:10.940]   particular problem, then go ahead, transform that existing data into questions, expand it, throw those
[00:13:10.940 --> 00:13:16.380]   as in context examples, and just generate more data. So yeah, we built an open source library for
[00:13:16.380 --> 00:13:21.660]   this. It's called curator, and you can you can try that out. And then lastly, I feel like everyone says
[00:13:21.660 --> 00:13:27.980]   this, but it can't be said enough. The evaluation is paramount. If you don't know how well your models are
[00:13:27.980 --> 00:13:32.780]   doing or improving, then you cannot make good principled decisions about your data set recipe.
[00:13:33.580 --> 00:13:38.700]   We spent a lot of time on this. We also have this open source library on GitHub called Evalchemy,
[00:13:38.700 --> 00:13:46.060]   which takes care of this and also takes care of the sharding and parallelism. And the key thing
[00:13:46.060 --> 00:13:51.340]   here is for very small evaluation sets, if you if you only have a handful of questions, you should run
[00:13:51.340 --> 00:13:57.740]   your model on those evaluation sets many times an average. So going back again to AME competitive math
[00:13:57.740 --> 00:14:05.900]   questions, there's only 30 per year. So for our evaluations, we gave the model those 30 questions
[00:14:05.900 --> 00:14:13.020]   10 times, and then we averaged to get the final signal to determine which data strategies were working
[00:14:13.020 --> 00:14:18.140]   better than others, because otherwise, there's too much noise. Okay, this is also very, very interesting
[00:14:18.140 --> 00:14:24.620]   and surprising and promising for you if you're specializing. It seems that you can actually surpass
[00:14:24.620 --> 00:14:28.860]   the teacher in some domains with distillation. This is this is super cool. Usually you think
[00:14:28.860 --> 00:14:33.980]   about only RL can push the frontier. Distillation is just about catching up to the teacher. But no,
[00:14:33.980 --> 00:14:39.740]   that's not the case. So we have an example. It's in our paper where we looked at the legal reasoning
[00:14:39.740 --> 00:14:47.980]   domain. So the problem of classifying Supreme Court decisions. What we did is we took 2k unique questions,
[00:14:47.980 --> 00:14:55.900]   we sampled five answers per question, and then we did do verification here, which which did matter.
[00:14:55.900 --> 00:15:02.780]   So we threw away any questions, any answers that were incorrect. And when you fine tune the 7b model,
[00:15:02.780 --> 00:15:08.620]   it surpasses R1, which is a very strong reasoning model and also a very huge reasoning model. So this
[00:15:08.620 --> 00:15:13.340]   is very exciting. There's a lot more research and also application to be done here.
[00:15:13.340 --> 00:15:22.940]   Okay, cool. So everything's open. It's open thoughts and open thoughts means open. Go out and build. We
[00:15:22.940 --> 00:15:29.500]   have all of our detailed paper. It's just out this morning. We've got the weights data set. We have a ton of
[00:15:29.500 --> 00:15:39.100]   repos for code for data generation, for evaluation and synthetic data. So check those out. This is the
[00:15:39.100 --> 00:15:44.940]   team. It was a huge group of people, a lot of work over many months. I think we're all very proud of what
[00:15:44.940 --> 00:15:50.540]   we did. But there's lots of people to recognize here. If you scan that QR code, it goes to the tweet,
[00:15:50.540 --> 00:15:55.420]   and everything about the open thoughts project is linked in from there. Yeah. Thank you.
[00:15:55.420 --> 00:16:07.020]   All right. Thank you so much, Ryan. That was fascinating. It looks like we're already getting,
[00:16:07.020 --> 00:16:11.020]   we have at least one question lined up. Again, we have time for maybe a couple of questions.
[00:16:11.020 --> 00:16:16.940]   So if you have questions, please line up and we'll do it. Actually, before we get to those questions,
[00:16:16.940 --> 00:16:23.500]   I will say as people are leaving, we are going to be back here at two o'clock. We've got an
[00:16:23.500 --> 00:16:28.460]   excellent afternoon planned on this track. We've got Nathan Lambert. We've got the, we've got Christian
[00:16:28.460 --> 00:16:33.100]   Segeti, who's the co-founder of X. And it's going to be a really great track at two o'clock back in this
[00:16:33.100 --> 00:16:38.620]   room. Also, one more thing, if you do have questions for any of the speakers from this morning, hopefully
[00:16:38.620 --> 00:16:41.420]   they're going to be able to stick around. Don't let them go to lunch. They're going to be there. They're
[00:16:41.420 --> 00:16:44.620]   sitting up here at the front. So swarm them as soon as we're done. But for now, let's, let's get a couple
[00:16:44.620 --> 00:16:50.380]   questions for, uh, go ahead. Um, yes, over there. Uh, thank you. Great talk. So, uh, two questions.
[00:16:50.380 --> 00:16:56.220]   One is, um, if you're just using SFT on this data, what's the difference between this and regular SFT?
[00:16:56.220 --> 00:17:03.260]   This is just regular SFT. Oh, yeah. Oh, okay. So then how is regular SFT able to make the models like
[00:17:03.260 --> 00:17:08.140]   think longer? Because I thought for the reason models, they have like a thinking block and they think,
[00:17:08.140 --> 00:17:13.100]   you know, hours and minutes. Exactly. So how do you, how do you, how does SFT make it think for
[00:17:13.100 --> 00:17:19.100]   hours? So you're, you're doing supervised fine tuning on the questions and the answers also contain
[00:17:19.100 --> 00:17:25.180]   the thinking. So the model learns to use its context window and produce these long thinking traces. So it
[00:17:25.180 --> 00:17:31.980]   it can do this. People call SFT imitation. Um, but it, it can learn to learn this format in the same way.
[00:17:31.980 --> 00:17:39.340]   Yeah. Thanks. All right. We'll take one from this side. Um, great presentation, Ryan. Uh, one question. Uh,
[00:17:39.340 --> 00:17:47.340]   why do you think, um, a smaller model like when 32B was a better teacher than a deep seek R1? What was your
[00:17:47.340 --> 00:17:53.420]   insight in figuring out that like a good professor makes a bad lecturer? Yeah, that's a great question.
[00:17:53.420 --> 00:17:58.940]   Um, I think this is saying we need to investigate more, but you can see that, uh, when you look at
[00:17:58.940 --> 00:18:04.940]   charts of the length of reasoning traces, you can see the distributions are different. So, uh, it might
[00:18:04.940 --> 00:18:09.180]   be the case that you're using more of your context window, using more tokens, more steps. It also might
[00:18:09.180 --> 00:18:16.060]   be the case that you just have a better formatted response, better output. Um, this is like in another
[00:18:16.060 --> 00:18:19.500]   great open research, research question. Interesting. I'll also say on this point,
[00:18:19.500 --> 00:18:24.060]   we also tried Claude as a teacher, which is like a very, as a good, strong model. And it was just a
[00:18:24.060 --> 00:18:29.180]   terrible teacher. Um, so there's the, it, it, it, yeah, it's interesting what can, what actually
[00:18:29.180 --> 00:18:33.900]   creates a good teacher. Yeah. All right. We'll take one more very brief question from this side.
[00:18:33.900 --> 00:18:39.740]   And then those of you still waiting on questions, um, after, uh, after we have closed this up, it's warming.
[00:18:39.740 --> 00:18:44.780]   So, uh, great talk around. Um, we're doing similar kind of thing, but I just had a question. Do you guys
[00:18:44.780 --> 00:18:51.260]   have any like pattern map as to in the reasoning chain of thought when things don't work at what
[00:18:51.260 --> 00:18:57.580]   level, you know, in the evil, do you find out that things are not working or it's not reasoning correctly?
[00:18:57.580 --> 00:19:00.220]   Is there a pattern map or something that you have in your open source?
[00:19:00.220 --> 00:19:06.220]   Sorry, I didn't catch that. Is there a, so if there are five steps of reasoning to reach a final conclusion,
[00:19:06.220 --> 00:19:08.700]   uh, at what step does the reasoning go awry?
[00:19:08.700 --> 00:19:12.620]   Yeah, this is, this is a great question. We don't do this fine grained analysis,
[00:19:12.620 --> 00:19:18.140]   but there is a ton in the literature about this, um, where, yeah, there's a sort of critical step where
[00:19:18.140 --> 00:19:24.220]   it gets, gets things wrong. Um, there, we did like the simplest thing possible, right? You could also go in and
[00:19:24.220 --> 00:19:30.540]   try to do more complicated things. Um, at evaluation time where you're doing interventions
[00:19:30.540 --> 00:19:37.340]   to, uh, maybe detect steps that have gone awry and, and, and change, or you can do this in the,
[00:19:37.340 --> 00:19:40.300]   when you're creating the data set. So you could potentially rewrite things,
[00:19:40.300 --> 00:19:45.500]   but everything that we tried in terms of like messing with the reasoning trace, it wasn't helpful.
[00:19:45.500 --> 00:19:49.980]   Um, so yeah, I think there's still more to explore there. There's like,
[00:19:49.980 --> 00:19:58.060]   this is really just the start of everything in reasoning.

