
[00:00:00.040 --> 00:00:09.860]   поступ get
[00:10:55.620 --> 00:10:55.660]   and in a way that's what we're talking about.
[00:10:55.660 --> 00:10:55.720]   and in a way that's what we're talking about.
[00:10:55.720 --> 00:10:55.740]   and in a way that's what we're talking about.
[00:10:55.740 --> 00:10:55.800]   and in a way that's what we're talking about.
[00:10:55.800 --> 00:10:55.840]   and in a way that's what we're talking about.
[00:10:55.840 --> 00:10:55.860]   and in a way that's what we're talking about.
[00:10:55.860 --> 00:10:55.880]   and in a way that's what we're talking about.
[00:10:55.880 --> 00:10:55.900]   and in a way that's what we're talking about.
[00:10:55.900 --> 00:10:55.920]   and in a way that's what we're talking about.
[00:10:55.920 --> 00:10:55.940]   and in a way that's what we're talking about.
[00:10:55.940 --> 00:10:55.960]   and in a way that's what we're talking about.
[00:11:24.120 --> 00:11:24.160]   and in a way that's what we're talking about.
[00:11:24.160 --> 00:11:24.180]   and in a way that's what we're talking about.
[00:11:24.180 --> 00:11:24.260]   and in a way that's what we're talking about.
[00:11:24.260 --> 00:11:24.520]   and in a way that's what we're talking about.
[00:11:24.520 --> 00:11:24.580]   and in a way that's what we're talking about.
[00:11:24.580 --> 00:11:24.680]   and in a way that's what we're talking about.
[00:11:24.680 --> 00:11:24.720]   and in a way that's what we're talking about.
[00:11:24.720 --> 00:11:24.760]   and in a way that's what we're talking about.
[00:11:24.760 --> 00:11:24.820]   and in a way that's what we're talking about.
[00:11:24.820 --> 00:11:24.880]   and in a way that's what we're talking about.
[00:11:24.880 --> 00:11:24.940]   and in a way that's what we're talking about.
[00:11:24.940 --> 00:11:24.980]   and in a way that's what we're talking about.
[00:11:24.980 --> 00:11:25.040]   and in a way that's what we're talking about.
[00:11:25.040 --> 00:11:25.080]   and in a way that's what we're talking about.
[00:11:25.080 --> 00:11:25.160]   and in a way that's what we're talking about.
[00:11:54.380 --> 00:11:54.420]   and in a way that's what we're talking about.
[00:11:54.420 --> 00:11:54.480]   and in a way that's what we're talking about.
[00:11:54.480 --> 00:11:54.540]   and in a way that's what we're talking about.
[00:11:54.540 --> 00:11:54.600]   and in a way that's what we're talking about.
[00:11:54.600 --> 00:11:54.860]   and in a way that's what we're talking about.
[00:11:54.860 --> 00:11:54.880]   and in a way that's what we're talking about.
[00:11:54.880 --> 00:11:54.920]   and in a way that's what we're talking about.
[00:11:54.920 --> 00:11:54.940]   and in a way that's what we're talking about.
[00:11:54.940 --> 00:12:24.780]  ,
[00:12:24.780 --> 00:12:24.960]   and in a way that's what we're talking about.
[00:12:24.960 --> 00:12:24.960]   and in a way that's what we're talking about.
[00:12:24.960 --> 00:12:24.960]   and in a way that's what we're talking about.
[00:12:24.960 --> 00:12:24.960]   and in a way that's what we're talking about.
[00:12:24.960 --> 00:12:24.960]   and in a way that's what we're talking about.
[00:12:24.960 --> 00:12:24.960]   and in a way that's what we're talking about.
[00:12:24.960 --> 00:12:24.960]   and in a way that's what we're talking about.
[00:12:24.960 --> 00:12:54.980]   and in a way that's what we're talking about.
[00:12:54.980 --> 00:12:54.980]   and in a way that's what we're talking about.
[00:12:54.980 --> 00:12:54.980]   and in a way that's what we're talking about.
[00:12:54.980 --> 00:12:54.980]   and in a way that's what we're talking about.
[00:12:54.980 --> 00:12:54.980]   and in a way that's what we're talking about.
[00:12:54.980 --> 00:12:54.980]   and in a way that's what we're talking about.
[00:12:54.980 --> 00:12:54.980]   and in a way that's what we're talking about.
[00:12:55.000 --> 00:13:25.000]   and in a way that's what we're talking about.
[00:13:25.000 --> 00:13:25.000]   and in a way that's what we're talking about.
[00:13:25.000 --> 00:13:25.000]   and in a way that's what we're talking about.
[00:13:25.000 --> 00:13:25.000]   and in a way that's what we're talking about.
[00:13:25.000 --> 00:13:25.000]   and in a way that's what we're talking about.
[00:13:25.000 --> 00:13:25.000]   and in a way that's what we're talking about.
[00:13:25.000 --> 00:13:25.000]   and in a way that's what we're talking about.
[00:13:25.000 --> 00:13:25.000]   and in a way that's what we're talking about.
[00:13:25.000 --> 00:13:25.000]   and in a way that's what we're talking about.
[00:13:25.000 --> 00:13:25.000]   and in a way that's what we're talking about.
[00:13:25.000 --> 00:13:25.000]   and in a way that's what we're talking about.
[00:13:25.000 --> 00:13:25.000]   and in a way that's what we're talking about.
[00:13:25.000 --> 00:13:25.000]   and in a way that's what we're talking about.
[00:13:25.000 --> 00:13:25.000]   and in a way that's what we're talking about.
[00:13:25.000 --> 00:13:25.000]   and in a way that's what we're talking about.
[00:13:25.040 --> 00:13:55.020]   and in a way that's what we're talking about.
[00:13:55.020 --> 00:13:55.020]   and in a way that's what we're talking about.
[00:13:55.020 --> 00:13:55.020]   and in a way that's what we're talking about.
[00:13:55.020 --> 00:13:55.020]   and in a way that's what we're talking about.
[00:13:55.020 --> 00:13:55.020]   and in a way that's what we're talking about.
[00:13:55.020 --> 00:13:55.020]   and in a way that's what we're talking about.
[00:13:55.020 --> 00:13:55.020]   and in a way that's what we're talking about.
[00:13:55.020 --> 00:13:55.020]   and in a way that's what we're talking about.
[00:13:55.040 --> 00:14:25.040]   and in a way that's what we're talking about.
[00:14:25.040 --> 00:14:25.040]   and in a way that's what we're talking about.
[00:14:25.040 --> 00:14:25.040]   and in a way that's what we're talking about.
[00:14:25.040 --> 00:14:25.040]   and in a way that's what we're talking about.
[00:14:25.040 --> 00:14:25.040]   and in a way that's what we're talking about.
[00:14:25.040 --> 00:14:25.040]   and in a way that's what we're talking about.
[00:14:25.040 --> 00:14:25.040]   and in a way that's what we're talking about.
[00:14:25.040 --> 00:14:25.040]   and in a way that's what we're talking about.
[00:14:25.040 --> 00:14:25.040]   and in a way that's what we're talking about.
[00:14:25.040 --> 00:14:25.040]   and in a way that's what we're talking about.
[00:14:25.040 --> 00:14:25.040]   and in a way that's what we're talking about.
[00:14:25.040 --> 00:14:25.040]   and in a way that's what we're talking about.
[00:14:25.040 --> 00:14:25.040]   and in a way that's what we're talking about.
[00:14:25.040 --> 00:14:25.040]   and in a way that's what we're talking about.
[00:14:25.040 --> 00:14:25.040]   and in a way that's what we're talking about.
[00:14:25.040 --> 00:14:55.060]  ,
[00:14:55.060 --> 00:14:55.060]   and in a way that's what we're talking about.
[00:14:55.060 --> 00:14:55.060]   and in a way that's what we're talking about.
[00:14:55.060 --> 00:14:55.060]   and in a way that's what we're talking about.
[00:14:55.060 --> 00:14:55.060]   and in a way that's what we're talking about.
[00:14:55.060 --> 00:14:55.060]   and in a way that's what we're talking about.
[00:14:55.060 --> 00:14:55.060]   and in a way that's what we're talking about.
[00:14:55.060 --> 00:14:55.060]   and in a way that's what we're talking about.
[00:14:55.060 --> 00:14:55.060]   and in a way that's what we're talking about.
[00:14:55.060 --> 00:14:55.060]   and in a way that's what we're talking about.
[00:14:55.080 --> 00:15:25.080]   and in a way that's what we're talking about.
[00:15:25.080 --> 00:15:25.080]   and in a way that's what we're talking about.
[00:15:25.080 --> 00:15:25.080]   and in a way that's what we're talking about.
[00:15:25.080 --> 00:15:25.080]   and in a way that's what we're talking about.
[00:15:25.080 --> 00:15:25.080]   and in a way that's what we're talking about.
[00:15:25.080 --> 00:15:25.080]   and in a way that's what we're talking about.
[00:15:25.080 --> 00:15:25.080]   and in a way that's what we're talking about.
[00:15:25.080 --> 00:15:25.080]   and in a way that's what we're talking about.
[00:15:25.080 --> 00:15:25.080]   and in a way that's what we're talking about.
[00:15:25.080 --> 00:15:25.080]   and in a way that's what we're talking about.
[00:15:25.080 --> 00:15:25.080]   and in a way that's what we're talking about.
[00:15:25.080 --> 00:15:25.080]   and in a way that's what we're talking about.
[00:15:25.080 --> 00:15:25.080]   and in a way that's what we're talking about.
[00:15:25.080 --> 00:15:25.080]   and in a way that's what we're talking about.
[00:15:25.080 --> 00:15:25.080]   and in a way that's what we're talking about.
[00:15:25.080 --> 00:15:55.100]   and in a way that's what we're talking about.
[00:15:55.100 --> 00:15:55.100]   and in a way that's what we're talking about.
[00:15:55.100 --> 00:15:55.100]   and in a way that's what we're talking about.
[00:15:55.100 --> 00:15:55.100]   and in a way that's what we're talking about.
[00:15:55.100 --> 00:15:55.100]   and in a way that's what we're talking about.
[00:15:55.100 --> 00:15:55.100]   and in a way that's what we're talking about.
[00:15:55.100 --> 00:15:55.100]   and in a way that's what we're talking about.
[00:15:55.100 --> 00:15:55.100]   and in a way that's what we're talking about.
[00:15:55.120 --> 00:16:25.120]   and in a way that's what we're talking about.
[00:16:25.120 --> 00:16:25.120]   and in a way that's what we're talking about.
[00:16:25.120 --> 00:16:25.120]   and in a way that's what we're talking about.
[00:16:25.120 --> 00:16:25.120]   and in a way that's what we're talking about.
[00:16:25.120 --> 00:16:25.120]   and in a way that's what we're talking about.
[00:16:25.120 --> 00:16:25.120]   and in a way that's what we're talking about.
[00:16:25.120 --> 00:16:25.120]   and in a way that's what we're talking about.
[00:16:25.120 --> 00:16:25.120]   and in a way that's what we're talking about.
[00:16:25.120 --> 00:16:25.120]   and in a way that's what we're talking about.
[00:16:25.120 --> 00:16:25.120]   and in a way that's what we're talking about.
[00:16:25.120 --> 00:16:25.120]   and in a way that's what we're talking about.
[00:16:25.120 --> 00:16:25.120]   and in a way that's what we're talking about.
[00:16:25.120 --> 00:16:25.120]   and in a way that's what we're talking about.
[00:16:25.120 --> 00:16:25.120]   and in a way that's what we're talking about.
[00:16:25.120 --> 00:16:25.120]   and in a way that's what we're talking about.
[00:16:25.120 --> 00:16:55.140]   and in a way that's what we're talking about.
[00:16:55.140 --> 00:16:55.140]   and in a way that's what we're talking about.
[00:16:55.140 --> 00:16:55.140]   and in a way that's what we're talking about.
[00:16:55.140 --> 00:16:55.140]   and in a way that's what we're talking about.
[00:16:55.140 --> 00:16:55.140]   and in a way that's what we're talking about.
[00:16:55.140 --> 00:16:55.140]   and in a way that's what we're talking about.
[00:16:55.140 --> 00:16:55.140]   and in a way that's what we're talking about.
[00:16:55.140 --> 00:16:55.140]   and in a way that's what we're talking about.
[00:16:55.160 --> 00:17:25.160]   and in a way that's what we're talking about.
[00:17:25.160 --> 00:17:25.160]   and in a way that's what we're talking about.
[00:17:25.160 --> 00:17:25.160]   and in a way that's what we're talking about.
[00:17:25.160 --> 00:17:25.160]   and in a way that's what we're talking about.
[00:17:25.160 --> 00:17:25.160]   and in a way that's what we're talking about.
[00:17:25.160 --> 00:17:25.160]   and in a way that's what we're talking about.
[00:17:25.160 --> 00:17:25.160]   and in a way that's what we're talking about.
[00:17:25.160 --> 00:17:25.160]   and in a way that's what we're talking about.
[00:17:25.160 --> 00:17:25.160]   and in a way that's what we're talking about.
[00:17:25.160 --> 00:17:25.160]   and in a way that's what we're talking about.
[00:17:25.160 --> 00:17:25.160]   and in a way that's what we're talking about.
[00:17:25.160 --> 00:17:25.160]   and in a way that's what we're talking about.
[00:17:25.160 --> 00:17:25.160]   and in a way that's what we're talking about.
[00:17:25.160 --> 00:17:25.160]   and in a way that's what we're talking about.
[00:17:25.160 --> 00:17:25.160]   and in a way that's what we're talking about.
[00:17:25.200 --> 00:17:55.180]   and in a way that's what we're talking about.
[00:17:55.180 --> 00:17:55.180]   and in a way that's what we're talking about.
[00:17:55.180 --> 00:17:55.180]   and in a way that's what we're talking about.
[00:17:55.180 --> 00:17:55.180]   and in a way that's what we're talking about.
[00:17:55.180 --> 00:17:55.180]   and in a way that's what we're talking about.
[00:17:55.180 --> 00:17:55.180]   and in a way that's what we're talking about.
[00:17:55.180 --> 00:17:55.180]   and in a way that's what we're talking about.
[00:17:55.180 --> 00:17:55.180]   and in a way that's what we're talking about.
[00:17:55.180 --> 00:17:55.180]   and in a way that's what we're talking about.
[00:17:55.200 --> 00:18:25.200]   and in a way that's what we're talking about.
[00:18:25.200 --> 00:18:25.200]   and in a way that's what we're talking about.
[00:18:25.200 --> 00:18:25.200]   and in a way that's what we're talking about.
[00:18:25.200 --> 00:18:25.200]   and in a way that's what we're talking about.
[00:18:25.200 --> 00:18:25.200]   and in a way that's what we're talking about.
[00:18:25.200 --> 00:18:25.200]   and in a way that's what we're talking about.
[00:18:25.200 --> 00:18:25.200]   and in a way that's what we're talking about.
[00:18:25.200 --> 00:18:25.200]   and in a way that's what we're talking about.
[00:18:25.200 --> 00:18:25.200]   and in a way that's what we're talking about.
[00:18:25.200 --> 00:18:25.200]   and in a way that's what we're talking about.
[00:18:25.200 --> 00:18:25.200]   and in a way that's what we're talking about.
[00:18:25.200 --> 00:18:25.200]   and in a way that's what we're talking about.
[00:18:25.200 --> 00:18:25.200]   and in a way that's what we're talking about.
[00:18:25.200 --> 00:18:25.200]   and in a way that's what we're talking about.
[00:18:25.200 --> 00:18:25.200]   and in a way that's what we're talking about.
[00:18:25.200 --> 00:18:55.220]   and in a way that's what we're talking about.
[00:18:55.220 --> 00:18:55.220]   and in a way that's what we're talking about.
[00:18:55.220 --> 00:18:55.220]   and in a way that's what we're talking about.
[00:18:55.220 --> 00:18:55.220]   and in a way that's what we're talking about.
[00:18:55.220 --> 00:18:55.220]   and in a way that's what we're talking about.
[00:18:55.220 --> 00:18:55.220]   and in a way that's what we're talking about.
[00:18:55.220 --> 00:18:55.220]   and in a way that's what we're talking about.
[00:18:55.220 --> 00:18:55.220]   and in a way that's what we're talking about.
[00:18:55.240 --> 00:19:25.240]   and in a way that's what we're talking about.
[00:19:25.240 --> 00:19:25.240]   and in a way that's what we're talking about.
[00:19:25.240 --> 00:19:25.240]   and in a way that's what we're talking about.
[00:19:25.240 --> 00:19:25.240]   and in a way that's what we're talking about.
[00:19:25.240 --> 00:19:25.240]   and in a way that's what we're talking about.
[00:19:25.240 --> 00:19:25.240]   and in a way that's what we're talking about.
[00:19:25.240 --> 00:19:25.240]   and in a way that's what we're talking about.
[00:19:25.240 --> 00:19:25.240]   and in a way that's what we're talking about.
[00:19:25.240 --> 00:19:25.240]   and in a way that's what we're talking about.
[00:19:25.240 --> 00:19:25.240]   and in a way that's what we're talking about.
[00:19:25.240 --> 00:19:25.240]   and in a way that's what we're talking about.
[00:19:25.240 --> 00:19:25.240]   and in a way that's what we're talking about.
[00:19:25.240 --> 00:19:25.240]   and in a way that's what we're talking about.
[00:19:25.240 --> 00:19:25.240]   and in a way that's what we're talking about.
[00:19:25.240 --> 00:19:25.240]   and in a way that's what we're talking about.
[00:19:25.240 --> 00:19:55.260]  ,
[00:19:55.260 --> 00:19:55.260]   and in a way that's what we're talking about.
[00:19:55.260 --> 00:19:55.260]   and in a way that's what we're talking about.
[00:19:55.260 --> 00:19:55.260]   and in a way that's what we're talking about.
[00:19:55.260 --> 00:19:55.260]   and in a way that's what we're talking about.
[00:19:55.260 --> 00:19:55.260]   and in a way that's what we're talking about.
[00:19:55.260 --> 00:19:55.260]   and in a way that's what we're talking about.
[00:19:55.260 --> 00:19:55.260]   and in a way that's what we're talking about.
[00:19:55.260 --> 00:19:55.260]   and in a way that's what we're talking about.
[00:19:55.280 --> 00:20:25.280]   I'm pretty sure I've got the facts good enough that I can
[00:20:25.280 --> 00:20:25.280]   I'm pretty sure I've got the facts good enough that I can
[00:20:25.280 --> 00:20:25.280]   I'm pretty sure I've got the facts good enough that I can
[00:20:25.280 --> 00:20:25.280]   I'm pretty sure I've got the facts good enough that I can
[00:20:25.280 --> 00:20:25.280]   I'm pretty sure I've got the facts good enough that I can
[00:20:25.280 --> 00:20:25.280]   I'm pretty sure I've got the facts good enough that I can
[00:20:25.280 --> 00:20:25.280]   I'm pretty sure I've got the facts good enough that I can
[00:20:25.280 --> 00:20:25.280]   I'm pretty sure I've got the facts good enough that I can
[00:20:25.280 --> 00:20:25.280]   I'm pretty sure I've got the facts good enough that I can
[00:20:25.280 --> 00:20:25.280]   I'm pretty sure I've got the facts good enough that I can
[00:20:25.280 --> 00:20:25.280]   I'm pretty sure I've got the facts good enough that I can
[00:20:25.280 --> 00:20:25.280]   I'm pretty sure I've got the facts good enough that I can
[00:20:25.280 --> 00:20:25.280]   I'm pretty sure I've got the facts good enough that I can
[00:20:55.300 --> 00:20:55.300]   I'm pretty sure I've got the facts good enough that I can
[00:20:55.300 --> 00:20:55.300]   I'm pretty sure I've got the facts good enough that I can
[00:20:55.300 --> 00:20:55.300]   I'm pretty sure I've got the facts good enough that I can
[00:20:55.300 --> 00:20:55.300]   I'm pretty sure I've got the facts good enough that I can
[00:20:55.300 --> 00:20:55.300]   I'm pretty sure I've got the facts good enough that I can
[00:20:55.300 --> 00:20:55.300]   I'm pretty sure I've got the facts good enough that I can
[00:20:55.300 --> 00:20:55.300]   I'm pretty sure I've got the facts good enough that I can
[00:20:55.300 --> 00:20:55.300]   I'm pretty sure I've got the facts good enough that I can
[00:20:55.300 --> 00:20:55.300]   I'm pretty sure I've got the facts good enough that I can
[00:20:55.300 --> 00:20:55.300]   I'm pretty sure I've got the facts good enough that I can
[00:20:55.300 --> 00:20:55.300]   I'm pretty sure I've got the facts good enough that I can
[00:20:55.300 --> 00:20:55.300]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:25.320 --> 00:21:25.320]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:25.320 --> 00:21:25.320]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:25.320 --> 00:21:25.320]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:25.320 --> 00:21:25.320]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:25.320 --> 00:21:25.320]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:25.320 --> 00:21:25.320]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:25.320 --> 00:21:25.320]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:25.320 --> 00:21:25.320]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:25.320 --> 00:21:25.320]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:25.360 --> 00:21:55.340]  ,
[00:21:55.340 --> 00:21:55.340]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:55.340 --> 00:21:55.340]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:55.340 --> 00:21:55.340]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:55.340 --> 00:21:55.340]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:55.340 --> 00:21:55.340]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:55.340 --> 00:21:55.340]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:55.340 --> 00:21:55.340]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:55.340 --> 00:21:55.340]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:55.340 --> 00:21:55.340]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:55.340 --> 00:21:55.340]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:55.340 --> 00:21:55.340]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:55.340 --> 00:21:55.340]   I'm pretty sure I've got the facts good enough that I can'th
[00:21:55.360 --> 00:22:25.360]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:25.360 --> 00:22:25.360]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:25.360 --> 00:22:25.360]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:25.360 --> 00:22:25.360]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:25.360 --> 00:22:25.360]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:25.360 --> 00:22:25.360]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:25.360 --> 00:22:25.360]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:25.360 --> 00:22:25.360]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:25.360 --> 00:22:25.360]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:25.360 --> 00:22:25.360]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:25.360 --> 00:22:25.360]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:25.360 --> 00:22:25.360]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:25.400 --> 00:22:55.380]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:55.380 --> 00:22:55.380]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:55.380 --> 00:22:55.380]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:55.380 --> 00:22:55.380]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:55.380 --> 00:22:55.380]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:55.380 --> 00:22:55.380]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:55.380 --> 00:22:55.380]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:55.380 --> 00:22:55.380]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:55.380 --> 00:22:55.380]   I'm pretty sure I've got the facts good enough that I can'th
[00:22:55.400 --> 00:23:25.400]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:25.400 --> 00:23:25.400]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:25.400 --> 00:23:25.400]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:25.400 --> 00:23:25.400]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:25.400 --> 00:23:25.400]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:25.400 --> 00:23:25.400]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:25.400 --> 00:23:25.400]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:25.400 --> 00:23:25.400]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:25.400 --> 00:23:25.400]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:25.400 --> 00:23:25.400]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:25.440 --> 00:23:55.420]  ,
[00:23:55.420 --> 00:23:55.420]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:55.420 --> 00:23:55.420]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:55.420 --> 00:23:55.420]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:55.420 --> 00:23:55.420]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:55.420 --> 00:23:55.420]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:55.420 --> 00:23:55.420]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:55.420 --> 00:23:55.420]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:55.420 --> 00:23:55.420]   I'm pretty sure I've got the facts good enough that I can'th
[00:23:55.420 --> 00:23:55.420]   I'm pretty sure I've got the facts good enough that I can'th
