
[00:00:00.000 --> 00:00:07.280]   Hi, everyone.
[00:02:12.460 --> 00:02:15.660]   We'll have an ad announcement when it is out.
[00:02:15.660 --> 00:02:19.020]   And we want to get you feedback on that pretty quickly
[00:02:19.020 --> 00:02:22.140]   because you'll be working on this after assignment five is done.
[00:02:22.140 --> 00:02:26.340]   Really, the major core component of the course after that
[00:02:26.340 --> 00:02:29.380]   is the final project.
[00:02:29.380 --> 00:02:32.860]   OK, any questions?
[00:02:32.860 --> 00:02:33.360]   Cool.
[00:02:33.360 --> 00:02:33.860]   OK.
[00:02:33.860 --> 00:02:41.900]   So let's take a look back into what we've done so far in this course
[00:02:41.900 --> 00:02:47.120]   and see what we were doing in natural language processing.
[00:02:47.120 --> 00:02:48.080]   What was our strategy?
[00:02:48.080 --> 00:02:50.080]   If you had a natural language processing problem
[00:02:50.080 --> 00:02:53.060]   and you wanted to take your best effort attempt at it
[00:02:53.060 --> 00:02:56.040]   without doing anything too fancy, you would have said, OK,
[00:02:56.040 --> 00:03:01.180]   I'm going to have a bidirectional LSTM instead of a simple RNN.
[00:03:01.180 --> 00:03:04.220]   I'm going to use an LSTM to encode my sentences,
[00:03:04.220 --> 00:03:06.140]   I get bidirectional context.
[00:03:06.140 --> 00:03:09.300]   And if I have an output that I'm trying to generate,
[00:03:09.300 --> 00:03:14.100]   I'll have a unidirectional LSTM that I was going to generate one by one.
[00:03:14.100 --> 00:03:17.140]   So you have a translation or a parse or whatever.
[00:03:17.140 --> 00:03:20.500]   And so maybe I've encoded in a bidirectional LSTM the source sentence
[00:03:20.500 --> 00:03:24.260]   and I'm sort of one by one decoding out the target
[00:03:24.260 --> 00:03:26.480]   with my unidirectional LSTM.
[00:03:26.480 --> 00:03:30.680]   And then also, I was going to use something like attention
[00:03:30.680 --> 00:03:34.800]   to give flexible access to memory if I felt
[00:03:34.800 --> 00:03:37.080]   like I needed to do this sort of look back and see
[00:03:37.080 --> 00:03:39.040]   where I want to translate from.
[00:03:39.040 --> 00:03:41.960]   And this was just working exceptionally well.
[00:03:41.960 --> 00:03:46.200]   And we motivated attention through wanting to do machine translation.
[00:03:46.200 --> 00:03:48.140]   And you have this bottleneck where you don't
[00:03:48.140 --> 00:03:52.840]   want to have to encode the whole source sentence in a single vector.
[00:03:52.840 --> 00:03:55.000]   And in this lecture, we have the same goal.
[00:03:55.000 --> 00:03:57.380]   So we're going to be looking at a lot of the same problems
[00:03:57.380 --> 00:03:58.520]   that we did previously.
[00:03:58.520 --> 00:04:00.560]   But we're going to use different building blocks.
[00:04:00.560 --> 00:04:07.480]   We're going to say, if 2014 to 2017-ish I was using recurrence
[00:04:07.480 --> 00:04:10.400]   through lots of trial and error, years later,
[00:04:10.400 --> 00:04:12.720]   it had these brand new building blocks that we
[00:04:12.720 --> 00:04:17.160]   can plug in, direct replacement for LSTMs.
[00:04:17.160 --> 00:04:22.120]   And they're going to allow for just a huge range of much more successful
[00:04:22.120 --> 00:04:23.320]   applications.
[00:04:23.320 --> 00:04:28.680]   And so what are the issues with the recurrent neural networks
[00:04:28.680 --> 00:04:29.680]   we used to use?
[00:04:29.680 --> 00:04:32.720]   And what are the new systems that we're going to use from this point moving
[00:04:32.720 --> 00:04:35.160]   forward?
[00:04:35.160 --> 00:04:38.880]   So one of the issues with a recurrent neural network
[00:04:38.880 --> 00:04:41.680]   is what we're going to call linear interaction distance.
[00:04:41.680 --> 00:04:47.200]   So as we know, RNNs are unrolled left to right or right to left,
[00:04:47.200 --> 00:04:49.840]   depending on the language and the direction.
[00:04:49.840 --> 00:04:53.080]   But it encodes the notion of linear locality, which is useful.
[00:04:53.080 --> 00:04:55.600]   Because if two words occur right next to each other,
[00:04:55.600 --> 00:04:57.320]   sometimes they're actually quite related.
[00:04:57.320 --> 00:04:58.640]   So tasty pizza.
[00:04:58.640 --> 00:04:59.680]   They're nearby.
[00:04:59.680 --> 00:05:04.360]   And in the recurrent neural network, you encode tasty.
[00:05:04.360 --> 00:05:08.720]   And then you walk one step, and you encode pizza.
[00:05:08.720 --> 00:05:12.600]   So nearby words do often affect each other's meanings.
[00:05:12.600 --> 00:05:17.200]   But you have this problem where very long distance dependencies
[00:05:17.200 --> 00:05:18.960]   can take a very long time to interact.
[00:05:18.960 --> 00:05:21.400]   So if I have the sentence, the chef--
[00:05:21.400 --> 00:05:22.600]   so those are nearby.
[00:05:22.600 --> 00:05:25.120]   Those interact with each other.
[00:05:25.120 --> 00:05:28.680]   And then who, and then a bunch of stuff.
[00:05:28.680 --> 00:05:32.520]   Like the chef who went to the stores and picked up the ingredients
[00:05:32.520 --> 00:05:35.320]   and loves garlic.
[00:05:35.320 --> 00:05:37.160]   And then was.
[00:05:37.160 --> 00:05:40.440]   Like I actually have an RNN step, this sort
[00:05:40.440 --> 00:05:43.000]   of application of the recurrent weight matrix
[00:05:43.000 --> 00:05:47.320]   and some element-wise nonlinearities once, twice, three times.
[00:05:47.320 --> 00:05:52.520]   As many times as there is potentially the length of the sequence between chef
[00:05:52.520 --> 00:05:53.760]   and was.
[00:05:53.760 --> 00:05:54.960]   And it's the chef who was.
[00:05:54.960 --> 00:05:56.840]   So this is a long distance dependency.
[00:05:56.840 --> 00:06:01.120]   Should feel kind of related to the stuff that we did in dependency syntax.
[00:06:01.120 --> 00:06:06.440]   But it's quite difficult to learn potentially
[00:06:06.440 --> 00:06:09.080]   that these words should be related.
[00:06:09.080 --> 00:06:19.440]   So if you have a lot of steps between words,
[00:06:19.440 --> 00:06:22.400]   it can be difficult to learn the dependencies between them.
[00:06:22.400 --> 00:06:24.240]   We talked about all these gradient problems.
[00:06:24.240 --> 00:06:29.680]   LSTMs do a lot better at modeling the gradients across long distances
[00:06:29.680 --> 00:06:31.280]   than simple recurrent neural networks.
[00:06:31.280 --> 00:06:33.960]   But it's not perfect.
[00:06:33.960 --> 00:06:36.680]   And we already know that this linear order
[00:06:36.680 --> 00:06:40.520]   isn't sort of the right way to think about sentences.
[00:06:40.520 --> 00:06:46.920]   So if I wanted to learn that it's the chef who was,
[00:06:46.920 --> 00:06:51.720]   then I might have a hard time doing it because the gradients have
[00:06:51.720 --> 00:06:53.160]   to propagate from was to chef.
[00:06:53.160 --> 00:06:56.440]   And really, I'd like more direct connection
[00:06:56.440 --> 00:06:59.080]   between words that might be related in the sentence.
[00:06:59.080 --> 00:07:04.000]   Or in a document even, if these are going to get much longer.
[00:07:04.000 --> 00:07:06.160]   So this is this linear interaction distance problem.
[00:07:06.160 --> 00:07:08.400]   We would like words that might be related
[00:07:08.400 --> 00:07:11.000]   to be able to interact with each other in the neural networks
[00:07:11.000 --> 00:07:19.800]   computation graph more easily than being linearly far away
[00:07:19.800 --> 00:07:23.000]   so that we can learn these long distance dependencies better.
[00:07:23.000 --> 00:07:25.560]   And there's a related problem too that again comes back
[00:07:25.560 --> 00:07:28.640]   to the recurrent neural networks dependence on the index.
[00:07:28.640 --> 00:07:32.880]   On the index into the sequence, often called a dependence on time.
[00:07:32.880 --> 00:07:36.800]   So in a recurrent neural network, the forward and backward passes
[00:07:36.800 --> 00:07:39.520]   have O of sequence length many.
[00:07:39.520 --> 00:07:41.600]   So that means just roughly sequence, in this case,
[00:07:41.600 --> 00:07:45.000]   just sequence length many unparallelizable operations.
[00:07:45.000 --> 00:07:47.240]   So we know GPUs are great.
[00:07:47.240 --> 00:07:50.520]   They can do a lot of operations at once,
[00:07:50.520 --> 00:07:53.840]   as long as there's no dependency between the operations in terms
[00:07:53.840 --> 00:07:54.360]   of time.
[00:07:54.360 --> 00:07:57.680]   You have to compute one and then compute the other.
[00:07:57.680 --> 00:07:59.800]   But in a recurrent neural network, you
[00:07:59.800 --> 00:08:03.800]   can't actually compute the RNN hidden state for time step 5
[00:08:03.800 --> 00:08:06.920]   before you compute the RNN hidden state for time step 4
[00:08:06.920 --> 00:08:08.560]   or time step 3.
[00:08:08.560 --> 00:08:11.320]   And so you get this graph that looks very similar,
[00:08:11.320 --> 00:08:13.200]   where if I want to compute this hidden state,
[00:08:13.200 --> 00:08:16.160]   so I've got some word, I have zero operations
[00:08:16.160 --> 00:08:18.600]   I need to do before I can compute this state.
[00:08:18.600 --> 00:08:22.560]   I have one operation I can do before I can compute this state.
[00:08:22.560 --> 00:08:25.280]   And as my sequence length grows, I've got--
[00:08:25.280 --> 00:08:27.040]   OK, here I've got three operations
[00:08:27.040 --> 00:08:28.880]   I need to do before I can compute
[00:08:28.880 --> 00:08:32.080]   the state with the number 3, because I need to compute this
[00:08:32.080 --> 00:08:33.880]   and this and that.
[00:08:33.880 --> 00:08:37.000]   So there's three unparallelizable operations
[00:08:37.000 --> 00:08:39.640]   that I'm glomming all the matrix multiplies and stuff
[00:08:39.640 --> 00:08:40.880]   into a single one.
[00:08:40.880 --> 00:08:42.480]   So 1, 2, 3.
[00:08:42.480 --> 00:08:45.320]   And of course, this grows with the sequence length as well.
[00:08:45.320 --> 00:08:48.720]   So down over here, as the sequence length grows,
[00:08:48.720 --> 00:08:50.520]   I can't parallelize--
[00:08:50.520 --> 00:08:53.600]   I can't just have a big GPU just kachanka
[00:08:53.600 --> 00:08:56.840]   with the matrix multiply to compute this state,
[00:08:56.840 --> 00:08:59.600]   because I need to compute all the previous states beforehand.
[00:08:59.600 --> 00:09:03.520]   OK, any questions about that?
[00:09:03.520 --> 00:09:06.040]   So these are these two related problems,
[00:09:06.040 --> 00:09:07.960]   both with the dependence on time.
[00:09:07.960 --> 00:09:08.800]   Yeah.
[00:09:08.800 --> 00:09:11.360]   Yeah, so I have a question on the linear interaction issues.
[00:09:11.360 --> 00:09:13.880]   I thought that was the whole point of the attention network,
[00:09:13.880 --> 00:09:17.960]   and then how maybe you want, during the training,
[00:09:17.960 --> 00:09:21.080]   of the actual cells that depend more on each other.
[00:09:21.080 --> 00:09:22.840]   Can't we do something like the attention
[00:09:22.840 --> 00:09:26.200]   and then work our way around that?
[00:09:26.200 --> 00:09:28.760]   So the question is, with the linear interaction distance,
[00:09:28.760 --> 00:09:30.440]   wasn't this the point of attention
[00:09:30.440 --> 00:09:31.720]   that gets around that?
[00:09:31.720 --> 00:09:33.880]   Can't we use something with attention to help,
[00:09:33.880 --> 00:09:35.040]   or does that just help?
[00:09:35.040 --> 00:09:37.480]   So it won't solve the parallelizability problem.
[00:09:37.480 --> 00:09:39.840]   And in fact, everything we do in the rest of this lecture
[00:09:39.840 --> 00:09:41.160]   will be attention-based.
[00:09:41.160 --> 00:09:42.620]   But we'll get rid of the recurrence
[00:09:42.620 --> 00:09:44.360]   and just do attention, more or less.
[00:09:44.360 --> 00:09:48.720]   So well, yeah, it's a great intuition.
[00:09:48.720 --> 00:09:49.920]   Any other questions?
[00:09:49.920 --> 00:09:54.480]   OK, cool.
[00:09:54.480 --> 00:09:57.920]   So if not recurrence, what about attention?
[00:09:57.920 --> 00:10:00.040]   See, I'm just a slide back.
[00:10:00.040 --> 00:10:04.440]   And so we're going to get deep into attention today.
[00:10:04.440 --> 00:10:06.520]   But just for the second, attention
[00:10:06.520 --> 00:10:08.160]   treats each word's representation
[00:10:08.160 --> 00:10:11.480]   as a query to access and incorporate information
[00:10:11.480 --> 00:10:12.840]   from a set of values.
[00:10:12.840 --> 00:10:14.880]   So previously, we were in a decoder.
[00:10:14.880 --> 00:10:17.360]   We were decoding out a translation of a sentence.
[00:10:17.360 --> 00:10:19.280]   And we attended to the encoder so
[00:10:19.280 --> 00:10:21.520]   that we didn't have to store the entire representation
[00:10:21.520 --> 00:10:24.020]   of the source sentence into a single vector.
[00:10:24.020 --> 00:10:26.120]   And here, today, we'll think about attention
[00:10:26.120 --> 00:10:27.520]   within a single sentence.
[00:10:27.520 --> 00:10:29.840]   So I've got this sentence written out here
[00:10:29.840 --> 00:10:32.680]   with a word 1 through word t, in this case.
[00:10:32.680 --> 00:10:35.960]   And right on these integers in the boxes,
[00:10:35.960 --> 00:10:38.840]   I'm writing out the number of unparallelizable operations
[00:10:38.840 --> 00:10:41.880]   that you need to do before you can compute these.
[00:10:41.880 --> 00:10:43.600]   So for each word, you can independently
[00:10:43.600 --> 00:10:46.920]   compute its embedding without doing anything else previously,
[00:10:46.920 --> 00:10:50.320]   because the embedding just depends on the word identity.
[00:10:50.320 --> 00:10:53.460]   And then with attention, if I wanted
[00:10:53.460 --> 00:10:55.580]   to build an attention representation of this word
[00:10:55.580 --> 00:10:57.780]   by looking at all the other words in the sequence,
[00:10:57.780 --> 00:10:59.740]   that's one big operation.
[00:10:59.740 --> 00:11:02.460]   And I can do them in parallel for all the words.
[00:11:02.460 --> 00:11:04.460]   So the attention for this word, I
[00:11:04.460 --> 00:11:06.100]   can do for the attention for this word.
[00:11:06.100 --> 00:11:09.100]   I don't need to walk left to right like I did for an RNN.
[00:11:09.100 --> 00:11:10.940]   Again, we'll get much deeper into this.
[00:11:10.940 --> 00:11:13.940]   But you should have the intuition
[00:11:13.940 --> 00:11:16.220]   that it solves the linear interaction
[00:11:16.220 --> 00:11:18.860]   problem and the non-parallelizability problem.
[00:11:18.860 --> 00:11:22.120]   Because now, no matter how far away words are from each other,
[00:11:22.120 --> 00:11:23.980]   I am potentially interacting.
[00:11:23.980 --> 00:11:27.600]   I might just attend to you, even if you're very, very far away,
[00:11:27.600 --> 00:11:29.840]   sort of independent of how far away you are.
[00:11:29.840 --> 00:11:33.120]   And I also don't need to sort of walk along the sequence
[00:11:33.120 --> 00:11:34.320]   linearly long.
[00:11:34.320 --> 00:11:36.840]   So I'm treating the whole sequence at once.
[00:11:36.840 --> 00:11:38.320]   All right.
[00:11:38.320 --> 00:11:40.520]   So the intuition is that attention
[00:11:40.520 --> 00:11:42.280]   allows you to look very far away at once.
[00:11:42.280 --> 00:11:44.440]   And it doesn't have this dependence on the sequence
[00:11:44.440 --> 00:11:47.120]   index that keeps us from parallelizing operations.
[00:11:47.120 --> 00:11:48.620]   And so now, the rest of the lecture
[00:11:48.620 --> 00:11:51.780]   will talk in great depth about attention.
[00:11:51.780 --> 00:11:55.220]   So maybe let's just move on.
[00:11:55.220 --> 00:11:56.300]   OK.
[00:11:56.300 --> 00:12:00.180]   So let's think more deeply about attention.
[00:12:00.180 --> 00:12:02.660]   One thing that you might think of with attention
[00:12:02.660 --> 00:12:05.540]   is that it's sort of performing kind of a fuzzy lookup
[00:12:05.540 --> 00:12:07.180]   in a key value store.
[00:12:07.180 --> 00:12:09.540]   So you have a bunch of keys, a bunch of values,
[00:12:09.540 --> 00:12:12.140]   and it's going to help you sort of access that.
[00:12:12.140 --> 00:12:14.300]   So in an actual lookup table, just
[00:12:14.300 --> 00:12:18.220]   like a dictionary in Python, for example, very simple.
[00:12:18.220 --> 00:12:22.100]   You have a table of keys that each key maps to a value.
[00:12:22.100 --> 00:12:23.500]   And then you give it a query.
[00:12:23.500 --> 00:12:26.300]   And the query matches one of the keys.
[00:12:26.300 --> 00:12:27.940]   And then you return the value.
[00:12:27.940 --> 00:12:31.420]   So I've got a bunch of keys here.
[00:12:31.420 --> 00:12:33.220]   And my query matches the key.
[00:12:33.220 --> 00:12:34.660]   So I return the value.
[00:12:34.660 --> 00:12:36.940]   Simple, fair, easy.
[00:12:36.940 --> 00:12:37.740]   OK.
[00:12:37.740 --> 00:12:39.500]   Good.
[00:12:39.500 --> 00:12:44.060]   And in attention, so just like we saw before,
[00:12:44.060 --> 00:12:46.660]   the query matches all keys softly.
[00:12:46.660 --> 00:12:48.940]   There's no exact match.
[00:12:48.940 --> 00:12:50.780]   You sort of compute some sort of similarity
[00:12:50.780 --> 00:12:52.660]   between the key and all of the--
[00:12:52.660 --> 00:12:54.620]   sorry, the query and all of the keys.
[00:12:54.620 --> 00:12:56.260]   And then you sort of weight the results.
[00:12:56.260 --> 00:12:57.780]   So you've got a query again.
[00:12:57.780 --> 00:13:00.020]   You've got a bunch of keys.
[00:13:00.020 --> 00:13:04.500]   The query, to different extents, is similar to each of the keys.
[00:13:04.500 --> 00:13:08.460]   And you will sort of measure that similarity between 0 and 1
[00:13:08.460 --> 00:13:10.140]   through a softmax.
[00:13:10.140 --> 00:13:12.380]   And then you get the values out.
[00:13:12.380 --> 00:13:15.660]   So you average them via the weights of the similarity
[00:13:15.660 --> 00:13:18.780]   between the key and the query and the keys.
[00:13:18.780 --> 00:13:20.580]   You do a weighted sum with those weights.
[00:13:20.580 --> 00:13:21.660]   And you get an output.
[00:13:21.660 --> 00:13:24.780]   So it really is quite a bit like a lookup table,
[00:13:24.780 --> 00:13:29.940]   but in this sort of soft vector space, mushy sort of sense.
[00:13:29.940 --> 00:13:32.140]   So I'm really doing some kind of accessing
[00:13:32.140 --> 00:13:35.820]   into this information that's stored in the key value store.
[00:13:35.820 --> 00:13:38.220]   But I'm sort of softly looking at all of the results.
[00:13:41.220 --> 00:13:42.300]   OK, any questions there?
[00:13:42.300 --> 00:13:46.940]   Cool.
[00:13:46.940 --> 00:13:48.620]   So what might this look like?
[00:13:48.620 --> 00:13:50.980]   So if I was trying to represent this sentence,
[00:13:50.980 --> 00:13:54.260]   I went to Stanford CS224n and learned.
[00:13:54.260 --> 00:13:56.260]   So I'm trying to build a representation of learned.
[00:13:56.260 --> 00:14:01.580]   I have a key for each word.
[00:14:01.580 --> 00:14:04.500]   So this is this self-attention thing that we'll get into.
[00:14:04.500 --> 00:14:06.740]   I have a key for each word, a value for each word.
[00:14:06.740 --> 00:14:08.380]   I've got the query for learned.
[00:14:08.380 --> 00:14:11.620]   And I've got these sort of tealish bars up top,
[00:14:11.620 --> 00:14:13.620]   which sort of might say how much you're
[00:14:13.620 --> 00:14:15.500]   going to try to access each of the word.
[00:14:15.500 --> 00:14:18.300]   Like, oh, maybe 224n is not that important.
[00:14:18.300 --> 00:14:20.500]   CS, maybe that determines what I learned.
[00:14:20.500 --> 00:14:22.700]   You know, Stanford.
[00:14:22.700 --> 00:14:25.180]   And then learned, maybe that's important to representing
[00:14:25.180 --> 00:14:25.900]   itself.
[00:14:25.900 --> 00:14:28.100]   So you sort of look across at the whole sentence
[00:14:28.100 --> 00:14:31.020]   and build up this sort of soft accessing of information
[00:14:31.020 --> 00:14:35.860]   across the sentence in order to represent learned in context.
[00:14:35.860 --> 00:14:38.860]   So this is just a toy diagram.
[00:14:38.860 --> 00:14:40.460]   So let's get into the math.
[00:14:40.460 --> 00:14:43.540]   So we're going to look at a sequence of words.
[00:14:43.540 --> 00:14:46.860]   So that's w1 to n, a sequence of words in a vocabulary.
[00:14:46.860 --> 00:14:49.140]   So this is like, you know, Zuko made his uncle tea.
[00:14:49.140 --> 00:14:50.340]   That's a good sequence.
[00:14:50.340 --> 00:14:52.580]   And for each word, we're going to embed it
[00:14:52.580 --> 00:14:54.620]   with this embedding matrix, just like we've
[00:14:54.620 --> 00:14:56.180]   been doing in this class.
[00:14:56.180 --> 00:14:57.780]   So I have this embedding matrix that
[00:14:57.780 --> 00:15:02.460]   goes from the vocabulary size to the dimensionality d.
[00:15:02.460 --> 00:15:04.660]   So each word has a non-contextual,
[00:15:04.660 --> 00:15:07.500]   only dependent on itself, word embedding.
[00:15:07.500 --> 00:15:11.340]   And now I'm going to transform each word with one of three
[00:15:11.340 --> 00:15:12.500]   different weight matrices.
[00:15:12.500 --> 00:15:16.820]   So this is often called key query value self-attention.
[00:15:16.820 --> 00:15:19.980]   So I have a matrix Q, which is an rd to d.
[00:15:19.980 --> 00:15:23.420]   So this maps xi, which is a vector of dimensionality d,
[00:15:23.420 --> 00:15:25.780]   to another vector of dimensionality d.
[00:15:25.780 --> 00:15:28.500]   And that's going to be a query vector.
[00:15:28.500 --> 00:15:31.260]   So it takes an xi and it sort of rotates it,
[00:15:31.260 --> 00:15:33.940]   shuffles it around, stretches it, squishes it.
[00:15:33.940 --> 00:15:35.060]   Makes it different.
[00:15:35.060 --> 00:15:35.940]   And now it's a query.
[00:15:35.940 --> 00:15:38.300]   And now for a different learnable parameter, k--
[00:15:38.300 --> 00:15:39.500]   so that's another matrix.
[00:15:39.500 --> 00:15:41.940]   I'm going to come up with my keys.
[00:15:41.940 --> 00:15:45.220]   And with a different learnable parameter, v,
[00:15:45.220 --> 00:15:47.100]   I'm going to come up with my values.
[00:15:47.100 --> 00:15:49.640]   So I'm taking each of the non-contextual word embeddings,
[00:15:49.640 --> 00:15:53.300]   each of these xi's, and I'm transforming each of them
[00:15:53.300 --> 00:15:57.140]   to come up with my query for that word, my key for that word,
[00:15:57.140 --> 00:16:00.220]   and my value for that word.
[00:16:00.220 --> 00:16:03.700]   So every word is doing each of these roles.
[00:16:03.700 --> 00:16:06.660]   Next, I'm going to compute all pairs of similarities
[00:16:06.660 --> 00:16:08.220]   between the keys and queries.
[00:16:08.220 --> 00:16:10.500]   So in the toy example we saw, I was
[00:16:10.500 --> 00:16:13.260]   computing the similarity between a single query for the word
[00:16:13.260 --> 00:16:17.380]   learned and all of the keys for the entire sentence.
[00:16:17.380 --> 00:16:20.380]   In this context, I'm computing all pairs of similarities
[00:16:20.380 --> 00:16:24.300]   between all keys and all values because I want to represent
[00:16:24.300 --> 00:16:25.140]   all of these sums.
[00:16:25.140 --> 00:16:27.620]   So I've got this sort of dot--
[00:16:27.620 --> 00:16:29.780]   I'm just going to take the dot product between these two
[00:16:29.780 --> 00:16:30.420]   vectors.
[00:16:30.420 --> 00:16:31.820]   So I've got qi.
[00:16:31.820 --> 00:16:34.140]   So this is saying the query for word i
[00:16:34.140 --> 00:16:36.100]   dotted with the key for word j.
[00:16:36.100 --> 00:16:40.980]   And I get this score, which is a real value.
[00:16:40.980 --> 00:16:42.820]   Might be very large negative, might be zero,
[00:16:42.820 --> 00:16:44.660]   might be very large and positive.
[00:16:44.660 --> 00:16:46.580]   And so that's like, how much should I
[00:16:46.580 --> 00:16:50.140]   look at j in this lookup table?
[00:16:50.140 --> 00:16:51.340]   And then I do the softmax.
[00:16:51.340 --> 00:16:52.580]   So I softmax.
[00:16:52.580 --> 00:16:55.140]   So I say that the actual weight that I'm
[00:16:55.140 --> 00:16:58.660]   going to look at j from i is softmax of this
[00:16:58.660 --> 00:17:00.900]   over all of the possible indices.
[00:17:00.900 --> 00:17:03.780]   So it's like the affinity between i and j
[00:17:03.780 --> 00:17:06.020]   normalized by the affinity between i
[00:17:06.020 --> 00:17:08.220]   and all of the possible j prime in the sequence.
[00:17:08.220 --> 00:17:13.940]   And then my output is just the weighted sum of values.
[00:17:13.940 --> 00:17:16.060]   So I've got this output for word i.
[00:17:16.060 --> 00:17:18.420]   So maybe i is like 1 for Zuko.
[00:17:18.420 --> 00:17:22.140]   And I'm representing it as the sum of these weights
[00:17:22.140 --> 00:17:23.140]   for all j.
[00:17:23.140 --> 00:17:26.180]   So Zuko and maid and his and uncle and t.
[00:17:26.180 --> 00:17:30.140]   And the value vector for that word j.
[00:17:30.140 --> 00:17:34.940]   I'm looking from i to j as much as alpha ij.
[00:17:34.940 --> 00:17:37.380]   What's the dimension of Wi?
[00:17:37.380 --> 00:17:39.380]   [INAUDIBLE]
[00:17:39.380 --> 00:17:44.900]   Oh, Wi, you can either think of it as a symbol in vocab v.
[00:17:44.900 --> 00:17:47.660]   So that's like, you could think of it as a one-hot vector.
[00:17:47.660 --> 00:17:51.220]   And yeah, in this case, we are, I guess, thinking of it as--
[00:17:51.220 --> 00:17:54.380]   so one-hot vector in dimensionality size of vocab.
[00:17:54.380 --> 00:17:59.660]   So in the matrix E, you see that it's r d by bars around v.
[00:17:59.660 --> 00:18:01.700]   That's size of the vocabulary.
[00:18:01.700 --> 00:18:05.100]   So when I do E multiplied by Wi, that's
[00:18:05.100 --> 00:18:10.540]   taking E, which is d by v, multiplying it by w, which is v,
[00:18:10.540 --> 00:18:13.100]   and returning a vector that's dimensionality d.
[00:18:13.100 --> 00:18:16.940]   So w in that first line, like w1n,
[00:18:16.940 --> 00:18:20.700]   that's a matrix where it has maybe
[00:18:20.700 --> 00:18:23.500]   like a column for every word in that sentence.
[00:18:23.500 --> 00:18:25.820]   And each column is a length v.
[00:18:25.820 --> 00:18:28.460]   Yeah, usually, I guess we think of it as having a--
[00:18:28.460 --> 00:18:31.780]   I mean, if I'm putting the sequence length index first,
[00:18:31.780 --> 00:18:33.980]   you might think of it as having a row for each word.
[00:18:33.980 --> 00:18:37.020]   But similarly, yeah, it's n, which is the sequence length.
[00:18:37.020 --> 00:18:39.020]   And then the second dimension would be v,
[00:18:39.020 --> 00:18:40.740]   which is the vocabulary size.
[00:18:40.740 --> 00:18:42.740]   And then that gets mapped to this thing, which
[00:18:42.740 --> 00:18:46.380]   is sequence length by d.
[00:18:46.380 --> 00:18:49.460]   Why do we learn two different matrices, q and k,
[00:18:49.460 --> 00:18:51.420]   when q transpose--
[00:18:51.420 --> 00:18:56.100]   qi transpose kj is really just one matrix in the middle?
[00:18:56.100 --> 00:18:57.100]   That's a great question.
[00:18:57.100 --> 00:18:59.500]   It ends up being because this will end up
[00:18:59.500 --> 00:19:02.060]   being a low-rank approximation to that matrix.
[00:19:02.060 --> 00:19:05.500]   So it is for computational efficiency reasons.
[00:19:05.500 --> 00:19:07.660]   Although it also, I think, feels kind
