
[00:00:00.000 --> 00:00:19.360]   We're going to talk about Apple's private cloud compute. This is an unofficial guide. I don't
[00:12:59.760 --> 00:13:03.840]   definitely someone is like doing some sort of shenanigans, right? They might have like hijacked
[00:13:03.840 --> 00:13:09.600]   your connection, whatever. And it's just because like a limited set of people can write to this log
[00:13:09.600 --> 00:13:14.400]   and there's no way to modify the log, right? It's append only. It uses like a Merkle tree so that you can't
[00:13:14.400 --> 00:13:23.680]   change the contents. Great. So that is the transparency log. So let me tell you how this all comes together,
[00:13:23.680 --> 00:13:31.760]   right? So remote attestation is this flow. Again, the iPhone firsts through the anonymizer,
[00:13:31.760 --> 00:13:37.360]   requests a remote attestation package and then says, well, if I believe that remote attestation package,
[00:13:37.360 --> 00:13:43.440]   I trust the contents that is running on the server. I can then send my data and I phrase this as try to
[00:13:43.440 --> 00:13:49.920]   decrypt the data on the AI. Again, if the attestation changed, the AI engine would not be able to decrypt the
[00:13:49.920 --> 00:13:54.000]   data, right? So that's the most important part, right? It says, I'm running this thing. Trust me.
[00:13:54.000 --> 00:13:58.160]   And it says, I trust you. Okay, great. Encrypt it. And I can only decrypt it as long as it's still
[00:13:58.160 --> 00:14:04.720]   running the exact thing I said I trusted. And the second item we talked about is the transparency log,
[00:14:04.720 --> 00:14:09.200]   which is check if the attested claims match the transparency log. And this transparency log we
[00:14:09.200 --> 00:14:14.720]   talked about. So on here, Apple is writing a lot, a lot of software onto the log and then essentially
[00:14:14.720 --> 00:14:20.400]   saying, trust what's on the log, you can verify it offline. And then when the attestation claims come
[00:14:20.400 --> 00:14:28.000]   in, just double check that they do indeed match. Okay, and then I don't have time to get into all of
[00:14:28.000 --> 00:14:36.240]   these. But here are some of the other items that we talked about, the blind signatures, the oblivious
[00:14:36.240 --> 00:14:42.160]   HTTP is the anonymizer, blind signatures are the way they do the auth. And then of course,
[00:14:42.160 --> 00:14:48.880]   over here, we have the secure enclave, I kind of put that outside of the AI engine, they're separate
[00:14:48.880 --> 00:14:53.280]   pieces of hardware. And then the hardening is just this little lock, but you know, we don't have time
[00:14:53.280 --> 00:15:01.440]   to get into it. And that's kind of at a very conceptual level, like you could essentially do a PhD on
[00:15:01.440 --> 00:15:09.760]   each of these, how Apple's PCC works. So what are the gaps? What are the downsides? Well, first, you have
[00:15:09.760 --> 00:15:15.360]   to put all of your trust in Apple still, right? On the bright side, like Apple runs their whole supply chain,
[00:15:15.360 --> 00:15:21.200]   they verify the nodes when they get them at their data center, they actually re-sign them with what's
[00:15:21.200 --> 00:15:28.160]   called data center identity keys or something like that, DCI case. But there's no guarantee that Apple
[00:15:28.160 --> 00:15:33.360]   doesn't share the certs with anyone, or insecurely generate them, or set the private key to one
[00:15:33.360 --> 00:15:39.600]   everywhere. Now, I think they are trying to do their best effort, but you still have to trust. You've
[00:15:39.600 --> 00:15:45.120]   shifted the trust now into like Apple's behavior rather than the hardware. But anyhow,
[00:15:45.120 --> 00:15:50.800]   they're only available on Apple devices for consumer use on official apps. Maybe at some point,
[00:15:50.800 --> 00:15:57.760]   they'll make PCC available to everyone else, but not yet. So what trade-offs do is Apple PCC make,
[00:15:57.760 --> 00:16:05.040]   they're limited by latencies to Apple data centers. So they do have local models first that they try and
[00:16:05.040 --> 00:16:11.760]   use, but if those local models aren't adequate, they'll send them to data centers. As we start to do
[00:16:11.760 --> 00:16:17.600]   like real-time voice and other things, this is a little more latencies, like adds a lot more latency
[00:16:17.600 --> 00:16:22.480]   to the system. The compute costs are higher. There's doing a lot more encryption. There's like,
[00:16:22.480 --> 00:16:26.400]   I didn't, I mean, you're not seeing it, but there's like six layers of encryption before it even gets to
[00:16:26.400 --> 00:16:30.080]   that node. That actually, that actually makes it happen. So you're spending a little bit more compute
[00:16:30.080 --> 00:16:36.000]   there. Like I told you, no custom models, no fine tuning. The client libraries are very complicated.
[00:16:36.000 --> 00:16:42.480]   The client having to orchestrate all of these requests, this transparency log, this auth,
[00:16:42.480 --> 00:16:48.480]   that's way more complicated than a simple HTTP request, which kind of sucks. And what if
[00:16:48.480 --> 00:16:54.400]   your iPhone goes down after it's authenticated, and then it loses all the authentication keys? Like,
[00:16:54.400 --> 00:16:58.080]   you've essentially like lost all of your state, right? So there's a lot more stateful.
[00:16:58.080 --> 00:17:06.080]   Operationally complex. You can't SSH into the machine and there's no logging. So that's difficult.
[00:17:06.080 --> 00:17:11.840]   Not everyone would sign up for that. You can't do any usage tracking. If you could do usage tracking,
[00:17:11.840 --> 00:17:18.160]   then you'd be identified, right? And so Apple can't like parcel out, you know, you get 2000 tokens.
[00:17:18.160 --> 00:17:23.840]   They do do some fraud and abuse tracking at a very gross level. But if you wanted to use this and
[00:17:23.840 --> 00:17:28.080]   maybe pass on your costs, a similar architecture and pass on your costs to the customer, you wouldn't
[00:17:28.080 --> 00:17:33.760]   be able to know which customer was doing what, right? And then not open to third party developers.
[00:17:33.760 --> 00:17:40.480]   Okay. What can I learn from this? I gave you the list of six that Apple uses. And here's what's
[00:17:40.480 --> 00:17:45.440]   available in our world. If you're not developing on Apple Silicon and Apple hardware, you still have
[00:17:45.440 --> 00:17:50.320]   oblivious HTTP and blind signatures. There are libraries to do that. So we don't have secure enclaves,
[00:17:50.320 --> 00:17:56.720]   but we have TPMs. Almost all Intel and AMD hardware now has TPMs. And then in the cloud environment,
[00:17:56.720 --> 00:18:02.560]   they have virtual TPMs that provide the same behavior as a TPM. And again, that's where you put a bunch of
[00:18:02.560 --> 00:18:08.560]   your private keys that are tied to that public key that I talked about. These are available for us. Secure boot
[00:18:08.560 --> 00:18:16.800]   and hardened operating system. Remote attestation is kind of available. It's kind of tied to the TPM.
[00:18:16.800 --> 00:18:22.560]   There aren't great standards yet, but there is a little bit of work there. Transparency log. There
[00:18:22.560 --> 00:18:27.360]   are two open ones. One's called SIGSUM. The other one's called SIGSTORE. If you've heard of them, if not.
[00:18:29.440 --> 00:18:36.800]   And then confidential VMs are just becoming available on cloud providers with GPUs. So confidential computing
[00:18:36.800 --> 00:18:42.880]   has been around for a while, but now you also have to have confidential H100s. And only H100s support,
[00:18:42.880 --> 00:18:47.520]   and H200s support confidentiality. What that means is that their memory is encrypted. So if you were to
[00:18:47.520 --> 00:18:52.800]   physically go up to the H100 and like try to look at its RAM, you wouldn't be able to see what's going on
[00:18:52.800 --> 00:18:57.680]   there or figure out what's going on there. And then finally, what we have that Apple doesn't have is we
[00:18:57.680 --> 00:19:01.440]   have open source and we have reproducible builds. We have the ability to link the source code to the
[00:19:01.440 --> 00:19:08.080]   binaries. And so we can have security research look at the source code as well as, you know, black box
[00:19:08.080 --> 00:19:13.920]   test the binaries and develop confidence in what the server might be running. All right, what's next?
[00:19:13.920 --> 00:19:19.280]   Okay, so Apple has set the standard for private AI and the market is definitely following.
[00:19:21.280 --> 00:19:26.960]   That was in June of 2024. It wasn't actually released until October of 2024. Azure Open AI,
[00:19:26.960 --> 00:19:31.280]   or sorry, Azure AI, not Azure Open AI, is doing private inferencing starting as in September.
[00:19:31.280 --> 00:19:36.160]   They're still in private preview. And then about a month ago, Meta of all companies, I guess I'm
[00:19:36.160 --> 00:19:43.200]   recorded, Meta of all these great companies, also added private processing, which if you read their blog
[00:19:43.200 --> 00:19:48.320]   post, it's like they copy and pasted this. Maybe they used Llama to rewrite it into their language,
[00:19:48.320 --> 00:19:52.960]   but it's essentially identical, which is great for all of us thinking about privacy. And sure,
[00:19:52.960 --> 00:19:56.800]   I'm sure WhatsApp also doesn't want those like press releases like I showed earlier.
[00:19:56.800 --> 00:20:03.040]   So I'll just close by saying we're building the same thing. But for everyone else, if you're not on
[00:20:03.040 --> 00:20:08.800]   Apple or you're not in WhatsApp, we have it. It's called Confident Security. And if you'd like to
[00:20:09.600 --> 00:20:14.640]   talk more, let me know. By the way, this is an anti-AI shirt, which means that if you take pictures
[00:20:14.640 --> 00:20:19.920]   of me, it will confuse all the facial recognition stuff. We have others. If you have some cool
[00:20:19.920 --> 00:20:24.960]   questions and want to talk afterward, if it deems it worthy, I will give you an anti-AI shirt. We also
[00:20:24.960 --> 00:20:35.360]   have some other privacy-based swag in the back. So come hit me up. Thanks, everyone.

