
[00:00:00.040 --> 00:00:09.580]   Bizim
[00:05:22.760 --> 00:05:22.760]   I've done calls on all kinds of people who are broke and in debt,
[00:05:22.760 --> 00:05:22.760]   and I've done calls with people who are multimillionaires.
[00:05:22.760 --> 00:05:52.780]  , and I've done calls with people who are broke and in debt,
[00:05:52.780 --> 00:05:52.780]   and I've done calls with people who are broke and in debt,
[00:05:52.780 --> 00:05:52.780]   and I've done calls with people who are broke and in debt,
[00:05:52.780 --> 00:05:52.780]   and I've done calls with people who are broke and in debt,
[00:05:52.780 --> 00:05:52.780]   and I've done calls with people who are broke and in debt,
[00:05:52.780 --> 00:05:52.780]   and I've done calls with people who are broke and in debt,
[00:05:52.800 --> 00:06:22.800]   I've done calls with people who are broke and in debt,
[00:06:22.800 --> 00:06:22.800]   and I've done calls with people who are broke and in debt,
[00:06:22.800 --> 00:06:22.800]   and I've done calls with people who are broke and in debt,
[00:06:22.800 --> 00:06:22.800]   and I've done calls with people who are broke and in debt,
[00:06:22.800 --> 00:06:22.800]   and I've done calls with people who are broke and in debt,
[00:06:22.800 --> 00:06:22.800]   and I've done calls with people who are broke and in debt,
[00:06:22.800 --> 00:06:22.800]   and I've done calls with people who are broke and in debt,
[00:06:22.800 --> 00:06:22.800]   and I've done calls with people who are broke and in debt,
[00:06:22.800 --> 00:06:22.800]   and I've done calls with people who are broke and in debt,
[00:06:22.800 --> 00:06:22.800]   and I've done calls with people who are broke and in debt,
[00:06:22.800 --> 00:06:22.800]   and I've done calls with people who are broke and in debt,
[00:06:22.800 --> 00:06:22.800]   and I've done calls with people who are broke and in debt,
[00:06:22.800 --> 00:06:22.800]   and I've done calls with people who are broke and in debt,
[00:06:22.800 --> 00:06:52.820]   and I've done calls with people who are broke and in debt,
[00:06:52.820 --> 00:06:52.820]   and I've done calls with people who are broke and in debt,
[00:06:52.820 --> 00:06:52.820]   and I've done calls with people who are broke and in debt,
[00:06:52.820 --> 00:06:52.820]   and I've done calls with people who are broke and in debt,
[00:06:52.820 --> 00:06:52.820]   and I've done calls with people who are broke and in debt,
[00:06:52.820 --> 00:06:52.820]   and I've done calls with people who are broke and in debt,
[00:06:52.820 --> 00:06:52.820]   and I've done calls with people who are broke and in debt,
[00:06:52.820 --> 00:06:52.820]   and I've done calls with people who are broke and in debt,
[00:06:52.840 --> 00:07:22.840]   and I've done calls with people who are broke and in debt,
[00:07:22.840 --> 00:07:22.840]   and I've done calls with people who are broke and in debt,
[00:07:22.840 --> 00:07:22.840]   and I've done calls with people who are broke and in debt,
[00:07:22.840 --> 00:07:22.840]   and I've done calls with people who are broke and in debt,
[00:07:22.840 --> 00:07:22.840]   and I've done calls with people who are broke and in debt,
[00:07:22.840 --> 00:07:22.840]   and I've done calls with people who are broke and in debt,
[00:07:22.840 --> 00:07:22.840]   and I've done calls with people who are broke and in debt,
[00:07:22.840 --> 00:07:22.840]   and I've done calls with people who are broke and in debt,
[00:07:22.840 --> 00:07:22.840]   and I've done calls with people who are broke and in debt,
[00:07:22.840 --> 00:07:22.840]   and I've done calls with people who are broke and in debt,
[00:07:22.840 --> 00:07:22.840]   and I've done calls with people who are broke and in debt,
[00:07:22.840 --> 00:07:22.840]   and I've done calls with people who are broke and in debt,
[00:07:22.840 --> 00:07:22.840]   and I've done calls with people who are broke and in debt,
[00:07:22.840 --> 00:07:52.860]   and I've done calls with people who are broke and in debt,
[00:07:52.860 --> 00:07:52.860]   and I've done calls with people who are broke and in debt,
[00:07:52.860 --> 00:07:52.860]   and I've done calls with people who are broke and in debt,
[00:07:52.860 --> 00:07:52.860]   and I've done calls with people who are broke and in debt,
[00:07:52.860 --> 00:07:52.860]   and I've done calls with people who are broke and in debt,
[00:07:52.860 --> 00:07:52.860]   and I've done calls with people who are broke and in debt,
[00:07:52.860 --> 00:07:52.860]   and I've done calls with people who are broke and in debt,
[00:07:52.860 --> 00:07:52.860]   and I've done calls with people who are broke and in debt,
[00:07:52.860 --> 00:07:52.860]   and I've done calls with people who are broke and in debt,
[00:07:52.860 --> 00:07:52.860]   and I've done calls with people who are broke and in debt,
[00:07:52.880 --> 00:08:22.880]   and I've done calls with people who are broke and in debt,
[00:08:22.880 --> 00:08:22.880]   and I've done calls with people who are broke and in debt,
[00:08:22.880 --> 00:08:22.880]   and I've done calls with people who are broke and in debt,
[00:08:22.880 --> 00:08:22.880]   and I've done calls with people who are broke and in debt,
[00:08:22.880 --> 00:08:22.880]   and I've done calls with people who are broke and in debt,
[00:08:22.880 --> 00:08:22.880]   and I've done calls with people who are broke and in debt,
[00:08:22.880 --> 00:08:22.880]   and I've done calls with people who are broke and in debt,
[00:08:22.880 --> 00:08:22.880]   and I've done calls with people who are broke and in debt,
[00:08:22.880 --> 00:08:22.880]   and I've done calls with people who are broke and in debt,
[00:08:22.880 --> 00:08:22.880]   and I've done calls with people who are broke and in debt,
[00:08:22.880 --> 00:08:22.880]   and I've done calls with people who are broke and in debt,
[00:08:22.880 --> 00:08:22.880]   and I've done calls with people who are broke and in debt,
[00:08:22.880 --> 00:08:22.880]   and I've done calls with people who are broke and in debt,
[00:08:22.880 --> 00:08:52.900]   and I've done calls with people who are broke and in debt,
[00:08:52.900 --> 00:08:52.900]   and I've done calls with people who are broke and in debt,
[00:08:52.900 --> 00:08:52.900]   and I've done calls with people who are broke and in debt,
[00:08:52.900 --> 00:08:52.900]   and I've done calls with people who are broke and in debt,
[00:08:52.900 --> 00:08:52.900]   and I've done calls with people who are broke and in debt,
[00:08:52.900 --> 00:08:52.900]   and I've done calls with people who are broke and in debt,
[00:08:52.900 --> 00:08:52.900]   and I've done calls with people who are broke and in debt,
[00:08:52.900 --> 00:08:52.900]   and I've done calls with people who are broke and in debt,
[00:08:52.900 --> 00:08:52.900]   and I've done calls with people who are broke and in debt,
[00:08:52.920 --> 00:09:22.920]   I've done calls with people who are broke and in debt,
[00:09:22.920 --> 00:09:22.920]   and I've done calls with people who are broke and in debt,
[00:09:22.920 --> 00:09:22.920]   and I've done calls with people who are broke and in debt,
[00:09:22.920 --> 00:09:22.920]   and I've done calls with people who are broke and in debt,
[00:09:22.920 --> 00:09:22.920]   and I've done calls with people who are broke and in debt,
[00:09:22.920 --> 00:09:22.920]   and I've done calls with people who are broke and in debt,
[00:09:22.920 --> 00:09:22.920]   and I've done calls with people who are broke and in debt,
[00:09:22.920 --> 00:09:22.920]   and I've done calls with people who are broke and in debt,
[00:09:22.920 --> 00:09:22.920]   and I've done calls with people who are broke and in debt,
[00:09:22.920 --> 00:09:22.920]   and I've done calls with people who are broke and in debt,
[00:09:22.920 --> 00:09:22.920]   and I've done calls with people who are broke and in debt,
[00:09:22.920 --> 00:09:22.920]   and I've done calls with people who are broke and in debt,
[00:09:22.920 --> 00:09:22.920]   and I've done calls with people who are broke and in debt,
[00:09:22.920 --> 00:09:52.940]   and I've done calls with people who are broke and in debt,
[00:09:52.940 --> 00:09:52.940]   and I've done calls with people who are broke and in debt,
[00:09:52.940 --> 00:09:52.940]   and I've done calls with people who are broke and in debt,
[00:09:52.940 --> 00:09:52.940]   and I've done calls with people who are broke and in debt,
[00:09:52.940 --> 00:09:52.940]   and I've done calls with people who are broke and in debt,
[00:09:52.940 --> 00:09:52.940]   and I've done calls with people who are broke and in debt,
[00:09:52.940 --> 00:09:52.940]   and I've done calls with people who are broke and in debt,
[00:09:52.960 --> 00:10:22.960]   I've done calls with people who are broke and in debt,
[00:10:22.960 --> 00:10:22.960]   and I've done calls with people who are broke and in debt,
[00:10:22.960 --> 00:10:22.960]   and I've done calls with people who are broke and in debt,
[00:10:22.960 --> 00:10:22.960]   and I've done calls with people who are broke and in debt,
[00:10:22.960 --> 00:10:22.960]   and I've done calls with people who are broke and in debt,
[00:10:22.960 --> 00:10:22.960]   and I've done calls with people who are broke and in debt,
[00:10:22.960 --> 00:10:22.960]   and I've done calls with people who are broke and in debt,
[00:10:22.960 --> 00:10:22.960]   and I've done calls with people who are broke and in debt,
[00:10:22.960 --> 00:10:22.960]   and I've done calls with people who are broke and in debt,
[00:10:22.960 --> 00:10:22.960]   and I've done calls with people who are broke and in debt,
[00:10:22.960 --> 00:10:22.960]   and I've done calls with people who are broke and in debt,
[00:10:22.960 --> 00:10:22.960]   and I've done calls with people who are broke and in debt,
[00:10:22.960 --> 00:10:22.960]   and I've done calls with people who are broke and in debt,
[00:10:22.960 --> 00:10:52.980]   and I've done calls with people who are broke and in debt,
[00:10:52.980 --> 00:10:52.980]   and I've done calls with people who are broke and in debt,
[00:10:52.980 --> 00:10:52.980]   and I've done calls with people who are broke and in debt,
[00:10:52.980 --> 00:10:52.980]   and I've done calls with people who are broke and in debt,
[00:10:52.980 --> 00:10:52.980]   and I've done calls with people who are broke and in debt,
[00:10:52.980 --> 00:10:52.980]   and I've done calls with people who are broke and in debt,
[00:10:52.980 --> 00:10:52.980]   and I've done calls with people who are broke and in debt,
[00:10:52.980 --> 00:10:52.980]   and I've done calls with people who are broke and in debt,
[00:10:53.000 --> 00:11:23.000]   and I've done calls with people who are broke and in debt,
[00:11:23.000 --> 00:11:23.000]   and I've done calls with people who are broke and in debt,
[00:11:23.000 --> 00:11:23.000]   and I've done calls with people who are broke and in debt,
[00:11:23.000 --> 00:11:23.000]   and I've done calls with people who are broke and in debt,
[00:11:23.000 --> 00:11:23.000]   and I've done calls with people who are broke and in debt,
[00:11:23.000 --> 00:11:23.000]   and I've done calls with people who are broke and in debt,
[00:11:23.000 --> 00:11:23.000]   and I've done calls with people who are broke and in debt,
[00:11:23.000 --> 00:11:23.000]   and I've done calls with people who are broke and in debt,
[00:11:23.000 --> 00:11:23.000]   and I've done calls with people who are broke and in debt,
[00:11:23.000 --> 00:11:23.000]   and I've done calls with people who are broke and in debt,
[00:11:23.000 --> 00:11:23.000]   and I've done calls with people who are broke and in debt,
[00:11:23.000 --> 00:11:23.000]   and I've done calls with people who are broke and in debt,
[00:11:23.000 --> 00:11:23.000]   and I've done calls with people who are broke and in debt,
[00:11:23.000 --> 00:11:53.020]   and I've done calls with people who are broke and in debt,
[00:11:53.020 --> 00:11:53.020]   and I've done calls with people who are broke and in debt,
[00:11:53.020 --> 00:11:53.020]   and I've done calls with people who are broke and in debt,
[00:11:53.020 --> 00:11:53.020]   and I've done calls with people who are broke and in debt,
[00:11:53.020 --> 00:11:53.020]   and I've done calls with people who are broke and in debt,
[00:11:53.020 --> 00:11:53.020]   and I've done calls with people who are broke and in debt,
[00:11:53.020 --> 00:11:53.020]   and I've done calls with people who are broke and in debt,
[00:11:53.020 --> 00:11:53.020]   and I've done calls with people who are broke and in debt,
[00:11:53.040 --> 00:12:23.040]   I've done calls with people who are broke and in debt,
[00:12:23.040 --> 00:12:23.040]   and I've done calls with people who are broke and in debt,
[00:12:23.040 --> 00:12:23.040]   and I've done calls with people who are broke and in debt,
[00:12:23.040 --> 00:12:23.040]   and I've done calls with people who are broke and in debt,
[00:12:23.040 --> 00:12:23.040]   and I've done calls with people who are broke and in debt,
[00:12:23.040 --> 00:12:23.040]   and I've done calls with people who are broke and in debt,
[00:12:23.040 --> 00:12:23.040]   and I've done calls with people who are broke and in debt,
[00:12:23.040 --> 00:12:23.040]   and I've done calls with people who are broke and in debt,
[00:12:23.040 --> 00:12:23.040]   and I've done calls with people who are broke and in debt,
[00:12:23.040 --> 00:12:23.040]   and I've done calls with people who are broke and in debt,
[00:12:23.040 --> 00:12:23.040]   and I've done calls with people who are broke and in debt,
[00:12:23.040 --> 00:12:23.040]   and I've done calls with people who are broke and in debt,
[00:12:23.040 --> 00:12:23.040]   and I've done calls with people who are broke and in debt,
[00:12:23.040 --> 00:12:53.060]   and I've done calls with people who are broke and in debt,
[00:12:53.060 --> 00:12:53.060]   and I've done calls with people who are broke and in debt,
[00:12:53.060 --> 00:12:53.060]   and I've done calls with people who are broke and in debt,
[00:12:53.060 --> 00:12:53.060]   and I've done calls with people who are broke and in debt,
[00:12:53.060 --> 00:12:53.060]   and I've done calls with people who are broke and in debt,
[00:12:53.060 --> 00:12:53.060]   and I've done calls with people who are broke and in debt,
[00:12:53.080 --> 00:13:23.080]   That episode was titled
[00:13:23.080 --> 00:13:23.080]   That episode was titled
[00:13:23.080 --> 00:13:23.080]   That episode was titled
[00:13:23.080 --> 00:13:23.080]   That episode was titled
[00:13:23.080 --> 00:13:23.080]   That episode was titled
[00:13:23.080 --> 00:13:23.080]   That episode was titled
[00:13:23.080 --> 00:13:23.080]   That episode was titled
[00:13:23.080 --> 00:13:23.080]   That episode was titled
[00:13:23.080 --> 00:13:23.080]   That episode was titled
[00:13:23.080 --> 00:13:23.080]   That episode was titled
[00:13:23.080 --> 00:13:23.080]   That episode was titled
[00:13:23.080 --> 00:13:23.080]   That episode was titled
[00:13:23.080 --> 00:13:23.080]   That episode was titled
[00:13:23.080 --> 00:13:23.080]   That episode was titled
[00:13:23.080 --> 00:13:23.080]   That episode was titled
[00:13:23.080 --> 00:13:23.080]   That episode was titled "The Perils of Success" and why I'm taking the filter off the content of RPF in order to maintain and grow my own success. I am fully aware that if I talk about something like buying an AR-15, then there are some people that are really frustrated by that. Now I can make an argument to you about why it shouldn't be that way. Buying an AR-15 should be no more controversial than having a Twitter account or something like that.
[00:13:23.080 --> 00:13:23.080]   That episode was titled "The Perils of Success" and then having a Twitter account or something like that.
[00:13:53.140 --> 00:14:00.700]   found
[00:14:00.700 --> 00:14:05.960]   we is,,,,
[00:14:05.960 --> 00:14:07.140]   final con in the dim as the sum of the is the mean thektG staredGYeah Yea מא� car
[00:14:07.140 --> 00:14:21.520]   Перв I got a communities worked destruction and I'm turn the is the present and I'm... I'll ... I'm... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...... lui swing your ... quote ... under antic program hell с in aren continueusto layers r T.ел couple connect for Miltonướach inGG talk Поэтому moins sự criminalsidamente conserv its e Пер qua contextual curious pay wrath kneREW appointment from하세요 her Lag Wing愛ję Tour written beyond the視 Soo gadgetingen seeds schedules claw spann settle Cup project a視,'!, Altavil我覺得 especially light Els beetje� اور Supere Pres員 specific concerned lad助andez Criminal 떨어� aired З sanding inexesseacht luckilyters bangingALIHz except shakyicht play� Harlem
[00:14:21.560 --> 00:14:27.700]  убли
[00:14:27.700 --> 00:14:31.540]   I like might
[00:14:31.540 --> 00:14:35.620]  TA S As . another...,業,
[00:14:35.620 --> 00:14:46.540]  ,
[00:14:46.540 --> 00:14:49.560]   véritable
[00:14:49.560 --> 00:14:51.540]  , I, I,ah,G,And, sever the contrast,G,I,ind,C, dec, ass,Take,C, LAN,T...C,C,C,G,3,H,J,G,P,G,G,G, الج, Q,G, sont de, talk, 1992 concentration張お Indeed, determine R. end, 기 100 50 show ver eyeshadow He, edit aAs sper en hogy depressing a more将 groundędzie milk em in the doin 100 B directing need's no ranging
[00:14:51.580 --> 00:14:55.720]   guess
[00:14:55.720 --> 00:15:19.880]   support sub
[00:18:11.600 --> 00:18:41.620]   and I've looked and I've tried to understand what this is and all of a sudden I realized and I was looking at the Barnes and Noble and the paranormal romance section at the Barnes and Noble and so I've looked and I've tried to understand what this is and all of a sudden I realized and I was looking at the Barnes and Noble and I was like, "Oh, this is a great book."
[00:18:58.140 --> 00:19:01.560]   I realized, I said, "This book is a living book."
[00:19:01.560 --> 00:19:05.560]   It's a living book and that's why I like it. It's not a textbook that says, "Here are the seven steps that you need to become wealthy." It's a book that conveys an idea in a powerful way. The Richest Man in Babylon is a living book.
[00:19:05.560 --> 00:19:10.200]   I realized, I want to know what other financial living books are because I don't have many of them.
[00:19:10.200 --> 00:19:11.500]   I realized, I want to know what other financial living books are because I don't have many of them.
[00:19:11.500 --> 00:19:11.640]   I realized, I want to know what other financial living books are because I don't have many of them.
[00:19:11.640 --> 00:19:41.660]   I realized, I want to know what other financial living books are because I don't have many of them.
[00:19:41.660 --> 00:19:41.660]   I realized, I want to know what other financial living books are because I don't have many of them.
[00:19:41.660 --> 00:19:41.660]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:19:41.660 --> 00:19:41.660]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:19:41.660 --> 00:19:41.660]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:19:41.680 --> 00:20:11.680]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:20:11.680 --> 00:20:11.680]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:20:11.680 --> 00:20:11.680]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:20:11.680 --> 00:20:11.680]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:20:11.680 --> 00:20:11.680]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:20:11.680 --> 00:20:11.680]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:20:11.680 --> 00:20:11.680]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:20:11.680 --> 00:20:11.680]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:20:11.680 --> 00:20:11.680]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:20:11.720 --> 00:20:41.700]  ,
[00:20:41.700 --> 00:20:41.700]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:20:41.700 --> 00:20:41.700]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:20:41.700 --> 00:20:41.700]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:20:41.700 --> 00:20:41.700]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:20:41.700 --> 00:20:41.700]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:20:41.700 --> 00:20:41.700]   I realized, I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:20:41.720 --> 00:21:11.720]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:21:11.720 --> 00:21:11.720]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:21:11.720 --> 00:21:11.720]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:21:11.720 --> 00:21:11.720]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:21:11.720 --> 00:21:11.720]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:21:11.720 --> 00:21:11.720]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:21:11.720 --> 00:21:11.720]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:21:11.720 --> 00:21:11.720]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:21:11.720 --> 00:21:11.720]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:21:11.740 --> 00:21:41.740]  , I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:21:41.740 --> 00:21:41.740]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:21:41.740 --> 00:21:41.740]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:21:41.740 --> 00:21:41.740]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:21:41.740 --> 00:21:41.740]   I realized, I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:21:41.740 --> 00:22:11.760]  ,
[00:22:11.760 --> 00:22:11.760]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:22:11.760 --> 00:22:11.760]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:22:11.760 --> 00:22:11.760]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:22:11.760 --> 00:22:11.760]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:22:11.760 --> 00:22:11.760]   I realized, I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:22:11.780 --> 00:22:41.780]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:22:41.780 --> 00:22:41.780]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:22:41.780 --> 00:22:41.780]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:22:41.780 --> 00:22:41.780]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:22:41.780 --> 00:22:41.780]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:22:41.780 --> 00:22:41.780]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:22:41.780 --> 00:22:41.780]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:22:41.780 --> 00:22:41.780]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:22:41.780 --> 00:22:41.780]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:22:41.800 --> 00:23:11.800]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:23:11.800 --> 00:23:11.800]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:23:11.800 --> 00:23:11.800]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:23:11.800 --> 00:23:11.800]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:23:11.800 --> 00:23:11.800]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:23:11.800 --> 00:23:11.800]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:23:11.800 --> 00:23:11.800]   I realized, I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:23:11.840 --> 00:23:41.820]  ,
[00:23:41.820 --> 00:23:41.820]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:23:41.820 --> 00:23:41.820]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:23:41.820 --> 00:23:41.820]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:23:41.820 --> 00:23:41.820]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:23:41.820 --> 00:23:41.820]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:23:41.820 --> 00:23:41.820]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:23:41.820 --> 00:23:41.820]   I realized, I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:23:41.840 --> 00:24:11.840]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:24:11.840 --> 00:24:11.840]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:24:11.840 --> 00:24:11.840]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:24:11.840 --> 00:24:11.840]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:24:11.840 --> 00:24:11.840]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:24:11.840 --> 00:24:11.840]   I realized, I wanted to know what other financial living books are because I don't have many of them.
[00:24:11.840 --> 00:24:11.840]   I realized, I wanted to know what other financial living books are because I don't have many of them.
