
[00:00:00.040 --> 00:00:09.620]  裝
[00:15:13.260 --> 00:15:15.260]   The other thing that I want to say is that the question that I have is,
[00:15:15.260 --> 00:15:17.260]   The other thing that I want to say is that the question that I have is,
[00:15:17.260 --> 00:15:19.260]   The other thing that I want to say is that the question that I have is,
[00:15:19.800 --> 00:15:47.300]  ,
[00:15:47.300 --> 00:15:49.300]   The other thing that I want to say is that the question that I have is,
[00:15:49.300 --> 00:15:49.300]   The other thing that I want to say is that the question that I have is,
[00:15:49.300 --> 00:15:49.300]   The other thing that I want to say is that the question that I have is,
[00:15:49.300 --> 00:15:49.300]   The other thing that I want to say is that the question that I have is,
[00:15:49.300 --> 00:15:49.300]   The other thing that I want to say is that the question that I have is,
[00:15:49.300 --> 00:15:49.300]   The other thing that I want to say is that the question that I have is,
[00:15:49.300 --> 00:15:49.300]   The other thing that I want to say is that the question that I have is,
[00:15:49.300 --> 00:15:49.300]   The other thing that I want to say is that the question that I have is,
[00:15:49.300 --> 00:15:49.300]   The other thing that I want to say is that the question that I have is that the question that I have is,
[00:15:49.320 --> 00:15:51.340]   The other thing that I want to say is that the question that I have is,
[00:15:51.340 --> 00:15:53.340]   The other thing that I want to say is that the question that I have is,
[00:15:53.340 --> 00:15:55.340]   The other thing that I want to say is that the question that I have is,
[00:15:55.340 --> 00:15:57.340]   The other thing that I want to say is that the question that I have is,
[00:15:57.340 --> 00:15:59.340]   The other thing that I want to say is that the question that I have is,
[00:15:59.340 --> 00:16:01.340]   The other thing that I want to say is that the question that I have is,
[00:16:01.340 --> 00:16:03.340]   The other thing that I want to say is that the question that I have is,
[00:16:03.340 --> 00:16:05.340]   The other thing that I want to say is that the question that I have is,
[00:16:05.340 --> 00:16:07.340]   The other thing that I want to say is that the question that I have is,
[00:16:07.340 --> 00:16:09.340]   The other thing that I want to say is that the question that I have is,
[00:16:09.340 --> 00:16:11.340]   The other thing that I want to say is that the question that I have is,
[00:16:11.360 --> 00:16:37.380]   The other thing that I want to say is that the question that I have is,
[00:16:37.380 --> 00:16:39.380]   The other thing that I want to say is that the question that I have is,
[00:16:39.380 --> 00:16:41.380]   The other thing that I want to say is that the question that I have is,
[00:16:41.380 --> 00:16:41.380]   The other thing that I want to say is that the question that I have is,
[00:16:41.380 --> 00:16:41.380]   The other thing that I want to say is that the question that I have is,
[00:16:41.380 --> 00:16:41.380]   The other thing that I want to say is that the question that I have is,
[00:16:41.380 --> 00:16:41.380]   The other thing that I want to say is that the question that I have is,
[00:16:41.380 --> 00:16:41.380]   The other thing that I want to say is that the question that I have is,
[00:16:41.380 --> 00:16:41.380]   The other thing that I want to say is that the question that I have is,
[00:16:41.380 --> 00:16:41.380]   The other thing that I want to say is that the question that I have is,
[00:16:41.380 --> 00:16:41.380]   The other thing that I want to say is that the question that I have is,
[00:16:42.320 --> 00:17:11.420]   The other thing that I want to say is that the question that I have is,
[00:17:11.420 --> 00:17:11.420]   The other thing that I want to say is that the question that I have is,
[00:17:11.420 --> 00:17:11.420]   The other thing that I want to say is that the question that I have is,
[00:17:11.420 --> 00:17:11.420]   The other thing that I want to say is that the question that I have is,
[00:17:11.420 --> 00:17:11.420]   The other thing that I want to say is that the question that I have is,
[00:17:11.420 --> 00:17:11.420]   The other thing that I want to say is that the question that I have is,
[00:17:11.420 --> 00:17:11.420]   The other thing that I want to say is that the question that I have is,
[00:17:11.460 --> 00:17:18.640]   as
[00:17:18.640 --> 00:17:25.500]   ت is, deanding什麼
[00:20:20.740 --> 00:20:31.620]   guess
[00:20:31.620 --> 00:20:44.720]   Slide I-- is, .,,,zn være met right de powdered say name cay intestines trabalh gi somewhere Ver. The. So. Which. It. The. But. But. And, and, and, and, and, and, and, and, and, and,, g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, con, apo Next We're sneer . виделиrage quantitative tempting
[00:20:44.720 --> 00:20:48.000]   말�ל scared часов but
[00:20:48.000 --> 00:20:48.380]   Pin I'm think podcast I'm rely on't la errors wเห serve not a
[00:20:48.420 --> 00:20:58.420]   all
[00:20:58.420 --> 00:20:59.420]   11, on,
[00:20:59.420 --> 00:21:16.800]   ע or they's end. -�를racag T reason for in the book, the, and, and, and, and, and, and, and, and, and, and, and, and, bit,이, behöver believes do, L. C. permit but.G.ya. около the. Moh. seen. de. blind. G. this. buy. the guy. this is a благ to be the people to be knew that's. Stadium as gotta de
[00:21:16.800 --> 00:21:18.120]   get. cared-D. or weird. convince the money. not. I'm not. butt. extra Yeah, new心.ory. its began. invest the guy. mankind has Mrs. narrow 없. belong here's not the head of the maenc men, N. end, really, and, la, find,
[00:21:18.160 --> 00:21:37.220]   the
[00:22:46.600 --> 00:22:56.520]  ,
[00:25:35.200 --> 00:25:36.640]   Realm of the world. So they want you to do that. So they don't change your score based upon denials and approvals, they only change your score based on inquiries, and even that small, that impact is very small, and that small impact doesn't ever factor into the score once 12 months have passed. So you, there's no reason not to just make consistent new applications, as many applications as you think are reasonable, to try to improve your situation, because there's no downside to it.
[00:25:36.640 --> 00:25:36.720]   So they want you to do that. So they don't, they don't, they don't change your score based upon denials or approvals, they only change your score based upon inquiries, and even that small, that impact is very small, and that small impact doesn't ever factor into the score once 12 months have passed. So you, there's no reason not to just make consistent new applications, as many applications as you think are reasonable to try to improve your situation, because there's no downside to it.
[00:25:36.780 --> 00:25:46.460]   wait
[00:25:46.460 --> 00:25:50.540]   it look
[00:25:50.540 --> 00:26:02.880]  ?--, won, though, neither hard..C. масlied ac
[00:26:05.340 --> 00:26:14.820]   brings
[00:26:14.820 --> 00:26:30.180]   do. California,,, had held
[00:26:30.180 --> 00:26:35.340]  TCP lên racist
[00:26:35.380 --> 00:26:41.140]   am
[00:26:41.140 --> 00:26:44.580]   symbol. I got,
[00:26:44.580 --> 00:26:49.140]  ,
[00:27:03.680 --> 00:27:30.500]  berger: Okay. And just a little bit of a background. We owe about, I think about $128,000. And to get an 80% loan to value ratio, we need to be about $5,000 less. And CMI is currently about $126 a month. It's not very much. It's mostly just the principle of paying it. It just kind of bothers me.
[00:27:30.500 --> 00:27:31.940]   Right.
[00:27:31.940 --> 00:27:33.480]   I'm wondering about your thoughts on that.
[00:27:33.480 --> 00:27:33.640]   Okay.
[00:27:33.640 --> 00:27:33.660]   Okay.
[00:27:33.660 --> 00:27:33.660]   It's not very much. It's mostly just the principle of paying it. It just kind of bothers me. I'm wondering about your thoughts on that.
[00:27:33.660 --> 00:27:33.660]   It's not very much. It's mostly just the principle of paying it. It just kind of bothers me. I'm wondering about your thoughts on that.
[00:27:33.660 --> 00:27:33.660]   It's not very much. It's mostly just the principle of paying it. It just kind of bothers me. I'm wondering about your thoughts on that.
[00:27:33.700 --> 00:28:03.680]  ,
[00:28:03.680 --> 00:28:03.680]   It's not very much. It's mostly just the principle of paying it. I'm wondering about your thoughts on that.
[00:28:03.680 --> 00:28:03.680]   It's not very much. It's mostly just the principle of paying it. I'm wondering about your thoughts on that.
[00:28:03.680 --> 00:28:03.680]   It's not very much. It's mostly just the principle of paying it. I'm wondering about your thoughts on that.
[00:28:03.700 --> 00:28:33.700]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:28:33.700 --> 00:28:33.700]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:28:33.700 --> 00:28:33.700]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:28:33.700 --> 00:28:33.700]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:28:33.700 --> 00:28:33.700]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:28:33.700 --> 00:28:33.700]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:28:33.700 --> 00:28:33.700]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:28:33.700 --> 00:28:33.700]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:28:33.740 --> 00:29:03.720]  ,
[00:29:03.720 --> 00:29:03.720]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:29:03.720 --> 00:29:03.720]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:29:03.720 --> 00:29:03.720]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:29:03.720 --> 00:29:03.720]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:29:03.720 --> 00:29:03.720]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:29:03.720 --> 00:29:03.720]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:29:03.720 --> 00:29:03.720]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:29:03.740 --> 00:29:33.740]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:29:33.740 --> 00:29:33.740]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:29:33.740 --> 00:29:33.740]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:29:33.740 --> 00:29:33.740]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:29:33.740 --> 00:29:33.740]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:29:33.740 --> 00:29:33.740]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:29:33.740 --> 00:29:33.740]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:29:33.740 --> 00:29:33.740]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:29:33.740 --> 00:29:33.740]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:29:33.760 --> 00:30:03.760]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:30:03.760 --> 00:30:03.760]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:30:03.760 --> 00:30:03.760]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:30:03.760 --> 00:30:03.760]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:30:03.760 --> 00:30:03.760]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:30:03.760 --> 00:30:03.760]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:30:03.760 --> 00:30:03.760]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:30:03.760 --> 00:30:03.760]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:30:03.760 --> 00:30:03.760]   We're kind of two goals right now are getting out of debt and increasing our cash flow.
[00:30:03.800 --> 00:30:33.780]  ,
[00:30:33.780 --> 00:30:33.780]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:30:33.780 --> 00:30:33.780]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:30:33.780 --> 00:30:33.780]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:30:33.780 --> 00:30:33.780]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:30:33.780 --> 00:30:33.780]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:30:33.780 --> 00:30:33.780]   We're kind of two goals right now are getting out of debt and increasing our cash flow.
[00:30:33.800 --> 00:31:03.800]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:31:03.800 --> 00:31:03.800]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:31:03.800 --> 00:31:03.800]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:31:03.800 --> 00:31:03.800]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:31:03.800 --> 00:31:03.800]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:31:03.800 --> 00:31:03.800]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:31:03.800 --> 00:31:03.800]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:31:03.800 --> 00:31:03.800]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:31:03.800 --> 00:31:03.800]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:31:03.840 --> 00:31:33.820]  ,
[00:31:33.820 --> 00:31:33.820]   I'm a little hesitant to do it because we've been there before.
[00:31:33.820 --> 00:31:33.820]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:31:33.820 --> 00:31:33.820]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:31:33.820 --> 00:31:33.820]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:31:33.820 --> 00:31:33.820]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:31:33.820 --> 00:31:33.820]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:31:33.820 --> 00:31:33.820]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:31:33.840 --> 00:32:03.840]   I'm a little hesitant to do it because we've been there before.
[00:32:03.840 --> 00:32:03.840]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:32:03.840 --> 00:32:03.840]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:32:03.840 --> 00:32:03.840]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:32:03.840 --> 00:32:03.840]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
[00:32:03.840 --> 00:32:03.840]   We're kind of like a top two goals right now are getting out of debt and increasing our cash flow.
