
[00:00:00.040 --> 00:00:09.480]   ち
[00:02:53.060 --> 00:02:53.060]   I work in Arizona as a wildland firefighter.
[00:02:53.060 --> 00:03:22.160]   I work in Arizona as a wildland firefighter.
[00:03:22.160 --> 00:03:22.240]   I work in Arizona as a wildland firefighter.
[00:03:22.240 --> 00:03:22.280]   I work in Arizona as a wildland firefighter.
[00:03:22.280 --> 00:03:22.320]   I work in Arizona as a wildland firefighter.
[00:03:22.320 --> 00:03:22.380]   I work in Arizona as a wildland firefighter.
[00:03:22.380 --> 00:03:22.440]   I work in Arizona as a wildland firefighter.
[00:03:22.440 --> 00:03:22.480]   I work in Arizona as a wildland firefighter.
[00:03:22.480 --> 00:03:22.520]   I work in Arizona as a wildland firefighter.
[00:03:22.520 --> 00:03:22.560]   I work in Arizona as a wildland firefighter.
[00:03:22.560 --> 00:03:22.580]   I work in Arizona as a wildland firefighter.
[00:03:22.580 --> 00:03:22.640]   I work in Arizona as a wildland firefighter.
[00:03:22.640 --> 00:03:22.680]   I work in Arizona as a wildland firefighter.
[00:03:22.680 --> 00:03:22.700]   I work in Arizona as a wildland firefighter.
[00:03:22.700 --> 00:03:22.740]   I work in Arizona as a wildland firefighter.
[00:03:22.740 --> 00:03:22.740]   I work in Arizona as a wildland firefighter.
[00:03:22.740 --> 00:03:22.780]   I work in Arizona as a wildland.
[00:03:22.800 --> 00:03:51.980]   I work in Arizona as a wildland firefighter.
[00:03:51.980 --> 00:03:52.040]   I work in Arizona as a wildland firefighter.
[00:03:52.040 --> 00:03:52.100]   I work in Arizona as a wildland firefighter.
[00:03:52.100 --> 00:03:52.200]   I work in Arizona as a wildland firefighter.
[00:03:52.200 --> 00:03:52.260]   I work in Arizona as a wildland firefighter.
[00:03:52.260 --> 00:03:52.320]   I work in Arizona as a wildland firefighter.
[00:03:52.320 --> 00:03:52.380]   I work in Arizona as a wildland firefighter.
[00:03:52.380 --> 00:03:52.400]   I work in Arizona as a wildland firefighter.
[00:03:52.400 --> 00:03:52.460]   I work in Arizona as a wildland firefighter.
[00:03:52.460 --> 00:03:52.500]   I work in Arizona as a wildland firefighter.
[00:03:52.500 --> 00:03:52.520]   I work in Arizona as a wildland firefighter.
[00:03:52.520 --> 00:03:52.580]   I work in Arizona as a wildland firefighter.
[00:03:52.580 --> 00:03:52.640]   I work in Arizona as a wildland firefighter.
[00:03:52.640 --> 00:03:52.680]   I work in Arizona as a wildland firefighter.
[00:03:52.680 --> 00:03:52.700]   I work in Arizona as a wildland firefighter.
[00:03:52.700 --> 00:03:52.760]   I work in Arizona as a wildland firefighter.
[00:03:52.800 --> 00:04:22.780]  , I work in Arizona as a wildland firefighter.
[00:04:22.780 --> 00:04:22.780]   I work in Arizona as a wildland firefighter.
[00:04:22.780 --> 00:04:22.780]   I work in Arizona as a wildland firefighter.
[00:04:22.780 --> 00:04:22.780]   I work in Arizona as a wildland firefighter.
[00:04:22.780 --> 00:04:22.780]   I work in Arizona as a wildland firefighter.
[00:04:22.780 --> 00:04:22.780]   I work in Arizona as a wildland firefighter.
[00:04:22.780 --> 00:04:22.780]   I work in Arizona as a wildland firefighter.
[00:04:22.780 --> 00:04:22.780]   I work in Arizona as a wildland firefighter.
[00:04:22.780 --> 00:04:22.780]   I work in Arizona as a wildland firefighter.
[00:04:22.780 --> 00:04:22.780]   I work in Arizona as a wildland firefighter.
[00:04:22.780 --> 00:04:22.780]   I work in Arizona as a wildland firefighter.
[00:04:22.800 --> 00:04:52.800]   I work in Arizona as a wildland firefighter.
[00:04:52.800 --> 00:04:52.800]   I work in Arizona as a wildland firefighter.
[00:04:52.800 --> 00:04:52.800]   I work in Arizona as a wildland firefighter.
[00:04:52.800 --> 00:04:52.800]   I work in Arizona as a wildland firefighter.
[00:04:52.800 --> 00:04:52.800]   I work in Arizona as a wildland firefighter.
[00:04:52.800 --> 00:04:52.800]   I work in Arizona as a wildland firefighter.
[00:04:52.800 --> 00:04:52.800]   I work in Arizona as a wildland firefighter.
[00:04:52.800 --> 00:04:52.800]   I work in Arizona as a wildland firefighter.
[00:04:52.800 --> 00:04:52.800]   I work in Arizona as a wildland firefighter.
[00:04:52.800 --> 00:04:52.800]   I work in Arizona as a wildland firefighter.
[00:04:52.800 --> 00:04:52.800]   I work in Arizona as a wildland firefighter.
[00:04:52.800 --> 00:04:52.800]   I work in Arizona as a wildland firefighter.
[00:04:52.800 --> 00:04:52.800]   I work in Arizona as a wildland firefighter.
[00:04:52.800 --> 00:04:52.800]   I work in Arizona as a wildland firefighter.
[00:04:52.800 --> 00:04:52.800]   I work in Arizona as a wildland firefighter.
[00:04:52.800 --> 00:04:52.800]   I work in Arizona as a wildland firefighter.
[00:04:52.800 --> 00:05:22.820]   I work in Arizona as a wildland firefighter.
[00:05:22.820 --> 00:05:22.820]   I work in Arizona as a wildland firefighter.
[00:05:22.820 --> 00:05:22.820]   I work in Arizona as a wildland firefighter.
[00:05:22.820 --> 00:05:22.820]   I work in Arizona as a wildland firefighter.
[00:05:22.820 --> 00:05:22.820]   I work in Arizona as a wildland firefighter.
[00:05:22.820 --> 00:05:22.820]   I work in Arizona as a wildland firefighter.
[00:05:22.820 --> 00:05:22.820]   I work in Arizona as a wildland firefighter.
[00:05:22.820 --> 00:05:22.820]   I work in Arizona as a wildland firefighter.
[00:05:22.820 --> 00:05:22.820]   I work in Arizona as a wildland firefighter.
[00:05:22.820 --> 00:05:22.820]   I work in Arizona as a wildland firefighter.
[00:05:22.820 --> 00:05:22.820]   I work in Arizona as a wildland firefighter.
[00:05:22.840 --> 00:05:52.840]   I work in Arizona as a wildland firefighter.
[00:05:52.840 --> 00:05:52.840]   I work in Arizona as a wildland firefighter.
[00:05:52.840 --> 00:05:52.840]   I work in Arizona as a wildland firefighter.
[00:05:52.840 --> 00:05:52.840]   I work in Arizona as a wildland firefighter.
[00:05:52.840 --> 00:05:52.840]   I work in Arizona as a wildland firefighter.
[00:05:52.840 --> 00:05:52.840]   I work in Arizona as a wildland firefighter.
[00:05:52.840 --> 00:05:52.840]   I work in Arizona as a wildland firefighter.
[00:05:52.840 --> 00:05:52.840]   I work in Arizona as a wildland firefighter.
[00:05:52.840 --> 00:05:52.840]   I work in Arizona as a wildland firefighter.
[00:05:52.840 --> 00:05:52.840]   I work in Arizona as a wildland firefighter.
[00:05:52.840 --> 00:05:52.840]   I work in Arizona as a wildland firefighter.
[00:05:52.840 --> 00:05:52.840]   I work in Arizona as a wildland firefighter.
[00:05:52.840 --> 00:05:52.840]   I work in Arizona as a wildland firefighter.
[00:05:52.840 --> 00:05:52.840]   I work in Arizona as a wildland firefighter.
[00:05:52.840 --> 00:05:52.840]   I work in Arizona as a wildland firefighter.
[00:05:52.840 --> 00:05:52.840]   I work in Arizona as a wildland firefighter.
[00:05:52.840 --> 00:06:22.860]  ,
[00:06:22.860 --> 00:06:22.860]   and I'm going to take a few minutes to talk about some of the things that you can do to help you to improve your business.
[00:06:22.860 --> 00:06:22.860]   I'm going to take a few minutes to talk about some of the things that you can do to help you to improve your business.
[00:06:22.860 --> 00:06:22.860]   if you need money for that then you should save that money for your income plan whether that's that could be your own business.
[00:06:22.860 --> 00:06:22.860]   if you need money for that then you should save that money for your income plan whether that's that could be your own business.
[00:06:22.860 --> 00:06:22.860]   If you need money for that then you should save that money for your income plan whether that's that could be your own business.
[00:06:22.860 --> 00:06:22.860]   If you need money for that then you should save that money for your income plan whether that could be your own business.
[00:06:22.860 --> 00:06:22.860]   If you need money for that then you should save that money for your income plan whether that could be your own business.
[00:06:22.880 --> 00:06:32.900]   Sometimes if you are working seasonally one of the best ways for you to be able to maintain your seasonal work and to earn during the off season is to run your own business.
[00:06:32.900 --> 00:06:33.900]   Sometimes if you are working seasonally one of the best ways for you to be able to maintain your seasonal work and to earn during the off season is to run your own business.
[00:06:33.900 --> 00:06:38.900]   Unless you're working in an occupation that's naturally only done during the winter you drive I don't know snow you're in Arizona so you're not going to drive snow piles.
[00:06:38.900 --> 00:06:40.900]   Unless you're working in an occupation that's naturally only done during the winter you drive I don't know snow you're in Arizona so you're not going to drive snow piles.
[00:06:40.900 --> 00:06:42.900]   Unless you're working in an occupation that's naturally only done during the winter you drive I don't know snow you're in Arizona so you're not going to drive snow piles.
[00:06:42.920 --> 00:07:04.940]   If you are working something that's automatically seasonal you might need some work that you can really hit hard for six months of the year you have a month off on the shoulder season until fire season then you go and do fire season then you have a month off and then you hit your business again.
[00:07:04.940 --> 00:07:06.940]   If you need the money to develop a business that could be great but there's no reason why you couldn't also use the money for a rental property.
[00:07:06.940 --> 00:07:08.940]   If you only give me the two options a rental property versus a house to live in I don't think you need a house to live in I think you need a rental property.
[00:07:08.940 --> 00:07:10.940]   If you only give me the two options a rental property versus a house to live in I don't think you need a house to live in I think you need a rental property.
[00:07:10.940 --> 00:07:11.940]   If you only give me the two options a rental property versus a house to live in I don't think you need a house to live in I think you need a rental property.
[00:07:11.980 --> 00:07:23.440]   local
[00:09:09.020 --> 00:09:18.740]   don
[00:09:18.740 --> 00:09:35.820]  igung scale. And, continue to,,,, Champions Kal Tamil Только
[00:09:39.040 --> 00:09:49.020]   encima
[00:09:49.020 --> 00:09:53.280]   bathroom oh, be made with
[00:09:53.280 --> 00:10:06.880]   Ed . Cut Gince From marca around, and, and, and, and, and, ad, great, compete, op,,,,,,,,,,,,,,,,,,,,,,,. away're not's on Father grandchildrenèанов第一個 Reléc� 손 LGBTQG Eso Imagassa�akov is contra幾 clause earn passe open
[00:10:07.420 --> 00:10:09.440]   I'm going to go ahead and get started.
[00:10:09.440 --> 00:10:10.440]   I'm going to go ahead and get started.
[00:10:10.440 --> 00:10:11.440]   I'm going to go ahead and get started.
[00:10:11.440 --> 00:10:12.440]   I'm going to go ahead and get started.
[00:10:12.440 --> 00:10:13.440]   I'm going to go ahead and get started.
[00:10:13.440 --> 00:10:14.440]   I'm going to go ahead and get started.
[00:10:14.440 --> 00:10:15.440]   I'm going to go ahead and get started.
[00:10:15.440 --> 00:10:16.440]   I'm going to go ahead and get started.
[00:10:16.440 --> 00:10:17.440]   I'm going to go ahead and get started.
[00:10:17.440 --> 00:10:18.440]   I'm going to go ahead and get started.
[00:10:18.440 --> 00:10:19.440]   I'm going to go ahead and get started.
[00:10:19.440 --> 00:10:20.440]   I'm going to go ahead and get started.
[00:10:20.440 --> 00:10:21.440]   I'm going to go ahead and get started.
[00:10:21.440 --> 00:10:22.440]   I'm going to go ahead and get started.
[00:10:22.440 --> 00:10:23.440]   I'm going to go ahead and get started.
[00:10:23.440 --> 00:10:24.440]   I'm going to go ahead and get started.
[00:10:24.440 --> 00:10:25.440]   I'm going to go ahead and get started.
[00:10:25.440 --> 00:10:26.440]   I'm going to go ahead and get started.
[00:10:26.480 --> 00:10:36.120]  もう
[00:10:36.120 --> 00:10:51.320]   her is even
[00:10:53.320 --> 00:11:08.820]  �s. Yeah. Yeah. I agree. I wouldn't want to buy a big house or anything like that and not not be renting it.
[00:11:08.820 --> 00:11:15.940]   So that would be the primary reason to buy the house would be to get some, you know, have it pay kind of for itself.
[00:11:15.940 --> 00:11:20.120]   Right. And the FIT loan can get you there.
[00:11:20.120 --> 00:11:20.120]   My understanding of the rules has got to be your house.
[00:11:20.120 --> 00:11:20.120]   My understanding of the rules has got to be your house.
[00:11:20.120 --> 00:11:20.120]   My understanding of the rules has got to be your house.
[00:11:20.120 --> 00:11:20.120]   My understanding of the rules has got to be your house.
[00:11:20.120 --> 00:11:20.120]   My understanding of the rules has got to be your house.
[00:11:20.120 --> 00:11:20.120]   My understanding of the rules has got to be your house.
[00:11:20.120 --> 00:11:20.120]   My understanding of the rules has got to be your house.
[00:11:20.120 --> 00:11:20.120]   My understanding of the rules has got to be your house.
[00:11:20.120 --> 00:11:20.120]   My understanding of the rules has got to be your house.
[00:11:20.120 --> 00:11:20.200]   My understanding of the rules has got to be your house.
[00:11:20.200 --> 00:11:47.540]   I've got a plan to live there.
[00:11:47.540 --> 00:11:47.540]   I've got a plan to live there.
[00:11:47.540 --> 00:11:47.540]   I've got a plan to live there. But different people's definitions of living in a place are certainly subject to interpretation.
[00:11:47.540 --> 00:11:47.640]   I've got a plan to live there. But different people's definitions of living in a place are certainly subject to interpretation.
[00:11:47.640 --> 00:11:47.740]   I've got a plan to live there. But different people's definitions of living in a place are certainly subject to interpretation.
[00:11:47.740 --> 00:11:47.740]   I don't have a problem if I'm receiving mail at a place and I'm there frequently and I'm using that address for some purposes as far as I'm concerned.
[00:11:47.740 --> 00:11:47.740]   I've got a plan to live there. But different people's definitions of living there. But different people's definitions of living there are certainly can adjust accordingly in terms of how much of a how much you can rent out how many bedrooms how much space you actually need for the entirety of the year.
[00:11:47.740 --> 00:11:48.240]  , how much space you actually need for the entirety of the year.
[00:11:48.260 --> 00:11:58.080]   Read the contract and make sure you follow it. But use whatever subject your own interpretation for your own benefit.
[00:11:58.080 --> 00:11:58.480]   Travis in Kentucky. Welcome to the show. How can I serve you, sir?
[00:11:58.480 --> 00:11:59.380]   Travis in Kentucky. Welcome to the show. How can I serve you, sir?
[00:11:59.380 --> 00:11:59.780]   Travis in Kentucky. Welcome to the show. How can I serve you, sir?
[00:11:59.780 --> 00:12:00.280]   Yeah. Thank you for taking my call, Joshua. Appreciate the show. You do a great job.
[00:12:00.280 --> 00:12:00.580]   Yeah. Thank you for taking my call, Joshua. Appreciate the show. You do a great job.
[00:12:00.580 --> 00:12:00.980]   Yeah. Thank you for taking my call, Joshua. Appreciate the show. You do a great job.
[00:12:00.980 --> 00:12:02.980]   Yeah. Thank you for taking my call, Joshua. Appreciate the show. You do a great job.
[00:12:02.980 --> 00:12:03.280]   Thank you.
[00:12:03.280 --> 00:12:03.480]   Thank you.
[00:12:03.520 --> 00:12:09.780]   Нач視
[00:12:09.780 --> 00:12:13.540]   but,,,
[00:12:13.540 --> 00:12:30.240]  icle
[00:13:58.720 --> 00:14:09.040]   que
[00:14:09.040 --> 00:14:10.580]   in a me
[00:15:50.260 --> 00:16:00.420]   tended
[00:16:00.420 --> 00:16:17.500]  ệu около fight'm, and, and, Big,我很, откры ал which, Wil, Mad, T, reacts, Credit, Ny,TA,Des,
[00:16:17.500 --> 00:16:19.220]   erreichen.
[00:16:49.560 --> 00:17:00.380]   the
[00:17:00.380 --> 00:17:17.380]   de theærest discuss imagine butku C, ', ", I think that's, and, and, and, and, and, and, and, de, out,� Tri;inha Пер� West Wh fruits on changedенный N瓜
[00:17:17.380 --> 00:17:19.180]   -
[00:17:19.560 --> 00:17:27.500]  許
[00:17:27.500 --> 00:17:47.560]   see little, I,
[00:18:16.880 --> 00:18:16.880]   and
[00:18:45.560 --> 00:18:45.560]   and
[00:18:45.560 --> 00:18:45.560]   and
[00:19:09.800 --> 00:19:15.580]   I'm really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:19:15.580 --> 00:19:15.580]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:19:15.580 --> 00:19:15.580]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:19:15.580 --> 00:19:15.580]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:19:15.580 --> 00:19:15.580]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:19:15.580 --> 00:19:15.580]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:19:15.580 --> 00:19:15.580]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:19:15.580 --> 00:19:15.580]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:19:15.620 --> 00:19:45.600]   I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:19:45.600 --> 00:19:45.600]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:19:45.600 --> 00:19:45.600]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:19:45.600 --> 00:19:45.600]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:19:45.600 --> 00:19:45.600]   And I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:19:45.620 --> 00:20:15.620]   I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:20:15.620 --> 00:20:15.620]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:20:15.620 --> 00:20:15.620]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:20:15.620 --> 00:20:15.620]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:20:15.620 --> 00:20:15.620]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:20:15.620 --> 00:20:15.620]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:20:15.620 --> 00:20:15.620]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:20:15.620 --> 00:20:15.620]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:20:15.660 --> 00:20:45.640]  , and I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:20:45.640 --> 00:20:45.640]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:20:45.640 --> 00:20:45.640]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:20:45.640 --> 00:20:45.640]   And I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:20:45.640 --> 00:20:45.640]   And I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:20:45.660 --> 00:21:15.660]   I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:21:15.660 --> 00:21:15.660]   I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:21:15.660 --> 00:21:15.660]   I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:21:15.660 --> 00:21:15.660]   I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:21:15.660 --> 00:21:15.660]   I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:21:15.660 --> 00:21:15.660]   I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:21:15.660 --> 00:21:15.660]   I am really enjoying their content as well, but a lot of them really push taxable buckets and using index funds.
[00:21:15.660 --> 00:21:15.660]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:21:15.700 --> 00:21:45.680]  , I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:21:45.680 --> 00:21:45.680]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:21:45.680 --> 00:21:45.680]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:21:45.680 --> 00:21:45.680]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:21:45.680 --> 00:21:45.680]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:21:45.680 --> 00:21:45.680]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:21:45.680 --> 00:21:45.680]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:21:45.700 --> 00:22:15.700]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:22:15.700 --> 00:22:15.700]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:22:15.700 --> 00:22:15.700]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:22:15.700 --> 00:22:15.700]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:22:15.700 --> 00:22:15.700]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:22:15.700 --> 00:22:15.700]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:22:15.700 --> 00:22:15.700]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:22:15.700 --> 00:22:15.700]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:22:15.740 --> 00:22:45.720]  , and using index funds.
[00:22:45.720 --> 00:22:45.720]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:22:45.720 --> 00:22:45.720]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:22:45.720 --> 00:22:45.720]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:22:45.720 --> 00:22:45.720]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:22:45.720 --> 00:22:45.720]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:22:45.720 --> 00:22:45.720]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:22:45.740 --> 00:23:15.740]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:23:15.740 --> 00:23:15.740]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:23:15.740 --> 00:23:15.740]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:23:15.740 --> 00:23:15.740]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:23:15.740 --> 00:23:15.740]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:23:15.740 --> 00:23:15.740]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:23:15.740 --> 00:23:15.740]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:23:15.740 --> 00:23:15.740]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:23:15.780 --> 00:23:45.760]  , and I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:23:45.760 --> 00:23:45.760]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:23:45.760 --> 00:23:45.760]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:23:45.760 --> 00:23:45.760]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:23:45.760 --> 00:23:45.760]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:23:45.760 --> 00:23:45.760]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:23:45.760 --> 00:23:45.760]   I am really enjoying their content as well, but a lot of them really pushing taxable buckets and using index funds.
[00:23:45.780 --> 00:24:15.780]   The basic path seems to be, is usually brought down into earn a high income,
[00:24:15.780 --> 00:24:15.780]   It's wonderful.
[00:24:15.780 --> 00:24:15.780]   It's really is good.
[00:24:15.780 --> 00:24:15.780]   I have nothing bad to say about it.
[00:24:15.780 --> 00:24:15.780]   It can work.
[00:24:15.780 --> 00:24:15.780]   But the reason why this is so common is because the type of person who is in this community
[00:24:15.780 --> 00:24:15.780]   is because the type of person who is in this community
[00:24:15.780 --> 00:24:15.780]   is because the type of person who is in this community
[00:24:15.780 --> 00:24:15.780]   is because the type of person who is in this community
[00:24:15.780 --> 00:24:15.780]   is because the type of person who is in this community
[00:24:15.780 --> 00:24:15.780]   is because the type of person who is in this community
[00:24:15.780 --> 00:24:15.780]   is because the type of person who is in this community
[00:24:15.780 --> 00:24:15.780]   is because the type of person who is in this community
[00:24:15.780 --> 00:24:15.780]   is because the type of person who is in this community
[00:24:15.780 --> 00:24:15.780]   is because the type of person who is in this community who is using index funds.
[00:24:15.780 --> 00:24:15.780]   is because the type of person who is in this community who is using index funds.
[00:24:15.780 --> 00:24:45.800]   a corporate job.
[00:24:45.800 --> 00:24:45.800]   And for a high income earner at a corporate job, that's one of the major opportunities they have. Somebody is working 50 hours a week as an engineer, a software engineer, and who's earning $140,000 a year, some likely that they have a lot of time to devote to other things. And so they can work, they can keep very modest expenses, they can earn a high income, they can save money into mutual funds, and it's a great opportunity to be able to work.
[00:24:45.800 --> 00:24:45.800]   And so they can work, they can keep very modest expenses, they can earn a high income, they can save money into mutual funds, and it's a great opportunity to be able to work.
[00:24:45.800 --> 00:24:45.800]   I think that's a great opportunity to be able to be able to work.
[00:24:45.820 --> 00:25:15.820]   I think that's a great opportunity to be able to work.
[00:25:15.820 --> 00:25:15.820]   I think that's a great opportunity to be able to work.
[00:25:15.820 --> 00:25:15.820]   I think that's a great opportunity to be able to work.
[00:25:15.820 --> 00:25:15.820]   I think that's a great opportunity to be able to work.
[00:25:15.820 --> 00:25:15.820]   I think that's a great opportunity to be able to work.
[00:25:15.820 --> 00:25:15.820]   I think that's a great opportunity to be able to work.
[00:25:15.820 --> 00:25:15.820]   I think that's a great opportunity to be able to work.
[00:25:15.820 --> 00:25:15.820]   I think that's a great opportunity to be able to work.
[00:25:15.820 --> 00:25:15.820]   I think that's a great opportunity to be able to work.
[00:25:15.820 --> 00:25:15.820]   I think that's a great opportunity to be able to work.
[00:25:15.820 --> 00:25:15.820]   I think that's a great opportunity to be able to work.
[00:25:15.820 --> 00:25:15.820]   I think that's a great opportunity to be able to work.
[00:25:15.820 --> 00:25:15.820]   I think that's a great opportunity to be able to work.
[00:25:15.820 --> 00:25:15.820]   I think that's a great opportunity to be able to work.
[00:25:15.820 --> 00:25:45.840]   I think that's a great opportunity to be able to work.
[00:25:45.840 --> 00:25:45.840]   I think that's a great opportunity to be able to work.
[00:25:45.840 --> 00:25:45.840]   I think that's a great opportunity to be able to work.
[00:25:45.840 --> 00:25:45.840]   I think that's a great opportunity to be able to work.
[00:25:45.840 --> 00:25:45.840]   I think that's a great opportunity to be able to work.
