
[00:00:00.000 --> 00:00:02.000]   Welcome back everybody
[00:05:17.760 --> 00:05:23.320]   Dumb questions, but when there's lots of people around you talking about advanced topics. It might not feel that way
[00:05:23.320 --> 00:05:25.320]   so hopefully the beginners forum is just a
[00:05:25.320 --> 00:05:27.800]   less intimidating space and
[00:05:27.800 --> 00:05:30.960]   If you're a more advanced
[00:05:30.960 --> 00:05:37.560]   Student who can help answer those questions, please do but remember when you do answer those questions try to answer in a way
[00:05:37.560 --> 00:05:43.580]   That's friendly to people that maybe you know have no more than a year of programming experience and haven't done any machine learning before
[00:05:43.580 --> 00:05:48.760]   So you know I hope
[00:05:48.760 --> 00:05:51.720]   Other people in the class
[00:05:51.720 --> 00:05:56.460]   Feel like you can contribute as well and just remember all of the people we just looked at or many of them
[00:05:56.460 --> 00:05:58.520]   I believe have never
[00:05:58.520 --> 00:06:04.760]   Posted anything to the internet before right I mean you don't have to be a particular kind of person to be allowed to blog
[00:06:04.760 --> 00:06:08.880]   or something you can just drop down your notes throw it up there and
[00:06:08.880 --> 00:06:16.800]   One handy thing is if you just put it on the forum, and you're not quite sure of some of the details then
[00:06:16.800 --> 00:06:20.720]   Then you know you have an opportunity to get feedback and say like ah well
[00:06:20.720 --> 00:06:22.000]   That's not quite how that works
[00:06:22.000 --> 00:06:28.720]   You know actually it works this way instead or or that's a really interesting insight had you thought about taking this further and so forth
[00:06:29.480 --> 00:06:35.920]   So what we've done so far is a kind of a an introduction as a just as a practitioner to
[00:06:35.920 --> 00:06:42.460]   Convolutional neural networks for images, and we haven't really talked much at all about
[00:06:42.460 --> 00:06:49.200]   The theory or why they work or the math of them, but on the other hand what we have done is seen
[00:06:49.200 --> 00:06:51.360]   how to
[00:06:51.360 --> 00:06:58.080]   Build a model which actually works exceptionally well in fact world-class level models
[00:06:59.240 --> 00:07:03.600]   and we'll kind of review a little bit of that today and
[00:07:03.600 --> 00:07:06.440]   Then also today
[00:07:06.440 --> 00:07:10.180]   We're going to dig in a little bit quite a lot more actually into the underlying theory of like
[00:07:10.180 --> 00:07:12.880]   What is a what is a cnn? What's a convolution?
[00:07:12.880 --> 00:07:18.260]   How does this work and then we're going to kind of go through this this cycle where we're going to dig
[00:07:18.260 --> 00:07:25.000]   We're going to do a little intro into a whole bunch of application areas using neural nets for structured data
[00:07:25.120 --> 00:07:33.080]   so kind of like logistics or forecasting or you know financial data or that kind of thing and then looking at
[00:07:33.080 --> 00:07:38.880]   language applications NLP applications using recurrent neural nets and then
[00:07:38.880 --> 00:07:41.720]   collaborative filtering for
[00:07:41.720 --> 00:07:46.200]   Recommendation systems and so these will all be like
[00:07:46.200 --> 00:07:49.800]   Similar to what we've done for cnn's images
[00:07:49.800 --> 00:07:53.800]   It'll be like here's how you can get a state-of-the-art result without digging into the theory
[00:07:53.800 --> 00:07:55.880]   But but knowing how to actually make it work
[00:07:55.880 --> 00:08:01.160]   And then we're kind of go go to go back through those almost in reverse order
[00:08:01.160 --> 00:08:06.960]   So then we're going to dig right into collaborative filtering in a lot of detail and see how how to write the code
[00:08:06.960 --> 00:08:12.760]   Underneath and how the math works underneath and then we're going to do the same thing for structured data analysis
[00:08:12.760 --> 00:08:19.560]   We're going to do the same thing for confidence images and finally an in-depth dig dive into recurrent neural networks
[00:08:19.560 --> 00:08:21.840]   So that's kind of where we're getting
[00:08:23.240 --> 00:08:25.240]   so let's start by
[00:08:25.240 --> 00:08:29.280]   Doing a little bit of a review and I want to
[00:08:29.280 --> 00:08:36.040]   Also provide a bit more detail on some on some steps that we only briefly skipped over
[00:08:36.040 --> 00:08:38.920]   So I want to make sure that we're all able to complete
[00:08:38.920 --> 00:08:44.080]   Kind of last week's assignment, which was the the dog breeds
[00:08:44.080 --> 00:08:49.520]   I mean to basically apply what you've learned to it another data set and I thought the easiest one to do would be the dog
[00:08:49.520 --> 00:08:54.280]   Breeds Kaggle competition and so I want to make sure everybody has everything you need to do this right now
[00:08:54.280 --> 00:08:58.800]   So and the first thing is to make sure that you know how to download
[00:08:58.800 --> 00:09:05.600]   Data and so there's there's two main places at the moment. We're kind of downloading data from one is from Kaggle
[00:09:05.600 --> 00:09:08.720]   And the other is from like anywhere else
[00:09:08.720 --> 00:09:13.840]   And so I'll first of all do the the Kaggle version
[00:09:13.840 --> 00:09:16.720]   So to download from Kaggle
[00:09:17.080 --> 00:09:20.360]   We use something called Kaggle CLI
[00:09:20.360 --> 00:09:29.120]   Which is here and to install it I think it's already in let's just double check
[00:09:29.120 --> 00:09:36.000]   Yeah, so it's or it should already be in your
[00:09:36.000 --> 00:09:38.600]   environment
[00:09:38.600 --> 00:09:45.420]   But to make sure one thing that happens is because this is downloading from the Kaggle website through like screen scraping every time Kaggle changes
[00:09:45.420 --> 00:09:48.940]   The website it breaks so anytime you try to use it and
[00:09:48.940 --> 00:09:56.500]   If Kaggle's websites changed recently you'll need to make sure you get the most recent version so you can always go to pip
[00:09:56.500 --> 00:09:59.160]   install
[00:09:59.160 --> 00:10:01.280]   Kaggle - CLI
[00:10:01.280 --> 00:10:10.720]   - - upgrade and so that'll just make sure that you've got the latest version of of it and everything that it depends on
[00:10:10.720 --> 00:10:12.800]   okay, and
[00:10:12.800 --> 00:10:14.800]   so then having done that you can
[00:10:15.420 --> 00:10:20.820]   Follow the instructions. Actually, I think rational was kind enough to they go. There's a Kaggle CLI
[00:10:20.820 --> 00:10:24.140]   Feel like everything you need to know can be found at rational's
[00:10:24.140 --> 00:10:27.620]   GitHub
[00:10:27.620 --> 00:10:32.160]   So basically to do that the next step you go
[00:10:32.160 --> 00:10:35.540]   KG download
[00:10:35.540 --> 00:10:44.380]   And then you provide your username with - you you provide your password with - P and then - see you did the competition name
[00:10:44.400 --> 00:10:47.680]   And a lot of people in the forum has been confused about what to enter here
[00:10:47.680 --> 00:10:51.220]   And so the key thing to note is that when you're at a Kaggle competition?
[00:10:51.220 --> 00:10:59.200]   After the /c there's a specific name planet - understanding - etc. Right? That's the name you need
[00:10:59.200 --> 00:11:01.560]   Okay
[00:11:01.560 --> 00:11:04.280]   the other thing you'll need to make sure is that you've
[00:11:04.280 --> 00:11:11.000]   On your own computer have attempted to click download at least once because when you do it will ask you to accept the rules
[00:11:11.000 --> 00:11:14.120]   If you've forgotten to do that
[00:11:14.580 --> 00:11:17.800]   KG download will give you a hint it'll say it looks like you might have forgotten
[00:11:17.800 --> 00:11:21.700]   the rules if you log into Kaggle with like a
[00:11:21.700 --> 00:11:25.980]   Google account like anything other than a username password this won't work
[00:11:25.980 --> 00:11:31.300]   So you'll need to click forgot password on Kaggle and get them to send you a normal password
[00:11:31.300 --> 00:11:33.700]   So that's the Kaggle version
[00:11:33.700 --> 00:11:40.360]   Right and so when you do that you end up with a whole folder created for you with all of that competition data in it
[00:11:41.960 --> 00:11:44.980]   So a couple of reasons you might want to not use that
[00:11:44.980 --> 00:11:48.220]   The first is that you're using a data set that's not on Kaggle
[00:11:48.220 --> 00:11:54.700]   The second is that you don't want all of the data sets in a Kaggle competition for example the planet competition
[00:11:54.700 --> 00:11:57.380]   That we've been looking at a little bit. We'll look at again today
[00:11:57.380 --> 00:12:06.420]   Has data in two formats TIFF and JPEG the TIFF is 19 gigabytes and the JPEG is 600 megabytes
[00:12:06.420 --> 00:12:08.720]   So you probably don't want to download both
[00:12:09.460 --> 00:12:14.040]   So I'll show you a really cool kit, which actually somebody on the forum taught me
[00:12:14.040 --> 00:12:17.860]   I think was one of the MSAN students here at USF. There's a
[00:12:17.860 --> 00:12:22.480]   Chrome extension called curl w get
[00:12:22.480 --> 00:12:26.220]   So you can just search for curl w get
[00:12:26.220 --> 00:12:33.520]   And then you install it by just clicking on install if you haven't installed extension before and then from now on
[00:12:33.520 --> 00:12:37.860]   Every time you try to download something, so I'll try and download this file
[00:12:38.460 --> 00:12:40.460]   and
[00:12:40.460 --> 00:12:46.340]   I'll just go ahead and cancel it right and now you see this little yellow button. That's added up here
[00:12:46.340 --> 00:12:48.940]   There's a whole command here
[00:12:48.940 --> 00:12:52.060]   All right, so I can copy that and
[00:12:52.060 --> 00:12:55.940]   Paste it
[00:12:55.940 --> 00:12:57.700]   into my
[00:12:57.700 --> 00:12:59.420]   window and
[00:12:59.420 --> 00:13:02.980]   Hit go and it's there goes okay
[00:13:02.980 --> 00:13:09.620]   So what that does is like all of your cookies and headers and everything else needed to download that file is like save
[00:13:09.620 --> 00:13:12.060]   So this is not just useful for
[00:13:12.060 --> 00:13:13.980]   downloading data
[00:13:13.980 --> 00:13:20.220]   It's also useful if you like trying to download some I don't know TV show or something anything where you're hidden behind a
[00:13:20.220 --> 00:13:27.620]   Log in or something you can you can grab it and actually that is very useful for data science because quite often we want to
[00:13:27.620 --> 00:13:30.380]   Analyze things like videos on our on our consoles
[00:13:31.140 --> 00:13:34.500]   So this is a good trick. All right, so there's two ways to get the data
[00:13:34.500 --> 00:13:38.380]   So then
[00:13:38.380 --> 00:13:42.020]   Having got the data you then need to
[00:13:42.020 --> 00:13:45.140]   Build your model, right?
[00:13:45.140 --> 00:13:51.860]   So what I tend to do like you'll notice that I tend to assume that the data is in a directory called data
[00:13:51.860 --> 00:13:55.620]   That's a subdirectory of wherever your notebook is, right?
[00:13:55.620 --> 00:13:58.820]   Now you don't necessarily
[00:13:59.380 --> 00:14:00.860]   Actually want to put your data there
[00:14:00.860 --> 00:14:05.260]   You might want to put it directly in your home directory or you might want to put it on another drive or whatever
[00:14:05.260 --> 00:14:13.020]   so what I do is if you look inside my courses deal one folder, you'll see that data is actually a
[00:14:13.020 --> 00:14:15.660]   symbolic link
[00:14:15.660 --> 00:14:20.820]   To a different drive, right? So you can put it anywhere you like and then you can just add a symbolic link
[00:14:20.820 --> 00:14:24.660]   Or you can just put it there directly. It's up to you
[00:14:24.660 --> 00:14:30.340]   You haven't used some links before they're like aliases or shortcuts on the Mac or Windows
[00:14:30.340 --> 00:14:35.980]   Very handy and there's some threads on the forum about how to use them if you want help with that
[00:14:35.980 --> 00:14:39.420]   that's for example is also how we actually have the
[00:14:39.420 --> 00:14:41.660]   fast AI modules
[00:14:41.660 --> 00:14:46.540]   Available from the same place as our notebooks. It's just a similar to where they come from
[00:14:46.540 --> 00:14:49.820]   anytime you want to see like
[00:14:50.340 --> 00:14:57.340]   Where things actually point to in Linux you can just use the minus L flag to listing a directory
[00:14:57.340 --> 00:14:59.340]   And it'll show you where the sim links
[00:14:59.340 --> 00:15:03.040]   Exist and also show you which things are directories so forth
[00:15:03.040 --> 00:15:06.580]   Okay, so one thing which
[00:15:06.580 --> 00:15:14.740]   May be a little unclear based on what we've done so far is like
[00:15:15.220 --> 00:15:22.860]   How little code you actually need to do this end-to-end so what I've got here is is in a single window is an entire
[00:15:22.860 --> 00:15:28.260]   End-to-end process to get a state-of-the-art result for cats versus dogs, right?
[00:15:28.260 --> 00:15:35.660]   I've the only step I've skipped is the bit where we've downloaded it in Kaggle and then where we unzipped it, right?
[00:15:35.660 --> 00:15:37.220]   so
[00:15:37.220 --> 00:15:39.460]   These are literally all the steps
[00:15:39.460 --> 00:15:42.260]   and so we
[00:15:42.660 --> 00:15:48.900]   Import our libraries and actually if you import this one conf learner that basically imports everything else
[00:15:48.900 --> 00:15:56.540]   So that's that we need to tell it the path of where things are the size that we want the batch size that we want
[00:15:56.540 --> 00:15:58.500]   alright
[00:15:58.500 --> 00:16:02.340]   So then and we're going to learn a lot more about what these do very shortly
[00:16:02.340 --> 00:16:07.500]   But basically we say how do we want to transform our data so we want to transform it in a way
[00:16:07.500 --> 00:16:13.420]   That's suitable to this particular kind of model and it assumes that the photos are side on photos
[00:16:13.420 --> 00:16:16.220]   And that we're going to zoom in up to 10% each time
[00:16:16.220 --> 00:16:19.500]   We say that we want to get some data
[00:16:19.500 --> 00:16:25.180]   Based on paths and so remember this is this idea that there's a path called cats and a path called dogs
[00:16:25.180 --> 00:16:28.340]   And they're inside a path called train and a path called valid
[00:16:28.340 --> 00:16:30.940]   Note that you can always
[00:16:33.500 --> 00:16:40.340]   Overwrite these with other things so if your things are in different named folders you could either rename them or you can see here
[00:16:40.340 --> 00:16:45.020]   There's like a train name and a vowel name you can always pick something else here
[00:16:45.020 --> 00:16:48.820]   Also notice there's a test name
[00:16:48.820 --> 00:16:54.380]   So if you want to submit some into Kaggle you'll need to fill in the name the name of the folder where the test
[00:16:54.380 --> 00:16:56.840]   Set is and obviously those those won't be labeled
[00:17:00.220 --> 00:17:06.900]   So then we create a model from a pre trained model. It's from a ResNet 50 model using this data
[00:17:06.900 --> 00:17:10.380]   And then we call fit and remember by default
[00:17:10.380 --> 00:17:16.380]   That has all of the layers, but the last few frozen and again, we'll learn a lot more about what that means
[00:17:16.380 --> 00:17:19.500]   And so that's that's what that does so that
[00:17:19.500 --> 00:17:22.220]   That took two and a half minutes
[00:17:22.220 --> 00:17:27.300]   Notice here. I didn't say pre compute equals true again
[00:17:27.300 --> 00:17:30.260]   There's been some confusion on the forums about like what that means
[00:17:30.260 --> 00:17:37.620]   It's it's only a it's only something that makes it a little faster for this first step right so you can always skip it
[00:17:37.620 --> 00:17:43.700]   And if you're at all confused about it, or it's causing you any problems. Just leave it off right because it's just a
[00:17:43.700 --> 00:17:52.020]   It's just a shortcut which caches some of that intermediate steps that don't have to be recapulated each time
[00:17:52.020 --> 00:18:00.420]   Okay, and remember that when we are using pre computed activations data augmentation doesn't work right so even if you ask for a data
[00:18:00.420 --> 00:18:02.860]   augmentation if you've got pre computed equals true
[00:18:02.860 --> 00:18:06.940]   It doesn't actually do any data augmentation because it's using the cached
[00:18:06.940 --> 00:18:09.220]   non-augmented
[00:18:09.220 --> 00:18:10.540]   activations
[00:18:10.540 --> 00:18:15.140]   So in this case to keep this as simple as possible. I have no pre computed anything going on
[00:18:15.140 --> 00:18:19.220]   so I do three cycles of length one and
[00:18:20.220 --> 00:18:22.900]   Then I can then unfreeze
[00:18:22.900 --> 00:18:25.500]   So it's now going to train the whole thing
[00:18:25.500 --> 00:18:29.620]   something we haven't seen before and we'll learn about in the second half is
[00:18:29.620 --> 00:18:34.940]   called BN freeze for now all you need to know is that if you're using a
[00:18:34.940 --> 00:18:37.140]   model like a
[00:18:37.140 --> 00:18:42.780]   Bigger deeper model like resnet 50 or res next 101 on a data set
[00:18:42.780 --> 00:18:48.140]   That's very very similar to image net like these cats and dogs later sets on other words
[00:18:48.140 --> 00:18:51.780]   Like side on photos of standard objects
[00:18:51.780 --> 00:18:57.300]   You know of a similar size to image net like somewhere between 200 and 500 pixels
[00:18:57.300 --> 00:19:06.020]   You should probably add this line when you unfreeze for those of you that are more advanced what it's doing is it's it's
[00:19:06.020 --> 00:19:08.460]   Causing the batch normalization
[00:19:08.460 --> 00:19:14.340]   Moving averages to not be updated but in the second half of this course you're going to learn all about why we do that
[00:19:14.340 --> 00:19:16.340]   It's something that's not supported by any other library
[00:19:17.020 --> 00:19:21.660]   But it turns out to be super important anyway, so we do one more epoch
[00:19:21.660 --> 00:19:23.820]   with
[00:19:23.820 --> 00:19:25.820]   training the whole network
[00:19:25.820 --> 00:19:29.540]   And then at the end we use test time augmentation
[00:19:29.540 --> 00:19:37.180]   To ensure that we get the best predictions we can and that gives us ninety nine point four five percent
[00:19:37.180 --> 00:19:45.540]   So that's that's it right so when you try a new data set they're basically the minimum set of steps
[00:19:46.260 --> 00:19:48.260]   That you would need to follow
[00:19:48.260 --> 00:19:54.260]   You'll notice this is assuming. I already know what learning rate to use so you'd use a learning rate finder for that
[00:19:54.260 --> 00:19:57.620]   It's assuming that I know the the directory layout
[00:19:57.620 --> 00:20:00.820]   and so forth
[00:20:00.820 --> 00:20:05.020]   So that's kind of a minimum set now one of the things that I wanted to make sure
[00:20:05.020 --> 00:20:11.180]   You had an understanding of how to do is how to use other libraries other than fast AI
[00:20:11.780 --> 00:20:18.020]   And so I feel like the best thing to look at is to look at Keras because Keras is a library
[00:20:18.020 --> 00:20:20.820]   Just like fast AI sits on top of Pytorch
[00:20:20.820 --> 00:20:28.480]   Keras sits on top of actually a whole variety of different back ends it fits mainly people nowadays use it with TensorFlow
[00:20:28.480 --> 00:20:35.020]   There's also an MX net version. There's also a Microsoft CNTK version
[00:20:35.020 --> 00:20:40.140]   So what I've got if you do a git pull you'll see that there's a
[00:20:40.300 --> 00:20:42.220]   something
[00:20:42.220 --> 00:20:49.020]   Called Keras lesson one where I've attempted to replicate at least parts of lesson one in Keras
[00:20:49.020 --> 00:20:52.580]   Just to give you a sense of how that works
[00:20:52.580 --> 00:21:01.880]   I'm not going to talk more about batch norm freeze now other than to say
[00:21:01.880 --> 00:21:04.700]   if you're using
[00:21:04.700 --> 00:21:06.060]   something
[00:21:06.060 --> 00:21:12.620]   Which has got a number larger than 34 at the end so like resnet 50 or res next 101 and you're
[00:21:12.620 --> 00:21:17.500]   Trading a data set that has that is very similar to image net
[00:21:17.500 --> 00:21:22.780]   So it's like normal photos of normal sizes where the thing of interest takes up most of the frame
[00:21:22.780 --> 00:21:27.180]   Then you probably should add the end freeze true after unfreeze
[00:21:27.180 --> 00:21:31.340]   If in doubt try trading it with and then try trading it without
[00:21:32.700 --> 00:21:36.480]   More advanced students will can certainly talk about it on the forums this week
[00:21:36.480 --> 00:21:42.740]   And we will be talking about the details of it in the second half of the course when we come back to our
[00:21:42.740 --> 00:21:47.440]   CNN in-depth section in the second last lesson
[00:21:47.440 --> 00:21:54.300]   So with Keras
[00:21:54.300 --> 00:21:58.140]   again, we import a bunch of stuff and
[00:22:00.940 --> 00:22:06.180]   Remember I mentioned that this idea that you've got a thing called train and a thing called valid and inside that you've got a
[00:22:06.180 --> 00:22:10.420]   Thing called dogs and the things called cats is a standard way of providing
[00:22:10.420 --> 00:22:12.620]   image
[00:22:12.620 --> 00:22:18.780]   Labeled images so Keras does that too right so it's going to tell it where the training set and the validation set are
[00:22:18.780 --> 00:22:22.820]   Size twice what batch size to use
[00:22:22.820 --> 00:22:27.740]   Now you're noticing Keras. We need much much much more
[00:22:28.540 --> 00:22:30.660]   code to do the same thing
[00:22:30.660 --> 00:22:37.860]   More importantly each part of that code has many many many more things you have to set and if you set them wrong
[00:22:37.860 --> 00:22:40.300]   everything breaks, right, so
[00:22:40.300 --> 00:22:47.700]   I'll give you a summary of what they are. So you're basically rather than creating a single
[00:22:47.700 --> 00:22:52.860]   Data object in Keras we first of all have to define something called a data
[00:22:52.860 --> 00:22:57.140]   Generator to say how to generate the data and so a data generator
[00:22:57.140 --> 00:23:00.820]   We basically have to say what kind of data augmentation
[00:23:00.820 --> 00:23:03.620]   we want to do and
[00:23:03.620 --> 00:23:07.340]   We also we actually have to say what kind of
[00:23:07.340 --> 00:23:13.180]   Normalization do we want to do so we're else with fast AI we just say
[00:23:13.180 --> 00:23:16.780]   Whatever resnet 50 requires just do that for me, please
[00:23:16.780 --> 00:23:20.860]   We actually have to kind of know a little bit about what's expected of us
[00:23:20.860 --> 00:23:26.300]   Generally speaking copy and pasting Keras code from the internet is a good way to make sure you've got the right
[00:23:26.660 --> 00:23:28.660]   The right stuff to make that work
[00:23:28.660 --> 00:23:36.020]   And again, it doesn't have a kind of a standard set of like here the best data augmentation parameters to use for photos
[00:23:36.020 --> 00:23:39.780]   So, you know, I've copied and pasted all of this from the Keras
[00:23:39.780 --> 00:23:42.620]   documentation
[00:23:42.620 --> 00:23:47.620]   So I don't know if it's I don't think it's the best set to use at all, but it's the set that they're using in their
[00:23:47.620 --> 00:23:48.500]   Docs
[00:23:48.500 --> 00:23:55.460]   So having said this is how I want to generate data. So horizontally flip sometimes, you know zoom sometimes she is sometimes
[00:23:55.860 --> 00:24:02.300]   We then create a generator from that by taking that data generator and saying I want to generate
[00:24:02.300 --> 00:24:07.700]   Images by looking from a directory and we pass in the directory which is of the same
[00:24:07.700 --> 00:24:10.660]   directory structure that fast AI uses and
[00:24:10.660 --> 00:24:14.780]   You'll see there's some overlaps with kind of how fast AI works here
[00:24:14.780 --> 00:24:20.100]   You tell it what size images you want to create you tell it what batch size you want in your mini batches
[00:24:20.100 --> 00:24:23.340]   And then there's something here not to worry about too much
[00:24:23.340 --> 00:24:28.300]   But basically if you're just got two possible outcomes you would generally say binary here
[00:24:28.300 --> 00:24:34.460]   If you've got multiple possible outcomes you would say categorical. Yeah, so we've only got cats or dogs. So it's binary
[00:24:34.460 --> 00:24:42.300]   So an example of like where things get a little more complex is you have to do the same thing for the validation set
[00:24:42.300 --> 00:24:44.300]   So it's up to you to create a data generator
[00:24:44.300 --> 00:24:52.020]   That doesn't have data augmentation because obviously for the validation set unless you're using TTA that's going to stuff things up
[00:24:52.740 --> 00:24:54.380]   you also
[00:24:54.380 --> 00:24:56.140]   When you train?
[00:24:56.140 --> 00:25:01.540]   You randomly reorder the images so that they're always shown in different orders to make it more random
[00:25:01.540 --> 00:25:04.060]   but with a validation it's
[00:25:04.060 --> 00:25:10.020]   Vital that you don't do that because if you shuffle the validation set you then can't track how well you're doing
[00:25:10.020 --> 00:25:12.420]   It's in a different order for the labels. That's a
[00:25:12.420 --> 00:25:17.540]   Basically, these are the kind of steps you have to do every time with Keras
[00:25:20.340 --> 00:25:26.120]   So again, the reason I was using resnet 54 is Keras doesn't have resnet 34 unfortunately
[00:25:26.120 --> 00:25:29.680]   So I just wanted to compare like with Mike so we got to use resnet 50 here
[00:25:29.680 --> 00:25:39.260]   There isn't the same idea with Keras of saying like construct a model that is suitable for this data set for me
[00:25:39.260 --> 00:25:40.940]   So you have to do it by hand, right?
[00:25:40.940 --> 00:25:48.140]   So the way you do it is to basically say this is my base model and then you have to construct on top of that manually
[00:25:48.700 --> 00:25:53.780]   The layers that you want to add and so by the end of this course, you'll understand why it is that these
[00:25:53.780 --> 00:25:57.060]   particular three layers are the layers that we add
[00:25:57.060 --> 00:26:02.460]   So having done that in Keras you basically say okay
[00:26:02.460 --> 00:26:05.980]   this is my model and then again there isn't like a
[00:26:05.980 --> 00:26:10.680]   Concept of like automatically freezing things or an API for that
[00:26:10.680 --> 00:26:15.220]   so you just have to allow loop through the layers that you want to freeze and
[00:26:15.700 --> 00:26:18.840]   Call trainable equals false on them
