
[00:00:00.960 --> 00:00:07.920]   Hello, this is a recording that I'm doing after the fact on a presentation I gave in London at
[00:07:55.280 --> 00:07:58.000]   And then it figures out that it actually has some white space here.
[00:07:58.000 --> 00:07:59.760]   And now it uses inference to clean it up.
[00:07:59.760 --> 00:08:04.960]   But again, I think it's an interesting way of doing this.
[00:08:04.960 --> 00:08:10.640]   And with Playwright in particular, and because it can now dump out the Playwright script,
[00:08:10.640 --> 00:08:15.200]   you can then also use this to create integration tests for browser interactions,
[00:08:15.200 --> 00:08:22.880]   because you already have all these inference calls in the backlog of the context.
[00:08:22.880 --> 00:08:30.240]   And so you could dump out these scripts to do it in less terms.
[00:08:30.240 --> 00:08:32.480]   Is it any good?
[00:08:32.480 --> 00:08:35.840]   Well, I don't know for sure, but I think it's an experiment worth doing.
[00:08:37.280 --> 00:08:41.280]   And one of the ways in which we could start looking at this is to say that
[00:08:41.280 --> 00:08:50.080]   what coding agents should actually expose is a meta language that can be used to
[00:08:50.080 --> 00:08:53.200]   to trigger MCP calls.
[00:08:53.200 --> 00:08:57.440]   So they could kind of do something similar where you create a proxy that loads all the MCP in
[00:08:57.440 --> 00:08:59.200]   and then expose a single tool,
[00:08:59.200 --> 00:09:04.400]   which is basically just a Python function that calls all the loaded MCP tools
[00:09:05.600 --> 00:09:08.400]   and maybe some sort of guidance of which tools are available.
[00:09:08.400 --> 00:09:12.320]   But it is just because it is not in the training set.
[00:09:12.320 --> 00:09:16.640]   It is kind of tricky to do, I think today, but I encourage you to explore with it.
[00:09:16.640 --> 00:09:20.000]   If you want to play with it, the two MCPs are on GitHub.
[00:09:20.000 --> 00:09:27.600]   And there's a companion blog post that you can read, which explains the concept in more detail.

