
[00:00:00.040 --> 00:00:09.560]  對對
[00:16:37.020 --> 00:16:55.180]   final. I think,,,, were
[00:16:55.760 --> 00:16:57.980]   dealing with the inheritance.
[00:16:57.980 --> 00:17:03.740]   The only thing she'll be inheriting is a duplex, which
[00:17:03.740 --> 00:17:07.040]   her mother lived in a lower portion of, and she's been living in
[00:17:07.040 --> 00:17:09.280]   the, excuse me, upper portion for many years.
[00:17:09.280 --> 00:17:16.960]   She will need some money for repairs that have been, you know,
[00:17:16.960 --> 00:17:20.080]   from deferred maintenance on the property, a little bit of debt
[00:17:20.080 --> 00:17:23.980]   and her mother's estate that the house will need to stand for.
[00:17:23.980 --> 00:17:24.960]   But
[00:17:25.000 --> 00:17:35.380]   이
[00:17:35.380 --> 00:17:36.860]   stole the, thank,
[00:18:52.780 --> 00:19:01.020]   Brittney: I haven't walked through her mother's portion, but I would guess it's probably going to be between $5-10,000.
[00:19:01.020 --> 00:19:19.040]   What's the student loan debt that she has, what is that from? Obviously it's from student loans, but I mean, did she finish a degree? She's only earning $35,000 a year. Doesn't seem like that's paid off for her. So tell me a little bit about the story of the student loan debt.
[00:19:19.040 --> 00:19:21.120]   Brittney:
[00:19:21.120 --> 00:19:22.000]   Yeah, she went to school.
[00:19:22.000 --> 00:19:22.000]   Brittney:
[00:19:22.000 --> 00:19:22.540]   Yeah, she went to school.
[00:19:22.540 --> 00:19:22.540]   Brittney:
[00:19:22.540 --> 00:19:22.640]   Yeah, she went to school.
[00:19:22.640 --> 00:19:22.660]   Yeah, she went to school.
[00:19:22.660 --> 00:19:22.720]   Yeah, she went to school.
[00:19:22.740 --> 00:19:26.900]   Yeah, she went to school.
[00:19:26.900 --> 00:19:26.940]   Yeah, she went to school.
[00:19:26.940 --> 00:19:27.020]   Yeah, she went to school.
[00:19:27.020 --> 00:19:27.140]   Yeah, she went to school.
[00:19:27.140 --> 00:19:27.260]   Yeah, she went to school.
[00:19:27.260 --> 00:19:27.400]   Yeah, she went to school.
[00:19:27.400 --> 00:19:27.460]   Yeah, she went to school.
[00:19:27.460 --> 00:19:27.520]   Yeah, she went to school.
[00:19:27.520 --> 00:19:27.580]   Yeah, she went to school.
[00:19:27.580 --> 00:19:27.640]   Yeah, she went to school.
[00:19:27.640 --> 00:19:27.700]   Yeah, she went to school.
[00:19:27.700 --> 00:19:27.760]   Yeah, she went to school.
[00:19:27.760 --> 00:19:27.820]   Yeah, she went to school.
[00:19:27.820 --> 00:19:27.880]   Yeah, she went to school.
[00:19:27.880 --> 00:19:27.980]   Yeah, she went to school.
[00:19:27.980 --> 00:19:28.040]   Yeah, she went to school.
[00:19:28.040 --> 00:19:28.100]   Yeah, she went to school.
[00:19:28.100 --> 00:19:28.160]   Yeah, she went to school.
[00:19:28.160 --> 00:19:28.220]   Yeah, she went to school.
[00:19:28.220 --> 00:19:28.280]   Yeah, she went to school.
[00:19:28.280 --> 00:19:28.340]   Yeah, she went to school.
[00:19:28.340 --> 00:19:28.360]   Yeah, she went to school.
[00:19:45.520 --> 00:19:47.460]   of
[00:19:47.460 --> 00:19:59.260]   in the is however
[00:19:59.260 --> 00:20:12.780]  rent weak
[00:20:13.020 --> 00:20:23.700]  its
[00:20:23.700 --> 00:20:41.260]   in not Hub L G really,,,, addjek ac
[00:20:43.020 --> 00:20:47.620]  łych.com/today. Okay. So two younger, so 12, what are the ages of all the children?
[00:20:47.620 --> 00:21:10.280]   Um, she's got two younger, two older. Um, the two younger still in middle and high school, the two older out of the house, but the one of the older ones, a single mother she's helping out. The other one is disabled. Is she receiving any alimony or child support payments? No. Got it. And it isn't, isn't likely to get any. Okay.
[00:21:10.280 --> 00:21:13.020]   Yeah. Yeah, I'm not sure if you've ever received any alimony or child support payments, but she's receiving them.
[00:21:13.040 --> 00:21:43.040]   Um, has she made any improvements in her finances in the past, you know, recent history? Is she taking control of her budget, taking control of her expenditures, making any positive changes?
[00:21:43.040 --> 00:21:43.040]   In that regard, maybe slightly, but not much. She has, um, made some good positive improvement in her salary over the last couple of years. Um, and has been listening to a little bit of advice there. Um, and I think that's a good thing.
[00:21:43.040 --> 00:21:43.040]   Um, and I think that's a good thing.
[00:21:43.040 --> 00:21:43.040]   Um, and I think that's a good thing.
[00:21:43.040 --> 00:21:43.040]   Um, and I think that's a good thing.
[00:21:43.040 --> 00:21:43.040]   Um, and I think that's a good thing.
[00:21:43.040 --> 00:21:43.040]   Um, and I think that's a good thing.
[00:21:43.040 --> 00:21:43.040]   Um, and I think that's a good thing.
[00:21:43.040 --> 00:21:43.040]   Um, and I think that's a good thing.
[00:21:43.040 --> 00:21:43.040]   Um, and I think that's a good thing.
[00:21:43.080 --> 00:22:13.060]   Um, and I think that's a good thing.
[00:22:13.060 --> 00:22:13.060]   Um, and I think that's a good thing.
[00:22:13.060 --> 00:22:13.060]   Um, and I think that's a good thing.
[00:22:13.060 --> 00:22:13.060]   Um, and I think that's a good thing.
[00:22:13.060 --> 00:22:13.060]   Um, and I think that's a good thing.
[00:22:13.060 --> 00:22:13.060]   Um, and I think that's a good thing.
[00:22:13.060 --> 00:22:13.060]   Um, and I think that's a good thing.
[00:22:13.060 --> 00:22:13.060]   Um, and I think that's a good thing.
[00:22:13.060 --> 00:22:13.060]   Um, and I think that's a good thing.
[00:22:13.060 --> 00:22:13.060]   Um, and I think that's a good thing.
[00:22:13.060 --> 00:22:13.060]   Um, and I think that's a good thing.
[00:22:13.080 --> 00:22:43.080]   Um, and I think that's a good thing.
[00:22:43.080 --> 00:22:43.080]   Um, and I think that's a good thing.
[00:22:43.080 --> 00:22:43.080]   Um, and I think that's a good thing.
[00:22:43.080 --> 00:22:43.080]   Um, and I think that's a good thing.
[00:22:43.080 --> 00:22:43.080]   Um, and I think that's a good thing.
[00:22:43.080 --> 00:22:43.080]   Um, and I think that's a good thing.
[00:22:43.080 --> 00:22:43.080]   Um, and I think that's a good thing.
[00:22:43.080 --> 00:22:43.080]   Um, and I think that's a good thing.
[00:22:43.080 --> 00:22:43.080]   Um, and I think that's a good thing.
[00:22:43.080 --> 00:22:43.080]   Um, and I think that's a good thing.
[00:22:43.080 --> 00:22:43.080]   Um, and I think that's a good thing.
[00:22:43.080 --> 00:22:43.080]   Um, and I think that's a good thing.
[00:22:43.080 --> 00:22:43.080]   Um, and I think that's a good thing.
[00:22:43.080 --> 00:22:43.080]   Um, and I think that's a good thing.
[00:22:43.080 --> 00:22:43.080]   Um, and I think that's a good thing.
[00:22:43.080 --> 00:22:43.080]   Um, and I think that's a good thing.
[00:22:43.100 --> 00:23:13.100]   Um, and I think that's a good thing.
[00:23:13.100 --> 00:23:13.100]   Um, and I think that's a good thing.
[00:23:13.100 --> 00:23:13.100]   Um, and I think that's a good thing.
[00:23:13.100 --> 00:23:13.100]   Um, and I think that's a good thing.
[00:23:13.100 --> 00:23:13.100]   Um, and I think that's a good thing.
[00:23:13.100 --> 00:23:13.100]   Um, and I think that's a good thing.
[00:23:13.100 --> 00:23:13.100]   Um, and I think that's a good thing.
[00:23:13.100 --> 00:23:13.100]   Um, and I think that's a good thing.
[00:23:13.100 --> 00:23:13.100]   Um, and I think that's a good thing.
[00:23:13.100 --> 00:23:13.100]   Um, and I think that's a good thing.
[00:23:13.100 --> 00:23:13.100]   Um, and I think that's a good thing.
[00:23:13.100 --> 00:23:13.100]   Um, and I think that's a good thing.
[00:23:13.100 --> 00:23:13.100]   Um, and I think that's a good thing.
[00:23:13.100 --> 00:23:13.100]   Um, and I think that's a good thing.
[00:23:13.120 --> 00:23:43.120]   Um, and I think that's a good thing.
[00:23:43.120 --> 00:23:43.120]   Um, and I think that's a good thing.
[00:23:43.120 --> 00:23:43.120]   Um, and I think that's a good thing.
[00:23:43.120 --> 00:23:43.120]   Um, and I think that's a good thing.
[00:23:43.120 --> 00:23:43.120]   Um, and I think that's a good thing.
[00:23:43.120 --> 00:23:43.120]   Um, and I think that's a good thing.
[00:23:43.120 --> 00:23:43.120]   Um, and I think that's a good thing.
[00:23:43.120 --> 00:23:43.120]   Um, and I think that's a good thing.
[00:23:43.120 --> 00:23:43.120]   Um, and I think that's a good thing.
[00:23:43.120 --> 00:23:43.120]   Um, and I think that's a good thing.
[00:23:43.120 --> 00:23:43.120]   Um, and I think that's a good thing.
[00:23:43.120 --> 00:23:43.120]   Um, and I think that's a good thing.
[00:23:43.120 --> 00:23:43.120]   Um, and I think that's a good thing.
[00:23:43.120 --> 00:23:43.120]   Um, and I think that's a good thing.
[00:23:43.140 --> 00:24:13.140]   Um, and I think that's a good thing.
[00:24:13.140 --> 00:24:13.140]   Um, and I think that's a good thing.
[00:24:13.140 --> 00:24:13.140]   Um, and I think that's a good thing.
[00:24:13.140 --> 00:24:13.140]   Um, and I think that's a good thing.
[00:24:13.140 --> 00:24:13.140]   Um, and I think that's a good thing.
[00:24:13.140 --> 00:24:13.140]   Um, and I think that's a good thing.
[00:24:13.140 --> 00:24:13.140]   Um, and I think that's a good thing.
[00:24:13.140 --> 00:24:13.140]   Um, and I think that's a good thing.
[00:24:13.140 --> 00:24:13.140]   Um, and I think that's a good thing.
[00:24:13.140 --> 00:24:13.140]   Um, and I think that's a good thing.
[00:24:13.140 --> 00:24:13.140]   Um, and I think that's a good thing.
[00:24:13.140 --> 00:24:13.140]   Um, and I think that's a good thing.
[00:24:13.180 --> 00:24:43.160]   and I think that's a good thing.
[00:24:43.160 --> 00:24:43.160]   Um, and I think that's a good thing.
[00:24:43.160 --> 00:24:43.160]   Um, and I think that's a good thing.
[00:24:43.160 --> 00:24:43.160]   Um, and I think that's a good thing.
[00:24:43.160 --> 00:24:43.160]   Um, and I think that's a good thing.
[00:24:43.160 --> 00:24:43.160]   Um, and I think that's a good thing.
[00:24:43.160 --> 00:24:43.160]   Um, and I think that's a good thing.
[00:24:43.160 --> 00:24:43.160]   Um, and I think that's a good thing.
[00:24:43.160 --> 00:24:43.160]   Um, and I think that's a good thing.
[00:24:43.160 --> 00:24:43.160]   Um, and I think that's a good thing.
[00:24:43.160 --> 00:24:43.160]   Um, and I think that's a good thing.
[00:24:43.160 --> 00:24:43.160]   Um, and I think that's a good thing.
[00:24:43.160 --> 00:24:43.160]   Um, and I think that's a good thing.
[00:24:43.180 --> 00:25:13.180]   Um, and I think that's a good thing.
[00:25:13.180 --> 00:25:13.180]   Um, and I think that's a good thing.
[00:25:13.180 --> 00:25:13.180]   Um, and I think that's a good thing.
[00:25:13.180 --> 00:25:13.180]   Um, and I think that's a good thing.
[00:25:13.180 --> 00:25:13.180]   Um, and I think that's a good thing.
[00:25:13.180 --> 00:25:13.180]   Um, and I think that's a good thing.
[00:25:13.180 --> 00:25:13.180]   Um, and I think that's a good thing.
[00:25:13.180 --> 00:25:13.180]   Um, and I think that's a good thing.
[00:25:13.180 --> 00:25:13.180]   Um, and I think that's a good thing.
[00:25:13.180 --> 00:25:13.180]   Um, and I think that's a good thing.
[00:25:13.180 --> 00:25:13.180]   Um, and I think that's a good thing.
[00:25:13.180 --> 00:25:13.180]   Um, and I think that's a good thing.
[00:25:13.180 --> 00:25:13.180]   Um, and I think that's a good thing.
[00:25:13.180 --> 00:25:13.180]   Um, and I think that's a good thing.
[00:25:13.180 --> 00:25:13.180]   Um, and I think that's a good thing.
[00:25:13.180 --> 00:25:13.180]   Um, and I think that's a good thing.
[00:25:13.180 --> 00:25:43.200]   Um, and I think that's a good thing.
[00:25:43.200 --> 00:25:43.200]   Um, and I think that's a good thing.
[00:25:43.200 --> 00:25:43.200]   Um, and I think that's a good thing.
[00:25:43.200 --> 00:25:43.200]   Um, and I think that's a good thing.
[00:25:43.200 --> 00:25:43.200]   Um, and I think that's a good thing.
[00:25:43.200 --> 00:25:43.200]   Um, and I think that's a good thing.
[00:25:43.200 --> 00:25:43.200]   Um, and I think that's a good thing.
[00:25:43.200 --> 00:25:43.200]   Um, and I think that's a good thing.
[00:25:43.200 --> 00:25:43.200]   Um, and I think that's a good thing.
[00:25:43.200 --> 00:25:43.200]   Um, and I think that's a good thing.
[00:25:43.200 --> 00:25:43.200]   Um, and I think that's a good thing.
[00:25:43.200 --> 00:25:43.200]   Um, and I think that's a good thing.
[00:25:43.220 --> 00:26:13.220]   Um, and I think that's a good thing.
[00:26:13.220 --> 00:26:13.220]   Um, and I think that's a good thing.
[00:26:13.220 --> 00:26:13.220]   Um, and I think that's a good thing.
[00:26:13.220 --> 00:26:13.220]   Um, and I think that's a good thing.
[00:26:13.220 --> 00:26:13.220]   Um, and I think that's a good thing.
[00:26:13.220 --> 00:26:13.220]   Um, and I think that's a good thing.
[00:26:13.220 --> 00:26:13.220]   Um, and I think that's a good thing.
[00:26:13.220 --> 00:26:13.220]   Um, and I think that's a good thing.
[00:26:13.220 --> 00:26:13.220]   Um, and I think that's a good thing.
[00:26:13.220 --> 00:26:13.220]   Um, and I think that's a good thing.
[00:26:13.220 --> 00:26:13.220]   Um, and I think that's a good thing.
[00:26:13.220 --> 00:26:13.220]   Um, and I think that's a good thing.
[00:26:13.220 --> 00:26:13.220]   Um, and I think that's a good thing.
[00:26:13.220 --> 00:26:13.220]   Um, and I think that's a good thing.
[00:26:13.220 --> 00:26:13.220]   Um, and I think that's a good thing.
[00:26:13.220 --> 00:26:13.220]   Um, and I think that's a good thing.
[00:26:13.220 --> 00:26:43.240]   a good thing.
[00:26:43.240 --> 00:26:43.240]   um, and I think that's a good thing.
[00:26:43.240 --> 00:26:43.240]   um, and I think that's a good thing.
[00:26:43.240 --> 00:26:43.240]   um, and I think that's a good thing.
[00:26:43.240 --> 00:26:43.240]   um, and I think that's a good thing.
[00:26:43.240 --> 00:26:43.240]   um, and I think that's a good thing.
[00:26:43.240 --> 00:26:43.240]   um, and I think that's a good thing.
[00:26:43.240 --> 00:26:43.240]   um, and I think that's a good thing.
[00:26:43.240 --> 00:26:43.240]   um, and I think that's a good thing.
[00:26:43.240 --> 00:26:43.240]   um, and I think that's a good thing.
[00:26:43.240 --> 00:26:43.240]   um, and I think that's a good thing.
[00:26:43.240 --> 00:26:43.240]   um, and I think that's a good thing.
[00:26:43.240 --> 00:26:43.240]   um, and I think that's a good thing.
[00:26:43.240 --> 00:26:43.240]   um, and I think that's a good thing.
[00:26:43.260 --> 00:27:13.260]   um, and I think that's a good thing.
[00:27:13.260 --> 00:27:13.260]   um, and I think that's a good thing.
[00:27:13.260 --> 00:27:13.260]   um, and I think that's a good thing.
[00:27:13.260 --> 00:27:13.260]   um, and I think that's a good thing.
[00:27:13.260 --> 00:27:13.260]   um, and I think that's a good thing.
[00:27:13.260 --> 00:27:13.260]   um, and I think that's a good thing.
[00:27:13.260 --> 00:27:13.260]   um, and I think that's a good thing.
[00:27:13.260 --> 00:27:13.260]   um, and I think that's a good thing.
[00:27:13.260 --> 00:27:13.260]   um, and I think that's a good thing.
[00:27:13.260 --> 00:27:13.260]   um, and I think that's a good thing.
[00:27:13.260 --> 00:27:13.260]   um, and I think that's a good thing.
[00:27:13.260 --> 00:27:13.260]   um, and I think that's a good thing.
[00:27:13.260 --> 00:27:13.260]   um, and I think that's a good thing.
[00:27:13.260 --> 00:27:13.260]   um, and I think that's a good thing.
[00:27:13.260 --> 00:27:13.260]   um, and I think that's a good thing.
[00:27:13.260 --> 00:27:13.260]   um, and I think that's a good thing.
[00:27:13.280 --> 00:27:43.280]   um, and I think that's a good thing.
[00:27:43.280 --> 00:27:43.280]   um, and I think that's a good thing.
[00:27:43.280 --> 00:27:43.280]   um, and I think that's a good thing.
[00:27:43.280 --> 00:27:43.280]   um, and I think that's a good thing.
[00:27:43.280 --> 00:27:43.280]   um, and I think that's a good thing.
[00:27:43.280 --> 00:27:43.280]   um, and I think that's a good thing.
[00:27:43.280 --> 00:27:43.280]   um, and I think that's a good thing.
[00:27:43.280 --> 00:27:43.280]   um, and I think that's a good thing.
[00:27:43.280 --> 00:27:43.280]   um, and I think that's a good thing.
[00:27:43.280 --> 00:27:43.280]   um, and I think that's a good thing.
[00:27:43.280 --> 00:27:43.280]   um, and I think that's a good thing.
[00:27:43.280 --> 00:27:43.280]   um, and I think that's a good thing.
[00:27:43.300 --> 00:28:13.300]  , um, and I think that's a good thing.
[00:28:13.300 --> 00:28:13.300]   um, and I think that's a good thing.
[00:28:13.300 --> 00:28:13.300]   um, and I think that's a good thing.
[00:28:13.300 --> 00:28:13.300]   um, and I think that's a good thing.
[00:28:13.300 --> 00:28:13.300]   um, and I think that's a good thing.
[00:28:13.300 --> 00:28:13.300]   um, and I think that's a good thing.
[00:28:13.300 --> 00:28:13.300]   um, and I think that's a good thing.
[00:28:13.300 --> 00:28:13.300]   um, and I think that's a good thing.
[00:28:13.300 --> 00:28:13.300]   um, and I think that's a good thing.
[00:28:13.300 --> 00:28:13.300]   um, and I think that's a good thing.
[00:28:13.300 --> 00:28:13.300]   um, and I think that's a good thing.
[00:28:13.320 --> 00:28:43.320]  , um, and I think that's a good thing.
[00:28:43.320 --> 00:28:43.320]   um, and I think that's a good thing.
[00:28:43.320 --> 00:28:43.320]   um, and I think that's a good thing.
[00:28:43.320 --> 00:28:43.320]   um, and I think that's a good thing.
[00:28:43.320 --> 00:28:43.320]   um, and I think that's a good thing.
[00:28:43.320 --> 00:28:43.320]   um, and I think that's a good thing.
[00:28:43.320 --> 00:28:43.320]   um, and I think that's a good thing.
[00:28:43.320 --> 00:28:43.320]   um, and I think that's a good thing.
[00:28:43.320 --> 00:28:43.320]   um, and I think that's a good thing.
[00:28:43.320 --> 00:28:43.320]   um, and I think that's a good thing.
[00:28:43.320 --> 00:28:43.320]   um, and I think that's a good thing.
[00:28:43.320 --> 00:28:43.320]   um, and I think that's a good thing.
[00:28:43.320 --> 00:28:43.320]   um, and I think that's a good thing.
[00:28:43.320 --> 00:28:43.320]   um, and I think that's a good thing.
[00:28:43.320 --> 00:28:43.320]   um, and I think that's a good thing.
[00:28:43.320 --> 00:28:43.320]   um, and I think that's a good thing.
[00:28:43.360 --> 00:29:13.340]   a good thing.
[00:29:13.340 --> 00:29:13.340]   um, and I think that's a good thing.
[00:29:13.340 --> 00:29:13.340]   um, and I think that's a good thing.
[00:29:13.340 --> 00:29:13.340]   um, and I think that's a good thing.
[00:29:13.340 --> 00:29:13.340]   um, and I think that's a good thing.
[00:29:13.340 --> 00:29:13.340]   um, and I think that's a good thing.
[00:29:13.340 --> 00:29:13.340]   um, and I think that's a good thing.
[00:29:13.340 --> 00:29:13.340]   um, and I think that's a good thing.
[00:29:13.340 --> 00:29:13.340]   um, and I think that's a good thing.
[00:29:13.360 --> 00:29:43.360]   It's a good thing.
[00:29:43.360 --> 00:29:43.360]   um, and I think that's a good thing.
[00:29:43.360 --> 00:29:43.360]   um, and I think that's a good thing.
[00:29:43.360 --> 00:29:43.360]   um, and I think that's a good thing.
[00:29:43.360 --> 00:29:43.360]   um, and I think that's a good thing.
[00:29:43.360 --> 00:29:43.360]   um, and I think that's a good thing.
[00:29:43.360 --> 00:29:43.360]   um, and I think that's a good thing.
[00:29:43.360 --> 00:29:43.360]   um, and I think that's a good thing.
[00:29:43.360 --> 00:29:43.360]   um, and I think that's a good thing.
[00:29:43.360 --> 00:29:43.360]   um, and I think that's a good thing.
[00:29:43.360 --> 00:29:43.360]   um, and I think that's a good thing.
[00:29:43.360 --> 00:29:43.360]   um, and I think that's a good thing.
[00:29:43.360 --> 00:29:43.360]   um, and I think that's a good thing.
[00:29:43.360 --> 00:29:43.360]   um, and I think that's a good thing.
[00:29:43.360 --> 00:29:43.360]   um, and I think that's a good thing.
[00:29:43.360 --> 00:29:43.360]   um, and I think that's a good thing.
[00:29:43.360 --> 00:29:43.360]   um, and I think that's a good thing.
[00:29:43.360 --> 00:30:13.380]   um, and I think that's a good thing.
[00:30:13.380 --> 00:30:13.380]   um, and I think that's a good thing.
[00:30:13.380 --> 00:30:13.380]   um, and I think that's a good thing.
[00:30:13.380 --> 00:30:13.380]   um, and I think that's a good thing.
[00:30:13.380 --> 00:30:13.380]   um, and I think that's a good thing.
[00:30:13.380 --> 00:30:13.380]   um, and I think that's a good thing.
[00:30:13.380 --> 00:30:13.380]   um, and I think that's a good thing.
