
[00:00:00.040 --> 00:00:04.960]   all right everybody welcome to the number one podcast in the world here we are on the all in
[00:02:51.760 --> 00:02:56.480]   you know being from texas i knew people there and they were like look we need somebody who understands pcs
[00:02:56.480 --> 00:03:01.840]   and computers and software can you help us and i was like definitely um i mean i wasn't to the point
[00:03:01.840 --> 00:03:08.080]   where i was involved in his decisions but i actually hadn't met him um my first company was a company
[00:03:08.080 --> 00:03:13.360]   called microsolutions where we did systems integrations local and wide area network i wrote software for
[00:03:13.360 --> 00:03:20.320]   you know single multi-user app wide area network apps and we literally helped pro systems um get into
[00:03:20.320 --> 00:03:25.920]   local and wide area networking and so you know one of my favorite stories from back then is you know i'm
[00:03:25.920 --> 00:03:31.440]   terrified i'm a 26 year old kid i'm in dallas i'm going into pro systems i get to meet ross perot
[00:03:31.440 --> 00:03:36.720]   senior the man right and i'm walking through him and he's got the original the the model for the
[00:03:36.720 --> 00:03:43.120]   um no he had the original magna carta one of like the 13 magna cartas and he had the original um
[00:03:43.120 --> 00:03:49.040]   model for the iwo jima um statue right with the flag up and everything and i'm just terrified i'm
[00:03:49.040 --> 00:03:54.640]   going to trip and just wipe out american history and i walk up to him and i said hi mr cuban
[00:03:59.840 --> 00:04:05.920]   you know reverse that yeah you know i was so nervous um and he like made fun of it and you
[00:04:05.920 --> 00:04:10.160]   know got to be friends and did a lot of business helped those guys a lot i made them a lot of money
[00:04:10.160 --> 00:04:14.240]   they made me a lot of money did you have any more interactions with them when you were on the campaign
[00:04:14.240 --> 00:04:19.360]   did you get a sense of no i did not no i was just a little plebe just trying to do a little plebe stuff
[00:04:19.360 --> 00:04:23.600]   in la i didn't know that you took acting classes that's interesting did you want to be an actor or
[00:04:23.600 --> 00:04:28.240]   before a businessman or what no no no this was after i sold micro solutions i bought a lifetime
[00:04:28.240 --> 00:04:33.840]   pass on american airlines moved to la got a place right in manhattan beach um right on the beach get
[00:04:33.840 --> 00:04:39.920]   two flight attendants as roommates and i was just loving life and i was like how else can i meet women
[00:04:39.920 --> 00:04:44.720]   i'm going to take acting classes and it was like one of the best things i've one of the best things
[00:04:44.720 --> 00:04:49.760]   i've ever done because you know being a business guy you it's always right brain right brain right brain
[00:04:49.760 --> 00:04:54.720]   and acting is like don't think just be don't think just be just let it go so it was a totally
[00:04:54.720 --> 00:04:59.200]   different experience and that's why you see me do all these cameos and stuff um because i like to do
[00:04:59.200 --> 00:05:03.680]   it because it's the one place where you just have to completely let go and it's a completely different
[00:05:03.680 --> 00:05:09.680]   approach to life so you know little backstory yeah yeah you got a good character arc on entourage i think
[00:05:09.680 --> 00:05:14.560]   that was probably the best one seven episodes plus the movie yeah yeah yeah yeah that was uh pretty
[00:05:14.560 --> 00:05:20.320]   memorable so uh sax lead us off here i don't know if you've been following mark cuban on
[00:05:20.320 --> 00:05:27.360]   social media at all or if you guys interact i can't resist asking so is your um is your acting as a
[00:05:27.360 --> 00:05:35.520]   surrogate for kamala is that acting too or absolutely not hey oh wow we may go live we may go low we go hi
[00:05:35.520 --> 00:05:41.520]   no no obviously i truly believe in it and look it's always relative it's always relative to the other
[00:05:41.520 --> 00:05:47.440]   candidate um and so obviously as you guys know i'm not a big fan of donald trump i gave him a shot
[00:05:47.440 --> 00:05:51.840]   eight years ago it didn't work out okay wait wait could we can we get into this because i you obviously
[00:05:51.840 --> 00:05:58.160]   have like a love-hate relationship with trump going back 20 something years so let's just go through the
[00:05:58.160 --> 00:06:03.040]   the um the timeline here i'm just very curious i don't hate the guy at all if he was running for
[00:06:03.040 --> 00:06:09.200]   president and we all got together and you know just shot the like we are now he's a blast he's fun to
[00:06:09.200 --> 00:06:14.480]   talk to you know he's got charisma he's got personality he's easy to like i mean you know
[00:06:14.480 --> 00:06:19.920]   he's used to schmoozing he's he's one of the world's best schmoozers and so he's easy to get along with
[00:06:19.920 --> 00:06:25.040]   it's not personal but that doesn't mean like you guys with each other it doesn't mean you can't you
[00:06:25.040 --> 00:06:30.320]   know as different things happen over time you can't go back and forth and you know he did the same thing
[00:06:30.320 --> 00:06:38.160]   so the whole history of it was back um right when um we went public at broadcast.com no right after
[00:06:38.160 --> 00:06:45.920]   we announced the sale in 2000 um was it 2000 yeah after we announced the sale in january 2000
[00:06:45.920 --> 00:06:54.880]   he threw a super bowl party at mar-a-lago and one of my buddies um who um knew him invited me and i was
[00:06:54.880 --> 00:07:01.120]   like cool i'll go mar-a-lago hadn't seen it donald trump maybe i'll meet him and so you know you guys
[00:07:01.120 --> 00:07:07.120]   have seen mar-a-lago in a beautiful pool beautiful view there's a brand up there and he had like a
[00:07:07.120 --> 00:07:15.040]   bunch of um hooters and um what's the suntan lotion that always had girls whatever oh tropicana
[00:07:15.040 --> 00:07:21.360]   tropic no yeah but sun tropics one of those right yeah and so they were all dressed in orange and they were
[00:07:21.360 --> 00:07:26.400]   walking around and it was just like a big deal and it was funny as hell and so not that that's
[00:07:26.400 --> 00:07:32.720]   a bad thing it was actually kind of entertaining and um so he comes up to me and i'm with the um
[00:07:32.720 --> 00:07:40.000]   vp of visa my buddy and jerry yang i think it was maybe it wasn't jerry but um co-founder of yahoo
[00:07:40.000 --> 00:07:46.640]   yeah co-founder of yahoo and um he was like hey guys nice to meet you and i'm like hey i'm mark donald
[00:07:46.640 --> 00:07:52.480]   da da da and he just you know not to be mean just in a flipping way he was like hey someday you'll be
[00:07:52.480 --> 00:07:58.320]   able to sit up there with the rich people pointing to the veranda and walked away and i'm like okay
[00:07:58.320 --> 00:08:05.440]   fine you know whatever and so um then um not long after that through my friend he got back in touch with
[00:08:05.440 --> 00:08:12.080]   me and you know this is the early days of the internet early 2000s and um still i guess to still
[00:08:12.080 --> 00:08:19.840]   2000 and um i get an invitation to go to um his office in trump towers and i'm like this is cool of
[00:08:19.840 --> 00:08:24.400]   course and you know he wants to talk to me about business and i'm like you know what donald i'll help
[00:08:24.400 --> 00:08:30.640]   you all i can he you know he's getting donald trump.com and he wants to sell tchotchkes and merchandise i
[00:08:30.640 --> 00:08:36.080]   guess some things never change um and so you know so i'm in there trying to tell him about what you
[00:08:36.080 --> 00:08:40.800]   can and can't sell online and what works and that was all fine and good met avanka it was all really
[00:08:40.800 --> 00:08:46.320]   cool but the one thing that left with me if you've ever been or seen pictures of his office every inch
[00:08:46.320 --> 00:08:54.240]   of his office is covered with pictures of him every single inch of the office like meeting celebrities
[00:08:54.240 --> 00:08:59.040]   right stuff like that yeah yeah or you know whatever um covers he was on and just whatever
[00:08:59.040 --> 00:09:03.920]   right and i just remember walking through there and afterwards you know it was it was a nice meeting
[00:09:03.920 --> 00:09:08.320]   and we had some follow-up calls and everything but it never went anywhere in terms of the online stuff
[00:09:08.320 --> 00:09:14.160]   but i just remember thinking to myself if i ever become you know visible or famous you know to that
[00:09:14.160 --> 00:09:20.240]   level don't let me get so caught up in just having pictures of myself and you know i'd had conversations
[00:09:20.240 --> 00:09:28.720]   with my buddies about it just like you know you guys would and so then in 2004 um i got a chance to
[00:09:28.720 --> 00:09:33.920]   do a show called the benefactor abc called me and said okay wait let's show this we have this uh this
[00:09:33.920 --> 00:09:40.000]   was got tweeted so so so this is after we got canceled you did oppo research sex you got oppo research
[00:09:40.000 --> 00:09:45.840]   this is all on twitter every this is all on on x people try to with me on on twitter they throw this
[00:09:45.840 --> 00:09:52.240]   so so anyway so when i got the gig um he was like congratulations good luck and everything i was like
[00:09:52.240 --> 00:09:57.120]   thank you and whatever and then when i got canceled he sent me that letter basically saying you suck
[00:09:57.120 --> 00:10:02.560]   and so well he was he was dancing on the graveyard show but so you're saying you didn't have beef
[00:10:02.560 --> 00:10:06.800]   with him before that letter no it was not a beef no yeah it was not a beef but it was just like
[00:10:07.600 --> 00:10:15.200]   that's what it was and so it was just like okay whatever and um okay but then when he ran in 2016
[00:10:15.200 --> 00:10:20.080]   you were supportive can we show that let's show that there's more in between there's a lot more
[00:10:20.080 --> 00:10:27.440]   in between okay okay so that's 2004 2007 um eric reaches out to me and goes hey there's no hard
[00:10:27.440 --> 00:10:32.880]   feelings with my dad or anything i'm like no i don't care he goes we're working with um these russian
[00:10:32.880 --> 00:10:38.320]   mma fighters this guy named fedor emilyenko who was like one of the best ever at that point in time
[00:10:38.320 --> 00:10:44.560]   and josh barrett and kind of the irony of all this is we were competing with dana dana white and the ufc
[00:10:44.560 --> 00:10:49.360]   in some respects because a lot of fighters felt like they weren't getting paid enough there was no health
[00:10:49.360 --> 00:10:54.720]   care there was no nothing right and so i had a tv network we had started the first all high definition
[00:10:54.720 --> 00:11:00.640]   tv network called hd net back in 2000 back when tvs cost twenty thousand dollars and everybody
[00:11:00.640 --> 00:11:06.000]   thought we were idiots but slowly but surely it was taking off and so they came to me and said we'd like
[00:11:06.000 --> 00:11:12.320]   to put um we're partnering with these guys who are putting on this mma fight um with fedor and josh
[00:11:12.320 --> 00:11:18.800]   barrett and some other folks and we'd like to broadcast it on on hd net because we had a show called um this
[00:11:18.800 --> 00:11:23.760]   week in mma so we were promoting we had fights that we were already putting on every friday night
[00:11:23.760 --> 00:11:28.080]   so it actually was a good fit so you'll see pictures of me sitting with them and actually
[00:11:28.080 --> 00:11:32.720]   and i couldn't find it i was so pissed because i was going to with him some more um what he said in
[00:11:32.720 --> 00:11:37.040]   the end what you know during the time we were sitting at that podium was everything mark cuban
[00:11:37.040 --> 00:11:43.120]   touches turns to gold and so i was like that would have been so great to have out there and so and
[00:11:43.120 --> 00:11:48.960]   anyway so we were friends again and so it's 2007 and we're friends and nothing happens between then
[00:11:48.960 --> 00:11:55.440]   until whenever he started going crazy on twitter and um all the obama stuff and everything and the
[00:11:55.440 --> 00:12:01.600]   birth certificate and the birth birth birth stuff so he's on twitter and he started with me
[00:12:01.600 --> 00:12:09.200]   like saying that so let me just preface this by saying i golfed once in my life in 1989 and i hated
[00:12:09.200 --> 00:12:13.040]   it so bad i was throwing clubs because i'm one of those really super competitive guys i'm like
[00:12:13.040 --> 00:12:19.600]   never again but i went and worked um i auctioned off myself to be a caddy at a golf tournament that
[00:12:19.600 --> 00:12:24.880]   he also was at but he starts tweeting that i saw mark cuban and he swings like your girl and this and
[00:12:24.880 --> 00:12:31.280]   that his swing is like your girl like nobody saw me swing because i don't golf and so i started back
[00:12:31.280 --> 00:12:37.680]   with him and so we went back and forth on twitter for years for years and then he comes down the um
[00:12:37.680 --> 00:12:44.240]   escalator in 2015 and i'm like all right this guy's got no chance to win um but i think it's
[00:12:44.240 --> 00:12:49.520]   great because i don't like traditional politicians i'm not you know there's nothing about me that
[00:12:49.520 --> 00:12:55.600]   thinks that the way we do politics or the way the government is run is a good thing not at all i mean
[00:12:55.600 --> 00:13:01.520]   i my heart is libertarian but i realize you can't libertarians are not problem solvers or ideologues
[00:13:01.520 --> 00:13:06.080]   you know like you look at rand paul everything's only one way he doesn't try to solve problems so
[00:13:06.080 --> 00:13:11.600]   anyways um i digress so he comes down i'm like that's cool right he doesn't have a chance to win
[00:13:11.600 --> 00:13:16.400]   but um i'm like he's the best thing ever you know you know how you know i forget where i was but i was
[00:13:16.400 --> 00:13:20.560]   like he's the best thing that ever happened to politics he's not a politician he's not going to be
[00:13:20.560 --> 00:13:25.440]   a stepford candidate i may not agree with his positions but you know just the fact that he's
[00:13:25.440 --> 00:13:32.240]   not a politician is a good thing and so from there he called me and we talked a lot probably 10 to 15
[00:13:32.240 --> 00:13:36.960]   times on the phone he would call me you know and he tweeted one time mark cuban was trying to come i
[00:13:36.960 --> 00:13:41.680]   never had a number there was no way for me to call him right he would you know and you know the way he
[00:13:41.680 --> 00:13:47.360]   emails he refuses to send an email because he doesn't want any proof of anything he's done right and so
[00:13:48.480 --> 00:13:51.920]   you know he would write it up like you had one of those pictures so bring up the one on
[00:13:51.920 --> 00:13:56.640]   the cnn where he says what happened so right there cnn nasty what happened see see what he does there
[00:13:56.640 --> 00:14:02.480]   his email he writes on a piece of paper and then someone scans it and sends it as an image via email
[00:14:02.480 --> 00:14:08.160]   and so what happened just so the audience can understand so the the email is from you to him
[00:14:08.160 --> 00:14:13.840]   saying tell the boss i said congrats on his sweep and then and then his assistant printed it out and then
[00:14:13.840 --> 00:14:18.240]   wrote back to you and like this is one of many emails that we went back and forth on this
[00:14:18.240 --> 00:14:25.280]   door but just to be just as a weird point he literally prints out his emails writes on them
[00:14:25.280 --> 00:14:31.840]   has them scanned in and sent as an image to you mark wow saw you on cnn nasty what how did he send
[00:14:31.840 --> 00:14:35.920]   this to you he mailed this to you or what he mailed it in image he doesn't use email i mean
[00:14:35.920 --> 00:14:41.680]   the guy no no his assistant emailed it back right as so he writes on the piece system prints it out he
[00:14:41.680 --> 00:14:46.880]   reads it hilarious he writes on it she scans it she scans the it sends the image to me officially the big
[00:14:46.880 --> 00:14:51.280]   question there but you can't just let that slide why do you think he does that is this a different
[00:14:51.280 --> 00:14:56.640]   generation no at least that's my interpretation no absolutely not nope i'm with mark he don't want
[00:14:56.640 --> 00:15:01.440]   paper trails or anything because he's doing so much shady stuff man guys i think you're reaching there
[00:15:01.440 --> 00:15:07.840]   obviously there's a paper trail if he writes if he writes on a piece of paper if i write right now on a
[00:15:07.840 --> 00:15:13.840]   post-it note scan and email to you there's a paper trail no no you can't search for it and it's not
[00:15:13.840 --> 00:15:20.160]   his you know yes to your point he's saying i'm just telling you he won't send emails at all he doesn't
[00:15:20.160 --> 00:15:25.040]   want his assistant created an electronic record what's the difference you have to ask him on that
[00:15:25.040 --> 00:15:29.040]   but he said it's a generational thing this is my interpretation i think it's a generation out loud
[00:15:29.040 --> 00:15:33.040]   david he has literally said it out loud that he doesn't want a paper trail but anyway so let's go
[00:15:33.040 --> 00:15:38.000]   back so so now we're talking back and forth and we're having legit conversations i remember asking
[00:15:38.000 --> 00:15:42.000]   him you know you realize as president you're going to have to make decisions where people can die
[00:15:42.000 --> 00:15:47.520]   and he really wouldn't respond yeah i get it i get it i'm like donald you don't have a ground game
[00:15:47.520 --> 00:15:51.040]   what are you going to do how are you going to get through this beat him yeah i got the evangelicals
[00:15:51.040 --> 00:15:55.520]   doing all that i'm not worried about it i'm like donald you know and we would i would bring up
[00:15:55.520 --> 00:16:04.400]   things about there was this one thing where um the fbi used to use this device to break into an iphone
[00:16:04.400 --> 00:16:10.800]   and there was a big thing about you know privacy and i tried to engage him on a conversation on it
[00:16:10.800 --> 00:16:16.080]   and it's just like i don't know i you know just didn't want to talk about that at all and that would
[00:16:16.080 --> 00:16:20.800]   that would happen multiple times where i would try to engage in conversations about
[00:16:20.800 --> 00:16:26.800]   some some type of policy and they're just it never got anywhere and there was never a conversation
[00:16:26.800 --> 00:16:31.600]   and i said to him i'm saying there's another email where i said donald at some point you have to learn
[00:16:31.600 --> 00:16:35.760]   these things you literally have to learn these things in order to be president and he didn't
[00:16:35.760 --> 00:16:41.680]   respond to that and that's when i went on cnn and i said basically look i like the guy but he's not
[00:16:41.680 --> 00:16:46.320]   learning he doesn't make any effort to learn anything and i think that carries on to this day
[00:16:46.320 --> 00:16:50.960]   because you can't look at things he says and say that's really an in-depth response or that's
[00:16:50.960 --> 00:16:57.680]   a nuanced response and so that's what i said on cnn and that led to the um image that you you guys
[00:16:57.680 --> 00:17:03.600]   posted so that was the falling out that was the falling out yeah or maybe but it wasn't a complete
[00:17:03.600 --> 00:17:07.760]   fall just to finish this up you want me to continue so it's not a complete falling out because okay after
[00:17:07.760 --> 00:17:14.160]   that he gets elected i sent him a congratulatory message um and i say congrats you know um you know
[00:17:14.160 --> 00:17:21.760]   if i can ever help i'm happy to and so when they were starting to look at replacing the aca i was
[00:17:21.760 --> 00:17:26.720]   starting to get into health care and being excited about health care and so they invited me to the
[00:17:26.720 --> 00:17:32.080]   white house and i spoke to jared i spoke to this woman named brooke rollins i think her name is um and i
[00:17:32.080 --> 00:17:37.760]   i spoke to a whole group of people i went to cms and i spoke to the head of the agency i spoke to the
[00:17:37.760 --> 00:17:43.520]   head of cms all talking about this thing i created called the 10 plan which is a means tested ability
[00:17:43.520 --> 00:17:49.360]   to support anyways um and so they brought me back in and then when the pandemic hit i sent him some
[00:17:49.360 --> 00:17:56.400]   ideas on you know backstopping um bank accounts and credit card accounts so everybody doesn't just
[00:17:56.400 --> 00:18:01.840]   default and he had minutian call me and then when they had with the pandemic he connected with peter
[00:18:01.840 --> 00:18:07.680]   navarro and i worked with him and actually found a company here in it actually outside of fort worth
[00:18:07.680 --> 00:18:13.280]   that um i put together with them and i helped that company increase their output and peter navarro
[00:18:13.280 --> 00:18:18.560]   worked with them closely and we you know really made a dent in all the ppe issues and you know he
[00:18:18.560 --> 00:18:22.640]   invited me to the white house and then i went to the white house one time went into the oval office
[00:18:22.640 --> 00:18:27.360]   and there's pictures of me talking and again i tried to explain the health care stuff he just
[00:18:27.360 --> 00:18:32.160]   wasn't having any type of in-depth conversation he wanted to tell me about how much money he saved on
[00:18:32.160 --> 00:18:37.280]   um on from boeing you know how many billions and this and that and then it was a short conversation
[00:18:37.280 --> 00:18:42.240]   and then i was leaving he goes look are you still on that show and he goes i'm like yeah shark tank he
[00:18:42.240 --> 00:18:45.840]   goes yeah that's baron's favorite show and then as i'm leaving further he goes wait a minute
[00:18:45.840 --> 00:18:52.320]   i really like that suit so you know and and you know he's called me since um now since he left the
[00:18:52.320 --> 00:18:57.520]   white house but you know in the you know later in his tenure at the white house and invited me to dinner
[00:18:57.520 --> 00:19:03.600]   i mean and so it's not like we left as foes and it's not like i don't like him i just don't think
[00:19:03.600 --> 00:19:08.240]   he's the best person to be president i don't think he was a good one let's just stress test that what
[00:19:08.800 --> 00:19:14.400]   how would you think about the four years that he was president in hindsight what what would you say
[00:19:14.400 --> 00:19:23.040]   was done well what would you say was done poorly just those two things i think the way he dealt with
[00:19:23.040 --> 00:19:32.160]   the zeitgeist isn't the right word just the vibe of the country was really really really bad i think
[00:19:32.160 --> 00:19:38.240]   the hate that he conveyed i think the fact that what he tweeted negatively you know so companies didn't
[00:19:38.240 --> 00:19:43.360]   know what was coming next you know he tweeted negatively about me he can tweeted negatively
[00:19:43.360 --> 00:19:49.120]   about other people i thought that was a real bad thing when the blm um protests happened and turned
[00:19:49.120 --> 00:19:54.800]   into riots when they went into minnesota he was like when the looting when the looting starts the
[00:19:54.800 --> 00:20:02.560]   shooting starts who says that as a president and so we had more people die during riots during his term
[00:20:02.560 --> 00:20:07.680]   than than biden by a long shot and i think he misrepresented where he stood in terms
[00:20:07.680 --> 00:20:15.920]   of being anti-war if you go back to 2019 um and look at the war in yemen um there were hundreds at least
[00:20:15.920 --> 00:20:22.640]   100 000 people plus died and there was a bipartisan resolution to say we're not selling any more to the
[00:20:22.640 --> 00:20:28.560]   saudis we're not selling any more weapons to the saudis and a bipartisan resolution including mark meadows
[00:20:28.560 --> 00:20:34.960]   and rand paul and others said you know passed it and it went to his desk and he said we're still going to
[00:20:34.960 --> 00:20:41.600]   sell these um munitions and this um these weapons to saudi arabia even though these people continue
[00:20:41.600 --> 00:20:46.560]   to die so when we talk about it's you know it's not all that much different than ukraine and in some
[00:20:46.560 --> 00:20:53.200]   respects only saudi arabia got the glengarry leads and ukraine got our old stuff and we replaced it and
[00:20:53.200 --> 00:20:59.840]   so when he comes out now and says look you know i'm against all wars there were no wars that's bull
[00:20:59.840 --> 00:21:06.160]   right the mainstream media and i know well okay so there's two things there so just just on the 2020
[00:21:06.160 --> 00:21:11.360]   riots i don't know how you blame trump for the blm riots of summer of 2020. i didn't blame him for the
[00:21:11.360 --> 00:21:16.160]   riots what i said was how he dealt with it okay i get you don't like the mean tweets i get i totally
[00:21:16.160 --> 00:21:21.280]   got me no don't diminish it david don't diminish it as just mean tweets people pay attention what
[00:21:21.280 --> 00:21:26.080]   happens and when you are have people whose lives i think i think it's far worse to actually have
[00:21:26.080 --> 00:21:30.720]   riots going on in the streets that's what needed to be controlled how many people wanted to hold on he
[00:21:30.720 --> 00:21:35.520]   wanted to send in the national guard to minnesota it was actually waltz who rejected the national guard
[00:21:35.520 --> 00:21:39.840]   he had no problem and there were plenty of ties between on there were plenty of ties between
[00:21:39.840 --> 00:21:46.160]   democratic activists and the blm organizers of those riots time magazine did my story on that
[00:21:46.160 --> 00:21:50.080]   i'm not saying he's at fault that the riots happened i understand but i can't believe that
[00:21:50.080 --> 00:21:54.160]   you're using the the riots throughout the summer of 2020 as an argument against trump when it was the
[00:21:54.160 --> 00:21:58.240]   left no i think what he's saying is the leadership that he shows is of low moral character
[00:21:58.240 --> 00:22:04.720]   did he do anything right mark well i'm not done with the wrong stuff okay but wait there's more right
[00:22:05.840 --> 00:22:10.720]   let's go back to the the foreign policy for a second trump is correct that he did not start any
[00:22:10.720 --> 00:22:18.080]   new wars during his presidency you agree with that right um that no new war started or he didn't
[00:22:18.080 --> 00:22:23.440]   start any um he didn't start any he was like the first president in 20 years not to start a new war
[00:22:23.440 --> 00:22:28.560]   well he inherited some for sure and inherited syria and afghanistan and he wanted to get out and the
[00:22:28.560 --> 00:22:33.040]   generals didn't let him and there wasn't really a war that happened in turkey and then when we got
[00:22:33.040 --> 00:22:39.040]   shut down um he didn't no there wasn't really a war i'll agree with that he did that's his argument
[00:22:39.040 --> 00:22:45.120]   is that he did not start any new wars has biden started eddie well i would argue that biden provoked
[00:22:45.120 --> 00:22:49.760]   the proxy war in ukraine yes i mean you can disagree whether he provoked or not but there's no question
[00:22:49.760 --> 00:22:55.360]   the u.s has been deeply involved in a war with russia in ukraine and i'm saying what i'm saying is
[00:22:55.360 --> 00:23:00.560]   the corollary that the analogy to that is what happened in yemen and that we had a chance to get out of
[00:23:00.560 --> 00:23:04.960]   yemen and reduce the deaths in yemen much like they're talking about getting us out of the out
[00:23:04.960 --> 00:23:11.600]   of ukraine now and we had the opportunity to stop selling um weapons but he looked the best i could
[00:23:11.600 --> 00:23:17.200]   tell he looked at it as a sales opportunity to sell to mbs all these weapons and he thought that was a
[00:23:17.200 --> 00:23:23.040]   positive so a lot of people died and we're still in there today so it's not he had a chance to get us out
[00:23:23.040 --> 00:23:29.600]   and he did not so i'm not arguing that he's perfect and biden's perfect and it's tit for tat it just is
[00:23:29.600 --> 00:23:34.320]   what it is i'm just saying state making this statement of fact you know and that's it yeah
[00:23:34.320 --> 00:23:39.280]   okay well look we did we did support we did support the saudis in their war with with with yemen so wait
[00:23:39.280 --> 00:23:43.600]   let me give you the one last thing and then we'll yeah keep going so then i'll go to some positives so
[00:23:43.600 --> 00:23:51.120]   the the next thing you can actually trace that yemen war i can't say you actually i'm i'm a little bit
[00:23:51.120 --> 00:23:57.840]   hyperbole but i can trace that from that yemen war to the start of inflation and here's how i explain that
[00:23:57.840 --> 00:24:04.560]   and so in yemen he did a deal with for his boy in saudi arabia and sent them all the weapons in
[00:24:04.560 --> 00:24:16.160]   2019 fast forward one year and you're in may uh no april let's say of 2020 and you're looking at the
[00:24:16.160 --> 00:24:22.240]   price of gas the lowest it's ever been the price of oil just collapsing at one point people were paying
[00:24:22.240 --> 00:24:27.760]   you to take their oil and so there was an opportunity he made a decision because there
[00:24:27.760 --> 00:24:34.880]   was a situation that came up the oil companies came in and said this price of oil being so low is killing
[00:24:34.880 --> 00:24:41.360]   us right we're losing a lot of money we anticipate losing more because with the pandemic now starting
[00:24:41.360 --> 00:24:48.720]   demand is dropping like a rock and so he and that was coming from the oil companies and so what he did
[00:24:48.720 --> 00:24:55.920]   he said he said okay mbs owes me a favor over in saudi arabia that's the connection and putin's my boy
[00:24:55.920 --> 00:25:04.080]   i'm going to go to them and ask them to reduce production now what happens to the price of gas
[00:25:04.080 --> 00:25:14.400]   when the largest producers of um largest producers of oil and energy decrease their production the price
[00:25:14.400 --> 00:25:20.560]   starts going up and up and up and so you can track the increase in the price of gas and how that
[00:25:20.560 --> 00:25:28.560]   impacted the price of goods the entire time that the production from the 10 reduction until they
[00:25:28.560 --> 00:25:34.240]   increase it like 300 000 barrels a day for two years what is your argument here you're saying that somehow
[00:25:34.240 --> 00:25:39.680]   trump caused the inflation yes and i'm explaining to you i'm getting the mainstream media first of all by
[00:25:39.680 --> 00:25:45.680]   the way the the war in yemen started on march 26 2015 according to chat gpt which is under obama
[00:25:45.680 --> 00:25:51.040]   no so that started under obama that's fine but he had a chance he was asked to end it by congress
[00:25:51.040 --> 00:25:57.680]   he was that he we were sending he was selling 660 billion dollar i don't know the number i can't remember
[00:25:57.680 --> 00:26:04.720]   exactly in weapons to saudi arabia and he there was how did the fact that we had nine percent inflation in
[00:26:04.720 --> 00:26:10.640]   2022 so two years after trump lose office how in the world is trump responsible for that and
[00:26:10.640 --> 00:26:15.360]   not biden harris so glad you asked that because the mainstream media never talks about this stuff
[00:26:15.360 --> 00:26:23.360]   and so she had a little dig there so trump goes in and says we're going to cut the production by 10 percent
[00:26:23.360 --> 00:26:31.120]   demand is still relatively low but you know in april may june as people start venturing outside their
[00:26:31.120 --> 00:26:37.280]   house until the end of 2020 the end of his term that there's an increase in demand but the increase in
[00:26:37.280 --> 00:26:43.440]   demand the increase in production doesn't match the increase in demand they limited as part of this deal
[00:26:43.440 --> 00:26:51.520]   that trump put together between um russia and um saudi arabia and um that led to other people in opec plus
[00:26:52.320 --> 00:27:00.400]   participating they only increased the production of oil by 300 000 barrels a day which didn't
