
[00:00:00.000 --> 00:00:08.720]   over lunch this individual told me you know every founder and every vc in china studies the west
[00:18:06.480 --> 00:18:14.800]   of automation the entire global you know potential for car manufacturing in five or ten years from now
[00:18:14.800 --> 00:18:21.360]   could be like 400k total and so you know we we we just need to be really thoughtful about those things
[00:18:21.360 --> 00:18:28.560]   but but back to lejun he gave a talk in 2024 we're talking about maybe people should be watching and
[00:18:28.560 --> 00:18:33.360]   learning in both directions that i would encourage people to watch it's on youtube it's his state of the
[00:18:33.360 --> 00:18:40.400]   union from 2024 and he spends about an hour talking about his approach to building a car and it sounded
[00:18:41.120 --> 00:18:49.840]   like so ridiculously i don't like like you ask about entrepreneurial he he he decided that he hadn't
[00:18:49.840 --> 00:18:54.880]   been driving a car for 10 years because he had had a driver so he immediately switched seats with his
[00:18:54.880 --> 00:19:02.560]   driver and then he um he went through the parking lot at his company and if there was ever a car he had
[00:19:02.560 --> 00:19:08.880]   not driven he'd leave a note on it and ask to borrow it and then he would have the uh the owner of the car
[00:19:08.880 --> 00:19:15.280]   tell him what they liked and didn't like so he claimed he drove 170 cars that way um and then he
[00:19:15.280 --> 00:19:22.080]   also like byd they hired a european designer um that came in and helped him out but for an entrepreneur
[00:19:22.080 --> 00:19:30.320]   who had never been in a car business to build a factory in a three-year window and look the same
[00:19:30.320 --> 00:19:38.000]   thing was true our friend omid built a factory in texas you know you know under 40 like just spectacular that
[00:19:38.000 --> 00:19:44.000]   that that these entrepreneurs are capable of doing these things but it just kind of blows my mind
[00:19:44.000 --> 00:19:49.600]   like when i was being driven in this golf cart through this factory just thinking that this person
[00:19:49.600 --> 00:19:54.000]   wasn't in the business three or four years ago and for for people that don't know i'd encourage you to go
[00:19:54.560 --> 00:20:02.400]   online and and so uh the ceo of ford farley he went over there and i think had the exact same tour i did
[00:20:02.400 --> 00:20:09.520]   and he insisted they ship him one back to chicago and he's been driving it around and he's made some
[00:20:09.520 --> 00:20:16.080]   pretty extreme statements um after having experienced john me this car sells for about 40k
[00:20:17.520 --> 00:20:22.560]   but he said it's the most humbling thing i've ever seen and he says even beyond that their cost
[00:20:22.560 --> 00:20:28.480]   their quality of vehicles is far superior to what i see in the west we are in a global competition with
[00:20:28.480 --> 00:20:36.240]   china and it's not just evs if we do not if we lose this we do not have a future at ford you know that
[00:20:36.240 --> 00:20:42.800]   that's farley at ford you know and and i by the way i would take a pause after mentioning that to the
[00:20:42.800 --> 00:20:49.520]   people that are gonna um accuse just because i went over there to learn accused me of somehow being
[00:20:49.520 --> 00:20:57.040]   like a an agent for the ccp is that also true of the ceo of ford you know like why is he saying these
[00:20:57.040 --> 00:21:03.120]   things like we're just witnessing what's happening on the ground one of my observations is and you hear
[00:21:03.120 --> 00:21:08.560]   this from elon you hear this from jensen huang you hear this from tim cook you hear it from farley
[00:21:09.120 --> 00:21:16.880]   it's extreme respect for the for the level of innovation um for the focus for the engineering
[00:21:16.880 --> 00:21:23.360]   led culture that exists in china and that to me one of the reasons i wanted to do this pod
[00:21:23.360 --> 00:21:27.680]   on china is because i think it's as much a reflection about what the united states
[00:21:27.680 --> 00:21:35.040]   needs to do to re-engineer its own society right it's not enough to say that we want to re-onshore
[00:21:35.040 --> 00:21:40.640]   critical manufacturing it really is about you know this movement around american exceptionalism america
[00:21:40.640 --> 00:21:48.000]   builds it's about making the reforms necessary whether it's regulatory capture whether it's the
[00:21:48.000 --> 00:21:55.600]   you know tort reform legal reform required to frankly allow uh uh you know this level of innovation and
[00:21:55.600 --> 00:22:00.400]   recognize that we're in this global competition you know and there are two ways in which you can you can
[00:22:00.400 --> 00:22:07.680]   approach this bill one is we can build barriers we can try to decouple and we can pretend the rest of
[00:22:07.680 --> 00:22:14.160]   the world somehow won't buy china's goods you know but if you look at it today the u.s only represents
[00:22:14.160 --> 00:22:22.320]   about 14 percent of china's exports the u.s only represents about three percent of china's gdp yeah
[00:22:22.320 --> 00:22:29.920]   right so like we're just not that important to china i don't want to understate like you know
[00:22:29.920 --> 00:22:36.240]   we're still very significant but china has found a market in europe they found a market in africa they
[00:22:36.240 --> 00:22:44.560]   found a market in south america right and it it seems to me that the harder pill for the us to swallow
[00:22:44.560 --> 00:22:50.800]   and this is where i think that you know i i'm in the camp of of those in the middle who say we need
[00:22:50.800 --> 00:22:56.640]   to engage we need to compete there is a competition we want to win the competition but this is about
[00:22:56.640 --> 00:23:02.880]   focusing on us and winning and running a faster race we have a lot of reforms i think a lot are occurring
[00:23:02.880 --> 00:23:08.720]   now i think we're doing the type of things that we need to be doing um in order to get more globally
[00:23:08.720 --> 00:23:14.880]   competitive there are industries that are critical to our national security um you know
[00:23:14.880 --> 00:23:20.960]   things like rare earth magnets things like uh you know steel productions things like pharmaceuticals
[00:23:20.960 --> 00:23:25.840]   where i think it is appropriate to have both an industrial policy and a tariff policy that's going
[00:23:25.840 --> 00:23:33.920]   to provide the incentives to those industries um but it it's you know to me uh you know the reflection on
[00:23:33.920 --> 00:23:41.920]   what i hear you saying about china when i read dan's book is that china is putting the accelerator to the
[00:23:41.920 --> 00:23:50.320]   floor in terms of innovation and it's in every single industry it's powered by you know the this provincial
[00:23:50.320 --> 00:23:55.840]   competition you talked about is powered by people who are just you know naturally entrepreneurial and
[00:23:55.840 --> 00:24:01.360]   hard-working um and there's no escaping that and there's no putting that genie back in the box would
[00:24:01.360 --> 00:24:08.000]   you know what are your thoughts on that yeah no i think it's exactly right i mean byd has um a big
[00:24:08.000 --> 00:24:14.160]   presence in hungary and they have a fact they're building a factory in or already have one in mexico and
[00:24:15.040 --> 00:24:23.440]   why if you're mexico would you not buy the 10 to 20 grand ev why would you buy the 50 grand one from
[00:24:23.440 --> 00:24:30.160]   america it just doesn't make any sense right like you're if for any country around the world and i could
[00:24:30.160 --> 00:24:37.440]   reflect this on the us as well if you're not gonna buy you know domestically you you should certainly buy
[00:24:37.440 --> 00:24:44.320]   from the low-cost producer right it goes back to to comparative advantage right if you if you
[00:24:44.320 --> 00:24:51.760]   can't produce a globally competitive product and you close your import border your people are forced
[00:24:51.760 --> 00:25:00.560]   to buy a product that is overpriced and and and not and and so from a from a standard of living
[00:25:00.560 --> 00:25:06.480]   perspective they're worse off than they would be if you had opened the import door and so i don't you
[00:25:06.480 --> 00:25:14.160]   know i'll give you another example of this so this is the the byd this is the apollo um competitor to waymo so
[00:25:14.160 --> 00:25:19.520]   we we've we've seen the waymos around austin and san francisco we've ridden in them this is i've
[00:25:19.520 --> 00:25:26.000]   ridden in this now um it's a little bigger i think a little roomier than than than the jaguar for sure
[00:25:26.000 --> 00:25:32.560]   um it's more of an suv um but this is on the streets you know and apollo is kind of interesting
[00:25:32.560 --> 00:25:38.000]   it's inside of baidu which is a search engine company um while people are simultaneously what people
[00:25:38.000 --> 00:25:45.600]   are saying that that the waymos should be worth 170 billion inside of of google you can buy shares of
[00:25:45.600 --> 00:25:53.200]   baidu for zero enterprise value it's a 30 billion market cap 30 billion in cash on the books um and
[00:25:53.200 --> 00:26:00.720]   from a global perspective i don't know why if this is 30k why you'd want to deploy waymos which people
[00:26:00.720 --> 00:26:07.360]   say are over 150k partially due to the to the mem solid state lidar advantage that china has which
[00:26:07.360 --> 00:26:15.040]   we've talked about previously so yeah i think rest of world is a really interesting thing to think about
[00:26:15.040 --> 00:26:21.920]   you know when you compare the two countries because i don't think that i i personally and i i don't have
[00:26:21.920 --> 00:26:28.240]   a ton of data on this but i i personally don't think all the other countries in the world share the same
[00:26:28.240 --> 00:26:36.320]   level of hawkishness that at least part of the members of our national government have and so i
[00:26:36.320 --> 00:26:42.720]   don't think they're going to be as afraid of their technologies let's think about this in the context
[00:26:42.720 --> 00:26:51.600]   of you know uh uh uh what you've seen if you were giving advice to trump uh on export controls for
[00:26:51.600 --> 00:27:01.200]   example bill um you know whether it's on you know ai chips or other things um you know would you be
[00:27:01.200 --> 00:27:07.760]   uh you know what would your advice be well i mean i think you hit on some of it around the red tape
[00:27:07.760 --> 00:27:13.680]   and you know there's a couple different things in certain industries where we're really behind
[00:27:13.680 --> 00:27:21.600]   i would be very open-minded to jvs coming towards us you know for the past 50 years you know european
[00:27:21.600 --> 00:27:28.320]   car manufacturers u.s car manufacturers they opened facilities in china some of them were forced to be
[00:27:28.320 --> 00:27:36.240]   49 owned 51 owned i'd be very open to that kind of thing um there was some positive news out this past
[00:27:36.240 --> 00:27:42.560]   week um following trump's engagement with korea around nuclear which we have talked about before
[00:27:42.560 --> 00:27:48.000]   korea can build a nuclear plant for one-fourth the price that we can why don't you invite them to come
[00:27:48.000 --> 00:27:53.840]   help us build a few in the u.s and see what we can learn and i wonder if we should allow for there's
[00:27:53.840 --> 00:28:00.000]   going to be there are so many ev companies i didn't even mention you know neo and zeeker and
[00:28:00.000 --> 00:28:04.080]   some of these other things they're all innovating in different ways but some of those are going to
[00:28:04.080 --> 00:28:09.600]   have financial trouble neo's public you can see that that the stock's not doing all that well but
[00:28:09.600 --> 00:28:15.600]   would we let a ford or a gm buy one of those companies right maybe we should i don't know if
[00:28:15.600 --> 00:28:22.000]   the china government would let them would we let one of those companies open a jv with ford or gm in
[00:28:22.000 --> 00:28:26.640]   the u.s i think we should if we'd learn from it and you could say the same thing about solar
[00:28:27.680 --> 00:28:32.560]   or any of these technologies where they have a lead solar nuclear so i would be open-minded to
[00:28:32.560 --> 00:28:38.960]   those types of things um i would be really big on trying to get regulation out of the way and recognizing
[00:28:38.960 --> 00:28:47.040]   that that an autocratic country that has specific goals can move so much faster
[00:28:47.040 --> 00:28:53.680]   um in any industry than you ever could in the u.s because we've created so many people whose jobs that
[00:28:53.680 --> 00:28:59.840]   are to block things um and we're seeing i think we're seeing that type of behavior in certain states
[00:28:59.840 --> 00:29:08.240]   which is why tsmc's in arizona which is why tesla's in texas i would give governor shapiro a lot of credit
[00:29:08.240 --> 00:29:15.440]   um for reopening three mile island and what he did with i-95 like like all those things are signs of
[00:29:15.440 --> 00:29:24.160]   recognizing that we've built mud you know in in our system um that prevents building and how do you how
[00:29:24.160 --> 00:29:31.200]   do you get how do you start to remove that and move in the opposite direction specifically uh you know
[00:29:31.200 --> 00:29:38.080]   thinking about the tariff so you know i think that the president uh tweeted yesterday morning if you know
[00:29:38.080 --> 00:29:43.200]   if we don't get it was appearing that we're on a glide path and making a lot of progress with china
[00:29:43.200 --> 00:29:48.000]   we may very well be i think he tweeted yesterday morning that if we don't get rare earth magnets
[00:29:48.000 --> 00:29:52.720]   from china he could raise the tariff rate to 200 percent there was some talk that he was going to
[00:29:52.720 --> 00:29:59.120]   visit china in the first week of september so that's you know right around the corner um i said on a couple
[00:29:59.120 --> 00:30:06.000]   pods ago i thought that you know the way to understand uh this president is that he's a self-described
[00:30:06.000 --> 00:30:12.400]   deal junkie he's a pragmatist he's not an ideologue it seems to me that when he's talking with jensen
[00:30:12.400 --> 00:30:19.120]   huang and others he falls in that kind of pragmatic centrist category um he certainly wants to rebuild
[00:30:19.120 --> 00:30:24.400]   stuff in the united states but at the same time it appears to me he wants to get a big deal done on
[00:30:24.400 --> 00:30:31.760]   china where do you come down again if you were advisor on the tariff side of things bill um do you
[00:30:31.760 --> 00:30:37.280]   think he's going to get a big deal done with china do you think that's the right thing uh to do and
[00:30:37.280 --> 00:30:44.400]   how do you think that influences uh some of the building that you're talking about okay this is i have
[00:30:44.400 --> 00:30:50.800]   zero insight like i didn't i didn't i didn't meet with anyone in the in the ccp or the government so i
[00:30:50.800 --> 00:30:58.800]   have no idea what with their mindset this is pure speculation on my my point my part um you already
