
[00:00:00.960 --> 00:00:06.640]   Yeah, okay. So, hello everyone. This is the Quint image paper, or technical report rather.
[00:02:31.520 --> 00:02:39.040]   Yeah, the images are worth looking at at some point later. You can refer to them,
[00:02:39.040 --> 00:02:45.760]   or pull it up yourself separately, you know? But, like, it's editing and generation that,
[00:02:45.760 --> 00:02:49.360]   and both are, like, to a level I've never seen before.
[00:02:49.360 --> 00:02:53.120]   Yeah, and if people are interested, I can just, like, go back after.
[00:02:53.120 --> 00:03:00.560]   I think editing and stuff, it's been done before just in separate models, right? Like,
[00:03:00.560 --> 00:03:08.240]   you need, like, a context consistency model. But, yes, very cool. I thought the first page of images
[00:03:08.240 --> 00:03:14.000]   was very cool. Like, this one with the whiteboard, you see how, like, the whiteboard is at an angle,
[00:03:14.000 --> 00:03:18.640]   and then it has reflections, and the text is at an angle and not directly straight? I was like,
[00:03:18.640 --> 00:03:20.960]   oh, shit, this is pretty cool. Yeah.
[00:03:20.960 --> 00:03:21.520]   Yeah.
[00:03:21.520 --> 00:03:28.800]   Quen dropped a teaser about edit today. This is an editing model, by the way. It's very heavy on handwriting.
[00:03:28.800 --> 00:03:36.240]   Okay, let's just continue to. I think you should read the descriptions of all these as well,
[00:03:36.240 --> 00:03:40.400]   for what they show, by the way, for people following along. Oh, shit. I'll drop the paper as well.
[00:03:40.400 --> 00:03:50.560]   Yeah, so let's see. Intro. So here they just talk about the challenges. They talk about, like,
[00:03:50.560 --> 00:03:58.160]   allotting model outputs with complex prompts, and also, like, just essentially making the text look
[00:03:58.160 --> 00:04:03.600]   nice. That's kind of what they're talking about here. And, like, sometimes they talk about how people
[00:04:03.600 --> 00:04:09.120]   have difficulty modifying images. Like, if someone has, like, a pose, or if they want someone to strike,
[00:04:09.120 --> 00:04:13.520]   like, a different pose, they want to edit the image. Like, the person will kind of strike the pose,
[00:04:13.520 --> 00:04:17.600]   but the background will kind of, like, lose coherence. So they kind of, like, they talk about
[00:04:17.600 --> 00:04:23.200]   that as, like, some of the problems that they're trying to solve with the making of Quen. So they also
[00:04:23.200 --> 00:04:27.600]   put, like, a ton of effort into, like, data engineering right here, which we'll kind of,
[00:04:27.600 --> 00:04:32.880]   like, see in the paper. So progressive learning, I already talked about that. Multitask training
[00:04:32.880 --> 00:04:37.200]   paradigms, we'll talk about that. And they also talk about, like, how they use GPUs. They have, like,
[00:04:37.200 --> 00:04:47.200]   a really interesting structure there. So let's see. Yeah, we'll get into all of this. Yeah. Okay. So
[00:04:47.200 --> 00:04:53.200]   here's the architecture. So for this, this is a diffusion model. So, like, they'll inject noise
[00:04:53.200 --> 00:04:57.280]   into it, like, when they're training. When they're training, they'll, like, they'll patch some of the
[00:04:57.280 --> 00:05:05.440]   images, and they'll train the model to, like, essentially reconstruct it. And what they do here
[00:05:05.440 --> 00:05:11.360]   is they use, like, well, we'll talk about it here, but they'll use, like, the language model
[00:05:11.360 --> 00:05:16.080]   to maintain, like, global coherence. Like, they'll say, like, oh, this image is supposed to be about
[00:05:16.080 --> 00:05:23.600]   this image. And their autoencoder kind of encodes the lower-level details. So they have, like,
[00:05:23.600 --> 00:05:28.080]   it's composed of 60 of these, like, transformer blocks. I mean, not transformer. Yeah, the diffusion
[00:05:28.080 --> 00:05:32.400]   transformer blocks. And let's see. So there's nothing special here. Or you can look at this.
[00:05:32.400 --> 00:05:40.720]   But they use QKNorm. And they also, like, they made their own positional encoding, like, mechanism,
[00:05:40.720 --> 00:05:46.960]   which is msrope, which we'll also get into. Okay, so let's see. So yeah, so they have three
[00:05:46.960 --> 00:05:51.360]   components. So they have, like, a multimodal language model. That serves as the condition encoder. And it
[00:05:51.360 --> 00:05:56.080]   extracts the feature from the textual inputs. This is, like, the QN 2.5 part that I was talking about.
[00:05:56.080 --> 00:06:02.240]   They also have, like, the VAE. So it compresses images. Like, it just extracts the physical features,
[00:06:02.240 --> 00:06:06.080]   quote-unquote, of the image. And they'll also have, like, the multimodal diffusion transformer,
[00:06:06.080 --> 00:06:11.440]   which is the actual diffusion part of the diffusion model. Let's see. So they use,
[00:06:11.440 --> 00:06:17.440]   they talk about how they use QN 2.5 VL. Let's see. So they say that it has, like,
[00:06:17.440 --> 00:06:22.000]   they have three key reasons. So language individual spaces of QN 2.5 VL have already been aligned.
[00:06:22.000 --> 00:06:27.680]   And 2.5 VL retains strong language modeling capabilities without significant degradation
[00:06:27.680 --> 00:06:32.240]   compared to other language models. So I tried to, like, look up and, like, I tried to see what they're
[00:06:32.240 --> 00:06:35.760]   talking about with this part. I didn't really, I wasn't really able to find what they were talking about.
[00:06:35.760 --> 00:06:40.160]   So if anyone knows, like, I would, I would definitely like to know that. But yeah,
[00:06:40.160 --> 00:06:46.400]   so the third reason is that QN 2.5 VL supports multimodal inputs. So just image and text. Let's see.
[00:06:46.400 --> 00:06:54.800]   Oh, yeah. And they use, they use a latent space of, or latent of the last layer's hidden state from
[00:06:54.800 --> 00:07:01.120]   QN 2.5 VL as the backbone. So they use that to, like, represent the user's input. So that's pretty
[00:07:01.120 --> 00:07:08.400]   interesting. Let's see. So as for the VAE, let's see. So they train an image VAE with 2D convolutions,
[00:07:08.400 --> 00:07:13.200]   or that's usually how this works. They usually train a VAE with 2D convolutions on a massive image
[00:07:13.200 --> 00:07:19.040]   dataset to obtain a high quality image representation. But what they do differently is they use a single
[00:07:19.040 --> 00:07:24.320]   encoder, dual decoder architecture. So they use a shared encoder. Oh, no. Shared encoder compatible with
[00:07:24.320 --> 00:07:29.600]   images and videos alongside separate specialized decoders for each modality. So that's what they do
[00:07:29.600 --> 00:07:36.160]   differently. And let's see what they do. Oh, they also, like, they also collected a lot of text-rich
[00:07:36.160 --> 00:07:41.840]   images. Like, they talk about here how it's, like, PDFs, PowerPoints, alongside, like, synthetic graphic,
[00:07:41.840 --> 00:07:48.800]   or synthetic paragraphs, and, like, covering different languages. And they use this to essentially to
[00:07:48.800 --> 00:07:55.280]   train the model, like, later with post-training on RL. They use that to, like, train the model on
[00:07:55.280 --> 00:07:58.160]   how to actually follow instructions. Like, oh, if I want to make a PowerPoint with, like,
[00:07:58.160 --> 00:08:02.080]   this property and this property, they'll, like, use some of those, like, some of those documents.
[00:08:03.440 --> 00:08:12.160]   Let's see. They do that. Let's see. Yeah. And for the diffusion part, they, let's see,
[00:08:12.160 --> 00:08:16.320]   they use a multimodal diffusion transformer. So they talk about how they have, like, their,
[00:08:16.320 --> 00:08:23.920]   like, their MS rope, which is a multimodal scalable rope. So, like, the reason, well, I'll just read it
[00:08:23.920 --> 00:08:29.120]   first. But let's see. So in the traditional, like, diffusion block, text tokens are directly concatenated
[00:08:29.120 --> 00:08:34.800]   after the flattened image positional embedding. So they're talking about, like, this. So, like,
[00:08:34.800 --> 00:08:39.040]   if your image is, like, if your image is split into nine pieces, then they'll, like, they'll just,
[00:08:39.040 --> 00:08:46.640]   like, concatenate the text after. But what they do is, I'm reading from the blue text now. So they,
[00:08:46.640 --> 00:08:52.400]   text inputs are treated as 2D tensors with identical position IDs applied across both dimensions,
[00:08:52.400 --> 00:08:56.800]   and they're concatenated along the diagonal of the image. What that actually means is that they have
[00:08:56.800 --> 00:09:02.720]   their image here. And they essentially just pretend that the text, like, the text after is, like,
[00:09:02.720 --> 00:09:06.720]   concatenated along this dimension. So they pretend the image is, like, in this case, they pretend the image
[00:09:06.720 --> 00:09:16.080]   is, like, a six, a six by six image. So that's what they do. And they say, like, the reason that they use
[00:09:16.080 --> 00:09:23.280]   this is because, like, previous 2D ropes, like, with other implementations of their positional embedding,
[00:09:23.280 --> 00:09:28.560]   certain rows of positional encodings for text and image, the 0th middle row in figure 8b becomes
[00:09:28.560 --> 00:09:32.160]   isomorphic. So essentially, the model becomes confused. They're talking about this part right
[00:09:32.160 --> 00:09:39.520]   here. They say, like, with previous positional encodings, the model kind of becomes confused,
[00:09:39.520 --> 00:09:44.960]   and it can, like, confuse these, like, this middle row. So it can become confused as to which, like,
[00:09:44.960 --> 00:09:49.760]   which parts of the image correspond to text and which are actual, like, pieces of the image.
[00:09:49.760 --> 00:09:55.360]   Let's see. So this is where they talk about the actual, like, the layers.
[00:09:56.800 --> 00:10:05.760]   They talk about, like, the VLM, the VAE, and the transformer. So there's that. So 20 billion
[00:10:05.760 --> 00:10:07.920]   parameters for the diffusion model in total.
[00:10:07.920 --> 00:10:16.160]   Yeah. So does anyone have any questions so far? I realize I didn't pause for input.
[00:10:16.160 --> 00:10:23.920]   No, we're looking at chat. It seems good. You're doing good on Mark.
[00:10:23.920 --> 00:10:32.000]   I actually have a question. In the architecture diagram, up a little above, I don't see any
[00:10:32.000 --> 00:10:38.320]   mention of... Maybe I just didn't read it properly. No, sorry. Up in the architectural diagram part.
[00:10:38.320 --> 00:10:45.280]   Oh, yeah. Yeah. Like, up in the previous page, I think. Yeah. So I don't... If I'm not... I don't see...
[00:10:45.280 --> 00:10:54.720]   So is the diffusion process... Like, how does diffusion come in here? Is it just that they're adding
[00:10:54.720 --> 00:11:06.160]   noise in the autoencoder and then removing the noise progressively on the unpatch, like,
[00:11:06.160 --> 00:11:09.520]   using the transformer blocks? Or is there something more complicated there?
[00:11:09.520 --> 00:11:16.240]   Yeah. So someone correct me if I'm wrong here, but, like, I don't see how they actually, like... I don't
[00:11:16.240 --> 00:11:23.040]   see which, like, which diffusion objective they use. But, like, to my knowledge, a common diffusion objective
[00:11:23.040 --> 00:11:28.400]   is, like, not to reconstruct the image, but usually they'll estimate how much noise was added. Like,
[00:11:28.400 --> 00:11:32.240]   first they'll... Like, with the forward pass, they'll, like, corrupt the data. Like, they'll gradually corrupt the data
[00:11:32.800 --> 00:11:38.560]   using a specific amount of noise at each step. And, like, with a backward pass, instead of, like,
[00:11:38.560 --> 00:11:43.680]   actually trying to reconstruct the data or reconstruct the image or whatever modality it is, they'll try to
[00:11:43.680 --> 00:11:50.400]   estimate how much noise was taken away in that step. So I don't know if they put it here, but I wasn't able to find it.
[00:11:50.400 --> 00:12:00.000]   Yeah, okay. So it seems like it's just in the training regime and adding the noise. Okay. Understood. Thank you. That's helpful.
[00:12:00.000 --> 00:12:13.120]   Yeah. Any other questions? All right. Cool. Yeah. So now we go on to the data collection. So in here,
[00:12:13.120 --> 00:12:18.880]   they actually put a lot of effort into data collection and curation. Well, I'm sure all, like, I'm sure all
[00:12:18.880 --> 00:12:24.800]   companies/labs put effort into this, but, like, we're able to actually see what they do to actually
[00:12:24.800 --> 00:12:30.480]   curate their data. So they annotated, they collected annotated billions of text image pairs. That's cool.
[00:12:30.480 --> 00:12:35.040]   And they prioritize data quality and balanced data distribution. So they try to create, like,
[00:12:35.040 --> 00:12:39.600]   a well-balanced and representative data set that closely mirrors real-world scenarios. So that's
[00:12:39.600 --> 00:12:44.160]   interesting. And they categorize it into, like, four categories. So nature, design, people, and synthetic
[00:12:44.160 --> 00:12:48.480]   data. And, like, it's important to note, they say it, like, somewhere here, but it's very important to note
[00:12:48.480 --> 00:12:54.240]   that when they say synthetic data, they mean, like, PowerPoints and stuff like that. They do not mean AI-generated content.
[00:12:54.240 --> 00:13:00.880]   They take extra care to not include AI-generated content, like, in their data mix.
[00:13:00.880 --> 00:13:07.120]   Yeah. So we'll just go through each of these. So they have their nature category. So it says,
[00:13:07.120 --> 00:13:12.160]   like, 55% of the data set. They have, like, their objects, landscape, cityscape, plants, animals,
[00:13:12.160 --> 00:13:16.960]   indoor, and food. So also it has, like, content that doesn't clearly belong to the people or design
[00:13:16.960 --> 00:13:23.200]   categories. So that's cool. So with the design category, oh, they also have, like, a graphic here,
[00:13:23.200 --> 00:13:28.720]   but I'll look at that later. So they also have, like, their design category. So it's 27% of the data set.
[00:13:28.720 --> 00:13:34.880]   So it's usually, like, posters, UIs, presentation slides, and, like, paintings, sculptures, arts and crafts,
[00:13:34.880 --> 00:13:40.240]   and digital arts. So, like, this, they say that this helps the model to form, like, to
[00:13:41.840 --> 00:13:47.520]   emulate/replicate different art styles. That was interesting. So they also have the people data set.
[00:13:47.520 --> 00:13:54.400]   That's 13% of the data set. So they pay special attention to this, because that's, like, portraits,
[00:13:54.400 --> 00:14:01.520]   sports and activities, and just, like, humans doing different things. So they say that it helps the
[00:14:01.520 --> 00:14:06.320]   model to generate realistic and diverse human images. And finally, the synthetic data set. So it's around
[00:14:06.320 --> 00:14:11.600]   5% of the data set. So, again, like I said before, it does not include images generated by other AI
[00:14:11.600 --> 00:14:17.440]   models. But it's, like, data synthesized to control text rendering techniques. So it includes, like, let's
[00:14:17.440 --> 00:14:23.520]   see. Let's see. Oh, yeah. So they adopt a conservative stance towards such data as training on low fidelity
[00:14:23.520 --> 00:14:29.920]   or misleading images may weaken the model's generalization capabilities. So, yeah. So let's go to the graphic.
[00:14:29.920 --> 00:14:35.520]   So this is, like, a visual representation of, like, of the proportion of, like, the nature of the
[00:14:35.520 --> 00:14:39.280]   different classes and the different, like, subclasses, like objects, cityscape, et cetera.
[00:14:39.280 --> 00:14:48.880]   Yeah. So that is that. So they have data filtering. They have, like, I think, like, seven to ten stages.
[00:14:48.880 --> 00:14:55.200]   How many stages? They have a lot of stages of, like, filtering and pre-training. So this is kind of, like,
[00:14:56.480 --> 00:15:04.000]   I get the gist from reading this section that they had, like, a seven to ten stage filtering process,
[00:15:04.000 --> 00:15:08.400]   but they also started doing curriculum learning at the same time while they were filtering the data.
[00:15:08.400 --> 00:15:12.400]   I'm not sure if that's actually the case, but that's kind of what it seems like from here. So
[00:15:12.400 --> 00:15:19.680]   let's see. Oh, yeah. They have seven sequential stages. So, yeah, synthetic data is introduced from
[00:15:19.680 --> 00:15:20.480]   stage four. Yeah.
[00:15:20.480 --> 00:15:25.600]   Yeah. They mention it in the abstract that it's kind of important, right? So they have a,
[00:15:25.600 --> 00:15:31.760]   they adopt a progressive training strategy and then they kind of go through their stages, right? So
[00:15:31.760 --> 00:15:37.520]   there's non-text-to-text rendering evolves from simple complex textual inputs, gradually scales up to
[00:15:37.520 --> 00:15:44.960]   paragraph level descriptions. So they do have, like, this curriculum learning and it's kind of,
[00:15:44.960 --> 00:15:51.920]   um, it builds from simplicity to more advanced stuff to, like, the most niche little synthetic data.
[00:15:51.920 --> 00:15:59.200]   Yeah. They cover it later too, yeah. Okay. Thanks. I appreciate that. Yeah. So
[00:15:59.200 --> 00:16:04.320]   I was like, I'm not going to go, like, super in-depth for each stage, but, like, so let's see,
[00:16:04.320 --> 00:16:08.800]   they have the initial pre-training data. So, like, this is what I talked about or reference earlier,
[00:16:08.800 --> 00:16:14.240]   where they trained on, like, very small images, like 256 by 256 pixels, like, various aspect ratios.
[00:16:14.240 --> 00:16:19.520]   So they kind of list them there. Uh, so they also, like, remove low quality and relevant images.
[00:16:19.520 --> 00:16:26.320]   So they make sure they remove duplicates and they remove, like, really, really low quality images
[00:16:26.320 --> 00:16:34.720]   right here and also NSFW stuff. Yeah. Let's see. They also, let's see. So onto stage two, they focus on
[00:16:34.720 --> 00:16:40.240]   improving the image quality. So they remove images, like, with significant rotation or flipping.
[00:16:40.240 --> 00:16:48.880]   That's this part. Uh, let's see. They describe, like, blurry, out-of-focus images, excessively bright
[00:16:48.880 --> 00:16:55.120]   or dark or images, like, with unnaturally high color saturation. They also remove images with, like,
[00:16:55.120 --> 00:17:01.360]   low entropy. So that's just, like, only black or only white images or whatever. And they discard images
[00:17:01.360 --> 00:17:06.720]   with overly complex textures or, yeah, which is associated with noise and non-sematic patterns.
[00:17:06.720 --> 00:17:11.440]   So this is also a graphic of, um, like, of their filtering process.
[00:17:11.440 --> 00:17:19.120]   Yeah. So stage three. Let's see. So this is actually where they do, uh, or where they talk
[00:17:19.120 --> 00:17:24.000]   about some of their annotation. So here's where they start to focus on text. So they start to
[00:17:24.000 --> 00:17:27.520]   focus on improving the alignment between textual description and visual content.
[00:17:28.480 --> 00:17:35.520]   So they, I'm reading the blue part here, but they, uh, they have, like, two splits. So they have,
[00:17:35.520 --> 00:17:40.000]   like, captions provided by websites as well as metadata, such as titles or tags originally associated
[00:17:40.000 --> 00:17:45.920]   with the images. Uh, so they also have, let's see, captions generated by Quent. So, like,
[00:17:45.920 --> 00:17:50.720]   they also use Quent to help in their, like, data annotation process. Um, let's see.
[00:17:52.320 --> 00:17:56.400]   So this is just talking about the, how they also combine raw captions and synthesized captions.
[00:17:56.400 --> 00:18:03.040]   They also discard, like, trash captions, like, really long captions or, like, generic ones. That's
[00:18:03.040 --> 00:18:06.800]   like, sorry, I cannot provide a caption. I mean, indicating that the caption is broken or something,
[00:18:06.800 --> 00:18:11.760]   something else is wrong. So they also talk about, let's see, text rendering. So this is H4,
[00:18:11.760 --> 00:18:16.400]   text rendering. They, interestingly, they split their languages into English, Chinese, or other,
[00:18:17.200 --> 00:18:24.720]   which I did not expect. But apparently it worked for them. Uh, let's see. Yeah, they address
[00:18:24.720 --> 00:18:29.280]   challenges such as low frequency characters, mixed language scenarios, and font diversity.
[00:18:29.280 --> 00:18:35.920]   So they incorporate synthetic text rendering data. And let's see, they also remove images with overly
[00:18:35.920 --> 00:18:41.200]   dense or excessively small text. So they do that to increase their text quality.
[00:18:44.240 --> 00:18:47.920]   Oh, and this is also an interesting graphic where they show, uh, like, they show kind of the
[00:18:47.920 --> 00:18:52.560]   distributions on some of their, like, their filters. And you can kind of see the examples of some of
[00:18:52.560 --> 00:18:54.160]   these images. I kind of found it helpful.
[00:18:54.160 --> 00:19:04.000]   Yeah, so stage five. So they talk about how the model transitions to training with, uh, training with
[00:19:04.000 --> 00:19:08.880]   images at 640p resolution. So they're increasing the, like, they're making their images sharper and just
[00:19:08.880 --> 00:19:15.440]   increasing the resolution, uh, presumably to make the training more stable. So they also apply more
[00:19:15.440 --> 00:19:21.520]   filters. So let's see, they, they try to remove images that have, like, overexposure, underexposure,
[00:19:21.520 --> 00:19:27.600]   blur, or compression artifacts, or all poor, or, or composition or visual appeal. They also remove
[00:19:27.600 --> 00:19:32.960]   images containing watermarks to our codes and stuff like that. So stage six, they kind of focus more on
[00:19:32.960 --> 00:19:40.880]   portraits. Uh, let's see. Yeah, so they categorize their data set into three categories. So general
[00:19:40.880 --> 00:19:48.160]   portrait and text rendering. So that's what it sounds like. Stage seven, this is balanced multi-scale
[00:19:48.160 --> 00:19:54.000]   training. So again, they're increasing their resolution. And they, interestingly, they design a
[00:19:54.000 --> 00:20:00.560]   hierarchical taxonomy system for image categorization. So within each category, they retain only images with the
[00:20:00.560 --> 00:20:06.400]   highest quality. So here they're, this is essentially, like, data QA. So just making sure that their, that
[00:20:06.400 --> 00:20:13.440]   their model, um, doesn't generate really bad images, like, of a certain, like, of a certain type. So, like,
[00:20:13.440 --> 00:20:18.640]   they build a tree of all, you know, of all, like, objects that they have. And they just essentially check,
[00:20:18.640 --> 00:20:24.560]   like, oh, are, like, like, when the model generates buildings, do the buildings look good? Etc. Like,
[00:20:24.560 --> 00:20:32.640]   like, do the landscapes look good? Do the parks look good? Etc. They do that. They also, uh, while
[00:20:32.640 --> 00:20:38.480]   they're, like, within each category, they retain images with the highest quality. And they also allow,
[00:20:38.480 --> 00:20:42.640]   like, they make sure to balance their data so that they allow the model to retain previously learned
[00:20:42.640 --> 00:20:47.920]   general knowledge and ensure stable convergence while adapting to higher resolution images. So presumably,
[00:20:47.920 --> 00:20:52.800]   this is to combat, like, catastrophic forgetting, where your model trains on a specific, uh, subset of
[00:20:52.800 --> 00:20:58.240]   data, but, like, kind of loses its generality. So that's what they do in stage. Yeah, stage seven?
[00:20:58.240 --> 00:21:04.560]   Yeah, I think stage one to seven really shows how much care they put to cleaning the data,
[00:21:04.560 --> 00:21:11.920]   whereby they had so many simple filters just to check for resolution, check for cropping, check for flipping,
[00:21:11.920 --> 00:21:19.040]   and everything. Um, and that's what led to this strong model. Actually, then, then the question becomes, hey,
[00:21:19.040 --> 00:21:24.400]   if we had left, left that data in, would the model be just as good? It's unknown. I don't know if we would
[00:21:24.400 --> 00:21:31.040]   actually train such a model on deliberately train a model on bad data. Um, but, I mean, their pipeline is actually
[00:21:31.040 --> 00:21:31.920]   quite fascinating.
[00:21:31.920 --> 00:21:40.480]   I think it might agree. Um, they, they share some stuff with, like, why they don't do synthetic data from,
[00:21:40.480 --> 00:21:47.440]   uh, you know, images generated by other models and noisy stuff. And they, they say that that would harm
[00:21:47.440 --> 00:21:52.960]   the quality, right? Yeah, because there's a lot of artifacts, right? Yeah. Exactly. So if you train on
[00:21:52.960 --> 00:21:59.600]   poor quality data, you will not get good model, but that's, that's, you know, it seems necessary to
[00:21:59.600 --> 00:22:06.080]   need to do all this then. Yeah, that seems so. And if we look at, um, figure 10, right, I think like
[00:22:06.080 --> 00:22:15.120]   they shrank their data set maybe by, by two thirds. So a lot of it is, it's filtering and I, I, I really
[00:22:15.120 --> 00:22:20.640]   enjoyed figure 10. So it really just shows you how much care needs to be taken for doing this.
[00:22:20.640 --> 00:22:31.840]   Yeah. Yeah. So does anyone else have any other questions or comments?
[00:22:31.840 --> 00:22:42.400]   Did they mention, uh, if this is a semi-automatic, uh, filtering because, uh, you know, it's, uh, billions
[00:22:42.400 --> 00:22:51.920]   of images and, uh, it's a huge effort to annotate and filter, uh, based on quality and, uh, all of this.
[00:22:51.920 --> 00:23:00.480]   Yeah. So they like in the, in the technical, in the technical report itself, they just talk about,
[00:23:00.480 --> 00:23:05.120]   they say like, oh, we applied in entropy filter. So I'm assuming that they programmatically do that.
[00:23:05.760 --> 00:23:10.240]   Uh, maybe there's more data in the, what's it called in the appendix. I didn't read the appendix or I
[00:23:10.240 --> 00:23:14.000]   don't even know if there is an appendix. Yeah. It just sounds like they, yeah.
[00:23:14.000 --> 00:23:19.920]   No, go for it. Oh yeah. No, I was also, I was just saying like, yeah, I apply, like, I imagine that
[00:23:19.920 --> 00:23:24.160]   they just apply, um, they just say like, oh, if the entropy is greater than this in this image, then they
[00:23:24.160 --> 00:23:28.000]   just like discard it and do something similar or attempt to do something similar with the other
[00:23:28.000 --> 00:23:34.400]   filters. Yeah. I imagine that pipeline is completely automatic. Developing the filters is not automatic
[00:23:34.400 --> 00:23:38.960]   in a sense. They probably need to figure out what the, what, what the right threshold is so that we
[00:23:38.960 --> 00:23:44.240]   exclude most of the defects without losing out too much, too much good data. But you can imagine that,
[00:23:44.240 --> 00:23:48.960]   you know, you have a team of 20, everyone just takes one of these filters and then you be your
[00:23:48.960 --> 00:23:53.200]   evals and figure out how to cut it, get high precision and recall. And then once it's there,
[00:23:53.200 --> 00:23:58.880]   it's just, it's just a very simple, uh, CPU intensive task. Right. That open CV probably
[00:23:58.880 --> 00:24:04.160]   has quite a few of these as well. And then once it, I just pass everything through. And I think that
[00:24:04.160 --> 00:24:11.200]   will work very well. Yeah. But I'm sure that they also did some quality, uh, control checks on a small
[00:24:11.200 --> 00:24:22.240]   sample subsets. Oh yeah. Yeah. I'm also sure. Yeah. Okay. So let's see.
[00:24:22.240 --> 00:24:26.480]   Data annotation. Oh yeah. So they go on to talk about their data annotation, which I think is also
[00:24:26.480 --> 00:24:32.160]   really interesting because they, they essentially have Quen generate, uh, a JSON. So I'll actually
[00:24:32.160 --> 00:24:36.480]   read some of this. So say we use a capable image captioner. So they're talking about Quen 2.5 VL
[00:24:36.480 --> 00:24:41.920]   that generate, uh, comprehensive image descriptions, but also structured metadata that captures essential
[00:24:41.920 --> 00:24:47.200]   image properties and attributes. So like, instead of treating captioning and metadata extraction as
[00:24:47.200 --> 00:24:52.320]   independent tasks, the captioner concurrently describes visual content and generates detailed
[00:24:52.320 --> 00:24:57.440]   information in a structured format, such as JSON. So critical details such as like object attributes,
[00:24:57.440 --> 00:25:01.920]   spatial relationships, environmental context, and verbatim, uh, translations of visible text are
[00:25:01.920 --> 00:25:08.080]   captured. So they capture key image properties and report it in a structured format. So I think that
[00:25:08.080 --> 00:25:14.560]   that's really interesting. I don't know how many other like labs do this, but yeah, I just think it's
[00:25:14.560 --> 00:25:19.200]   really interesting that like, they, they treated them both as the same like image or is it, uh, image
[00:25:19.200 --> 00:25:24.640]   captioning and like metadata extraction to like capture a bunch of different relationships from the image
[00:25:25.280 --> 00:25:33.120]   that might not just be captured with the image caption. Yeah. I also, I thought this was really
[00:25:33.120 --> 00:25:38.960]   interesting and that they're actually using the, the vision language model in two ways. One is they're
[00:25:38.960 --> 00:25:45.840]   doing it, using it to annotate like this, but then they're also using it to embed the language into the
[00:25:45.840 --> 00:25:53.440]   vision, uh, the vision, uh, the vision embedding space, right. And then there, and then like sort of losing
[00:25:53.440 --> 00:26:02.560]   across, uh, across attention to align. I thought that was really interesting that they were sort of using it in two ways.
[00:26:02.560 --> 00:26:15.280]   Yeah, I agree. I thought it was pretty cool. The two papers they reference on this, um, siglip 2 and Chinese clip, uh,
[00:26:15.280 --> 00:26:19.760]   the siglip 2, I looked into that paper. It's kind of, it's kind of interesting. It's like a, you know,
[00:26:19.760 --> 00:26:27.600]   a very recent 2025 iteration of clip, but it's cool to see how much stuff keeps pushing there.
[00:26:27.600 --> 00:26:35.680]   And then, uh, you know, they even mentioned like in that stage three, after you do captioning, how do
[00:26:35.680 --> 00:26:41.280]   they, you know, how do they still filter itself? So like there's token length, you gotta remove stuff,
