
[00:00:00.000 --> 00:00:05.000]   [Intro]
[00:05:43.000 --> 00:05:50.000]   So they are without excuse, for although they"—here it is, verse 21—"they knew God,
[00:05:50.000 --> 00:05:59.000]   they did not honor him as God or give him thanks, but they became futile in their thinking,
[00:05:59.000 --> 00:06:03.000]   and their foolish hearts were darkened."
[00:06:03.000 --> 00:06:15.000]   That is, they pushed down the light of the truth about God and shut the door and chose to live in the dark.
[00:06:15.000 --> 00:06:23.000]   And in that dark room, with the light of God held down, they don't know God,
[00:06:23.000 --> 00:06:27.000]   even though they know God and have seen him.
[00:06:27.000 --> 00:06:36.000]   So the answer to Chris's question is that his experience and the experience of atheists is real.
[00:06:36.000 --> 00:06:46.000]   Darkness is real. Blindness is real. And the Bible is true.
[00:06:46.000 --> 00:06:52.000]   He knows God. All atheists know God.
[00:06:52.000 --> 00:07:03.000]   And the most wonderful thing is, God overcomes the suppressing darkness by his power in 2 Corinthians 4, 6.
[00:07:03.000 --> 00:07:11.000]   "For God, who said, 'Let light shine out of darkness,' has shone in our hearts to give the light of the knowledge
[00:07:11.000 --> 00:07:21.000]   of the glory of God." The light of the knowledge, knowledge, knowledge of the glory of God in the face of Jesus Christ.
[00:07:21.000 --> 00:07:30.000]   So I would say to Chris and to every atheist, deep down under the suppressing work of your dark heart, you know God.
[00:07:30.000 --> 00:07:41.000]   Ask God for the miracle of this illumination so that you can see what you're suppressing and look to Christ.
[00:07:41.000 --> 00:07:45.000]   Yes, amen. Thank you, Pastor John. And thank you, Chris, for the question.
[00:07:45.000 --> 00:07:47.000]   And thanks for listening to the podcast.
[00:07:47.000 --> 00:07:56.000]   For our apps and for past episodes and to send us a question of your own, go online to DesiringGod.org/AskPastorJohn.
[00:07:56.000 --> 00:08:01.000]   Well, tomorrow we hear from a dating couple. The boyfriend is a complementarian.
[00:08:01.000 --> 00:08:06.000]   The girlfriend is an egalitarian feminist. Should they pursue marriage?
[00:08:06.000 --> 00:08:08.000]   And if they do, what would be the consequences?
[00:08:08.000 --> 00:08:13.000]   It's a serious question, and Pastor John will tackle it tomorrow on the podcast.
[00:08:13.000 --> 00:08:17.000]   I'm your host, Tony Reinke. Thanks for listening to the Ask Pastor John podcast with John Piper.
[00:08:17.000 --> 00:08:18.000]   We'll see you tomorrow.
[00:08:18.000 --> 00:08:20.000]   [Pastor John's Office]
[00:08:20.000 --> 00:08:22.000]   [Pastor John's Office]
[00:08:22.000 --> 00:08:24.000]   [Pastor John's Office]
[00:08:24.000 --> 00:08:34.000]   [BLANK_AUDIO]

