
[00:00:00.000 --> 00:00:29.000]   *Footsteps*
[00:03:03.040 --> 00:03:04.040]   I'm going to go ahead and do this.
[00:03:04.040 --> 00:03:05.040]   I'm going to go ahead and do this.
[00:03:05.040 --> 00:03:06.040]   I'm going to go ahead and do this.
[00:03:06.040 --> 00:03:07.040]   I'm going to go ahead and do this.
[00:03:07.040 --> 00:03:08.040]   I'm going to go ahead and do this.
[00:03:08.040 --> 00:03:09.040]   I'm going to go ahead and do this.
[00:03:09.040 --> 00:03:10.040]   I'm going to go ahead and do this.
[00:03:10.040 --> 00:03:11.040]   I'm going to go ahead and do this.
[00:03:11.040 --> 00:03:12.040]   I'm going to go ahead and do this.
[00:03:12.040 --> 00:03:13.040]   I'm going to go ahead and do this.
[00:03:13.040 --> 00:03:14.040]   I'm going to go ahead and do this.
[00:03:14.040 --> 00:03:15.040]   I'm going to go ahead and do this.
[00:03:15.040 --> 00:03:16.040]   I'm going to go ahead and do this.
[00:03:16.040 --> 00:03:17.040]   I'm going to go ahead and do this.
[00:03:17.040 --> 00:03:18.040]   I'm going to go ahead and do this.
[00:03:18.040 --> 00:03:19.040]   I'm going to go ahead and do this.
[00:03:19.040 --> 00:03:20.040]   I'm going to go ahead and do this.
[00:03:20.040 --> 00:03:21.040]   I'm going to go ahead and do this.
[00:03:21.040 --> 00:03:22.040]   I'm going to go ahead and do this.
[00:03:22.040 --> 00:03:23.040]   I'm going to go ahead and do this.
[00:03:23.040 --> 00:03:24.040]   I'm going to go ahead and do this.
[00:03:24.040 --> 00:03:25.040]   I'm going to go ahead and do this.
[00:03:25.040 --> 00:03:26.040]   I'm going to go ahead and do this.
[00:03:26.040 --> 00:03:27.040]   I'm going to go ahead and do this.
[00:03:27.040 --> 00:03:28.040]   I'm going to go ahead and do this.
[00:03:28.040 --> 00:03:29.040]   I'm going to go ahead and do this.
[00:03:29.040 --> 00:03:30.040]   I'm going to go ahead and do this.
[00:03:30.040 --> 00:03:31.040]   I'm going to go ahead and do this.
[00:03:31.040 --> 00:03:32.040]   I'm going to go ahead and do this.
[00:03:32.040 --> 00:03:33.040]   I'm going to go ahead and do this.
[00:03:33.040 --> 00:03:34.040]   I'm going to go ahead and do this.
[00:03:34.040 --> 00:03:35.040]   I'm going to go ahead and do this.
[00:03:35.040 --> 00:03:36.040]   I'm going to go ahead and do this.
[00:03:36.040 --> 00:03:37.040]   I'm going to go ahead and do this.
[00:03:37.040 --> 00:03:38.040]   I'm going to go ahead and do this.
[00:03:38.040 --> 00:03:39.040]   I'm going to go ahead and do this.
[00:03:39.040 --> 00:03:40.040]   I'm going to go ahead and do this.
[00:03:40.040 --> 00:03:41.040]   I'm going to go ahead and do this.
[00:03:41.040 --> 00:03:42.040]   I'm going to go ahead and do this.
[00:03:42.040 --> 00:03:43.040]   I'm going to go ahead and do this.
[00:03:43.040 --> 00:03:44.040]   I'm going to go ahead and do this.
[00:03:44.040 --> 00:03:45.040]   I'm going to go ahead and do this.
[00:03:45.040 --> 00:03:46.040]   I'm going to go ahead and do this.
[00:03:46.040 --> 00:03:47.040]   I'm going to go ahead and do this.
[00:03:47.040 --> 00:03:48.040]   I'm going to go ahead and do this.
[00:03:48.040 --> 00:03:49.040]   I'm going to go ahead and do this.
[00:03:49.040 --> 00:03:50.040]   I'm going to go ahead and do this.
[00:03:50.040 --> 00:03:51.040]   I'm going to go ahead and do this.
[00:03:51.040 --> 00:03:52.040]   I'm going to go ahead and do this.
[00:03:52.040 --> 00:03:53.040]   I'm going to go ahead and do this.
[00:03:53.040 --> 00:03:54.040]   I'm going to go ahead and do this.
[00:03:54.040 --> 00:03:55.040]   I'm going to go ahead and do this.
[00:03:55.040 --> 00:03:56.040]   I'm going to go ahead and do this.
[00:03:56.040 --> 00:03:57.040]   I'm going to go ahead and do this.
[00:03:57.040 --> 00:03:58.040]   I'm going to go ahead and do this.
[00:03:58.040 --> 00:03:59.040]   I'm going to go ahead and do this.
[00:03:59.040 --> 00:04:00.040]   I'm going to go ahead and do this.
[00:04:00.040 --> 00:04:01.040]   I'm going to go ahead and do this.
[00:04:01.040 --> 00:04:02.040]   I'm going to go ahead and do this.
[00:04:02.040 --> 00:04:03.040]   I'm going to go ahead and do this.
[00:04:03.040 --> 00:04:04.040]   I'm going to go ahead and do this.
[00:04:04.040 --> 00:04:05.040]   I'm going to go ahead and do this.
[00:04:05.040 --> 00:04:06.040]   I'm going to go ahead and do this.
[00:04:06.040 --> 00:04:07.040]   I'm going to go ahead and do this.
[00:04:07.040 --> 00:04:08.040]   I'm going to go ahead and do this.
[00:04:08.040 --> 00:04:09.040]   I'm going to go ahead and do this.
[00:04:09.040 --> 00:04:10.040]   I'm going to go ahead and do this.
[00:04:10.040 --> 00:04:11.040]   I'm going to go ahead and do this.
[00:04:11.040 --> 00:04:12.040]   I'm going to go ahead and do this.
[00:04:12.040 --> 00:04:13.040]   I'm going to go ahead and do this.
[00:04:13.040 --> 00:04:14.040]   I'm going to go ahead and do this.
[00:04:14.040 --> 00:04:15.040]   I'm going to go ahead and do this.
[00:04:15.040 --> 00:04:16.040]   I'm going to go ahead and do this.
[00:04:16.040 --> 00:04:17.040]   I'm going to go ahead and do this.
[00:04:17.040 --> 00:04:18.040]   I'm going to go ahead and do this.
[00:04:18.040 --> 00:04:19.040]   I'm going to go ahead and do this.
[00:04:19.040 --> 00:04:20.040]   I'm going to go ahead and do this.
[00:04:20.040 --> 00:04:21.040]   I'm going to go ahead and do this.
[00:04:21.040 --> 00:04:22.040]   I'm going to go ahead and do this.
[00:04:22.040 --> 00:04:23.040]   I'm going to go ahead and do this.
[00:04:23.040 --> 00:04:24.040]   I'm going to go ahead and do this.
[00:04:24.040 --> 00:04:25.040]   I'm going to go ahead and do this.
[00:04:25.040 --> 00:04:26.040]   I'm going to go ahead and do this.
[00:04:26.040 --> 00:04:27.040]   I'm going to go ahead and do this.
[00:04:27.040 --> 00:04:28.040]   I'm going to go ahead and do this.
[00:04:28.040 --> 00:04:29.040]   I'm going to go ahead and do this.
[00:04:29.040 --> 00:04:30.040]   I'm going to go ahead and do this.
[00:04:30.040 --> 00:04:31.040]   I'm going to go ahead and do this.
[00:04:31.040 --> 00:04:32.040]   I'm going to go ahead and do this.
[00:04:32.040 --> 00:04:33.040]   I'm going to go ahead and do this.
[00:04:33.040 --> 00:04:34.040]   I'm going to go ahead and do this.
[00:04:34.040 --> 00:04:35.040]   I'm going to go ahead and do this.
[00:04:35.040 --> 00:04:36.040]   I'm going to go ahead and do this.
[00:04:36.040 --> 00:04:37.040]   I'm going to go ahead and do this.
[00:04:37.040 --> 00:04:38.040]   I'm going to go ahead and do this.
[00:04:38.040 --> 00:04:39.040]   I'm going to go ahead and do this.
[00:04:39.040 --> 00:04:40.040]   I'm going to go ahead and do this.
[00:04:40.040 --> 00:04:41.040]   I'm going to go ahead and do this.
[00:04:41.040 --> 00:04:42.040]   I'm going to go ahead and do this.
[00:04:42.040 --> 00:04:43.040]   I'm going to go ahead and do this.
[00:04:43.040 --> 00:04:44.040]   I'm going to go ahead and do this.
[00:04:44.040 --> 00:04:45.040]   I'm going to go ahead and do this.
[00:04:45.040 --> 00:04:46.040]   I'm going to go ahead and do this.
[00:04:46.040 --> 00:04:47.040]   I'm going to go ahead and do this.
[00:04:47.040 --> 00:04:48.040]   I'm going to go ahead and do this.
[00:04:48.040 --> 00:04:49.040]   I'm going to go ahead and do this.
[00:04:49.040 --> 00:04:50.040]   I'm going to go ahead and do this.
[00:04:50.040 --> 00:04:51.040]   I'm going to go ahead and do this.
[00:04:51.040 --> 00:04:52.040]   I'm going to go ahead and do this.
[00:04:52.040 --> 00:04:53.040]   I'm going to go ahead and do this.
[00:04:53.040 --> 00:04:54.040]   I'm going to go ahead and do this.
[00:04:54.040 --> 00:04:55.040]   I'm going to go ahead and do this.
[00:04:55.040 --> 00:04:56.040]   I'm going to go ahead and do this.
[00:04:56.040 --> 00:04:57.040]   I'm going to go ahead and do this.
[00:04:57.040 --> 00:04:58.040]   I'm going to go ahead and do this.
[00:04:58.040 --> 00:04:59.040]   I'm going to go ahead and do this.
[00:04:59.040 --> 00:05:00.040]   I'm going to go ahead and do this.
[00:05:00.040 --> 00:05:01.040]   I'm going to go ahead and do this.
[00:05:01.040 --> 00:05:02.040]   I'm going to go ahead and do this.
[00:05:02.040 --> 00:05:03.040]   I'm going to go ahead and do this.
[00:05:03.040 --> 00:05:04.040]   I'm going to go ahead and do this.
[00:05:04.040 --> 00:05:05.040]   I'm going to go ahead and do this.
[00:05:05.040 --> 00:05:06.040]   I'm going to go ahead and do this.
[00:05:06.040 --> 00:05:07.040]   I'm going to go ahead and do this.
[00:05:07.040 --> 00:05:08.040]   I'm going to go ahead and do this.
[00:05:08.040 --> 00:05:09.040]   I'm going to go ahead and do this.
[00:05:09.040 --> 00:05:10.040]   I'm going to go ahead and do this.
[00:05:10.040 --> 00:05:11.040]   I'm going to go ahead and do this.
[00:05:11.040 --> 00:05:12.040]   I'm going to go ahead and do this.
[00:05:12.040 --> 00:05:13.040]   I'm going to go ahead and do this.
[00:05:13.040 --> 00:05:14.040]   I'm going to go ahead and do this.
[00:05:14.040 --> 00:05:15.040]   I'm going to go ahead and do this.
[00:05:15.040 --> 00:05:16.040]   I'm going to go ahead and do this.
[00:05:16.040 --> 00:05:17.040]   I'm going to go ahead and do this.
[00:05:17.040 --> 00:05:18.040]   I'm going to go ahead and do this.
[00:05:18.040 --> 00:05:19.040]   I'm going to go ahead and do this.
[00:05:19.040 --> 00:05:20.040]   I'm going to go ahead and do this.
[00:05:20.040 --> 00:05:21.040]   I'm going to go ahead and do this.
[00:05:21.040 --> 00:05:22.040]   I'm going to go ahead and do this.
[00:05:22.040 --> 00:05:23.040]   I'm going to go ahead and do this.
[00:05:23.040 --> 00:05:24.040]   I'm going to go ahead and do this.
[00:05:24.040 --> 00:05:25.040]   I'm going to go ahead and do this.
[00:05:25.040 --> 00:05:26.040]   I'm going to go ahead and do this.
[00:05:26.040 --> 00:05:27.040]   I'm going to go ahead and do this.
[00:05:27.040 --> 00:05:28.040]   I'm going to go ahead and do this.
[00:05:28.040 --> 00:05:29.040]   I'm going to go ahead and do this.
[00:05:29.040 --> 00:05:30.040]   I'm going to go ahead and do this.
[00:05:30.040 --> 00:05:31.040]   I'm going to go ahead and do this.
[00:05:31.040 --> 00:05:32.040]   I'm going to go ahead and do this.
[00:05:32.040 --> 00:05:33.040]   I'm going to go ahead and do this.
[00:05:33.040 --> 00:05:34.040]   I'm going to go ahead and do this.
[00:05:34.040 --> 00:05:35.040]   I'm going to go ahead and do this.
[00:05:35.040 --> 00:05:36.040]   I'm going to go ahead and do this.
[00:05:36.040 --> 00:05:37.040]   I'm going to go ahead and do this.
[00:05:37.040 --> 00:05:38.040]   I'm going to go ahead and do this.
[00:05:38.040 --> 00:05:39.040]   I'm going to go ahead and do this.
[00:05:39.040 --> 00:05:40.040]   I'm going to go ahead and do this.
[00:05:40.040 --> 00:05:41.040]   I'm going to go ahead and do this.
[00:05:41.040 --> 00:05:42.040]   I'm going to go ahead and do this.
[00:05:42.040 --> 00:05:43.040]   I'm going to go ahead and do this.
[00:05:43.040 --> 00:05:44.040]   I'm going to go ahead and do this.
[00:05:44.040 --> 00:05:45.040]   I'm going to go ahead and do this.
[00:05:45.040 --> 00:05:46.040]   I'm going to go ahead and do this.
[00:05:46.040 --> 00:05:47.040]   I'm going to go ahead and do this.
[00:05:47.040 --> 00:05:48.040]   I'm going to go ahead and do this.
[00:05:48.040 --> 00:05:49.040]   I'm going to go ahead and do this.
[00:05:49.040 --> 00:05:50.040]   I'm going to go ahead and do this.
[00:05:50.040 --> 00:05:51.040]   I'm going to go ahead and do this.
[00:05:51.040 --> 00:05:52.040]   I'm going to go ahead and do this.
[00:05:52.040 --> 00:05:53.040]   I'm going to go ahead and do this.
[00:05:53.040 --> 00:05:54.040]   I'm going to go ahead and do this.
[00:05:54.040 --> 00:05:55.040]   I'm going to go ahead and do this.
[00:05:55.040 --> 00:05:56.040]   I'm going to go ahead and do this.
[00:05:56.040 --> 00:05:57.040]   I'm going to go ahead and do this.
[00:05:57.040 --> 00:05:58.040]   I'm going to go ahead and do this.
[00:05:58.040 --> 00:05:59.040]   I'm going to go ahead and do this.
[00:05:59.040 --> 00:06:00.040]   I'm going to go ahead and do this.
[00:06:00.040 --> 00:06:01.040]   I'm going to go ahead and do this.
[00:06:01.040 --> 00:06:02.040]   I'm going to go ahead and do this.
[00:06:02.040 --> 00:06:03.040]   I'm going to go ahead and do this.
[00:06:03.040 --> 00:06:04.040]   I'm going to go ahead and do this.
[00:06:04.040 --> 00:06:05.040]   I'm going to go ahead and do this.
[00:06:05.040 --> 00:06:06.040]   I'm going to go ahead and do this.
[00:06:06.040 --> 00:06:07.040]   I'm going to go ahead and do this.
[00:06:07.040 --> 00:06:08.040]   I'm going to go ahead and do this.
[00:06:08.040 --> 00:06:09.040]   I'm going to go ahead and do this.
[00:06:09.040 --> 00:06:10.040]   I'm going to go ahead and do this.
[00:06:10.040 --> 00:06:11.040]   I'm going to go ahead and do this.
[00:06:11.040 --> 00:06:12.040]   I'm going to go ahead and do this.
[00:06:12.040 --> 00:06:13.040]   I'm going to go ahead and do this.
[00:06:13.040 --> 00:06:14.040]   I'm going to go ahead and do this.
[00:06:14.040 --> 00:06:15.040]   I'm going to go ahead and do this.
[00:06:15.040 --> 00:06:16.040]   I'm going to go ahead and do this.
[00:06:16.040 --> 00:06:17.040]   I'm going to go ahead and do this.
[00:06:17.040 --> 00:06:18.040]   I'm going to go ahead and do this.
[00:06:18.040 --> 00:06:19.040]   I'm going to go ahead and do this.
[00:06:19.040 --> 00:06:20.040]   I'm going to go ahead and do this.
[00:06:20.040 --> 00:06:21.040]   I'm going to go ahead and do this.
[00:06:21.040 --> 00:06:22.040]   I'm going to go ahead and do this.
[00:06:22.040 --> 00:06:23.040]   I'm going to go ahead and do this.
[00:06:23.040 --> 00:06:24.040]   I'm going to go ahead and do this.
[00:06:24.040 --> 00:06:25.040]   I'm going to go ahead and do this.
[00:06:25.040 --> 00:06:26.040]   I'm going to go ahead and do this.
[00:06:26.040 --> 00:06:27.040]   I'm going to go ahead and do this.
[00:06:27.040 --> 00:06:28.040]   I'm going to go ahead and do this.
[00:06:28.040 --> 00:06:29.040]   I'm going to go ahead and do this.
[00:06:29.040 --> 00:06:30.040]   I'm going to go ahead and do this.
[00:06:30.040 --> 00:06:31.040]   I'm going to go ahead and do this.
[00:06:31.040 --> 00:06:32.040]   I'm going to go ahead and do this.
[00:06:32.040 --> 00:06:33.040]   I'm going to go ahead and do this.
[00:06:33.040 --> 00:06:34.040]   I'm going to go ahead and do this.
[00:06:34.040 --> 00:06:35.040]   I'm going to go ahead and do this.
[00:06:35.040 --> 00:06:36.040]   I'm going to go ahead and do this.
[00:06:36.040 --> 00:06:37.040]   I'm going to go ahead and do this.
[00:06:37.040 --> 00:06:38.040]   I'm going to go ahead and do this.
[00:06:38.040 --> 00:06:39.040]   I'm going to go ahead and do this.
[00:06:39.040 --> 00:06:40.040]   I'm going to go ahead and do this.
[00:06:40.040 --> 00:06:41.040]   I'm going to go ahead and do this.
[00:06:41.040 --> 00:06:42.040]   I'm going to go ahead and do this.
[00:06:42.040 --> 00:06:43.040]   I'm going to go ahead and do this.
[00:06:43.040 --> 00:06:44.040]   I'm going to go ahead and do this.
[00:06:44.040 --> 00:06:45.040]   I'm going to go ahead and do this.
[00:06:45.040 --> 00:06:46.040]   I'm going to go ahead and do this.
[00:06:46.040 --> 00:06:47.040]   I'm going to go ahead and do this.
[00:06:47.040 --> 00:06:48.040]   I'm going to go ahead and do this.
[00:06:48.040 --> 00:06:49.040]   I'm going to go ahead and do this.
[00:06:49.040 --> 00:06:50.040]   I'm going to go ahead and do this.
[00:06:50.040 --> 00:06:51.040]   I'm going to go ahead and do this.
[00:06:51.040 --> 00:06:52.040]   I'm going to go ahead and do this.
[00:06:52.040 --> 00:06:53.040]   I'm going to go ahead and do this.
[00:06:53.040 --> 00:06:54.040]   I'm going to go ahead and do this.
[00:06:54.040 --> 00:06:55.040]   I'm going to go ahead and do this.
[00:06:55.040 --> 00:06:56.040]   I'm going to go ahead and do this.
[00:06:56.040 --> 00:06:57.040]   I'm going to go ahead and do this.
[00:06:57.040 --> 00:06:58.040]   I'm going to go ahead and do this.
[00:06:58.040 --> 00:06:59.040]   I'm going to go ahead and do this.
[00:06:59.040 --> 00:07:00.040]   I'm going to go ahead and do this.
[00:07:00.040 --> 00:07:01.040]   I'm going to go ahead and do this.
[00:07:01.040 --> 00:07:02.040]   I'm going to go ahead and do this.
[00:07:02.040 --> 00:07:03.040]   I'm going to go ahead and do this.
[00:07:03.040 --> 00:07:04.040]   I'm going to go ahead and do this.
[00:07:04.040 --> 00:07:05.040]   I'm going to go ahead and do this.
[00:07:05.040 --> 00:07:06.040]   I'm going to go ahead and do this.
[00:07:06.040 --> 00:07:07.040]   I'm going to go ahead and do this.
[00:07:07.040 --> 00:07:08.040]   I'm going to go ahead and do this.
[00:07:08.040 --> 00:07:09.040]   I'm going to go ahead and do this.
[00:07:09.040 --> 00:07:10.040]   I'm going to go ahead and do this.
[00:07:10.040 --> 00:07:11.040]   I'm going to go ahead and do this.
[00:07:11.040 --> 00:07:12.040]   I'm going to go ahead and do this.
[00:07:12.040 --> 00:07:13.040]   I'm going to go ahead and do this.
[00:07:13.040 --> 00:07:14.040]   I'm going to go ahead and do this.
[00:07:14.040 --> 00:07:15.040]   I'm going to go ahead and do this.
[00:07:15.040 --> 00:07:16.040]   I'm going to go ahead and do this.
[00:07:16.040 --> 00:07:17.040]   I'm going to go ahead and do this.
[00:07:17.040 --> 00:07:18.040]   I'm going to go ahead and do this.
[00:07:18.040 --> 00:07:19.040]   I'm going to go ahead and do this.
[00:07:19.040 --> 00:07:20.040]   I'm going to go ahead and do this.
[00:07:20.040 --> 00:07:21.040]   I'm going to go ahead and do this.
[00:07:21.040 --> 00:07:22.040]   I'm going to go ahead and do this.
[00:07:22.040 --> 00:07:23.040]   I'm going to go ahead and do this.
[00:07:23.040 --> 00:07:24.040]   I'm going to go ahead and do this.
[00:07:24.040 --> 00:07:25.040]   I'm going to go ahead and do this.
[00:07:25.040 --> 00:07:26.040]   I'm going to go ahead and do this.
[00:07:26.040 --> 00:07:27.040]   I'm going to go ahead and do this.
[00:07:27.040 --> 00:07:28.040]   I'm going to go ahead and do this.
[00:07:28.040 --> 00:07:29.040]   I'm going to go ahead and do this.
[00:07:29.040 --> 00:07:30.040]   I'm going to go ahead and do this.
[00:07:30.040 --> 00:07:31.040]   I'm going to go ahead and do this.
[00:07:31.040 --> 00:07:32.040]   I'm going to go ahead and do this.
[00:07:32.040 --> 00:07:33.040]   I'm going to go ahead and do this.
[00:07:33.040 --> 00:07:34.040]   I'm going to go ahead and do this.
[00:07:34.040 --> 00:07:35.040]   I'm going to go ahead and do this.
[00:07:35.040 --> 00:07:36.040]   I'm going to go ahead and do this.
[00:07:36.040 --> 00:07:37.040]   I'm going to go ahead and do this.
[00:07:37.040 --> 00:07:38.040]   I'm going to go ahead and do this.
[00:07:38.040 --> 00:07:39.040]   I'm going to go ahead and do this.
[00:07:39.040 --> 00:07:40.040]   I'm going to go ahead and do this.
[00:07:40.040 --> 00:07:41.040]   I'm going to go ahead and do this.
[00:07:41.040 --> 00:07:42.040]   I'm going to go ahead and do this.
[00:07:42.040 --> 00:07:43.040]   I'm going to go ahead and do this.
[00:07:43.040 --> 00:07:44.040]   I'm going to go ahead and do this.
[00:07:44.040 --> 00:07:45.040]   I'm going to go ahead and do this.
[00:07:45.040 --> 00:07:46.040]   I'm going to go ahead and do this.
[00:07:46.040 --> 00:07:47.040]   I'm going to go ahead and do this.
[00:07:47.040 --> 00:07:48.040]   I'm going to go ahead and do this.
[00:07:48.040 --> 00:07:49.040]   I'm going to go ahead and do this.
[00:07:49.040 --> 00:07:50.040]   I'm going to go ahead and do this.
[00:07:50.040 --> 00:07:51.040]   I'm going to go ahead and do this.
[00:07:51.040 --> 00:07:52.040]   I'm going to go ahead and do this.
[00:07:52.040 --> 00:07:53.040]   I'm going to go ahead and do this.
[00:07:53.040 --> 00:07:54.040]   I'm going to go ahead and do this.
[00:07:54.040 --> 00:07:55.040]   I'm going to go ahead and do this.
[00:07:55.040 --> 00:07:56.040]   I'm going to go ahead and do this.
[00:07:56.040 --> 00:07:57.040]   I'm going to go ahead and do this.
[00:07:57.040 --> 00:07:58.040]   I'm going to go ahead and do this.
[00:07:58.040 --> 00:07:59.040]   I'm going to go ahead and do this.
[00:07:59.040 --> 00:08:00.040]   I'm going to go ahead and do this.
[00:08:00.040 --> 00:08:01.040]   I'm going to go ahead and do this.
[00:08:01.040 --> 00:08:02.040]   I'm going to go ahead and do this.
[00:08:02.040 --> 00:08:03.040]   I'm going to go ahead and do this.
[00:08:03.040 --> 00:08:04.040]   I'm going to go ahead and do this.
[00:08:04.040 --> 00:08:05.040]   I'm going to go ahead and do this.
[00:08:05.040 --> 00:08:06.040]   I'm going to go ahead and do this.
[00:08:06.040 --> 00:08:07.040]   I'm going to go ahead and do this.
[00:08:07.040 --> 00:08:08.040]   I'm going to go ahead and do this.
[00:08:08.040 --> 00:08:09.040]   I'm going to go ahead and do this.
[00:08:09.040 --> 00:08:10.040]   I'm going to go ahead and do this.
[00:08:10.040 --> 00:08:11.040]   I'm going to go ahead and do this.
[00:08:11.040 --> 00:08:12.040]   I'm going to go ahead and do this.
[00:08:12.040 --> 00:08:13.040]   I'm going to go ahead and do this.
[00:08:13.040 --> 00:08:14.040]   I'm going to go ahead and do this.
[00:08:14.040 --> 00:08:15.040]   I'm going to go ahead and do this.
[00:08:15.040 --> 00:08:16.040]   I'm going to go ahead and do this.
[00:08:16.040 --> 00:08:17.040]   I'm going to go ahead and do this.
[00:08:17.040 --> 00:08:18.040]   I'm going to go ahead and do this.
[00:08:18.040 --> 00:08:19.040]   I'm going to go ahead and do this.
[00:08:19.040 --> 00:08:20.040]   I'm going to go ahead and do this.
[00:08:20.040 --> 00:08:21.040]   I'm going to go ahead and do this.
[00:08:21.040 --> 00:08:22.040]   I'm going to go ahead and do this.
[00:08:22.040 --> 00:08:23.040]   I'm going to go ahead and do this.
[00:08:23.040 --> 00:08:24.040]   I'm going to go ahead and do this.
[00:08:24.040 --> 00:08:25.040]   I'm going to go ahead and do this.
[00:08:25.040 --> 00:08:26.040]   I'm going to go ahead and do this.
[00:08:26.040 --> 00:08:27.040]   I'm going to go ahead and do this.
[00:08:27.040 --> 00:08:28.040]   I'm going to go ahead and do this.
[00:08:28.040 --> 00:08:29.040]   I'm going to go ahead and do this.
[00:08:29.040 --> 00:08:30.040]   I'm going to go ahead and do this.
[00:08:30.040 --> 00:08:31.040]   I'm going to go ahead and do this.
[00:08:31.040 --> 00:08:32.040]   I'm going to go ahead and do this.
