
[00:00:00.000 --> 00:00:06.540]   [ Applause ]
[00:06:00.380 --> 00:06:03.220]   I'm explaining all the assumptions.
[00:06:03.220 --> 00:06:06.660]   So the only possibilities are there's a mistake in the calculations,
[00:06:06.660 --> 00:06:08.340]   which I always worry about.
[00:06:08.340 --> 00:06:12.940]   I guess the conspiracy theorist would be there's intentional mistakes.
[00:06:12.940 --> 00:06:15.060]   There could also be unintentional mistakes.
[00:06:15.060 --> 00:06:19.180]   But I try very carefully to make sure that doesn't happen.
[00:06:19.180 --> 00:06:22.780]   And then the other possibility is just a disagreement about assumptions.
[00:06:22.780 --> 00:06:26.860]   And so I couldn't say to the average person on the street, well,
[00:06:26.860 --> 00:06:30.140]   it's okay because you can just recreate the analysis on your own.
[00:06:30.140 --> 00:06:32.300]   I think I can say that to the boogleheads community.
[00:06:32.300 --> 00:06:35.140]   There's a lot of members of boogleheads who are much more technically sound
[00:06:35.140 --> 00:06:35.540]   than I am.
[00:06:35.540 --> 00:06:38.260]   I'm pretty much self-taught at computer programming.
[00:06:38.260 --> 00:06:40.340]   That wasn't my specific background.
[00:06:40.340 --> 00:06:43.220]   And you have, like, the variable withdrawal percentage method
[00:06:43.220 --> 00:06:43.820]   at boogleheads.
[00:06:43.820 --> 00:06:45.900]   It goes really deep into the weeds.
[00:06:45.900 --> 00:06:51.260]   So there are boogleheads that could take my research, recreate it on their own,
[00:06:51.260 --> 00:06:55.020]   and if they find a problem with it, report that to the wider community.
[00:06:55.020 --> 00:06:57.980]   So that's generally how I would suggest dealing with the potential conflicts
[00:06:57.980 --> 00:07:00.660]   of interest because, yes, it exists.
[00:07:00.660 --> 00:07:03.260]   Now, I do turn down things.
[00:07:03.260 --> 00:07:07.380]   Whenever, multiple times in my life, I've turned down the opportunity
[00:07:07.380 --> 00:07:09.660]   to write white paper because I didn't think I could write something
[00:07:09.660 --> 00:07:12.580]   that the company would be able to use.
[00:07:12.580 --> 00:07:15.940]   But if it's something that aligns with this general concept that, yes,
[00:07:15.940 --> 00:07:18.860]   I really do believe annuities can work better than bonds
[00:07:18.860 --> 00:07:22.300]   in a retirement portfolio, then I feel comfortable doing that.
[00:07:22.300 --> 00:07:25.780]   And that's how I try to manage it.
[00:07:25.780 --> 00:07:29.860]   And that's where, with this research, I do think it's a little bit different
[00:07:29.860 --> 00:07:31.660]   because you can't just simply make up the data.
[00:07:31.660 --> 00:07:36.260]   There's the ability to look at the analysis,
[00:07:36.260 --> 00:07:39.060]   recreate it, and see if I've made a mistake.
[00:07:39.060 --> 00:07:42.820]   I have worked with Alan Roth on two occasions
[00:07:42.820 --> 00:07:45.340]   where he's had me a different set of assumptions.
[00:07:45.340 --> 00:07:46.780]   I've run it for him.
[00:07:46.780 --> 00:07:48.660]   He's written an article for it.
[00:07:48.660 --> 00:07:50.540]   I do try to use unbiased assumptions.
[00:07:50.540 --> 00:07:52.460]   But he wants to say, well, what if you're truly a booglehead
[00:07:52.460 --> 00:07:55.340]   where there's no investment fees or anything else like that?
[00:07:55.340 --> 00:07:57.740]   And then we get to conclusions.
[00:07:57.740 --> 00:08:00.540]   I think we have a little bit different interpretation of them.
[00:08:00.540 --> 00:08:01.860]   He tends to think that, okay,
[00:08:01.860 --> 00:08:04.540]   this completely overturned anything I'd done.
[00:08:04.540 --> 00:08:07.060]   I tend to think that, no, if you really stack the deck in favor
[00:08:07.060 --> 00:08:10.900]   of investments as much as possible, it kind of comes out more even.
[00:08:10.900 --> 00:08:13.620]   But nonetheless, that's kind of where we're at
[00:08:13.620 --> 00:08:16.300]   with how to think about the conflicts.
[00:08:16.300 --> 00:08:17.580]   >> Okay. Nothing about conflicts.
[00:08:17.580 --> 00:08:19.380]   Let's talk about retirement.
[00:08:19.380 --> 00:08:23.340]   Let's talk just broadly, decumulation and accumulation.
[00:08:23.340 --> 00:08:28.060]   After this session, the decumulators are going to be in here after lunch,
[00:08:28.060 --> 00:08:30.100]   and the accumulators are going to be in the next room.
[00:08:30.100 --> 00:08:33.660]   But can you explain broadly how the decumulation phase
[00:08:33.660 --> 00:08:36.620]   differs from the accumulation phase?
[00:08:36.620 --> 00:08:38.660]   >> Yes. So the accumulation phase,
[00:08:38.660 --> 00:08:41.100]   it of course could get a lot more complicated.
[00:08:41.100 --> 00:08:44.460]   But the idea is like, it's what modern portfolio theory is all about.
[00:08:44.460 --> 00:08:47.100]   You try to build a diversified portfolio
[00:08:47.100 --> 00:08:49.660]   that seeks the highest risk-adjusted return.
[00:08:49.660 --> 00:08:51.940]   And then based on your risk tolerance
[00:08:51.940 --> 00:08:54.700]   or your ability to stomach short-term market volatility,
[00:08:54.700 --> 00:08:57.300]   you're trying to find that right mix of stocks and bonds
[00:08:57.300 --> 00:09:00.860]   and other potential asset classes on the efficient frontier.
[00:09:00.860 --> 00:09:04.140]   Now, modern portfolio theory, that's an assets-only concept.
[00:09:04.140 --> 00:09:09.180]   It's just, how do you choose a portfolio seeking risk-adjusted return?
[00:09:09.180 --> 00:09:11.380]   And it's a single time period model.
[00:09:11.380 --> 00:09:13.260]   It can be used as an approximation
[00:09:13.260 --> 00:09:16.780]   of the household's investing problem pre-retirement.
[00:09:16.780 --> 00:09:20.220]   But post-retirement, what makes retirement different?
[00:09:20.220 --> 00:09:24.380]   You can't really treat it as an assets-only accumulation problem anymore.
[00:09:24.380 --> 00:09:27.740]   You have to treat it as an asset liability matching problem.
[00:09:27.740 --> 00:09:31.020]   I have to fund expenditures from my assets.
[00:09:31.020 --> 00:09:33.380]   That's going to change how things work.
[00:09:33.380 --> 00:09:37.420]   This is where the sequence of returns risk idea becomes more important.
[00:09:37.420 --> 00:09:40.740]   This is where then in the context of households,
[00:09:40.740 --> 00:09:42.700]   longevity becomes important.
[00:09:42.700 --> 00:09:44.660]   We don't know how long we're going to live.
[00:09:44.660 --> 00:09:49.660]   And so this is how I basically explain how retirement's different.
[00:09:49.660 --> 00:09:52.340]   Longevity risk becomes this overarching risk of retirement.
[00:09:52.340 --> 00:09:55.700]   Because we don't know how long we have to make the plan last for.
[00:09:55.700 --> 00:10:01.900]   In an investments-only world, you can't pool the longevity risk on your own.
[00:10:01.900 --> 00:10:04.500]   You have to assume some sort of long time horizon.
[00:10:04.500 --> 00:10:07.300]   That's the logic of the 4% rule.
[00:10:07.300 --> 00:10:09.740]   Originally, the idea was, if you had a 65-year-old couple,
[00:10:09.740 --> 00:10:12.500]   it's unlikely that either person would live past 95.
[00:10:12.500 --> 00:10:15.060]   That was meant to be a conservative planning age.
[00:10:15.060 --> 00:10:18.060]   Let's make sure the plan works for at least 30 years.
[00:10:18.060 --> 00:10:21.140]   That's how you can approach it in an investments-only world.
[00:10:21.140 --> 00:10:24.740]   Or you can bring actuarial risk pooling into that as well,
[00:10:24.740 --> 00:10:29.100]   where you have the ability to-- the aggregated pool.
[00:10:29.100 --> 00:10:32.580]   We don't know who's going to live the longest in that pool, who's not
[00:10:32.580 --> 00:10:33.740]   going to live very long in that pool.
[00:10:33.740 --> 00:10:37.540]   But we can start to use the idea that there's a distribution of longevity.
[00:10:37.540 --> 00:10:42.700]   And so we can plan to have a payout link closer to someone's life expectancy,
[00:10:42.700 --> 00:10:45.700]   rather than having to worry that they may live an extremely long time.
[00:10:45.700 --> 00:10:48.420]   But that longevity risk becomes an overarching risk of retirement.
[00:10:48.420 --> 00:10:51.300]   Because the longer somebody lives, the more expensive
[00:10:51.300 --> 00:10:52.740]   their retirement becomes.
[00:10:52.740 --> 00:10:55.740]   Every year of retirement is another year of expenditures
[00:10:55.740 --> 00:10:56.800]   that they need to fund.
[00:10:56.800 --> 00:10:58.540]   And then with a longer retirement, there's
[00:10:58.540 --> 00:11:02.140]   the other risks, the macroeconomic and market volatility,
[00:11:02.140 --> 00:11:06.100]   the sequence of returns, which Dana talked about very well yesterday.
[00:11:06.100 --> 00:11:08.300]   And I'm sure it may come up in other contexts.
[00:11:08.300 --> 00:11:10.100]   So I need to give the full story about it.
[00:11:10.100 --> 00:11:12.540]   But it's the idea that, if the market's down
[00:11:12.540 --> 00:11:16.100]   and you have to sell assets to fund an expenditure need,
[00:11:16.100 --> 00:11:17.980]   even if the market recovers, your portfolio
[00:11:17.980 --> 00:11:20.180]   doesn't get to enjoy the full recovery.
[00:11:20.180 --> 00:11:23.060]   So you're more exposed to market volatility
[00:11:23.060 --> 00:11:25.860]   when you're taking distributions from the portfolio.
[00:11:25.860 --> 00:11:28.060]   And you have to manage inflation.
[00:11:28.060 --> 00:11:30.700]   To the extent that our liability grows with inflation,
[00:11:30.700 --> 00:11:32.740]   we do have to be concerned about inflation.
[00:11:32.740 --> 00:11:35.100]   That's another difference from modern portfolio theory,
[00:11:35.100 --> 00:11:38.340]   where the risk-free asset is treated as a short-term treasury bill.
[00:11:38.340 --> 00:11:41.940]   That's not a risk-free asset when you're trying to fund a liability that
[00:11:41.940 --> 00:11:43.180]   may or may not--
[00:11:43.180 --> 00:11:46.060]   especially that may grow with inflation in retirement.
[00:11:46.060 --> 00:11:47.900]   And then you have personal spending shocks.
[00:11:47.900 --> 00:11:50.700]   So we've thought about, well, what's our budget for retirement?
[00:11:50.700 --> 00:11:53.520]   But then there's all these potential additional expenses
[00:11:53.520 --> 00:11:56.300]   that we haven't necessarily built into the budget--
[00:11:56.300 --> 00:11:59.140]   long-term care, major health bills, and so forth.
[00:11:59.140 --> 00:12:00.860]   And so we also have to think about, well,
[00:12:00.860 --> 00:12:06.180]   how are we going to manage reserves to not only meet our baseline spending
[00:12:06.180 --> 00:12:09.460]   needs, but also anticipate the possibility--
[00:12:09.460 --> 00:12:12.780]   and not the absolute certainty, but the possibility
[00:12:12.780 --> 00:12:16.660]   that we may have other large expenditures to face as well.
[00:12:16.660 --> 00:12:19.060]   Thank you for that broad overview of how
[00:12:19.060 --> 00:12:22.580]   investing and managing your money in retirement
[00:12:22.580 --> 00:12:25.460]   is different once you're living off the assets.
[00:12:25.460 --> 00:12:29.460]   You've talked before about retirement income styles.
[00:12:29.460 --> 00:12:32.540]   What are the various retirement income styles?
[00:12:32.540 --> 00:12:36.060]   Yeah, and this-- so this is really an evolution of--
[00:12:36.060 --> 00:12:38.300]   I don't know if you can see those are the colors I chose.
[00:12:38.300 --> 00:12:41.940]   But an evolution of the idea of there's these two schools of thought
[00:12:41.940 --> 00:12:43.540]   for retirement income.
[00:12:43.540 --> 00:12:46.380]   So let's take a tour of what these styles are.
[00:12:46.380 --> 00:12:50.100]   And then we can talk a little bit more about how we can think about them
[00:12:50.100 --> 00:12:52.380]   and what characteristics do they have.
[00:12:52.380 --> 00:12:55.500]   So in the upper right is total returns.
[00:12:55.500 --> 00:12:57.100]   Now, these styles do have other names.
[00:12:57.100 --> 00:13:00.220]   This is also called systematic withdrawals or SWIPS.
[00:13:00.220 --> 00:13:03.180]   This is the world of the 4% rule as a starting point.
[00:13:03.180 --> 00:13:06.140]   It's the idea of you build a diversified portfolio
[00:13:06.140 --> 00:13:09.820]   and take distributions from that portfolio in a systematic manner
[00:13:09.820 --> 00:13:11.060]   throughout retirement.
[00:13:11.060 --> 00:13:13.060]   And that's all you need to worry about is, well,
[00:13:13.060 --> 00:13:16.260]   let's just manage this portfolio and take distributions.
[00:13:16.260 --> 00:13:19.380]   So that's one of the core strategies, total returns,
[00:13:19.380 --> 00:13:21.140]   systematic withdrawals.
[00:13:21.140 --> 00:13:24.100]   The lower left will be the other core strategy.
[00:13:24.100 --> 00:13:26.300]   This I call income protection.
[00:13:26.300 --> 00:13:27.540]   It has other names as well.
[00:13:27.540 --> 00:13:29.260]   It can be called the flooring approach.
[00:13:29.260 --> 00:13:32.220]   It can be called essential versus discretionary.
[00:13:32.220 --> 00:13:35.940]   The idea with income protection is before you start investing,
[00:13:35.940 --> 00:13:38.060]   you want to make sure you have your basics covered.
[00:13:38.060 --> 00:13:39.580]   Now, that includes Social Security.
[00:13:39.580 --> 00:13:41.100]   That includes pensions.
[00:13:41.100 --> 00:13:43.660]   But if there's still a gap where you feel like you'd really
[00:13:43.660 --> 00:13:48.020]   like to have more reliable income to cover some basic expenditures,
[00:13:48.020 --> 00:13:50.100]   you might look to lifetime income annuities
[00:13:50.100 --> 00:13:54.100]   to provide that lifetime income protection to cover the basics.
[00:13:54.100 --> 00:13:58.300]   Then you can invest on top of that for more discretionary types of goals.
[00:13:58.300 --> 00:14:01.060]   So total return, income protection are going
[00:14:01.060 --> 00:14:03.100]   to be the two core strategies.
[00:14:03.100 --> 00:14:05.380]   And then we have two behavioral strategies.
[00:14:05.380 --> 00:14:09.340]   And I just call them that because their motivation was more behavioral.
[00:14:09.340 --> 00:14:14.820]   Starting in the upper left, this is time segmentation or also bucketing.
[00:14:14.820 --> 00:14:18.340]   Dana talked about it in a really effective manner yesterday.
[00:14:18.340 --> 00:14:21.220]   I think of asset dedication that she was talking about
[00:14:21.220 --> 00:14:25.180]   as the best real world implementation of theory behind time segmentation.
[00:14:25.180 --> 00:14:28.740]   Because if you ask 100 different people what time segmentation means,
[00:14:28.740 --> 00:14:30.780]   you will get 100 different answers.
[00:14:30.780 --> 00:14:34.100]   And a lot of those answers don't really have any true systematic
[00:14:34.100 --> 00:14:39.420]   underlying ability to test when do you extend the ladder and so forth.
[00:14:39.420 --> 00:14:44.220]   But the idea of time segmentation is we don't just invest for total returns.
[00:14:44.220 --> 00:14:47.140]   We invest differently based on the time horizon.
[00:14:47.140 --> 00:14:48.780]   Bonds are fixed income.
[00:14:48.780 --> 00:14:54.380]   So we use them to cover our fixed income expenses over the short term.
[00:14:54.380 --> 00:14:56.540]   Stocks are meant to provide growth.
[00:14:56.540 --> 00:15:00.180]   So we build this long term growth portfolio or growth bucket.
[00:15:00.180 --> 00:15:02.180]   And we allow those stocks to grow.
[00:15:02.180 --> 00:15:06.220]   And then we don't necessarily have to touch them for however many years
[00:15:06.220 --> 00:15:08.580]   with the idea that if there's a market downturn,
[00:15:08.580 --> 00:15:12.780]   the stocks will recover before we're forced to sell from the stock portfolio.
[00:15:12.780 --> 00:15:15.740]   So it's really a different way to frame the portfolio.
[00:15:15.740 --> 00:15:20.220]   If I have a 60/40 asset allocation stocks and bonds in a total return
[00:15:20.220 --> 00:15:25.100]   environment, I'm 60% stocks, 40% constant duration bond funds.
[00:15:25.100 --> 00:15:29.180]   In the time segmentation environment, maybe I'm 40% bonds
[00:15:29.180 --> 00:15:33.660]   because it took 40% of my assets to build a 10-year front end bond ladder.
[00:15:33.660 --> 00:15:36.100]   And then the rest of my money can just go in stocks at that point.
[00:15:36.100 --> 00:15:40.500]   And so the 60% stocks is what I'm using earmarked to cover expenses
[00:15:40.500 --> 00:15:43.700]   beyond that 10-year bond ladder that I created.
[00:15:43.700 --> 00:15:46.900]   And then finally, in the lower right, this is risk graph.
[00:15:46.900 --> 00:15:49.540]   And the idea here, this one will make a little more sense
[00:15:49.540 --> 00:15:53.100]   after talking about the factors that lead to these styles.
[00:15:53.100 --> 00:15:56.220]   But there's a sense of being comfortable with the market here,
[00:15:56.220 --> 00:15:59.380]   but also wanting some sort of guardrail behind that market risk
[00:15:59.380 --> 00:16:00.700]   that you're taking.
[00:16:00.700 --> 00:16:03.420]   And in terms of behavioral solutions, this
[00:16:03.420 --> 00:16:06.300]   would be the whole motivation behind a variable annuity
[00:16:06.300 --> 00:16:08.580]   with a lifetime income benefit.
[00:16:08.580 --> 00:16:10.980]   Behaviorally, you can still invest for upside,
[00:16:10.980 --> 00:16:12.980]   but you have a put option on the stock market.
[00:16:12.980 --> 00:16:15.860]   If the market goes down, there is a downside level
[00:16:15.860 --> 00:16:19.260]   of spending that that asset base will cover for your lifetime,
[00:16:19.260 --> 00:16:21.420]   no matter what happens in the financial markets.
[00:16:21.420 --> 00:16:23.540]   So I can still invest for upside.
[00:16:23.540 --> 00:16:26.140]   Now, I don't get the full upside because there's going to be fees,
[00:16:26.140 --> 00:16:29.540]   but I can still invest for upside and have a downside protection.
[00:16:29.540 --> 00:16:31.300]   And I think that's the most practical way
[00:16:31.300 --> 00:16:33.460]   to describe the philosophy behind risk graph,
[00:16:33.460 --> 00:16:37.660]   that it's seeking market growth, but in one sort of financial
[00:16:37.660 --> 00:16:39.900]   product, because that's where it's behavioral.
[00:16:39.900 --> 00:16:42.380]   You could do the same thing with stocks and SPIAs,
[00:16:42.380 --> 00:16:45.180]   but behaviorally, with one financial product,
[00:16:45.180 --> 00:16:48.700]   seeking upside growth, but still having some sort of floor
[00:16:48.700 --> 00:16:51.500]   downside spending protection at the same time.
[00:16:51.500 --> 00:16:52.740]   So let's pause right there.
[00:16:52.740 --> 00:16:56.260]   You'll see Rick Ferry walking around collecting questions.
[00:16:56.260 --> 00:16:58.700]   Depending on how loquacious Wade happens
[00:16:58.700 --> 00:17:00.420]   to be during this discussion, we'll
[00:17:00.420 --> 00:17:02.620]   see how many of those questions we get to at the end.
[00:17:02.620 --> 00:17:04.460]   But Rick will be collecting those.
[00:17:04.460 --> 00:17:07.500]   If it's like most sessions, we won't get to most of them.
[00:17:07.500 --> 00:17:09.900]   But Wade will be around for the rest of the conference
[00:17:09.900 --> 00:17:13.140]   to take those questions on a personal matter.
[00:17:13.140 --> 00:17:15.060]   You alluded to factors that--
[00:17:15.060 --> 00:17:16.740]   and really, what we're talking about is,
[00:17:16.740 --> 00:17:21.940]   how does someone decide which of these models they should use?
[00:17:21.940 --> 00:17:24.380]   So like I was saying before, most of the research I do
[00:17:24.380 --> 00:17:27.140]   is writing computer programs to simulate strategies,
[00:17:27.140 --> 00:17:30.060]   and then it's just calculations based on assumptions.
[00:17:30.060 --> 00:17:30.780]   This is different.
[00:17:30.780 --> 00:17:32.980]   I worked with a PhD in psychology
[00:17:32.980 --> 00:17:36.660]   to do this research, creating a questionnaire,
[00:17:36.660 --> 00:17:40.220]   looking for-- reading everything we could on retirement income,
[00:17:40.220 --> 00:17:42.860]   written for consumers, written for advisors,
[00:17:42.860 --> 00:17:44.180]   looking for trade-offs.
[00:17:44.180 --> 00:17:46.740]   Where do people have to make some sort of decision,
[00:17:46.740 --> 00:17:49.380]   writing questions around that, and then
[00:17:49.380 --> 00:17:51.820]   providing these questions to people
[00:17:51.820 --> 00:17:54.480]   who were willing to participate in answering?
[00:17:54.480 --> 00:17:55.980]   Initially, we had 900 questions.
[00:17:55.980 --> 00:17:58.300]   No one was asked to answer 900 questions.
[00:17:58.300 --> 00:18:00.580]   But we whittled it down to, at the end of the day,
[00:18:00.580 --> 00:18:04.300]   what I'm about to talk about is really 12 questions can tease
[00:18:04.300 --> 00:18:05.460]   that out.
[00:18:05.460 --> 00:18:08.580]   But at one point, we had nine different factors.
[00:18:08.580 --> 00:18:10.660]   And then we use exploratory factor analysis,
[00:18:10.660 --> 00:18:13.500]   which is a statistical technique that sort of clumps questions
[00:18:13.500 --> 00:18:15.780]   together to see what sort of questions
[00:18:15.780 --> 00:18:17.940]   seem to work together to provide some sort
[00:18:17.940 --> 00:18:20.340]   of distinct explanation about how
[00:18:20.340 --> 00:18:22.140]   people think about retirement.
[00:18:22.140 --> 00:18:25.700]   From that, we came down to two primary factors.
[00:18:25.700 --> 00:18:27.820]   And that's what I'll explain now.
