
[00:00:00.040 --> 00:00:09.400]   Angeb
[00:04:25.240 --> 00:04:25.240]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:25.260 --> 00:04:55.260]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:55.260 --> 00:04:55.260]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:55.260 --> 00:04:55.260]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:55.260 --> 00:04:55.260]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:55.260 --> 00:04:55.260]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:55.260 --> 00:04:55.260]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:55.260 --> 00:04:55.260]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:55.260 --> 00:04:55.260]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:55.260 --> 00:04:55.260]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:55.260 --> 00:04:55.260]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:55.260 --> 00:04:55.260]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:55.260 --> 00:04:55.260]   The traditional sense of financial planning is that we usually think of financial products.
[00:05:18.320 --> 00:05:25.280]   I'm not sure if you're listening to me or not.
[00:05:25.280 --> 00:05:25.280]   I'm not sure if you're listening to me or not.
[00:05:25.280 --> 00:05:25.280]   I'm not sure if you're listening to me or not.
[00:05:25.280 --> 00:05:25.280]   I'm not sure if you're listening to me or not.
[00:05:25.280 --> 00:05:25.280]   I'm not sure if you're listening to me or not.
[00:05:25.280 --> 00:05:25.280]   I'm not sure if you're listening to me or not.
[00:05:25.280 --> 00:05:25.280]   I'm not sure if you're listening to me or not.
[00:05:25.280 --> 00:05:25.280]   I'm not sure if you're listening to me or not.
[00:05:25.280 --> 00:05:25.280]   I'm not sure if you're listening to me or not.
[00:05:25.280 --> 00:05:25.280]   I'm not sure if you're listening to me or not.
[00:05:25.300 --> 00:05:55.300]  ,
[00:05:55.300 --> 00:05:55.300]   I'm not sure if you're listening to me or not.
[00:05:55.300 --> 00:05:55.300]   I'm not sure if you're listening to me or not.
[00:05:55.300 --> 00:05:55.300]   I'm not sure if you're listening to me or not.
[00:05:55.300 --> 00:05:55.300]   I'm not sure if you're listening to me or not.
[00:05:55.300 --> 00:05:55.300]   I'm not sure if you're listening to me or not.
[00:05:55.300 --> 00:05:55.300]   I'm not sure if you're listening to me or not.
[00:05:55.300 --> 00:05:55.300]   I'm not sure if you're listening to me or not.
[00:05:55.300 --> 00:05:55.300]   I'm not sure if you're listening to me or not.
[00:05:55.300 --> 00:05:55.300]   I'm not sure if you're listening to me or not.
[00:05:55.300 --> 00:05:55.300]   I'm not sure if you're listening to me or not.
[00:05:55.300 --> 00:05:55.300]   I'm not sure if you're listening to me or not.
[00:05:55.300 --> 00:05:55.300]   I'm not sure if you're listening to me or not.
[00:05:55.300 --> 00:05:55.300]   I'm not sure if you're listening to me or not.
[00:05:55.300 --> 00:05:55.300]   I'm not sure if you're listening to me or not.
[00:05:55.300 --> 00:06:25.320]   I'm not sure if you're listening to me or not.
[00:06:25.320 --> 00:06:25.320]   I'm not sure if you're listening to me or not.
[00:06:25.320 --> 00:06:25.320]   I'm not sure if you're listening to me or not.
[00:06:25.320 --> 00:06:25.320]   I'm not sure if you're listening to me or not.
[00:06:25.320 --> 00:06:25.320]   I'm not sure if you're listening to me or not.
[00:06:25.320 --> 00:06:25.320]   I'm not sure if you're listening to me or not.
[00:06:25.320 --> 00:06:25.320]   I'm not sure if you're listening to me or not.
[00:06:25.320 --> 00:06:25.320]   I'm not sure if you're listening to me or not.
[00:06:25.340 --> 00:06:55.340]   I'm not sure if you're listening to me or not.
[00:06:55.340 --> 00:06:55.340]   I'm not sure if you're listening to me or not.
[00:06:55.340 --> 00:06:55.340]   I'm not sure if you're listening to me or not.
[00:06:55.340 --> 00:06:55.340]   I'm not sure if you're listening to me or not.
[00:06:55.340 --> 00:06:55.340]   I'm not sure if you're listening to me or not.
[00:06:55.340 --> 00:06:55.340]   I'm not sure if you're listening to me or not.
[00:06:55.340 --> 00:06:55.340]   I'm not sure if you're listening to me or not.
[00:06:55.340 --> 00:06:55.340]   I'm not sure if you're listening to me or not.
[00:06:55.340 --> 00:06:55.340]   I'm not sure if you're listening to me or not.
[00:06:55.340 --> 00:06:55.340]   I'm not sure if you're listening to me or not.
[00:06:55.340 --> 00:06:55.340]   I'm not sure if you're listening to me or not.
[00:06:55.340 --> 00:06:55.340]   I'm not sure if you're listening to me or not.
[00:06:55.340 --> 00:06:55.340]   I'm not sure if you're listening to me or not.
[00:06:55.340 --> 00:06:55.340]   I'm not sure if you're listening to me or not.
[00:06:55.340 --> 00:07:25.360]   I'm not sure if you're listening to me or not.
[00:07:25.360 --> 00:07:25.360]   I'm not sure if you're listening to me or not.
[00:07:25.360 --> 00:07:25.360]   I'm not sure if you're listening to me or not.
[00:07:25.360 --> 00:07:25.360]   I'm not sure if you're listening to me or not.
[00:07:25.360 --> 00:07:25.360]   I'm not sure if you're listening to me or not.
[00:07:25.360 --> 00:07:25.360]   I'm not sure if you're listening to me or not.
[00:07:25.360 --> 00:07:25.360]   I'm not sure if you're listening to me or not.
[00:07:25.360 --> 00:07:25.360]   I'm not sure if you're listening to me or not.
[00:07:25.360 --> 00:07:25.360]   I'm not sure if you're listening to me or not.
[00:07:25.360 --> 00:07:25.360]   I'm not sure if you're listening to me or not.
[00:07:25.380 --> 00:07:55.380]   I'm not sure if you're listening to me or not.
[00:07:55.380 --> 00:07:55.380]   I'm not sure if you're listening to me or not.
[00:07:55.380 --> 00:07:55.380]   I'm not sure if you're listening to me or not.
[00:07:55.380 --> 00:07:55.380]   I'm not sure if you're listening to me or not.
[00:07:55.380 --> 00:07:55.380]   I'm not sure if you're listening to me or not.
[00:07:55.380 --> 00:07:55.380]   I'm not sure if you're listening to me or not.
[00:07:55.380 --> 00:07:55.380]   I'm not sure if you're listening to me or not.
[00:07:55.380 --> 00:07:55.380]   I'm not sure if you're listening to me or not.
[00:07:55.380 --> 00:07:55.380]   I'm not sure if you're listening to me or not.
[00:07:55.380 --> 00:07:55.380]   I'm not sure if you're listening to me or not.
[00:07:55.380 --> 00:07:55.380]   I'm not sure if you're listening to me or not.
[00:07:55.380 --> 00:07:55.380]   I'm not sure if you're listening to me or not.
[00:07:55.380 --> 00:07:55.380]   I'm not sure if you're listening to me or not.
[00:07:55.380 --> 00:07:55.380]   I'm not sure if you're listening to me or not.
[00:07:55.380 --> 00:08:25.400]   I'm not sure if you're listening to me or not.
[00:08:25.400 --> 00:08:25.400]   I'm not sure if you're listening to me or not.
[00:08:25.400 --> 00:08:25.400]   I'm not sure if you're listening to me or not.
[00:08:25.400 --> 00:08:25.400]   I'm not sure if you're listening to me or not.
[00:08:25.400 --> 00:08:25.400]   I'm not sure if you're listening to me or not.
[00:08:25.400 --> 00:08:25.400]   I'm not sure if you're listening to me or not.
[00:08:25.400 --> 00:08:25.400]   I'm not sure if you're listening to me or not.
[00:08:25.400 --> 00:08:25.400]   I'm not sure if you're listening to me or not.
[00:08:25.400 --> 00:08:25.400]   I'm not sure if you're listening to me or not.
[00:08:25.400 --> 00:08:25.400]   I'm not sure if you're listening to me or not.
[00:08:25.400 --> 00:08:25.400]   I'm not sure if you're listening to me or not.
[00:08:25.420 --> 00:08:55.420]   I'm not sure if you're listening to me or not.
[00:08:55.420 --> 00:08:55.420]   I'm not sure if you're listening to me or not.
[00:08:55.420 --> 00:08:55.420]   I'm not sure if you're listening to me or not.
[00:08:55.420 --> 00:08:55.420]   I'm not sure if you're listening to me or not.
[00:08:55.420 --> 00:08:55.420]   I'm not sure if you're listening to me or not.
[00:08:55.420 --> 00:08:55.420]   I'm not sure if you're listening to me or not.
[00:08:55.420 --> 00:08:55.420]   I'm not sure if you're listening to me or not.
[00:08:55.420 --> 00:08:55.420]   I'm not sure if you're listening to me or not.
[00:08:55.420 --> 00:08:55.420]   I'm not sure if you're listening to me or not.
[00:08:55.420 --> 00:08:55.420]   I'm not sure if you're listening to me or not.
[00:08:55.420 --> 00:08:55.420]   I'm not sure if you're listening to me or not.
[00:08:55.420 --> 00:08:55.420]   I'm not sure if you're listening to me or not.
[00:08:55.420 --> 00:08:55.420]   I'm not sure if you're listening to me or not.
[00:08:55.420 --> 00:08:55.420]   I'm not sure if you're listening to me or not.
[00:08:55.420 --> 00:09:25.440]   I'm not sure if you're listening to me or not.
[00:09:25.440 --> 00:09:25.440]   I'm not sure if you're listening to me or not.
[00:09:25.440 --> 00:09:25.440]   I'm not sure if you're listening to me or not.
[00:09:25.440 --> 00:09:25.440]   I'm not sure if you're listening to me or not.
[00:09:25.440 --> 00:09:25.440]   I'm not sure if you're listening to me or not.
[00:09:25.440 --> 00:09:25.440]   I'm not sure if you're listening to me or not.
[00:09:25.440 --> 00:09:25.440]   I'm not sure if you're listening to me or not.
[00:09:25.440 --> 00:09:25.440]   I'm not sure if you're listening to me or not.
[00:09:25.440 --> 00:09:25.440]   I'm not sure if you're listening to me or not.
[00:09:25.460 --> 00:09:55.460]   I'm not sure if you're listening to me or not.
[00:09:55.460 --> 00:09:55.460]   I'm not sure if you're listening to me or not.
[00:09:55.460 --> 00:09:55.460]   I'm not sure if you're listening to me or not.
[00:09:55.460 --> 00:09:55.460]   I'm not sure if you're listening to me or not.
[00:09:55.460 --> 00:09:55.460]   I'm not sure if you're listening to me or not.
[00:09:55.460 --> 00:09:55.460]   I'm not sure if you're listening to me or not.
[00:09:55.460 --> 00:09:55.460]   I'm not sure if you're listening to me or not.
[00:09:55.460 --> 00:09:55.460]   I'm not sure if you're listening to me or not.
[00:09:55.460 --> 00:09:55.460]   I'm not sure if you're listening to me or not.
[00:09:55.460 --> 00:09:55.460]   I'm not sure if you're listening to me or not.
[00:09:55.460 --> 00:09:55.460]   I'm not sure if you're listening to me or not.
[00:09:55.460 --> 00:09:55.460]   I'm not sure if you're listening to me or not.
[00:09:55.460 --> 00:09:55.460]   I'm not sure if you're listening to me or not.
[00:09:55.460 --> 00:09:55.460]   I'm not sure if you're listening to me or not.
[00:09:55.460 --> 00:10:25.480]   I'm not sure if you're listening to me or not.
[00:10:25.480 --> 00:10:25.480]   I'm not sure if you're listening to me or not.
[00:10:25.480 --> 00:10:25.480]   I'm not sure if you're listening to me or not.
[00:10:25.480 --> 00:10:25.480]   I'm not sure if you're listening to me or not.
[00:10:25.480 --> 00:10:25.480]   I'm not sure if you're listening to me or not.
[00:10:25.480 --> 00:10:25.480]   I'm not sure if you're listening to me or not.
[00:10:25.480 --> 00:10:25.480]   I'm not sure if you're listening to me or not.
[00:10:25.480 --> 00:10:25.480]   I'm not sure if you're listening to me or not.
[00:10:25.480 --> 00:10:25.480]   I'm not sure if you're listening to me or not.
[00:10:25.500 --> 00:10:55.500]   I'm not sure if you're listening to me or not.
[00:10:55.500 --> 00:10:55.500]   I'm not sure if you're listening to me or not.
[00:10:55.500 --> 00:10:55.500]   I'm not sure if you're listening to me or not.
[00:10:55.500 --> 00:10:55.500]   I'm not sure if you're listening to me or not.
[00:10:55.500 --> 00:10:55.500]   I'm not sure if you're listening to me or not.
[00:10:55.500 --> 00:10:55.500]   I'm not sure if you're listening to me or not.
[00:10:55.500 --> 00:10:55.500]   I'm not sure if you're listening to me or not.
[00:10:55.500 --> 00:10:55.500]   I'm not sure if you're listening to me or not.
[00:10:55.500 --> 00:10:55.500]   I'm not sure if you're listening to me or not.
[00:10:55.500 --> 00:10:55.500]   I'm not sure if you're listening to me or not.
[00:10:55.500 --> 00:10:55.500]   I'm not sure if you're listening to me or not.
[00:10:55.500 --> 00:10:55.500]   I'm not sure if you're listening to me or not.
[00:10:55.500 --> 00:10:55.500]   I'm not sure if you're listening to me or not.
[00:10:55.500 --> 00:10:55.500]   I'm not sure if you're listening to me or not.
[00:10:55.500 --> 00:11:25.520]   I'm not sure if you're listening to me or not.
[00:11:25.520 --> 00:11:25.520]   I'm not sure if you're listening to me or not.
[00:11:25.520 --> 00:11:25.520]   I'm not sure if you're listening to me or not.
[00:11:25.520 --> 00:11:25.520]   I'm not sure if you're listening to me or not.
[00:11:25.520 --> 00:11:25.520]   I'm not sure if you're listening to me or not.
[00:11:25.520 --> 00:11:25.520]   I'm not sure if you're listening to me or not.
[00:11:25.520 --> 00:11:25.520]   I'm not sure if you're listening to me or not.
[00:11:25.520 --> 00:11:25.520]   I'm not sure if you're listening to me or not.
[00:11:25.520 --> 00:11:25.520]   I'm not sure if you're listening to me or not.
[00:11:25.520 --> 00:11:25.520]   I'm not sure if you're listening to me or not.
[00:11:25.520 --> 00:11:25.520]   I'm not sure if you're listening to me or not.
[00:11:25.540 --> 00:11:55.540]   I'm not sure if you're listening to me or not.
[00:11:55.540 --> 00:11:55.540]   I'm not sure if you're listening to me or not.
[00:11:55.540 --> 00:11:55.540]   I'm not sure if you're listening to me or not.
[00:11:55.540 --> 00:11:55.540]   I'm not sure if you're listening to me or not.
[00:11:55.540 --> 00:11:55.540]   I'm not sure if you're listening to me or not.
[00:11:55.540 --> 00:11:55.540]   I'm not sure if you're listening to me or not.
[00:11:55.540 --> 00:11:55.540]   I'm not sure if you're listening to me or not.
[00:11:55.540 --> 00:11:55.540]   I'm not sure if you're listening to me or not.
[00:11:55.540 --> 00:11:55.540]   I'm not sure if you're listening to me or not.
[00:11:55.540 --> 00:11:55.540]   I'm not sure if you're listening to me or not.
[00:11:55.540 --> 00:11:55.540]   I'm not sure if you're listening to me or not.
[00:11:55.540 --> 00:11:55.540]   I'm not sure if you're listening to me or not.
[00:11:55.540 --> 00:11:55.540]   I'm not sure if you're listening to me or not.
[00:11:55.540 --> 00:11:55.540]   I'm not sure if you're listening to me or not.
[00:11:55.540 --> 00:12:25.560]   I'm not sure if you're listening to me or not.
[00:12:25.560 --> 00:12:25.560]   I'm not sure if you're listening to me or not.
[00:12:25.560 --> 00:12:25.560]   I'm not sure if you're listening to me or not.
[00:12:25.560 --> 00:12:25.560]   I'm not sure if you're listening to me or not.
[00:12:25.560 --> 00:12:25.560]   I'm not sure if you're listening to me or not.
[00:12:25.560 --> 00:12:25.560]   I'm not sure if you're listening to me or not.
[00:12:25.560 --> 00:12:25.560]   I'm not sure if you're listening to me or not.
[00:12:25.560 --> 00:12:25.560]   I'm not sure if you're listening to me or not.
[00:12:25.560 --> 00:12:25.560]   I'm not sure if you're listening to me or not.
[00:12:25.580 --> 00:12:55.580]   I'm not sure if you're listening to me or not.
[00:12:55.580 --> 00:12:55.580]   I'm not sure if you're listening to me or not.
[00:12:55.580 --> 00:12:55.580]   I'm not sure if you're listening to me or not.
[00:12:55.580 --> 00:12:55.580]   I'm not sure if you're listening to me or not.
[00:12:55.580 --> 00:12:55.580]   I'm not sure if you're listening to me or not.
[00:12:55.580 --> 00:12:55.580]   I'm not sure if you're listening to me or not.
[00:12:55.580 --> 00:12:55.580]   I'm not sure if you're listening to me or not.
[00:12:55.580 --> 00:12:55.580]   I'm not sure if you're listening to me or not.
[00:12:55.580 --> 00:12:55.580]   I'm not sure if you're listening to me or not.
[00:12:55.580 --> 00:12:55.580]   I'm not sure if you're listening to me or not.
[00:12:55.580 --> 00:12:55.580]   I'm not sure if you're listening to me or not.
[00:12:55.580 --> 00:12:55.580]   I'm not sure if you're listening to me or not.
[00:12:55.580 --> 00:12:55.580]   I'm not sure if you're listening to me or not.
[00:12:55.580 --> 00:12:55.580]   I'm not sure if you're listening to me or not.
[00:12:55.580 --> 00:13:25.600]   I'm not sure if you're listening to me or not.
[00:13:25.600 --> 00:13:25.600]   I'm not sure if you're listening to me or not.
[00:13:25.600 --> 00:13:25.600]   I'm not sure if you're listening to me or not.
[00:13:25.600 --> 00:13:25.600]   I'm not sure if you're listening to me or not.
[00:13:25.600 --> 00:13:25.600]   I'm not sure if you're listening to me or not.
[00:13:25.600 --> 00:13:25.600]   I'm not sure if you're listening to me or not.
[00:13:25.600 --> 00:13:25.600]   I'm not sure if you're listening to me or not.
[00:13:25.600 --> 00:13:25.600]   I'm not sure if you're listening to me or not.
[00:13:25.600 --> 00:13:25.600]   I'm not sure if you're listening to me or not.
[00:13:25.600 --> 00:13:25.600]   I'm not sure if you're listening to me or not.
[00:13:25.620 --> 00:13:55.620]   I'm not sure if you're listening to me or not.
[00:13:55.620 --> 00:13:55.620]   I'm not sure if you're listening to me or not.
[00:13:55.620 --> 00:13:55.620]   I'm not sure if you're listening to me or not.
[00:13:55.620 --> 00:13:55.620]   I'm not sure if you're listening to me or not.
[00:13:55.620 --> 00:13:55.620]   I'm not sure if you're listening to me or not.
[00:13:55.620 --> 00:13:55.620]   I'm not sure if you're listening to me or not.
[00:13:55.620 --> 00:13:55.620]   I'm not sure if you're listening to me or not.
[00:13:55.620 --> 00:13:55.620]   I'm not sure if you're listening to me or not.
[00:13:55.620 --> 00:13:55.620]   I'm not sure if you're listening to me or not.
[00:13:55.620 --> 00:13:55.620]   I'm not sure if you're listening to me or not.
[00:13:55.620 --> 00:13:55.620]   I'm not sure if you're listening to me or not.
[00:13:55.620 --> 00:13:55.620]   I'm not sure if you're listening to me or not.
[00:13:55.620 --> 00:13:55.620]   I'm not sure if you're listening to me or not.
[00:13:55.620 --> 00:13:55.620]   I'm not sure if you're listening to me or not.
[00:13:55.620 --> 00:14:25.640]  ,
[00:14:25.640 --> 00:14:25.640]   .
[00:14:25.640 --> 00:14:25.640]   .
[00:14:25.640 --> 00:14:25.640]   .
[00:14:25.640 --> 00:14:25.640]   .
[00:14:25.640 --> 00:14:25.640]   .
[00:14:25.640 --> 00:14:25.640]   .
[00:14:25.640 --> 00:14:25.640]   .
[00:14:25.640 --> 00:14:25.640]   .
[00:14:25.640 --> 00:14:25.640]   .
[00:14:25.680 --> 00:14:27.640]   ass
[00:14:27.640 --> 00:14:36.040]   automatically
[00:14:36.040 --> 00:14:47.580]  lie, ac con the, the,,,,,, exceededドン
[00:17:18.840 --> 00:17:29.060]   많이
[00:17:29.060 --> 00:17:29.100]   on, and,
[00:19:07.560 --> 00:19:18.420]   at
[00:19:18.420 --> 00:19:36.520]   headed and be
[00:20:06.120 --> 00:20:06.120]   and be
[00:20:06.120 --> 00:20:06.120]   and be
[00:20:06.120 --> 00:20:06.840]   and be
[00:20:06.840 --> 00:20:06.840]  obed to be provided for by parents. But yet if those decisions years before that result in a high school student demonstrating academic competence or an elementary school student developing the character qualities that will lead them to the ability to perform well in high school and to perform well in college. So shouldn't we spend 80% of our time talking about those things that prepare a young man or woman for college and perhaps 20% of our time talking about those things that prepare a young man or woman for college?
[00:20:36.880 --> 00:21:06.880]  ight?
[00:21:06.880 --> 00:21:06.880]   20% of our time is spent on the financial planning of our college. So shouldn't we spend 80% of our time talking about those things that prepare a young man or woman for college?
[00:21:06.880 --> 00:21:06.880]   We sell the 529 account because we can do it easily and it makes us a little bit of money and increases the amount of money we earn in investment fees. I don't for a moment think that the average financial planner is competent to discuss with you or me what we're doing to prepare our five-year-olds to have the necessary character they'll need to stand strong and focus on their academic studies when they're 22 and not go and indulge them in their own academic studies.
[00:21:06.880 --> 00:21:06.880]   So shouldn't we spend 80% of our time talking about those things that prepare a young man or woman for college?
[00:21:06.880 --> 00:21:06.880]   So shouldn't we spend 80% of our time talking about those things that prepare a young man or woman for college?
[00:21:06.880 --> 00:21:36.900]  ,
[00:21:36.900 --> 00:21:36.900]   and we're not going to spend 80% of our time talking about those things that prepare a young man or woman for college?
[00:21:36.900 --> 00:21:36.900]   So shouldn't we spend 80% of our time talking about those things that prepare a young man or woman for college?
[00:21:36.900 --> 00:21:36.900]   So shouldn't we spend 80% of our time talking about those things that prepare a young man or woman for college?
[00:21:36.900 --> 00:21:36.900]   So shouldn't we spend 80% of our time talking about those things that prepare a young man or woman for college?
[00:21:36.900 --> 00:21:36.900]   So shouldn't we spend 80% of our time talking about those things that prepare a young man or woman for college?
[00:21:36.920 --> 00:22:06.920]   The financial system can work really, really well in many circumstances.
[00:22:06.920 --> 00:22:06.920]   The financial system can work really, really well in many circumstances.
[00:22:06.920 --> 00:22:06.920]   The financial system can work really, really well in many circumstances.
[00:22:06.920 --> 00:22:06.920]   But you have little control over the financial system.
[00:22:06.920 --> 00:22:06.920]   But you have little control over the financial system.
[00:22:06.920 --> 00:22:06.920]   You have a lot of control over those other things.
[00:22:06.920 --> 00:22:06.920]   And if you focus on these other things,
[00:22:06.920 --> 00:22:06.920]   Whether it's seeking to instill a strong character and moral fabric in your child's life,
[00:22:06.920 --> 00:22:06.920]   Whether it's seeking to instill a strong character and moral fabric in your child's life,
[00:22:06.920 --> 00:22:06.920]   or whether it's making sure that your kitchen has fire extinguishers,
[00:22:06.920 --> 00:22:06.920]   These things are much more tangible than trying to make your kitchen have fire extinguishers.
[00:22:06.920 --> 00:22:06.920]   These things are much more tangible than trying to make your kitchen have fire extinguishers.
[00:22:06.920 --> 00:22:06.920]   These things are much more tangible than trying to make your kitchen have fire extinguishers.
[00:22:06.960 --> 00:22:36.940]  ,
[00:22:36.940 --> 00:22:36.940]   And I'm not saying that you should be trying to understand the day-to-day vagaries of the stock market.
[00:22:36.940 --> 00:22:36.940]   And I'm not saying that you should be trying to understand the day-to-day vagaries of the stock market.
[00:22:36.940 --> 00:22:36.940]   I don't know if the stock market will continue its record-setting success or not. How do I know? But I do know that a fire extinguisher in your kitchen is a very cheap piece of insurance to buy to make sure that you can put out that grease fire. Of course, I would be remiss and not pointing out that a fire blanket or a large pot that you know where it is mixed with a small piece of fire.
[00:22:36.940 --> 00:22:36.940]   I don't know if I'm not saying that a fire extinguisin your kitchen is a fire blanket or a large pot that you know where it is mixed with a small piece of fire.
[00:22:36.940 --> 00:22:36.940]  , or a fire blanket or a large pot that you know where it is mixed with a small piece of fire.
[00:22:36.960 --> 00:23:06.960]   We are fortunate to live in a very orderly world that is governed by the laws of cause and effect.
[00:23:06.960 --> 00:23:06.960]   And if you'll think in advance that you're in a world that is governed by the laws of cause and effect,
[00:23:06.960 --> 00:23:06.960]   I don't know if I'm not saying that you're in a world that is governed by the laws of cause and effect,
[00:23:06.960 --> 00:23:06.960]   But I do know that you're in a world that is governed by the laws of cause and effect.
[00:23:06.960 --> 00:23:06.960]   And if you'll think in advance that you're in a world that is governed by the laws of cause and effect,
[00:23:06.960 --> 00:23:06.960]   And if you'll think in advance that you're in a world that is governed by the laws of cause and effect,
[00:23:06.960 --> 00:23:06.960]   And if you'll think in advance that you're in a world that is governed by the laws of cause and effect,
[00:23:06.960 --> 00:23:06.960]   And if you'll think in advance that you're in a world that is governed by the laws of cause and effect,
[00:23:07.000 --> 00:23:36.980]  ,
