
[00:00:00.000 --> 00:00:07.140]   If you can give an across-the-board recommendation of how much protein people should consume
[00:09:53.020 --> 00:09:59.080]   ask this is for practical reasons. Many people find it difficult to distribute their protein evenly
[00:09:59.080 --> 00:10:06.860]   through the day. Many people also find it difficult to get enough protein in the middle of the day meals
[00:10:06.860 --> 00:10:10.340]   or the morning meals. It can be done. And I know people will say, well, you have some eggs and some
[00:10:10.340 --> 00:10:15.740]   protein. There are ways to do it. Sure. But at least in this country, most people tend to emphasize
[00:10:15.740 --> 00:10:22.940]   dinner as their largest meal for better or worse. And you can usually order high quality, high protein
[00:10:22.940 --> 00:10:29.540]   foods in a restaurant, like a steak, chicken breast, fish, et cetera. So a lot of people stack their protein
[00:10:29.540 --> 00:10:34.320]   heavily towards the end of the day. Sure. Assuming caloric load is appropriate, et cetera. Is there
[00:10:34.320 --> 00:10:40.120]   anything fundamentally wrong or bad about doing that from the perspective of body composition
[00:10:40.120 --> 00:10:48.960]   and health? I would say no. Um, and then there's levels to it, right? Um, like what population are
[00:10:48.960 --> 00:10:54.000]   we looking at? Are we looking at guys who are trying to win a national competition in bodybuilding,
[00:10:54.140 --> 00:11:02.720]   for example? No, we're talking about men and women, um, teens up to 75 years old who are trying
[00:11:02.720 --> 00:11:06.860]   to be fit by doing a combination of resistance training and hopefully some cardiovascular training
[00:11:06.860 --> 00:11:11.840]   as well, trying to get their steps in. We're talking about the general population, not somebody who's
[00:11:11.840 --> 00:11:22.300]   trying to win a physique competition or run a marathon or ultra. Okay. So generally, no. And I want to
[00:11:22.300 --> 00:11:31.500]   qualify that a little bit. So my colleagues and I did a study testing out this anabolic window thing.
[00:11:31.500 --> 00:11:39.260]   This was 2014 where we tested immediate pre-exercise 25 grams of whey protein versus immediate post-exercise
[00:11:39.260 --> 00:11:48.820]   25 grams of whey protein. Uh, we ran the experiment for 10 weeks. Yeah. 10 weeks. Yep. Eight or 10,
[00:11:48.820 --> 00:11:57.720]   probably 10. Um, and there was no significant advantage of either, um, condition. So, and our
[00:11:57.720 --> 00:12:03.100]   thinking was, look, everybody's harping about this post-exercise anabolic window. So it really,
[00:12:03.100 --> 00:12:09.160]   if there is this opportunity to consume nutrients at prime time to feed the hungry muscles, then you
[00:12:09.160 --> 00:12:16.680]   would want to focus on availability of nutrients in circulation and not when you actually consume the
[00:12:16.680 --> 00:12:21.900]   nutrients because there's this time course for them to, for the nutrients to peak in circulation. It's
[00:12:21.900 --> 00:12:26.960]   usually somewhere between one and two hours after you ingest the stuff. So how about we consume
[00:12:26.960 --> 00:12:32.020]   protein immediately pre, and then it'll be peaking in the blood like an hour ish later, and then you'll
[00:12:32.020 --> 00:12:38.620]   be right in the anabolic window. So we didn't see any advantage to the immediate pre-protein versus the
[00:12:38.620 --> 00:12:47.700]   immediate post-protein. That was in 2014. So fast forward to 2024 ish, 23, 24. Uh, one of my colleagues,
[00:12:47.700 --> 00:12:57.840]   Yasin Locke, he took our, our pre-post model and he kind of like, he ran his own, uh, randomized control
[00:12:57.840 --> 00:13:05.280]   trial version of it, but he wanted to kind of exploit the possibility of further protein neglect on both sides
[00:13:05.280 --> 00:13:12.680]   of the training bout. So he compared an immediate pre, um, and post immediate pre and post 25 grams of
[00:13:12.680 --> 00:13:20.440]   protein sandwiching the resistance training bout with a group that neglected all, all nutrients for three
[00:13:20.440 --> 00:13:28.440]   hours on both sides of the resistance training bout. Total daily protein was optimized at around, uh, close to a
[00:13:28.440 --> 00:13:33.980]   gram per pound, two, two ish grams per kilogram of body weight. No significant difference, no meaningful
[00:13:33.980 --> 00:13:40.660]   difference in muscle size and strength gains at the end of the, I believe it was a 10 or 12 week study.
[00:13:40.660 --> 00:13:47.840]   That's very reassuring to me. I mean, because I have a busy schedule as do many people. And sometimes I'm a
[00:13:47.840 --> 00:13:52.600]   little hungry before I train and I'll want a scoop of protein powder and I'll think, Oh, is it better?
[00:13:52.720 --> 00:13:57.040]   We'll talk about whether or not it's better to train fasted, uh, for all sorts of reasons. Sometimes
[00:13:57.040 --> 00:14:02.220]   people don't like to train fasted. Sometimes people don't like to eat immediately after they train.
[00:14:02.220 --> 00:14:07.940]   Sometimes you have to shower up and head to dinner after you train or shower up and head to a meeting
[00:14:07.940 --> 00:14:16.160]   and you don't have the opportunity to ingest this in the quote unquote anabolic window. So what I'm
[00:14:16.160 --> 00:14:20.180]   hearing through all these answers, correct me if I'm wrong, is that there's tremendous flexibility
[00:14:20.180 --> 00:14:27.760]   as to when you consume the protein that we all need, but that it, the overall protein requirement
[00:14:27.760 --> 00:14:33.680]   seems to center somewhere around 0.7 to one gram per pound of body weight, somewhere in their total
[00:14:33.680 --> 00:14:42.020]   per day. If the amount in a given meal is a bit higher than 20 or 30 grams, you're fine. If it's a bit
[00:14:42.020 --> 00:14:47.880]   lower, you're probably fine. But the thing that also I believe needs highlighting that most people
[00:14:47.880 --> 00:14:54.940]   don't talk about is distinguishing between what's in circulation versus when one ingests something.
[00:14:54.940 --> 00:14:59.660]   Like we'd love to think that we drink 30 grams of protein or eat the chicken breast or the piece
[00:14:59.660 --> 00:15:05.240]   of steak or have the eggs and suddenly those amino acids are available. And it makes so much more
[00:15:05.240 --> 00:15:10.460]   rational sense now that you describe it, that eating first makes those amino acids available
[00:15:10.460 --> 00:15:17.800]   for the muscles a couple hours later. And we just don't learn about it that way. So I'm very grateful
[00:15:17.800 --> 00:15:22.520]   that you're bringing it up that way. I realized we could probably drill into protein requirements
[00:15:22.520 --> 00:15:29.960]   ad nauseum, but- Think about it this way. The way I like to put it is total daily protein is the cake.
[00:15:29.960 --> 00:15:37.160]   The specific timing of protein relative to the training bout, that is the icing on the cake. And it's a very
[00:15:37.160 --> 00:15:46.820]   very thin layer of icing on the cake.

