
[00:00:00.000 --> 00:00:09.000]   When you're in winter's favorite town, the snow-covered mountains surround you.
[00:07:14.000 --> 00:07:20.000]   You've had a large influence on my kind of unique financial journey.
[00:07:20.000 --> 00:07:21.000]   I have a question.
[00:07:21.000 --> 00:07:27.000]   I'd like to get your take on my plan to have a major career change.
[00:07:27.000 --> 00:07:28.000]   Okay.
[00:07:28.000 --> 00:07:33.000]   So currently, I am a public school teacher.
[00:07:33.000 --> 00:07:35.000]   This is my ninth year.
[00:07:35.000 --> 00:07:43.000]   I have decided that I want to make a career change to become a pilot.
[00:07:43.000 --> 00:07:50.000]   My father has been a pilot for over 40 years.
[00:07:50.000 --> 00:08:02.000]   It's something that I always wanted to do, but when I was in high school, right around that time, the industry was kind of not doing so well after 9/11 and the recession.
[00:08:02.000 --> 00:08:13.000]   So, with seeing how it was going for my father at that time, I kind of wrote it off, but it was always something that I had wanted to do.
[00:08:13.000 --> 00:08:19.000]   I also currently am a real estate agent along with teaching.
[00:08:19.000 --> 00:08:32.000]   And then, even another part of my situation that's unique is I am a very active cryptocurrency investor, which has changed my life in many ways.
[00:08:32.000 --> 00:08:47.000]   And I started an LLC about crypto education and even helping educate realtors as crypto is starting to impact the real estate transaction a little bit right now.
[00:08:47.000 --> 00:08:52.000]   So, I've got a lot of things going on, but I'm interested in making this career change.
[00:08:52.000 --> 00:09:02.000]   I'm afraid to leave my efficient, comfortable life, but I just feel that I need to make a change.
[00:09:02.000 --> 00:09:04.000]   Got it. How old are you?
[00:09:04.000 --> 00:09:07.000]   I'm 32.
[00:09:07.000 --> 00:09:09.000]   So, you're super young.
[00:09:09.000 --> 00:09:16.000]   I was thinking you're 52 and I've got to worry about you going up against age 65, mandatory retirement and whatnot.
[00:09:16.000 --> 00:09:19.000]   You've got plenty of time.
[00:09:19.000 --> 00:09:24.000]   Are you married? Do you have children?
[00:09:24.000 --> 00:09:26.000]   No and no.
[00:09:26.000 --> 00:09:29.000]   Okay. So, this is going to be easy.
[00:09:29.000 --> 00:09:38.000]   How's your financial situation? You have some savings, your crypto investments. Do you have some money saved and are you in a good financial position?
[00:09:38.000 --> 00:09:50.000]   Yes, I have. Well, I mean, it depends. Crypto has shaken my world up with what I value, what I see as money and value.
[00:09:50.000 --> 00:09:59.000]   So, basically, I've got about $35,000 in a savings account. I've got $87,000 in state teachers retirement.
[00:09:59.000 --> 00:10:09.000]   I have about $35,000 in cryptocurrency, but that has been as high as over $100,000 in bull run.
[00:10:09.000 --> 00:10:11.000]   And no debt?
[00:10:11.000 --> 00:10:13.000]   No debt.
[00:10:13.000 --> 00:10:16.000]   And you don't own a home? You're renting?
[00:10:16.000 --> 00:10:21.000]   I do. I have a one-bedroom apartment. I'm very minimalist.
[00:10:21.000 --> 00:10:31.000]   Great. Perfect. So, this sounds easy. Is there a specific question that you have or just wanting a little bit of encouragement on the path?
[00:10:31.000 --> 00:10:37.000]   Well, I think maybe just some encouragement on the path.
[00:10:37.000 --> 00:11:01.000]   I guess my question is, how do I know if the risk is worth the reward to leave my comfortable lifestyle where I have things relatively under control, but I just feel kind of bored and unhappy with teaching?
[00:11:01.000 --> 00:11:11.000]   I'm a music teacher, and I got into education first by being a musician, but I decided to get a music education degree.
[00:11:11.000 --> 00:11:20.000]   And then I ended up teaching, which was never my goal to begin with, but it was a nice career for about nine years.
[00:11:20.000 --> 00:11:31.000]   But to be honest, ever since the pandemic, things have just changed to the point that it has very little to do with teaching music, to be honest, the situation I'm in.
[00:11:31.000 --> 00:11:49.000]   I'm just having this feeling that I need to make a change. But I guess I just wanted your take on the risk to reward aspect and how to be comfortable taking the plunge.
[00:11:49.000 --> 00:11:59.000]   So if you left your teaching job today, and you went and you spent a year becoming a pilot, and then you had a medical condition and you knew, "I could never be a pilot again.
[00:11:59.000 --> 00:12:07.000]   There's no possible way I can make a career as a pilot work." Could you go back into teaching and get hired again?
[00:12:07.000 --> 00:12:17.000]   I believe I could. I wouldn't, I would not want to go back probably. I don't think, but I could if I had to.
[00:12:17.000 --> 00:12:28.000]   Okay. So to me, you have virtually no risk in doing this. Now, is there a risk of your spending money on the training necessary to become a pilot, to get your license, to get hired?
[00:12:28.000 --> 00:12:37.000]   Yes. Is there a risk that you may not like the career? Absolutely. You might wind up with some regional carrier getting up at one o'clock in the morning, flying routes that no one else wants, etc.
[00:12:37.000 --> 00:12:42.000]   But you're young and you're probably healthy, and otherwise you wouldn't be pursuing the job as a pilot.
[00:12:42.000 --> 00:12:47.000]   This is something that you want to do. You're clear that you want to do it. You have a family history, etc. So suck it up and do it.
[00:12:47.000 --> 00:12:54.000]   I would say the biggest thing for a 32-year-old man is just the risk of regret. The risk of regret is huge.
[00:12:54.000 --> 00:12:58.000]   And you've been a teacher for nine years. You know what's good about that.
[00:12:58.000 --> 00:13:03.000]   The nice thing about being a teacher is pretty much the job doesn't change much.
[00:13:03.000 --> 00:13:11.000]   Now, okay, maybe there were some changes from COVID, but the job is what it is, and it's not going to change, especially not in government schools, except very slowly.
[00:13:11.000 --> 00:13:21.000]   So if you are a government school teacher today, and as long as you don't have any bad disciplinary record, etc., you could always come back and get it again.
[00:13:21.000 --> 00:13:25.000]   Now, you may or may not be able to get in the same school district, but teachers are in demand.
[00:13:25.000 --> 00:13:30.000]   Your pay, unless you're in downtown New York City or something like that, your pay is not great.
[00:13:30.000 --> 00:13:34.000]   And so it should be relatively easy to do better.
[00:13:34.000 --> 00:13:44.000]   I would simply say that as one who is a little bit older than you are, but who bears the responsibility for a lot of other people,
[00:13:44.000 --> 00:13:50.000]   I would simply say to you that it will never be easier for you to pursue your dreams and follow your dreams than it is now.
[00:13:50.000 --> 00:14:00.000]   And that's not to say – I always try to be careful saying that because I don't regret the decisions that I have made of embracing responsibility.
[00:14:00.000 --> 00:14:04.000]   If I had to do it all over again, I would do it in an instant.
[00:14:04.000 --> 00:14:11.000]   What I do regret is not chasing my dreams more enthusiastically when I was younger.
[00:14:11.000 --> 00:14:15.000]   I fell prey too much to the idea of thinking, "Well, I've got to build something consistent.
[00:14:15.000 --> 00:14:19.000]   I have to systematically maintain a job, or I have to do something like that."
[00:14:19.000 --> 00:14:20.000]   You don't have to do any of those things.
[00:14:20.000 --> 00:14:22.000]   You can live your life the way you want.
[00:14:22.000 --> 00:14:28.000]   And while you should make thoughtful, informed decisions, there should be on your shoulders as a 32-year-old man,
[00:14:28.000 --> 00:14:34.000]   there should be this giant weight of, "I have to go for it. I have to go for it. I have to go for it.
[00:14:34.000 --> 00:14:37.000]   I have to go in the direction of my dreams."
[00:14:37.000 --> 00:14:44.000]   If you are not enthusiastically pursuing whatever your personal dreams are as a man,
[00:14:44.000 --> 00:14:49.000]   it's very hard to look yourself in the mirror and be happy with the guy looking back in the glass.
[00:14:49.000 --> 00:14:55.000]   And yet, if you are pursuing your goals enthusiastically as a man and you're really going for it,
[00:14:55.000 --> 00:15:01.000]   whether success or failure, the man in the glass looks back and says, "Absolutely. Well done. Keep up the good work."
[00:15:01.000 --> 00:15:05.000]   And so, as I see it, one of your primary objectives should be avoiding regret.
[00:15:05.000 --> 00:15:12.000]   And in order to avoid regret, you have to go as enthusiastically as possible in the direction of your dreams.
[00:15:12.000 --> 00:15:16.000]   And so, you have clearly said, "There's something I want to do. This is something I want to do.
[00:15:16.000 --> 00:15:20.000]   I didn't waste any time digging into that further. You told me this is something I want to do.
[00:15:20.000 --> 00:15:23.000]   We've established that you're not being irresponsible in doing it.
[00:15:23.000 --> 00:15:27.000]   So, as far as I'm concerned, get after it because it'll never be easier than it is now.
[00:15:27.000 --> 00:15:32.000]   And if successful, you want to be successful now."
[00:15:32.000 --> 00:15:35.000]   And that's the thing that is so frustrating.
[00:15:35.000 --> 00:15:40.000]   At 32 years old, for you to be sitting around and thinking about comfort is absurd, absolutely absurd.
[00:15:40.000 --> 00:15:44.000]   If you're 92 years old and you want to think about comfort, great.
[00:15:44.000 --> 00:15:48.000]   I won't really accept it at 70, but I guess I'd probably accept it at 90.
[00:15:48.000 --> 00:15:57.000]   But at 32 years old, pursuing comfort or like, "Hey, this is confident and I know it," pursuing that pathway, that's destruction.
[00:15:57.000 --> 00:16:02.000]   That is the thing that leads to mediocrity.
[00:16:02.000 --> 00:16:07.000]   It leads to unhappiness. It leads to just not being able to respect yourself.
[00:16:07.000 --> 00:16:10.000]   Again, I come back to the man in the glass.
[00:16:10.000 --> 00:16:15.000]   Obviously, I'm talking about the poem by using those words that I love so much.
[00:16:15.000 --> 00:16:29.000]   But at the end of the day, a huge portion of your self-respect as a man comes from your ability and willingness to establish the direction you want to go and then to follow through and go after it.
[00:16:29.000 --> 00:16:36.000]   And though it leads to bankruptcy and financial ruin, etc., you'll arrive to the end of that path.
[00:16:36.000 --> 00:16:43.000]   And if you knew you were pursuing your goals, you knew you were pursuing your life vision, you'll be thrilled with your decisions.
[00:16:43.000 --> 00:16:48.000]   On the other hand, you could sit around in fat town for the next five years.
[00:16:48.000 --> 00:16:51.000]   "I got a job. I know how to do it," etc.
[00:16:51.000 --> 00:16:59.000]   But at the end of five years, no matter though you're richer than you are now, you have a house, you have all the nice things, as a man, you're going to lose your self-respect.
[00:16:59.000 --> 00:17:01.000]   And that's a miserable place to be.
[00:17:01.000 --> 00:17:03.000]   So I would go after it.
[00:17:03.000 --> 00:17:05.000]   Now, I'll pause here, but I'll give you a couple of tips.
[00:17:05.000 --> 00:17:20.000]   But I would go after it as enthusiastically and as quickly as possible because you want to get to a job that's paying you money for flying as quickly as possible so you can have the maximum amount of career time available in it knowing that you've got a hard deadline.
[00:17:20.000 --> 00:17:26.000]   Being a pilot is not something that you can just sit around and wait till you're 55 and then I'll pursue my dream of being a commercial pilot.
[00:17:26.000 --> 00:17:29.000]   No, you've got a hard stop, mandatory retirement.
[00:17:29.000 --> 00:17:34.000]   So you've got to get after it now in order to reap the rewards of your proposed path.
[00:17:34.000 --> 00:17:39.000]   Absolutely.
[00:17:39.000 --> 00:17:52.000]   Well, it's refreshing to hear everything you just said because, to be honest, I have teacher friends who are saying, "Whoa, that sounds too risky.
[00:17:52.000 --> 00:17:53.000]   You've got a good thing.
[00:17:53.000 --> 00:17:55.000]   You know how to come in here and do this."
[00:17:55.000 --> 00:17:59.000]   But I just know deep down I don't want to be like those people.
[00:17:59.000 --> 00:18:02.000]   So pay attention to what you have said.
[00:18:02.000 --> 00:18:04.000]   Pay attention to what you've said.
[00:18:04.000 --> 00:18:11.000]   And then listen to me as I share that poem I was alluding to.
[00:18:11.000 --> 00:18:24.000]   When you get what you want in your struggle for self and the world makes you king for a day, just go to the mirror and look at yourself and see what that man has to say.
[00:18:24.000 --> 00:18:29.000]   For it isn't your father or mother or wife whose judgment upon you must pass.
[00:18:29.000 --> 00:18:36.000]   The fellow whose verdict counts the most in your life is the one staring back from the glass.
[00:18:36.000 --> 00:18:41.000]   Some people may think you a straight shooting chum and call you a wonderful guy.
[00:18:41.000 --> 00:18:46.000]   But the guy in the glass says you're only a bum if you can't look him straight in the eye.
[00:18:46.000 --> 00:18:51.000]   He's the fellow to please, never mind all the rest, for he's with you clear up to the end.
[00:18:51.000 --> 00:18:57.000]   And you've passed your most dangerous, difficult test if the man in the glass is your friend.
[00:18:57.000 --> 00:19:03.000]   You may fool the whole world down the pathway of years and get pats on the back as you pass.
[00:19:03.000 --> 00:19:10.000]   But your final reward will be heartaches and tears if you've cheated the man in the glass.
[00:19:10.000 --> 00:19:12.000]   That's what counts.
[00:19:12.000 --> 00:19:14.000]   Doesn't matter what anyone else believes in you.
[00:19:14.000 --> 00:19:16.000]   Doesn't matter what anyone else says.
[00:19:16.000 --> 00:19:17.000]   Who cares?
[00:19:17.000 --> 00:19:20.000]   What matters is that you know the direction that you want to go.
[00:19:20.000 --> 00:19:26.000]   And at 32 years old, it's much easier for you to be confident in your self-knowledge than it was at 19.
[00:19:26.000 --> 00:19:29.000]   So make a fresh decision and go after it.
[00:19:29.000 --> 00:19:32.000]   And then I would just say in conclusion, be smart about it.
[00:19:32.000 --> 00:19:35.000]   So if I were in your shoes, yeah, keep a one-bedroom apartment.
[00:19:35.000 --> 00:19:37.000]   Get your rent as cheaply as possible.
[00:19:37.000 --> 00:19:42.000]   Go to the school that's going to get you the fastest, you know, get you on the flight line the fastest possible.
[00:19:42.000 --> 00:19:47.000]   You have money saved and so you should spend that money to get good flying training,
[00:19:47.000 --> 00:19:51.000]   a good school that's going to move you quickly through the necessary certifications.
[00:19:51.000 --> 00:19:55.000]   You're going to burn quite a lot of money on this, but that's what you should do.
[00:19:55.000 --> 00:20:03.000]   And you're getting a job as a pilot is going to be a lot cheaper than, you know, getting a college degree would cost you.
[00:20:03.000 --> 00:20:06.000]   And yet it will come with a lot more benefit.
[00:20:06.000 --> 00:20:08.000]   So go after it and go after it fast.
[00:20:08.000 --> 00:20:10.000]   We go to the state of Washington.
[00:20:10.000 --> 00:20:11.000]   Welcome to the show.
[00:20:11.000 --> 00:20:15.000]   How can I serve you today?
[00:20:15.000 --> 00:20:19.000]   Washington State, 360 area code.
[00:20:19.000 --> 00:20:20.000]   Come back to you.
[00:20:20.000 --> 00:20:22.000]   We go on to Billings, Montana.
[00:20:22.000 --> 00:20:26.000]   Welcome to the show. How can I serve you today?
[00:20:26.000 --> 00:20:27.000]   Hey, Joshua.
[00:20:27.000 --> 00:20:29.000]   I had a question.
[00:20:29.000 --> 00:20:40.000]   My wife and I are fairly confident that we are going to hire an in-home nanny for child care instead of looking at daycare or looking at my wife leaving her job.
[00:20:40.000 --> 00:20:46.000]   But just was curious briefly what considerations you suggest to make that decision.
[00:20:46.000 --> 00:20:52.000]   I think the bigger question is how do you pay taxes and report income if you hire an in-home nanny?
[00:20:52.000 --> 00:20:56.000]   It seems like it's more involved than just independent contractor.
[00:20:56.000 --> 00:21:05.000]   I'm just curious if that's something I could do myself or if it's better to have software or a payroll company to help manage that.
[00:21:05.000 --> 00:21:06.000]   Okay. Good questions.
[00:21:06.000 --> 00:21:09.000]   I have never hired a full-time nanny.
[00:21:09.000 --> 00:21:16.000]   I have at various times in the past for a while I had a full-time housekeeper that came every day.
[00:21:16.000 --> 00:21:21.000]   That was a good fit for us that it provided the help that my wife needed with the house, et cetera.
[00:21:21.000 --> 00:21:25.000]   I had a part-time nanny come for a time, et cetera.
[00:21:25.000 --> 00:21:29.000]   But at the end of the day, my wife just decided she's like I don't want people in the house.
[00:21:29.000 --> 00:21:32.000]   And so she got rid of the housekeeper, got rid of the nanny.
[00:21:32.000 --> 00:21:37.000]   And so I got someone that comes one day a week for a few hours, but that's it because my wife didn't like people in the house.
[00:21:37.000 --> 00:21:44.000]   So I say that to say that go for what you think is right, but just recognize that things can change.
[00:21:44.000 --> 00:21:51.000]   I thought, man, my wife's going to love me for hiring her a housekeeper and she's going to be an easy street.
[00:21:51.000 --> 00:21:53.000]   I thought she was going to love it.
[00:21:53.000 --> 00:21:56.000]   Well, it turns out that she didn't love it.
[00:21:56.000 --> 00:21:59.000]   She would sing songs about no housekeeper, yay.
[00:21:59.000 --> 00:22:01.000]   So things can change.
[00:22:01.000 --> 00:22:04.000]   I would say that you have a lot of options.
[00:22:04.000 --> 00:22:08.000]   Let's begin with a thoughtful approach of what are you actually looking for in a nanny.
[00:22:08.000 --> 00:22:12.000]   How old are your children?
[00:22:12.000 --> 00:22:16.000]   Right now we just have one and she's five and a half months.
[00:22:16.000 --> 00:22:17.000]   Okay.
[00:22:17.000 --> 00:22:24.000]   And what kind of nanny do you think you would be looking for?
[00:22:24.000 --> 00:22:30.000]   We know someone from our church that's a young woman, she's like 21, that is interested.
[00:22:30.000 --> 00:22:33.000]   So we're thinking about doing that.
[00:22:33.000 --> 00:22:37.000]   And then I guess one caveat, we're probably not going to be doing that full time.
[00:22:37.000 --> 00:22:48.000]   My wife and I both work from home, so it's just something to help for a handful of hours a day to be able to focus on work, to get things done.
[00:22:48.000 --> 00:22:51.000]   And we'll obviously still be spending a bit of time with our daughter.
[00:22:51.000 --> 00:22:52.000]   Right.
[00:22:52.000 --> 00:22:54.000]   I think that's an ideal way to set it up.
[00:22:54.000 --> 00:23:01.000]   If you and your wife both work from home and you recognize that we want to keep our income, keep our business going, we need a little bit of help,
[00:23:01.000 --> 00:23:05.000]   having someone come in your home I think is the best way to do that.
[00:23:05.000 --> 00:23:08.000]   And on a part-time basis, you and your wife can work around the edges, that's great.
[00:23:08.000 --> 00:23:10.000]   I think someone from church is perfect.
[00:23:10.000 --> 00:23:16.000]   So just a matter of coming to an approach to the wages that are appropriate and setting that up.
[00:23:16.000 --> 00:23:19.000]   But getting it set up is key.
[00:23:19.000 --> 00:23:27.000]   And the nice thing about somebody from church is that you can give this person kind of a vision of how you want the time spent.
[00:23:27.000 --> 00:23:34.000]   I think the biggest challenge in hiring a nanny, as with hiring any employee, is you're having an idea of what is it that I expect from you.
[00:23:34.000 --> 00:23:39.000]   And so if you hire a "professional nanny," well, that nanny is going to have certain expectations.
[00:23:39.000 --> 00:23:45.000]   If you just hire somebody random that doesn't know what to do, they don't know how to productively use the child's time.
[00:23:45.000 --> 00:23:50.000]   And so you want to make good use of the child's time, and so you have to lay out what is expected.
[00:23:50.000 --> 00:24:00.000]   And at five and a half months, it's pretty simple, basically sit and play on the floor and snuggle and take walks in the sunshine and sing songs, read books, et cetera.
[00:24:00.000 --> 00:24:06.000]   But over the next couple of years, you want to make sure that the highest level of care is happening.
[00:24:06.000 --> 00:24:14.000]   So think about that, and that's why you hire a nanny to come into your home rather than just going to a daycare, et cetera, where you can't supervise it.
[00:24:14.000 --> 00:24:15.000]   So think about that.
[00:24:15.000 --> 00:24:17.000]   And from the tax perspective, it's super simple.
[00:24:17.000 --> 00:24:23.000]   You go to irs.gov, and there is an entire section called "Hiring Household Employees."
[00:24:23.000 --> 00:24:27.000]   So go to irs.gov, open up "Hiring Household Employees."
[00:24:27.000 --> 00:24:30.000]   You do not need any -- you don't need to set anything up.
[00:24:30.000 --> 00:24:31.000]   There's a standard way to do it.
[00:24:31.000 --> 00:24:34.000]   You'll have an employer identification number.
[00:24:34.000 --> 00:24:37.000]   You'll just simply file taxes for your household employees.
[00:24:37.000 --> 00:24:39.000]   I think there's a standalone -- I've forgotten.
[00:24:39.000 --> 00:24:44.000]   I think there's just a standalone schedule for that that is super simple to set up.
[00:24:44.000 --> 00:24:48.000]   And you'll just hire -- you'll just -- what schedule is it?
[00:24:48.000 --> 00:24:49.000]   I have to look it up.
[00:24:49.000 --> 00:24:55.000]   You'll simply file that particular schedule for your household help, and then your nanny will report employees.
[00:24:55.000 --> 00:25:01.000]   You'll pay Social Security and Medicare and Medicaid taxes for her, and it's very, very simple.
[00:25:01.000 --> 00:25:10.000]   And it is important to do that because otherwise you'll run for office 15 years from now, and somebody will investigate your past and find out you had this nanny for 10 years,
[00:25:10.000 --> 00:25:14.000]   and you'll never file taxes, and you'll have a disaster on your hands.
[00:25:14.000 --> 00:25:15.000]   But it's super simple.
[00:25:15.000 --> 00:25:17.000]   Go to the irs.gov and search "household employee."
[00:25:17.000 --> 00:25:22.000]   All the instructions are right there.
[00:25:22.000 --> 00:25:23.000]   >> Awesome.
[00:25:23.000 --> 00:25:24.000]   Thank you so much.
[00:25:24.000 --> 00:25:25.000]   I appreciate it.
[00:25:25.000 --> 00:25:27.000]   >> My pleasure, and congratulations on the birth of your baby.
[00:25:27.000 --> 00:25:28.000]   Back to Washington.
[00:25:28.000 --> 00:25:31.000]   Are you there this time, Washington?
[00:25:31.000 --> 00:25:32.000]   >> Yes, I am here now.
[00:25:32.000 --> 00:25:33.000]   >> Go ahead.
[00:25:33.000 --> 00:25:34.000]   How can I serve you today?
[00:25:34.000 --> 00:25:36.000]   >> So question -- thank you.
[00:25:36.000 --> 00:25:49.000]   My brother and I have been asked to be trustees of a special needs trust to a gal who's older than I am, and we don't know exactly what else is involved in that,
[00:25:49.000 --> 00:25:53.000]   and the parents of this gal also don't know exactly what's involved.
