
[00:00:00.000 --> 00:00:02.000]   quiet quitting.
[00:08:15.800 --> 00:08:16.900]   on time and muting slack.
[00:08:16.900 --> 00:08:21.800]   The writer then adds, kind of snarkily, then posting about it on social
[00:08:21.800 --> 00:08:22.000]   media.
[00:08:22.000 --> 00:08:24.800]   So here is the summary of quiet quitting that this Guardian article
[00:08:24.800 --> 00:08:27.300]   gave. They're doing just enough in the office to keep up.
[00:08:27.300 --> 00:08:30.800]   Then leaving work on time and muting slack.
[00:08:30.800 --> 00:08:34.300]   Now there's some good analysis in this piece trying to understand
[00:08:34.300 --> 00:08:34.800]   this trend.
[00:08:34.800 --> 00:08:38.900]   So here's a quote from an expert. Since the pandemic, people's
[00:08:38.900 --> 00:08:42.500]   relationship with work has been studied in many ways and the literature
[00:08:42.500 --> 00:08:45.700]   typically across professions would argue that yes, people's way of
[00:08:45.700 --> 00:08:47.300]   relating to their work has changed.
[00:08:47.300 --> 00:08:51.100]   We talk about that often on the show, the impact of the pandemic on
[00:08:51.100 --> 00:08:53.200]   people stepping back and saying, wait a second.
[00:08:53.200 --> 00:08:55.100]   What's going on with my life?
[00:08:55.100 --> 00:08:55.900]   What's going on with my work?
[00:08:55.900 --> 00:08:57.200]   Is a good time to regroup.
[00:08:57.200 --> 00:09:00.300]   Another quote from this expert.
[00:09:00.300 --> 00:09:03.300]   The search for meaning has become far more apparent.
[00:09:03.300 --> 00:09:05.600]   There's a sense of our own mortality during the pandemic.
[00:09:05.600 --> 00:09:08.900]   Something quite existential around people thinking, what should work
[00:09:08.900 --> 00:09:09.500]   mean for me?
[00:09:09.500 --> 00:09:11.300]   What can I do in a role?
[00:09:11.300 --> 00:09:14.500]   How can I do a role that's more aligned to my values?
[00:09:14.500 --> 00:09:19.000]   And finally, we have another quote here from a Harvard Business
[00:09:19.000 --> 00:09:25.800]   School professor who introduced this term, "The Great Rethink" as
[00:09:25.800 --> 00:09:29.300]   a better way of describing the current moment in knowledge work than
[00:09:29.300 --> 00:09:30.700]   something like the Great Resignation.
[00:09:30.700 --> 00:09:32.900]   There's a lot of rethinking happening.
[00:09:32.900 --> 00:09:37.600]   All right, so I want to give, let me give some thoughts here.
[00:09:37.600 --> 00:09:40.700]   First of all, I should go on to say this article, which was one of
[00:09:40.700 --> 00:09:44.300]   the first, was one of the better articles on this topic.
[00:09:44.300 --> 00:09:48.500]   They defined what quiet quitting was and then gave this psychological
[00:09:48.500 --> 00:09:49.100]   context.
[00:09:49.100 --> 00:09:50.100]   What's going on in the workplace?
[00:09:50.100 --> 00:09:51.600]   Why might this trend have emerged?
[00:09:51.600 --> 00:09:55.300]   Since then, things have been going downhill.
[00:09:55.300 --> 00:09:59.900]   I do not necessarily suggest getting, looking at the online coverage
[00:09:59.900 --> 00:10:06.100]   of this topic as I went into it for my, the chapter I was writing.
[00:10:06.100 --> 00:10:11.000]   In the months since this, this idea first arose, I think online
[00:10:11.000 --> 00:10:16.700]   discussion and coverage has become a pile on of superficial
[00:10:16.700 --> 00:10:17.500]   criticality.
[00:10:17.500 --> 00:10:23.400]   The online commentators are seeing this issue mainly as a chance to
[00:10:23.400 --> 00:10:27.000]   prove their sophistication and bona fides by trying to one-up whoever
[00:10:27.000 --> 00:10:29.100]   talked about it last by pointing out what they missed.
[00:10:29.100 --> 00:10:31.800]   You thought this is wrong, but you're the problem because you missed
[00:10:31.800 --> 00:10:34.700]   out on this problem and then someone else comes in and I find it to
[00:10:34.700 --> 00:10:35.900]   be completely non-useful.
[00:10:35.900 --> 00:10:39.000]   So you have the original quiet quitters on TikTok and then you get
[00:10:39.000 --> 00:10:40.700]   the reaction that's like kids are lazy.
[00:10:40.700 --> 00:10:42.300]   You know, this is just called having a job.
[00:10:42.300 --> 00:10:43.200]   What are you talking about?
[00:10:43.200 --> 00:10:46.300]   And then you have the crew that comes in and says, whoa, whoa, whoa,
[00:10:46.300 --> 00:10:50.000]   you both are wrong because what neither of you are doing is cataloging
[00:10:50.000 --> 00:10:52.600]   every single identity group and trying to argue which identity
[00:10:52.600 --> 00:10:54.400]   groups will have an easier time than worse.
[00:10:54.400 --> 00:10:58.600]   You have to have a huge appendix trying to rank order the ease with
[00:10:58.600 --> 00:11:01.300]   which different groups can do quiet quitting and until you acknowledge
[00:11:01.300 --> 00:11:03.500]   that you're the problem that someone else comes in and says no, all
[00:11:03.500 --> 00:11:05.800]   of you guys are the problem because what you don't realize is that
[00:11:05.800 --> 00:11:10.500]   you're you're bougie stooges and the key here is to rebuild capitalism
[00:11:10.500 --> 00:11:11.900]   and replace it with something better.
[00:11:11.900 --> 00:11:15.700]   This discussion in general is just part of the super structure that
[00:11:15.700 --> 00:11:18.400]   is upholding this economic exploitation.
[00:11:18.400 --> 00:11:21.600]   Everyone trying to one-up everyone else, everyone else trying to make
[00:11:21.600 --> 00:11:23.200]   everyone else seem dumber than them.
[00:11:23.200 --> 00:11:24.700]   It's a mess.
[00:11:24.700 --> 00:11:27.300]   It's a pile on ignore it.
[00:11:27.300 --> 00:11:29.600]   So let's push that aside.
[00:11:29.600 --> 00:11:32.200]   Let's get rid of the posture and get back to the original issue here
[00:11:32.200 --> 00:11:36.100]   of quiet quitting and this context that I think the Guardian provided
[00:11:36.100 --> 00:11:37.400]   which I think is quite good.
[00:11:37.400 --> 00:11:40.700]   So I think there is something important here.
[00:11:40.700 --> 00:11:43.000]   What we're seeing in that tick-tock discussion.
[00:11:43.000 --> 00:11:47.900]   Is a new generation that will call it this pandemic generation the
[00:11:47.900 --> 00:11:51.500]   generation that had the pandemic disruptions hit early in their
[00:11:51.500 --> 00:11:56.600]   adulthood discovering for lack of a better word lifestyle design.
[00:11:56.600 --> 00:12:03.200]   The idea that work is one of the factors that you can intentionally
[00:12:03.200 --> 00:12:07.300]   deploy as part of a larger plan to construct a life that is meaningful
[00:12:07.300 --> 00:12:07.800]   or deep.
[00:12:07.800 --> 00:12:10.900]   So it's an intentional approach to life in which you are designing
[00:12:10.900 --> 00:12:16.000]   your life to meet whatever criteria you have for meaning and depth.
[00:12:16.000 --> 00:12:18.700]   So it is good to see a new generation discovering this.
[00:12:19.700 --> 00:12:22.800]   The frustration is is there they're starting from scratch.
[00:12:22.800 --> 00:12:28.000]   I mean quiet quitting is a it's a simplistic and crude first step
[00:12:28.000 --> 00:12:28.900]   towards trying to understand.
[00:12:28.900 --> 00:12:29.700]   Well, wait a second.
[00:12:29.700 --> 00:12:34.000]   What role does work have in my life?
[00:12:34.000 --> 00:12:35.500]   I'm working too much.
[00:12:35.500 --> 00:12:37.600]   I don't know why probably because someone's being evil.
[00:12:37.600 --> 00:12:40.200]   I think I'm going to like work less.
[00:12:40.200 --> 00:12:43.600]   It's a very simplistic first step towards a deeper more necessary
[00:12:43.600 --> 00:12:48.100]   conversation, but this is a topic that has been covered every single
[00:12:48.100 --> 00:12:52.600]   generation going back quite a few generations go back to the 19th
[00:12:52.600 --> 00:12:57.700]   century read Walden by Thoreau jump forward to the 20th century read
[00:12:57.700 --> 00:13:00.900]   the seven-story mountain jump forward another 20 years read Zen and
[00:13:00.900 --> 00:13:04.800]   the art of motorcycle maintenance jump forward to the 21st century.
[00:13:04.800 --> 00:13:08.700]   You can start with eat pray love then go onwards to the four-hour
[00:13:08.700 --> 00:13:12.000]   workweek which by the way was covering this exact issue the last
[00:13:12.000 --> 00:13:17.200]   time we went through this which was the post 9/11 recession and my
[00:13:17.200 --> 00:13:20.800]   generation the early Millennials entering the working world and
[00:13:20.800 --> 00:13:21.900]   trying to find their way.
[00:13:21.900 --> 00:13:25.500]   We had Tim Ferriss's version of lifestyle design.
[00:13:25.500 --> 00:13:30.000]   It's also covered by us here on the show and in my writing extensively
[00:13:30.000 --> 00:13:33.300]   when we talk about the deep life and lifestyle centric career planning
[00:13:33.300 --> 00:13:37.100]   and career capital and in the the method of intentionally trying to
[00:13:37.100 --> 00:13:40.600]   construct a life that is deep and how you have to be systematic and
[00:13:40.600 --> 00:13:42.000]   deploy lots of different angles at it.
[00:13:42.000 --> 00:13:43.300]   So it's it's not a topic.
[00:13:43.300 --> 00:13:44.400]   We're starting from scratch.
[00:13:45.300 --> 00:13:49.200]   The tick-tock crew kind of is so I think this is the the good news bad
[00:13:49.200 --> 00:13:54.100]   news. The good news is what a topic and I'm glad I think it's a serious
[00:13:54.100 --> 00:13:57.100]   topic and I'm glad it's getting attention with this particular group.
[00:13:57.100 --> 00:13:59.100]   The bad news is look if you start from scratch.
[00:13:59.100 --> 00:14:02.200]   I don't think you're going to catch up to throw anytime soon like people
[00:14:02.200 --> 00:14:03.100]   have thought about this.
[00:14:03.100 --> 00:14:06.900]   So you should pull from what is already out there.
[00:14:06.900 --> 00:14:09.900]   So I think this is an important topic.
[00:14:09.900 --> 00:14:15.000]   I'm glad it's being looked at this pandemic generation probably has
[00:14:15.000 --> 00:14:19.900]   had the most impetus to look at this topic that we've seen since I
[00:14:19.900 --> 00:14:20.200]   don't know.
[00:14:20.200 --> 00:14:25.100]   Maybe the Zen of the art of motorcycle maintenance sort of 1960s early
[00:14:25.100 --> 00:14:25.600]   70s.
[00:14:25.600 --> 00:14:30.600]   That's probably the last time we had a comparable disruption in culture
[00:14:30.600 --> 00:14:35.100]   evolution of culture that required a pretty serious re rethinking that
[00:14:35.100 --> 00:14:37.300]   eventually by the way led to the 1980s.
[00:14:37.300 --> 00:14:41.000]   We talked about this recently early 1990s notion of passion and following
[00:14:41.000 --> 00:14:44.600]   your passion and the bastardization of Campbell's follow your bliss,
[00:14:44.600 --> 00:14:46.900]   which has been the mixed bag and we're having another one of these
[00:14:46.900 --> 00:14:52.500]   evolutions now in the great rethink of induced by the pandemic is going
[00:14:52.500 --> 00:14:52.700]   on.
[00:14:52.700 --> 00:14:54.000]   We're trying to rethink these things.
[00:14:54.000 --> 00:14:58.700]   So I think quiet quitting is reflecting a good trend.
[00:14:58.700 --> 00:15:03.800]   Even if the details of these TikTok videos are easy to dismiss, I would
[00:15:03.800 --> 00:15:05.100]   say let's resist that urge.
[00:15:05.100 --> 00:15:09.600]   Yes, if you're going to look at 23 year olds posting 17 second videos,
[00:15:09.600 --> 00:15:10.400]   we can make fun.
[00:15:10.400 --> 00:15:12.700]   We can make ourselves feel smarter than everyone else.
[00:15:12.700 --> 00:15:17.300]   I think what we should do is see this as an opportunity to help a group
[00:15:17.300 --> 00:15:21.200]   a large group of dissatisfied and earnestly searching people.
[00:15:21.200 --> 00:15:25.100]   Find their way so they don't have to do this all from scratch.
[00:15:25.100 --> 00:15:29.100]   So my thoughts on quiet quitting Jesse.
[00:15:29.100 --> 00:15:31.800]   It seems like that would be a topic in both books that you're going to
[00:15:31.800 --> 00:15:32.100]   work on.
[00:15:32.100 --> 00:15:35.700]   Yeah, yes, this little productivity productivity, right?
[00:15:35.700 --> 00:15:39.100]   That seems like a even bigger product topic in your next book.
[00:15:39.100 --> 00:15:43.800]   Yeah, I think the deep life book is going to be a big topic is going to
[00:15:43.800 --> 00:15:44.600]   be a good match for this.
[00:15:44.600 --> 00:15:46.000]   I mean, it's all in the air right now.
[00:15:46.000 --> 00:15:52.700]   You know, and this happens every generation you get to a place
[00:15:52.700 --> 00:15:53.900]   economically things are going good.
[00:15:53.900 --> 00:15:55.100]   There's other concerns.
[00:15:55.100 --> 00:15:59.000]   You don't really think much about work and then and then once you get
[00:15:59.000 --> 00:16:03.200]   going something happens and you're like, well, what role is work supposed
[00:16:03.200 --> 00:16:03.700]   to have my life?
[00:16:03.700 --> 00:16:06.900]   What's going on here and people try to figure this out.
[00:16:06.900 --> 00:16:10.700]   So a slow productivity, how does it relate?
[00:16:10.700 --> 00:16:14.700]   Well, I mean, I think slow productivity is maybe a little bit more.
[00:16:14.700 --> 00:16:21.100]   Narrow in its attack on this topic, but slow productivity is saying what
[00:16:21.100 --> 00:16:24.700]   even are you going for when you say you want to be productive?
[00:16:24.700 --> 00:16:27.600]   Like what is your definition of a working life?
[00:16:27.600 --> 00:16:32.500]   Well executed and the argument there is that we we have these we don't
[00:16:32.500 --> 00:16:32.900]   think it through.
[00:16:32.900 --> 00:16:34.400]   We have these superficial definitions.
[00:16:34.400 --> 00:16:34.800]   I don't know.
[00:16:34.800 --> 00:16:38.000]   Busyness is better than less hustling is better than not hustling.
[00:16:38.000 --> 00:16:42.200]   I want to feel like I'm earning my keep but it's all very haphazard and
[00:16:42.200 --> 00:16:46.200]   a lot of what we actually do when we're trying to get after it quote
[00:16:46.200 --> 00:16:51.300]   unquote in our work is ironically counterproductive makes us more
[00:16:51.300 --> 00:16:51.800]   miserable.
[00:16:51.800 --> 00:16:54.800]   It's not maximizing useful output and so slow productivity is saying
[00:16:54.800 --> 00:16:57.500]   why don't we go back and rethink what we even mean by productivity,
[00:16:57.500 --> 00:17:00.300]   especially when it comes to knowledge work to try to find something
[00:17:00.300 --> 00:17:02.300]   that's more sustainable.
[00:17:02.300 --> 00:17:05.200]   That's going to make life more meaningful and it all is going to
[00:17:05.200 --> 00:17:05.800]   produce better stuff.
[00:17:05.800 --> 00:17:11.400]   So it's like a narrow first stab at the great rethink and then the deep
[00:17:11.400 --> 00:17:12.100]   life is much broader.
[00:17:12.100 --> 00:17:14.600]   The deep life is where you say, you know what we're going to move to
[00:17:14.600 --> 00:17:15.000]   Kentucky.
[00:17:15.000 --> 00:17:18.400]   So quiet quitting kind of helps like define it and then from there.
[00:17:18.400 --> 00:17:22.100]   Yeah, quiet quitting or quiet quitting is a response to the same
[00:17:22.100 --> 00:17:24.900]   underlying impetus that my books are coming out of which is people
[00:17:24.900 --> 00:17:27.200]   starting to rethink work.
[00:17:27.200 --> 00:17:28.800]   It's rolling their life and what they're trying to do with their life
[00:17:28.800 --> 00:17:29.400]   more generally.
[00:17:32.000 --> 00:17:34.000]   Alright, we got a couple good blocks of questions here.
[00:17:34.000 --> 00:17:37.100]   First, I want to talk about a new sponsor to the show that I'm excited
[00:17:37.100 --> 00:17:37.300]   about.
[00:17:37.300 --> 00:17:41.200]   And that is Henson shaving.
[00:17:41.200 --> 00:17:45.800]   This is the type of this is the type of thing I like.
[00:17:45.800 --> 00:17:46.100]   Okay.
[00:17:46.100 --> 00:17:48.000]   So here's the here's the idea here.
[00:17:48.000 --> 00:17:50.000]   I'm going to have a script but let me let me cut to the idea of what
[00:17:50.000 --> 00:17:51.000]   I'm really excited about here.
[00:17:51.000 --> 00:17:58.200]   This is a family-run business that specialize in really high-precision
[00:17:58.200 --> 00:18:01.100]   parts manufacturing for the aerospace industry.
[00:18:01.100 --> 00:18:04.100]   So they have manufactured pieces for the Mars Rovers.
[00:18:04.100 --> 00:18:07.400]   They've manufactured pieces for the International Space Station.
[00:18:07.400 --> 00:18:11.200]   They use these high-precision CNC routers that can build things to
[00:18:11.200 --> 00:18:12.800]   really precise specifications.
[00:18:12.800 --> 00:18:15.000]   So they had this idea.
[00:18:15.000 --> 00:18:17.200]   They're looking at the world of shaving.
[00:18:17.200 --> 00:18:21.900]   What they figured out is the problem in the world of shaving is the way
[00:18:21.900 --> 00:18:23.500]   the razors are mounted.
[00:18:23.500 --> 00:18:29.200]   If the razors are loose or too much of it is exposed it bends up and
[00:18:29.200 --> 00:18:29.300]   down.
[00:18:29.300 --> 00:18:30.400]   It's like a diving board.
[00:18:31.000 --> 00:18:33.500]   It moves up and down and that's what catches your skin.
[00:18:33.500 --> 00:18:36.000]   That's what causes irritation and nicks.
[00:18:36.000 --> 00:18:42.600]   And so they realized if you could build a really precise razor body.
[00:18:42.600 --> 00:18:46.500]   So the actual handle and thing at the end of the razor that could hold a
[00:18:46.500 --> 00:18:48.800]   standard razor blade perfectly.
[00:18:48.800 --> 00:18:55.200]   Firmly with with just the right amount showing then the blades become the
[00:18:55.200 --> 00:18:55.800]   easy part.
[00:18:55.800 --> 00:18:58.200]   10 cent standard blade is fine.
[00:18:58.200 --> 00:19:01.600]   All of the magic is in getting the precisely built handle and that's what
[00:19:01.600 --> 00:19:02.000]   they did.
[00:19:02.000 --> 00:19:09.000]   They designed this beautiful precision-generated metal shaving handle
