
[00:00:00.000 --> 00:00:04.120]   All the people who sold the war in Iraq, they lied us into war after a war.
[00:02:22.680 --> 00:02:31.760]   And then there's kind of like the Ron Paul brand of libertarianism, which is kind of distinct from that other camp, where they're much more of an emphasis on foreign policy.
[00:02:31.760 --> 00:02:37.060]   All of them kind of fall into the radical minarchist points of view.
[00:02:37.060 --> 00:02:41.080]   And then there's Rothbardian anarcho-capitalist.
[00:02:41.080 --> 00:02:47.200]   Then there's also like David Friedman, who's an anarcho-capitalist, but from a completely different perspective than Murray Rothbard.
[00:02:47.200 --> 00:03:00.360]   I would probably be most, I'm most closely like with the Rothbard school, which is very similar to Ron Paul, but even maybe a little bit further in that, you know, the very little bit of government that Ron Paul might support.
[00:03:00.360 --> 00:03:02.340]   But you've been a big fan of Ron Paul.
[00:03:02.340 --> 00:03:04.320]   Can you explain what you admire about him?
[00:03:04.320 --> 00:03:06.440]   A big fan is an understatement.
[00:03:06.440 --> 00:03:09.300]   I think Ron Paul is like the greatest living American hero.
[00:03:09.760 --> 00:03:17.660]   I revere him on the level of the founding fathers, Thomas Jefferson or George Washington.
[00:03:17.660 --> 00:03:30.440]   Number one, I mean, all of the major issues that he was correct in his understanding of them, his diagnosis of what caused these problems and his solutions.
[00:03:30.440 --> 00:03:44.440]   And in hindsight, there's just like a million different examples of where almost everybody today would agree, even though his ideas were very controversial at the time, be like, oh my God, if we had just listened to Ron Paul about that, we'd be so much better off.
[00:03:44.440 --> 00:04:11.820]   But I think there's something almost deeper than that about why Ron Paul inspires so much love from so many people is, okay, so number one, the guy, he was a champion of these views for decades when there was no payoff for it at all, where he was just kind of alone in the woods being, you know, they used to call him Dr. No, because, well, he was a medical doctor.
[00:04:11.820 --> 00:04:25.540]   And then he was, he would be the lone no vote in Congress, like all the time, like on the bills that the entire Congress bipartisan agreement, everything is, and there's one vote against it, you know, and that he would be that guy.
[00:04:25.540 --> 00:04:32.580]   He clearly kept doing what he was doing simply because he believed it was right, not because there was any benefit for him.
[00:04:32.580 --> 00:04:35.660]   In fact, he dealt with a lot of headaches for the views that he had.
[00:04:35.820 --> 00:04:38.560]   And then he was just a genuine person of integrity.
[00:04:38.560 --> 00:04:45.260]   You know, he's the only, uh, congressman who I've ever heard this about and, and like DC insiders, people on the Hill will say this.
[00:04:45.260 --> 00:04:51.540]   He was the only congressman of my lifetime who the lobbyists simply stopped visiting.
[00:04:51.920 --> 00:04:58.320]   He was the only one who they just stopped going to his office because they were just like, there's just no getting through to this guy.
[00:04:58.320 --> 00:05:00.620]   He was just not playing politics like that.
[00:05:00.620 --> 00:05:09.900]   And he was, you know, you, you imagine what it must've been like from like the lobbyist perspective when they first tried to go there, you know, and they'd be like, all right, listen, we really need you to, you know, vote yes on this or that.
[00:05:09.900 --> 00:05:13.480]   And he was like, the constitution doesn't authorize us to do that.
[00:05:13.480 --> 00:05:17.500]   And they're like, what, like who, who in this town even talks like that, you know?
[00:05:17.500 --> 00:05:22.340]   And so there was just, he's also just, I've, I've met him, uh, many times at this point.
[00:05:22.620 --> 00:05:35.240]   And he is just genuinely, he's like one of those guys who's just from like an older, better generation, just, he's the sweetest guy, but he's like, uh, but he's not a pushover.
[00:05:35.240 --> 00:05:45.980]   Like he was a tough guy in his day and he was an athlete and he was in the air force and is married to the same woman for, I think, over 60 years at this point has like a big, beautiful family.
[00:05:45.980 --> 00:05:47.620]   He was a country doctor.
[00:05:47.620 --> 00:05:50.760]   He was a baby doctor who delivered thousands of babies.
[00:05:50.760 --> 00:05:56.700]   Like he's just, it is, he's like this kind of classic American figure.
[00:05:56.700 --> 00:06:07.940]   And, um, you know, I just think, uh, you know, at the risk of, of falling into like hero worship or something like that, I do think he's a, I think he's a genuinely great man.
[00:06:07.940 --> 00:06:10.200]   And I think great men are to be revered.
[00:06:10.200 --> 00:06:10.760]   Yeah.
[00:06:10.760 --> 00:06:13.080]   As you said, there's integrity there.
[00:06:13.080 --> 00:06:15.260]   Can you speak to the ideas that Ron Paul represents?
[00:06:15.380 --> 00:06:23.460]   Like you said, some of the things he's been right about, maybe, can you speak about the economics, the fed and maybe war and being anti-military intervention?
[00:06:23.460 --> 00:06:32.520]   Well, I think it comes, it all came from kind of the same central thesis, which is that the highest political value ought to be liberty.
[00:06:32.520 --> 00:06:44.780]   Um, and, and that, you know, the government by its very nature is an instrument of force and tyranny and that therefore the more government you have, the less liberty you have.
[00:06:45.080 --> 00:06:55.020]   Um, I think he also was, he was way ahead of his time in, in like really calling out the corruption in DC.
[00:06:55.020 --> 00:07:02.420]   And I think that's one of the things that's kind of, that's, that it's a common through line between the federal reserve and, um, government spending.
[00:07:02.420 --> 00:07:18.040]   And of course this crazy war industry that our country has, um, there, so there, there's a lot of components to that, but essentially Ron Paul was talking about draining the swamp way before it was like this dominant mass message.
[00:07:18.040 --> 00:07:43.020]   And I think Ron Paul in many ways laid down, he laid the groundwork in his 2008 and 2012 presidential campaigns for not, not saying that he leads to Donald Trump, but he laid the groundwork for Donald Trump to be able to get up at the South Carolina Republican primary debate and look at Jeb Bush and say, your brother lied us into war.
[00:07:43.180 --> 00:07:58.460]   And you know what I mean? And, and, and, and to have the Republicans agree with him, you know, the same, these were a lot of the same people who had voted for George W. Bush twice and supported the war and even mocked their liberal, you know, fellow countrymen for not being on board with it.
[00:07:58.460 --> 00:08:06.480]   And, and a lot of that was the work that Ron Paul did and people waking up to, um, the, how, how messed up all these wars were.
[00:08:06.740 --> 00:08:21.200]   And I think that at least from there, there were a couple of major things for me. Okay. At the time. So I was like a, I was a young man when I first found Ron Paul, I was, I was in a 2007 was when I first saw him and then started obsessively reading all of his books.
[00:08:21.740 --> 00:08:37.680]   And so I, I was young. I'm born in 83. So what would that mean? 23, 24, uh, when I first found him. So I was a young guy. And at least for me at the time, there were like kind of two categories in my, you know, naive mind where, okay.
[00:08:37.680 --> 00:08:56.920]   There were like the liberals who supported big government at home, but were skeptical about, you know, big government abroad or they're skeptical about wars. And then there were the conservatives who said that they supported small government, limited government at home, but we're always on the side of whatever the next war is.
[00:08:56.920 --> 00:09:11.780]   And at least for me, and I think for a lot of people of my generation, Ron Paul was the first guy who came along and said like, no, I'm for limited government here and abroad. And it was kind of like a portal where you could like access a different perspective on the world.
[00:09:11.780 --> 00:09:30.980]   And then once you saw that, you were like, wait, that's actually what makes sense. It makes, it doesn't make sense to like, what are, what is it exactly that? Like, um, all the Ronald Reagan and George W. Bush and, and even like Milton Friedman and guys like that. And Thomas Sowell. And the, it's like, you want a constitutionally limited world empire.
[00:09:31.500 --> 00:09:57.720]   Like, that's what you guys stand for. Cause that doesn't, that doesn't fit together at all. And so why is it that we took, we were taking this as a given. And then of course, the more you, you look into it, you realize that like, okay, there, those two things do make sense together. And then also that kind of like the, in the initial wave of like the original progressives, you know, look, people like Woodrow Wilson or FDR, these were people who were pushing big government at home and big government abroad.
[00:09:57.720 --> 00:10:09.080]   And that actually made much more sense as a cohesive worldview. And to oppose that would be the Ron Paul worldview. And then the other thing for me, and this was actually, this was my introduction to Ron Paul.
[00:10:09.080 --> 00:10:39.060]   And this too, to me was like kind of a portal in a way. It was, it was a way, at least in my naive, not fully functioned brain or fully developed brain at 24 years old or whatever. Um, it was a way for me to kind of get like, like I tapped into something that was outside the empire and I had, um, I had heard a lot, you know, I was already against George W. Bush and I didn't like the war. I could, I, I had already figured out, you know, I think this, I think this war in Iraq is bullshit.
[00:10:39.160 --> 00:10:58.400]   And I think that we were lied into it. And so I kind of got that. And then there were, there were liberals and, and left-wingers who I knew, I grew up in New York city. So I was very familiar with the left-wing perspective and who are critical of, of George W. Bush and, and for fighting the war and, and, you know, signing the Patriot Act into law and things like that.
[00:10:59.060 --> 00:11:24.060]   But I had never really heard anybody break it down the way Ron Paul did when he was, when he basically was like, look, there's a reason why these terrorists hate us. And it's not what they're telling you. They don't hate us for our freedom. It's not as if I remember the way Pat Buchanan put it, which I always loved was he goes, uh, he's a Dick Cheney makes it sound like Osama bin Laden stumbled on, like in the deserts of Afghanistan.
[00:11:24.060 --> 00:11:35.520]   He stumbled onto a copy of our bill of rights somewhere. And he was like, Oh my God, they're free to look at this speedy trial. Are you kidding me? Like, this is like, what is going on here?
[00:11:35.520 --> 00:12:01.520]   They can own guns and their women can wear mini skirts. And that, and that just made people so angry that they were ready to, you know, like suicide bomb themselves. And like, that makes no sense at all. And then Ron Paul was just like, no, look, here's the thing. If we think we can just go around the world, killing people, propping up dictatorships, putting our military bases in the, the Muslims, holy land and not engender hatred from that. Then we do that at our own peril.
[00:12:01.520 --> 00:12:20.520]   And I thought that was, it was such an interesting kind of, you know, it had always been, I I'm an eighties and nineties kid. And to me, it was always kind of a given that like America's number one, we're the force for good in the world. And we're, and it was like an interesting introduction to the idea that there are people outside of that.
[00:12:20.520 --> 00:12:37.520]   Who are dominated by that, who don't care for it very much. And like that, that's what nine 11 was actually about. And for me, you know, I was living in New York city. I was 18, I think when nine 11 happened. And that was like the moment of my childhood. It was a huge thing to live through.
[00:12:37.520 --> 00:12:52.520]   I mean, we were attacked. This seemed like something that could only happen in a history book that didn't happen to America in the nineties. 2001 was basically the nineties. Um, and, uh, and it was just like, Oh, finally it clicked. It was like, that makes sense.
[00:12:52.520 --> 00:13:03.520]   It's the first time I had ever heard like an explanation and an understanding of this whole thing that we're involved in now from nine 11 to the terror wars that actually just made perfect sense.
[00:13:03.520 --> 00:13:20.520]   Yeah. We should also say that there's some degree of truth that the battle is not just militaristic. It's also cultural. And then many of those parts of the world don't want other people's values forced onto them.
[00:13:20.520 --> 00:13:47.520]   Right. But the way that George W. Bush and Dick Cheney and every right wing host in America and Sean Hannity and Bill O'Reilly and like everybody, what they were saying is that they hate that we're free. Whereas it was much closer to saying like, they don't like us imposing on them. Even like all the hardcore neocons, Brett Stevens, the New York times, he wrote this piece on the 20th anniversary of the invasion of Iraq.
[00:13:47.520 --> 00:14:15.520]   So, uh, 2023 to cheerlead the war in Iraq. And he goes through the whole piece and there's not one mention of the million people who died in the war. You know, he literally just goes, the pieces just measure life under Saddam Hussein verse life or under the Shiite parliamentary system that they have now, which one's better. And I, he's arguing this one's better. Therefore it was worth it. But there's like no mention. It's like, okay, but what about the 20 plus million people who were displaced?
[00:14:15.520 --> 00:14:43.280]   What about the million people who were killed? What about all the millions of people who were injured? What about the tens of thousands of our soldiers who have blown their brains out in the aftermath of the thing? Like, it's like, so, so many times this true and with government policy in general, people talk about like the end result that they want, but you're like, yeah, but what about the process by which you get there and how much hatred, you know, could you, I mean, like I, you know, it's, it's not that hard for me to like put myself in, in other people's shoes.
[00:14:43.520 --> 00:14:55.520]   And like, I have two little kids and a wife. And if anybody were to ever try to argue to me that they have to be the eggs that get broken to make some bigger omelet, like it's okay.
[00:14:55.520 --> 00:15:03.340]   Like, you know, we're ultimately going to impose something on your society. That's better than what you have right there. It sure does suck that your wife and kids got to be the one who get taken out.
[00:15:03.340 --> 00:15:26.920]   I mean, I'm, as I'm just saying this to myself and this is not real, this is just a thought experiment I'm making up. I'm already pretty close to being a terrorist. Like my next thought is kind of like, well, okay, well, I hope you're going to like it when you watch your family die in front of you. You know, now I'm not, hopefully, even if that happened to me, I wouldn't go kill that guy's family. Like maybe I'd just go after him or something.
[00:15:27.340 --> 00:15:38.340]   But I could understand. And I think most people who have kids could understand go going to a level of like the, the most evil, dark place you could imagine.
[00:15:38.340 --> 00:15:42.720]   If something ever, everyone ever threatened or actually did something to your kids.
[00:15:42.720 --> 00:15:50.340]   Yeah. We'll have to remember the thing that's difficult to measure that you just mentioned, which is the hate that's created by every bomb that's dropped.
[00:15:50.340 --> 00:16:06.180]   It was a general McChrystal who, you know, was the general running the war in Afghanistan. He wasn't like, he wasn't Ron Paul. You know what I mean? Like he was a sir. Yes, sir. How do we fight and win this war general? And he's the one who coined the term insurgent math.
[00:16:06.340 --> 00:16:19.160]   10 minus two equals 20. You know, it's like the more you, the more you keep, I was just reading, I was rereading about this the other day, um, because of the, uh, you know, Trump's been bombing, uh, the Houthis in Yemen.
[00:16:19.340 --> 00:16:44.340]   And. You know, it was like when, when we first, I think it was in, in, at least in 2009 is when Obama really stepped up the drone campaign with the then secret drone bombing campaign. And the Yemen was one of the major theaters. And even back then, when it really was just a w it was a war on terrorism. Like the main targets were always Al Qaeda in the Arabian Peninsula. And their presence in Yemen.
[00:16:44.340 --> 00:16:57.340]   Yemen even then, like, so before the Saudis invaded. So like from 2009 through 2015, AQAP just kept growing. It was doing all these targeted bombing campaigns and they call them targeted.
[00:16:57.340 --> 00:17:09.340]   50% of the people are innocent who get killed, but they call them targeted drone bombings. And they, and, and Al Qaeda in the Arabian Peninsula just kept getting bigger and bigger because you know, it's like, yeah, every time you go in there, it's like, okay, you took out one target.
[00:17:09.340 --> 00:17:21.340]   And then you took out three little girls and you know, a few, and every one of those little girls had brothers and uncles and fathers and you know, and, and all of them just signed up to join the fight now.
[00:17:21.340 --> 00:17:33.340]   Cause you know, and Ron Paul was the first one who really made this click for me, but it's in a way. And I'm not like, I'm not a leftist. I'm not an egalitarian. I'm not a cultural relativist.
[00:17:33.340 --> 00:17:47.340]   I'm not saying that all cultures are the same or that we all look at the world the same way. There's enormous differences between all of us. And I personally think some are better than others, but there are things that unite all of us. And in a weird way.
[00:17:47.340 --> 00:18:17.320]   It's I remember one time I was arguing with a Democrat guy on a S E cup show. I used to be a contributor on, on her show and we were arguing and it was after it was after a terrorist attack here in New York, a fairly minor one. It was like a guy, like, I think he hit someone with his car and then jumped out with a gun. And then the cops lit him up and killed him. Um, this is like back in 2017, I think. And he, he claimed to be ISIS inspired. I don't, I don't remember if there was like a direct connection or not, but they were, you
[00:18:17.320 --> 00:18:47.240]   at the time they were like, doesn't this mean we got to step up the war in Iraq or in Syria where ISIS is stronghold is. And I remember the guy saying to me, he goes, uh, you know, I went off on how these wars have been disasters. And he goes, yeah, but Dave, what you're saying here is we're supposed to do nothing. Like this just happened. And now we're supposed to do nothing. And so like, even though this guy had a suit and tie on and we're in a cable news studio and we're in a first world country, we're in the United States of America. And we're having that. The basic thing that he's saying is like, what do you say?
[00:18:47.240 --> 00:19:17.160]   You're saying we're not going to go kill some motherfuckers. You know, like, I mean, he's, he was just putting it as like, do something, but what's something, something is dropping bombs on human beings. You know, when like, yeah, some innocent people are going to die, but okay. But it's the same thing. It's the same after nine 11. We're like, we got to go fucking invade some countries right now. That's the same impulse. It's like they killed some of our people. You think we're not going to show them who the real killers are. You think there's a chance that you could come here and, and that is like the most human instinct ever.
[00:19:17.160 --> 00:19:35.040]   It's like some other tribe just came in here and killed some people in our tribe. So what do you want to do about that? Well, I don't know. It's not going to take me too long to figure out. We're gonna go kill a bunch of people in their tribe. And I do think that like, that is, I think that's the major motivating factor for both sides of the Israel Palestine conflict.
[00:19:35.160 --> 00:19:50.160]   I think that's the major motivator for both sides of the war on terror conflict. And it's like, that's, it's in a way, when you look at it like that, there's something, even though it's so dark and tragic, there's something almost beautiful about it where you're like, oh, we're all caught in this same cycle.
[00:19:50.160 --> 00:20:06.160]   Yeah. It's deeply human. The, the warring between tribes, but you know, especially in the recent years, but more and more through human history, there's almost like a third party, which is this military industrial complex, which is making money from the two tribes.
[00:20:06.160 --> 00:20:21.160]   So if you just have two tribes, one, I've been reading a lot about Genghis Khan. If, uh, this is why Genghis Khan banned this. It was very common in, uh, in Mongolia before Genghis Khan to steal people's wives. Like you're my wife now.
[00:20:21.160 --> 00:20:25.160]   Right. And he, he realized that that creates a lot of conflict.
[00:20:25.160 --> 00:20:43.160]   That seems natural and human, that kind of conflict. But when, whenever you, uh, third party rolls in and starts making money on the whole thing and then driving that forward, then the escalation of the conflict comes with this whole machine that makes deescalation really difficult.
[00:20:43.160 --> 00:21:09.160]   Yeah. The military industrial complex in America. It's so big and it's so sophisticated and it's so, so it's not just that there's, you know, um, you know, there's this, there's the intelligence agencies, there's the weapons manufacturers. Then there's the like people in the media who are either directly or indirectly just parroting, you know what I mean? All of their talking points.
[00:21:09.160 --> 00:21:38.160]   And so it's not just that you can kind of like, like you make money when there's a conflict, but you have this entire apparatus to like create the conflict and then create the public sentiment for that. And then we're, and it's interesting. We're, we're in an interesting place. Cause we're kind of in this like new frontier of now where shows like this can happen. And there's a lot of them. And a lot of them are humongous like yours. Um, but for so long.
[00:21:38.160 --> 00:22:03.160]   It, this just didn't exist. And it was just like, Oh, like for so long, it was the case that like the New York times and NBC and CBS and ABC and the Washington post and the associated press, I guess they could just move the nation. I mean, if they wanted to be like, Hey, there is the, the idea that forget even like after nine 11, the idea that in.
[00:22:03.160 --> 00:22:20.280]   1990, 1991, that there was any organic movement from the American people going, you know, we really got to see about the Saddam Hussein guy. You know, uh, the, uh, dictator in Iraq is having a slant drilling dispute with the, uh, Amir of Kuwait.
[00:22:20.920 --> 00:22:34.920]   We really got to do something about that. Like that is not something that organically came from any, that was not like a few soccer moms hanging out, you know, watching their kids game being like, I really do think, I think in a couple of years, we're going to have to send these boys over to Iraq.
[00:22:34.920 --> 00:22:51.920]   To get like, that's not, they just from the top down, we're able to create this feeling that like, Hey, there's a new Adolf Hitler on the rise over here in Iraq. We got to go see about this. There are these poor people in Kuwait. We have to do that. You know, like there's, they were able to create.
[00:22:52.920 --> 00:23:12.520]   This desire for war, um, that was, it's, it's really incredible when you think about it, because there's for, I think for the most part in human history, you would have had to have some type of plausible threat, some type of plausible reality to convince people that we actually have to go to war.
[00:23:12.920 --> 00:23:26.220]   Um, in, in, in order to deal with this, whereas like, you know, the United, the idea that in 1991, the United States of America would feel threatened by Iraq was just ridiculous. And yet they were able to do it.
[00:23:26.220 --> 00:23:37.660]   Well, so to push back a little bit throughout human history, there was also a thing. You look at the Roman empire where just the culture of values are different, where military conquest was seen as a good thing.
[00:23:37.860 --> 00:23:49.560]   So like, we just almost assume in the United States, war has been framed in the defensive sense, like where offensive war, we're not doing that anymore.
[00:23:49.560 --> 00:24:02.720]   You make a fair point. It's certainly true that throughout human history, there's been, um, there's been like overt, um, empire building and wars of conquest and things like that.
[00:24:02.800 --> 00:24:11.420]   But I guess I'm just saying at least even there, you would have some type of cell of like, why we're going to go take these resources and why that will be good for us.
[00:24:11.420 --> 00:24:22.160]   Whereas the idea that they're like Kuwait just needed to be defended by the Americans seems so, it seems so hard to convince anybody.
[00:24:22.160 --> 00:24:23.660]   And yet they were able to do it.
[00:24:23.900 --> 00:24:39.440]   If you read like neocon writing in the nineties, it was very interesting, um, because they would, they would tell the truth a lot more, uh, and they were essentially, I think there was the Soviet union had just collapsed.
[00:24:39.560 --> 00:24:42.860]   It was what, what Charles Krattenhamer dubbed the unipolar moment.
[00:24:42.860 --> 00:24:45.300]   There was like a lot of, there was excitement.
[00:24:45.300 --> 00:24:47.000]   There was a feeling of invincibility.
[00:24:47.000 --> 00:24:56.160]   Um, and also the neocons weren't in power and after 92, really, I mean, they had a little, they were in the George H.W. Bush administration, but after 92, they really weren't.
[00:24:56.160 --> 00:25:01.380]   So they're just writing at these think tanks and it just didn't seem as, you know, like they weren't as guarded.
[00:25:01.380 --> 00:25:04.980]   There weren't like these accusations of you're a war criminal or something like that.
[00:25:04.980 --> 00:25:19.300]   But what he said, uh, what Jonah Goldberg agreed with was that every, uh, I think the statement was every 10 years or so, America's got to find a puny little country and put them up against the wall just to let the rest of the world know that we mean business.
[00:25:19.300 --> 00:25:22.100]   And that was actually their mentality.
[00:25:22.100 --> 00:25:23.880]   I'm sure there's people that agree with that.
[00:25:24.040 --> 00:25:30.940]   I happen to disagree with that, but the, the drums of war beating a little bit over Taiwan and China more than a little bit.
[00:25:30.940 --> 00:25:31.240]   Yeah.
[00:25:31.240 --> 00:25:33.740]   But there, I can't even see a justification of a just war.
[00:25:33.740 --> 00:25:36.320]   What is the longterm benefit to society?
[00:25:36.320 --> 00:25:50.760]   If you do military intervention, I, well, I also think this, and I've, I've been saying this for a while, but I do think there is this, like, um, there, there's like this empire mentality that Americans have got to shake off.
[00:25:51.080 --> 00:25:59.820]   Like, as if it's even a question of whether we should allow it or not, like, are we in a position to allow or not allow that?
[00:25:59.820 --> 00:26:05.460]   Why do we, it's, it's almost like if you were, um, you know, like I, I don't, I hope China doesn't invade Taiwan.
[00:26:05.700 --> 00:26:08.020]   I hope Taiwan remains as free as possible.
[00:26:08.020 --> 00:26:09.700]   I hope China becomes free.
[00:26:09.700 --> 00:26:15.580]   I root for freedom and prosperity for everyone, you know, but I also root for like everybody to have a healthy marriage.
[00:26:15.580 --> 00:26:23.080]   But if you were like, if you were talking to me and you were like, Hey, the guy down the street is cheating on his wife.
[00:26:23.520 --> 00:26:25.380]   Like, I don't think we can allow this.
[00:26:25.380 --> 00:26:28.520]   I'd immediately be like, that's really not my place.
[00:26:28.520 --> 00:26:30.720]   And then on top of that, I also have no power.
[00:26:30.720 --> 00:26:33.480]   I have no authority over what they do in their marriage.
[00:26:33.480 --> 00:26:40.280]   Like I have to be concerned with my marriage and the idea that like, imagine if there were the political will.
[00:26:41.340 --> 00:26:44.260]   To, uh, invade Mexico.
[00:26:44.260 --> 00:26:49.560]   Like if DC decided we're taking Mexico city, like that's what, that's going to be part of America now.
[00:26:49.560 --> 00:26:50.560]   And we're taking it by force.
[00:26:50.560 --> 00:26:55.060]   And then China was like, we're not sure if we can allow this.
[00:26:55.060 --> 00:27:04.520]   I think immediately most Americans would be like, allow, like, how the fuck do you think you're going to stop us from taking Mexico city?
[00:27:04.520 --> 00:27:06.040]   What are you going to do, China?
[00:27:06.040 --> 00:27:10.760]   You're going to send your Navy ships over here to fight us off the coast of Mexico.
[00:27:10.960 --> 00:27:12.260]   Good luck with that.
[00:27:12.260 --> 00:27:23.080]   And, and at least from my understanding in almost all the war games that they've run, if we did militarily, even if it doesn't come to nuclear weapons being used, in which case the whole world gets blown up.
[00:27:23.080 --> 00:27:34.840]   But even if we go to militarily try to stop China from invading Taiwan and no one, everyone agrees to not use nukes and we just fight a conventional war, we lose that war every time.
[00:27:34.840 --> 00:27:40.580]   I think what you said applies to a lot of the wars we've been involved in, but China and Taiwan is a little bit different.
[00:27:40.580 --> 00:27:43.180]   a little bit different because, because of TSMC.
[00:27:43.180 --> 00:27:45.300]   Because there's an economic dependence.
[00:27:45.880 --> 00:27:50.380]   And if that was the concern, then the response would be, we need some type of Manhattan project.
[00:27:50.380 --> 00:27:56.500]   And I'm not supporting a government project here, but there would be, we need some type of Manhattan project to say, we're going to make these things here.
[00:27:56.500 --> 00:27:57.260]   We can't.
[00:27:57.260 --> 00:28:03.500]   And look, I, I was running that experiment before saying like, what if we all pinky promise not to use nuclear weapons or something like that?
[00:28:03.680 --> 00:28:06.000]   But that's not the reality of the situation.
[00:28:06.000 --> 00:28:15.740]   The more reality, look, even in, in Ukraine, everybody, the biggest talks, the biggest pushers of this policy and Joe Biden policy to fund Ukraine.
[00:28:15.900 --> 00:28:27.660]   No one's suggesting we send in the 82nd airborne, which is really the only thing that could repel the Russians right now and restore, you know, Ukrainian, the, the original sovereignty of the Ukrainian borders.
[00:28:27.660 --> 00:28:33.200]   But no one's suggesting we send in the 82nd airborne because we all know, well, we can't have a direct war with Russia.
[00:28:33.380 --> 00:28:34.680]   That's the end of the world.
[00:28:34.680 --> 00:28:36.020]   And same thing with China.
[00:28:36.020 --> 00:28:45.740]   So, you know, I'm not saying microchips or whatever aren't important, but there's, we can find other ways to, Taiwan is not magical.
[00:28:45.740 --> 00:28:48.120]   Like we can produce these things in other places.
[00:28:48.120 --> 00:28:48.440]   No.
[00:28:48.440 --> 00:28:52.060]   So you have the humility to say that you don't really know much about the situation.
[00:28:52.060 --> 00:28:56.380]   It sounds ridiculous to say, but there's something magical about not Taiwan, but DSMC.
[00:28:56.380 --> 00:29:02.340]   It's incredibly difficult to manage the supply chain and manufacture at such a low cost that they are.
[00:29:02.340 --> 00:29:12.760]   And to add to that, China has been signaling about the one China policy, but you're absolutely right that you shouldn't be doing the, the Washington thing of beating the drums of war.
[00:29:12.760 --> 00:29:20.960]   That's like the completely the counterproductive thing there should, you should actually try to find partnerships with China, build friendships and cooperation.
[00:29:20.960 --> 00:29:24.180]   Like India is doing a good job of this, like build friendships.
[00:29:24.180 --> 00:29:27.480]   This is the 21st century conflict.
[00:29:28.020 --> 00:29:36.140]   This cold war thinking is going to be destructive to the economy, destructive to humanity, to the flourishing of the individual nations of the world.
[00:29:36.140 --> 00:29:39.720]   There's just nothing positive except making money for the military.
[00:29:39.720 --> 00:29:40.180]   Well, yeah.
[00:29:40.180 --> 00:29:43.200]   And it was totally destructive during the original cold war too.
[00:29:43.380 --> 00:29:51.520]   Um, and almost led to nuclear war on a couple of different occasions, but look, I would just say, and I, I really, I'm no defender of the Chinese regime.
[00:29:51.520 --> 00:29:57.120]   I hate communism and fascism, whatever they are, some hybrid mix of, of the two.
[00:29:57.120 --> 00:29:58.240]   They're paying you, aren't they?
[00:29:58.240 --> 00:29:58.800]   Yeah.
