
[00:00:00.000 --> 00:00:13.000]   Carlos Esteban:
[00:02:41.500 --> 00:02:46.480]   levels, like I have tech leads on our team that themselves are true experts in BrainTrust,
[00:02:46.480 --> 00:02:50.360]   someone like me that might not be necessarily executing experiments, but I'm in the platform
[00:02:50.360 --> 00:02:54.340]   every day, and then a whole host of data labelers and specialists that work out of the platform
[00:02:54.340 --> 00:02:56.560]   as well, which we'll talk about.
[00:02:56.560 --> 00:03:01.540]   So, who here has used Notion?
[00:03:01.540 --> 00:03:02.540]   Okay.
[00:03:02.540 --> 00:03:03.540]   Love it.
[00:03:03.540 --> 00:03:05.540]   Who here has used Notion AI?
[00:03:05.540 --> 00:03:06.540]   Okay.
[00:03:06.540 --> 00:03:07.960]   Some sales opportunities.
[00:03:07.960 --> 00:03:11.080]   So, what is Notion AI?
[00:03:11.080 --> 00:03:12.020]   Oh, that's me.
[00:03:12.020 --> 00:03:15.460]   I've been at Notion for about 10 months, as I said.
[00:03:15.460 --> 00:03:20.700]   Notion, this idea, for those of you that didn't raise your hand, is a connected workspace.
[00:03:20.700 --> 00:03:22.140]   What are we connecting?
[00:03:22.140 --> 00:03:28.600]   We're everything from workplace management, asynchronous work, documents, but we also connect to third-party
[00:03:28.600 --> 00:03:31.100]   tools like Slack and Jira and Google Drive.
[00:03:31.100 --> 00:03:35.720]   We have 100 million users, over 100 million users now.
[00:03:35.720 --> 00:03:40.420]   And something that's really important to note about Notion AI is we offer a free trial of all
[00:03:40.420 --> 00:03:42.300]   of our AI products, almost all of them.
[00:03:42.300 --> 00:03:44.500]   And what does that mean?
[00:03:44.500 --> 00:03:47.700]   It means that the scale that we build for has to support that scale.
[00:03:47.840 --> 00:03:53.420]   So, if you looked at the balance of who raised their hands, right, maybe not every user is an active
[00:03:53.420 --> 00:03:57.220]   Notion AI user, but the scale in which we support Notion AI, we want to offer it.
[00:03:57.220 --> 00:04:02.560]   So, a new feature, for instance, like concurrently might have far more users than paid enterprise
[00:04:02.560 --> 00:04:04.480]   plan users or people in our business plan.
[00:04:04.480 --> 00:04:08.200]   And I like to think we're known for our exceptional customer experience.
[00:04:08.200 --> 00:04:13.560]   We're certainly a design-driven company, which is to say that we care deeply about our product,
[00:04:13.560 --> 00:04:16.500]   and there's a lot of polish that's associated with the brand.
[00:04:17.080 --> 00:04:20.300]   And polish is not often associated with Gen AI experiences.
[00:04:20.300 --> 00:04:27.500]   So, how do you add that level of polish and care into what you're building while still building
[00:04:27.500 --> 00:04:31.280]   at the speed and rate of acceleration that exists in the industry, right?
[00:04:31.280 --> 00:04:36.040]   For instance, we're very proud that we partner with a lot of foundation model providers.
[00:04:36.040 --> 00:04:37.580]   We also fine-tune our own models.
[00:04:37.580 --> 00:04:43.240]   Anytime a new model is released, within usually less than a day, we're able to give that to all
[00:04:43.240 --> 00:04:44.280]   of our users in production.
[00:04:45.080 --> 00:04:50.220]   In order to move at that pacing, but still have a polished product, you need to have evals,
[00:04:50.220 --> 00:04:53.500]   and you need to have integration with a product like BrainTrust.
[00:04:53.500 --> 00:04:56.440]   So, here's our latest launch.
[00:04:56.440 --> 00:05:01.420]   This was two weeks ago, a suite of projects that we just launched with AI.
[00:05:03.420 --> 00:05:05.640]   No audio, but I'll give you a little voiceover.
[00:05:05.640 --> 00:05:10.100]   So, AI meeting notes is kind of our first.
[00:05:10.100 --> 00:05:22.640]   So, we now have text-to-speech, or speech-to-text, excuse me, along with transcription AI generated summaries,
[00:05:22.640 --> 00:05:27.900]   and fairly soon you'll be able to see those also interact with your task database, your whole workspace,
[00:05:27.900 --> 00:05:31.060]   workspace awareness, when talking about action items.
[00:05:31.060 --> 00:05:36.740]   We have an enterprise search product that, when you're searching, can search across everything.
[00:05:36.740 --> 00:05:45.160]   I use this constantly, particularly in stand-ups, when they're talking about Slack threads that are like 50 messages deep that I stopped following at 10 p.m.
[00:05:45.160 --> 00:05:49.420]   I can use Notion AI, and for much deeper searches, we have a deep research tool.
[00:05:49.420 --> 00:05:55.380]   That deep research executes parallel searches, serves a lot of our fine-tuned agentic capabilities,
[00:05:55.380 --> 00:06:07.940]   and is kind of our first transition out of workflows into agents, where rather than having like a set list of tasks or flows that your AI program is running through,
[00:06:07.940 --> 00:06:13.680]   now we're giving it the reasoning capability to decide on different tools and spend longer on the work that it's doing.
[00:06:14.480 --> 00:06:15.940]   So that's Notion AI for work.
[00:06:15.940 --> 00:06:22.560]   That's the latest suite that we built, and I'll talk a little bit about what we've learned as we've built this latest suite,
[00:06:22.560 --> 00:06:25.520]   and as well, older generation Notion AI products.
[00:06:25.520 --> 00:06:27.800]   Let's see.
[00:06:27.800 --> 00:06:30.920]   No, we already watched that.
[00:06:30.920 --> 00:06:34.780]   Okay.
[00:06:34.780 --> 00:06:39.680]   So, believe it or not, Notion AI actually came out before ChatGPT.
[00:06:39.680 --> 00:06:43.520]   That's kind of its own story that none of you are here to hear about,
[00:06:43.660 --> 00:06:49.360]   but we had early access to the generative models and always believed that content generation was core to how Notion worked.
[00:06:49.360 --> 00:06:52.020]   So our first product launched right around the same time.
[00:06:52.020 --> 00:06:53.580]   It was called the AI Writer.
[00:06:53.580 --> 00:06:58.660]   It allowed you to generate just in line, you know, write a sentence about XYZ, right?
[00:06:59.060 --> 00:07:01.500]   From there, we started building Autofill.
[00:07:01.500 --> 00:07:04.960]   Autofill is our AI kind of agent that lives in every database property.
[00:07:04.960 --> 00:07:06.280]   Notion allows you to have databases.
[00:07:06.280 --> 00:07:17.100]   Now, all of a sudden, the AI is not just acting on the page, but is acting across the database and is triggered frequently and is doing things like translating things so that every column is in a different language.
[00:07:17.100 --> 00:07:26.620]   This is where we started seeing a lot of usage that was more unpredicted from our users, and it's around the same time that we also started building a core AI team.
[00:07:27.220 --> 00:07:29.140]   Then we built kind of a natural rag solution.
[00:07:29.140 --> 00:07:43.480]   This was kind of the, I should say, like, the first time that we had, like, a full data platform AI full collaboration, and this is where we started offering, for instance, Q&A to, like, free users.
[00:07:43.480 --> 00:07:45.020]   So we have to have embeddings for everyone.
[00:07:45.020 --> 00:07:47.820]   We have to think about multilingual workspaces, things like that.
[00:07:47.820 --> 00:07:52.240]   And then now we get to the era where we started working with Braintrust.
[00:07:52.240 --> 00:07:54.160]   So you saw you could search across all apps.
[00:07:54.160 --> 00:07:56.580]   We launched the idea to have attachments.
[00:07:56.580 --> 00:08:00.620]   A lot of people use Notion as file storage, or they'll upload things to Notion.
[00:08:00.620 --> 00:08:02.060]   We can search over those attachments.
[00:08:02.060 --> 00:08:04.520]   And finally, the things that we just talked about.
[00:08:04.520 --> 00:08:10.380]   So one thing I want to note is that we didn't start with what I just showed you, and I think that would have been quite naive.
[00:08:10.940 --> 00:08:13.860]   Obviously, with the technology we have today, that would have been quite easy.
[00:08:13.860 --> 00:08:19.280]   But we also knew that we didn't have the technology to build those things yet, and we worked really with where the models were most capable.
[00:08:19.280 --> 00:08:23.480]   What makes it hard to evaluate?
[00:08:23.480 --> 00:08:27.060]   So number one, these are exceptionally large data sets.
[00:08:27.060 --> 00:08:31.380]   Notion's really lucky because we use Notion constantly when we work on Notion.
[00:08:31.380 --> 00:08:36.580]   And so we can generate a lot of training data or evaluation data just from our own dogfooding.
[00:08:37.020 --> 00:08:42.420]   I think that's actually one of the unique advantages that allows us to be one of the more fast-paced enterprise AI solutions.
[00:08:42.420 --> 00:08:46.480]   Similarly, our human evaluators were just exceptionally overwhelmed.
[00:08:46.480 --> 00:08:50.200]   Like, how do they look at – I think we were – like, they were working in Google Sheets.
[00:08:50.200 --> 00:08:52.620]   I think we hired them even before we onboarded Notion.
[00:08:52.620 --> 00:08:56.420]   We have data specialists, and they were looking at this, like, dump in Google Sheets
[00:08:56.420 --> 00:09:04.540]   and trying to figure out how to parse the prompt with, like, a Google Sheet formula, right, and figure out what did the user actually say, how do I play with a few shots.
[00:09:04.540 --> 00:09:06.220]   It's very involved.
[00:09:06.460 --> 00:09:20.280]   And I think anyone that utilizes human labelers well – and it's also been proven in research – is that, particularly when it comes to fine-tuning but also iteration, quality is much more important than quantity in terms of the insights and things that you extract.
[00:09:20.280 --> 00:09:30.500]   And so we definitely needed a scalable, efficient solution to support how we were looking at our data and also keeping track of user feedback, all of the thumbs-downs that we were getting in the development usage.
[00:09:31.500 --> 00:09:35.060]   So this is kind of what our iteration cycle looks like.
[00:09:35.060 --> 00:09:37.940]   So let's say that we want to decide on an improvement.
[00:09:37.940 --> 00:09:44.120]   So, for instance, let's say that we wanted to launch a JIRA connector in our universal search product, right?
[00:09:44.120 --> 00:09:46.180]   What does it mean to query on JIRA?
[00:09:46.180 --> 00:09:52.480]   How do I have my AI even figure out what's a task, what's a sprint, how to query from the JIRA workspace?
[00:09:52.480 --> 00:09:56.460]   We then curate targeted data sets from that workspace.
[00:09:57.200 --> 00:10:01.760]   You'll hear me keep mentioning these data specialists for much smaller enterprises.
[00:10:01.760 --> 00:10:02.940]   That might be your PM.
[00:10:02.940 --> 00:10:05.800]   I would highly encourage it to also be your engineer.
[00:10:05.800 --> 00:10:08.120]   It should be the people that are closest to the data.
[00:10:08.120 --> 00:10:16.220]   We're at a scale now where we have a specialty that's kind of like an LLM trainer that's a mix of a PM and a data analyst and a data annotator.
[00:10:16.220 --> 00:10:17.300]   Those are our data specialists.
[00:10:17.300 --> 00:10:23.940]   But they are creating, just from logs and using a product and prototype, handcrafted data sets.
[00:10:24.740 --> 00:10:26.720]   Those can be 10 things, right?
[00:10:26.720 --> 00:10:32.200]   But I would actually, let's pause, make it 10 things first and make sure that it's formatted the way that you want.
[00:10:32.200 --> 00:10:39.600]   We have definitely done the bad thing of creating lots and lots and lots of dummy data, and it's not structured the way we want, and that's a real pain.
[00:10:39.600 --> 00:10:46.000]   So first is like making sure everything is structured and your data flywheel is set up successfully to get insights that you might want.
[00:10:46.800 --> 00:10:48.820]   Then we tie them to scoring functions.
[00:10:48.820 --> 00:10:53.100]   Scoring functions should come after you've looked at the data for a long time.
[00:10:53.100 --> 00:10:55.300]   There are a lot of out-of-the-box scoring functions.
[00:10:55.300 --> 00:10:56.500]   We don't use them frequently.
[00:10:56.500 --> 00:10:59.640]   We tend to use things that are specific to the product.
[00:10:59.640 --> 00:11:03.300]   I'll talk a bit about the LLM as a judge process that we use.
[00:11:03.300 --> 00:11:05.200]   That's probably what we rely on the most.
[00:11:05.200 --> 00:11:07.700]   But there are also a lot of things that are heuristic-based.
[00:11:07.700 --> 00:11:20.760]   So, for instance, if I have, if I want to make sure that my reasoning model triggers querying from Jira appropriately, everything in that data set, that tool call should have in its query must be Jira, right?
[00:11:20.760 --> 00:11:23.640]   And so we can also make deterministic functions.
[00:11:23.640 --> 00:11:31.420]   Similarly, we have a data set of places where there are multiple languages happening, and we know what the output language should be.
[00:11:31.420 --> 00:11:34.300]   So, for instance, Toyota's a large customer of ours.
[00:11:34.300 --> 00:11:36.560]   Toyota might be working in Japanese and English.
[00:11:36.560 --> 00:11:41.800]   Someone might be asking questions in Japanese, but the output might be like, write me a paragraph about XYZ.
[00:11:41.800 --> 00:11:48.620]   They're asking in Japanese, and, like, the lucky job of the product team is to figure out what language they actually want the response to be, right?
[00:11:48.620 --> 00:11:50.140]   It's a hard problem to have.
[00:11:50.140 --> 00:12:01.860]   We'll have a data set of those as a curated brain trust data set so we can, before we ship anything, run that eval and make sure that we don't break the multilingual language context switching experience, right?
[00:12:01.860 --> 00:12:07.800]   So for certain experiences, we actually run the eval as kind of like an ad hoc CI experience.
[00:12:07.800 --> 00:12:10.200]   I think there are some companies that actually integrate in CI.
[00:12:10.200 --> 00:12:11.780]   We don't do that currently, but you could.
[00:12:12.840 --> 00:12:16.820]   That's more just to do with how long it takes to run the evals and how CI is built at Notion.
[00:12:16.820 --> 00:12:19.720]   Everyone submitting code would run evals, and that would be a lot.
[00:12:19.720 --> 00:12:23.260]   We inspect the results, and then we keep working.
[00:12:23.260 --> 00:12:27.200]   The other thing I'll say is it's not just engineers that are on brain trust.
[00:12:27.200 --> 00:12:32.500]   Because of that, we often will have, like, our PMs in brain trust working very closely.
[00:12:33.040 --> 00:12:39.080]   So, for instance, for that research mode product, we found that people were trying to draft reports much more than they were just trying to do research.
[00:12:39.080 --> 00:12:46.240]   And we found that by looking through all of that thumbs-down data that was propagated into brain trust from internal dev usage.
[00:12:46.240 --> 00:12:54.360]   That's something that we could escalate to our PM, but we also want the product thinkers and the designers to be thinking about that as, like, a first-class citizen.
[00:12:54.840 --> 00:13:02.600]   You can think of this as your version of UXR, right, is to actually see what the model is doing well and how people end up wanting the model to do different things for them.
[00:13:02.600 --> 00:13:09.980]   And then in terms of that feedback by development, I want to talk a little bit about the LLM-as-a-judge system.
[00:13:09.980 --> 00:13:13.580]   There's kind of two components that I've seen pretty prominently in industry.
[00:13:13.580 --> 00:13:19.900]   One is LLM-as-a-judge in which you have one prompt, which judges everything in your data set.
[00:13:19.900 --> 00:13:22.760]   So, for instance, is this information concise?
[00:13:23.360 --> 00:13:24.820]   Is this information faithful?
[00:13:24.820 --> 00:13:27.840]   Those are very common types of LLM-as-a-judge prompts.
[00:13:27.840 --> 00:13:34.280]   There's another version of it, which is a little bit more laborious from a creation standpoint, but I find to be far more insightful,
[00:13:34.280 --> 00:13:42.040]   which is for every single element in your data set or trace or whatever it is that you're evaluating, you have a particular prompt.
[00:13:42.040 --> 00:13:46.540]   So, for instance, I might write a prompt that says, this answer should be in Japanese.
[00:13:46.540 --> 00:13:52.520]   The bullets should be formatted this way, and it should answer XYZ and point to page A, right?
[00:13:52.840 --> 00:14:05.760]   This is because, obviously, Levenstein distance isn't going to do a very good job of capturing the expected value to what we want, but we actually know exactly what we want the output to look like, and we don't want to have too conservative of a prompt that will always break.
[00:14:05.760 --> 00:14:09.900]   For instance, just having a golden piece of data saying this is what the output should look like.
[00:14:09.900 --> 00:14:12.080]   We actually just say, like, what are the rules for what we want?
[00:14:12.080 --> 00:14:16.760]   This works really well with search evals, actually, because our index is always changing.
[00:14:16.760 --> 00:14:24.760]   When we want to reevaluate how search retrieval goes, we say the first result should be the most recent element in the list about the Q1 offsite, right?
[00:14:24.820 --> 00:14:32.160]   And maybe since we redid that, maybe since we created that element in our data set, there's a new document about the Q1 offsite that wasn't what was in our golden set.
[00:14:32.160 --> 00:14:35.180]   This allows your golden set to be much more up-to-date and current.
[00:14:37.180 --> 00:14:46.060]   Yeah, and so I highly suggest that, and that's actually what our data specialists run, and what's really nice about it, as I mentioned earlier, our ability to switch to new models.
[00:14:46.060 --> 00:15:02.180]   This can output a score that's far more reliable, and from that score, we can quickly understand if a new model has any serious regressions, and this allows us to, given our modular infrastructure of different prompts for different tasks and different models for different prompts,
[00:15:02.180 --> 00:15:11.660]   we can really quickly say, "Okay, Nano came out. Nano was a fairly effective model that's very fast, maybe lower reasoning, and very cheap.
[00:15:11.660 --> 00:15:17.860]   What are kind of the high-frequency use cases where we don't need advanced reasoning, but we do want it to be able to run quickly?
[00:15:17.860 --> 00:15:26.780]   Let's gather those, and with one button, run all of the evals on them, see which prompts it does or doesn't do well on, and then quickly just change to those prompts, you know?"
[00:15:26.980 --> 00:15:37.260]   And that cycle can become very fast, and that allows us to stay at the top of the frontier in a way that I think has really been advantageous for us as a customer and, more importantly, for our users.
[00:15:38.860 --> 00:15:44.940]   And the outcomes have been crazy. I don't think that we could exist without Braintrust or a similar type of software today.
[00:15:44.940 --> 00:15:48.740]   It is critical to our iteration flow, and it actually is our IP.
[00:15:48.740 --> 00:15:55.940]   So everything that we build, the IP comes from how we evaluate it and how we build it, and that comes from where we build on top of Braintrust.
[00:15:55.940 --> 00:16:04.580]   Obviously, we have prompts that are like a series of strings, and obviously we have code that navigates through them, but how we decide if those work well is just as critical,
[00:16:04.780 --> 00:16:08.980]   and how we decide on model selection, and all of that lives inside of Braintrust.
[00:16:08.980 --> 00:16:13.660]   Similarly, our AI product quality has skyrocketed because now we have observability.
[00:16:13.660 --> 00:16:17.060]   60% of Notion Enterprise users aren't speaking English.
[00:16:17.060 --> 00:16:21.020]   I will tell you, 100% of Notion AI engineers are speaking English.
[00:16:21.020 --> 00:16:25.060]   So how do we build something that works for a majority non-English speakers?
[00:16:25.260 --> 00:16:31.260]   We have to use rigorous evaluation metrics that understand that multi-lingual experience.
[00:16:31.260 --> 00:16:33.460]   I think that was the last slide I prepared.
[00:16:33.460 --> 00:16:37.260]   I want to save some time to answer any questions that you guys might have.
[00:16:37.260 --> 00:16:41.180]   Yeah, I think there's a mic if you want to, or you can just scream it, and I'll repeat it.
[00:16:41.180 --> 00:16:42.980]   That might be faster.
[00:16:42.980 --> 00:16:44.340]   You had a question?
[00:16:44.540 --> 00:16:53.140]   So for the LLM judge, so what you're saying is actually you guys have multiple judges, and each responsible for a tiny thing to check?
[00:16:53.140 --> 00:17:02.140]   Yeah, the question was for LLMs as a judge, she wanted to clarify that we have multiple judges, each responsible for a smaller thing.
[00:17:02.140 --> 00:17:02.940]   The answer is yes.
[00:17:03.140 --> 00:17:11.020]   Let's think about it in terms of scope of what they're evaluating and magnitude of number of samples that they're evaluating.
[00:17:11.020 --> 00:17:13.740]   Usually we have a variety.
[00:17:13.740 --> 00:17:20.740]   Sometimes we have like a one-to-one mapping where for a single thumbs-down output, we just have a prompt that is shared with no one else.
[00:17:20.740 --> 00:17:22.460]   And that's what we engineer.
[00:17:22.460 --> 00:17:29.220]   We have some layers on top of brain trust that make that easier for our data specialists to write that work with the brain trust SDK.
[00:17:29.580 --> 00:17:37.020]   But we have that, and then we also have LLMs as a judge that will operate on top of everything that's in that data set.
[00:17:37.020 --> 00:17:45.020]   You'll learn more in the workshop, the distinctions with like data sets themselves and logs, but data sets are hand-curated, and it can be just one aspect of your trace.
[00:17:45.020 --> 00:17:52.200]   So in an AI interaction, you can have like five LLM calls that happen between the user and like the Notion AI response.
[00:17:52.200 --> 00:17:54.900]   We can extract just one of those and put it in a data set.
[00:17:54.900 --> 00:17:55.940]   Yeah.
[00:17:55.940 --> 00:17:56.860]   Yeah.
[00:17:57.160 --> 00:18:05.600]   Have you tried doing any like automated prompt optimization, or is it generally like you'll have to go manually through a person, go look at the results, and then update them?
[00:18:05.600 --> 00:18:07.940]   The question was about automated prompt optimization.
[00:18:07.940 --> 00:18:10.140]   The answer is yes, we have played with it.
[00:18:10.140 --> 00:18:15.960]   I'm not sure that a majority of our problems are as solved by that as they could be in other workplace contexts.
[00:18:15.960 --> 00:18:19.400]   I've been to like dinners and events where I've heard massive success from it.
[00:18:19.400 --> 00:18:21.100]   Maybe we haven't cracked it yet.
[00:18:21.100 --> 00:18:24.080]   A lot of people have, but we've played with it.
[00:18:24.400 --> 00:18:25.400]   One quick question.
[00:18:25.400 --> 00:18:25.400]   Yeah.
[00:18:25.400 --> 00:18:31.840]   What's your process of aligning the thumbs up, thumbs down, with the scoring function?
[00:18:31.840 --> 00:18:35.720]   Yeah, the question was about aligning thumbs up, thumbs down with scoring functions.
[00:18:35.720 --> 00:18:38.720]   They don't.
[00:18:38.920 --> 00:18:43.460]   I mean, so a majority of things in our data set were things that are either thumbs up or thumbs down.
[00:18:43.460 --> 00:18:51.720]   Sometimes it's just legally how it works, because we have a process with some alpha users where that's the only way they give us permission to look at their data for evaluation purposes.
[00:18:52.480 --> 00:19:00.860]   We don't really rely on thumbs up for anything, except for maybe internal Notino's thumbs upping things is like good golden data for fine tuning, but we don't really rely.
[00:19:00.860 --> 00:19:05.900]   There's like no consistency in what makes someone thumbs up something, so we don't look at that that closely.
[00:19:05.900 --> 00:19:15.080]   And for thumbs down data, it's more just that this is a functionality that we know we didn't do our best work on, but that thumbs down could have been given in September of 2023.
[00:19:15.480 --> 00:19:28.240]   And so we don't perform how we did in September 2023, so it doesn't necessarily align with the LLM as a judge, because that's judging a particular experiment, not what the production user experience was at that time.
[00:19:28.240 --> 00:19:34.260]   And that's what makes this really powerful, because we don't just need to look at what our output was in September 2023, right?
[00:19:34.260 --> 00:19:41.360]   Our data can be far more robust and last much longer, because really what we're getting from the thumbs down is the natural language request from the user.
[00:19:41.620 --> 00:19:45.920]   Everything else we can re-modify. We know the state of their workspace and what their request was.
[00:19:45.920 --> 00:19:52.240]   Everything else, you know, we, as our server code changes, changes the output of the LLM and the engine.
[00:19:52.240 --> 00:19:56.840]   Any other questions? Yeah?
[00:19:56.840 --> 00:20:01.380]   For the LLM as a judge, is the scoring more like binary or is it on a scale?
[00:20:01.380 --> 00:20:04.760]   Yeah, the question was if LLM as a judge scoring as binary or a scale.
[00:20:04.760 --> 00:20:07.100]   I'll tell you like the honest answer in practice.
[00:20:07.520 --> 00:20:12.500]   I believe that we do it as a scale, and I don't think that scale is very well calibrated.
[00:20:12.500 --> 00:20:16.560]   And I believe that we just grab everything that's less than a certain score and look at them as all equal.
[00:20:16.560 --> 00:20:19.160]   That's just like how we do it.
[00:20:19.160 --> 00:20:25.040]   I'm sure that there are technical ways that I've read about people that run it multiple times and calibrate their LLMs as a judge.
[00:20:25.240 --> 00:20:27.500]   For us, we still have humans look through those outputs.
[00:20:27.500 --> 00:20:38.080]   We actually will take the failures and pass them into another LLM and ask them to summarize what the failures are so that we can write a quick report for the engineer working on it to see because we have thousands of samples.
[00:20:38.080 --> 00:20:44.080]   So then we actually look at those deltas and pass it to another LLM to tell us what the biggest themes and difference were.
[00:20:44.980 --> 00:20:46.120]   Yeah, that's how we do it.
[00:20:46.120 --> 00:20:54.520]   I actually think there's been a lot of academic research on that calibration, but it has not been necessary for us from an investment perspective, so we haven't worked on it much.
[00:20:54.520 --> 00:21:20.840]   Yeah, the question was about pairwise combinations versus just saying yes or no.
[00:21:20.840 --> 00:21:23.960]   It depends on the experiment that we're doing.
[00:21:23.960 --> 00:21:37.360]   Oftentimes, if we're experimenting between two methodologies, yes, or if the control is particularly important, like this is what's in prod, and I don't want to break prod, then we will use that kind of A-B setup.
[00:21:37.360 --> 00:21:51.100]   If it's the development cycle that I talked about earlier, where we're still in dev or we're still just with alpha customers, and we don't know what the golden experience is, and we're far more comfortable breaking things, we're much less likely to use that type of setup.
[00:21:51.100 --> 00:21:53.640]   But Braintrust actually has a great UI for letting you do both.
[00:21:53.640 --> 00:21:54.620]   Yeah.
[00:21:54.620 --> 00:22:02.260]   I'm curious if you have a process around figuring out what criteria to judge for you as a feature.
[00:22:02.260 --> 00:22:06.280]   Is there any best practices, or is it thinking?
[00:22:06.280 --> 00:22:08.360]   The question was about criteria to judge as a feature.
[00:22:08.360 --> 00:22:11.640]   I mean, I'm sure there are best practices.
[00:22:11.640 --> 00:22:21.140]   I think for us, the reminder, so like, you know, there's thousands of these, and then they live in this ether, and it's maintained by the people that wrote them,
[00:22:21.140 --> 00:22:24.500]   and then they take on a lot of power, right?
[00:22:24.500 --> 00:22:31.320]   And very few people actually investigate the losses, and that's really risky for building a robust enterprise application.
[00:22:31.320 --> 00:22:39.180]   So things that we've learned, lessons that we've learned, because that, and I see some people nodding, you can imagine how that's a little bad sometimes.
[00:22:39.180 --> 00:22:43.140]   For instance, we used to use them just to catch specific regressions.
[00:22:43.140 --> 00:22:45.940]   It's like, we have a special markdown format that works with Notion.
[00:22:45.940 --> 00:22:55.460]   We just used them for formatting at first, and we'd be like, has to, you know, be consistent with our markdown and news bullet points, and has to talk about this topic.
[00:22:55.460 --> 00:23:00.940]   All of a sudden, we weren't catching that it would, like, switch languages, because that's true in that prompt, right?
[00:23:01.140 --> 00:23:10.980]   And so then, when you start relying on it to catch everything, or to be like a yes for something, then you have a problem where you're over-reliant on it, and you're not catching regressions.
[00:23:10.980 --> 00:23:14.620]   So there's kind of two approaches that I would suggest that make that successful.
[00:23:14.620 --> 00:23:21.600]   One, actually, goes back to your very intuitive question, which is having it for a particular task.
[00:23:21.600 --> 00:23:23.960]   So we have a particular task of markdown formatting.
[00:23:23.960 --> 00:23:26.280]   We have a particular task of language following.
[00:23:26.280 --> 00:23:29.260]   We don't assume that they can do everything.
