
[00:00:00.000 --> 00:00:03.240]   (upbeat hip hop music)
[00:03:28.220 --> 00:03:29.060]   - I don't know.
[00:03:29.060 --> 00:03:31.080]   I can't imagine, like only even playing in college,
[00:03:31.080 --> 00:03:32.520]   I can't imagine lifting after a game.
[00:03:32.520 --> 00:03:33.360]   But good job.
[00:03:33.360 --> 00:03:35.740]   - The shoot around, yeah, the games,
[00:03:35.740 --> 00:03:37.280]   the shoot around is probably a little bit longer
[00:03:37.280 --> 00:03:38.440]   in the NBA than college.
[00:03:38.440 --> 00:03:40.840]   Then you play, then you gotta lift.
[00:03:40.840 --> 00:03:42.640]   And yeah, like I just said,
[00:03:42.640 --> 00:03:45.120]   it's hardest when you have a really bad game
[00:03:45.120 --> 00:03:47.640]   and then you have to get yourself to go stick to your routine
[00:03:47.640 --> 00:03:48.760]   and go lift after.
[00:03:48.760 --> 00:03:49.600]   That's tough.
[00:03:49.600 --> 00:03:50.800]   - That is tough.
[00:03:50.800 --> 00:03:53.080]   I just wanna go home and sleep.
[00:03:53.080 --> 00:03:56.160]   So people wanted you to expand on that article
[00:03:56.160 --> 00:03:58.280]   that kinda came out towards the end of the series
[00:03:58.280 --> 00:04:00.360]   about your back and your injuries.
[00:04:00.360 --> 00:04:02.460]   They just wanted to like hear in your own words
[00:04:02.460 --> 00:04:05.280]   kind of a little bit of expansion on that.
[00:04:05.280 --> 00:04:06.120]   - On that article?
[00:04:06.120 --> 00:04:09.640]   Yeah, I mean, that's one of the main articles
[00:04:09.640 --> 00:04:11.600]   that have come out kind of on my story
[00:04:11.600 --> 00:04:14.680]   leading up into the NBA
[00:04:14.680 --> 00:04:16.840]   and then my journey through the NBA
[00:04:16.840 --> 00:04:18.520]   through all these injuries.
[00:04:18.520 --> 00:04:20.440]   But yeah, I mean, long story short,
[00:04:20.440 --> 00:04:22.740]   for people that really haven't heard my story,
[00:04:22.740 --> 00:04:26.720]   yeah, been playing basketball my whole life,
[00:04:26.720 --> 00:04:28.720]   really came really easy to me.
[00:04:28.720 --> 00:04:31.800]   I remember I first got ranked,
[00:04:31.800 --> 00:04:33.920]   I think I was ranked like 25th in the country
[00:04:33.920 --> 00:04:35.440]   in like eighth grade.
[00:04:35.440 --> 00:04:37.800]   But ever since then I was rising, rising, rising
[00:04:37.800 --> 00:04:40.640]   till eventually I was the number one player in the country
[00:04:40.640 --> 00:04:44.080]   my junior year and senior year.
[00:04:44.080 --> 00:04:46.000]   And so a lot of expectations come with that.
[00:04:46.000 --> 00:04:48.520]   Like you're expected to be the number one draft pick,
[00:04:48.520 --> 00:04:50.360]   all these things.
[00:04:50.360 --> 00:04:52.480]   I remember when I committed to Mizzou,
[00:04:52.480 --> 00:04:55.240]   like season tickets sold out the same day that I committed,
[00:04:55.240 --> 00:04:57.280]   like everyone was super, super excited.
[00:04:57.280 --> 00:05:01.160]   And then I got hurt.
[00:05:01.160 --> 00:05:04.040]   I kind of been dealing with a few back things
[00:05:04.040 --> 00:05:05.160]   throughout high school.
[00:05:05.160 --> 00:05:07.000]   They first kind of started
[00:05:07.000 --> 00:05:09.000]   when I tried to dunk on somebody in a practice
[00:05:09.000 --> 00:05:11.040]   with a MoCam, my AU team,
[00:05:11.040 --> 00:05:13.600]   and I fell from real high up on my back.
[00:05:13.600 --> 00:05:15.380]   And then like it just wasn't feeling right,
[00:05:15.380 --> 00:05:17.840]   but I didn't give it a lot of time to rest to recover.
[00:05:17.840 --> 00:05:21.240]   So it just kind of kept getting worse
[00:05:21.240 --> 00:05:23.880]   over the next year or two, until I went to Mizzou
[00:05:23.880 --> 00:05:25.600]   and something happened.
[00:05:25.600 --> 00:05:27.160]   I think I saw a chiropractor or something
[00:05:27.160 --> 00:05:28.680]   and they messed it up worse.
[00:05:28.680 --> 00:05:31.040]   And so I ended up having to get the surgery.
[00:05:31.040 --> 00:05:34.120]   So that came with its own set of challenges,
[00:05:34.120 --> 00:05:38.680]   always thinking you were gonna go to college and dominate
[00:05:38.680 --> 00:05:41.680]   and then be number one draft pick, all these things.
[00:05:41.680 --> 00:05:43.440]   That's what really came easy to me.
[00:05:43.440 --> 00:05:44.600]   - Well, especially like you just said,
[00:05:44.600 --> 00:05:47.440]   you sold out the whole arena, that's insane.
[00:05:47.440 --> 00:05:48.400]   And then all those people,
[00:05:48.400 --> 00:05:50.600]   it's like they bought tickets to see you.
[00:05:50.600 --> 00:05:53.240]   - Yeah, they bought tickets to see me.
[00:05:53.240 --> 00:05:55.000]   And I brought some of my friends
[00:05:55.000 --> 00:05:56.720]   in the recruiting class with me.
[00:05:56.720 --> 00:05:58.400]   And all summer I'm balling,
[00:05:58.400 --> 00:05:59.920]   I'm dealing with some back pain, but I'm balling,
[00:05:59.920 --> 00:06:01.680]   I'm ready to go for the season.
[00:06:01.680 --> 00:06:02.800]   And that first game,
[00:06:02.800 --> 00:06:04.120]   I remember I'm going through layup lines
[00:06:04.120 --> 00:06:07.920]   and I just couldn't, I didn't feel right at all,
[00:06:07.920 --> 00:06:08.760]   couldn't jump.
[00:06:08.760 --> 00:06:11.680]   And that was my first time dealing with the back stuff.
[00:06:11.680 --> 00:06:14.360]   So I didn't really know how bad it was.
[00:06:14.360 --> 00:06:16.120]   I was just trying to play through a lot of pain.
[00:06:16.120 --> 00:06:18.560]   But I remember going up to dad
[00:06:18.560 --> 00:06:19.400]   and I just told my dad like,
[00:06:19.400 --> 00:06:21.560]   "I can't play, I can't jump off my leg."
[00:06:21.560 --> 00:06:23.760]   And then he was like,
[00:06:23.760 --> 00:06:26.560]   "Well, it's a nationally televised game.
[00:06:26.560 --> 00:06:27.600]   We need you to start,
[00:06:27.600 --> 00:06:30.480]   but you can come out after the first play."
[00:06:30.480 --> 00:06:33.560]   So I remember, yeah, one play went by,
[00:06:33.560 --> 00:06:35.200]   I actually got a bucket,
[00:06:35.200 --> 00:06:39.080]   a lucky, like a little put back little bucket.
[00:06:39.080 --> 00:06:39.920]   And then I came out
[00:06:39.920 --> 00:06:42.120]   and then my season was pretty much over.
[00:06:42.120 --> 00:06:43.320]   That was the first.
[00:06:43.320 --> 00:06:45.960]   So I ended up getting the first surgery after that,
[00:06:45.960 --> 00:06:47.240]   trying to recover,
[00:06:47.240 --> 00:06:49.200]   probably sped up that recovery
[00:06:49.200 --> 00:06:52.120]   to try to come back for the NCAA tournament.
[00:06:52.120 --> 00:06:54.280]   Ended up trying to play in that,
[00:06:54.280 --> 00:06:55.880]   but probably messed it up again.
[00:06:55.880 --> 00:06:57.960]   So then I'm trying to,
[00:06:57.960 --> 00:06:58.960]   I think I messed it up again,
[00:06:58.960 --> 00:07:01.200]   'cause I, again, I didn't let my body recover.
[00:07:01.200 --> 00:07:04.280]   And then I got drafted way later than I thought.
[00:07:04.280 --> 00:07:06.760]   That whole draft night was very tough for me
[00:07:06.760 --> 00:07:09.120]   just because I'm seeing all these guys
[00:07:09.120 --> 00:07:10.160]   get drafted before me
[00:07:10.160 --> 00:07:12.120]   that I'm thinking that I'm better than.
[00:07:12.120 --> 00:07:15.600]   Which actually, I feel like our draft class
[00:07:15.600 --> 00:07:17.400]   is gonna end up being one of the best.
[00:07:17.400 --> 00:07:19.800]   Like so many of those guys that got drafted
[00:07:19.800 --> 00:07:22.540]   are ending up having really, really good careers.
[00:07:22.540 --> 00:07:26.080]   But yeah, so that happened.
[00:07:26.080 --> 00:07:28.360]   So the draft night was not what I dreamed of
[00:07:28.360 --> 00:07:29.820]   and all this stuff.
[00:07:29.820 --> 00:07:30.660]   But in that article,
[00:07:30.660 --> 00:07:31.920]   I was just talking about like,
[00:07:31.920 --> 00:07:34.080]   through all these things I've been through,
[00:07:34.080 --> 00:07:38.720]   yeah, like you look back on time sometimes
[00:07:38.720 --> 00:07:40.800]   and you can see the blessings that come out of it.
[00:07:40.800 --> 00:07:42.640]   Like I got drafted to Denver
[00:07:42.640 --> 00:07:45.880]   and it was the last place I thought I was gonna go.
[00:07:45.880 --> 00:07:48.360]   But I think I'm the first one out of my draft class
[00:07:48.360 --> 00:07:50.320]   that's won a championship, you know what I mean?
[00:07:50.320 --> 00:07:51.280]   And that wouldn't have happened
[00:07:51.280 --> 00:07:52.480]   if maybe I went to another team.
[00:07:52.480 --> 00:07:53.600]   You know, there's so many blessings
[00:07:53.600 --> 00:07:57.920]   that came out of the situation that God put me in.
[00:07:57.920 --> 00:08:00.040]   But that was what the article was about.
[00:08:00.040 --> 00:08:01.540]   Yeah, my journey has not been easy,
[00:08:01.540 --> 00:08:03.920]   but it's cool to be able to inspire people
[00:08:03.920 --> 00:08:06.000]   that maybe you wouldn't have had a chance to inspire
[00:08:06.000 --> 00:08:07.560]   if everything just went smooth.
[00:08:07.560 --> 00:08:08.400]   - For sure.
[00:08:08.400 --> 00:08:11.820]   What was one of your biggest learning moments
[00:08:11.820 --> 00:08:13.320]   when you came into the league?
[00:08:13.320 --> 00:08:16.240]   - One of my biggest learning moments.
[00:08:16.240 --> 00:08:23.520]   I think that series that Phoenix swept us,
[00:08:23.520 --> 00:08:29.440]   Jamal had gotten hurt, I think earlier that year.
[00:08:29.440 --> 00:08:31.920]   So we didn't have Jamal in that series,
[00:08:31.920 --> 00:08:34.120]   but they ended up sweeping us.
[00:08:34.120 --> 00:08:38.680]   And that was like, that was an embarrassing playoff series.
[00:08:38.680 --> 00:08:42.060]   Like we knew we had to be in the gym that summer.
[00:08:42.060 --> 00:08:44.380]   We knew we didn't want to feel that again.
[00:08:44.380 --> 00:08:45.740]   I think we had beat the Trailblazers
[00:08:45.740 --> 00:08:49.300]   and then we had lost to the Suns and we got swept.
[00:08:49.300 --> 00:08:51.460]   And that was not a good feeling,
[00:08:51.460 --> 00:08:52.720]   being swept in the playoff series.
[00:08:52.720 --> 00:08:53.780]   'Cause I've always been a winner.
[00:08:53.780 --> 00:08:54.780]   Like ever since I was young,
[00:08:54.780 --> 00:08:59.140]   I feel like I've won at every level, you know, AAU National.
[00:08:59.140 --> 00:09:01.020]   Like every championship really feels the same.
[00:09:01.020 --> 00:09:04.020]   Of course the NBA championship is like amazing,
[00:09:04.020 --> 00:09:05.540]   but it's the same feeling you get
[00:09:05.540 --> 00:09:07.160]   when you win a high school championship.
[00:09:07.160 --> 00:09:10.100]   It's just the more people are watching,
[00:09:10.100 --> 00:09:12.020]   but anytime you win, it feels great.
[00:09:12.020 --> 00:09:15.800]   So I've always won championships since I was like young.
[00:09:15.800 --> 00:09:18.060]   So to get swept in the playoffs
[00:09:18.060 --> 00:09:21.300]   was like the most embarrassing thing to me.
[00:09:21.300 --> 00:09:24.380]   And so to be able to get Phoenix this past year
[00:09:24.380 --> 00:09:27.620]   in a great series, you know, they're a really good team,
[00:09:27.620 --> 00:09:29.180]   felt really good.
[00:09:29.180 --> 00:09:31.700]   - Okay, so how do you block out the negative comments
[00:09:31.700 --> 00:09:35.180]   that come with just being kind of in the limelight?
[00:09:35.180 --> 00:09:38.580]   - Yeah, man, one thing about our day and age
[00:09:38.580 --> 00:09:41.580]   is people, it seems like people get off on hating.
[00:09:41.580 --> 00:09:43.620]   Like it don't matter how good you're doing in life.
[00:09:43.620 --> 00:09:45.780]   Like there's so many haters.
[00:09:45.780 --> 00:09:48.140]   All these people want to have burners accounts
[00:09:48.140 --> 00:09:51.180]   and things like that and just talk negatively.
[00:09:51.180 --> 00:09:53.920]   I mean, it's really hard to block out.
[00:09:53.920 --> 00:09:55.020]   Everyone sees it.
[00:09:55.020 --> 00:09:58.120]   If you're a player, I mean, you can distance yourself.
[00:09:58.120 --> 00:09:59.340]   You can get off of social media.
[00:09:59.340 --> 00:10:01.380]   You can get off of Twitter and things,
[00:10:01.380 --> 00:10:04.140]   but you still, you know, people in the street
[00:10:04.140 --> 00:10:05.400]   or people whenever, like.
[00:10:05.400 --> 00:10:08.740]   So I mean, it's hard to block out.
[00:10:08.740 --> 00:10:11.220]   I think you kind of got to get mentally strong enough
[00:10:11.220 --> 00:10:14.120]   to just realize that's part of it.
[00:10:14.120 --> 00:10:16.180]   And a lot of guys in the NBA struggle
[00:10:16.180 --> 00:10:18.660]   with some of the mental stuff
[00:10:18.660 --> 00:10:20.460]   just because they've been a man their whole life.
[00:10:20.460 --> 00:10:22.980]   So they always were praised and things like that.
[00:10:22.980 --> 00:10:24.260]   And then when you get to a point
[00:10:24.260 --> 00:10:25.900]   where you're playing 82 games,
[00:10:25.900 --> 00:10:28.180]   you have good games, bad games.
[00:10:28.180 --> 00:10:30.100]   So many people saying different comments about you.
[00:10:30.100 --> 00:10:31.240]   Now money's involved.
[00:10:31.240 --> 00:10:35.300]   So people are talking about your contract
[00:10:35.300 --> 00:10:36.720]   or this or that.
[00:10:36.720 --> 00:10:39.580]   It can be a lot, but I just think at the end of the day,
[00:10:39.580 --> 00:10:41.380]   we get paid a lot to play a sport.
[00:10:41.380 --> 00:10:42.860]   Like our job is not that difficult.
[00:10:42.860 --> 00:10:44.900]   The worst thing about your job is people on the outside
[00:10:44.900 --> 00:10:48.000]   just running their mouth and saying things about you.
[00:10:48.000 --> 00:10:50.900]   And that makes you want to like quit or go in a shell.
[00:10:50.900 --> 00:10:54.140]   Like you just got to, you got to check yourself
[00:10:54.140 --> 00:10:56.820]   because no one's opinion should have that big
[00:10:56.820 --> 00:10:57.660]   of an effect on you.
[00:10:57.660 --> 00:11:00.300]   And I think for me, I just realized at a young age,
[00:11:00.300 --> 00:11:01.740]   like I'm looking at all these superstars
[00:11:01.740 --> 00:11:03.560]   and there's still people talking negatively about them.
[00:11:03.560 --> 00:11:05.240]   Like growing up watching Kobe,
[00:11:05.240 --> 00:11:06.720]   people still talk crazy about him.
[00:11:06.720 --> 00:11:07.740]   You know, Russell Westbrook,
[00:11:07.740 --> 00:11:10.820]   one of the best players of all time.
[00:11:10.820 --> 00:11:13.700]   Like people talk crazy about him at times in his career.
[00:11:13.700 --> 00:11:15.700]   Like LeBron, it doesn't matter who you are.
[00:11:15.700 --> 00:11:17.520]   Giannis, if he misses a couple of free throws,
[00:11:17.520 --> 00:11:19.340]   people are bashing him.
[00:11:19.340 --> 00:11:21.940]   So it's like the higher up you get
[00:11:21.940 --> 00:11:24.480]   and the better you get,
[00:11:24.480 --> 00:11:26.700]   there's going to be more people saying things about you.
[00:11:26.700 --> 00:11:29.180]   But if there's so many people saying things about you,
[00:11:29.180 --> 00:11:30.380]   that means you're doing something right.
[00:11:30.380 --> 00:11:32.780]   I know that's like, that's cliche, but that's true.
[00:11:32.780 --> 00:11:33.620]   - It is true.
[00:11:33.620 --> 00:11:34.640]   'Cause I do feel like what you're saying,
[00:11:34.640 --> 00:11:36.660]   like the higher the level you get to,
[00:11:36.660 --> 00:11:37.500]   the louder the noise is.
[00:11:37.500 --> 00:11:38.900]   Like if you're like, no offense,
[00:11:38.900 --> 00:11:39.900]   but someone like on the bench,
[00:11:39.900 --> 00:11:41.660]   like there's not like much to say,
[00:11:41.660 --> 00:11:42.620]   but like the more you're doing
[00:11:42.620 --> 00:11:45.340]   and the more like people are looking at you,
[00:11:45.340 --> 00:11:47.460]   the more people are going to have opinions.
[00:11:47.460 --> 00:11:50.460]   But yeah, it's just like the juxtaposition of like you're,
[00:11:50.460 --> 00:11:51.980]   that just means you're doing better.
[00:11:51.980 --> 00:11:53.060]   - Yeah, a hundred percent.
[00:11:53.060 --> 00:11:57.540]   I think I was watching Paul George's podcast with Mikkel
[00:11:57.540 --> 00:12:00.140]   and he, Mikkel said something that stuck out to me.
[00:12:00.140 --> 00:12:02.740]   He was just like, you got to have the,
[00:12:02.740 --> 00:12:05.220]   you got to be confident enough to fail.
[00:12:05.220 --> 00:12:06.940]   Like you can't be scared of failure.
[00:12:06.940 --> 00:12:07.900]   You got to go for it.
[00:12:07.900 --> 00:12:10.660]   Like go for your goals, go for your dreams.
[00:12:10.660 --> 00:12:11.660]   It might be in the middle of a game.
[00:12:11.660 --> 00:12:13.400]   You might try something,
[00:12:13.400 --> 00:12:15.900]   try something out that you've been working on all summer.
[00:12:15.900 --> 00:12:16.940]   You might miss a shot.
[00:12:16.940 --> 00:12:17.980]   Coach might take you out,
[00:12:17.980 --> 00:12:19.180]   but you got to be confident enough
[00:12:19.180 --> 00:12:20.740]   to actually try those things.
[00:12:20.740 --> 00:12:21.620]   So that's what I respect.
[00:12:21.620 --> 00:12:24.100]   More than like someone failing,
[00:12:24.100 --> 00:12:25.380]   it's the fact that they were confident enough
[00:12:25.380 --> 00:12:26.500]   to actually like go for it.
[00:12:26.500 --> 00:12:27.340]   You know what I mean?
[00:12:27.340 --> 00:12:29.340]   Like all the best players got to a point
[00:12:29.340 --> 00:12:31.980]   where they would just forget the naysayers,
[00:12:31.980 --> 00:12:33.460]   forget the people that say you shouldn't do this
[00:12:33.460 --> 00:12:34.540]   or shouldn't do that.
[00:12:34.540 --> 00:12:36.700]   And just, you know, work on your game.
[00:12:36.700 --> 00:12:39.060]   And then if you fail, you fail.
[00:12:39.060 --> 00:12:40.540]   - But like, just be vulnerable for a second.
[00:12:40.540 --> 00:12:41.860]   'Cause I feel like now you're talking about it
[00:12:41.860 --> 00:12:43.700]   from the perspective of like,
[00:12:43.700 --> 00:12:45.700]   you've kind of been a rookie,
[00:12:45.700 --> 00:12:47.780]   like you've been in the league a few years
[00:12:47.780 --> 00:12:49.660]   and you have like more perspective on it.
[00:12:49.660 --> 00:12:51.300]   But like when you first went into the league
[00:12:51.300 --> 00:12:53.300]   and it was kind of a letdown to people
[00:12:53.300 --> 00:12:54.540]   because you weren't playing,
[00:12:54.540 --> 00:12:57.060]   was it harder for you to deal with negative comments then?
[00:12:57.060 --> 00:12:59.180]   - Yeah, but I think that's why like
[00:12:59.180 --> 00:13:01.420]   the hardest time for me was at Mizzou
[00:13:01.420 --> 00:13:03.100]   because that was the first time in my life
[00:13:03.100 --> 00:13:05.340]   where basketball didn't go how I wanted it to go.
[00:13:05.340 --> 00:13:08.620]   And so I gained that mental strength like earlier on
[00:13:08.620 --> 00:13:11.420]   because of my injury in college.
[00:13:11.420 --> 00:13:13.100]   But a lot of people don't go through the stuff
[00:13:13.100 --> 00:13:15.460]   that allows them to kind of develop that.
[00:13:15.460 --> 00:13:18.620]   But yeah, no, every time I've had a surgery,
[00:13:18.620 --> 00:13:21.540]   every time something has gone wrong,
[00:13:21.540 --> 00:13:23.220]   like you feel those thoughts.
[00:13:23.220 --> 00:13:24.660]   I've gotten better at dealing with them though.
[00:13:24.660 --> 00:13:26.300]   Like better at just setting them to the side
[00:13:26.300 --> 00:13:28.060]   and just focusing on a goal.
[00:13:28.060 --> 00:13:29.980]   But it's not easy at all.
[00:13:29.980 --> 00:13:31.100]   That's probably the hardest thing
[00:13:31.100 --> 00:13:32.700]   about being a professional athlete.
[00:13:32.700 --> 00:13:34.540]   Like, I don't think being a professional athlete
[00:13:34.540 --> 00:13:36.940]   is for everyone 'cause a lot of people would...
[00:13:36.940 --> 00:13:41.220]   That's definitely the roughest part about it, I think.
[00:13:41.220 --> 00:13:44.860]   - Someone asked, how and why did you stay away
[00:13:44.860 --> 00:13:46.860]   from social media so long during the season?
[00:13:46.860 --> 00:13:48.420]   I'm sure it like ties in,
[00:13:48.420 --> 00:13:50.340]   but I know you were kind of like on off,
[00:13:50.340 --> 00:13:51.620]   but for most of the season you were off.
[00:13:51.620 --> 00:13:52.540]   - No, I was off.
[00:13:52.540 --> 00:13:54.660]   I only got back on I think in the finals
[00:13:54.660 --> 00:13:57.140]   'cause my agency really wanted me to get back on.
[00:13:57.140 --> 00:14:00.460]   I just think like overall for me,
[00:14:00.460 --> 00:14:04.300]   social media and like the day and age that we live in
[00:14:04.300 --> 00:14:09.300]   is like the cons outweigh the pros for me personally.
[00:14:09.300 --> 00:14:11.940]   And probably a lot of dudes in general.
[00:14:11.940 --> 00:14:14.020]   Like it depends like what you want out of life
[00:14:14.020 --> 00:14:14.980]   and what you're trying to reach.
[00:14:14.980 --> 00:14:18.380]   For me, I'm trying to walk in my faith
[00:14:18.380 --> 00:14:23.380]   and I'm trying to be a man of integrity and like grow.
[00:14:23.580 --> 00:14:26.300]   And I just feel like social media is a hindrance to that.
[00:14:26.300 --> 00:14:30.580]   First of all, you see all of this dope stuff going on.
[00:14:30.580 --> 00:14:32.860]   You can get into like the comparison game of,
[00:14:32.860 --> 00:14:34.900]   man, this person seems like they're above me
[00:14:34.900 --> 00:14:38.420]   or this person got more followers than me or whatever.
[00:14:38.420 --> 00:14:40.220]   But then it's also like as a dude,
[00:14:40.220 --> 00:14:42.260]   one of our struggles is females
[00:14:42.260 --> 00:14:44.020]   and there's unlimited baddies on Instagram.
[00:14:44.020 --> 00:14:47.340]   So like honestly, if I'm being a hundred percent like,
[00:14:47.340 --> 00:14:51.500]   if you were trying to focus and stay away from,
[00:14:51.500 --> 00:14:53.420]   like it could be a trap if that's your thing.
[00:14:53.420 --> 00:14:55.140]   So I just, you gotta be self-aware.
[00:14:55.140 --> 00:14:57.540]   If that's your thing that you could fall into,
[00:14:57.540 --> 00:14:58.620]   you can remove it for a while.
[00:14:58.620 --> 00:15:00.500]   And for me, it helped me focus.
[00:15:00.500 --> 00:15:01.660]   - Yeah, I think you talked about that
[00:15:01.660 --> 00:15:02.940]   with LeCray on that episode.
[00:15:02.940 --> 00:15:04.380]   Like you have to know your vice
[00:15:04.380 --> 00:15:07.500]   and then set up boundaries like around it.
[00:15:07.500 --> 00:15:10.660]   - And it's probably, you know,
[00:15:10.660 --> 00:15:12.180]   I'm on a podcast with my sister.
[00:15:12.180 --> 00:15:14.260]   You probably don't wanna hear that my vice would be females,
[00:15:14.260 --> 00:15:15.820]   but really that's most dudes' vice.
[00:15:15.820 --> 00:15:18.820]   Like if you don't get it in check.
[00:15:18.820 --> 00:15:20.540]   And then obviously in this day and age,
[00:15:20.540 --> 00:15:25.540]   marriage is not like a super popular, like concept,
[00:15:25.540 --> 00:15:29.580]   but like one day I wanna have a wife, I wanna have kids.
